 Schlussrangliste                                                                                                                  Fr. 2.-
 109. Innerschweizerisches Schwing- und Älplerfest
 Seedorf (UR), 05. Juli 2015

   b                 Herger Fabian, S *, Altdorf UR                                            UR          00+0
   c                 Gisler Ruedi, S, Neudorf                                                  LU          000+
   d                 Fessler Linus, S, Hergiswil NW                                            ONW         +000
   e                 Bienz Romeo, S, Küssnacht am Rigi                                         SZ          +000
   f                 Betschart Silvan, T *, Muotathal                                          SZ          0+00
   g                 Schmid Köbi, S, Ibach                                                     SZ          ----
   h                 Reichmuth Armin, S *, Mettmenstetten                                      ZG          --0-
   i                 Gwerder Carlo, S **, Sattel                                               SZ          -0--
   j                 Schuler Daniel, S, Rothenthurm                                            SZ          -00-
28 a           35.00 Piemontesi Pascal, S **, Eclépens                                         ARLS        ----
   b                 Murer Andy, T *, Seedorf                                                  UR          ----
   c                 Elsener Manuel, T, Menzingen                                              ZG          ----
   d                 Imfeld Beat, S, Bürglen OW                                                ONW         -0--
   e                 Bucher Roland, S *, Finstersee                                            ZG          -0-0




* Kantonal- bzw. Gauverbandskranz ** Teilverbands- oder Bergkranz *** Eidgenössischer Kranz        3.15.0.0 ¦ 15.2763   c   Druckpartner Schumacher PrintSolutions

 Schlussrangliste                                                             109. Innerschweizerisches Schwing- und Älplerfest

29 a           34.75 von Ah Markus, S, Giswil                                                  ONW         --0-
   b                 Schnider Markus, S *, Schüpfheim                                          LU          ---0
   c                 Hurschler Adrian, Cham                                                    ZG          -0--
   d                 Bieri Christian, T *, Edlibach                                            ZG          --0-
   e                 Arnold Andreas, S *, Bürglen UR                                           UR          ---0
   f                 Weber Ivo, S, Goldau                                                      SZ          0--0
   g                 Müller Mathias, S, Spiringen                                              UR          --00
   h                 Bucher Thomas, S, Finstersee                                              ZG          --00
   i                 Bircher Vital, S *, Hagendorn                                             ZG          0-0-
   j                 Reichmuth Marco, S *, Cham                                                ZG          -000
30 a           34.50 Thalmann Thomas, S *, Wolhusen                                            LU          00--
   b                 Stettler Philipp, S *, Meierskappel                                       SZ          00--
   c                 Rolli Ueli, S, Cham                                                       ZG          --00
   d                 Forster Adrian, S **, Küssnacht am Rigi                                   SZ          -00-
   e                 Portmann Daniel, S, Hasle LU                                              LU          0-00
31 a           34.25 Scheuber Stefan, Hohenrain                                                LU          0-00
   b                 Heinzer Josef, Muotathal                                                  SZ          0-00
   c                 Fässler Dominic, T *, Ebikon                                              LU          -000
   d                 Bürgi Tobias, Feusisberg                                                  SZ          0-00
   e                 Amstutz Niklaus, S *, Obbürgen                                            ONW         0-00
   f                 Ambühl Joel, Hergiswil b. Willisau                                        LU          -000
   g                 Fellmann Simon, S, Winikon                                                LU          0000
32 a           34.00 Zgraggen Peter, S, Aeugst am Albis                                        LU          0000
   b                 Wigger Andreas, S, Hochdorf                                               LU          0000
   c                 Hess Michael, S *, Rothenthurm                                            SZ          0000
   d                 Diethelm Albert, S *, Galgenen                                            SZ          0000
33             28.50 Corvi Dominik, T, Bäch SZ                                                 SZ          +0+                      Unfall
34             27.25 Heiniger Marco, S *, Menznau                                              LU          +00                      Unfall
35             27.00 Streiff Dominik, T, Uznach                                                SZ          +-0                      Unfall
36             25.75 Keller Janik, S, Pfäffikon SZ                                             SZ          00-                      Unfall
37             25.50 Imfeld Christian I, S *, Lungern                                          ONW         000                      Unfall
38             17.00 Lüönd Andreas, S **, Ingenbohl                                            SZ          00                       Unfall
39              8.75 Kenel Franz-Toni, S *, Oberarth                                           SZ          -                        Unfall

Kranzverteilung:
 ARLS BKSV LU NWSV ONW SZ UR ZG Summe
    1    1 13    1   4 12  2  2    36




* Kantonal- bzw. Gauverbandskranz ** Teilverbands- oder Bergkranz *** Eidgenössischer Kranz        3.15.0.0 ¦ 15.2763   c   Druckpartner Schumacher PrintSolutions

