4655-2019-06-16_Solothurner_Kantonal_Schwingfest-ST

1a;Strebel Joel;**;;;;;;;;;58.5
+;;;Järmann Florian (2002);;;;;;;;9.75
+;2;9.75;Vogel Remo (2001);*;17;54.0;4;8.5;2;-1.25;9.75
o;3;19.5;Bearda Samuel;**;11;55.5;5;18.5;2;-1.0;8.75
o;6;28.25;Loosli Adrian;;17;54.0;11;27.0;5;-1.25;8.75
+;7;37.0;Arnold Kornel;*;15;54.5;12;35.75;5;-1.25;9.75
o;7;46.75;Bruder Adrian;;8;56.25;9;46.25;2;-0.5;8.75

11c;von Arx Christian;*;;;;;;;;;55.5
+;;;Bearda Samuel;**;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;***;5;57.0;1;10.0;-1;0.25;8.5
+;6;18.25;Burren Dominik (2003);;17;54.0;5;18.5;-1;0.25;10.0
o;6;28.25;Studinger Stephan;**;6;56.75;5;28.5;-1;0.25;8.5
+;8;36.75;Küng Marco;*;16;54.25;7;37.0;-1;0.25;9.75
-;8;46.5;Henzer Andreas;**;9;56.0;6;47.0;-2;0.5;9.0

11d;Steinmann Yves;*;;;;;;;;;55.5
o;;;Kohler Adrian;*;;;;;;;8.5
o;4;8.5;Leuthard Reto;**;11;55.5;3;8.75;-1;0.25;8.5
+;9;17.0;Huber Fabian;;24;45.5;5;18.5;-4;1.5;10.0
+;11;27.0;Ris Jörn;*;16;54.25;10;27.25;-1;0.25;9.75
-;8;36.75;Dobler Florian;;13;55.0;9;36.5;1;-0.25;8.75
+;12;45.5;Loosli Adrian;;17;54.0;12;45.5;0;0.0;10.0

11e;Bearda Samuel;**;;;;;;;;;55.5
o;;;von Arx Christian;*;;;;;;;8.5
+;4;8.5;Studer Remo;*;16;54.25;3;8.75;-1;0.25;10.0
+;5;18.5;Büttler Gian;;11;55.5;3;19.5;-2;1.0;10.0
o;5;28.5;Henzer Andreas;**;9;56.0;5;28.5;0;0.0;8.5
o;7;37.0;Stüdeli Thomas;**;3;57.5;4;37.75;-3;0.75;8.5
+;12;45.5;Nussbaumer Dominik;;17;54.0;12;45.5;0;0.0;10.0

11f;Läuchli Janik;*;;;;;;;;;55.5
o;;;Stegmüller Klemens;*;;;;;;;8.75
o;3;8.75;Hauri Urs;**;7;56.5;4;8.5;1;-0.25;8.5
+;8;17.25;Nyffenegger Florian (2001);;17;54.0;8;17.25;0;0.0;10.0
+;10;27.25;Gisin Yanic;;28;35.5;11;27.0;1;-0.25;9.75
o;7;37.0;Kocher Remo;**;12;55.25;8;36.75;1;-0.25;8.5
+;12;45.5;Bachmann Sämi (2001);;18;53.75;14;45.0;2;-0.5;10.0

11g;Lisser Daniel;*;;;;;;;;;55.5
+;;;Krebs Clemens;*;;;;;;;9.75
-;2;9.75;Schmid Samuel;**;13;55.0;2;9.75;0;0.0;8.75
+;5;18.5;Bieri Florian (2001);;33;26.75;6;18.25;1;-0.25;10.0
o;5;28.5;Döbeli Andreas;*;3;57.5;5;28.5;0;0.0;8.5
+;7;37.0;Müller Simon;;19;53.5;10;36.25;3;-0.75;9.75
-;7;46.75;Rüegger Aaron;*;14;54.75;10;46.0;3;-0.75;8.75

11h;Voggensperger Lars (2001);*;;;;;;;;;55.5
o;;;Hermann Oliver;*;;;;;;;8.75
+;3;8.75;Rüegger Aaron;*;14;54.75;3;8.75;0;0.0;9.75
-;5;18.5;Jusufi Azret;;14;54.75;5;18.5;0;0.0;8.75
+;10;27.25;Schär Jonas;;15;54.5;11;27.0;1;-0.25;10.0
+;6;37.25;Hügli Kaj;**;9;56.0;6;37.25;0;0.0;9.75
o;6;47.0;Stüdeli Thomas;**;3;57.5;4;47.5;-2;0.5;8.5

11i;Reimann Marco;;;;;;;;;;55.5
+;;;Vogt Fredy (2001);;;;;;;;10.0
o;1;10.0;Bader Andreas;**;14;54.75;3;8.75;2;-1.25;8.5
+;5;18.5;Studer Remo;*;16;54.25;8;17.25;3;-1.25;9.75
o;6;28.25;Lisser Beat;*;13;55.0;7;28.0;1;-0.25;8.5
o;8;36.75;Burkhardt Roy;;13;55.0;8;36.75;0;0.0;8.75
+;12;45.5;Christ Dario (2003);;17;54.0;12;45.5;0;0.0;10.0

11j;Hasler Jimmy;*;;;;;;;;;55.5
-;;;Schaffner Samuel;**;;;;;;;8.75
+;3;8.75;Arnold Kornel;*;15;54.5;3;8.75;0;0.0;9.75
+;5;18.5;Vogt Marco (2003);;19;53.5;4;18.75;-1;0.25;10.0
o;5;28.5;Hauri Urs;**;7;56.5;5;28.5;0;0.0;8.5
o;7;37.0;Brun Samuel;**;6;56.75;6;37.25;-1;0.25;8.5
+;12;45.5;Stoll Thomas;;15;54.5;10;46.0;-2;0.5;10.0

11k;Stegmüller Klemens;*;;;;;;;;;55.5
+;;;Läuchli Janik;*;;;;;;;9.75
o;2;9.75;Alpiger Nick;***;2;58.25;2;9.75;0;0.0;8.5
+;6;18.25;Schwob Marco;;13;55.0;3;19.5;-3;1.25;9.75
+;7;28.0;Lazic Marco;;20;53.25;9;27.5;2;-0.5;10.0
o;3;38.0;Mangold Michael;**;8;56.25;4;37.75;1;-0.25;8.5
-;8;46.5;Brand Christian;**;13;55.0;10;46.0;2;-0.5;9.0

11l;Leuthard Reto;**;;;;;;;;;55.5
-;;;Gerber Manuel;*;;;;;;;8.75
+;3;8.75;Steinmann Yves;*;11;55.5;4;8.5;1;-0.25;9.75
+;5;18.5;Vogt Fredy (2001);;21;53.0;5;18.5;0;0.0;9.75
-;6;28.25;Bader Andreas;**;14;54.75;8;27.75;2;-0.5;8.75
-;7;37.0;Schmutz Adrian;*;16;54.25;8;36.75;1;-0.25;8.75
+;11;45.75;Bieli Andreas;;15;54.5;10;46.0;-1;0.25;9.75

11m;Widmer David;**;;;;;;;;;55.5
o;;;Schmid Samuel;**;;;;;;;8.75
-;3;8.75;Bachmann Sämi (2001);;18;53.75;4;8.5;1;-0.25;8.75
+;7;17.5;Brügger Joël;;21;53.0;5;18.5;-2;1.0;9.75
+;10;27.25;Vogt Fredy (2001);;21;53.0;10;27.25;0;0.0;9.75
+;7;37.0;Schillig Willi;**;24;45.5;13;35.5;6;-1.5;10.0
o;6;47.0;Scherrer Johann;**;5;57.0;6;47.0;0;0.0;8.5

12a;Büttler Adrian;;;;;;;;;;55.25
+;;;Burren Dominik (2003);;;;;;;;9.75
+;2;9.75;Büchi Christian;;17;54.0;3;8.75;1;-1.0;10.0
o;2;19.75;Schmid Samuel;**;13;55.0;5;18.5;3;-1.25;8.5
