2253-2015-07-18_64_Weissenstein-Schwinget-ST

1a;Stucki Christian;***;;;;;;;;;59.75
o;1;10.0;Sempach Thomas;***;2;58.25;4;8.75;3;-1.25;8.5
+;6;18.5;Renfer Lukas;*;9;55.5;3;19.5;-3;1.0;9.75
o;5;28.25;Gehrig Damian;**;5;56.75;3;28.75;-2;0.5;8.5
+;9;36.75;Roth Dominik;*;10;55.25;8;37.0;-1;0.25;9.75
+;10;46.5;Käser Remo;**;8;55.75;7;47.25;-3;0.75;9.75

7a;Röthlisberger Simon;*;;;;;;;;;56.0
+;;;Kocher Remo;**;;;;;;;10.0
-;1;10.0;Gisler Bruno;***;5;56.75;4;8.75;3;-1.25;9.0
+;4;19.0;Stüdeli Thomas;**;13;54.5;6;18.5;2;-0.5;10.0
+;2;29.0;Uebersax Remo;**;15;53.75;5;28.25;3;-0.75;9.75
o;2;38.75;Sempach Thomas;***;2;58.25;3;38.5;1;-0.25;8.5
o;7;47.25;Erb Roger;**;5;56.75;8;47.0;1;-0.25;8.75

7b;Blatter Lorenz;*;;;;;;;;;56.0
-;;;Gerber Christian;**;;;;;;;8.75
+;4;8.75;Lehmann Nicola;*;18;35.5;5;8.5;1;-0.25;9.75
+;6;18.5;Matthey Mickaël;**;7;56.0;4;19.0;-2;0.5;10.0
o;4;28.5;Kämpf Bernhard;***;3;57.25;4;28.5;0;0.0;8.5
+;8;37.0;Renfer Lukas;*;9;55.5;8;37.0;0;0.0;10.0
-;8;47.0;Studer Stefan;**;7;56.0;8;47.0;0;0.0;9.0

7c;Roschi Ruedi;**;;;;;;;;;56.0
-;;;Schmid David;**;;;;;;;9.0
+;3;9.0;Döbeli Andreas (1998);*;14;54.25;1;10.0;-2;1.0;10.0
o;4;19.0;Stalder Remo;***;8;55.75;6;18.5;2;-0.5;8.5
+;8;27.5;Voggensperger Janic (1998);*;18;35.5;10;27.0;2;-0.5;10.0
o;6;37.5;Odermatt Christian;**;9;55.5;8;37.0;2;-0.5;8.5
+;12;46.0;Vieira Tiago;**;14;54.25;13;45.75;1;-0.25;10.0

7d;Studer Stefan;**;;;;;;;;;56.0
o;;;Bader Andreas;*;;;;;;;8.5
+;5;8.5;Leuthard Reto;*;9;55.5;4;8.75;-1;0.25;10.0
+;6;18.5;Voggensperger Janic (1998);*;18;35.5;6;18.5;0;0.0;10.0
o;4;28.5;Bieri Christoph;***;6;56.25;8;27.5;4;-1.0;8.5
+;8;37.0;Stoll Simon;;10;55.25;9;36.75;1;-0.25;10.0
-;8;47.0;Blatter Lorenz;*;7;56.0;8;47.0;0;0.0;9.0

7e;Gerber Christian;**;;;;;;;;;56.0
-;;;Blatter Lorenz;*;;;;;;;8.75
+;4;8.75;Gerber Manuel;;15;53.75;2;9.75;-2;1.0;10.0
+;5;18.75;Waldner Patrick;**;18;35.5;6;18.5;1;-0.25;10.0
+;3;28.75;Stalder Remo;***;8;55.75;5;28.25;2;-0.5;10.0
o;2;38.75;Stucki Christian;***;1;59.75;1;39.75;-1;1.0;8.5
-;7;47.25;Bächli Michael (1998);*;8;55.75;8;47.0;1;-0.25;8.75

7f;Matthey Mickaël;**;;;;;;;;;56.0
+;;;Waldner Patrick;**;;;;;;;10.0
