3715-2018-07-01_112_Innerschweizerisches_Schwingfest-ST

1a;Stucki Christian;***;;;;;;;;;114.0
o;13;27.25;Moser Steven;**;12;56.0;8;28.5;-5;1.25;8.5
o;18;35.75;Rhyner Michael;**;13;55.75;18;35.75;0;0.0;8.5

29a;Gisler Jonas (2001);;;;;;;;;;44.0
o;;;Wetzstein Adrian;*;;;;;;;8.5
o;8;8.5;Schelbert Ralf;**;10;56.5;5;9.75;-3;1.25;8.5
o;15;17.0;Betschart Patrick;*;15;55.25;14;17.25;-1;0.25;8.5
+;20;25.5;Gemsch Stefan;;26;52.5;20;25.5;0;0.0;10.0
o;19;35.5;Thierstein Marco;*;14;55.5;13;37.0;-6;1.5;8.5

29b;Gander Michael;;;;;;;;;;44.0
-;;;Bucher Thomas;;;;;;;;8.75
o;7;8.75;Reichmuth Lukas (2000);*;20;54.0;8;8.5;1;-0.25;8.5
+;14;17.25;Gemsch Stefan;;26;52.5;15;17.0;1;-0.25;9.75
o;14;27.0;Schuler Philipp;**;15;55.25;14;27.0;0;0.0;8.5
o;19;35.5;Fassbind René;*;14;55.5;19;35.5;0;0.0;8.5

30a;Felder Seppi;*;;;;;;;;;43.0
-;;;Schürpf Bruno;*;;;;;;;8.75
o;7;8.75;Huber Alex;*;19;54.25;5;9.75;-2;1.0;8.5
o;14;17.25;Wyrsch Marco;**;12;56.0;8;18.75;-6;1.5;8.5
o;19;25.75;Burch Jonas;*;13;55.75;13;27.25;-6;1.5;8.5
o;23;34.25;Reichmuth Roland;*;19;54.25;18;35.75;-5;1.5;8.75

31a;Zürcher Ueli (2000);;;;;;;;;;37.25
-;;;Betschart Daniel;;;;;;;;8.75
+;7;8.75;Eﬃnger Markus;*;34;35.25;8;8.5;1;-0.25;10.0
o;8;18.75;Würsch Lars;*;16;55.0;9;18.5;1;-0.25;8.5
+;13;27.25;Ettlin Martin;;16;55.0;14;27.0;1;-0.25;10.0

32a;Zurﬂuh Roman;**;;;;;;;;;36.5
-;;;Gwerder Christian;**;;;;;;;9.0
-;6;9.0;Langenstein Philip;**;17;54.75;4;10.0;-2;1.0;9.0
+;11;18.0;Betschart Daniel;;36;34.5;13;17.5;2;-0.5;9.75
o;11;27.75;Gwerder Carlo;**;19;54.25;13;27.25;2;-0.5;8.75

33a;Müller Roger;*;;;;;;;;;35.5
o;;;Gwerder Beni;;;;;;;;8.5
+;8;8.5;Weber Ivo;;19;54.25;7;8.75;-1;0.25;10.0
o;9;18.5;Villiger Cyrill;*;15;55.25;9;18.5;0;0.0;8.5
o;14;27.0;Odermatt Christian;**;14;55.5;15;26.75;1;-0.25;8.5

34a;Forster Christian;;;;;;;;;;35.25
o;;;Scherrer Fabian (2002);;;;;;;;8.5
+;8;8.5;Mignola Lorenzo;;38;34.0;8;8.5;0;0.0;9.75
o;10;18.25;Vonlaufen Lukas;*;19;54.25;10;18.25;0;0.0;8.5
o;15;26.75;Niederberger Markus;*;20;54.0;14;27.0;-1;0.25;8.5

34b;Durrer Robin;*;;;;;;;;;35.25
-;;;Ulrich Marco;*;;;;;;;8.75
-;7;8.75;Kennel Beat;*;22;53.5;8;8.5;1;-0.25;8.75
-;13;17.5;Betschart Daniel;;36;34.5;13;17.5;0;0.0;8.75
-;17;26.25;Gwerder Christian;**;35;34.75;18;26.0;1;-0.25;9.0

34c;Hegner Ueli;*;;;;;;;;;35.25
o;;;Niederberger Markus;*;;;;;;;8.5
o;8;8.5;Heiniger Luca;;21;53.75;8;8.5;0;0.0;8.5
o;15;17.0;Briker Michael;*;20;54.0;10;18.25;-5;1.25;8.5
+;20;25.5;Schnider Markus;*;38;34.0;20;25.5;0;0.0;9.75

34d;Eﬃnger Markus;*;;;;;;;;;35.25
o;;;Vonlaufen Lukas;*;;;;;;;8.5
o;8;8.5;Zürcher Ueli (2000);;31;37.25;7;8.75;-1;0.25;8.5
+;15;17.0;Hofmann Florian;**;38;34.0;15;17.0;0;0.0;9.75
o;15;26.75;Rohrer Ueli;*;17;54.75;17;26.25;2;-0.5;8.5

34e;Steiner Severin (2001);;;;;;;;;;35.25
o;;;Ettlin Martin;;;;;;;;8.5
+;8;8.5;Pedrazzini Diego;;37;34.25;8;8.5;0;0.0;9.75
o;10;18.25;Hirsiger Alexander;*;13;55.75;10;18.25;0;0.0;8.5
o;15;26.75;Zgraggen Fabian;*;19;54.25;14;27.0;-1;0.25;8.5

35a;Della Torre Simon;;;;;;;;;;34.75
-;;;Bürgi Tobias;;;;;;;;8.75
-;7;8.75;Reichmuth Roland;*;19;54.25;8;8.5;1;-0.25;8.75
-;13;17.5;Steinauer Adrian;**;39;26.25;13;17.5;0;0.0;8.75
o;17;26.25;Arnold Andreas;*;16;55.0;15;26.75;-2;0.5;8.5

35b;Bürgi Reto;*;;;;;;;;;34.75
-;;;Schuler Daniel;*;;;;;;;8.75
o;7;8.75;Gwerder Beni;;20;54.0;5;9.75;-2;1.0;8.5
-;14;17.25;Elsener Adrian;**;19;54.25;14;17.25;0;0.0;8.75
-;18;26.0;Heinzer Stefan;*;3;90.0;3;54.0;-15;28.0;8.75

35c;Schmidiger Marco;*;;;;;;;;;34.75
o;;;Arnold Severin;*;;;;;;;8.5
-;8;8.5;Ettlin Martin;;16;55.0;5;9.75;-3;1.25;8.75
-;14;17.25;Kenel Franz-Toni;*;18;54.5;13;17.5;-1;0.25;9.0
o;17;26.25;Hess Dominik;*;21;53.75;16;26.5;-1;0.25;8.5

35d;Gwerder Christian;**;;;;;;;;;34.75
-;;;Zurﬂuh Roman;**;;;;;;;8.75
o;7;8.75;Graber Michael;*;19;54.25;8;8.5;1;-0.25;8.5
-;14;17.25;Bucher Thomas;;36;34.5;14;17.25;0;0.0;8.75
-;18;26.0;Durrer Robin;*;34;35.25;17;26.25;-1;0.25;8.75

35e;Dousse Michel;**;;;;;;;;;34.75
o;;;Arnold Stefan;**;;;;;;;8.5
o;8;8.5;Zurﬂuh Michael;*;19;54.25;5;9.75;-3;1.25;8.5
-;15;17.0;Portmann Fabian;*;36;34.5;14;17.25;-1;0.25;8.75
-;19;25.75;Durrer Nando;*;23;53.25;16;26.5;-3;0.75;9.0

36a;Betschart Daniel;;;;;;;;;;34.5
-;;;Zürcher Ueli (2000);;;;;;;;8.75
-;7;8.75;Durrer Robin;*;34;35.25;7;8.75;0;0.0;8.75
o;13;17.5;Zurﬂuh Roman;**;32;36.5;11;18.0;-2;0.5;8.5
o;18;26.0;Bättig Martin;*;16;55.0;17;26.25;-1;0.25;8.5

36b;Hösli Fritz;*;;;;;;;;;34.5
-;;;Hess Dominik;*;;;;;;;8.75
o;7;8.75;Gwerder Guido;**;8;57.0;8;8.5;1;-0.25;8.5
o;14;17.25;Odermatt Christian;**;14;55.5;15;17.0;1;-0.25;8.5
-;19;25.75;Grab Daniel;**;36;34.5;19;25.75;0;0.0;8.75

36c;Kennel Stefan;**;;;;;;;;;34.5
o;;;Gloggner Reto;**;;;;;;;8.5
-;8;8.5;Bättig Martin;*;16;55.0;7;8.75;-1;0.25;8.75
-;14;17.25;Bieri Christian;**;13;55.75;14;17.25;0;0.0;8.75
o;18;26.0;Elsener Adrian;**;19;54.25;18;26.0;0;0.0;8.5

36d;Zanini David (2000);;;;;;;;;;34.5
-;;;Hurschler Adrian;;;;;;;;8.75
o;7;8.75;Fassbind René;*;14;55.5;8;8.5;1;-0.25;8.5
o;14;17.25;Scherer Niklaus;*;17;54.75;12;17.75;-2;0.5;8.5
-;19;25.75;Gasser Peter;*;37;34.25;19;25.75;0;0.0;8.75

36e;Bucher Thomas;;;;;;;;;;34.5
-;;;Gander Michael;;;;;;;;8.75
o;7;8.75;Portmann Josef;*;15;55.25;8;8.5;1;-0.25;8.5
-;14;17.25;Gwerder Christian;**;35;34.75;14;17.25;0;0.0;8.75
o;18;26.0;Odermatt Andreas;*;18;54.5;17;26.25;-1;0.25;8.5

36f;Grab Daniel;**;;;;;;;;;34.5
o;;;Bernet Christoph;*;;;;;;;8.5
o;8;8.5;Waser Dominik;**;13;55.75;7;8.75;-1;0.25;8.5
o;15;17.0;Durrer Fabian;*;21;53.75;14;17.25;-1;0.25;8.75
-;19;25.75;Hösli Fritz;*;36;34.5;19;25.75;0;0.0;8.75

36g;Blaser Theo;*;;;;;;;;;34.5
o;;;Felder Martin;*;;;;;;;8.5
-;8;8.5;Hess Dominik;*;21;53.75;7;8.75;-1;0.25;9.0
o;13;17.5;Lang Sven;*;13;55.75;14;17.25;1;-0.25;8.5
o;18;26.0;Zimmermann Simon;**;18;54.5;18;26.0;0;0.0;8.5

36h;Käslin Benno;*;;;;;;;;;34.5
-;;;Lemmenmeier Lukas;*;;;;;;;8.75
-;7;8.75;Heinzer Stefan;*;3;90.0;3;17.0;-4;8.25;8.75
o;13;17.5;Reichmuth Roland;*;19;54.25;14;17.25;1;-0.25;8.5
o;18;26.0;Gwerder Andreas;*;24;53.0;19;25.75;1;-0.25;8.5

36i;Portmann Fabian;*;;;;;;;;;34.5
o;;;Zurﬂuh Michael;*;;;;;;;8.75
o;7;8.75;Kessler Joel;*;20;54.0;8;8.5;1;-0.25;8.5
-;14;17.25;Dousse Michel;**;35;34.75;15;17.0;1;-0.25;8.75
o;18;26.0;Weber Ivo;;19;54.25;18;26.0;0;0.0;8.5

36j;Bürgi Tobias;;;;;;;;;;34.5
-;;;Della Torre Simon;;;;;;;;8.75
-;7;8.75;Hürlimann Mathias (2000);*;40;26.0;8;8.5;1;-0.25;8.75
o;13;17.5;Suter Beat;;23;53.25;13;17.5;0;0.0;8.5
o;18;26.0;Bieri Christian;**;13;55.75;18;26.0;0;0.0;8.5

37a;Kammermann Christoph;*;;;;;;;;;34.25
o;;;Hess Michael;*;;;;;;;8.5
-;8;8.5;Herger Fabian;*;21;53.75;7;8.75;-1;0.25;8.75
o;14;17.25;Gassmann Michael;*;23;53.25;13;17.5;-1;0.25;8.5
o;19;25.75;Lussi Marco;**;21;53.75;19;25.75;0;0.0;8.5

37b;Hurschler Adrian;;;;;;;;;;34.25
-;;;Zanini David (2000);;;;;;;;8.75
o;7;8.75;Arnold Raphael;*;10;56.5;8;8.5;1;-0.25;8.5
o;14;17.25;Gwerder Carlo;**;19;54.25;14;17.25;0;0.0;8.5
o;19;25.75;Kennel Beat;*;22;53.5;18;26.0;-1;0.25;8.5

37c;Pedrazzini Diego;;;;;;;;;;34.25
o;;;Elmiger Andreas;;;;;;;;8.5
o;8;8.5;Steiner Severin (2001);;34;35.25;8;8.5;0;0.0;8.5
o;15;17.0;Bachmann Roger;*;22;53.5;15;17.0;0;0.0;8.5
o;20;25.5;Gemsch Stefan;;26;52.5;20;25.5;0;0.0;8.75

37d;Beffa Mario;;;;;;;;;;34.25
o;;;Wallimann Remo;;;;;;;;8.5
o;8;8.5;Lemmenmeier Lukas;*;18;54.5;7;8.75;-1;0.25;8.5
o;15;17.0;Achermann Christoph;*;25;52.75;14;17.25;-1;0.25;8.5
-;20;25.5;Hürlimann Mathias (2000);*;40;26.0;18;26.0;-2;0.5;8.75

37e;Gasser Peter;*;;;;;;;;;34.25
o;;;Thierstein Marco;*;;;;;;;8.5
o;8;8.5;Binggeli Stefan;*;8;57.0;7;8.75;-1;0.25;8.5
-;15;17.0;Zanini David (2000);;36;34.5;14;17.25;-1;0.25;8.75
o;19;25.75;Kenel Franz-Toni;*;18;54.5;17;26.25;-2;0.5;8.5

38a;Schnider Markus;*;;;;;;;;;34.0
o;;;Elsener Marcel;*;;;;;;;8.5
o;8;8.5;Bernhard Lukas;*;14;55.5;7;8.75;-1;0.25;8.5
o;15;17.0;Reichmuth Armin;*;18;54.5;14;17.25;-1;0.25;8.5
o;20;25.5;Hegner Ueli;*;34;35.25;20;25.5;0;0.0;8.5

38b;Hofmann Florian;**;;;;;;;;;34.0
o;;;Schuler Philipp;**;;;;;;;8.5
o;8;8.5;Wyrsch Marco;**;12;56.0;7;8.75;-1;0.25;8.5
o;15;17.0;Eﬃnger Markus;*;34;35.25;15;17.0;0;0.0;8.5
o;20;25.5;Fessler Linus;**;20;54.0;19;25.75;-1;0.25;8.5

38c;Mignola Lorenzo;;;;;;;;;;34.0
o;;;Durrer Markus;;;;;;;;8.5
o;8;8.5;Forster Christian;;34;35.25;8;8.5;0;0.0;8.5
o;15;17.0;Wyrsch Silvio;*;15;55.25;15;17.0;0;0.0;8.5
o;20;25.5;Betschart Silvan;*;22;53.5;20;25.5;0;0.0;8.5

39a;Steinauer Adrian;**;;;;;;;;;26.25
-;;;Zimmermann Martin;**;;;;;;;9.0
o;6;9.0;Doppmann Urs;*;8;57.0;4;10.0;-2;1.0;8.5
-;13;17.5;Della Torre Simon;;35;34.75;13;17.5;0;0.0;8.75

40a;Hürlimann Mathias (2000);*;;;;;;;;;26.0
o;;;Stöckli Damian;*;;;;;;;8.5
-;8;8.5;Bürgi Tobias;;36;34.5;7;8.75;-1;0.25;8.75
-;14;17.25;Beffa Mario;;37;34.25;15;17.0;1;-0.25;8.75

41a;Bürgler Lukas;*;;;;;;;;;25.75
o;;;Rohrer Beat;*;;;;;;;8.5
-;8;8.5;Zimmermann Simon;**;18;54.5;8;8.5;0;0.0;8.75
o;14;17.25;Zgraggen Fabian;*;19;54.25;15;17.0;1;-0.25;8.5

41b;Baumann Roger;*;;;;;;;;;25.75
o;;;Doppmann Urs;*;;;;;;;8.5
o;8;8.5;Heinzer Stefan;**;3;90.0;3;17.0;-5;8.5;8.5
o;15;17.0;Fässler Dominic;**;19;54.25;15;17.0;0;0.0;8.75

42a;Lagler Christian;;;;;;;;;;18.5
+;;;Heiniger Luca;;;;;;;;10.0
o;4;10.0;Thalmann Thomas;*;28;44.25;7;8.75;3;-1.25;8.5

43a;Schuler Daniel;*;;;;;;;;;17.5
-;;;Bürgi Reto;*;;;;;;;8.75
o;7;8.75;Gut Koni;;19;54.25;5;9.75;-2;1.0;8.75

44a;Schilter Daniel;*;;;;;;;;;8.5
o;;;Ottiger Lukas;*;;;;;;;8.5

