3715-2018-07-01_112_Innerschweizerisches_Schwingfest-ST

1a;Stucki Christian;***;;;;;;;;;114.0
+;7;8.75;Elsener Marcel;*;23;53.25;4;10.0;-3;1.25;9.75
+;9;18.5;Schmid Simon (2000);*;23;53.25;9;18.5;0;0.0;9.75
+;9;28.25;Gloggner Philipp;***;8;57.0;8;28.5;-1;0.25;9.75
+;9;38.0;Arnold Severin;*;16;55.0;9;38.0;0;0.0;9.75
o;9;47.75;Schneider Mario;**;10;56.5;13;46.75;4;-1.0;8.5

11b;von Ah Benji;***;;;;;;;;;56.25
+;;;Schneider Domenic;***;;;;;;;9.75
+;5;9.75;Arnold Marcel;*;20;54.0;4;10.0;-1;0.25;10.0
+;5;19.75;Fellmann Roman;*;7;57.25;5;19.75;0;0.0;9.75
+;5;29.5;Moser Steven;**;12;56.0;8;28.5;3;-1.0;9.75
o;5;39.25;Wicki Joel;**;4;58.5;4;39.5;-1;0.25;8.5
o;9;47.75;Ulrich Andreas;***;5;58.25;7;48.25;-2;0.5;8.5

12a;Moser Steven;**;;;;;;;;;56.0
-;;;Müllestein Mike;***;;;;;;;8.75
+;7;8.75;Heinzer Ronny;*;15;55.25;5;9.75;-2;1.0;9.75
+;9;18.5;Gloggner Reto;**;10;56.5;6;19.5;-3;1.0;10.0
o;8;28.5;von Ah Benji;***;11;56.25;5;29.5;-3;1.0;8.5
+;13;37.0;Thalmann Thomas;*;28;44.25;18;35.75;5;-1.25;10.0
-;12;47.0;Doppmann Urs;*;8;57.0;8;48.0;-4;1.0;9.0

12b;Müller Michael;**;;;;;;;;;56.0
o;;;Herger Matthias;**;;;;;;;8.5
+;8;8.5;Hess Michael;*;19;54.25;5;9.75;-3;1.25;9.75
-;10;18.25;Kälin Roland;**;21;53.75;10;18.25;0;0.0;9.0
+;13;27.25;Burch Jonas;*;13;55.75;13;27.25;0;0.0;10.0
-;12;37.25;Reichmuth Armin;*;18;54.5;12;37.25;0;0.0;8.75
+;16;46.0;Elsener Peter;**;21;53.75;19;45.25;3;-0.75;10.0

12c;Heiniger Marco;*;;;;;;;;;56.0
+;;;Reichmuth Armin;*;;;;;;;10.0
-;4;10.0;Schuler Christian;***;4;58.5;5;9.75;1;-0.25;9.0
+;7;19.0;Gwerder Beni;;20;54.0;6;19.5;-1;0.5;9.75
-;7;28.75;Höﬂiger Andreas;**;14;55.5;7;28.75;0;0.0;8.75
+;11;37.5;Gut Koni;;19;54.25;12;37.25;1;-0.25;10.0
o;10;47.5;Gwerder Michael (2000);*;8;57.0;11;47.25;1;-0.25;8.5

12d;Wyrsch Marco;**;;;;;;;;;56.0
