5506-2022-05-29_102_Luzerner_Kantonales_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;113.5
9l;Müller Luca (2004);*;;;;;;;;;57.0
o;;;Schaller Noah;*;;;;;;;8.5
+;8;8.5;Bucher Adrian (2004);;31;35.5;5;9.75;-3;1.25;10.0
o;9;18.5;Doppmann Urs;**;9;57.0;8;18.75;-1;0.25;8.5
+;14;27.0;Fischer Markus;;31;35.5;14;27.0;0;0.0;10.0
+;12;37.0;Riebli Urs;*;14;55.75;11;37.25;-1;0.25;10.0
+;11;47.0;Felder Martin;*;14;55.75;11;47.0;0;0.0;10.0

9m;Egli Damian;**;;;;;;;;;57.0
-;;;Bernhard Lukas;**;;;;;;;8.75
+;7;8.75;Füglister Florian;;21;54.0;4;10.0;-3;1.25;10.0
+;8;18.75;Waser Christoph;*;14;55.75;9;18.5;1;-0.25;9.75
o;8;28.5;Kuster Thomas;**;10;56.75;8;28.5;0;0.0;8.75
+;11;37.25;Betschart Daniel;;16;55.25;12;37.0;1;-0.25;10.0
+;10;47.25;Ming Hannes;;17;55.0;13;46.5;3;-0.75;9.75

9n;Heiniger Marco;**;;;;;;;;;57.0
-;;;Wyrsch Marco;**;;;;;;;8.75
+;7;8.75;Büchler Livio;;20;54.25;5;9.75;-2;1.0;10.0
-;8;18.75;Huber Alex;*;13;56.0;8;18.75;0;0.0;8.75
+;12;27.5;Jung Valentin;;18;54.75;10;28.0;-2;0.5;9.75
+;11;37.25;Keller Janik;*;27;45.5;12;37.0;1;-0.25;10.0
+;10;47.25;Bucher Thomas;*;3;81.75;3;73.25;-7;26.0;9.75

9o;Lustenberger Josef;*;;;;;;;;;57.0
-;;;Murer Andy;**;;;;;;;8.75
+;7;8.75;Zberg Nuyen;;20;54.25;4;10.0;-3;1.25;10.0
+;8;18.75;Kennel Beat;**;15;55.5;9;18.5;1;-0.25;9.75
-;8;28.5;Zemp Christian (2004);*;11;56.5;7;28.75;-1;0.25;9.0
+;10;37.5;Achermann Daniel;;21;54.0;12;37.0;2;-0.5;9.75
+;10;47.25;Schaller Noah;*;14;55.75;10;47.25;0;0.0;9.75

9p;Rohrer Ueli;**;;;;;;;;;57.0
-;;;Suppiger Werner;**;;;;;;;8.75
+;7;8.75;Widmer Simon;;15;55.5;4;10.0;-3;1.25;10.0
o;8;18.75;Kurmann Toni;*;8;57.25;8;18.75;0;0.0;8.75
+;12;27.5;Rust Silvio;;21;54.0;10;28.0;-2;0.5;10.0
+;10;37.5;Gerber Peter;*;14;55.75;11;37.25;1;-0.25;9.75
+;10;47.25;Duss Yvan;;14;55.75;10;47.25;0;0.0;9.75

9q;Kaufmann Reto;*;;;;;;;;;57.0
+;;;Kennel Stefan;**;;;;;;;9.75
+;5;9.75;Schmidiger Marco;*;16;55.25;5;9.75;0;0.0;9.75
o;6;19.5;Fankhauser Erich;***;4;59.25;4;20.0;-2;0.5;8.75
+;9;28.25;Ziegler Elias;;15;55.5;8;28.5;-1;0.25;10.0
+;7;38.25;Walker Jan (2004);;15;55.5;7;38.25;0;0.0;10.0
-;6;48.25;Scherer Niklaus;**;10;56.75;7;48.0;1;-0.25;8.75

9r;Scherrer Fabian;*;;;;;;;;;57.0
o;;;Betschart Marcel;*;;;;;;;8.75
+;7;8.75;Müller Severin;;21;54.0;4;10.0;-3;1.25;10.0
+;8;18.75;Inderbitzin Daniel;*;38;27.0;9;18.5;1;-0.25;10.0
+;7;28.75;Troxler Jonas;*;9;57.0;7;28.75;0;0.0;10.0
o;5;38.75;Wicki Joel;***;5;58.25;6;38.5;1;-0.25;8.5
+;10;47.25;Giger Samuel (2005);;17;55.0;13;46.5;3;-0.75;9.75

10a;Bürli Roger;**;;;;;;;;;56.75
+;;;Kennel Beat;**;;;;;;;10.0
+;4;10.0;Elmiger Andreas;*;14;55.75;5;9.75;1;-0.25;9.75
o;5;19.75;Wicki Joel;***;5;58.25;8;18.75;3;-1.0;8.5
+;9;28.25;Chiodo Gian Paolo (2005);;15;55.5;7;28.75;-2;0.5;10.0
+;7;38.25;von Wyl Kevin (2004);;14;55.75;7;38.25;0;0.0;10.0
o;6;48.25;Ambühl Joel;**;5;58.25;6;48.25;0;0.0;8.5

10b;Schärli Reto;*;;;;;;;;;56.75
+;;;Hess Michael;*;;;;;;;10.0
o;4;10.0;Schuler Alex;***;1;113.5;2;17.25;-2;7.25;8.5
+;9;18.5;Odermatt Andreas;;26;52.75;8;18.75;-1;0.25;9.75
+;9;28.25;Bieri Elias;;14;55.75;8;28.5;-1;0.25;10.0
o;7;38.25;Lemmenmeier Lukas;*;6;57.75;7;38.25;0;0.0;8.5
+;12;46.75;Häﬂiger Patrick;;17;55.0;13;46.5;1;-0.25;10.0

10c;Scherer Niklaus;**;;;;;;;;;56.75
+;;;Bienz Romeo;*;;;;;;;9.75
-;5;9.75;Stöckli Damian;*;11;56.5;5;9.75;0;0.0;8.75
+;9;18.5;Auf der Maur Michael;;20;54.25;8;18.75;-1;0.25;9.75
+;9;28.25;Mignola Lorenzo;;22;53.75;9;28.25;0;0.0;10.0
+;7;38.25;Burch Jonas;**;13;56.0;7;38.25;0;0.0;9.75
-;7;48.0;Kaufmann Reto;*;9;57.0;6;48.25;-1;0.25;8.75

10d;Zurﬂuh Michael;*;;;;;;;;;56.75
-;;;Kurmann Toni;*;;;;;;;8.75
+;7;8.75;Egli Severin (2004);;23;53.5;4;10.0;-3;1.25;9.75
+;9;18.5;Füglister Stefan;;31;35.5;9;18.5;0;0.0;10.0
-;8;28.5;Müller Michael;**;6;57.75;7;28.75;-1;0.25;8.75
+;11;37.25;Ulrich Marco;**;15;55.5;12;37.0;1;-0.25;9.75
+;11;47.0;Huser Christian;;17;55.0;13;46.5;2;-0.5;9.75

10e;Vogel Marcel;*;;;;;;;;;56.75
+;;;Felder Seppi;*;;;;;;;9.75
-;5;9.75;Zurﬂuh Roman;**;8;57.25;5;9.75;0;0.0;8.75
+;9;18.5;Steiner Severin;;18;54.75;8;18.75;-1;0.25;9.75
+;9;28.25;Theiler Andre;;22;53.75;9;28.25;0;0.0;10.0
o;7;38.25;Schuler Alex;***;1;113.5;1;75.5;-6;37.25;8.5
+;12;46.75;Bieri Elias;;14;55.75;11;47.0;-1;0.25;10.0

10f;Kuster Thomas;**;;;;;;;;;56.75
o;;;Fankhauser Erich;***;;;;;;;8.5
+;8;8.5;Erni Remo (2005);;31;35.5;5;9.75;-3;1.25;10.0
+;9;18.5;Wicki Patrick;;17;55.0;7;19.0;-2;0.5;10.0
+;8;28.5;Egli Damian;**;9;57.0;8;28.5;0;0.0;9.75
-;7;38.25;Waser Dominik;**;10;56.75;7;38.25;0;0.0;8.75
+;11;47.0;Gander Michael;;16;55.25;12;46.75;1;-0.25;9.75

10g;Wüest David;;;;;;;;;;56.75
+;;;von Matt Lars;;;;;;;;10.0
-;4;10.0;Eﬃnger Markus;*;19;54.5;8;8.5;4;-1.5;8.75
+;8;18.75;Schöpfer Elias (2004);;31;35.5;9;18.5;1;-0.25;10.0
+;7;28.75;Bühlmann Daniel;*;16;55.25;9;28.25;2;-0.5;9.75
o;6;38.5;Schöpfer Ronny;**;9;57.0;7;38.25;1;-0.25;8.5
+;11;47.0;Heinzer Lukas (2004);*;14;55.75;10;47.25;-1;0.25;9.75

10h;Bühler Kilian;*;;;;;;;;;56.75
+;;;Röthlin Pascal;*;;;;;;;10.0
o;4;10.0;Schöpfer Ronny;**;9;57.0;5;9.75;1;-0.25;8.75
+;8;18.75;Hüsler Matthias;;16;55.25;5;19.75;-3;1.0;10.0
+;7;28.75;Felder Martin;*;14;55.75;7;28.75;0;0.0;9.75
+;6;38.5;Bissig Lukas;*;9;57.0;7;38.25;1;-0.25;9.75
o;6;48.25;Wicki Joel;***;5;58.25;6;48.25;0;0.0;8.5

10i;Waser Dominik;**;;;;;;;;;56.75
o;;;Müller Michael;**;;;;;;;8.5
+;8;8.5;Egli Matthias;;17;55.0;5;9.75;-3;1.25;10.0
+;9;18.5;Riebli Urs;*;14;55.75;8;18.75;-1;0.25;9.75
+;9;28.25;Bühler Patrice;;16;55.25;8;28.5;-1;0.25;10.0
-;7;38.25;Kuster Thomas;**;10;56.75;7;38.25;0;0.0;8.75
+;11;47.0;Zürcher Ueli;*;16;55.25;12;46.75;1;-0.25;9.75

11a;Gut Koni;;;;;;;;;;56.5
o;;;Kammermann Dominik;;;;;;;;8.5
+;8;8.5;Fischer Silvan (2006);;36;34.0;8;8.5;0;0.0;10.0
+;9;18.5;Fässler Dominic;**;35;34.25;13;17.25;4;-1.25;10.0
-;8;28.5;Stöckli Damian;*;11;56.5;8;28.5;0;0.0;9.0
+;10;37.5;Achermann David (2006);;19;54.5;12;37.0;2;-0.5;10.0
-;9;47.5;Schmid Simon;*;11;56.5;8;47.75;-1;0.25;9.0

11b;Schmid Simon;*;;;;;;;;;56.5
+;;;Zimmermann Daniel;*;;;;;;;10.0
-;4;10.0;Zemp Christian (2004);*;11;56.5;5;9.75;1;-0.25;9.0
+;7;19.0;Albert Thomas;;16;55.25;6;19.5;-1;0.5;10.0
-;6;29.0;Binggeli Stefan;**;18;54.75;8;28.5;2;-0.5;8.75
+;9;37.75;Bucher Sandro;;21;54.0;12;37.0;3;-0.75;10.0
-;8;47.75;Gut Koni;;11;56.5;9;47.5;1;-0.25;8.75

11c;Kennel Stefan;**;;;;;;;;;56.5
o;;;Kaufmann Reto;*;;;;;;;8.5
+;8;8.5;Widmer Dominik;;32;35.25;5;9.75;-3;1.25;9.75
+;10;18.25;Grüter Marcel;;20;54.25;9;18.5;-1;0.25;10.0
-;9;28.25;Schwyzer Samuel;*;12;56.25;8;28.5;-1;0.25;8.75
+;12;37.0;Röthlin Pascal;*;15;55.5;12;37.0;0;0.0;9.75
+;12;46.75;Bühler Patrice;;16;55.25;12;46.75;0;0.0;9.75

11d;Zemp Christian (2004);*;;;;;;;;;56.5
+;;;Fässler Dominic;**;;;;;;;9.75
-;5;9.75;Schmid Simon;*;11;56.5;4;10.0;-1;0.25;9.0
+;8;18.75;Achermann Christian;;21;54.0;6;19.5;-2;0.75;10.0
-;7;28.75;Lustenberger Josef;*;9;57.0;8;28.5;1;-0.25;9.0
+;9;37.75;Vogel Laurin;;18;54.75;10;37.5;1;-0.25;10.0
o;8;47.75;Lustenberger Marc;*;7;57.5;8;47.75;0;0.0;8.75

11e;Omlin Toni;*;;;;;;;;;56.5
+;;;Schwyzer Samuel;*;;;;;;;10.0
-;4;10.0;Müller Michael;**;6;57.75;5;9.75;1;-0.25;9.0
-;7;19.0;Bühler Patrice;;16;55.25;5;19.75;-2;0.75;8.75
+;11;27.75;Bullakaj Benhard;;22;53.75;9;28.25;-2;0.5;10.0
+;9;37.75;Wicki David;*;14;55.75;11;37.25;2;-0.5;10.0
-;8;47.75;Hirsiger Alexander;*;12;56.25;10;47.25;2;-0.5;8.75

11f;Stöckli Damian;*;;;;;;;;;56.5
+;;;Keller Janik;*;;;;;;;9.75
-;5;9.75;Scherer Niklaus;**;10;56.75;5;9.75;0;0.0;8.75
+;9;18.5;Ziegler Moritz;;24;53.25;9;18.5;0;0.0;10.0
