5506-2022-05-29_102_Luzerner_Kantonales_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;113.5
o;4;10.0;Lustenberger Josef;*;9;57.0;7;8.75;3;-1.25;8.5
-;9;18.5;Muff Gianluca (2006);;20;54.25;9;18.5;0;0.0;8.75
o;13;27.25;Arnold Sebastian;;16;55.25;14;27.0;1;-0.25;8.5
o;17;35.75;Schmidiger Lukas (2004);;19;54.5;16;36.0;-1;0.25;8.5
+;22;44.25;Stübi Noël (2004);;26;52.75;22;44.25;0;0.0;10.0

20f;Zumstein Patrick;;;;;;;;;;54.25
+;;;Schmidiger Lukas (2004);;;;;;;;10.0
o;4;10.0;Widmer Adrian;*;37;27.25;7;8.75;3;-1.25;8.75
o;8;18.75;Chiodo Gian Paolo (2005);;15;55.5;8;18.75;0;0.0;8.5
o;13;27.25;Widmer Simon;;15;55.5;13;27.25;0;0.0;8.5
o;17;35.75;Kammermann Dominik;;16;55.25;12;37.0;-5;1.25;8.5
+;22;44.25;Steffen Rafael (2005);;26;52.75;22;44.25;0;0.0;10.0

20g;Staub Ivan;;;;;;;;;;54.25
-;;;Wicki Kevin;;;;;;;;8.75
+;7;8.75;von Rickenbach Carlo (2005);;16;55.25;8;8.5;1;-0.25;9.75
o;9;18.5;Schwyzer Samuel;*;12;56.25;9;18.5;0;0.0;8.5
o;14;27.0;Egli Matthias;;17;55.0;14;27.0;0;0.0;8.75
-;17;35.75;Rust Lorin (2004);;22;53.75;16;36.0;-1;0.25;8.75
+;21;44.5;Meyer Joel (2004);;25;53.0;21;44.5;0;0.0;9.75

20h;Muff Gianluca (2006);;;;;;;;;;54.25
+;;;Schnüriger Kevin (2004);;;;;;;;10.0
o;4;10.0;Wicki David;*;14;55.75;7;8.75;3;-1.25;8.5
-;9;18.5;Zberg Nuyen;;20;54.25;9;18.5;0;0.0;8.75
+;13;27.25;Kretz Marius (2006);;32;35.25;15;26.75;2;-0.5;9.75
o;12;37.0;Rutsch Remo (2004);*;15;55.5;13;36.75;1;-0.25;8.5
-;17;45.5;Achermann David (2006);;19;54.5;17;45.5;0;0.0;8.75

20i;Christen Samuel (2006);;;;;;;;;;54.25
o;;;Roner Remo;;;;;;;;8.5
o;8;8.5;Hurschler Adrian;;16;55.25;7;8.75;-1;0.25;8.5
+;14;17.0;Stübi Nevio (2006);;26;52.75;13;17.25;-1;0.25;10.0
-;14;27.0;von Matt Lars;;21;54.0;14;27.0;0;0.0;8.75
o;17;35.75;Auf der Maur Michael;;20;54.25;17;35.75;0;0.0;8.5
+;22;44.25;Zgraggen Mario (2006);;26;52.75;22;44.25;0;0.0;10.0

20j;Auf der Maur Michael;;;;;;;;;;54.25
-;;;Odermatt Andreas;;;;;;;;8.75
+;7;8.75;Dubach Michael (2006);;36;34.0;8;8.5;1;-0.25;10.0
o;8;18.75;Scherer Niklaus;**;10;56.75;9;18.5;1;-0.25;8.5
o;13;27.25;Vogel Laurin;;18;54.75;12;27.5;-1;0.25;8.5
+;17;35.75;Christen Samuel (2006);;20;54.25;17;35.75;0;0.0;10.0
o;16;45.75;Wicki David;*;14;55.75;16;45.75;0;0.0;8.5

20k;Büchler Livio;;;;;;;;;;54.25
+;;;Suter Nicolas;;;;;;;;9.75
o;5;9.75;Heiniger Marco;**;9;57.0;7;8.75;2;-1.0;8.5
+;10;18.25;Erni Remo (2005);;31;35.5;10;18.25;0;0.0;10.0
o;9;28.25;Amrhyn Jonas;;16;55.25;9;28.25;0;0.0;8.75
o;12;37.0;Schaller Noah;*;14;55.75;11;37.25;-1;0.25;8.5
-;17;45.5;Egli Kilian (2004);;19;54.5;16;45.75;-1;0.25;8.75

20l;Grüter Marcel;;;;;;;;;;54.25
+;;;Fuchs Jonas (2006);;;;;;;;9.75
-;5;9.75;Birchler Fabian;;30;36.0;5;9.75;0;0.0;8.75
o;9;18.5;Kennel Stefan;**;11;56.5;10;18.25;1;-0.25;8.5
-;14;27.0;Schori Kevin (2004);;17;55.0;13;27.25;-1;0.25;8.75
+;17;35.75;Ziegler Moritz;;24;53.25;16;36.0;-1;0.25;10.0
o;16;45.75;Rogenmoser Ryan;;14;55.75;16;45.75;0;0.0;8.5

20m;Gwerder Beni;;;;;;;;;;54.25
+;;;Theiler Andre;;;;;;;;9.75
o;5;9.75;Zürcher Ueli;*;16;55.25;8;8.5;3;-1.25;8.75
o;9;18.5;Lüscher Elias (2006);;18;54.75;10;18.25;1;-0.25;8.5
+;14;27.0;Koch Florian;;32;35.25;15;26.75;1;-0.25;10.0
o;12;37.0;Wyrsch Silvio;*;15;55.5;12;37.0;0;0.0;8.5
-;17;45.5;Schwyzer Sebastian (2004);;20;54.25;17;45.5;0;0.0;8.75

21a;Aregger Fabian;;;;;;;;;;54.0
+;;;Wolf Stefan (2006);;;;;;;;10.0
o;4;10.0;Ottiger Lukas;*;13;56.0;7;8.75;3;-1.25;8.5
-;9;18.5;Achermann Ueli;;23;53.5;9;18.5;0;0.0;8.75
+;13;27.25;Ulrich Damian;;21;54.0;14;27.0;1;-0.25;9.75
o;12;37.0;Häﬂiger Patrick;;17;55.0;13;36.75;1;-0.25;8.5
o;17;45.5;Ulrich Marco;**;15;55.5;16;45.75;-1;0.25;8.5

21b;Bissig Joris;;;;;;;;;;54.0
o;;;Wicki Patrick;;;;;;;;8.5
o;8;8.5;Achermann Daniel;;21;54.0;7;8.75;-1;0.25;8.5
+;14;17.0;Suter Nicolas;;35;34.25;14;17.0;0;0.0;10.0
+;14;27.0;Hodel Joel;;31;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Bieri Christian;**;17;55.0;13;36.75;1;-0.25;8.5
o;17;45.5;Thierstein Marco;*;15;55.5;17;45.5;0;0.0;8.5

21c;Reichlin Reto;;;;;;;;;;54.0
o;;;Bieri Crispin (2005);;;;;;;;8.5
-;8;8.5;Meyer Joel (2004);;25;53.0;7;8.75;-1;0.25;8.75
+;13;17.25;Peter Lukas;;31;35.5;14;17.0;1;-0.25;10.0
o;13;27.25;Thalmann Thomas;*;15;55.5;14;27.0;1;-0.25;8.5
o;17;35.75;Wicki Patrick;;17;55.0;14;36.5;-3;0.75;8.5
+;22;44.25;Arnold Livio (2004);;26;52.75;22;44.25;0;0.0;9.75

21d;von Matt Lars;;;;;;;;;;54.0
o;;;Wüest David;;;;;;;;8.5
+;8;8.5;Petermann Elia (2006);;32;35.25;8;8.5;0;0.0;9.75
-;10;18.25;Bieri Crispin (2005);;19;54.5;10;18.25;0;0.0;8.75
-;14;27.0;Christen Samuel (2006);;20;54.25;14;27.0;0;0.0;8.75
o;17;35.75;Lüscher Elias (2006);;18;54.75;14;36.5;-3;0.75;8.5
+;22;44.25;Odermatt Andreas;;26;52.75;22;44.25;0;0.0;9.75

21e;Rust Silvio;;;;;;;;;;54.0
+;;;Schwyzer Flurin (2006);;;;;;;;9.75
o;5;9.75;Waser Christoph;*;14;55.75;8;8.5;3;-1.25;8.5
+;10;18.25;Küng Jonas (2004);;31;35.5;10;18.25;0;0.0;9.75
o;10;28.0;Rohrer Ueli;**;9;57.0;12;27.5;2;-0.5;8.5
-;14;36.5;Gasser Severin (2006);;22;53.75;14;36.5;0;0.0;8.75
-;18;45.25;Thalmann Adrian;;2;110.0;2;91.25;-16;46.0;8.75

21f;Bissig Julian;;;;;;;;;;54.0
+;;;von Rickenbach Carlo (2005);;;;;;;;9.75
o;5;9.75;Thalmann Adrian;;2;110.0;1;18.5;-4;8.75;8.5
-;10;18.25;Schumacher Ramon;;20;54.25;9;18.5;-1;0.25;8.75
+;14;27.0;Gloggner Matthias (2005);;21;54.0;13;27.25;-1;0.25;9.75
-;13;36.75;Wyss Christian;*;15;55.5;13;36.75;0;0.0;8.75
o;17;45.5;Portmann Curdin;;16;55.25;17;45.5;0;0.0;8.5

21g;Müller Severin;;;;;;;;;;54.0
+;;;Koller Robin (2006);;;;;;;;10.0
o;4;10.0;Scherrer Fabian;*;9;57.0;7;8.75;3;-1.25;8.5
o;9;18.5;Ziegler Elias;;15;55.5;9;18.5;0;0.0;8.5
+;14;27.0;Eberli Jonas (2005);;31;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Felder Martin;*;14;55.75;11;37.25;-1;0.25;8.5
o;17;45.5;Kathriner Andreas;;16;55.25;17;45.5;0;0.0;8.5

21h;Wirz Martin (2005);;;;;;;;;;54.0
+;;;Schöpfer Roman;;;;;;;;9.75
o;5;9.75;Bissig Lukas;*;9;57.0;8;8.5;3;-1.25;8.5
-;10;18.25;Schwegler Flavio (2004);;21;54.0;10;18.25;0;0.0;8.75
+;14;27.0;Sturzenegger Luca (2004);;31;35.5;14;27.0;0;0.0;9.75
o;13;36.75;Eﬃnger Markus;*;19;54.5;16;36.0;3;-0.75;8.5
-;18;45.25;Föhn Christian;;21;54.0;18;45.25;0;0.0;8.75

21i;Föhn Christian;;;;;;;;;;54.0
+;;;Fischer Markus;;;;;;;;10.0
o;4;10.0;Thierstein Marco;*;15;55.5;6;9.0;2;-1.0;8.5
+;9;18.5;Aregger Silvan (2006);;31;35.5;9;18.5;0;0.0;9.75
o;9;28.25;Huser Christian;;17;55.0;10;28.0;1;-0.25;8.5
o;13;36.75;Marti Simon;*;13;56.0;14;36.5;1;-0.25;8.5
-;18;45.25;Wirz Martin (2005);;21;54.0;18;45.25;0;0.0;8.75

21j;Bucher Sandro;;;;;;;;;;54.0
o;;;Egli Matthias;;;;;;;;8.5
+;8;8.5;Marbach Sven (2005);;22;53.75;8;8.5;0;0.0;10.0
o;9;18.5;Gerber Peter;*;14;55.75;9;18.5;0;0.0;8.5
+;14;27.0;Riedweg Matteo (2005);;32;35.25;15;26.75;1;-0.25;10.0
o;12;37.0;Schmid Simon;*;11;56.5;9;37.75;-3;0.75;8.5
o;17;45.5;Thalmann Adrian;;2;110.0;2;91.25;-15;45.75;8.5

21k;Gloggner Matthias (2005);;;;;;;;;;54.0
o;;;Widmer Dominik;;;;;;;;8.5
-;8;8.5;Betschart Fabian;;22;53.75;8;8.5;0;0.0;8.75
+;13;17.25;Zenklusen Matteo (2005);;34;34.5;13;17.25;0;0.0;10.0
o;13;27.25;Bissig Julian;;21;54.0;14;27.0;1;-0.25;8.5
+;17;35.75;Zgraggen Mario (2006);;26;52.75;17;35.75;0;0.0;9.75
o;17;45.5;Schilter Daniel;*;18;54.75;19;45.0;2;-0.5;8.5

21l;Achermann Daniel;;;;;;;;;;54.0
o;;;Rogenmoser Ryan;;;;;;;;8.75
+;7;8.75;Bissig Joris;;21;54.0;8;8.5;1;-0.25;10.0
o;8;18.75;Fankhauser Reto;**;8;57.25;9;18.5;1;-0.25;8.5
+;13;27.25;Bucher Adrian (2004);;31;35.5;14;27.0;1;-0.25;9.75
o;12;37.0;Lustenberger Josef;*;9;57.0;10;37.5;-2;0.5;8.5
o;17;45.5;Röthlin Pascal;*;15;55.5;17;45.5;0;0.0;8.5

21m;Muff Pierre (2004);;;;;;;;;;54.0
+;;;Widmer Florian (2005);;;;;;;;10.0
o;4;10.0;Bachmann Roger;*;14;55.75;7;8.75;3;-1.25;8.5
o;9;18.5;Bieri Elias;;14;55.75;9;18.5;0;0.0;8.5
+;14;27.0;Grüter Philip (2004);;32;35.25;15;26.75;1;-0.25;10.0
o;12;37.0;Fankhauser Reto;**;8;57.25;11;37.25;-1;0.25;8.5
o;17;45.5;Wicki Kevin;;15;55.5;16;45.75;-1;0.25;8.5

21n;Ulrich Damian;;;;;;;;;;54.0
o;;;Huser Christian;;;;;;;;8.5
o;8;8.5;Fuchs Jonas (2006);;31;35.5;8;8.5;0;0.0;8.5
+;14;17.0;Fischer Silvan (2006);;36;34.0;14;17.0;0;0.0;10.0
o;14;27.0;Aregger Fabian;;21;54.0;13;27.25;-1;0.25;8.75
+;17;35.75;Arnold Linus (2004);;26;52.75;17;35.75;0;0.0;9.75
o;17;45.5;Schmid Julian;;17;55.0;18;45.25;1;-0.25;8.5

21o;Simmen Robin (2004);;;;;;;;;;54.0
+;;;Lustenberger Roman (2006);;;;;;;;10.0
o;4;10.0;Bernhard Lukas;**;9;57.0;7;8.75;3;-1.25;8.5
+;9;18.5;Müller Silvio;;31;35.5;10;18.25;1;-0.25;10.0
o;8;28.5;Kurmann Toni;*;8;57.25;8;28.5;0;0.0;8.5
o;12;37.0;Duss Yvan;;14;55.75;11;37.25;-1;0.25;8.5
o;17;45.5;Betschart Daniel;;16;55.25;17;45.5;0;0.0;8.5

21p;Füglister Florian;;;;;;;;;;54.0
+;;;Albisser Jannik;;;;;;;;10.0
o;4;10.0;Egli Damian;**;9;57.0;7;8.75;3;-1.25;8.5
o;9;18.5;Doppmann Ueli;;16;55.25;9;18.5;0;0.0;8.5
+;14;27.0;Bucher Manuel (2006);;32;35.25;15;26.75;1;-0.25;10.0
o;12;37.0;Arnold Sebastian;;16;55.25;13;36.75;1;-0.25;8.5
o;17;45.5;von Ah Markus;;16;55.25;17;45.5;0;0.0;8.5

21q;Baumann Lukas;;;;;;;;;;54.0
+;;;Waser Kevin (2006);;;;;;;;9.75
+;5;9.75;Füglister Stefan;;31;35.5;4;10.0;-1;0.25;9.75
o;6;19.5;Schaller Noah;*;14;55.75;8;18.75;2;-0.75;8.5
-;10;28.0;Egli Severin (2004);;23;53.5;13;27.25;3;-0.75;8.75
-;13;36.75;Ziegler Elias;;15;55.5;12;37.0;-1;0.25;8.75
o;17;45.5;Gerber Peter;*;14;55.75;16;45.75;-1;0.25;8.5

21r;Achermann Christian;;;;;;;;;;54.0
+;;;Marbach Sven (2005);;;;;;;;9.75
+;5;9.75;Gisler Fabio (2006);;32;35.25;5;9.75;0;0.0;9.75
o;6;19.5;Zemp Christian (2004);*;11;56.5;8;18.75;2;-0.75;8.5
o;10;28.0;Mehr Lars;*;13;56.0;13;27.25;3;-0.75;8.5
o;14;36.5;Gander Michael;;16;55.25;13;36.75;-1;0.25;8.5
-;19;45.0;Egli Severin (2004);;23;53.5;21;44.5;2;-0.5;9.0

21s;Köpﬂi Mario (2005);;;;;;;;;;54.0
o;;;Kurmann Jvo;;;;;;;;8.5
o;8;8.5;Hodler Mathias;;31;35.5;8;8.5;0;0.0;8.5
+;14;17.0;Dubach Michael (2006);;36;34.0;14;17.0;0;0.0;10.0
+;14;27.0;Steffen Michael (2006);;31;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Bühler Patrice;;16;55.25;12;37.0;0;0.0;8.5
o;17;45.5;Wyss Christian;*;15;55.5;16;45.75;-1;0.25;8.5

21t;Rohrer Sven (2004);;;;;;;;;;54.0
o;;;Huser Tobias;;;;;;;;8.5
o;8;8.5;Ochsner Tim (2006);;22;53.75;8;8.5;0;0.0;8.5
-;14;17.0;Betschart Fabian;;22;53.75;13;17.25;-1;0.25;9.0
+;17;26.0;Stalder Wanja (2006);;35;34.25;18;25.75;1;-0.25;9.75
o;17;35.75;Wicki Kevin;;15;55.5;16;36.0;-1;0.25;8.5
+;22;44.25;Stübi Nevio (2006);;26;52.75;22;44.25;0;0.0;9.75

21u;Schwegler Flavio (2004);;;;;;;;;;54.0
+;;;Boog Timo (2006);;;;;;;;9.75
o;5;9.75;Doppmann Urs;**;9;57.0;7;8.75;2;-1.0;8.5
-;10;18.25;Wirz Martin (2005);;21;54.0;10;18.25;0;0.0;8.75
+;14;27.0;Waser David;;31;35.5;15;26.75;1;-0.25;10.0
o;12;37.0;Widmer Simon;;15;55.5;12;37.0;0;0.0;8.5
o;17;45.5;Wittwer Roy;;15;55.5;17;45.5;0;0.0;8.5

22a;Marbach Sven (2005);;;;;;;;;;53.75
o;;;Achermann Christian;;;;;;;;8.5
o;8;8.5;Bucher Sandro;;21;54.0;8;8.5;0;0.0;8.5
+;14;17.0;Würsch Andrin (2006);;31;35.5;14;17.0;0;0.0;9.75
+;15;26.75;Friedli Jonas;;32;35.25;15;26.75;0;0.0;10.0
o;13;36.75;Hüsler Matthias;;16;55.25;12;37.0;-1;0.25;8.5
o;18;45.25;Ottiger Lukas;*;13;56.0;15;46.0;-3;0.75;8.5

22b;Betschart Fabian;;;;;;;;;;53.75
o;;;Doppmann Ueli;;;;;;;;8.5
-;8;8.5;Gloggner Matthias (2005);;21;54.0;8;8.5;0;0.0;8.75
-;13;17.25;Rohrer Sven (2004);;21;54.0;14;17.0;1;-0.25;9.0
+;16;26.25;Broch Marcel;;35;34.25;18;25.75;2;-0.5;10.0
o;15;36.25;Schnider Markus;*;19;54.5;16;36.0;1;-0.25;8.5
-;20;44.75;Rust Lorin (2004);;22;53.75;20;44.75;0;0.0;9.0

22c;Gasser Severin (2006);;;;;;;;;;53.75
o;;;Zimmermann Raffael;;;;;;;;8.5
+;8;8.5;Crotta Robin;;31;35.5;8;8.5;0;0.0;9.75
o;10;18.25;Zimmermann Daniel;*;32;35.25;14;17.0;4;-1.25;8.5
+;15;26.75;Gisler Fabio (2006);;32;35.25;15;26.75;0;0.0;9.75
-;14;36.5;Rust Silvio;;21;54.0;14;36.5;0;0.0;8.75
o;18;45.25;Schnellmann Alexander (2004);;15;55.5;17;45.5;-1;0.25;8.5

22d;Bullakaj Benhard;;;;;;;;;;53.75
+;;;Schneider Linus (2006);;;;;;;;10.0
+;4;10.0;Steffen Rafael (2005);;26;52.75;4;10.0;0;0.0;9.75
o;5;19.75;Lustenberger Marc;*;7;57.5;7;19.0;2;-0.75;8.5
o;9;28.25;Omlin Toni;*;11;56.5;11;27.75;2;-0.5;8.5
o;13;36.75;Häller Nick;;16;55.25;13;36.75;0;0.0;8.5
o;18;45.25;Egli Matthias;;17;55.0;18;45.25;0;0.0;8.5

22e;Theiler Andre;;;;;;;;;;53.75
o;;;Gwerder Beni;;;;;;;;8.5
+;8;8.5;Würsch Andrin (2006);;31;35.5;8;8.5;0;0.0;9.75
+;10;18.25;Roner Remo;;31;35.5;10;18.25;0;0.0;10.0
o;9;28.25;Vogel Marcel;*;10;56.75;9;28.25;0;0.0;8.5
o;13;36.75;Ming Hannes;;17;55.0;13;36.75;0;0.0;8.5
o;18;45.25;Kennel Beat;**;15;55.5;16;45.75;-2;0.5;8.5

22f;Mignola Lorenzo;;;;;;;;;;53.75
o;;;Riedweg Matteo (2005);;;;;;;;8.5
+;8;8.5;Egli Samuel;;31;35.5;8;8.5;0;0.0;9.75
+;10;18.25;Kretz Marius (2006);;32;35.25;10;18.25;0;0.0;10.0
o;9;28.25;Scherer Niklaus;**;10;56.75;9;28.25;0;0.0;8.5
o;13;36.75;Doppmann Ueli;;16;55.25;13;36.75;0;0.0;8.5
o;18;45.25;von Rickenbach Carlo (2005);;16;55.25;18;45.25;0;0.0;8.5

22g;Ochsner Tim (2006);;;;;;;;;;53.75
o;;;Bühler Patrice;;;;;;;;8.5
+;8;8.5;Rohrer Sven (2004);;21;54.0;8;8.5;0;0.0;9.75
o;10;18.25;Felder Seppi;*;31;35.5;14;17.0;4;-1.25;8.5
+;15;26.75;Schnider Josef (2005);;34;34.5;17;26.0;2;-0.75;10.0
o;13;36.75;Bieri Elias;;14;55.75;12;37.0;-1;0.25;8.5
o;18;45.25;Schmid Joel;;18;54.75;20;44.75;2;-0.5;8.5

22h;Rust Lorin (2004);;;;;;;;;;53.75
o;;;Achermann David (2006);;;;;;;;8.75
+;7;8.75;Peter Lukas;;31;35.5;8;8.5;1;-0.25;9.75
o;9;18.5;Bieri Christian;**;17;55.0;13;17.25;4;-1.25;8.5
-;14;27.0;Crotta Robin;;31;35.5;15;26.75;1;-0.25;9.0
-;16;36.0;Staub Ivan;;20;54.25;17;35.75;1;-0.25;8.75
-;20;44.75;Betschart Fabian;;22;53.75;20;44.75;0;0.0;9.0

23a;Egli Severin (2004);;;;;;;;;;53.5
+;;;Kretz Marius (2006);;;;;;;;10.0
o;4;10.0;Zurﬂuh Michael;*;10;56.75;7;8.75;3;-1.25;8.5
-;9;18.5;Widmer Simon;;15;55.5;9;18.5;0;0.0;8.75
-;13;27.25;Baumann Lukas;;21;54.0;10;28.0;-3;0.75;8.75
o;16;36.0;Forster Christian;;20;54.25;17;35.75;1;-0.25;8.5
-;21;44.5;Achermann Christian;;21;54.0;19;45.0;-2;0.5;9.0

23b;Achermann Ueli;;;;;;;;;;53.5
+;;;Krauer Andri (2005);;;;;;;;10.0
o;4;10.0;Murer Andy;**;13;56.0;7;8.75;3;-1.25;8.5
-;9;18.5;Aregger Fabian;;21;54.0;9;18.5;0;0.0;8.75
-;13;27.25;Wicki Patrick;;17;55.0;12;27.5;-1;0.25;9.0
-;15;36.25;Schmid Joel;;18;54.75;16;36.0;1;-0.25;8.75
o;19;45.0;Zimmermann Gian (2004);;17;55.0;19;45.0;0;0.0;8.5

23c;Bürgi Simon;;;;;;;;;;53.5
o;;;Bühler Ramon;;;;;;;;8.5
+;8;8.5;Zemp Raphael (2006);;32;35.25;8;8.5;0;0.0;9.75
+;10;18.25;Bucher Manuel (2006);;32;35.25;10;18.25;0;0.0;9.75
o;10;28.0;Vogel Remo;**;9;57.0;12;27.5;2;-0.5;8.5
o;14;36.5;Achermann Ivan (2005);;18;54.75;15;36.25;1;-0.25;8.5
o;19;45.0;Fellmann Simon;;18;54.75;20;44.75;1;-0.25;8.5

24a;Wolf Stefan (2006);;;;;;;;;;53.25
o;;;Aregger Fabian;;;;;;;;8.5
+;8;8.5;Albisser Jannik;;31;35.5;8;8.5;0;0.0;10.0
-;9;18.5;Vogel Laurin;;18;54.75;9;18.5;0;0.0;9.0
o;12;27.5;Thierstein Marco;*;15;55.5;13;27.25;1;-0.25;8.75
o;15;36.25;Huser Tobias;;16;55.25;12;37.0;-3;0.75;8.5
o;20;44.75;Ziegler Elias;;15;55.5;16;45.75;-4;1.0;8.5

24b;Koch Cyrill (2004);;;;;;;;;;53.25
-;;;Zenklusen Matteo (2005);;;;;;;;8.75
-;7;8.75;Gloggner André;;32;35.25;8;8.5;1;-0.25;8.75
o;12;17.5;Schwyzer Sebastian (2004);;20;54.25;10;18.25;-2;0.75;8.5
+;17;26.0;Koller Robin (2006);;35;34.25;18;25.75;1;-0.25;10.0
-;16;36.0;Zemp Simon;;19;54.5;17;35.75;1;-0.25;8.75
o;20;44.75;Suter Lukas;;16;55.25;18;45.25;-2;0.5;8.5

24c;Ziegler Moritz;;;;;;;;;;53.25
o;;;Staffelbach Noah;;;;;;;;8.5
+;8;8.5;Krauer Andri (2005);;33;34.75;8;8.5;0;0.0;10.0
o;9;18.5;Stöckli Damian;*;11;56.5;9;18.5;0;0.0;8.5
-;14;27.0;Schmidiger Lukas (2004);;19;54.5;14;27.0;0;0.0;9.0
o;16;36.0;Grüter Marcel;;20;54.25;17;35.75;1;-0.25;8.5
-;21;44.5;Schöpfer Roman;;25;53.0;22;44.25;1;-0.25;8.75

25a;Meyer Joel (2004);;;;;;;;;;53.0
o;;;Waser David;;;;;;;;8.75
-;7;8.75;Reichlin Reto;;21;54.0;8;8.5;1;-0.25;8.75
+;12;17.5;Kunz Pascal (2004);;36;34.0;14;17.0;2;-0.5;10.0
o;12;27.5;Heinzer Lukas (2004);*;14;55.75;11;27.75;-1;0.25;8.5
o;16;36.0;Kathriner Andreas;;16;55.25;17;35.75;1;-0.25;8.5
o;21;44.5;Staub Ivan;;20;54.25;21;44.5;0;0.0;8.5

25b;Schöpfer Roman;;;;;;;;;;53.0
o;;;Wirz Martin (2005);;;;;;;;8.5
-;8;8.5;Herger Elias (2006);;33;34.75;8;8.5;0;0.0;8.75
+;13;17.25;Broch Marcel;;35;34.25;13;17.25;0;0.0;10.0
o;13;27.25;Bernhard Lukas;**;9;57.0;12;27.5;-1;0.25;8.5
o;17;35.75;Staffelbach Noah;;17;55.0;14;36.5;-3;0.75;8.5
-;22;44.25;Ziegler Moritz;;24;53.25;21;44.5;-1;0.25;8.75

26a;Steffen Rafael (2005);;;;;;;;;;52.75
+;;;Egli Samuel;;;;;;;;10.0
o;4;10.0;Bullakaj Benhard;;22;53.75;4;10.0;0;0.0;8.5
o;9;18.5;Schilter Daniel;*;18;54.75;10;18.25;1;-0.25;8.5
o;14;27.0;Egli Kilian (2004);;19;54.5;13;27.25;-1;0.25;8.75
o;17;35.75;Waser Kevin (2006);;19;54.5;16;36.0;-1;0.25;8.5
o;22;44.25;Zumstein Patrick;;20;54.25;22;44.25;0;0.0;8.5

26b;Arnold Livio (2004);;;;;;;;;;52.75
o;;;Achermann Ivan (2005);;;;;;;;8.5
-;8;8.5;Muff Pascal (2006);;33;34.75;7;8.75;-1;0.25;8.75
+;13;17.25;Haller Jan (2004);;36;34.0;14;17.0;1;-0.25;10.0
o;13;27.25;Durrer Jonas;*;9;57.0;12;27.5;-1;0.25;8.5
o;17;35.75;Elmiger Matthias;;17;55.0;15;36.25;-2;0.5;8.5
o;22;44.25;Reichlin Reto;;21;54.0;22;44.25;0;0.0;8.5

26c;Odermatt Andreas;;;;;;;;;;52.75
-;;;Auf der Maur Michael;;;;;;;;8.75
+;7;8.75;Schneider Linus (2006);;36;34.0;8;8.5;1;-0.25;10.0
o;8;18.75;Schärli Reto;*;10;56.75;9;18.5;1;-0.25;8.5
o;13;27.25;Steiner Severin;;18;54.75;13;27.25;0;0.0;8.5
o;17;35.75;Schumacher Ramon;;20;54.25;17;35.75;0;0.0;8.5
o;22;44.25;von Matt Lars;;21;54.0;22;44.25;0;0.0;8.5

26d;Zgraggen Mario (2006);;;;;;;;;;52.75
-;;;Arnold Linus (2004);;;;;;;;8.75
o;7;8.75;Schmidiger Lukas (2004);;19;54.5;8;8.5;1;-0.25;8.5
+;13;17.25;Birrer Jonas (2006);;36;34.0;14;17.0;1;-0.25;9.75
-;14;27.0;Küng Jonas (2004);;31;35.5;15;26.75;1;-0.25;8.75
o;17;35.75;Gloggner Matthias (2005);;21;54.0;17;35.75;0;0.0;8.5
o;22;44.25;Christen Samuel (2006);;20;54.25;22;44.25;0;0.0;8.5

26e;Stübi Nevio (2006);;;;;;;;;;52.75
-;;;Hodel Joel;;;;;;;;8.75
o;7;8.75;Elmiger Matthias;;17;55.0;7;8.75;0;0.0;8.5
o;13;17.25;Christen Samuel (2006);;20;54.25;14;17.0;1;-0.25;8.5
+;18;25.75;Kunz Pascal (2004);;36;34.0;19;25.5;1;-0.25;10.0
o;17;35.75;Theiler Nils (2004);;19;54.5;16;36.0;-1;0.25;8.5
o;22;44.25;Rohrer Sven (2004);;21;54.0;22;44.25;0;0.0;8.5

26f;Stübi Noël (2004);;;;;;;;;;52.75
o;;;Lüscher Elias (2006);;;;;;;;8.5
o;8;8.5;Wicki Kevin;;15;55.5;7;8.75;-1;0.25;8.5
-;14;17.0;Lustenberger Roman (2006);;31;35.5;14;17.0;0;0.0;9.0
+;17;26.0;Bürli Daniel;;36;34.0;19;25.5;2;-0.5;9.75
o;17;35.75;Schori Kevin (2004);;17;55.0;16;36.0;-1;0.25;8.5
o;22;44.25;Zberg Nuyen;;20;54.25;22;44.25;0;0.0;8.5

26g;Arnold Linus (2004);;;;;;;;;;52.75
-;;;Zgraggen Mario (2006);;;;;;;;8.75
o;7;8.75;Kathriner Andreas;;16;55.25;8;8.5;1;-0.25;8.5
+;13;17.25;Schneider Linus (2006);;36;34.0;14;17.0;1;-0.25;10.0
o;13;27.25;Schmidiger Marco;*;16;55.25;14;27.0;1;-0.25;8.5
o;17;35.75;Ulrich Damian;;21;54.0;17;35.75;0;0.0;8.5
o;22;44.25;Zemp Simon;;19;54.5;21;44.5;-1;0.25;8.5

27a;Keller Janik;*;;;;;;;;;45.5
o;;;Stöckli Damian;*;;;;;;;8.5
+;8;8.5;Bucher Manuel (2006);;32;35.25;5;9.75;-3;1.25;10.0
o;9;18.5;Lang Sven;**;7;57.5;8;18.75;-1;0.25;8.5
