3686-2019-08-11_20_Schwaegalp-Schwinget-ST

o;9;36.75;Duplan Steve;**;9;55.25;9;36.75;0;0.0;8.5
+;14;45.25;Wey Nicola;*;17;53.25;16;44.75;2;-0.5;9.75

11a;Mollet Ivan;**;;;;;;;;;54.75
o;;;Peng Mike;***;;;;;;;8.75
o;4;8.75;Schnurrenberger Roman;**;11;54.75;4;8.75;0;0.0;8.5
+;9;17.25;Bärtsch Fabian;*;25;34.0;10;17.0;1;-0.25;10.0
o;7;27.25;Koch Thomas;*;13;54.25;7;27.25;0;0.0;8.75
+;12;36.0;Biäsch Christian;*;16;53.5;12;36.0;0;0.0;10.0
-;11;46.0;Schläpfer Markus;**;13;54.25;13;45.5;2;-0.5;8.75

11b;Bürli Roger;**;;;;;;;;;54.75
o;;;Dumelin David;**;;;;;;;8.5
+;5;8.5;Rhyner Michael;**;26;25.75;5;8.5;0;0.0;9.75
+;6;18.25;Vollenweider Jeremy;**;12;54.5;5;18.5;-1;0.25;9.75
o;5;28.0;Burkhalter Stefan;***;10;55.0;6;27.5;1;-0.5;8.5
+;10;36.5;Bernold Michael;*;13;54.25;9;36.75;-1;0.25;9.75
o;10;46.25;Schneider Mario;**;5;56.5;9;46.5;-1;0.25;8.5

11c;Schnurrenberger Roman;**;;;;;;;;;54.75
-;;;Ledermann Michael;*;;;;;;;8.75
+;4;8.75;Mollet Ivan;**;11;54.75;4;8.75;0;0.0;10.0
+;4;18.75;Notz Beni;***;7;55.75;4;18.75;0;0.0;10.0
o;2;28.75;Nötzli Reto;***;5;56.5;4;28.25;2;-0.5;8.5
-;7;37.25;Kuster Thomas;*;13;54.25;8;37.0;1;-0.25;8.75
o;11;46.0;Ott Damian;**;7;55.75;11;46.0;0;0.0;8.75

12a;Schlegel Werner (2002);**;;;;;;;;;54.5
+;;;Minder Florian;**;;;;;;;10.0
o;1;10.0;Nötzli Reto;***;5;56.5;5;8.5;4;-1.5;8.5
+;5;18.5;Hofer Sven;*;14;54.0;4;18.75;-1;0.25;9.75
-;4;28.25;Kuster Thomas;*;13;54.25;4;28.25;0;0.0;9.0
o;7;37.25;Arnold Raphael;**;6;56.0;6;37.5;-1;0.25;8.75
o;11;46.0;Brun Jonas;**;6;56.0;11;46.0;0;0.0;8.5

12b;Brodard Augustin;**;;;;;;;;;54.5
