3771-2018-08-19_103_Basellandschaftliches_Kantonalschwingfest-ST

1a;Alpiger Nick;***;;;;;;;;;59.5
o;7;18.25;Blatter Remo (2000);;11;55.5;7;18.25;0;0.0;8.5
+;13;26.75;Nussbaumer Gabriel;;14;54.75;8;28.0;-5;1.25;9.75
o;11;36.5;Brügger Joël (2000);;10;55.75;9;37.0;-2;0.5;8.5
+;14;45.0;Schwob Marco;;16;54.25;11;45.75;-3;0.75;10.0

13i;Anderegg David;*;;;;;;;;;55.0
o;;;Brun Samuel;**;;;;;;;8.5
+;5;8.5;Gisin Yanic;;13;55.0;2;9.75;-3;1.25;9.75
+;7;18.25;Schwob Marco;;16;54.25;5;18.75;-2;0.5;10.0
o;7;28.25;Stalder Remo;***;6;56.75;13;26.75;6;-1.5;8.5
+;10;36.75;Ris Jörn;;11;55.5;8;37.25;-2;0.5;9.75
o;8;46.5;Hasler Manuel;*;6;56.75;6;47.0;-2;0.5;8.5

13j;Stüdeli Thomas;**;;;;;;;;;55.0
-;;;Studinger Stephan;**;;;;;;;8.75
-;4;8.75;Hügli Kaj;**;9;56.0;4;8.75;0;0.0;8.75
+;9;17.5;Grossmann Andreas;;15;54.5;6;18.5;-3;1.0;10.0
+;10;27.5;Widmer David;**;10;55.75;10;27.5;0;0.0;10.0
-;7;37.5;Kramer Franz;*;10;55.75;4;38.25;-3;0.75;9.0
o;8;46.5;Schmid Samuel;**;7;56.5;7;46.75;-1;0.25;8.5

14a;Arnold Kornel;*;;;;;;;;;54.75
-;;;Lisser Daniel;*;;;;;;;8.75
-;4;8.75;Hauri Urs;**;13;55.0;4;8.75;0;0.0;8.75
+;9;17.5;Nyffenegger Florian (2001);;17;54.0;6;18.5;-3;1.0;10.0
-;10;27.5;Stoll Simon;**;11;55.5;8;28.0;-2;0.5;8.75
+;12;36.25;Bieli Andreas;;18;53.75;10;36.75;-2;0.5;10.0
o;9;46.25;Brun Samuel;**;6;56.75;6;47.0;-3;0.75;8.5

14b;Nussbaumer Gabriel;;;;;;;;;;54.75
+;;;Bieli Andreas;;;;;;;;9.75
+;2;9.75;Nyffenegger Florian (2001);;17;54.0;1;10.0;-1;0.25;9.75
o;3;19.5;Kramer Franz;*;10;55.75;7;18.25;4;-1.25;8.5
o;8;28.0;Rüegger Aaron;*;13;55.0;13;26.75;5;-1.25;8.5
o;11;36.5;Meyer Lukas (2001);;16;54.25;14;35.75;3;-0.75;8.5
+;14;45.0;Senn Marco;;21;52.75;17;44.25;3;-0.75;9.75

14c;Mangold Michael;**;;;;;;;;;54.75
-;;;Bader Andreas;**;;;;;;;9.0
+;3;9.0;von Büren Stephan;**;8;56.25;5;8.5;2;-0.5;10.0
+;4;19.0;Stalder Remo;***;6;56.75;7;18.25;3;-0.75;10.0
o;4;29.0;Erb Roger;**;6;56.75;6;28.5;2;-0.5;8.5
o;7;37.5;Voggensperger Lars (2001);;2;58.0;5;38.0;-2;0.5;8.5
-;10;46.0;Hauri Urs;**;13;55.0;9;46.25;-1;0.25;8.75

14d;Streich Sascha (2001);;;;;;;;;;54.75
+;;;Schwegler Dominik;;;;;;;;10.0
+;1;10.0;Furrer Mathias;;18;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Döbeli Andreas;*;3;57.75;2;19.75;1;-0.25;8.5
o;6;28.5;Schillig Willi;**;11;55.5;11;27.25;5;-1.25;8.5
o;9;37.0;Döbeli Lukas (2000);**;11;55.5;9;37.0;0;0.0;8.75
-;11;45.75;Stoll Thomas;;13;55.0;10;46.0;-1;0.25;9.0

14e;Burtschi Michael;;;;;;;;;;54.75
o;;;Jusufi Azret;;;;;;;;8.5
o;5;8.5;Fricker Ivo;;19;53.5;5;8.5;0;0.0;8.5
+;11;17.0;Geissberger Marc (2002);;22;52.5;11;17.0;0;0.0;9.75
o;13;26.75;Bearda Samuel;**;13;55.0;13;26.75;0;0.0;8.5
+;16;35.25;Burger Sandro (2001);;22;52.5;15;35.5;-1;0.25;9.75
+;14;45.0;Schmid Justin (2002);;22;52.5;18;44.0;4;-1.0;9.75

15a;Gschwind Andreas;;;;;;;;;;54.5
-;;;Meyer Lukas (2001);;;;;;;;8.75
+;4;8.75;Lazic Serge (2000);;23;52.25;5;8.5;1;-0.25;10.0
o;5;18.75;Schwenkfelder Lukas;*;16;54.25;9;17.5;4;-1.25;8.5
+;11;27.25;Burger Sandro (2001);;22;52.5;12;27.0;1;-0.25;10.0
o;8;37.25;Stoll Simon;**;11;55.5;9;37.0;1;-0.25;8.5
-;11;45.75;Jusufi Ilber;;16;54.25;12;45.5;1;-0.25;8.75

15b;Regenass Beat;;;;;;;;;;54.5
-;;;Meyer Markus;;;;;;;;8.75
+;4;8.75;Schmid Justin (2002);;22;52.5;5;8.5;1;-0.25;10.0
-;5;18.75;Studer Remo;*;11;55.5;6;18.5;1;-0.25;8.75
o;10;27.5;Döbeli Lukas (2000);**;11;55.5;12;27.0;2;-0.5;8.5
+;13;36.0;Senn Marco;;21;52.75;15;35.5;2;-0.5;10.0
o;10;46.0;Schaffner Samuel;**;10;55.75;11;45.75;1;-0.25;8.5

15c;Krebs Clemens;*;;;;;;;;;54.5
o;;;Rüegger Aaron;*;;;;;;;8.5
o;5;8.5;Kramer Franz;*;10;55.75;5;8.5;0;0.0;8.5
+;11;17.0;Fricker Ivo;;19;53.5;7;18.25;-4;1.25;10.0
+;12;27.0;Brack Simon;;18;53.75;13;26.75;1;-0.25;10.0
-;9;37.0;Jusufi Azret;;11;55.5;10;36.75;1;-0.25;8.75
o;11;45.75;Mangold Martin;*;12;55.25;12;45.5;1;-0.25;8.75

15d;Grossmann Andreas;;;;;;;;;;54.5
+;;;Brack Simon;;;;;;;;10.0
o;1;10.0;Ris Jörn;;11;55.5;1;10.0;0;0.0;8.5
o;6;18.5;Stüdeli Thomas;**;13;55.0;9;17.5;3;-1.0;8.5
+;12;27.0;Vogel Remo (2001);*;20;53.0;16;25.75;4;-1.25;10.0
o;9;37.0;Stegmüller Klemens;*;10;55.75;9;37.0;0;0.0;8.75
-;11;45.75;Schwegler Dominik;;16;54.25;12;45.5;1;-0.25;8.75

15e;Widmer Dino;;;;;;;;;;54.5
+;;;Burger Sandro (2001);;;;;;;;10.0
o;1;10.0;Roth Christian;;17;54.0;1;10.0;0;0.0;8.75
-;5;18.75;Lisser Beat;*;18;53.75;9;17.5;4;-1.25;8.75
o;10;27.5;Burren Patrick;;17;54.0;12;27.0;2;-0.5;8.5
+;13;36.0;Lazic Serge (2000);;23;52.25;16;35.25;3;-0.75;10.0
o;10;46.0;Widmer David;**;10;55.75;11;45.75;1;-0.25;8.5

16a;Meyer Markus;;;;;;;;;;54.25
-;;;Regenass Beat;;;;;;;;8.75
o;4;8.75;Jusufi Ilber;;16;54.25;5;8.5;1;-0.25;8.5
+;10;17.25;Herrmann Adrian (2000);;17;54.0;9;17.5;-1;0.25;10.0
o;11;27.25;von Büren Stephan;**;8;56.25;14;26.25;3;-1.0;8.5
+;14;35.75;Furrer Mathias;;18;53.75;15;35.5;1;-0.25;9.75
-;12;45.5;Vogel Remo (2001);*;20;53.0;17;44.25;5;-1.25;8.75

16b;Schwob Marco;;;;;;;;;;54.25
o;;;Burren Patrick;;;;;;;;8.75
+;4;8.75;Hermann Lukas (2002);;22;52.5;5;8.5;1;-0.25;10.0
o;5;18.75;Anderegg David;*;13;55.0;7;18.25;2;-0.5;8.5
o;11;27.25;Schwegler Dominik;;16;54.25;12;27.0;1;-0.25;8.75
+;13;36.0;Schmid Justin (2002);;22;52.5;15;35.5;2;-0.5;9.75
o;11;45.75;Rüegger Aaron;*;13;55.0;14;45.0;3;-0.75;8.5

16c;Schwenkfelder Lukas;*;;;;;;;;;54.25
-;;;Stegmüller Klemens;*;;;;;;;8.75
-;4;8.75;Brand Christian;**;9;56.0;5;8.5;1;-0.25;8.75
+;9;17.5;Gschwind Andreas;;15;54.5;5;18.75;-4;1.25;9.75
+;11;27.25;Grieder Nonda;;12;55.25;7;28.25;-4;1.0;10.0
o;8;37.25;Waldner Patrick;**;7;56.5;7;37.5;-1;0.25;8.5
o;11;45.75;Odermatt Adrian (2001);*;9;56.0;10;46.0;-1;0.25;8.5

16d;Meyer Lukas (2001);;;;;;;;;;54.25
-;;;Gschwind Andreas;;;;;;;;8.75
+;4;8.75;Regenass Reto (2000);;27;27.0;2;9.75;-2;1.0;9.75
o;6;18.5;Stegmüller Klemens;*;10;55.75;10;17.25;4;-1.25;8.75
o;11;27.25;Lisser Daniel;*;11;55.5;9;27.75;-2;0.5;8.5
+;14;35.75;Nussbaumer Gabriel;;14;54.75;11;36.5;-3;0.75;10.0
o;11;45.75;Blatter Remo (2000);;11;55.5;12;45.5;1;-0.25;8.5

16e;Schwegler Dominik;;;;;;;;;;54.25
o;;;Streich Sascha (2001);;;;;;;;8.5
+;5;8.5;Buser Thomas;;28;25.5;5;8.5;0;0.0;10.0
o;6;18.5;Brand Christian;**;9;56.0;10;17.25;4;-1.25;8.5
+;12;27.0;Schwob Marco;;16;54.25;11;27.25;-1;0.25;10.0
o;9;37.0;Hauri Urs;**;13;55.0;12;36.25;3;-0.75;8.5
-;12;45.5;Grossmann Andreas;;15;54.5;11;45.75;-1;0.25;8.75

16f;Winiger Fabian;**;;;;;;;;;54.25
o;;;Vieira Tiago;**;;;;;;;8.5
+;5;8.5;Bruder Adrian;;12;55.25;5;8.5;0;0.0;10.0
o;6;18.5;Odermatt Adrian (2001);*;9;56.0;6;18.5;0;0.0;8.5
-;12;27.0;Blatter Remo (2000);;11;55.5;7;28.25;-5;1.25;8.75
+;14;35.75;Nussbaumer Dominik;;16;54.25;9;37.0;-5;1.25;10.0
o;11;45.75;von Büren Stephan;**;8;56.25;9;46.25;-2;0.5;8.5

16g;Jusufi Ilber;;;;;;;;;;54.25
o;;;Kohler Adrian;;;;;;;;8.5
+;5;8.5;Meyer Markus;;16;54.25;4;8.75;-1;0.25;9.75
-;7;18.25;von Büren Stephan;**;8;56.25;10;17.25;3;-1.0;8.75
+;12;27.0;Bieri Florian (2001);;22;52.5;12;27.0;0;0.0;10.0
o;9;37.0;Hügli Kaj;**;9;56.0;7;37.5;-2;0.5;8.5
-;12;45.5;Gschwind Andreas;;15;54.5;11;45.75;-1;0.25;8.75

16h;Nussbaumer Dominik;;;;;;;;;;54.25
+;;;Loosli Adrian;;;;;;;;10.0
o;1;10.0;Stoll Thomas;;13;55.0;1;10.0;0;0.0;8.5
o;6;18.5;Schaffner Samuel;**;10;55.75;10;17.25;4;-1.25;8.5
+;12;27.0;Schmid Justin (2002);;22;52.5;12;27.0;0;0.0;10.0
o;9;37.0;Winiger Fabian;**;16;54.25;14;35.75;5;-1.25;8.5
o;12;45.5;Ris Jörn;;11;55.5;11;45.75;-1;0.25;8.75

17a;Burren Patrick;;;;;;;;;;54.0
+;;;Schwob Marco;;;;;;;;10.0
o;1;10.0;Stoll Simon;**;11;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Kocher Remo;**;11;55.5;6;18.5;0;0.0;8.5
+;12;27.0;Widmer Dino;;15;54.5;10;27.5;-2;0.5;10.0
o;9;37.0;von Büren Stephan;**;8;56.25;12;36.25;3;-0.75;8.5
o;12;45.5;Büttler Adrian;;12;55.25;12;45.5;0;0.0;8.5

17b;Sempach Beat;;;;;;;;;;54.0
+;;;Lazic Serge (2000);;;;;;;;10.0
o;1;10.0;Schmutz Simon (2000);;6;56.75;1;10.0;0;0.0;8.5
o;6;18.5;Mangold Martin;*;12;55.25;10;17.25;4;-1.25;8.5
+;12;27.0;Lazic Marco (2000);;19;53.5;15;26.0;3;-1.0;10.0
o;9;37.0;Bearda Samuel;**;13;55.0;11;36.5;2;-0.5;8.5
o;12;45.5;Jusufi Azret;;11;55.5;12;45.5;0;0.0;8.5

17c;Nyffenegger Florian (2001);;;;;;;;;;54.0
+;;;Schmitt Sebastian (2002);;;;;;;;10.0
o;1;10.0;Nussbaumer Gabriel;;14;54.75;2;9.75;1;-0.25;8.5
o;6;18.5;Arnold Kornel;*;14;54.75;9;17.5;3;-1.0;8.5
-;12;27.0;Furrer Mathias;;18;53.75;13;26.75;1;-0.25;8.75
+;14;35.75;Loosli Adrian;;18;53.75;16;35.25;2;-0.5;9.75
o;12;45.5;Grieder Nonda;;12;55.25;12;45.5;0;0.0;8.5

17d;Roth Christian;;;;;;;;;;54.0
+;;;Buser Thomas;;;;;;;;10.0
+;1;10.0;Widmer Dino;;15;54.5;1;10.0;0;0.0;9.75
o;2;19.75;Stoll Simon;**;11;55.5;7;18.25;5;-1.5;8.75
o;6;28.5;Kropf Marcel;**;6;56.75;7;28.25;1;-0.25;8.5
o;9;37.0;Scherrer Johann;**;13;55.0;12;36.25;3;-0.75;8.5
o;12;45.5;Loosli Adrian;;18;53.75;19;43.75;7;-1.75;8.5

17e;Herrmann Adrian (2000);;;;;;;;;;54.0
o;;;Büttler Adrian;;;;;;;;8.5
-;5;8.5;Lazic Marco (2000);;19;53.5;5;8.5;0;0.0;9.0
o;9;17.5;Meyer Markus;;16;54.25;10;17.25;1;-0.25;8.5
+;15;26.0;Geissberger Marc (2002);;22;52.5;17;25.5;2;-0.5;9.75
o;14;35.75;Vogel Remo (2001);*;20;53.0;18;34.25;4;-1.5;8.5
+;17;44.25;Lazic Serge (2000);;23;52.25;19;43.75;2;-0.5;9.75

17f;Hitz Florian;;;;;;;;;;54.0
+;;;Schaub Florent;;;;;;;;10.0
+;1;10.0;Fritz Christian;;12;55.25;1;10.0;0;0.0;10.0
o;1;20.0;Kropf Marcel;**;6;56.75;7;18.25;6;-1.75;8.5
o;6;28.5;Hasler Manuel;*;6;56.75;7;28.25;1;-0.25;8.5
o;9;37.0;Brun Samuel;**;6;56.75;9;37.0;0;0.0;8.5
o;12;45.5;Burkhardt Roy;;11;55.5;12;45.5;0;0.0;8.5

18a;Furrer Mathias;;;;;;;;;;53.75
+;;;Hermann Lukas 1 (2000);;;;;;;;9.75
o;2;9.75;Streich Sascha (2001);;14;54.75;1;10.0;-1;0.25;8.5
o;7;18.25;Gerber Andrj (2000);*;13;55.0;8;18.0;1;-0.25;8.5
-;13;26.75;Nyffenegger Florian (2001);;17;54.0;12;27.0;-1;0.25;8.75
o;15;35.5;Meyer Markus;;16;54.25;14;35.75;-1;0.25;8.5
+;18;44.0;Bieli Andreas;;18;53.75;13;45.25;-5;1.25;9.75

18b;Hermann Lukas 1 (2000);;;;;;;;;;53.75
o;;;Furrer Mathias;;;;;;;;8.5
o;5;8.5;Loosli Adrian;;18;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Lazic Serge (2000);;23;52.25;11;17.0;0;0.0;10.0
o;12;27.0;Lisser Beat;*;18;53.75;14;26.25;2;-0.75;8.5
o;15;35.5;Brack Simon;;18;53.75;16;35.25;1;-0.25;8.5
+;18;44.0;Müller Christian;;24;51.25;20;42.75;2;-1.25;9.75

18c;Lisser Beat;*;;;;;;;;;53.75
o;;;Räber Lukas;*;;;;;;;8.5
-;5;8.5;Dobler Florian;;26;27.25;2;9.75;-3;1.25;9.0
-;9;17.5;Widmer Dino;;15;54.5;5;18.75;-4;1.25;8.75
+;14;26.25;Hermann Lukas 1 (2000);;18;53.75;12;27.0;-2;0.75;10.0
o;12;36.25;Gerber Andrj (2000);*;13;55.0;11;36.5;-1;0.25;8.5
-;15;44.75;Lazic Marco (2000);;19;53.5;16;44.5;1;-0.25;9.0

18d;Loosli Adrian;;;;;;;;;;53.75
o;;;Nussbaumer Dominik;;;;;;;;8.5
+;5;8.5;Hermann Lukas 1 (2000);;18;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Hauri Urs;**;13;55.0;9;17.5;2;-0.75;8.5
o;13;26.75;Brand Christian;**;9;56.0;11;27.25;-2;0.5;8.5
o;16;35.25;Nyffenegger Florian (2001);;17;54.0;14;35.75;-2;0.5;8.5
+;19;43.75;Roth Christian;;17;54.0;12;45.5;-7;1.75;10.0

18e;Brack Simon;;;;;;;;;;53.75
o;;;Grossmann Andreas;;;;;;;;8.5
o;5;8.5;Bruder Adrian;;12;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Buser Thomas;;28;25.5;11;17.0;0;0.0;9.75
o;13;26.75;Krebs Clemens;*;15;54.5;12;27.0;-1;0.25;8.5
+;16;35.25;Hermann Lukas 1 (2000);;18;53.75;15;35.5;-1;0.25;10.0
o;13;45.25;Studer Remo;*;11;55.5;11;45.75;-2;0.5;8.5

18f;Bieli Andreas;;;;;;;;;;53.75
o;;;Nussbaumer Gabriel;;;;;;;;8.5
+;5;8.5;Geissberger Marc (2002);;22;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Bearda Samuel;**;13;55.0;11;17.0;4;-1.25;8.5
+;13;26.75;Hermann Lukas (2002);;22;52.5;17;25.5;4;-1.25;10.0
o;10;36.75;Arnold Kornel;*;14;54.75;12;36.25;2;-0.5;8.5
o;13;45.25;Furrer Mathias;;18;53.75;18;44.0;5;-1.25;8.5

19a;Fricker Ivo;;;;;;;;;;53.5
o;;;Grieder Nonda;;;;;;;;8.5
+;5;8.5;Burtschi Michael;;14;54.75;5;8.5;0;0.0;9.75
o;7;18.25;Krebs Clemens;*;15;54.5;11;17.0;4;-1.25;8.5
+;13;26.75;Fritz Christian;;12;55.25;12;27.0;-1;0.25;9.75
o;11;36.5;Studer Remo;*;11;55.5;13;36.0;2;-0.5;8.5
o;14;45.0;Büttler Gian (2000);;13;55.0;13;45.25;-1;0.25;8.5

19b;Lazic Marco (2000);;;;;;;;;;53.5
o;;;Ris Jörn;;;;;;;;8.5
-;5;8.5;Herrmann Adrian (2000);;17;54.0;5;8.5;0;0.0;9.0
o;9;17.5;Brügger Joël (2000);;10;55.75;6;18.5;-3;1.0;8.5
o;15;26.0;Sempach Beat;;17;54.0;12;27.0;-3;1.0;8.5
+;17;34.5;Geissberger Marc (2002);;22;52.5;19;34.0;2;-0.5;10.0
-;16;44.5;Lisser Beat;*;18;53.75;15;44.75;-1;0.25;9.0

20a;Vogel Remo (2001);*;;;;;;;;;53.0
o;;;Kocher Remo;**;;;;;;;8.5
-;5;8.5;Gerber Andrj (2000);*;13;55.0;3;9.0;-2;0.5;8.75
o;10;17.25;Burkhardt Roy;;11;55.5;6;18.5;-4;1.25;8.5
o;16;25.75;Grossmann Andreas;;15;54.5;12;27.0;-4;1.25;8.5
+;18;34.25;Herrmann Adrian (2000);;17;54.0;14;35.75;-4;1.5;10.0
-;17;44.25;Meyer Markus;;16;54.25;12;45.5;-5;1.25;8.75

21a;Senn Marco;;;;;;;;;;52.75
o;;;Burkhardt Roy;;;;;;;;8.5
+;5;8.5;Büttler Gian (2000);;13;55.0;5;8.5;0;0.0;10.0
o;6;18.5;Hasler Manuel;*;6;56.75;7;18.25;1;-0.25;8.5
o;12;27.0;Stoffel Marc;**;9;56.0;7;28.25;-5;1.25;8.5
o;15;35.5;Regenass Beat;;15;54.5;13;36.0;-2;0.5;8.75
o;17;44.25;Nussbaumer Gabriel;;14;54.75;14;45.0;-3;0.75;8.5

22a;Geissberger Marc (2002);;;;;;;;;;52.5
o;;;Fritz Christian;;;;;;;;8.5
o;5;8.5;Bieli Andreas;;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Burtschi Michael;;14;54.75;11;17.0;0;0.0;8.5
o;17;25.5;Herrmann Adrian (2000);;17;54.0;15;26.0;-2;0.5;8.5
o;19;34.0;Lazic Marco (2000);;19;53.5;17;34.5;-2;0.5;8.5
+;21;42.5;Schmitt Sebastian (2002);;25;51.0;21;42.5;0;0.0;10.0

22b;Burger Sandro (2001);;;;;;;;;;52.5
o;;;Widmer Dino;;;;;;;;8.5
+;5;8.5;Schmitt Sebastian (2002);;25;51.0;5;8.5;0;0.0;10.0
o;6;18.5;Schillig Willi;**;11;55.5;10;17.25;4;-1.25;8.5
o;12;27.0;Gschwind Andreas;;15;54.5;11;27.25;-1;0.25;8.5
o;15;35.5;Burtschi Michael;;14;54.75;16;35.25;1;-0.25;8.5
o;18;44.0;Fritz Christian;;12;55.25;13;45.25;-5;1.25;8.5

22c;Hermann Lukas (2002);;;;;;;;;;52.5
o;;;Regenass Reto (2000);;;;;;;;8.5
o;5;8.5;Schwob Marco;;16;54.25;4;8.75;-1;0.25;8.5
o;11;17.0;Büttler Gian (2000);;13;55.0;11;17.0;0;0.0;8.5
o;17;25.5;Bieli Andreas;;18;53.75;13;26.75;-4;1.25;8.5
+;19;34.0;Schmitt Sebastian (2002);;25;51.0;19;34.0;0;0.0;10.0
o;18;44.0;Gisin Yanic;;13;55.0;14;45.0;-4;1.0;8.5

22d;Bieri Florian (2001);;;;;;;;;;52.5
o;;;Brügger Joël (2000);;;;;;;;8.5
+;5;8.5;Dettwiler Patrick;;29;17.0;5;8.5;0;0.0;10.0
o;6;18.5;Scherrer Johann;**;13;55.0;9;17.5;3;-1.0;8.5
o;12;27.0;Jusufi Ilber;;16;54.25;12;27.0;0;0.0;8.5
o;15;35.5;Fritz Christian;;12;55.25;15;35.5;0;0.0;8.5
o;18;44.0;Bruder Adrian;;12;55.25;13;45.25;-5;1.25;8.5

22e;Schmid Justin (2002);;;;;;;;;;52.5
o;;;Stoll Thomas;;;;;;;;8.5
o;5;8.5;Regenass Beat;;15;54.5;4;8.75;-1;0.25;8.5
+;11;17.0;Schmitt Sebastian (2002);;25;51.0;11;17.0;0;0.0;10.0
o;12;27.0;Nussbaumer Dominik;;16;54.25;12;27.0;0;0.0;8.5
o;15;35.5;Schwob Marco;;16;54.25;13;36.0;-2;0.5;8.5
o;18;44.0;Burtschi Michael;;14;54.75;14;45.0;-4;1.0;8.5

23a;Lazic Serge (2000);;;;;;;;;;52.25
o;;;Sempach Beat;;;;;;;;8.5
o;5;8.5;Gschwind Andreas;;15;54.5;4;8.75;-1;0.25;8.5
o;11;17.0;Hermann Lukas 1 (2000);;18;53.75;11;17.0;0;0.0;8.5
+;17;25.5;Schmitt Sebastian (2002);;25;51.0;17;25.5;0;0.0;9.75
o;16;35.25;Widmer Dino;;15;54.5;13;36.0;-3;0.75;8.5
o;19;43.75;Herrmann Adrian (2000);;17;54.0;17;44.25;-2;0.5;8.5

24a;Müller Christian;;;;;;;;;;51.25
o;;;Dobler Florian;;;;;;;;8.5
o;5;8.5;Blatter Remo (2000);;11;55.5;5;8.5;0;0.0;8.5
o;11;17.0;Gisin Yanic;;13;55.0;7;18.25;-4;1.25;8.75
o;16;25.75;Bruder Adrian;;12;55.25;13;26.75;-3;1.0;8.5
o;18;34.25;Büttler Gian (2000);;13;55.0;15;35.5;-3;1.25;8.5
o;20;42.75;Hermann Lukas 1 (2000);;18;53.75;18;44.0;-2;1.25;8.5

25a;Schmitt Sebastian (2002);;;;;;;;;;51.0
o;;;Nyffenegger Florian (2001);;;;;;;;8.5
o;5;8.5;Burger Sandro (2001);;22;52.5;5;8.5;0;0.0;8.5
o;11;17.0;Schmid Justin (2002);;22;52.5;11;17.0;0;0.0;8.5
o;17;25.5;Lazic Serge (2000);;23;52.25;17;25.5;0;0.0;8.5
o;19;34.0;Hermann Lukas (2002);;22;52.5;19;34.0;0;0.0;8.5
o;21;42.5;Geissberger Marc (2002);;22;52.5;21;42.5;0;0.0;8.5

26a;Dobler Florian;;;;;;;;;;27.25
+;;;Müller Christian;;;;;;;;9.75
-;2;9.75;Lisser Beat;*;18;53.75;5;8.5;3;-1.25;9.0
o;5;18.75;Studinger Stephan;**;6;56.75;6;18.5;1;-0.25;8.5

26b;Bader Andreas;**;;;;;;;;;27.25
-;;;Mangold Michael;**;;;;;;;9.0
+;3;9.0;Mangold Martin;*;12;55.25;4;8.75;1;-0.25;9.75
o;5;18.75;Bieri Christoph;***;6;56.75;3;19.5;-2;0.75;8.5

27a;Regenass Reto (2000);;;;;;;;;;27.0
+;;;Hermann Lukas (2002);;;;;;;;9.75
o;2;9.75;Meyer Lukas (2001);;16;54.25;4;8.75;2;-1.0;8.75
o;6;18.5;Hügli Kaj;**;9;56.0;9;17.5;3;-1.0;8.5

28a;Buser Thomas;;;;;;;;;;25.5
o;;;Roth Christian;;;;;;;;8.5
o;5;8.5;Schwegler Dominik;;16;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Brack Simon;;18;53.75;11;17.0;0;0.0;8.5

28b;Küng Marco;*;;;;;;;;;25.5
o;;;Hasler Manuel;*;;;;;;;8.5
o;5;8.5;Voggensperger Lars (2001);;2;58.0;2;9.75;-3;1.25;8.5
o;11;17.0;Grieder Nonda;;12;55.25;7;18.25;-4;1.25;8.5

29a;Dettwiler Patrick;;;;;;;;;;17.0
o;;;Schmutz Simon (2000);;;;;;;;8.5
o;5;8.5;Bieri Florian (2001);;22;52.5;5;8.5;0;0.0;8.5

30a;Eggimann Marco;;;;;;;;;;9.75
+;;;Bruder Adrian;;;;;;;;9.75

31a;Schaub Florent;;;;;;;;;;8.5
o;;;Hitz Florian;;;;;;;;8.5

31b;Stark Urban (2000);;;;;;;;;;8.5
o;;;Jusufi Azret;;;;;;;;8.5

