4045-2018-06-03_97_Urner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;111.75
+;12;27.25;Hodler Mathias;;23;35.5;13;27.0;1;-0.25;9.75
+;10;37.0;Zimmermann Martin;**;12;55.5;11;36.75;1;-0.25;10.0
o;10;47.0;Reichmuth Roland;;5;57.25;9;47.25;-1;0.25;8.75

11l;Durrer Fabian;*;;;;;;;;;55.75
+;;;Villiger Cyrill;*;;;;;;;10.0
o;2;10.0;Zurﬂuh Michael;*;6;57.0;3;9.75;1;-0.25;8.75
+;6;18.75;Zanini David (2000);;17;54.25;3;19.75;-3;1.0;9.75
o;7;28.5;Schuler Philipp;**;7;56.75;7;28.5;0;0.0;8.75
+;9;37.25;Zürcher Ueli (2000);;14;55.0;6;38.0;-3;0.75;10.0
o;9;47.25;Kempf Elias;**;6;57.0;9;47.25;0;0.0;8.5

11m;Doppmann Ueli;;;;;;;;;;55.75
+;;;Wyrsch Hansi;;;;;;;;10.0
o;2;10.0;Lagler Christian;;11;55.75;3;9.75;1;-0.25;8.5
-;7;18.5;Amgarten Martin;*;15;54.75;12;17.25;5;-1.25;8.75
+;12;27.25;Dittli Mathias (2002);;23;35.5;13;27.0;1;-0.25;10.0
o;9;37.25;Heinzer Ronny;*;13;55.25;10;37.0;1;-0.25;8.5
+;15;45.75;Kempf David;;19;53.75;17;45.25;2;-0.5;10.0

11n;Steiner Severin (2001);;;;;;;;;;55.75
+;;;Giger Janik (2002);;;;;;;;10.0
+;2;10.0;Hürlimann Marco (2002);;19;53.75;2;10.0;0;0.0;10.0
o;2;20.0;Murer Andy;**;6;57.0;6;18.75;4;-1.25;8.5
-;7;28.5;Arnold Fabian;*;16;54.5;12;27.25;5;-1.25;8.75
o;9;37.25;Gassmann Michael;*;6;57.0;10;37.0;1;-0.25;8.5
+;15;45.75;Vogler Jonas;;19;53.75;17;45.25;2;-0.5;10.0

12a;Zimmermann Martin;**;;;;;;;;;55.5
-;;;Hasler Florian;**;;;;;;;8.75
+;5;8.75;Schürpf Bruno;*;11;55.75;5;8.75;0;0.0;10.0
-;6;18.75;Lagler Christian;;11;55.75;4;19.5;-2;0.75;9.0
-;10;27.75;Muff Armin;**;13;55.25;10;27.75;0;0.0;9.0
-;11;36.75;Beffa Mario;;11;55.75;10;37.0;-1;0.25;8.75
+;16;45.5;Baumann Marco;;16;54.5;15;45.75;-1;0.25;10.0

12b;Briker Michael;*;;;;;;;;;55.5
-;;;Graber Michael;*;;;;;;;8.75
+;5;8.75;Bucher Christian;*;13;55.25;6;8.5;1;-0.25;9.75
o;7;18.5;Ming Christian 2;;12;55.5;3;19.75;-4;1.25;8.5
+;13;27.0;Bucher André (2001);;23;35.5;13;27.0;0;0.0;9.75
o;11;36.75;Schuler Daniel;*;13;55.25;12;36.5;1;-0.25;8.75
+;16;45.5;Zumstein Marcel;;18;54.0;16;45.5;0;0.0;10.0

12c;Huber Alex;*;;;;;;;;;55.5
+;;;Lemmenmeier Lukas;*;;;;;;;9.75
-;3;9.75;Kurmann Toni;*;4;57.5;3;9.75;0;0.0;8.75
+;7;18.5;Arnold Lukas;;29;27.0;7;18.5;0;0.0;10.0
o;7;28.5;Arnold Raphael;*;10;56.0;7;28.5;0;0.0;8.5
o;10;37.0;Ettlin Martin;;10;56.0;10;37.0;0;0.0;8.5
+;16;45.5;Giger Janik (2002);;19;53.75;17;45.25;1;-0.25;10.0

12d;Müller Roger;*;;;;;;;;;55.5
o;;;Zurﬂuh Michael;*;;;;;;;8.5
o;6;8.5;Ming Christian;*;16;54.5;4;9.0;-2;0.5;8.5
+;13;17.0;Baumann Reto;;24;35.25;8;18.25;-5;1.25;10.0
+;13;27.0;Gisler Noah (2002);;21;53.0;11;27.5;-2;0.5;10.0
o;10;37.0;Bucher Christian;*;13;55.25;11;36.75;1;-0.25;8.5
+;16;45.5;Ulrich Damian;;19;53.75;17;45.25;1;-0.25;10.0

12e;Scherrer Fabian (2002);;;;;;;;;;55.5
+;;;Arnold Sebastian;;;;;;;;10.0
+;2;10.0;Gander Michael;;14;55.0;3;9.75;1;-0.25;10.0
o;2;20.0;Kempf Elias;**;6;57.0;6;18.75;4;-1.25;8.5
o;7;28.5;Bieri Christian;**;6;57.0;11;27.5;4;-1.0;8.5
+;10;37.0;Kempf David;;19;53.75;11;36.75;1;-0.25;10.0
o;10;47.0;Herger Fabian;*;8;56.5;11;46.75;1;-0.25;8.5

12f;Hösli Fritz;*;;;;;;;;;55.5
-;;;Lussi Marco;*;;;;;;;8.75
o;5;8.75;Zurﬂuh Roman;**;7;56.75;5;8.75;0;0.0;8.5
+;12;17.25;Gisler Jonas (2001);;18;54.0;7;18.5;-5;1.25;9.75
-;13;27.0;Della Torre Simon;;11;55.75;12;27.25;-1;0.25;8.75
+;15;35.75;Stadler Johannes;;18;54.0;15;35.75;0;0.0;10.0
+;15;45.75;Hegner Ueli;*;18;54.0;16;45.5;1;-0.25;9.75

12g;Thalmann Adrian;;;;;;;;;;55.5
+;;;Kaufmann Jens;;;;;;;;9.75
-;3;9.75;Odermatt Remo;*;9;56.25;6;8.5;3;-1.25;8.75
+;7;18.5;Albert Thomas;;17;54.25;7;18.5;0;0.0;10.0
o;7;28.5;Kessler Joel;*;13;55.25;10;27.75;3;-0.75;8.5
+;10;37.0;von Wyl Simon;;19;53.75;11;36.75;1;-0.25;10.0
o;10;47.0;Bieri Christian;**;6;57.0;10;47.0;0;0.0;8.5

12h;Bissig Fabian;;;;;;;;;;55.5
o;;;Ming Christian 2;;;;;;;;8.75
+;5;8.75;Bucher André (2001);;23;35.5;6;8.5;1;-0.25;9.75
o;7;18.5;Ulrich Marco;*;13;55.25;12;17.25;5;-1.25;8.5
+;13;27.0;Baumann Lukas;;23;35.5;13;27.0;0;0.0;10.0
o;10;37.0;Scherer Niklaus;*;13;55.25;11;36.75;1;-0.25;8.5
+;16;45.5;Meier Daniel (2000);;19;53.75;17;45.25;1;-0.25;10.0

12i;Villiger Cyrill;*;;;;;;;;;55.5
o;;;Durrer Fabian;*;;;;;;;8.5
o;6;8.5;Bachmann Roger;*;11;55.75;5;8.75;-1;0.25;8.5
+;13;17.0;Giger Janik (2002);;19;53.75;8;18.25;-5;1.25;10.0
+;13;27.0;Gasser Dominik 1;;17;54.25;12;27.25;-1;0.25;10.0
-;10;37.0;Elsener Marcel;*;13;55.25;12;36.5;2;-0.5;8.75
+;15;45.75;Gander Martin;;17;54.25;15;45.75;0;0.0;9.75

12j;Kälin Roland;**;;;;;;;;;55.5
-;;;Bieri Christian;**;;;;;;;8.75
o;5;8.75;Murer Andy;**;6;57.0;5;8.75;0;0.0;8.5
+;12;17.25;Kempf David;;19;53.75;8;18.25;-4;1.0;10.0
+;12;27.25;Ming Hannes;;16;54.5;11;27.5;-1;0.25;10.0
+;9;37.25;Stöckli Damian;*;10;56.0;8;37.5;-1;0.25;9.75
o;10;47.0;Waser Dominik;**;6;57.0;9;47.25;-1;0.25;8.5

12k;Ming Christian 2;;;;;;;;;;55.5
+;;;Bissig Fabian;;;;;;;;10.0
+;2;10.0;Spichtig Aldo;;18;54.0;2;10.0;0;0.0;9.75
+;3;19.75;Briker Michael;*;12;55.5;7;18.5;4;-1.25;10.0
o;3;29.75;Heinzer Stefan;**;1;111.75;1;57.25;-2;27.5;8.5
o;5;38.25;Kempf Elias;**;6;57.0;8;37.5;3;-0.75;8.5
o;11;46.75;Hürlimann Mathias (2000);;7;56.75;11;46.75;0;0.0;8.75

13a;Ulrich Marco;*;;;;;;;;;55.25
o;;;Arnold Severin;*;;;;;;;8.5
-;6;8.5;Wyrsch Silvio;*;18;54.0;5;8.75;-1;0.25;8.75
+;12;17.25;Bissig Fabian;;12;55.5;7;18.5;-5;1.25;9.75
+;13;27.0;Käslin Valentin (2000);;17;54.25;12;27.25;-1;0.25;9.75
o;11;36.75;Felder Seppi;*;11;55.75;10;37.0;-1;0.25;8.5
+;17;45.25;Bühlmann Daniel (2000);;17;54.25;15;45.75;-2;0.5;10.0

13b;Schuler Daniel;*;;;;;;;;;55.25
-;;;Stöckli Damian;*;;;;;;;9.0
o;4;9.0;Scheuber Lutz;**;8;56.5;4;9.0;0;0.0;8.5
-;11;17.5;von Ah Markus;;19;53.75;7;18.5;-4;1.0;9.0
+;15;26.5;Britschgi Markus;;16;54.5;12;27.25;-3;0.75;10.0
+;12;36.5;Briker Michael;*;12;55.5;11;36.75;-1;0.25;9.75
-;13;46.25;Felder Seppi;*;11;55.75;11;46.75;-2;0.5;9.0

13c;Bucher Christian;*;;;;;;;;;55.25
o;;;Gander Adrian;*;;;;;;;8.5
o;6;8.5;Briker Michael;*;12;55.5;5;8.75;-1;0.25;8.5
+;13;17.0;Wicki Patrick;;23;35.5;8;18.25;-5;1.25;9.75
+;14;26.75;Waser Christoph (2002);;22;52.75;12;27.25;-2;0.5;10.0
+;11;36.75;Müller Roger;*;12;55.5;10;37.0;-1;0.25;9.75
o;12;46.5;Fankhauser Reto;**;6;57.0;9;47.25;-3;0.75;8.75

13d;Lemmenmeier Lukas;*;;;;;;;;;55.25
o;;;Huber Alex;*;;;;;;;8.5
+;6;8.5;Albert Thomas;;17;54.25;2;10.0;-4;1.5;10.0
+;7;18.5;Gasser Dominik 1;;17;54.25;6;18.75;-1;0.25;10.0
o;7;28.5;Zurﬂuh Michael;*;6;57.0;7;28.5;0;0.0;8.5
o;10;37.0;Herger Fabian;*;8;56.5;10;37.0;0;0.0;8.5
+;16;45.5;Hürlimann Marco (2002);;19;53.75;17;45.25;1;-0.25;9.75

13e;Wüest David (2000);;;;;;;;;;55.25
-;;;Bucher Thomas;;;;;;;;8.75
+;5;8.75;Gasser Dominik 2;;23;35.5;6;8.5;1;-0.25;9.75
o;7;18.5;Elsener Peter;**;13;55.25;8;18.25;1;-0.25;8.5
+;13;27.0;Herger Simon;;23;35.5;14;26.75;1;-0.25;9.75
o;11;36.75;Elsener Marcel;*;13;55.25;12;36.5;1;-0.25;8.5
+;17;45.25;Gisler Jonas (2001);;18;54.0;16;45.5;-1;0.25;10.0

13f;Heinzer Ronny;*;;;;;;;;;55.25
o;;;Kurmann Toni;*;;;;;;;8.5
+;6;8.5;Hirsiger Alexander;*;15;54.75;4;9.0;-2;0.5;10.0
+;7;18.5;Arnold Kilian (2002);;23;35.5;7;18.5;0;0.0;10.0
o;7;28.5;Wyrsch Marco;**;7;56.75;7;28.5;0;0.0;8.5
+;10;37.0;Doppmann Ueli;;11;55.75;9;37.25;-1;0.25;9.75
o;11;46.75;Arnold Stefan;**;7;56.75;11;46.75;0;0.0;8.5

13g;Heinzer Josef;;;;;;;;;;55.25
-;;;Graber Sandro;;;;;;;;8.75
+;5;8.75;Kempf David;;19;53.75;3;9.75;-2;1.0;9.75
o;7;18.5;Arnold Raphael;*;10;56.0;7;18.5;0;0.0;8.5
+;13;27.0;Müller Mathias;;24;35.25;14;26.75;1;-0.25;9.75
+;11;36.75;Giger Janik (2002);;19;53.75;11;36.75;0;0.0;10.0
o;11;46.75;Portmann Josef;*;6;57.0;10;47.0;-1;0.25;8.5

13h;Kessler Joel;*;;;;;;;;;55.25
-;;;Herger Fabian;*;;;;;;;9.0
+;4;9.0;Ottiger Lukas;;8;56.5;2;10.0;-2;1.0;10.0
-;5;19.0;Hurschler Thomas;**;7;56.75;3;19.75;-2;0.75;8.75
+;10;27.75;Thalmann Adrian;;12;55.5;7;28.5;-3;0.75;10.0
o;7;37.75;Herger Matthias;**;5;57.25;8;37.5;1;-0.25;8.5
-;13;46.25;Arnold Raphael;*;10;56.0;10;47.0;-3;0.75;9.0

13i;Scherer Niklaus;*;;;;;;;;;55.25
-;;;Wetzstein Adrian;*;;;;;;;8.75
+;5;8.75;Arnold Lukas;;29;27.0;2;10.0;-3;1.25;9.75
o;7;18.5;Schuler Alex;***;14;55.0;11;17.5;4;-1.0;8.5
+;13;27.0;Gasser Dominik 2;;23;35.5;13;27.0;0;0.0;9.75
+;11;36.75;Bissig Fabian;;12;55.5;10;37.0;-1;0.25;10.0
o;11;46.75;Höﬂiger Andreas;**;6;57.0;9;47.25;-2;0.5;8.5

13j;Suter Beat;;;;;;;;;;55.25
+;;;Baumann Reto;;;;;;;;9.75
-;3;9.75;Rohrer Beat;*;16;54.5;5;8.75;2;-1.0;8.75
+;7;18.5;Ettlin Martin;;10;56.0;7;18.5;0;0.0;10.0
o;7;28.5;Zgraggen Fabian;*;7;56.75;7;28.5;0;0.0;8.5
+;10;37.0;Barmet Sven;;18;54.0;10;37.0;0;0.0;9.75
o;11;46.75;Hurschler Thomas;**;7;56.75;10;47.0;-1;0.25;8.5

13k;Elsener Peter;**;;;;;;;;;55.25
o;;;Fankhauser Reto;**;;;;;;;8.5
+;6;8.5;Wyrsch Silvio;*;18;54.0;5;8.75;-1;0.25;9.75
+;8;18.25;Wüest David (2000);;13;55.25;7;18.5;-1;0.25;10.0
o;8;28.25;Imhof Andi;***;3;58.25;8;28.25;0;0.0;8.5
+;11;36.75;Vogel Marcel;;18;54.0;11;36.75;0;0.0;10.0
o;11;46.75;Bättig Martin;*;8;56.5;12;46.5;1;-0.25;8.5

13l;Elsener Marcel;*;;;;;;;;;55.25
o;;;Zgraggen Fabian;*;;;;;;;8.5
o;6;8.5;Hasler Florian;**;7;56.75;5;8.75;-1;0.25;8.5
+;13;17.0;Kaufmann Jens;;18;54.0;8;18.25;-5;1.25;9.75
+;14;26.75;Zumstein Marcel;;18;54.0;12;27.25;-2;0.5;9.75
-;12;36.5;Villiger Cyrill;*;12;55.5;10;37.0;-2;0.5;8.75
+;17;45.25;Wüest David (2000);;13;55.25;17;45.25;0;0.0;10.0

13m;Muff Armin;**;;;;;;;;;55.25
-;;;Kempf Elias;**;;;;;;;8.75
-;5;8.75;Gwerder Michael (2000);*;10;56.0;6;8.5;1;-0.25;9.0
+;10;17.75;von Euw Lukas (2002);;17;54.25;7;18.5;-3;0.75;10.0
-;10;27.75;Zimmermann Martin;**;12;55.5;10;27.75;0;0.0;9.0
+;11;36.75;Klauser Nico;;16;54.5;10;37.0;-1;0.25;10.0
o;11;46.75;Hasler Florian;**;7;56.75;11;46.75;0;0.0;8.5

14a;Lang Sven;*;;;;;;;;;55.0
-;;;Arnold Raphael;*;;;;;;;8.75
-;5;8.75;Bucher Roland;*;11;55.75;5;8.75;0;0.0;9.0
+;10;17.75;Durrer Ueli;;17;54.25;7;18.5;-3;0.75;9.75
-;11;27.5;Bucher Thomas;;14;55.0;10;27.75;-1;0.25;8.75
+;13;36.25;Gisler Silvan (2002);;19;53.75;11;36.75;-2;0.5;10.0
o;13;46.25;Gwerder Guido;**;10;56.0;13;46.25;0;0.0;8.75

14b;Schuler Alex;***;;;;;;;;;55.0
-;;;Herger Matthias;**;;;;;;;9.0
o;4;9.0;Gander Adrian;*;4;57.5;2;10.0;-2;1.0;8.5
+;11;17.5;Scherer Niklaus;*;13;55.25;7;18.5;-4;1.0;10.0
-;11;27.5;Odermatt Remo;*;9;56.25;12;27.25;1;-0.25;9.0
o;12;36.5;Bieri Christian;**;6;57.0;9;37.25;-3;0.75;8.5
+;18;45.0;Käslin Valentin (2000);;17;54.25;15;45.75;-3;0.75;10.0

14c;Hurschler Adrian;;;;;;;;;;55.0
-;;;Della Torre Simon;;;;;;;;8.75
-;5;8.75;Durrer Ueli;;17;54.25;3;9.75;-2;1.0;9.0
o;10;17.75;Egli Damian;**;8;56.5;8;18.25;-2;0.5;8.75
+;15;26.5;Briker Hannes;;22;52.75;12;27.25;-3;0.75;10.0
o;12;36.5;Gwerder Andreas;*;16;54.5;15;35.75;3;-0.75;8.5
+;18;45.0;Gisler Silvan (2002);;19;53.75;17;45.25;-1;0.25;10.0

14d;Gander Michael;;;;;;;;;;55.0
+;;;Briker Hannes;;;;;;;;9.75
o;3;9.75;Scherrer Fabian (2002);;12;55.5;2;10.0;-1;0.25;8.5
o;8;18.25;Hess Michael;*;14;55.0;13;17.0;5;-1.25;8.75
+;13;27.0;Spichtig Aldo;;18;54.0;12;27.25;-1;0.25;9.75
+;11;36.75;Hegner Ueli;*;18;54.0;11;36.75;0;0.0;9.75
o;12;46.5;Zgraggen Fabian;*;7;56.75;10;47.0;-2;0.5;8.5

14e;Hess Michael;*;;;;;;;;;55.0
o;;;Gassmann Michael;*;;;;;;;8.5
o;6;8.5;Herger Matthias;**;5;57.25;4;9.0;-2;0.5;8.5
+;13;17.0;Gander Michael;;14;55.0;8;18.25;-5;1.25;10.0
+;13;27.0;Graber Sandro;;17;54.25;12;27.25;-1;0.25;9.75
o;11;36.75;Rohrer Beat;*;16;54.5;13;36.25;2;-0.5;8.5
+;17;45.25;Kaufmann Jens;;18;54.0;16;45.5;-1;0.25;9.75

14f;Zürcher Ueli (2000);;;;;;;;;;55.0
+;;;Herger Marco (2002);;;;;;;;10.0
+;2;10.0;von Euw Lukas (2002);;17;54.25;2;10.0;0;0.0;9.75
+;3;19.75;Ming Christian;*;16;54.5;5;19.0;2;-0.75;9.75
o;4;29.5;Hasler Florian;**;7;56.75;8;28.25;4;-1.25;8.5
o;6;38.0;Durrer Fabian;*;11;55.75;9;37.25;3;-0.75;8.5
o;12;46.5;Waser Reto;*;8;56.5;11;46.75;-1;0.25;8.5

14g;Bucher Thomas;;;;;;;;;;55.0
-;;;Wüest David (2000);;;;;;;;8.75
+;5;8.75;Ziegler Elias;;19;53.75;5;8.75;0;0.0;10.0
-;6;18.75;Streiff Dominik;*;15;54.75;7;18.5;1;-0.25;9.0
-;10;27.75;Lang Sven;*;14;55.0;11;27.5;1;-0.25;8.75
+;12;36.5;Arnold Fabian;*;16;54.5;14;36.0;2;-0.5;10.0
o;12;46.5;Durrer Robin;;8;56.5;11;46.75;-1;0.25;8.5

14h;Kälin Remo;*;;;;;;;;;55.0
-;;;Ming Christian;*;;;;;;;9.0
o;4;9.0;Egli Damian;**;8;56.5;6;8.5;2;-0.5;8.75
+;10;17.75;Vogel Marcel;;18;54.0;7;18.5;-3;0.75;10.0
o;10;27.75;Ambühl Joel;*;8;56.5;8;28.25;-2;0.5;8.75
+;12;36.5;von Flüe Michael;;17;54.25;10;37.0;-2;0.5;10.0
o;12;46.5;Zurﬂuh Roman;**;7;56.75;10;47.0;-2;0.5;8.5

15a;Burch Jonas;*;;;;;;;;;54.75
+;;;Felder Seppi;*;;;;;;;10.0
-;2;10.0;Fellmann Roman;*;9;56.25;3;9.75;1;-0.25;8.75
o;6;18.75;Herger Fabian;*;8;56.5;6;18.75;0;0.0;8.5
o;12;27.25;Reichmuth Roland;;5;57.25;7;28.5;-5;1.25;8.75
-;14;36.0;Zanini David (2000);;17;54.25;11;36.75;-3;0.75;8.75
+;19;44.75;Briker Hannes;;22;52.75;21;44.25;2;-0.5;10.0

15b;Lussi Marco;*;;;;;;;;;54.75
-;;;Hösli Fritz;*;;;;;;;8.75
-;5;8.75;Gwerder Guido;**;10;56.0;4;9.0;-1;0.25;8.75
+;11;17.5;Klauser Nico;;16;54.5;7;18.5;-4;1.0;9.75
+;12;27.25;Suter Samuel;;15;54.75;7;28.5;-5;1.25;9.75
-;10;37.0;Streiff Dominik;*;15;54.75;9;37.25;-1;0.25;9.0
-;14;46.0;Hirsiger Alexander;*;15;54.75;14;46.0;0;0.0;8.75

15c;Streiff Dominik;*;;;;;;;;;54.75
+;;;Stucki Christian;*;;;;;;;10.0
o;2;10.0;Wicki Joel;**;2;59.25;2;10.0;0;0.0;8.5
-;7;18.5;Bucher Thomas;;14;55.0;6;18.75;-1;0.25;9.0
+;11;27.5;Barmet Sven;;18;54.0;7;28.5;-4;1.0;9.75
-;9;37.25;Lussi Marco;*;15;54.75;10;37.0;1;-0.25;9.0
o;13;46.25;Odermatt Remo;*;9;56.25;13;46.25;0;0.0;8.5

15d;Hirsiger Alexander;*;;;;;;;;;54.75
-;;;Heinzer Stefan;*;;;;;;;9.0
o;4;9.0;Heinzer Ronny;*;13;55.25;6;8.5;2;-0.5;8.75
+;10;17.75;Gander Benjamin (2000);;23;35.5;7;18.5;-3;0.75;9.75
+;11;27.5;Lustenberger Florian (2002);;16;54.5;11;27.5;0;0.0;10.0
o;8;37.5;Waser Dominik;**;6;57.0;8;37.5;0;0.0;8.5
-;14;46.0;Lussi Marco;*;15;54.75;14;46.0;0;0.0;8.75

15e;Suter Samuel;;;;;;;;;;54.75
+;;;Kempf Fabian (2002);;;;;;;;10.0
+;2;10.0;Odermatt Fabian (2002);;24;35.25;3;9.75;1;-0.25;10.0
o;2;20.0;Baumann Roger;*;4;57.5;6;18.75;4;-1.25;8.5
o;7;28.5;Lussi Marco;*;15;54.75;12;27.25;5;-1.25;8.75
-;9;37.25;Durrer Lukas;;16;54.5;10;37.0;1;-0.25;9.0
o;13;46.25;Murer Andy;**;6;57.0;10;47.0;-3;0.75;8.5

15f;Betschart Michael;;;;;;;;;;54.75
+;;;Gisler Silvan (2002);;;;;;;;10.0
+;2;10.0;Arnold Kilian (2002);;23;35.5;2;10.0;0;0.0;10.0
-;2;20.0;Fellmann Roman;*;9;56.25;6;18.75;4;-1.25;9.0
o;5;29.0;Hurschler Thomas;**;7;56.75;7;28.5;2;-0.5;8.5
-;8;37.5;Käslin Ruedi;*;11;55.75;10;37.0;2;-0.5;8.75
o;13;46.25;Gassmann Michael;*;6;57.0;10;47.0;-3;0.75;8.5

15g;Amgarten Martin;*;;;;;;;;;54.75
-;;;Arnold Fabian;*;;;;;;;8.75
o;5;8.75;Hegner Ueli;*;18;54.0;3;9.75;-2;1.0;8.5
-;12;17.25;Doppmann Ueli;;11;55.75;7;18.5;-5;1.25;9.0
+;16;26.25;Ziegler Elias;;19;53.75;12;27.25;-4;1.0;10.0
+;13;36.25;Ulrich Damian;;19;53.75;11;36.75;-2;0.5;10.0
o;13;46.25;Gwerder Michael (2000);*;10;56.0;13;46.25;0;0.0;8.5

15h;Bürgi Tobias;;;;;;;;;;54.75
+;;;Mignola Lorenzo;;;;;;;;10.0
+;2;10.0;Vogel Laurin (2002);;23;35.5;2;10.0;0;0.0;9.75
-;3;19.75;Arnold Andreas;*;10;56.0;7;18.5;4;-1.25;9.0
o;6;28.75;Scheuber Lutz;**;8;56.5;9;28.0;3;-0.75;8.5
o;9;37.25;Bachmann Roger;*;11;55.75;9;37.25;0;0.0;8.5
-;15;45.75;von Flüe Michael;;17;54.25;16;45.5;1;-0.25;9.0

16a;Ming Hannes;;;;;;;;;;54.5
+;;;Ziegler Moritz;;;;;;;;10.0
-;2;10.0;Lustenberger Florian (2002);;16;54.5;2;10.0;0;0.0;9.0
o;5;19.0;Bachmann Roger;*;11;55.75;7;18.5;2;-0.5;8.5
o;11;27.5;Kälin Roland;**;12;55.5;12;27.25;1;-0.25;8.5
+;14;36.0;Meier Daniel (2000);;19;53.75;11;36.75;-3;0.75;10.0
o;14;46.0;Stöckli Damian;*;10;56.0;14;46.0;0;0.0;8.5

16b;Durrer Lukas;;;;;;;;;;54.5
-;;;Gisler Mario (2000);;;;;;;;8.75
+;5;8.75;Zgraggen Sandro (2001);;28;34.0;6;8.5;1;-0.25;10.0
o;6;18.75;Kurmann Toni;*;4;57.5;7;18.5;1;-0.25;8.5
+;12;27.25;Forster Christian;;16;54.5;12;27.25;0;0.0;9.75
-;10;37.0;Suter Samuel;;15;54.75;9;37.25;-1;0.25;9.0
o;14;46.0;Widmer Adrian;*;10;56.0;14;46.0;0;0.0;8.5

16c;Forster Christian;;;;;;;;;;54.5
o;;;Albert Thomas;;;;;;;;8.5
+;6;8.5;Imholz Elias;;28;34.0;6;8.5;0;0.0;10.0
-;7;18.5;Rohrer Beat;*;16;54.5;11;17.5;4;-1.0;8.75
o;12;27.25;Durrer Lukas;;16;54.5;12;27.25;0;0.0;8.5
o;15;35.75;Gander Martin;;17;54.25;15;35.75;0;0.0;8.75
+;20;44.5;Wyrsch Hansi;;22;52.75;21;44.25;1;-0.25;10.0

16d;Ming Christian;*;;;;;;;;;54.5
-;;;Kälin Remo;*;;;;;;;9.0
+;4;9.0;Müller Roger;*;12;55.5;6;8.5;2;-0.5;10.0
o;5;19.0;Zürcher Ueli (2000);;14;55.0;3;19.75;-2;0.75;8.5
+;11;27.5;Lagler Christian;;11;55.75;7;28.5;-4;1.0;9.75
o;9;37.25;Ottiger Lukas;;8;56.5;6;38.0;-3;0.75;8.5
-;15;45.75;Klauser Nico;;16;54.5;15;45.75;0;0.0;8.75

16e;Elsener Manuel;;;;;;;;;;54.5
+;;;von Wyl Simon;;;;;;;;10.0
o;2;10.0;Arnold Andreas;*;10;56.0;5;8.75;3;-1.25;8.5
+;7;18.5;Müller Ivo (2002);;24;35.25;8;18.25;1;-0.25;10.0
-;7;28.5;Bachmann Roger;*;11;55.75;8;28.25;1;-0.25;9.0
o;8;37.5;Höﬂiger Andreas;**;6;57.0;9;37.25;1;-0.25;8.5
o;14;46.0;Della Torre Simon;;11;55.75;14;46.0;0;0.0;8.5

16f;Rohrer Beat;*;;;;;;;;;54.5
-;;;Schürpf Bruno;*;;;;;;;8.75
-;5;8.75;Suter Beat;;13;55.25;3;9.75;-2;1.0;8.75
-;11;17.5;Forster Christian;;16;54.5;7;18.5;-4;1.0;8.75
+;16;26.25;Bühlmann Daniel (2000);;17;54.25;12;27.25;-4;1.0;10.0
+;13;36.25;Hess Michael;*;14;55.0;11;36.75;-2;0.5;9.75
o;14;46.0;Gloggner Philipp;***;11;55.75;14;46.0;0;0.0;8.5

16g;Britschgi Markus;;;;;;;;;;54.5
-;;;Bühlmann Daniel (2000);;;;;;;;8.75
o;5;8.75;Herger Simon;;23;35.5;6;8.5;1;-0.25;8.5
+;12;17.25;Gisler Mario (2000);;23;35.5;12;17.25;0;0.0;10.0
o;12;27.25;Schuler Daniel;*;13;55.25;15;26.5;3;-0.75;8.5
+;15;35.75;Gisler Noah (2002);;21;53.0;14;36.0;-1;0.25;10.0
-;15;45.75;Fellmann Simon;;20;53.5;19;44.75;4;-1.0;8.75

16h;Arnold Fabian;*;;;;;;;;;54.5
-;;;Amgarten Martin;*;;;;;;;8.75
-;5;8.75;Waser Dominik;**;6;57.0;5;8.75;0;0.0;8.75
+;11;17.5;Hürlimann Marco (2002);;19;53.75;7;18.5;-4;1.0;9.75
-;12;27.25;Steiner Severin (2001);;11;55.75;7;28.5;-5;1.25;8.75
o;14;36.0;Bucher Thomas;;14;55.0;12;36.5;-2;0.5;8.5
+;20;44.5;Crotta Robin (2001);;22;52.75;21;44.25;1;-0.25;10.0

16i;Baumann Marco;;;;;;;;;;54.5
-;;;Zumstein Marcel;;;;;;;;8.75
+;5;8.75;Kempf Fabian (2002);;27;34.25;6;8.5;1;-0.25;10.0
o;6;18.75;Schuler Philipp;**;7;56.75;7;18.5;1;-0.25;8.5
o;12;27.25;Vogel Marcel;;18;54.0;13;27.0;1;-0.25;8.5
+;15;35.75;Ziegler Moritz;;17;54.25;14;36.0;-1;0.25;10.0
o;15;45.75;Zimmermann Martin;**;12;55.5;16;45.5;1;-0.25;8.75

16j;Graber Michael;*;;;;;;;;;54.5
-;;;Briker Michael;*;;;;;;;8.75
o;5;8.75;Wyrsch Marco;**;7;56.75;6;8.5;1;-0.25;8.5
+;12;17.25;Müller Mathias;;24;35.25;8;18.25;-4;1.0;10.0
-;12;27.25;von Ah Markus;;19;53.75;11;27.5;-1;0.25;8.75
+;14;36.0;Durrer Ueli;;17;54.25;10;37.0;-4;1.0;10.0
o;14;46.0;Arnold Andreas;*;10;56.0;14;46.0;0;0.0;8.5

16k;Gwerder Andreas;*;;;;;;;;;54.5
o;;;Käslin Ruedi;*;;;;;;;8.5
o;6;8.5;Portmann Josef;*;6;57.0;5;8.75;-1;0.25;8.5
