3395-2016-07-31_Bruenigschwinget-ST

1a;Sempach Thomas;***;;;;;;;;;58.5
-;;;Weyermann Michael;*;;;;;;;8.75
-;4;8.75;Aellen Florian;*;29;34.5;5;8.5;1;-0.25;8.75
o;9;17.5;Siegenthaler Tobias;*;21;52.75;11;17.0;2;-0.5;8.5
+;14;26.0;Wittwer Josias;*;29;34.5;14;26.0;0;0.0;10.0
-;14;36.0;Michel Jonas;*;19;53.25;15;35.75;1;-0.25;8.75
+;16;44.75;Tschanz Richard;*;20;53.0;17;44.5;1;-0.25;9.75

14b;Gwerder Christian;**;;;;;;;;;54.5
+;;;Wittwer Jan;*;;;;;;;9.75
-;2;9.75;Studer Stefan;**;13;54.75;4;8.75;2;-1.0;8.75
+;6;18.5;Kropf Rolf;**;14;54.5;6;18.5;0;0.0;10.0
o;4;28.5;Gerber Christian;**;4;57.0;8;27.5;4;-1.0;8.5
-;10;37.0;Rohrer Marco;**;15;54.25;11;36.75;1;-0.25;8.75
-;13;45.75;Bloch Dominic;**;14;54.5;13;45.75;0;0.0;8.75

14c;Borcard Johann;**;;;;;;;;;54.5
-;;;Gwerder Guido;**;;;;;;;9.0
+;3;9.0;Hadorn Christian;*;20;53.0;4;8.75;1;-0.25;10.0
-;4;19.0;Küttel Pirmin;**;10;55.5;2;19.75;-2;0.75;8.75
+;7;27.75;Kenel Franz-Toni;*;10;55.5;5;28.25;-2;0.5;9.75
o;8;37.5;Gloggner Reto;**;10;55.5;10;37.0;2;-0.5;8.5
o;12;46.0;Mathis Marcel;***;8;56.0;12;46.0;0;0.0;8.5

14d;Hurschler Thomas;**;;;;;;;;;54.5
+;;;Steffen Konrad;*;;;;;;;9.75
o;2;9.75;Wenger Kilian;***;3;57.25;4;8.75;2;-1.0;8.5
-;7;18.25;Gehrig Philipp;**;26;35.25;8;17.75;1;-0.5;8.75
+;10;27.0;Moser Michael;**;28;34.75;13;26.25;3;-0.75;10.0
-;10;37.0;Kenel Franz-Toni;*;10;55.5;10;37.0;0;0.0;8.75
-;13;45.75;Piemontesi Pascal;**;13;54.75;12;46.0;-1;0.25;8.75

14e;Bloch Dominic;**;;;;;;;;;54.5
+;;;Cardinaux Victor;**;;;;;;;10.0
-;1;10.0;Laimbacher Philipp;***;7;56.25;4;8.75;3;-1.25;8.75
+;5;18.75;Rohrer Ivan;**;19;53.25;5;18.75;0;0.0;9.75
o;4;28.5;Müllestein Mike;**;5;56.75;3;28.75;-1;0.25;8.5
-;10;37.0;Waser Dominik;**;13;54.75;10;37.0;0;0.0;8.75
-;13;45.75;Gwerder Christian;**;14;54.5;13;45.75;0;0.0;8.75

14f;Kropf Rolf;**;;;;;;;;;54.5
+;;;Schenkel Remo;*;;;;;;;10.0
o;1;10.0;Mathis Marcel;***;8;56.0;3;9.0;2;-1.0;8.5
o;6;18.5;Gwerder Christian;**;14;54.5;6;18.5;0;0.0;8.5
-;10;27.0;Rohrer Ivan;**;19;53.25;9;27.25;-1;0.25;8.75
-;15;35.75;Egli Pirmin;**;19;53.25;14;36.0;-1;0.25;8.75
+;17;44.5;Egli Damian;**;21;52.75;18;44.25;1;-0.25;10.0

15a;Zimmermann Martin;**;;;;;;;;;54.25
-;;;Michel Jonas;*;;;;;;;8.75
-;4;8.75;Schenk Patrick;**;8;56.0;4;8.75;0;0.0;8.75
+;9;17.5;Aellen Florian;*;29;34.5;10;17.25;1;-0.25;9.75
o;9;27.25;Zenger Niklaus;***;17;53.75;11;26.75;2;-0.5;8.5
-;15;35.75;Glauser Daniel;*;20;53.0;15;35.75;0;0.0;8.75
+;17;44.5;Brodard Augustin;**;20;53.0;18;44.25;1;-0.25;9.75

15b;Odermatt Andreas;*;;;;;;;;;54.25
+;;;Gobeli Patrick (1998);*;;;;;;;9.75
+;2;9.75;Schenkel Remo;*;20;53.0;5;8.5;3;-1.25;9.75
o;3;19.5;Kämpf Bernhard;***;2;57.5;5;18.75;2;-0.75;8.5
-;6;28.0;Tschanz Richard;*;20;53.0;9;27.25;3;-0.75;9.0
o;10;37.0;Habegger Heinz;**;16;54.0;16;35.5;6;-1.5;8.5
-;14;45.5;Herger Fabian;*;15;54.25;14;45.5;0;0.0;8.75

15c;Imfeld Peter;***;;;;;;;;;54.25
o;;;Sempach Thomas;***;;;;;;;8.5
-;5;8.5;Blaser Roman;*;20;53.0;4;8.75;-1;0.25;8.75
+;10;17.25;Steffen Gustav;*;8;56.0;9;17.5;-1;0.25;10.0
+;9;27.25;Siegenthaler Tobias;*;21;52.75;10;27.0;1;-0.25;10.0
o;9;37.25;Sempach Matthias;***;4;57.0;9;37.25;0;0.0;8.5
o;13;45.75;Röthlisberger Simon;**;10;55.5;13;45.75;0;0.0;8.5

15d;Rolli Martin;**;;;;;;;;;54.25
o;;;Reichmuth Marco;**;;;;;;;8.75
+;4;8.75;Graber Michael;*;10;55.5;1;10.0;-3;1.25;10.0
o;5;18.75;Wicki Joel;**;2;57.5;8;17.75;3;-1.0;8.5
+;9;27.25;Odermatt Christian;**;12;55.0;6;28.0;-3;0.75;9.75
o;10;37.0;Gloggner Philipp;***;9;55.75;13;36.25;3;-0.75;8.5
o;14;45.5;Küttel Pirmin;**;10;55.5;13;45.75;-1;0.25;8.75

15e;Herger Fabian;*;;;;;;;;;54.25
-;;;von Weissenfluh Kilian;*;;;;;;;8.75
+;4;8.75;Steffen Konrad;*;16;54.0;5;8.5;1;-0.25;9.75
o;6;18.5;Studer Stefan;**;13;54.75;8;17.75;2;-0.75;8.5
-;10;27.0;Gobeli Patrick (1998);*;27;35.0;13;26.25;3;-0.75;8.75
+;15;35.75;Heiniger Michael;*;21;52.75;16;35.5;1;-0.25;9.75
-;14;45.5;Odermatt Andreas;*;15;54.25;14;45.5;0;0.0;8.75

15f;Gäggeler Adrian;*;;;;;;;;;54.25
o;;;Egli Damian;**;;;;;;;8.75
+;4;8.75;Bürgi Reto;*;20;53.0;2;9.75;-2;1.0;9.75
o;6;18.5;Nötzli Bruno;***;5;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Egli Pirmin;**;19;53.25;9;27.25;-1;0.25;10.0
o;10;37.0;Ulrich Andreas;***;6;56.5;11;36.75;1;-0.25;8.5
-;14;45.5;Rohrer Marco;**;15;54.25;14;45.5;0;0.0;8.75

15g;von Büren Stephan;*;;;;;;;;;54.25
-;;;Britschgi Melk;**;;;;;;;8.75
+;4;8.75;Stöckli Stefan;**;9;55.75;1;10.0;-3;1.25;10.0
+;5;18.75;Nötzli Reto;***;24;44.5;5;18.75;0;0.0;10.0
o;3;28.75;Brun Jonas;**;8;56.0;5;28.25;2;-0.5;8.5
o;9;37.25;Nötzli Bruno;***;5;56.75;10;37.0;1;-0.25;8.5
o;13;45.75;Kenel Franz-Toni;*;10;55.5;13;45.75;0;0.0;8.5

15h;Schenkel Adrian;**;;;;;;;;;54.25
-;;;Vogel Remo;**;;;;;;;9.0
+;3;9.0;Gassmann Fabian;**;11;55.25;2;9.75;-1;0.75;9.75
o;5;18.75;Laimbacher Philipp;***;7;56.25;8;17.75;3;-1.0;8.5
o;9;27.25;Kälin Roland;**;12;55.0;6;28.0;-3;0.75;8.5
+;15;35.75;Bernet Christoph;*;17;53.75;13;36.25;-2;0.5;10.0
o;13;45.75;Gloggner Philipp;***;9;55.75;12;46.0;-1;0.25;8.5

15i;Cardinaux Victor;**;;;;;;;;;54.25
o;;;Bloch Dominic;**;;;;;;;8.5
+;5;8.5;Klossner Adrian;*;30;34.25;4;8.75;-1;0.25;10.0
o;6;18.5;Scheuber Lutz;**;9;55.75;5;18.75;-1;0.25;8.5
+;10;27.0;Bürgi Reto;*;20;53.0;10;27.0;0;0.0;10.0
o;10;37.0;Wicki Joel;**;2;57.5;8;37.5;-2;0.5;8.5
o;14;45.5;Bernhard Lukas;*;11;55.25;14;45.5;0;0.0;8.75

15j;Betschart Remo;**;;;;;;;;;54.25
-;;;Steffen Valentin;*;;;;;;;8.75
o;4;8.75;Michel Jonas;*;19;53.25;4;8.75;0;0.0;8.5
o;10;17.25;Weyermann Florian;*;32;27.25;10;17.25;0;0.0;8.5
+;15;25.75;Urfer Simon;*;31;34.0;16;25.5;1;-0.25;10.0
+;15;35.75;Hadorn Christian;*;20;53.0;15;35.75;0;0.0;10.0
o;13;45.75;Roschi Ruedi;**;9;55.75;13;45.75;0;0.0;8.5

15k;Rohrer Marco;**;;;;;;;;;54.25
o;;;Sommer Roman;*;;;;;;;8.5
+;5;8.5;Steffen Valentin;*;30;34.25;4;8.75;-1;0.25;9.75
+;7;18.25;Urfer Simon;*;31;34.0;11;17.0;4;-1.25;10.0
o;5;28.25;Piemontesi Pascal;**;13;54.75;8;27.5;3;-0.75;8.5
-;11;36.75;Gwerder Christian;**;14;54.5;10;37.0;-1;0.25;8.75
-;14;45.5;Gäggeler Adrian;*;15;54.25;14;45.5;0;0.0;8.75

16a;Cropt Harald;**;;;;;;;;;54.0
+;;;Wittwer Josias;*;;;;;;;10.0
o;1;10.0;Schuler Christian;***;4;57.0;3;9.0;2;-1.0;8.5
o;6;18.5;Stöckli Stefan;**;9;55.75;6;18.5;0;0.0;8.5
o;10;27.0;Mathis Marcel;***;8;56.0;8;27.5;-2;0.5;8.5
+;16;35.5;Pulfer Thomas;*;21;52.75;16;35.5;0;0.0;10.0
o;14;45.5;Sommer Roman;*;11;55.25;14;45.5;0;0.0;8.5

16b;Reichmuth Marco;**;;;;;;;;;54.0
+;;;Rolli Martin;**;;;;;;;10.0
-;1;10.0;Moser Michael;**;28;34.75;4;8.75;3;-1.25;8.75
o;5;18.75;Roschi Ruedi;**;9;55.75;6;18.5;1;-0.25;8.5
o;9;27.25;von Weissenfluh Kilian;*;9;55.75;10;27.0;1;-0.25;8.5
o;15;35.75;Röthlisberger Simon;**;10;55.5;15;35.75;0;0.0;8.5
+;18;44.25;Michel Jonas;*;19;53.25;17;44.5;-1;0.25;9.75

16c;Steffen Konrad;*;;;;;;;;;54.0
o;;;Hurschler Thomas;**;;;;;;;8.5
o;5;8.5;Herger Fabian;*;15;54.25;4;8.75;-1;0.25;8.5
+;11;17.0;Gwerder Andreas;*;31;34.0;11;17.0;0;0.0;9.75
-;11;26.75;Baumann Roger;*;13;54.75;9;27.25;-2;0.5;8.75
+;16;35.5;Heiniger Michael;*;21;52.75;16;35.5;0;0.0;10.0
o;14;45.5;Schuler Alex;**;10;55.5;13;45.75;-1;0.25;8.5

16d;Habegger Heinz;**;;;;;;;;;54.0
o;;;Stöckli Stefan;**;;;;;;;8.5
o;5;8.5;Fankhauser Reto;**;12;55.0;4;8.75;-1;0.25;8.5
+;11;17.0;Weyermann Michael;*;29;34.5;10;17.25;-1;0.25;10.0
o;10;27.0;Schuler Alex;**;10;55.5;8;27.5;-2;0.5;8.5
+;16;35.5;Odermatt Andreas;*;15;54.25;10;37.0;-6;1.5;10.0
o;14;45.5;Grab Martin;***;10;55.5;14;45.5;0;0.0;8.5

17a;Bernet Christoph;*;;;;;;;;;53.75
-;;;Renfer Lukas;*;;;;;;;8.75
+;4;8.75;Siegenthaler Tobias;*;21;52.75;5;8.5;1;-0.25;9.75
-;6;18.5;Moser Michael;**;28;34.75;9;17.5;3;-1.0;8.75
-;9;27.25;Guisolan Marc;**;25;35.75;10;27.0;1;-0.25;9.0
o;13;36.25;Schenkel Adrian;**;15;54.25;15;35.75;2;-0.5;8.5
-;16;44.75;Hadorn Christian;*;20;53.0;18;44.25;2;-0.5;9.0

17b;Zenger Niklaus;***;;;;;;;;;53.75
+;;;Fankhauser Reto;**;;;;;;;9.75
o;2;9.75;Müllestein Mike;**;5;56.75;1;10.0;-1;0.25;8.5
o;7;18.25;Suppiger René;**;6;56.5;6;18.5;-1;0.25;8.5
+;11;26.75;Zimmermann Martin;**;15;54.25;9;27.25;-2;0.5;9.75
o;12;36.5;Vogel Remo;**;10;55.5;11;36.75;-1;0.25;8.5
o;15;45.0;Graber Michael;*;10;55.5;14;45.5;-1;0.5;8.75

18a;Wyrsch Marco;*;;;;;;;;;53.5
-;;;Tschanz Richard;*;;;;;;;8.75
+;4;8.75;Schletti Andreas (1998);*;26;35.25;5;8.5;1;-0.25;9.75
-;6;18.5;Schütz Urs;**;28;34.75;9;17.5;3;-1.0;8.75
-;9;27.25;Schenk Thomas;*;22;52.5;11;26.75;2;-0.5;8.75
-;14;36.0;Brodard Augustin;**;20;53.0;16;35.5;2;-0.5;8.75
-;16;44.75;Blaser Roman;*;20;53.0;18;44.25;2;-0.5;8.75

19a;Egli Pirmin;**;;;;;;;;;53.25
-;;;Schütz Urs;**;;;;;;;8.75
+;4;8.75;Urfer Simon;*;31;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Wenger Kilian;***;3;57.25;6;18.5;1;-0.25;8.5
o;9;27.25;Gäggeler Adrian;*;15;54.25;10;27.0;1;-0.25;8.75
-;14;36.0;Kropf Rolf;**;14;54.5;15;35.75;1;-0.25;8.75
o;16;44.75;Studer Stefan;**;13;54.75;16;44.75;0;0.0;8.5

19b;Michel Jonas;*;;;;;;;;;53.25
-;;;Zimmermann Martin;**;;;;;;;8.75
+;4;8.75;Betschart Remo;**;15;54.25;4;8.75;0;0.0;10.0
o;5;18.75;Schuler Christian;***;4;57.0;5;18.75;0;0.0;8.5
o;9;27.25;Kennel Stefan;**;9;55.75;8;27.5;-1;0.25;8.5
-;15;35.75;Muff André;*;14;54.5;14;36.0;-1;0.25;8.75
o;17;44.5;Reichmuth Marco;**;16;54.0;18;44.25;1;-0.25;8.75

19c;Rohrer Ivan;**;;;;;;;;;53.25
-;;;Gapany Benjamin;**;;;;;;;8.75
+;4;8.75;Schenk Thomas;*;22;52.5;5;8.5;1;-0.25;10.0
o;5;18.75;Bloch Dominic;**;14;54.5;5;18.75;0;0.0;8.5
-;9;27.25;Kropf Rolf;**;14;54.5;10;27.0;1;-0.25;8.75
o;14;36.0;Steffen Gustav;*;8;56.0;14;36.0;0;0.0;8.5
-;17;44.5;Heiniger Michael;*;21;52.75;19;44.0;2;-0.5;8.75

20a;Glauser Daniel;*;;;;;;;;;53.0
o;;;Dousse Michel;**;;;;;;;8.5
+;5;8.5;Dind Samuel;**;26;35.25;5;8.5;0;0.0;9.75
-;7;18.25;Britschgi Melk;**;11;55.25;6;18.5;-1;0.25;8.75
o;10;27.0;Graber Michael;*;10;55.5;10;27.0;0;0.0;8.75
-;15;35.75;Zimmermann Martin;**;15;54.25;15;35.75;0;0.0;8.75
o;17;44.5;Wyrsch Marco;*;18;53.5;16;44.75;-1;0.25;8.5

20b;Hadorn Christian;*;;;;;;;;;53.0
-;;;Reichmuth Armin;*;;;;;;;8.75
o;4;8.75;Borcard Johann;**;14;54.5;3;9.0;-1;0.25;8.5
o;10;17.25;Odermatt Christian;**;12;55.0;7;18.25;-3;1.0;8.5
+;15;25.75;Schütz Urs;**;28;34.75;13;26.25;-2;0.5;10.0
o;15;35.75;Betschart Remo;**;15;54.25;15;35.75;0;0.0;8.5
-;18;44.25;Bernet Christoph;*;17;53.75;16;44.75;-2;0.5;8.75

20c;Tschanz Richard;*;;;;;;;;;53.0
-;;;Wyrsch Marco;*;;;;;;;8.75
-;4;8.75;Suppiger Werner;**;33;17.75;3;9.0;-1;0.25;8.75
+;9;17.5;Egli Damian;**;21;52.75;6;18.5;-3;1.0;9.75
-;9;27.25;Odermatt Andreas;*;15;54.25;6;28.0;-3;0.75;8.75
o;14;36.0;Gassmann Fabian;**;11;55.25;12;36.5;-2;0.5;8.5
o;17;44.5;Muff André;*;14;54.5;16;44.75;-1;0.25;8.5

20d;Schenkel Remo;*;;;;;;;;;53.0
o;;;Kropf Rolf;**;;;;;;;8.5
o;5;8.5;Odermatt Andreas;*;15;54.25;2;9.75;-3;1.25;8.75
+;10;17.25;Schärli Pius;*;29;34.5;9;17.5;-1;0.25;9.75
-;10;27.0;Vogel Remo;**;10;55.5;7;27.75;-3;0.75;9.0
o;14;36.0;Odermatt Christian;**;12;55.0;11;36.75;-3;0.75;8.5
o;17;44.5;Reichmuth Armin;*;13;54.75;16;44.75;-1;0.25;8.5

20e;Blaser Roman;*;;;;;;;;;53.0
-;;;Arnold Raphael;*;;;;;;;8.75
-;4;8.75;Imfeld Peter;***;15;54.25;5;8.5;1;-0.25;8.75
o;9;17.5;Bernhard Lukas;*;11;55.25;6;18.5;-3;1.0;8.5
+;14;26.0;Dind Samuel;**;26;35.25;11;26.75;-3;0.75;9.75
o;15;35.75;Fankhauser Reto;**;12;55.0;11;36.75;-4;1.0;8.5
-;18;44.25;Wyrsch Marco;*;18;53.5;16;44.75;-2;0.5;8.75

20f;Bürgi Reto;*;;;;;;;;;53.0
+;;;Siegenthaler Tobias;*;;;;;;;9.75
o;2;9.75;Gäggeler Adrian;*;15;54.25;4;8.75;2;-1.0;8.5
-;7;18.25;Gobeli Patrick (1998);*;27;35.0;9;17.5;2;-0.75;8.75
o;10;27.0;Cardinaux Victor;**;15;54.25;10;27.0;0;0.0;8.5
-;16;35.5;Dousse Michel;**;20;53.0;16;35.5;0;0.0;8.75
-;18;44.25;Pulfer Thomas;*;21;52.75;19;44.0;1;-0.25;8.75

20g;Dousse Michel;**;;;;;;;;;53.0
+;;;Glauser Daniel;*;;;;;;;9.75
o;2;9.75;Gasser Stefan;**;10;55.5;2;9.75;0;0.0;8.5
o;7;18.25;Waser Dominik;**;13;54.75;6;18.5;-1;0.25;8.5
-;11;26.75;Ramseier Thomas;*;27;35.0;13;26.25;2;-0.5;8.75
-;16;35.5;Bürgi Reto;*;20;53.0;16;35.5;0;0.0;8.75
-;18;44.25;Siegenthaler Tobias;*;21;52.75;19;44.0;1;-0.25;8.75

20h;Brodard Augustin;**;;;;;;;;;53.0
+;;;Schenk Thomas;*;;;;;;;9.75
o;2;9.75;Küttel Pirmin;**;10;55.5;2;9.75;0;0.0;8.5
-;7;18.25;Gerber Thomas;*;29;34.5;11;17.0;4;-1.25;8.75
o;10;27.0;Britschgi Melk;**;11;55.25;9;27.25;-1;0.25;8.5
-;16;35.5;Wyrsch Marco;*;18;53.5;14;36.0;-2;0.5;8.75
o;18;44.25;Zimmermann Martin;**;15;54.25;17;44.5;-1;0.25;8.75

21a;Pulfer Thomas;*;;;;;;;;;52.75
o;;;Baumann Roger;*;;;;;;;8.5
o;5;8.5;Gapany Benjamin;**;23;45.5;4;8.75;-1;0.25;8.5
o;11;17.0;Dind Samuel;**;26;35.25;11;17.0;0;0.0;8.5
+;16;25.5;Bütikofer Lukas;*;30;34.25;15;25.75;-1;0.25;10.0
o;16;35.5;Cropt Harald;**;16;54.0;16;35.5;0;0.0;8.5
-;19;44.0;Bürgi Reto;*;20;53.0;18;44.25;-1;0.25;8.75

21b;Heiniger Michael;*;;;;;;;;;52.75
o;;;Küttel Pirmin;**;;;;;;;8.5
+;5;8.5;Zimmermann Simon;**;29;34.5;5;8.5;0;0.0;10.0
o;6;18.5;Ulrich Andreas;***;6;56.5;6;18.5;0;0.0;8.5
o;10;27.0;Herger Fabian;*;15;54.25;10;27.0;0;0.0;8.5
o;16;35.5;Steffen Konrad;*;16;54.0;16;35.5;0;0.0;8.5
-;19;44.0;Rohrer Ivan;**;19;53.25;17;44.5;-2;0.5;8.75

21c;Egli Damian;**;;;;;;;;;52.75
+;;;Gäggeler Adrian;*;;;;;;;10.0
o;1;10.0;Aeschbacher Matthias;**;6;56.5;3;9.0;2;-1.0;8.5
o;6;18.5;Tschanz Richard;*;20;53.0;9;17.5;3;-1.0;8.5
-;10;27.0;Gehrig Philipp;**;26;35.25;12;26.5;2;-0.5;8.75
o;15;35.75;Kennel Stefan;**;9;55.75;9;37.25;-6;1.5;8.5
o;18;44.25;Kropf Rolf;**;14;54.5;17;44.5;-1;0.25;8.5

21d;Siegenthaler Tobias;*;;;;;;;;;52.75
o;;;Bürgi Reto;*;;;;;;;8.5
o;5;8.5;Bernet Christoph;*;17;53.75;4;8.75;-1;0.25;8.5
+;11;17.0;Muff André;*;14;54.5;9;17.5;-2;0.5;10.0
o;10;27.0;Imfeld Peter;***;15;54.25;9;27.25;-1;0.25;8.5
o;16;35.5;Bucher Roland;*;11;55.25;11;36.75;-5;1.25;8.5
-;19;44.0;Dousse Michel;**;20;53.0;18;44.25;-1;0.25;8.75

22a;Schenk Thomas;*;;;;;;;;;52.5
o;;;Brodard Augustin;**;;;;;;;8.5
o;5;8.5;Rohrer Ivan;**;19;53.25;4;8.75;-1;0.25;8.5
+;11;17.0;Bütikofer Lukas;*;30;34.25;10;17.25;-1;0.25;9.75
-;11;26.75;Wyrsch Marco;*;18;53.5;9;27.25;-2;0.5;8.75
o;16;35.5;Baumann Roger;*;13;54.75;14;36.0;-2;0.5;8.5
o;19;44.0;Arnold Raphael;*;13;54.75;16;44.75;-3;0.75;8.5

23a;Gapany Benjamin;**;;;;;;;;;45.5
-;;;Rohrer Ivan;**;;;;;;;8.75
+;4;8.75;Pulfer Thomas;*;21;52.75;5;8.5;1;-0.25;10.0
o;5;18.75;Grab Martin;***;10;55.5;7;18.25;2;-0.5;8.5
+;9;27.25;Reichmuth Armin;*;13;54.75;7;27.75;-2;0.5;9.75
o;10;37.0;Stöckli Stefan;**;9;55.75;9;37.25;-1;0.25;8.5

24a;Nötzli Reto;***;;;;;;;;;44.5
-;;;Gerber Christian;**;;;;;;;8.75
+;4;8.75;Roschi Ruedi;**;9;55.75;1;10.0;-3;1.25;10.0
o;5;18.75;von Büren Stephan;*;15;54.25;5;18.75;0;0.0;8.75
o;8;27.5;Schenk Patrick;**;8;56.0;7;27.75;-1;0.25;8.5
o;14;36.0;Mathys Simon;**;8;56.0;9;37.25;-5;1.25;8.5

25a;Guisolan Marc;**;;;;;;;;;35.75
o;;;Brun Jonas;**;;;;;;;8.5
+;5;8.5;Wittwer Jan;*;30;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Gwerder Guido;**;7;56.25;4;19.0;-2;0.5;8.5
-;10;27.0;Bernet Christoph;*;17;53.75;9;27.25;-1;0.25;8.75

26a;Binggeli Dominik;*;;;;;;;;;35.25
+;;;Gwerder Andreas;*;;;;;;;9.75
o;2;9.75;Ulrich Andreas;***;6;56.5;4;8.75;2;-1.0;8.5
o;7;18.25;Fankhauser Reto;**;12;55.0;6;18.5;-1;0.25;8.5
o;11;26.75;Gassmann Fabian;**;11;55.25;11;26.75;0;0.0;8.5

26b;Schletti Andreas (1998);*;;;;;;;;;35.25
o;;;Kenel Franz-Toni;*;;;;;;;8.5
o;5;8.5;Wyrsch Marco;*;18;53.5;4;8.75;-1;0.25;8.5
o;11;17.0;Vogel Remo;**;10;55.5;8;17.75;-3;0.75;8.5
+;16;25.5;Steffen Valentin;*;30;34.25;15;25.75;-1;0.25;9.75

26c;Dind Samuel;**;;;;;;;;;35.25
o;;;Steinauer Adrian;**;;;;;;;8.5
o;5;8.5;Glauser Daniel;*;20;53.0;5;8.5;0;0.0;8.5
+;11;17.0;Pulfer Thomas;*;21;52.75;11;17.0;0;0.0;9.75
o;11;26.75;Blaser Roman;*;20;53.0;14;26.0;3;-0.75;8.5

26d;Gehrig Philipp;**;;;;;;;;;35.25
-;;;Suppiger Werner;**;;;;;;;9.0
o;3;9.0;Kenel Franz-Toni;*;10;55.5;1;10.0;-2;1.0;8.75
-;8;17.75;Hurschler Thomas;**;14;54.5;7;18.25;-1;0.5;8.75
-;12;26.5;Egli Damian;**;21;52.75;10;27.0;-2;0.5;8.75

27a;Gobeli Patrick (1998);*;;;;;;;;;35.0
o;;;Odermatt Andreas;*;;;;;;;8.5
-;5;8.5;Arnold Raphael;*;13;54.75;4;8.75;-1;0.25;9.0
-;9;17.5;Bürgi Reto;*;20;53.0;7;18.25;-2;0.75;8.75
-;13;26.25;Herger Fabian;*;15;54.25;10;27.0;-3;0.75;8.75

27b;Ramseier Thomas;*;;;;;;;;;35.0
o;;;Gassmann Fabian;**;;;;;;;8.5
-;5;8.5;Schärli Pius;*;29;34.5;4;8.75;-1;0.25;9.0
-;9;17.5;Baumann Roger;*;13;54.75;6;18.5;-3;1.0;8.75
-;13;26.25;Dousse Michel;**;20;53.0;11;26.75;-2;0.5;8.75

28a;Moser Michael;**;;;;;;;;;34.75
-;;;Mathis Marcel;***;;;;;;;8.75
-;4;8.75;Reichmuth Marco;**;16;54.0;1;10.0;-3;1.25;8.75
-;9;17.5;Bernet Christoph;*;17;53.75;6;18.5;-3;1.0;8.75
o;13;26.25;Hurschler Thomas;**;14;54.5;10;27.0;-3;0.75;8.5

28b;Schütz Urs;**;;;;;;;;;34.75
-;;;Egli Pirmin;**;;;;;;;8.75
-;4;8.75;Bernhard Lukas;*;11;55.25;2;9.75;-2;1.0;8.75
-;9;17.5;Wyrsch Marco;*;18;53.5;6;18.5;-3;1.0;8.75
o;13;26.25;Hadorn Christian;*;20;53.0;15;25.75;2;-0.5;8.5

29a;Schärli Pius;*;;;;;;;;;34.5
-;;;Klossner Adrian;*;;;;;;;8.75
-;4;8.75;Ramseier Thomas;*;27;35.0;5;8.5;1;-0.25;8.75
o;9;17.5;Schenkel Remo;*;20;53.0;10;17.25;1;-0.25;8.5
o;14;26.0;Reusser Philipp;**;13;54.75;9;27.25;-5;1.25;8.5

29b;Aellen Florian;*;;;;;;;;;34.5
o;;;Bernhard Lukas;*;;;;;;;8.5
-;5;8.5;Muff André;*;14;54.5;4;8.75;-1;0.25;8.75
o;10;17.25;Zimmermann Martin;**;15;54.25;9;17.5;-1;0.25;8.5
-;15;25.75;Zimmermann Simon;**;29;34.5;15;25.75;0;0.0;8.75

29c;Weyermann Michael;*;;;;;;;;;34.5
-;;;Muff André;*;;;;;;;8.75
o;4;8.75;Scheuber Lutz;**;9;55.75;4;8.75;0;0.0;8.5
o;10;17.25;Habegger Heinz;**;16;54.0;11;17.0;1;-0.25;8.5
-;15;25.75;Berger René;**;29;34.5;15;25.75;0;0.0;8.75

29d;Zimmermann Simon;**;;;;;;;;;34.5
o;;;Kämpf Alexander;**;;;;;;;8.5
o;5;8.5;Heiniger Michael;*;21;52.75;5;8.5;0;0.0;8.5
-;11;17.0;Renfer Lukas;*;29;34.5;10;17.25;-1;0.25;8.75
-;15;25.75;Aellen Florian;*;29;34.5;15;25.75;0;0.0;8.75

29e;Wittwer Josias;*;;;;;;;;;34.5
o;;;Cropt Harald;**;;;;;;;8.5
-;5;8.5;Reichmuth Armin;*;13;54.75;4;8.75;-1;0.25;8.75
-;10;17.25;Arnold Raphael;*;13;54.75;8;17.75;-2;0.5;8.75
o;14;26.0;Muff André;*;14;54.5;14;26.0;0;0.0;8.5

29f;Gerber Thomas;*;;;;;;;;;34.5
o;;;Bucher Roland;*;;;;;;;8.5
o;5;8.5;Waser Dominik;**;13;54.75;4;8.75;-1;0.25;8.5
-;11;17.0;Brodard Augustin;**;20;53.0;7;18.25;-4;1.25;8.75
-;15;25.75;Wittwer Jan;*;30;34.25;16;25.5;1;-0.25;8.75

29g;Berger René;**;;;;;;;;;34.5
-;;;Kennel Stefan;**;;;;;;;8.75
o;4;8.75;Britschgi Melk;**;11;55.25;4;8.75;0;0.0;8.5
o;10;17.25;Steinauer Adrian;**;6;56.5;7;18.25;-3;1.0;8.5
-;15;25.75;Weyermann Michael;*;29;34.5;15;25.75;0;0.0;8.75

29h;Renfer Lukas;*;;;;;;;;;34.5
-;;;Bernet Christoph;*;;;;;;;8.75
o;4;8.75;Suppiger René;**;6;56.5;5;8.5;1;-0.25;8.5
-;10;17.25;Zimmermann Simon;**;29;34.5;11;17.0;1;-0.25;8.75
o;14;26.0;Arnold Raphael;*;13;54.75;12;26.5;-2;0.5;8.5

30a;Steffen Valentin;*;;;;;;;;;34.25
