4693-2021-08-22_105_Basellandschaftliches_Kantonalschwingfest-ST

1a;Alpiger Nick;***;;;;;;;;;59.75
o;8;37.0;Reimann Marco;;5;57.0;7;37.25;-1;0.25;8.75
o;12;45.75;Walther Reto (2003);;10;55.75;11;46.0;-1;0.25;8.75

15c;Schick Janis (2003);;;;;;;;;;54.5
o;;;Schafroth Dario (2004);;;;;;;;8.5
-;5;8.5;Bachmann Sämi;;14;54.75;5;8.5;0;0.0;8.75
+;10;17.25;Hermann Lukas;;15;54.5;9;17.5;-1;0.25;10.0
+;9;27.25;Vogt Sandro (2004);;22;52.75;10;27.0;1;-0.25;10.0
-;7;37.25;Scherrer Johann;**;18;53.75;11;36.25;4;-1.0;8.75
o;11;46.0;Lisser Daniel;*;10;55.75;12;45.75;1;-0.25;8.5

15d;Kohler Adrian;*;;;;;;;;;54.5
o;;;Vieira Tiago;**;;;;;;;8.5
+;5;8.5;Spies Thierry (2003);;18;53.75;2;9.75;-3;1.25;10.0
+;6;18.5;Buchmann Moritz (2005);;18;53.75;2;19.75;-4;1.25;10.0
o;4;28.5;Strebel Joel;***;2;58.0;2;29.5;-2;1.0;8.5
-;8;37.0;Stark Urban;;10;55.75;7;37.25;-1;0.25;8.75
-;12;45.75;Mangold Martin;*;16;54.25;13;45.5;1;-0.25;8.75

15e;Grob Enea (2003);;;;;;;;;;54.5
+;;;Christ Marino (2005);;;;;;;;10.0
+;1;10.0;Thommen Nick;;18;53.75;2;9.75;1;-0.25;9.75
o;2;19.75;Schmutz Adrian;*;12;55.25;6;18.5;4;-1.25;8.5
-;5;28.25;Scherrer Johann;**;18;53.75;9;27.25;4;-1.0;9.0
o;7;37.25;Brand Christian;**;10;55.75;8;37.0;1;-0.25;8.5
o;12;45.75;Büttler Gian;;11;55.5;12;45.75;0;0.0;8.75

15f;Stegmüller Klemens;*;;;;;;;;;54.5
o;;;Brand Christian;**;;;;;;;8.75
+;4;8.75;Nussbaumer Dominik;;18;53.75;4;8.75;0;0.0;10.0
o;5;18.75;Streich Sascha;;10;55.75;5;18.75;0;0.0;8.5
o;9;27.25;Schmid Samuel;**;6;56.75;5;28.25;-4;1.0;8.5
+;13;35.75;Buob Mike (2005);;21;53.0;12;36.0;-1;0.25;10.0
-;12;45.75;Fricker Ivo;;16;54.25;13;45.5;1;-0.25;8.75

15g;Hermann Lukas;;;;;;;;;;54.5
-;;;Vogt Sandro (2004);;;;;;;;8.75
-;4;8.75;Huser Roman;;19;53.5;5;8.5;1;-0.25;8.75
o;9;17.5;Schick Janis (2003);;15;54.5;10;17.25;1;-0.25;8.5
-;13;26.0;Nussbaumer Dominik;;18;53.75;13;26.0;0;0.0;8.75
+;17;34.75;Herrmann Daniel (2003);;24;51.75;18;34.5;1;-0.25;9.75
+;17;44.5;Nussbaumer Joschua (2003);;22;52.75;18;44.25;1;-0.25;10.0

15h;Vogt Fredy;;;;;;;;;;54.5
o;;;Dobler Florian;;;;;;;;8.5
+;5;8.5;Furter Jannis (2004);;17;54.0;5;8.5;0;0.0;10.0
-;6;18.5;Küng Marco;*;17;54.0;10;17.25;4;-1.25;8.75
o;9;27.25;Odermatt Jonas (2004);;12;55.25;5;28.25;-4;1.0;8.5
-;13;35.75;Ancona Enea (2004);;16;54.25;14;35.5;1;-0.25;8.75
+;17;44.5;Wiedmer Lukas;;22;52.75;18;44.25;1;-0.25;10.0

15i;Kehr Damian;;;;;;;;;;54.5
o;;;Christ Dario (2003);;;;;;;;8.5
-;5;8.5;Graber Bänz;;18;53.75;5;8.5;0;0.0;9.0
+;9;17.5;Studer Louis (2004);;24;51.75;11;17.0;2;-0.5;10.0
-;8;27.5;Bachmann Sämi;;14;54.75;8;27.5;0;0.0;8.75
+;11;36.25;Salzmann Simon;*;20;53.25;14;35.5;3;-0.75;9.75
o;11;46.0;Schmutz Simon;*;10;55.75;12;45.75;1;-0.25;8.5

16a;Hengartner Tobias (2003);;;;;;;;;;54.25
+;;;Nussbaumer Dominik;;;;;;;;9.75
o;2;9.75;Buchmann Moritz (2005);;18;53.75;1;10.0;-1;0.25;8.5
o;7;18.25;Nussbaumer Gabriel;;14;54.75;7;18.25;0;0.0;8.5
+;11;26.75;Thommen Nick;;18;53.75;11;26.75;0;0.0;10.0
o;9;36.75;Rüegger Aaron;*;9;56.0;8;37.0;-1;0.25;8.75
o;13;45.5;Reinhard Reto;;12;55.25;14;45.25;1;-0.25;8.75

16b;Späti Jan;;;;;;;;;;54.25
+;;;Suter Jonas (2003);;;;;;;;10.0
o;1;10.0;Mangold Martin;*;16;54.25;4;8.75;3;-1.25;8.5
-;6;18.5;Reimann Marco;;5;57.0;6;18.5;0;0.0;8.75
o;9;27.25;Walther Reto (2003);;10;55.75;8;27.5;-1;0.25;8.75
+;12;36.0;Regenass Reto;;23;52.5;15;35.25;3;-0.75;9.75
o;12;45.75;Widmer David;**;11;55.5;13;45.5;1;-0.25;8.5

16c;Abt Robin;;;;;;;;;;54.25
+;;;Reinhard Reto;;;;;;;;9.75
o;2;9.75;Reinhard Pirmin;;15;54.5;2;9.75;0;0.0;8.5
o;7;18.25;Schwegler Dominik;;12;55.25;7;18.25;0;0.0;8.5
+;11;26.75;Reinhard Roman (2005);;26;35.5;10;27.0;-1;0.25;10.0
o;9;36.75;Schmutz Adrian;*;12;55.25;9;36.75;0;0.0;8.5
-;14;45.25;Burren Dominik (2003);;18;53.75;16;44.75;2;-0.5;9.0

16d;Fricker Ivo;;;;;;;;;;54.25
+;;;Nussbaumer Gabriel;;;;;;;;9.75
o;2;9.75;Scherrer Johann;**;18;53.75;4;8.75;2;-1.0;8.5
+;7;18.25;Huser Roman;;19;53.5;10;17.25;3;-1.0;9.75
o;6;28.0;Stoll Simon;**;6;56.75;10;27.0;4;-1.0;8.5
-;10;36.5;Dobler Florian;;13;55.0;10;36.5;0;0.0;9.0
-;13;45.5;Stegmüller Klemens;*;15;54.5;12;45.75;-1;0.25;8.75

16e;Frank Marius (2004);;;;;;;;;;54.25
+;;;Burren Dominik (2003);;;;;;;;10.0
o;1;10.0;Rüegger Aaron;*;9;56.0;4;8.75;3;-1.25;8.5
o;6;18.5;Gerber Manuel;*;15;54.5;7;18.25;1;-0.25;8.5
+;10;27.0;Rickenbacher Cedric;;10;55.75;9;27.25;-1;0.25;9.75
o;9;36.75;Reinhard Adrian;*;11;55.5;8;37.0;-1;0.25;8.5
-;14;45.25;Nussbaumer Dominik;;18;53.75;16;44.75;2;-0.5;9.0

16f;Ancona Enea (2004);;;;;;;;;;54.25
+;;;Müller Simon;;;;;;;;9.75
o;2;9.75;Widmer David;**;11;55.5;5;8.5;3;-1.25;8.75
o;6;18.5;Reinhard Adrian;*;11;55.5;6;18.5;0;0.0;8.5
o;10;27.0;Reimann Marco;;5;57.0;9;27.25;-1;0.25;8.5
-;14;35.5;Vogt Fredy;;15;54.5;13;35.75;-1;0.25;8.75
+;18;44.25;Buob Mike (2005);;21;53.0;17;44.5;-1;0.25;10.0

16g;Mangold Martin;*;;;;;;;;;54.25
-;;;Scherrer Johann;**;;;;;;;8.75
+;4;8.75;Späti Jan;;16;54.25;1;10.0;-3;1.25;9.75
o;6;18.5;Stark Urban;;10;55.75;6;18.5;0;0.0;8.5
+;10;27.0;Nussbaumer Gabriel;;14;54.75;6;28.0;-4;1.0;9.75
-;9;36.75;Stalder Jonas;;11;55.5;9;36.75;0;0.0;8.75
-;13;45.5;Kohler Adrian;*;15;54.5;12;45.75;-1;0.25;8.75

17a;Küng Marco;*;;;;;;;;;54.0
o;;;Gerber Manuel;*;;;;;;;8.5
-;5;8.5;Odermatt Jonas (2004);;12;55.25;2;9.75;-3;1.25;8.75
-;10;17.25;Vogt Fredy;;15;54.5;6;18.5;-4;1.25;8.75
+;13;26.0;Brügger Joël;;10;55.75;9;27.25;-4;1.25;9.75
+;13;35.75;Caviezel Nicolas (2003);;18;53.75;10;36.5;-3;0.75;9.75
o;13;45.5;Ris Jörn;*;11;55.5;12;45.75;-1;0.25;8.5

17b;Suter Jonas (2003);;;;;;;;;;54.0
o;;;Späti Jan;;;;;;;;8.5
+;5;8.5;Halbeisen Florian (2005);;22;52.75;5;8.5;0;0.0;10.0
o;6;18.5;Brand Christian;**;10;55.75;7;18.25;1;-0.25;8.5
+;10;27.0;Wiedmer Lukas;;22;52.75;11;26.75;1;-0.25;9.75
o;9;36.75;Odermatt Jonas (2004);;12;55.25;9;36.75;0;0.0;8.75
o;13;45.5;Stüdeli Thomas;**;13;55.0;15;45.0;2;-0.5;8.5

17c;Müller Simon;;;;;;;;;;54.0
o;;;Ancona Enea (2004);;;;;;;;8.5
o;5;8.5;Nussbaumer Gabriel;;14;54.75;5;8.5;0;0.0;8.5
+;11;17.0;Halbeisen Florian (2005);;22;52.75;11;17.0;0;0.0;10.0
o;10;27.0;Stüdeli Thomas;**;13;55.0;11;26.75;1;-0.25;8.5
+;14;35.5;Spies Thierry (2003);;18;53.75;14;35.5;0;0.0;10.0
o;13;45.5;Henzer Andreas;**;11;55.5;12;45.75;-1;0.25;8.5

17d;Schärer Nico (2004);;;;;;;;;;54.0
+;;;Schmitt Sebastian;;;;;;;;10.0
+;1;10.0;Nyffenegger Florian;;18;53.75;2;9.75;1;-0.25;9.75
o;2;19.75;Hasler Luis;;14;54.75;6;18.5;4;-1.25;8.5
o;5;28.25;Odermatt Adrian;*;4;57.25;9;27.25;4;-1.0;8.5
o;9;36.75;Nussbaumer Gabriel;;14;54.75;10;36.5;1;-0.25;8.5
o;14;45.25;Brügger Joël;;10;55.75;12;45.75;-2;0.5;8.75

17e;Furter Jannis (2004);;;;;;;;;;54.0
o;;;Rickenbacher Cedric;;;;;;;;8.5
o;5;8.5;Vogt Fredy;;15;54.5;5;8.5;0;0.0;8.5
o;11;17.0;Christ Marino (2005);;14;54.75;11;17.0;0;0.0;8.5
o;15;25.5;Huser Roman;;19;53.5;13;26.0;-2;0.5;8.5
+;20;34.0;Dupraz Corentin (2004);;25;51.5;19;34.25;-1;0.25;10.0
+;19;44.0;Regenass Reto;;23;52.5;20;43.75;1;-0.25;10.0

17f;Widmer Dino;;;;;;;;;;54.0
o;;;Pirkheim Elias;;;;;;;;8.5
-;5;8.5;Burren Dominik (2003);;18;53.75;4;8.75;-1;0.25;8.75
+;10;17.25;Buob Mike (2005);;21;53.0;9;17.5;-1;0.25;9.75
o;10;27.0;Schmutz Simon;*;10;55.75;14;25.75;4;-1.25;8.5
+;14;35.5;Vogt Sandro (2004);;22;52.75;13;35.75;-1;0.25;9.75
-;14;45.25;Scherrer Johann;**;18;53.75;15;45.0;1;-0.25;8.75

18a;Scherrer Johann;**;;;;;;;;;53.75
-;;;Mangold Martin;*;;;;;;;8.75
+;4;8.75;Fricker Ivo;;16;54.25;2;9.75;-2;1.0;9.75
-;6;18.5;Reinhard Pirmin;;15;54.5;2;19.75;-4;1.25;8.75
-;9;27.25;Grob Enea (2003);;15;54.5;5;28.25;-4;1.0;9.0
-;11;36.25;Schick Janis (2003);;15;54.5;7;37.25;-4;1.0;8.75
-;15;45.0;Widmer Dino;;17;54.0;14;45.25;-1;0.25;8.75

18b;Spies Thierry (2003);;;;;;;;;;53.75
+;;;Reinhard Roman (2005);;;;;;;;9.75
o;2;9.75;Kohler Adrian;*;15;54.5;5;8.5;3;-1.25;8.5
o;7;18.25;Stalder Jonas;;11;55.5;7;18.25;0;0.0;8.5
o;11;26.75;Christ Marino (2005);;14;54.75;11;26.75;0;0.0;8.75
o;14;35.5;Müller Simon;;17;54.0;14;35.5;0;0.0;8.5
+;19;44.0;Stampfli Simon (2004);;22;52.75;18;44.25;-1;0.25;9.75

18c;Graber Bänz;;;;;;;;;;53.75
o;;;Stark Urban;;;;;;;;8.5
-;5;8.5;Kehr Damian;;15;54.5;5;8.5;0;0.0;8.75
-;10;17.25;Stampfli Simon (2004);;22;52.75;11;17.0;1;-0.25;9.0
-;12;26.25;Brugger Jonas;;22;52.75;10;27.0;-2;0.75;8.75
-;16;35.0;Huser Roman;;19;53.5;13;35.75;-3;0.75;8.75
+;20;43.75;Schmitt Sebastian;;25;51.5;21;43.0;1;-0.75;10.0

18d;Caviezel Nicolas (2003);;;;;;;;;;53.75
o;;;Nyffenegger Florian;;;;;;;;8.5
o;5;8.5;Walther Reto (2003);;10;55.75;5;8.5;0;0.0;8.5
+;11;17.0;Schmitt Sebastian;;25;51.5;11;17.0;0;0.0;9.75
+;11;26.75;Herrmann Daniel (2003);;24;51.75;14;25.75;3;-1.0;9.75
o;10;36.5;Küng Marco;*;17;54.0;13;35.75;3;-0.75;8.75
o;14;45.25;Järmann Florian;;12;55.25;14;45.25;0;0.0;8.5

18e;Thommen Nick;;;;;;;;;;53.75
+;;;Studer Louis (2004);;;;;;;;9.75
o;2;9.75;Grob Enea (2003);;15;54.5;1;10.0;-1;0.25;8.5
o;7;18.25;Järmann Florian;;12;55.25;7;18.25;0;0.0;8.5
o;11;26.75;Hengartner Tobias (2003);;16;54.25;11;26.75;0;0.0;8.5
o;15;35.25;Burren Dominik (2003);;18;53.75;17;34.75;2;-0.5;8.5
+;20;43.75;Vogt Sandro (2004);;22;52.75;18;44.25;-2;0.5;10.0

18f;Nyffenegger Florian;;;;;;;;;;53.75
+;;;Caviezel Nicolas (2003);;;;;;;;9.75
o;2;9.75;Schärer Nico (2004);;17;54.0;1;10.0;-1;0.25;8.5
+;7;18.25;Wiedmer Lukas;;22;52.75;7;18.25;0;0.0;9.75
o;6;28.0;Hermann Oliver;**;5;57.0;8;27.5;2;-0.5;8.5
o;10;36.5;Schwegler Dominik;;12;55.25;10;36.5;0;0.0;8.5
o;15;45.0;Stalder Jonas;;11;55.5;13;45.5;-2;0.5;8.75

18g;Benecke Nicholas;;;;;;;;;;53.75
o;;;Streich Sascha;;;;;;;;8.5
+;5;8.5;Wohlgemuth Corsin (2003);;28;26.0;5;8.5;0;0.0;10.0
o;6;18.5;Odermatt Adrian;*;4;57.25;10;17.25;4;-1.25;8.5
+;10;27.0;Regenass Reto;;23;52.5;11;26.75;1;-0.25;9.75
o;9;36.75;Probst Gabriel;**;11;55.5;8;37.0;-1;0.25;8.5
o;14;45.25;Dobler Florian;;13;55.0;15;45.0;1;-0.25;8.5

18h;Buchmann Moritz (2005);;;;;;;;;;53.75
+;;;Dupraz Corentin (2004);;;;;;;;10.0
+;1;10.0;Hengartner Tobias (2003);;16;54.25;2;9.75;1;-0.25;9.75
o;2;19.75;Kohler Adrian;*;15;54.5;6;18.5;4;-1.25;8.5
o;5;28.25;Lisser Daniel;*;10;55.75;9;27.25;4;-1.0;8.5
o;9;36.75;Streich Sascha;;10;55.75;7;37.25;-2;0.5;8.5
o;14;45.25;Rickenbacher Cedric;;10;55.75;12;45.75;-2;0.5;8.5

18i;Burren Dominik (2003);;;;;;;;;;53.75
o;;;Frank Marius (2004);;;;;;;;8.75
-;4;8.75;Widmer Dino;;17;54.0;5;8.5;1;-0.25;8.75
-;9;17.5;Nussbaumer Dominik;;18;53.75;10;17.25;1;-0.25;8.75
o;12;26.25;Schmutz Simon;*;10;55.75;14;25.75;2;-0.5;8.5
+;17;34.75;Thommen Nick;;18;53.75;15;35.25;-2;0.5;10.0
-;16;44.75;Abt Robin;;16;54.25;14;45.25;-2;0.5;9.0

18j;Nussbaumer Dominik;;;;;;;;;;53.75
o;;;Hengartner Tobias (2003);;;;;;;;8.75
o;4;8.75;Stegmüller Klemens;*;15;54.5;4;8.75;0;0.0;8.5
-;10;17.25;Burren Dominik (2003);;18;53.75;9;17.5;-1;0.25;8.75
-;13;26.0;Hermann Lukas;;15;54.5;13;26.0;0;0.0;8.75
+;17;34.75;Brugger Jonas;;22;52.75;13;35.75;-4;1.0;10.0
-;16;44.75;Frank Marius (2004);;16;54.25;14;45.25;-2;0.5;9.0

19a;Huser Roman;;;;;;;;;;53.5
o;;;Reimann Marco;;;;;;;;8.5
-;5;8.5;Hermann Lukas;;15;54.5;4;8.75;-1;0.25;8.75
o;10;17.25;Fricker Ivo;;16;54.25;7;18.25;-3;1.0;8.75
+;13;26.0;Furter Jannis (2004);;17;54.0;15;25.5;2;-0.5;9.75
-;13;35.75;Graber Bänz;;18;53.75;16;35.0;3;-0.75;8.75
-;17;44.5;Salzmann Simon;*;20;53.25;18;44.25;1;-0.25;9.0

20a;Salzmann Simon;*;;;;;;;;;53.25
o;;;Brun Samuel;**;;;;;;;8.75
+;4;8.75;Dobler Florian;;13;55.0;1;10.0;-3;1.25;9.75
o;6;18.5;Widmer David;**;11;55.5;7;18.25;1;-0.25;8.5
o;10;27.0;Christ Dario (2003);;7;56.5;5;28.25;-5;1.25;8.5
o;14;35.5;Kehr Damian;;15;54.5;11;36.25;-3;0.75;8.75
-;18;44.25;Huser Roman;;19;53.5;17;44.5;-1;0.25;9.0

21a;Buob Mike (2005);;;;;;;;;;53.0
-;;;Herrmann Daniel (2003);;;;;;;;9.0
o;3;9.0;Vogt Sandro (2004);;22;52.75;4;8.75;1;-0.25;8.5
o;9;17.5;Widmer Dino;;17;54.0;10;17.25;1;-0.25;8.5
+;13;26.0;Studer Louis (2004);;24;51.75;15;25.5;2;-0.5;10.0
o;12;36.0;Stegmüller Klemens;*;15;54.5;13;35.75;1;-0.25;8.5
o;17;44.5;Ancona Enea (2004);;16;54.25;18;44.25;1;-0.25;8.5

22a;Wiedmer Lukas;;;;;;;;;;52.75
o;;;Stalder Jonas;;;;;;;;8.5
+;5;8.5;Studer Louis (2004);;24;51.75;5;8.5;0;0.0;9.75
o;7;18.25;Nyffenegger Florian;;18;53.75;7;18.25;0;0.0;8.5
o;11;26.75;Suter Jonas (2003);;17;54.0;10;27.0;-1;0.25;8.75
-;14;35.5;Nussbaumer Joschua (2003);;22;52.75;14;35.5;0;0.0;8.75
o;18;44.25;Vogt Fredy;;15;54.5;17;44.5;-1;0.25;8.5

22b;Nussbaumer Joschua (2003);;;;;;;;;;52.75
o;;;Regenass Reto;;;;;;;;8.5
+;5;8.5;Schmitt Sebastian;;25;51.5;5;8.5;0;0.0;10.0
o;6;18.5;Vogel Remo;*;11;55.5;7;18.25;1;-0.25;8.5
o;10;27.0;Joho Philip;*;9;56.0;12;26.25;2;-0.75;8.5
-;14;35.5;Wiedmer Lukas;;22;52.75;14;35.5;0;0.0;8.75
o;18;44.25;Hermann Lukas;;15;54.5;17;44.5;-1;0.25;8.5

22c;Halbeisen Florian (2005);;;;;;;;;;52.75
o;;;Meyer Markus;;;;;;;;8.5
o;5;8.5;Suter Jonas (2003);;17;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Müller Simon;;17;54.0;11;17.0;0;0.0;8.5
+;15;25.5;Schmitt Sebastian;;25;51.5;15;25.5;0;0.0;10.0
o;14;35.5;Brügger Joël;;10;55.75;13;35.75;-1;0.25;8.5
-;19;44.0;Dupraz Corentin (2004);;25;51.5;22;42.75;3;-1.25;8.75

22d;Stampfli Simon (2004);;;;;;;;;;52.75
o;;;Burkhardt Roy;;;;;;;;8.5
o;5;8.5;Brugger Jonas;;22;52.75;5;8.5;0;0.0;8.5
-;11;17.0;Graber Bänz;;18;53.75;10;17.25;-1;0.25;9.0
+;13;26.0;Dupraz Corentin (2004);;25;51.5;14;25.75;1;-0.25;9.75
o;13;35.75;Rickenbacher Cedric;;10;55.75;13;35.75;0;0.0;8.5
o;18;44.25;Spies Thierry (2003);;18;53.75;19;44.0;1;-0.25;8.5

22e;Brugger Jonas;;;;;;;;;;52.75
o;;;Büttler Gian;;;;;;;;8.5
+;5;8.5;Stampfli Simon (2004);;22;52.75;5;8.5;0;0.0;10.0
o;6;18.5;Lisser Daniel;*;10;55.75;10;17.25;4;-1.25;8.5
-;10;27.0;Graber Bänz;;18;53.75;12;26.25;2;-0.75;8.75
o;13;35.75;Nussbaumer Dominik;;18;53.75;17;34.75;4;-1.0;8.5
o;18;44.25;Christ Marino (2005);;14;54.75;15;45.0;-3;0.75;8.5

22f;Vogt Sandro (2004);;;;;;;;;;52.75
-;;;Hermann Lukas;;;;;;;;8.75
+;4;8.75;Buob Mike (2005);;21;53.0;3;9.0;-1;0.25;9.75
o;6;18.5;Henzer Andreas;**;11;55.5;7;18.25;1;-0.25;8.5
o;10;27.0;Schick Janis (2003);;15;54.5;9;27.25;-1;0.25;8.75
o;13;35.75;Widmer Dino;;17;54.0;14;35.5;1;-0.25;8.5
o;18;44.25;Thommen Nick;;18;53.75;20;43.75;2;-0.5;8.5

23a;Regenass Reto;;;;;;;;;;52.5
+;;;Nussbaumer Joschua (2003);;;;;;;;9.75
o;2;9.75;Schmutz Adrian;*;12;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Reinhard Reto;;12;55.25;7;18.25;0;0.0;8.5
o;11;26.75;Benecke Nicholas;;18;53.75;10;27.0;-1;0.25;8.5
o;15;35.25;Späti Jan;;16;54.25;12;36.0;-3;0.75;8.5
o;20;43.75;Furter Jannis (2004);;17;54.0;19;44.0;-1;0.25;8.75

24a;Studer Louis (2004);;;;;;;;;;51.75
o;;;Thommen Nick;;;;;;;;8.5
o;5;8.5;Wiedmer Lukas;;22;52.75;5;8.5;0;0.0;8.5
o;11;17.0;Kehr Damian;;15;54.5;9;17.5;-2;0.5;8.5
o;15;25.5;Buob Mike (2005);;21;53.0;13;26.0;-2;0.5;8.5
-;20;34.0;Schmitt Sebastian;;25;51.5;20;34.0;0;0.0;9.0
-;21;43.0;Herrmann Daniel (2003);;24;51.75;21;43.0;0;0.0;8.75

24b;Herrmann Daniel (2003);;;;;;;;;;51.75
-;;;Buob Mike (2005);;;;;;;;8.75
o;4;8.75;Reinhard Roman (2005);;26;35.5;5;8.5;1;-0.25;8.5
o;10;17.25;Bachmann Sämi;;14;54.75;9;17.5;-1;0.25;8.5
o;14;25.75;Caviezel Nicolas (2003);;18;53.75;11;26.75;-3;1.0;8.75
o;18;34.5;Hermann Lukas;;15;54.5;17;34.75;-1;0.25;8.5
-;21;43.0;Studer Louis (2004);;24;51.75;21;43.0;0;0.0;8.75

25a;Dupraz Corentin (2004);;;;;;;;;;51.5
o;;;Buchmann Moritz (2005);;;;;;;;8.5
o;5;8.5;Järmann Florian;;12;55.25;5;8.5;0;0.0;8.5
-;11;17.0;Wohlgemuth Corsin (2003);;28;26.0;11;17.0;0;0.0;8.75
o;14;25.75;Stampfli Simon (2004);;22;52.75;13;26.0;-1;0.25;8.5
o;19;34.25;Furter Jannis (2004);;17;54.0;20;34.0;1;-0.25;8.5
-;22;42.75;Halbeisen Florian (2005);;22;52.75;19;44.0;-3;1.25;8.75

25b;Schmitt Sebastian;;;;;;;;;;51.5
o;;;Schärer Nico (2004);;;;;;;;8.5
o;5;8.5;Nussbaumer Joschua (2003);;22;52.75;5;8.5;0;0.0;8.5
o;11;17.0;Caviezel Nicolas (2003);;18;53.75;11;17.0;0;0.0;8.5
o;15;25.5;Halbeisen Florian (2005);;22;52.75;15;25.5;0;0.0;8.5
-;20;34.0;Studer Louis (2004);;24;51.75;20;34.0;0;0.0;9.0
o;21;43.0;Graber Bänz;;18;53.75;20;43.75;-1;0.75;8.5

26a;Reinhard Roman (2005);;;;;;;;;;35.5
o;;;Spies Thierry (2003);;;;;;;;8.5
+;5;8.5;Herrmann Daniel (2003);;24;51.75;4;8.75;-1;0.25;10.0
o;6;18.5;Stoll Simon;**;6;56.75;10;17.25;4;-1.25;8.5
o;10;27.0;Abt Robin;;16;54.25;11;26.75;1;-0.25;8.5

27a;Meyer Markus;;;;;;;;;;27.0
+;;;Halbeisen Florian (2005);;;;;;;;10.0
o;1;10.0;Bader Fabian;*;8;56.25;3;9.0;2;-1.0;8.5
o;6;18.5;Erb Roger;**;11;55.5;7;18.25;1;-0.25;8.5

28a;Wohlgemuth Corsin (2003);;;;;;;;;;26.0
o;;;Reinhard Pirmin;;;;;;;;8.5
o;5;8.5;Benecke Nicholas;;18;53.75;5;8.5;0;0.0;8.5
-;11;17.0;Dupraz Corentin (2004);;25;51.5;11;17.0;0;0.0;9.0

