3578-2016-04-24_97_Zuger_Kantonal_Schwingfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
-;5;8.75;Rogenmoser Ryan (1999);;22;52.75;5;8.75;0;0.0;8.75
o;11;17.5;Hürlimann Mathias (2000);;21;53.0;11;17.5;0;0.0;8.5
o;15;26.0;Meier Daniel (2000);;24;35.5;16;25.75;1;-0.25;8.5

29a;Schmid Pirmin (2000);;;;;;;;;;34.25
-;;;Brunner Timon (1998);;;;;;;;8.75
o;5;8.75;Cotting Ivo (1999);;25;35.25;6;8.5;1;-0.25;8.5
o;12;17.25;Schuler Thomas;;20;53.25;12;17.25;0;0.0;8.5
o;16;25.75;Beffa Mario;;14;54.75;15;26.0;-1;0.25;8.5

29b;Weber Manuel (1999);;;;;;;;;;34.25
-;;;Bär Leo;;;;;;;;8.75
o;5;8.75;Hillebrandt Patrick;;24;35.5;6;8.5;1;-0.25;8.5
o;12;17.25;Bircher Vital;*;10;55.75;13;17.0;1;-0.25;8.5
o;16;25.75;Müller Dominik;;16;54.25;16;25.75;0;0.0;8.5

30a;Meier Andreas;;;;;;;;;;34.0
o;;;Kessler Joel;;;;;;;;8.5
o;6;8.5;Tschan Matthias;;21;53.0;6;8.5;0;0.0;8.5
o;13;17.0;Heinzer Ronny;;10;55.75;13;17.0;0;0.0;8.5
o;17;25.5;Bürgi Tobias;;16;54.25;15;26.0;-2;0.5;8.5

30b;Blattmann Jonas (1999);;;;;;;;;;34.0
o;;;Gwerder Marco;;;;;;;;8.5
o;6;8.5;Hegner Ueli (1999);;16;54.25;6;8.5;0;0.0;8.5
o;13;17.0;Schuler Koni;;25;35.25;13;17.0;0;0.0;8.5
o;17;25.5;Bingisser Roman;;17;54.0;15;26.0;-2;0.5;8.5

30c;Stöckli Marcel (2000);;;;;;;;;;34.0
o;;;Gabriel Christian (2000);;;;;;;;8.5
o;6;8.5;Suter Pirmin;;21;53.0;6;8.5;0;0.0;8.5
o;13;17.0;Zimmermann Fabian;;25;35.25;13;17.0;0;0.0;8.5
o;17;25.5;Bär Leo;;20;53.25;15;26.0;-2;0.5;8.5

30d;Andermatt Elvin;;;;;;;;;;34.0
o;;;Schuler Daniel;;;;;;;;8.5
o;6;8.5;Betschart Patrick (1999);;14;54.75;6;8.5;0;0.0;8.5
o;13;17.0;Kennel Roger (1999);;25;35.25;13;17.0;0;0.0;8.5
o;17;25.5;Reichmuth Lukas (2000);;22;52.75;16;25.75;-1;0.25;8.5

30e;Dittli Alexander (2000);;;;;;;;;;34.0
o;;;Schilliger Sven (2000);;;;;;;;8.5
o;6;8.5;Stutzer Michael (1999);;24;35.5;6;8.5;0;0.0;8.5
o;13;17.0;Zimmermann Armin;;20;53.25;12;17.25;-1;0.25;8.5
o;17;25.5;Röllin Matthias (2000);;25;35.25;17;25.5;0;0.0;8.5

31a;Lengacher Jonas;**;;;;;;;;;28.5
+;;;Steinauer Adrian;**;;;;;;;9.75
+;3;9.75;Hasler Florian;**;11;55.5;2;10.0;-1;0.25;10.0
-;3;19.75;Ulrich Andreas;***;4;57.25;2;20.0;-1;0.25;8.75

32a;Imfeld Peter;***;;;;;;;;;27.0
o;;;Ulrich Andreas;***;;;;;;;8.5
+;6;8.5;Reichmuth Armin;*;7;56.5;2;10.0;-4;1.5;9.75
-;8;18.25;Schuler Daniel;;16;54.25;4;19.5;-4;1.25;8.75

33a;Keller Janik;;;;;;;;;;26.0
-;;;Neyer Sven;;;;;;;;8.75
o;5;8.75;Imfeld Beat;;21;53.0;5;8.75;0;0.0;8.5
o;12;17.25;Thierstein Marco;;15;54.5;12;17.25;0;0.0;8.75

34a;Rüttimann Reto;;;;;;;;;;8.5
o;;;Burkhalter Daniel (1999);;;;;;;;8.5

