3578-2016-04-24_97_Zuger_Kantonal_Schwingfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
10c;Heinzer Ronny;;;;;;;;;;55.75
o;;;Kempf Damian;;;;;;;;8.5
o;6;8.5;Lustenberger Josef;;25;35.25;6;8.5;0;0.0;8.5
+;13;17.0;Meier Andreas;;30;34.0;13;17.0;0;0.0;10.0
-;11;27.0;Strebel Sandro;**;25;35.25;13;26.5;2;-0.5;8.75
+;14;35.75;Rogenmoser Ryan (1999);;22;52.75;14;35.75;0;0.0;10.0
+;12;45.75;Schnider Markus;*;19;53.5;15;45.0;3;-0.75;10.0

10d;Kälin Roland;**;;;;;;;;;55.75
-;;;Herger Matthias;**;;;;;;;8.75
+;5;8.75;Strebel Sandro;**;25;35.25;4;9.0;-1;0.25;9.75
+;7;18.5;Gut Koni;;16;54.25;7;18.5;0;0.0;9.75
-;6;28.25;Nötzli Reto;***;11;55.5;8;27.75;2;-0.5;9.0
-;8;37.25;Egli David;*;9;56.0;8;37.25;0;0.0;8.75
+;11;46.0;Betschart Marcel;;15;54.5;11;46.0;0;0.0;9.75

10e;Andermatt Adrian;;;;;;;;;;55.75
+;;;Forster Christian;;;;;;;;10.0
+;2;10.0;Diethelm Albert;*;24;35.5;6;8.5;4;-1.5;9.75
o;3;19.75;Kälin Remo;*;12;55.25;6;18.75;3;-1.0;8.5
o;6;28.25;Bürgler Lukas;;7;56.5;7;28.0;1;-0.25;8.75
-;9;37.0;Nauer Robin;;13;55.0;11;36.5;2;-0.5;8.75
+;12;45.75;Neyer Sven;;17;54.0;13;45.5;1;-0.25;10.0

10f;Bircher Vital;*;;;;;;;;;55.75
o;;;Heinzer Stefan;*;;;;;;;8.5
o;6;8.5;Schöpfer Thomas;*;13;55.0;3;9.75;-3;1.25;8.5
+;13;17.0;Weber Manuel (1999);;29;34.25;12;17.25;-1;0.25;10.0
+;11;27.0;Zimmermann Armin;;20;53.25;10;27.25;-1;0.25;9.75
+;10;36.75;Gwerder Andreas;*;12;55.25;10;36.75;0;0.0;10.0
-;8;46.75;Schuler Alex;**;8;56.25;6;47.25;-2;0.5;9.0

10g;Wyrsch Marco;*;;;;;;;;;55.75
-;;;Schuler Alex;**;;;;;;;8.75
+;5;8.75;Gwerder Carlo;**;10;55.75;5;8.75;0;0.0;9.75
