3975-2017-07-30_124_Bruenigschwinget-ST

1a;Reusser Philipp;***;;;;;;;;;57.25
-;6;47.0;Ulrich Andreas;***;7;55.75;6;47.0;0;0.0;8.75

7c;Steinauer Adrian;**;;;;;;;;;55.75
-;;;Roschi Ruedi;**;;;;;;;8.75
+;4;8.75;Kämpf Alexander;**;17;53.25;4;8.75;0;0.0;10.0
+;4;18.75;Schenk Patrick;***;12;54.5;5;18.5;1;-0.25;10.0
o;3;28.75;Anderegg Simon;***;5;56.25;3;28.75;0;0.0;8.5
+;6;37.25;Weyermann Florian;*;8;55.5;7;37.0;1;-0.25;10.0
o;5;47.25;Stucki Christian;***;1;57.25;5;47.25;0;0.0;8.5

7d;Schuler Philipp;**;;;;;;;;;55.75
-;;;Orlik Curdin;**;;;;;;;8.75
+;4;8.75;Habegger Heinz;**;27;34.5;4;8.75;0;0.0;10.0
o;4;18.75;Giger Samuel;***;5;56.25;4;18.75;0;0.0;8.5
+;8;27.25;Schlüchter Colin;*;18;53.0;8;27.25;0;0.0;10.0
o;6;37.25;Orlik Armon;***;3;56.75;7;37.0;1;-0.25;8.5
+;11;45.75;Steffen Valentin;*;13;54.25;11;45.75;0;0.0;10.0

7e;Ulrich Andreas;***;;;;;;;;;55.75
-;;;Krähenbühl Tobias;***;;;;;;;8.75
-;4;8.75;Steffen Gustav;*;9;55.25;2;9.75;-2;1.0;8.75
+;9;17.5;Ramseier Thomas;*;14;54.0;5;18.5;-4;1.0;9.75
+;8;27.25;Roth Martin;*;11;54.75;7;27.5;-1;0.25;10.0
+;6;37.25;Staudenmann Fabian (2000);*;6;56.0;2;38.5;-4;1.25;9.75
-;6;47.0;Bösch Daniel;***;7;55.75;6;47.0;0;0.0;8.75

7f;Waser Dominik;**;;;;;;;;;55.75
-;;;Roth Dominik;**;;;;;;;8.75
+;4;8.75;Pulfer Thomas;*;27;34.5;4;8.75;0;0.0;10.0
o;4;18.75;Stucki Christian;***;1;57.25;5;18.5;1;-0.25;8.5
+;8;27.25;Iseli Marco;**;13;54.25;8;27.25;0;0.0;10.0
o;6;37.25;Bösch Daniel;***;7;55.75;7;37.0;1;-0.25;8.5
+;11;45.75;Rolli Martin;**;13;54.25;11;45.75;0;0.0;10.0

8a;Weyermann Florian;*;;;;;;;;;55.5
+;;;Dober Adrian;**;;;;;;;9.75
+;2;9.75;Fankhauser Erich;***;11;54.75;4;8.75;2;-1.0;10.0
o;2;19.75;Bieri Marcel;**;5;56.25;5;18.5;3;-1.25;8.5
-;5;28.25;Kid Simon;**;12;54.5;5;28.25;0;0.0;8.75
o;7;37.0;Steinauer Adrian;**;7;55.75;6;37.25;-1;0.25;8.5
+;12;45.5;Hasler Florian;**;14;54.0;12;45.5;0;0.0;10.0

8b;Wüthrich Niklaus;**;;;;;;;;;55.5
o;;;Gloggner Reto;**;;;;;;;8.5
+;5;8.5;Linggi Bruno;**;18;53.0;4;8.75;-1;0.25;9.75
o;6;18.25;Fankhauser Erich;***;11;54.75;10;17.25;4;-1.0;8.5
-;10;26.75;Binggeli Stefan;*;18;53.0;9;27.0;-1;0.25;8.75
+;13;35.5;Ettlin Stefan;*;17;53.25;10;36.25;-3;0.75;10.0
+;12;45.5;Suppiger René;***;14;54.0;12;45.5;0;0.0;10.0

8c;Burkhalter Stefan;***;;;;;;;;;55.5
o;;;Kämpf Bernhard;***;;;;;;;8.5
-;5;8.5;Sommer Roman;*;10;55.0;2;9.75;-3;1.25;8.75
+;10;17.25;Bernhard Lukas;*;9;55.25;5;18.5;-5;1.25;9.75
+;9;27.0;Müller Michael;**;23;35.75;8;27.25;-1;0.25;10.0
o;7;37.0;Schurtenberger Sven;***;3;56.75;7;37.0;0;0.0;8.5
+;12;45.5;Roth Dominik;**;14;54.0;12;45.5;0;0.0;10.0

8d;Nötzli Reto;***;;;;;;;;;55.5
+;;;Zenger Niklaus;***;;;;;;;10.0
o;1;10.0;Aeschbacher Matthias;**;2;57.0;2;9.75;1;-0.25;8.5
+;5;18.5;Koch Thomas;*;15;53.75;5;18.5;0;0.0;10.0
-;4;28.5;Leuppi Samir;**;12;54.5;5;28.25;1;-0.25;8.75
+;6;37.25;Roschi Ruedi;**;10;55.0;9;36.5;3;-0.75;9.75
o;6;47.0;Reusser Philipp;***;1;57.25;5;47.25;-1;0.25;8.5

9a;Bernhard Lukas;*;;;;;;;;;55.25
o;;;Steffen Gustav;*;;;;;;;8.5
+;5;8.5;Gnägi Christian;*;27;34.5;4;8.75;-1;0.25;10.0
o;5;18.5;Burkhalter Stefan;***;8;55.5;10;17.25;5;-1.25;8.5
+;9;27.0;Scheuner Michael;*;17;53.25;9;27.0;0;0.0;9.75
o;8;36.75;Notz Beni;***;9;55.25;12;35.75;4;-1.0;8.5
+;13;45.25;Aellen Florian;*;13;54.25;12;45.5;-1;0.25;10.0

9b;Notz Beni;***;;;;;;;;;55.25
-;;;Arnold Stefan;**;;;;;;;8.75
o;4;8.75;Egli Pirmin;**;7;55.75;2;9.75;-2;1.0;8.5
+;10;17.25;Klossner Adrian;*;22;44.0;5;18.5;-5;1.25;10.0
o;8;27.25;Fankhauser Marco;**;5;56.25;6;28.0;-2;0.75;8.5
+;12;35.75;Gobeli Patrick;*;14;54.0;13;35.5;1;-0.25;9.75
+;12;45.5;Bernhard Lukas;*;9;55.25;13;45.25;1;-0.25;9.75

9c;Steffen Gustav;*;;;;;;;;;55.25
+;;;Bernhard Lukas;*;;;;;;;9.75
