5235-2021-08-22_Fete_Cantonale_Fribourgeoise-ST

1a;Schuler Christian;***;;;;;;;;;58.75
-;7;47.0;Wieland Janis;*;8;56.0;7;47.0;0;0.0;9.0

8c;Ducry Antoine;**;;;;;;;;;56.0
-;;;Lagler Christian;*;;;;;;;8.75
-;5;8.75;Kramer Dorian;**;10;55.5;5;8.75;0;0.0;8.75
+;8;17.5;Heiniger Mickaël;;16;54.0;5;18.5;-3;1.0;10.0
+;8;27.5;Grossenbacher Marc;;11;55.25;9;27.25;1;-0.25;9.75
-;8;37.25;Haenni Stéphane;**;9;55.75;9;37.0;1;-0.25;8.75
+;11;46.0;Fallegger Riccardo (2003);;15;54.25;12;45.75;1;-0.25;10.0

8d;Wieland Janis;*;;;;;;;;;56.0
o;;;Colò Kilian;**;;;;;;;8.5
+;6;8.5;Monney Branighan;;16;54.0;2;9.75;-4;1.25;10.0
+;5;18.5;Gueissaz Léonard (2003);;15;54.25;4;18.75;-1;0.25;10.0
+;4;28.5;Kälin Roland;**;7;56.25;7;27.75;3;-0.75;10.0
o;3;38.5;Schuler Christian;***;1;58.75;2;38.75;-1;0.25;8.5
-;7;47.0;Bapst Ludovic;;8;56.0;7;47.0;0;0.0;9.0

8e;Egger Benoît;;;;;;;;;;56.0
+;;;Rogivue Théo (2003);;;;;;;;10.0
o;1;10.0;Mollet Ivan;**;9;55.75;5;8.75;4;-1.25;8.5
o;5;18.5;Balimann Sandro;*;10;55.5;5;18.5;0;0.0;8.5
-;10;27.0;Heiniger Mickaël;;16;54.0;10;27.0;0;0.0;9.0
+;13;36.0;Crettaz Julien;;21;52.5;16;35.25;3;-0.75;10.0
+;11;46.0;Vonlanthen Alexandre;;15;54.25;12;45.75;1;-0.25;10.0

9a;Mollet Ivan;**;;;;;;;;;55.75
-;;;Kramer Dorian;**;;;;;;;8.75
+;5;8.75;Egger Benoît;;8;56.0;1;10.0;-4;1.25;9.75
+;5;18.5;Monney Branighan;;16;54.0;6;18.25;1;-0.25;10.0
o;4;28.5;Gapany Benjamin;***;2;58.0;2;29.75;-2;1.25;8.5
+;9;37.0;Zbinden Lukas (2003);;16;54.0;9;37.0;0;0.0;9.75
-;8;46.75;Hess Michael;*;8;56.0;7;47.0;-1;0.25;9.0

9b;Piemontesi Pascal;**;;;;;;;;;55.75
-;;;Balimann Sandro;*;;;;;;;8.75
+;5;8.75;Emonet Frédéric;**;5;56.75;2;9.75;-3;1.0;10.0
+;4;18.75;Berset Cyril;*;10;55.5;5;18.5;1;-0.25;9.75
+;4;28.5;Schläfli Hugo;;11;55.25;4;28.5;0;0.0;10.0
-;3;38.5;Kramer Lario;***;3;57.25;3;38.5;0;0.0;8.75
o;6;47.25;Collaud Romain;**;1;58.75;2;48.75;-4;1.5;8.5

9c;Lagler Christian;*;;;;;;;;;55.75
-;;;Ducry Antoine;**;;;;;;;8.75
-;5;8.75;Sturny Nicolas;;7;56.25;2;9.75;-3;1.0;8.75
