5297-2022-05-08_Basellandschaftliches_Kantonalschwingfest-ST

1a;Döbeli Andreas;***;;;;;;;;;58.5
o;4;8.75;Späti Jan;;8;56.0;4;8.75;0;0.0;8.5
o;9;17.25;Caviezel Nicolas;;12;55.0;7;18.25;-2;1.0;8.5
-;12;25.75;Studer Louis (2004);;14;54.5;9;26.75;-3;1.0;9.0

27c;Brugger Jonas;;;;;;;;;;34.75
-;;;Späti Jan;;;;;;;;8.75
-;4;8.75;Huser Roman;;18;53.5;4;8.75;0;0.0;8.75
-;8;17.5;Burkhardt Roy;;27;34.75;8;17.5;0;0.0;8.75
o;10;26.25;Nussbaumer Gabriel;;16;54.0;8;27.0;-2;0.75;8.5

27d;Béguelin Elias (2006);;;;;;;;;;34.75
o;;;Reinhard Pirmin;;;;;;;;8.5
o;5;8.5;Müller Simon;;10;55.5;4;8.75;-1;0.25;8.75
-;9;17.25;Richardson Patrick;;20;53.0;9;17.25;0;0.0;8.75
o;11;26.0;Fritz Andreas;;19;53.25;11;26.0;0;0.0;8.75

27e;Widmer Dino;;;;;;;;;;34.75
-;;;Müller Simon;;;;;;;;8.75
-;4;8.75;Eisenring Damian (2006);;32;17.25;5;8.5;1;-0.25;8.75
-;8;17.5;Hermann Lukas;;14;54.5;7;18.25;-1;0.75;8.75
o;10;26.25;Wüthrich Jonas;;18;53.5;9;26.75;-1;0.5;8.5

28a;Regenass Reto;;;;;;;;;;34.5
o;;;Böni Ralf (2004);;;;;;;;8.5
-;5;8.5;Anderegg Michael (2006);;20;53.0;5;8.5;0;0.0;8.75
o;9;17.25;Ledermann Patrik;;13;54.75;9;17.25;0;0.0;8.5
-;12;25.75;Wohlgemuth Corsin;;29;34.25;13;25.5;1;-0.25;8.75

29a;Wohlgemuth Corsin;;;;;;;;;;34.25
o;;;Kehr Damian;;;;;;;;8.5
o;5;8.5;Schreiber Raphael (2004);;24;35.75;4;8.75;-1;0.25;8.5
o;10;17.0;Nussbaumer Gabriel;;16;54.0;9;17.25;-1;0.25;8.5
-;13;25.5;Regenass Reto;;28;34.5;12;25.75;-1;0.25;8.75

29b;Gehrig Nils (2006);;;;;;;;;;34.25
-;;;Herrmann Daniel;;;;;;;;8.75
o;4;8.75;Nussbaumer Dominik;;15;54.25;4;8.75;0;0.0;8.5
o;9;17.25;Bieli Andreas;;14;54.5;9;17.25;0;0.0;8.5
o;12;25.75;Richardson Patrick;;20;53.0;11;26.0;-1;0.25;8.5

30a;Yeschiltepe Turgut (2006);;;;;;;;;;34.0
o;;;Furter Jannis (2004);;;;;;;;8.5
o;5;8.5;Hohler Janis (2005);;21;52.75;5;8.5;0;0.0;8.5
o;10;17.0;Allenbach Patrick;;26;35.25;10;17.0;0;0.0;8.5
o;13;25.5;Jüngling Pascal (2006);;25;35.5;13;25.5;0;0.0;8.5

30b;Brunner Lukas (2006);;;;;;;;;;34.0
o;;;Stocker Niklas (2005);;;;;;;;8.5
o;5;8.5;Christ Marino (2005);;14;54.5;5;8.5;0;0.0;8.5
o;10;17.0;Jehle Aaron (2005);;19;53.25;10;17.0;0;0.0;8.5
o;13;25.5;Nyffenegger Florian;;26;35.25;13;25.5;0;0.0;8.5

30c;Rickenbacher Remo (2006);;;;;;;;;;34.0
o;;;Schärer Nico (2004);;;;;;;;8.5
o;5;8.5;Caviezel Nicolas;;12;55.0;5;8.5;0;0.0;8.5
o;10;17.0;Anderegg Michael (2006);;20;53.0;9;17.25;-1;0.25;8.5
o;13;25.5;Birrer Samuel (2006);;25;35.5;13;25.5;0;0.0;8.5

31a;Schmutz Simon;*;;;;;;;;;27.0
o;;;Schmid Samuel;**;;;;;;;8.75
+;4;8.75;Graf Gian;;11;55.25;1;10.0;-3;1.25;9.75
o;6;18.5;Roth Jan (2004);;4;57.0;2;19.75;-4;1.25;8.5

32a;Eisenring Damian (2006);;;;;;;;;;17.25
o;;;Antenen Remo (2004);;;;;;;;8.5
-;5;8.5;Widmer Dino;;27;34.75;4;8.75;-1;0.25;8.75

33a;Wiedmer Lukas;;;;;;;;;;8.5
o;;;Strebel Dominic (2005);;;;;;;;8.5

