4718-2021-08-08_Zuercher_Kantonalschwingfest2-ST

1a;Schmid Dominik;**;;;;;;;;;109.25
+;;;Stadelmann Lukas (2004);;;;;;;;10.0
-;2;10.0;Ulrich Damian;;19;54.0;3;9.75;1;-0.25;8.75
o;6;18.75;Castelli Fabio;*;15;55.0;7;18.5;1;-0.25;8.5
+;11;27.25;Düring Dominik (2003);;19;54.0;12;27.0;1;-0.25;10.0
o;9;37.25;Krähenbühl Lukas;*;9;56.5;11;36.75;2;-0.5;8.5
+;14;45.75;Stadelmann Valentin;;20;53.75;16;45.25;2;-0.5;10.0

12j;Hobi Ignaz;*;;;;;;;;;55.75
o;;;Oettli Silvio;*;;;;;;;8.75
+;5;8.75;Götti Samuel;;12;55.75;2;10.0;-3;1.25;10.0
o;6;18.75;Dörig Erich;*;14;55.25;7;18.5;1;-0.25;8.5
-;11;27.25;Schwyn Patrick;;13;55.5;7;28.25;-4;1.0;8.75
+;14;36.0;Ulrich Damian;;19;54.0;10;37.0;-4;1.0;10.0
+;13;46.0;Lengacher Gian (2003);;18;54.25;15;45.5;2;-0.5;9.75

12k;Wettstein Daniel;*;;;;;;;;;55.75
-;;;Lenherr Cédric (2003);*;;;;;;;8.75
+;5;8.75;Ziegler Andreas;;11;56.0;3;9.75;-2;1.0;9.75
+;7;18.5;Forrer Marco (2003);;19;54.0;7;18.5;0;0.0;10.0
+;6;28.5;Battaglia Ursin;**;13;55.5;12;27.0;6;-1.5;9.75
o;5;38.25;Hegner Ueli;*;3;58.0;5;38.25;0;0.0;8.5
-;10;46.75;Schwyn Adrian;*;11;56.0;9;47.0;-1;0.25;9.0

12l;Schläpfer Matthias;*;;;;;;;;;55.75
-;;;Signer Andy (2003);*;;;;;;;8.75
+;5;8.75;Kühne Cyrill (2004);;14;55.25;3;9.75;-2;1.0;9.75
+;7;18.5;Mettler Valentin;*;15;55.0;7;18.5;0;0.0;10.0
-;6;28.5;Elmer Adrian;*;12;55.75;6;28.5;0;0.0;8.75
+;9;37.25;Tschudi Mario;;18;54.25;10;37.0;1;-0.25;10.0
o;8;47.25;Kindlimann Fabian;***;5;57.5;7;47.5;-1;0.25;8.5

13a;Kammermann Dominik;;;;;;;;;;55.5
+;;;Forrer Marco (2003);;;;;;;;10.0
+;2;10.0;Fausch Kjetil;*;14;55.25;3;9.75;1;-0.25;9.75
o;3;19.75;Schnurrenberger Roman;**;6;57.25;5;19.0;2;-0.75;8.5
+;7;28.25;Niederer Andreas;;16;54.75;10;27.5;3;-0.75;10.0
o;5;38.25;Kessler Joel;*;11;56.0;9;37.25;4;-1.0;8.75
o;9;47.0;Wild Thomas;;8;56.75;10;46.75;1;-0.25;8.5

13b;Kiener Raphael;;;;;;;;;;55.5
+;;;Tremp Ruedi (2003);;;;;;;;10.0
o;2;10.0;Signer Andy (2003);*;11;56.0;5;8.75;3;-1.25;8.5
+;7;18.5;Rhyner Beni;;18;54.25;7;18.5;0;0.0;9.75
o;7;28.25;Lenherr Cédric (2003);*;13;55.5;12;27.0;5;-1.25;8.75
+;10;37.0;Ueltschi Patric;*;20;53.75;16;35.5;6;-1.5;9.75
o;10;46.75;Odermatt Michi;;9;56.5;10;46.75;0;0.0;8.75

13c;Nüesch Sandro (2005);;;;;;;;;;55.5
+;;;Eichhorn Alexander;;;;;;;;9.75
o;3;9.75;Blaser Christian;**;8;56.75;6;8.5;3;-1.25;8.5
o;8;18.25;Ziegler Andreas;;11;56.0;8;18.25;0;0.0;8.5
+;13;26.75;Sieber Marc;;14;55.25;13;26.75;0;0.0;10.0
-;11;36.75;Walser Simon (2004);;14;55.25;11;36.75;0;0.0;8.75
+;15;45.5;Waldmeier Marco (2005);;18;54.25;15;45.5;0;0.0;10.0

13d;Lenherr Cédric (2003);*;;;;;;;;;55.5
-;;;Wettstein Daniel;*;;;;;;;8.75
+;5;8.75;Fuster Arjuna (2003);;19;54.0;2;10.0;-3;1.25;9.75
o;7;18.5;Odermatt Gian Maria (2004);*;13;55.5;7;18.5;0;0.0;8.5
+;12;27.0;Kiener Raphael;;13;55.5;7;28.25;-5;1.25;10.0
+;10;37.0;Koller Fabian;*;13;55.5;10;37.0;0;0.0;10.0
o;9;47.0;Blaser Christian;**;8;56.75;9;47.0;0;0.0;8.5

13e;Schnyder Christian;;;;;;;;;;55.5
o;;;Odermatt Gian Maria (2004);*;;;;;;;8.5
+;6;8.5;Koller Andreas;;16;54.75;5;8.75;-1;0.25;10.0
o;7;18.5;Hug Jan;;14;55.25;7;18.5;0;0.0;8.5
o;12;27.0;Stähli Jan;;15;55.0;12;27.0;0;0.0;8.5
+;16;35.5;Zumstein Silvan;;24;52.75;16;35.5;0;0.0;10.0
+;15;45.5;Forrer Marco (2003);;19;54.0;15;45.5;0;0.0;10.0

13f;Peter Philipp;;;;;;;;;;55.5
o;;;Kühne Cyrill (2004);;;;;;;;8.5
+;6;8.5;Binggeli Yannick (2005);;25;52.5;6;8.5;0;0.0;10.0
+;7;18.5;Siegenthaler Joël (2003);;19;54.0;8;18.25;1;-0.25;9.75
-;7;28.25;Schlegel Reto;*;16;54.75;12;27.0;5;-1.25;8.75
o;10;37.0;Schwyn Adrian;*;11;56.0;9;37.25;-1;0.25;8.5
+;15;45.5;Rhyner Beni;;18;54.25;15;45.5;0;0.0;10.0

13g;Elmer Daniel;*;;;;;;;;;55.5
+;;;Castelli Fabio;*;;;;;;;10.0
o;2;10.0;Kindlimann Fabian;***;5;57.5;2;10.0;0;0.0;8.75
o;6;18.75;Keller Manuel;*;10;56.25;7;18.5;1;-0.25;8.5
+;11;27.25;Büchler Livio;;14;55.25;6;28.5;-5;1.25;9.75
+;10;37.0;Lengacher Gian (2003);;18;54.25;10;37.0;0;0.0;10.0
o;9;47.0;Biäsch Christian;*;7;57.0;8;47.25;-1;0.25;8.5

13h;Odermatt Gian Maria (2004);*;;;;;;;;;55.5
+;;;Schnyder Christian;;;;;;;;10.0
o;2;10.0;Vollenweider Jeremy;**;7;57.0;2;10.0;0;0.0;8.5
+;7;18.5;Lenherr Cédric (2003);*;13;55.5;7;18.5;0;0.0;9.75
+;7;28.25;Hug Jan;;14;55.25;6;28.5;-1;0.25;10.0
o;5;38.25;Lehmann Philipp;*;4;57.75;6;38.0;1;-0.25;8.5
o;10;46.75;Bürgler Patrick;*;8;56.75;9;47.0;-1;0.25;8.75

13i;Koller Fabian;*;;;;;;;;;55.5
-;;;Elmer Adrian;*;;;;;;;8.75
+;5;8.75;Schiess Christian;;14;55.25;3;9.75;-2;1.0;10.0
+;6;18.75;Lüthi Manuel (2003);*;18;54.25;7;18.5;1;-0.25;9.75
o;6;28.5;Landolt Reto;*;12;55.75;7;28.25;1;-0.25;8.5
o;10;37.0;Lenherr Cédric (2003);*;13;55.5;10;37.0;0;0.0;8.5
+;15;45.5;Zimmermann Amir;;19;54.0;15;45.5;0;0.0;10.0

13j;Battaglia Ursin;**;;;;;;;;;55.5
o;;;Vollenweider Jeremy;**;;;;;;;8.5
+;6;8.5;Gemsch Stefan;;16;54.75;3;9.75;-3;1.25;10.0
o;7;18.5;Lehmann Philipp;*;4;57.75;3;19.75;-4;1.25;8.5
o;12;27.0;Wettstein Daniel;*;12;55.75;6;28.5;-6;1.5;8.75
+;15;35.75;Wittenwiler Mathias (2003);;24;52.75;15;35.75;0;0.0;9.75
+;15;45.5;Siegenthaler Joël (2003);;19;54.0;15;45.5;0;0.0;10.0

13k;Schwyn Patrick;;;;;;;;;;55.5
+;;;Küchler Severin;;;;;;;;10.0
+;2;10.0;Vetterli Sven (2003);;20;53.75;2;10.0;0;0.0;9.75
o;3;19.75;Funk Nicola;*;5;57.5;5;19.0;2;-0.75;8.5
-;7;28.25;Hobi Ignaz;*;12;55.75;11;27.25;4;-1.0;8.75
o;10;37.0;Hug Jan;;14;55.25;10;37.0;0;0.0;8.5
+;15;45.5;Düring Dominik (2003);;19;54.0;15;45.5;0;0.0;10.0

14a;Schiess Christian;;;;;;;;;;55.25
+;;;Binggeli Yannick (2005);;;;;;;;9.75
o;3;9.75;Koller Fabian;*;13;55.5;5;8.75;2;-1.0;8.5
o;8;18.25;Müller Christian;;19;54.0;8;18.25;0;0.0;8.5
+;13;26.75;Eichhorn Alexander;;20;53.75;13;26.75;0;0.0;10.0
+;11;36.75;Stähli Jan;;15;55.0;11;36.75;0;0.0;10.0
o;10;46.75;Lehmann Philipp;*;4;57.75;5;48.0;-5;1.25;8.5

14b;Notz Armin;*;;;;;;;;;55.25
o;;;Leuppi Karim;*;;;;;;;8.5
-;6;8.5;Winzeler Simon;;12;55.75;3;9.75;-3;1.25;8.75
+;11;17.25;Stadelmann Valentin;;20;53.75;7;18.5;-4;1.25;10.0
+;11;27.25;Gemsch Stefan;;16;54.75;8;28.0;-3;0.75;9.75
+;10;37.0;Lüthi Manuel (2003);*;18;54.25;10;37.0;0;0.0;9.75
o;10;46.75;Nötzli Reto;***;8;56.75;9;47.0;-1;0.25;8.5

14c;Kühne Cyrill (2004);;;;;;;;;;55.25
+;;;Peter Philipp;;;;;;;;9.75
o;3;9.75;Schläpfer Matthias;*;12;55.75;5;8.75;2;-1.0;8.5
+;8;18.25;Zumbach Michael;;31;35.5;8;18.25;0;0.0;10.0
o;7;28.25;Graf Nicola (2003);;12;55.75;7;28.25;0;0.0;8.5
+;11;36.75;Heierli Dorian;;20;53.75;11;36.75;0;0.0;10.0
o;10;46.75;Leuppi Karim;*;7;57.0;9;47.0;-1;0.25;8.5

14d;Sieber Marc;;;;;;;;;;55.25
o;;;Hug Jan;;;;;;;;8.5
+;6;8.5;Diem Hansruedi;;15;55.0;6;8.5;0;0.0;9.75
o;8;18.25;Elmer Adrian;*;12;55.75;7;18.5;-1;0.25;8.5
o;13;26.75;Nüesch Sandro (2005);;13;55.5;13;26.75;0;0.0;8.5
+;17;35.25;Heiniger Reto (2005);;26;52.25;17;35.25;0;0.0;10.0
+;16;45.25;Wittenwiler Mathias (2003);;24;52.75;20;44.25;4;-1.0;10.0

14e;Straub Paul;;;;;;;;;;55.25
+;;;Zemp Stefan;;;;;;;;10.0
o;2;10.0;Dändliker Shane;**;10;56.25;5;8.75;3;-1.25;8.5
+;7;18.5;Faraj Daniel;;24;52.75;8;18.25;1;-0.25;10.0
o;6;28.5;Lanter Christian;*;6;57.25;10;27.5;4;-1.0;8.5
+;10;37.0;Winzeler Simon;;12;55.75;9;37.25;-1;0.25;9.75
o;10;46.75;Vollenweider Jeremy;**;7;57.0;9;47.0;-1;0.25;8.5

14f;Lacher Tobias (2005);;;;;;;;;;55.25
o;;;Frei Felix (2003);;;;;;;;8.5
o;6;8.5;Hänni Marc;;18;54.25;6;8.5;0;0.0;8.5
+;12;17.0;Zemp Stefan;;25;52.5;12;17.0;0;0.0;9.75
+;13;26.75;Arnold Lukas;;25;52.5;13;26.75;0;0.0;10.0
+;11;36.75;Magani Flurin;;20;53.75;11;36.75;0;0.0;9.75
o;11;46.5;Rüegg Patrick;;9;56.5;11;46.5;0;0.0;8.75

14g;Lusti Remo;;;;;;;;;;55.25
o;;;Sprecher Martin;;;;;;;;8.5
o;6;8.5;Forrer Marco (2003);;19;54.0;6;8.5;0;0.0;8.5
+;12;17.0;Inauen Ivo;;20;53.75;12;17.0;0;0.0;10.0
o;12;27.0;Aebli Nino;*;18;54.25;12;27.0;0;0.0;8.5
+;16;35.5;Bernhardsgrütter Stefan (2005);;26;52.25;17;35.25;1;-0.25;9.75
+;16;45.25;Tremp Ruedi (2003);;23;53.0;19;44.5;3;-0.75;10.0

14h;Walser Simon (2004);;;;;;;;;;55.25
o;;;Rüegg Patrick;;;;;;;;8.5
+;6;8.5;Zemp Stefan;;25;52.5;6;8.5;0;0.0;10.0
o;7;18.5;Krähenbühl Lukas;*;9;56.5;8;18.25;1;-0.25;8.5
+;12;27.0;Faraj Daniel;;24;52.75;13;26.75;1;-0.25;9.75
-;11;36.75;Nüesch Sandro (2005);;13;55.5;11;36.75;0;0.0;8.75
+;15;45.5;Affentranger Martin;;18;54.25;15;45.5;0;0.0;9.75

14i;Hug Jan;;;;;;;;;;55.25
+;;;Sieber Marc;;;;;;;;10.0
o;2;10.0;Leuppi Karim;*;7;57.0;3;9.75;1;-0.25;8.5
+;7;18.5;Schnyder Christian;;13;55.5;7;18.5;0;0.0;10.0
o;6;28.5;Odermatt Gian Maria (2004);*;13;55.5;7;28.25;1;-0.25;8.5
+;10;37.0;Schwyn Patrick;;13;55.5;10;37.0;0;0.0;9.75
o;10;46.75;Schuler Martin;*;7;57.0;8;47.25;-2;0.5;8.5

14j;Büchler Livio;;;;;;;;;;55.25
o;;;Keller Dominic;;;;;;;;8.5
+;6;8.5;Küchler Severin;;23;53.0;6;8.5;0;0.0;10.0
+;7;18.5;Bütler Roman (2004);;26;52.25;8;18.25;1;-0.25;10.0
o;6;28.5;Elmer Daniel;*;13;55.5;11;27.25;5;-1.25;8.5
+;10;37.0;Hänni Marc;;18;54.25;10;37.0;0;0.0;9.75
o;10;46.75;Wey Nicola;*;8;56.75;9;47.0;-1;0.25;8.5

14k;Kunz Daniel;*;;;;;;;;;55.25
o;;;Kuster Thomas;*;;;;;;;8.5
o;6;8.5;Graf Nicola (2003);;12;55.75;2;10.0;-4;1.5;8.5
+;12;17.0;Nef Tobias (2005);;19;54.0;8;18.25;-4;1.25;10.0
+;12;27.0;Freund Samuel (2004);;20;53.75;12;27.0;0;0.0;9.75
o;11;36.75;Bürgler Patrick;*;8;56.75;10;37.0;-1;0.25;8.5
+;16;45.25;Magani Flurin;;20;53.75;16;45.25;0;0.0;10.0

14l;Fausch Kjetil;*;;;;;;;;;55.25
+;;;Keller Manuel;*;;;;;;;9.75
o;3;9.75;Kammermann Dominik;;13;55.5;2;10.0;-1;0.25;8.5
+;8;18.25;Ulrich Pascal;;15;55.0;8;18.25;0;0.0;9.75
+;8;28.0;Keller Dominic;;16;54.75;8;28.0;0;0.0;10.0
o;6;38.0;Dändliker Shane;**;10;56.25;8;37.5;2;-0.5;8.5
o;11;46.5;Krähenbühl Lukas;*;9;56.5;11;46.5;0;0.0;8.75

14m;Dörig Erich;*;;;;;;;;;55.25
o;;;Lüthi Manuel (2003);*;;;;;;;8.5
+;6;8.5;Keller Dominic;;16;54.75;3;9.75;-3;1.25;10.0
+;7;18.5;Hobi Ignaz;*;12;55.75;6;18.75;-1;0.25;10.0
+;6;28.5;Vollenweider Loïc (2004);;16;54.75;6;28.5;0;0.0;9.75
o;5;38.25;Schnurrenberger Roman;**;6;57.25;8;37.5;3;-0.75;8.5
o;10;46.75;Burkhard Tobias;;7;57.0;9;47.0;-1;0.25;8.5

15a;Anliker Andri (2003);;;;;;;;;;55.0
+;;;Magani Flurin;;;;;;;;10.0
-;2;10.0;Gartmann Mauro;**;16;54.75;6;8.5;4;-1.5;9.0
-;5;19.0;Kurmann Patrick (2003);;11;56.0;7;18.5;2;-0.5;8.75
+;9;27.75;Egli Joel;;23;53.0;10;27.5;1;-0.25;10.0
o;7;37.75;Castelli Fabio;*;15;55.0;11;36.75;4;-1.0;8.5
o;12;46.25;Ziegler Andreas;;11;56.0;12;46.25;0;0.0;8.75

15b;Castelli Fabio;*;;;;;;;;;55.0
o;;;Elmer Daniel;*;;;;;;;8.5
+;6;8.5;Studerus Jan;;16;54.75;5;8.75;-1;0.25;10.0
+;7;18.5;Plüer Fabian (2003);;12;55.75;6;18.75;-1;0.25;9.75
o;7;28.25;Good Marco;*;9;56.5;7;28.25;0;0.0;8.5
+;11;36.75;Anliker Andri (2003);;15;55.0;7;37.75;-4;1.0;9.75
o;11;46.5;Arztmann Beda;**;6;57.25;8;47.25;-3;0.75;8.5

15c;Stähli Jan;;;;;;;;;;55.0
+;;;Bernhardsgrütter Stefan (2005);;;;;;;;9.75
o;3;9.75;Bürgler Patrick;*;8;56.75;6;8.5;3;-1.25;8.5
o;8;18.25;Bleiker Ueli (2004);;15;55.0;8;18.25;0;0.0;8.75
+;12;27.0;Schnyder Christian;;13;55.5;12;27.0;0;0.0;9.75
o;11;36.75;Schiess Christian;;14;55.25;11;36.75;0;0.0;8.5
+;16;45.25;Müller Christian;;19;54.0;16;45.25;0;0.0;9.75

15d;Bachmann Janos (2004);;;;;;;;;;55.0
o;;;Ulrich Damian;;;;;;;;8.5
+;6;8.5;Inauen Ivo;;20;53.75;6;8.5;0;0.0;9.75
o;8;18.25;Gosswiler Livio;*;12;55.75;12;17.0;4;-1.25;8.5
o;13;26.75;Diem Hansruedi;;15;55.0;13;26.75;0;0.0;8.5
+;17;35.25;Küchler Severin;;23;53.0;19;34.5;2;-0.75;10.0
+;16;45.25;Egli Joel;;23;53.0;19;44.5;3;-0.75;9.75

15e;Ulrich Pascal;;;;;;;;;;55.0
o;;;Bucher Roman (2003);;;;;;;;8.5
+;6;8.5;Spörndli Cyril (2003);;19;54.0;6;8.5;0;0.0;9.75
o;8;18.25;Fausch Kjetil;*;14;55.25;8;18.25;0;0.0;8.5
+;13;26.75;Zumbach Michael;;31;35.5;13;26.75;0;0.0;9.75
+;12;36.5;Schmid Dominik;;1;109.25;1;73.5;-11;37.0;10.0
o;11;46.5;Hauser Simon;;9;56.5;11;46.5;0;0.0;8.5

15f;Hochholdinger Roman;**;;;;;;;;;55.0
o;;;Kindlimann Fabian;***;;;;;;;8.5
+;6;8.5;Kuster Thomas;*;9;56.5;3;9.75;-3;1.25;10.0
+;7;18.5;Hauser Simon;;9;56.5;4;19.5;-3;1.0;9.75
o;7;28.25;Schuler Martin;*;7;57.0;5;28.75;-2;0.5;8.5
+;11;36.75;Graf Nicola (2003);;12;55.75;5;38.25;-6;1.5;9.75
o;11;46.5;Kolb This (2003);*;9;56.5;10;46.75;-1;0.25;8.5

15g;Bleiker Ueli (2004);;;;;;;;;;55.0
+;;;Arnold Lukas;;;;;;;;9.75
o;3;9.75;Keller Manuel;*;10;56.25;6;8.5;3;-1.25;8.5
+;8;18.25;Stähli Jan;;15;55.0;8;18.25;0;0.0;9.75
o;8;28.0;Reichmuth Beat;;9;56.5;7;28.25;-1;0.25;8.5
-;12;36.5;Sprecher Martin;;19;54.0;11;36.75;-1;0.25;8.75
+;16;45.25;Vetterli Sven (2003);;20;53.75;16;45.25;0;0.0;9.75
-;15;55.0;Tschudi Mario;;18;54.25;18;54.25;3;-0.75;0.0

15h;Burkhalter Stefan;***;;;;;;;;;55.0
o;;;Rychen Roger;***;;;;;;;8.5
-;6;8.5;Kessler Joel;*;11;56.0;2;10.0;-4;1.5;8.75
-;11;17.25;Signer Andy (2003);*;11;56.0;6;18.75;-5;1.5;9.0
-;14;26.25;Joos Enrico (2003);*;16;54.75;11;27.25;-3;1.0;8.75
+;18;35.0;Gartmann Mauro;**;16;54.75;13;36.25;-5;1.25;10.0
+;17;45.0;Aebli Nino;*;18;54.25;14;45.75;-3;0.75;10.0

15i;Diem Hansruedi;;;;;;;;;;55.0
o;;;Zollinger Silvan (2004);;;;;;;;8.5
o;6;8.5;Sieber Marc;;14;55.25;6;8.5;0;0.0;8.5
+;12;17.0;Binggeli Yannick (2005);;25;52.5;12;17.0;0;0.0;9.75
+;13;26.75;Bachmann Janos (2004);;15;55.0;13;26.75;0;0.0;9.75
+;12;36.5;Spörndli Cyril (2003);;19;54.0;16;35.5;4;-1.0;10.0
o;11;46.5;Galli Cedric;;10;56.25;11;46.5;0;0.0;8.5

15j;Mettler Valentin;*;;;;;;;;;55.0
+;;;Krähenbühl Lukas;*;;;;;;;10.0
o;2;10.0;Wey Nicola;*;8;56.75;2;10.0;0;0.0;8.5
o;7;18.5;Schläpfer Matthias;*;12;55.75;7;18.5;0;0.0;8.5
+;12;27.0;Hänni Marc;;18;54.25;6;28.5;-6;1.5;9.75
o;11;36.75;Reichmuth Beat;;9;56.5;6;38.0;-5;1.25;8.5
+;16;45.25;Sprecher Martin;;19;54.0;15;45.5;-1;0.25;9.75

16a;Joos Enrico (2003);*;;;;;;;;;54.75
o;;;Lehmann Philipp;*;;;;;;;8.75
o;5;8.75;Hauser Simon;;9;56.5;3;9.75;-2;1.0;8.75
+;10;17.5;Bader Sandro;;22;53.25;7;18.5;-3;1.0;9.75
-;11;27.25;Burkhalter Stefan;***;15;55.0;14;26.25;3;-1.0;8.75
o;14;36.0;Burkhard Tobias;;7;57.0;10;37.0;-4;1.0;8.75
+;18;44.75;Schmid Dominik;;1;109.25;1;92.0;-17;47.25;10.0

16b;Niederer Andreas;;;;;;;;;;54.75
+;;;Brand Roman (2003);;;;;;;;10.0
-;2;10.0;Schuler Martin;*;7;57.0;3;9.75;1;-0.25;9.0
o;5;19.0;Oettli Silvio;*;9;56.5;7;18.5;2;-0.5;8.5
o;10;27.5;Kammermann Dominik;;13;55.5;7;28.25;-3;0.75;8.5
+;14;36.0;Zollinger Silvan (2004);;18;54.25;15;35.75;1;-0.25;10.0
-;13;46.0;Nock Benjamin;*;18;54.25;15;45.5;2;-0.5;8.75

16c;Baumann Elia;;;;;;;;;;54.75
+;;;Plüer Dario (2005);;;;;;;;9.75
-;3;9.75;Schmidlin Tobias;*;11;56.0;6;8.5;3;-1.25;9.0
o;6;18.75;Lengacher Gian (2003);;18;54.25;6;18.75;0;0.0;8.75
+;10;27.5;Studerus Jan;;16;54.75;11;27.25;1;-0.25;10.0
o;8;37.5;Lanter Christian;*;6;57.25;8;37.5;0;0.0;8.75
o;12;46.25;Burkhalter Thomas (2003);*;11;56.0;13;46.0;1;-0.25;8.5

16d;Vollenweider Loïc (2004);;;;;;;;;;54.75
+;;;Widmer Patrick (2005);;;;;;;;10.0
+;2;10.0;Stadelmann Valentin;;20;53.75;2;10.0;0;0.0;10.0
o;2;20.0;Nock Benjamin;*;18;54.25;6;18.75;4;-1.25;8.5
o;6;28.5;Dörig Erich;*;14;55.25;6;28.5;0;0.0;8.5
-;10;37.0;Bucher Roman (2003);;17;54.5;10;37.0;0;0.0;8.75
-;14;45.75;Studerus Jan;;16;54.75;14;45.75;0;0.0;9.0

16e;Schlegel Reto;*;;;;;;;;;54.75
o;;;Kolb This (2003);*;;;;;;;8.5
+;6;8.5;Müller Christian;;19;54.0;3;9.75;-3;1.25;10.0
o;7;18.5;Nötzli Reto;***;8;56.75;11;17.25;4;-1.25;8.5
-;12;27.0;Peter Philipp;;13;55.5;7;28.25;-5;1.25;8.75
-;15;35.75;Koller Andreas;;16;54.75;15;35.75;0;0.0;9.0
+;18;44.75;Eichhorn Alexander;;20;53.75;16;45.25;-2;0.5;10.0

16f;Gemsch Stefan;;;;;;;;;;54.75
+;;;Dändliker Hansheinrich;;;;;;;;9.75
o;3;9.75;Battaglia Ursin;**;13;55.5;6;8.5;3;-1.25;8.5
+;8;18.25;Frei Felix (2003);;21;53.5;8;18.25;0;0.0;9.75
o;8;28.0;Notz Armin;*;14;55.25;11;27.25;3;-0.75;8.5
+;12;36.5;Grimm Michael;;19;54.0;10;37.0;-2;0.5;9.75
o;12;46.25;Schmidlin Tobias;*;11;56.0;13;46.0;1;-0.25;8.5

16g;Keller Dominic;;;;;;;;;;54.75
+;;;Büchler Livio;;;;;;;;9.75
o;3;9.75;Dörig Erich;*;14;55.25;6;8.5;3;-1.25;8.5
+;8;18.25;Flück Bruno;;19;54.0;7;18.5;-1;0.25;9.75
o;8;28.0;Fausch Kjetil;*;14;55.25;8;28.0;0;0.0;8.5
+;12;36.5;Stadelmann Valentin;;20;53.75;11;36.75;-1;0.25;9.75
o;12;46.25;Fuster Sepp;*;11;56.0;13;46.0;1;-0.25;8.5

16h;Studerus Jan;;;;;;;;;;54.75
o;;;Fuster Arjuna (2003);;;;;;;;8.75
o;5;8.75;Castelli Fabio;*;15;55.0;6;8.5;1;-0.25;8.5
+;11;17.25;Zimmermann Amir;;19;54.0;11;17.25;0;0.0;10.0
o;11;27.25;Baumann Elia;;16;54.75;10;27.5;-1;0.25;8.75
+;14;36.0;Egli Joel;;23;53.0;14;36.0;0;0.0;9.75
-;14;45.75;Vollenweider Loïc (2004);;16;54.75;14;45.75;0;0.0;9.0

16i;Koller Andreas;;;;;;;;;;54.75
o;;;Wittenwiler Mathias (2003);;;;;;;;8.75
o;5;8.75;Schnyder Christian;;13;55.5;6;8.5;1;-0.25;8.5
+;11;17.25;Brand Roman (2003);;27;51.25;12;17.0;1;-0.25;10.0
o;11;27.25;Kurmann Patrick (2003);;11;56.0;11;27.25;0;0.0;8.5
-;15;35.75;Schlegel Reto;*;16;54.75;15;35.75;0;0.0;9.0
+;18;44.75;Landolt Cla;;20;53.75;16;45.25;-2;0.5;10.0

16j;Gartmann Mauro;**;;;;;;;;;54.75
o;;;Kessler Joel;*;;;;;;;8.5
-;6;8.5;Anliker Andri (2003);;15;55.0;2;10.0;-4;1.5;9.0
-;10;17.5;Lanter Christian;*;6;57.25;6;18.75;-4;1.25;8.75
+;14;26.25;Schmidlin Tobias;*;11;56.0;10;27.5;-4;1.25;10.0
o;13;36.25;Burkhalter Stefan;***;15;55.0;18;35.0;5;-1.25;8.5
+;18;44.75;Heierli Dorian;;20;53.75;16;45.25;-2;0.5;10.0

17a;Bucher Roman (2003);;;;;;;;;;54.5
+;;;Ulrich Pascal;;;;;;;;9.75
o;3;9.75;Schweizer Christof;*;12;55.75;5;8.75;2;-1.0;8.75
+;7;18.5;Stadelmann Lukas (2004);;24;52.75;7;18.5;0;0.0;10.0
o;6;28.5;Pianta Christian;*;18;54.25;12;27.0;6;-1.5;8.5
-;10;37.0;Vollenweider Loïc (2004);;16;54.75;10;37.0;0;0.0;8.75
o;14;45.75;Winzeler Simon;;12;55.75;14;45.75;0;0.0;8.75

18a;Lengacher Gian (2003);;;;;;;;;;54.25
+;;;Faraj Daniel;;;;;;;;10.0
-;2;10.0;Lüthi Manuel (2003);*;18;54.25;3;9.75;1;-0.25;8.75
+;6;18.75;Baumann Elia;;16;54.75;6;18.75;0;0.0;9.75
o;6;28.5;Riget Florian;*;8;56.75;7;28.25;1;-0.25;8.5
o;10;37.0;Elmer Daniel;*;13;55.5;10;37.0;0;0.0;8.5
o;15;45.5;Hobi Ignaz;*;12;55.75;13;46.0;-2;0.5;8.75

18b;Zollinger Silvan (2004);;;;;;;;;;54.25
+;;;Diem Hansruedi;;;;;;;;9.75
-;3;9.75;Wittenwiler Mathias (2003);;24;52.75;3;9.75;0;0.0;9.0
o;6;18.75;Burkhalter Thomas (2003);*;11;56.0;7;18.5;1;-0.25;8.5
o;11;27.25;Forrer Marco (2003);;19;54.0;11;27.25;0;0.0;8.5
o;15;35.75;Niederer Andreas;;16;54.75;14;36.0;-1;0.25;8.5
+;20;44.25;Plüer Dario (2005);;27;51.25;24;42.75;4;-1.5;10.0

18c;Affentranger Martin;;;;;;;;;;54.25
+;;;Graf Dominik (2005);;;;;;;;10.0
o;2;10.0;Fejzaj Naim;**;33;26.75;6;8.5;4;-1.5;8.5
o;7;18.5;Sprecher Martin;;19;54.0;7;18.5;0;0.0;8.5
o;12;27.0;Lüthi Manuel (2003);*;18;54.25;12;27.0;0;0.0;8.5
+;16;35.5;Freund Samuel (2004);;20;53.75;16;35.5;0;0.0;10.0
o;15;45.5;Walser Simon (2004);;14;55.25;15;45.5;0;0.0;8.75

18d;Aebli Nino;*;;;;;;;;;54.25
o;;;Funk Nicola;*;;;;;;;8.5
o;6;8.5;Rüegg Patrick;;9;56.5;2;10.0;-4;1.5;8.5
+;12;17.0;Dändliker Hansheinrich;;32;27.0;7;18.5;-5;1.5;10.0
+;12;27.0;Lusti Remo;;14;55.25;12;27.0;0;0.0;10.0
o;10;37.0;Leuppi Karim;*;7;57.0;10;37.0;0;0.0;8.75
o;14;45.75;Burkhalter Stefan;***;15;55.0;17;45.0;3;-0.75;8.5

