3969-2018-06-17_Buendner-Glarner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;60.0
12o;Thoma Christoph;;;;;;;;;;55.25
+;;;Kirchmeier Christof;;;;;;;;9.75
o;2;9.75;Fausch Kjetil;*;11;55.5;5;8.5;3;-1.25;8.5
o;7;18.25;Breitenmoser Simon;;17;54.0;7;18.25;0;0.0;8.5
+;11;26.75;Schuhmacher Pascal (2002);;19;53.5;11;26.75;0;0.0;10.0
+;10;36.75;Flütsch Marco;;13;55.0;10;36.75;0;0.0;10.0
o;9;46.75;Jörger Marc;*;6;56.75;8;47.0;-1;0.25;8.5

13a;Flütsch Marco;;;;;;;;;;55.0
+;;;Langenegger Beat;;;;;;;;9.75
o;2;9.75;Koch Reto;*;10;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Furrer Matthias;;18;53.75;7;18.25;0;0.0;10.0
o;6;28.25;Ammann Rico;*;14;54.75;9;27.25;3;-1.0;8.5
o;10;36.75;Thoma Christoph;;12;55.25;10;36.75;0;0.0;8.5
+;15;45.25;Laager Michael (2001);;18;53.75;15;45.25;0;0.0;9.75

13b;Schlegel Werner (2002);*;;;;;;;;;55.0
+;;;Bühler Hannes;*;;;;;;;9.75
o;2;9.75;Orlik Curdin;**;4;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Schiesser Patrik;;11;55.5;6;18.5;-1;0.25;9.75
+;7;28.0;Thoma Luca (2000);;10;55.75;5;28.5;-2;0.5;10.0
o;5;38.0;Oettli Marco;*;11;55.5;8;37.25;3;-0.75;8.5
o;10;46.5;Schäppi Urs;*;7;56.5;10;46.5;0;0.0;8.5

13c;Arztmann Beda;*;;;;;;;;;55.0
-;;;Rüegg Fabian;*;;;;;;;8.75
+;4;8.75;Baumgartner Joël;;29;35.25;2;9.75;-2;1.0;9.75
o;6;18.5;Wickli Beat;**;6;56.75;7;18.25;1;-0.25;8.5
+;10;27.0;Breitenmoser Simon;;17;54.0;7;28.0;-3;1.0;9.75
+;10;36.75;Büsser André;*;13;55.0;10;36.75;0;0.0;9.75
o;10;46.5;Poltera Andrin;;4;57.25;7;47.25;-3;0.75;8.5

13d;Wehrli Jan (2002);;;;;;;;;;55.0
o;;;Ziegler Andreas (2002);;;;;;;;8.5
+;5;8.5;Frey Aaron;;33;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Rüegg Fabian;*;15;54.5;8;17.5;1;-0.75;8.5
+;11;26.75;Dobler Lorenz (2000);;29;35.25;11;26.75;0;0.0;9.75
+;11;36.5;Laager Michael (2001);;18;53.75;11;36.5;0;0.0;10.0
o;10;46.5;Jöhl Christian;*;24;46.75;9;46.75;-1;0.25;8.5

13e;Landolt Reto;*;;;;;;;;;55.0
-;;;Elmer Adrian;*;;;;;;;8.75
-;4;8.75;Schwyn Patrick;;15;54.5;1;10.0;-3;1.25;8.75
+;8;17.5;Buff Alwin;;18;53.75;7;18.25;-1;0.75;10.0
+;8;27.5;Rütsche Stefan;*;29;35.25;11;26.75;3;-0.75;10.0
-;7;37.5;Ammann Rico;*;14;54.75;8;37.25;1;-0.25;8.75
-;11;46.25;Nägeli Roman;*;13;55.0;11;46.25;0;0.0;8.75

13f;Büsser André;*;;;;;;;;;55.0
-;;;Oettli Marco;*;;;;;;;8.75
o;4;8.75;Vestner Bruno;*;9;56.0;5;8.5;1;-0.25;8.5
+;9;17.25;Ritter Fabio (2001);;21;52.75;7;18.25;-2;1.0;9.75
+;10;27.0;Schuler Martin;;16;54.25;8;27.5;-2;0.5;9.75
o;10;36.75;Arztmann Beda;*;13;55.0;10;36.75;0;0.0;8.5
+;15;45.25;Bühler Hannes;*;16;54.25;13;45.75;-2;0.5;9.75

13g;Nägeli Roman;*;;;;;;;;;55.0
-;;;Breitenmoser Manuel;*;;;;;;;8.75
+;4;8.75;Dobler Lorenz (2000);;29;35.25;2;9.75;-2;1.0;10.0
o;5;18.75;Battaglia Ursin;**;3;57.5;5;18.75;0;0.0;8.5
+;9;27.25;Laager Michael (2001);;18;53.75;7;28.0;-2;0.75;10.0
-;8;37.25;Gartmann Mauro;*;8;56.25;8;37.25;0;0.0;9.0
-;11;46.25;Landolt Reto;*;13;55.0;11;46.25;0;0.0;8.75

13h;Schnyder Christian;;;;;;;;;;55.0
o;;;Bärtsch Andreas (2002);;;;;;;;8.5
+;5;8.5;Baumann Nico (2002);;34;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Notz Armin;*;16;54.25;10;17.0;4;-1.5;8.5
+;10;27.0;Schmidlin Tobias (2001);;29;35.25;11;26.75;1;-0.25;9.75
o;10;36.75;Kuster Thomas;*;12;55.25;10;36.75;0;0.0;8.5
+;15;45.25;Thoma Nils;;18;53.75;15;45.25;0;0.0;9.75

13i;Bürgi Reto;*;;;;;;;;;55.0
+;;;Kuster Thomas;*;;;;;;;9.75
o;2;9.75;Gmür Pirmin;**;7;56.5;5;8.5;3;-1.25;8.5
+;7;18.25;Tanner Markus (2002);;22;52.5;7;18.25;0;0.0;9.75
-;7;28.0;Breitenmoser Manuel;*;12;55.25;8;27.5;1;-0.5;8.75
+;10;36.75;Furrer Matthias;;18;53.75;10;36.75;0;0.0;9.75
o;10;46.5;Burkhalter Stefan;***;5;57.0;8;47.0;-2;0.5;8.5

13j;Koller Fabian;*;;;;;;;;;55.0
o;;;Koch Thomas;*;;;;;;;8.5
+;5;8.5;Castelli Fabio;;12;55.25;1;10.0;-4;1.5;10.0
o;6;18.5;Schnurrenberger Roman;**;5;57.0;6;18.5;0;0.0;8.5
+;10;27.0;Hugener Adrian (2000);;17;54.0;10;27.0;0;0.0;9.75
+;10;36.75;Rhyner Beni;;12;55.25;10;36.75;0;0.0;9.75
o;10;46.5;Eugster Ruedi;**;4;57.25;7;47.25;-3;0.75;8.5

13k;Mathis Patrick;;;;;;;;;;55.0
+;;;Riedi Thomas;;;;;;;;9.75
+;2;9.75;Notz Armin;*;16;54.25;5;8.5;3;-1.25;10.0
o;2;19.75;Bühler Ernst;**;8;56.25;6;18.5;4;-1.25;8.5
o;6;28.25;Oettli Silvio (2000);;12;55.25;6;28.25;0;0.0;8.5
o;10;36.75;Burkhard Tobias;;12;55.25;10;36.75;0;0.0;8.5
+;15;45.25;Furrer Matthias;;18;53.75;15;45.25;0;0.0;9.75

13l;Wettstein Daniel;;;;;;;;;;55.0
+;;;Ackermann Roman;;;;;;;;10.0
o;1;10.0;Wickli Beat;**;6;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Kammermann Dominik;;28;35.75;5;18.75;-1;0.25;9.75
+;6;28.25;Bühler Hannes;*;16;54.25;9;27.25;3;-1.0;9.75
o;5;38.0;Battaglia Ursin;**;3;57.5;6;37.75;1;-0.25;8.5
o;10;46.5;Schmid Dominik;**;24;46.75;9;46.75;-1;0.25;8.5

14a;Aebli Nino (2000);;;;;;;;;;54.75
-;;;Rotach Lars (2000);;;;;;;;8.75
+;4;8.75;Langenegger Beat;;29;35.25;5;8.5;1;-0.25;10.0
-;5;18.75;Elmer Adrian;*;19;53.5;6;18.5;1;-0.25;8.75
o;8;27.5;Marty Jaime (2000);;12;55.25;8;27.5;0;0.0;8.5
+;13;36.0;Schuler Martin;;16;54.25;13;36.0;0;0.0;10.0
-;12;46.0;Schwyn Patrick;;15;54.5;13;45.75;1;-0.25;8.75

14b;Keller Werner;;;;;;;;;;54.75
+;;;Rhyner Beni;;;;;;;;9.75
o;2;9.75;Bühler Hannes;*;16;54.25;5;8.5;3;-1.25;8.5
+;7;18.25;Ziegler Andreas (2002);;12;55.25;7;18.25;0;0.0;9.75
o;7;28.0;Schlegel Reto;*;15;54.5;10;27.0;3;-1.0;8.5
+;11;36.5;Rohner Lukas (2000);;25;45.75;10;36.75;-1;0.25;9.75
o;11;46.25;Gartmann Mauro;*;8;56.25;11;46.25;0;0.0;8.5

14c;Tremp Remo;;;;;;;;;;54.75
o;;;Buchmann Michael;;;;;;;;8.5
o;5;8.5;Riedi Thomas;;11;55.5;5;8.5;0;0.0;8.5
+;10;17.0;Raffl Nino (2002);;29;35.25;10;17.0;0;0.0;9.75
+;11;26.75;Fässler Tobias (2002);;29;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Notz Armin;*;16;54.25;15;35.5;4;-1.0;8.5
+;16;45.0;Schuhmacher Pascal (2002);;19;53.5;16;45.0;0;0.0;9.75

14d;Pianta Christian;;;;;;;;;;54.75
+;;;Bürgler Patrick;;;;;;;;10.0
o;1;10.0;Rütsche Stefan;*;29;35.25;5;8.5;4;-1.5;8.5
+;6;18.5;Schmidlin Tobias (2001);;29;35.25;7;18.25;1;-0.25;10.0
o;5;28.5;Bernold Michael;*;12;55.25;5;28.5;0;0.0;8.5
-;9;37.0;Hauser Simon;;15;54.5;9;37.0;0;0.0;8.75
-;13;45.75;Rohner Lukas (2000);;25;45.75;13;45.75;0;0.0;9.0

14e;Vestner Roman;*;;;;;;;;;54.75
-;;;Hochholdinger Roman;**;;;;;;;8.75
-;4;8.75;Poltera Andrin;;4;57.25;1;10.0;-3;1.25;8.75
-;8;17.5;Schuler Martin;;16;54.25;5;18.75;-3;1.25;8.75
+;12;26.25;Kammermann Dominik;;28;35.75;9;27.25;-3;1.0;10.0
+;12;36.25;Kammermann Thomas;*;17;54.0;10;36.75;-2;0.5;9.75
-;12;46.0;Ammann Rico;*;14;54.75;12;46.0;0;0.0;8.75

14f;Ammann Rico;*;;;;;;;;;54.75
+;;;Rütsche Stefan;*;;;;;;;10.0
-;1;10.0;Rüegg Fabian;*;15;54.5;4;8.75;3;-1.25;8.75
o;5;18.75;Orlik Curdin;**;4;57.25;5;18.75;0;0.0;8.5
+;9;27.25;Flütsch Marco;;13;55.0;6;28.25;-3;1.0;10.0
-;8;37.25;Landolt Reto;*;13;55.0;7;37.5;-1;0.25;8.75
-;12;46.0;Vestner Roman;*;14;54.75;12;46.0;0;0.0;8.75

15a;Rüegg Fabian;*;;;;;;;;;54.5
-;;;Arztmann Beda;*;;;;;;;8.75
-;4;8.75;Ammann Rico;*;14;54.75;1;10.0;-3;1.25;8.75
+;8;17.5;Wehrli Jan (2002);;13;55.0;7;18.25;-1;0.75;10.0
-;8;27.5;Fontana Michael;*;17;54.0;8;27.5;0;0.0;8.75
+;12;36.25;Britschgi Markus;;18;53.75;15;35.5;3;-0.75;9.75
o;12;46.0;Vestner Bruno;*;9;56.0;11;46.25;-1;0.25;8.5

15b;Schlegel Reto;*;;;;;;;;;54.5
o;;;Schmid Dominik;**;;;;;;;8.5
+;5;8.5;Schmidlin Tobias (2001);;29;35.25;2;9.75;-3;1.25;10.0
o;6;18.5;Dumelin David;*;5;57.0;6;18.5;0;0.0;8.5
+;10;27.0;Keller Werner;;14;54.75;7;28.0;-3;1.0;10.0
o;9;37.0;Poltera Andrin;;4;57.25;8;37.25;-1;0.25;8.5
-;14;45.5;Notz Armin;*;16;54.25;14;45.5;0;0.0;9.0

15c;Keller Lukas;;;;;;;;;;54.5
-;;;Schuler Martin;;;;;;;;8.75
-;4;8.75;Reichmuth Beat;;18;53.75;4;8.75;0;0.0;8.75
+;8;17.5;Dobler Mathias;;22;52.5;10;17.0;2;-0.5;9.75
o;9;27.25;Kammermann Thomas;*;17;54.0;10;27.0;1;-0.25;8.5
-;14;35.75;Elmer Adrian;*;19;53.5;13;36.0;-1;0.25;8.75
+;18;44.5;Ackermann Roman;;18;53.75;15;45.25;-3;0.75;10.0

15d;Hauser Simon;;;;;;;;;;54.5
+;;;Dobler Mathias;;;;;;;;10.0
o;1;10.0;Fontana Michael;*;17;54.0;4;8.75;3;-1.25;8.75
o;5;18.75;Inauen Aurel;;11;55.5;6;18.5;1;-0.25;8.5
+;9;27.25;Inauen Andreas;*;17;54.0;9;27.25;0;0.0;9.75
-;9;37.0;Pianta Christian;;14;54.75;9;37.0;0;0.0;8.75
-;13;45.75;Wittenwiler Roman;*;16;54.25;14;45.5;1;-0.25;8.75

15e;Schwyn Patrick;;;;;;;;;;54.5
+;;;Laager Andreas;;;;;;;;10.0
-;1;10.0;Landolt Reto;*;13;55.0;4;8.75;3;-1.25;8.75
o;5;18.75;Thoma Luca (2000);;10;55.75;6;18.5;1;-0.25;8.5
o;9;27.25;Oettli Marco;*;11;55.5;9;27.25;0;0.0;8.5
+;14;35.75;Bärtsch Andreas (2002);;16;54.25;14;35.75;0;0.0;10.0
-;13;45.75;Aebli Nino (2000);;14;54.75;12;46.0;-1;0.25;8.75

16a;Buchmann Michael;;;;;;;;;;54.25
+;;;Tremp Remo;;;;;;;;9.75
+;2;9.75;Wittenwiler Roman;*;16;54.25;4;8.75;2;-1.0;10.0
o;2;19.75;Eugster Ruedi;**;4;57.25;6;18.5;4;-1.25;8.5
o;6;28.25;Jörger Marc;*;6;56.75;5;28.5;-1;0.25;8.5
-;10;36.75;Inauen Aurel;;11;55.5;10;36.75;0;0.0;9.0
o;13;45.75;Jörger Corsin;;23;47.0;8;47.0;-5;1.25;8.5

16b;Nüesch Remo (2001);;;;;;;;;;54.25
o;;;Oettli Silvio (2000);;;;;;;;8.5
o;5;8.5;Schiesser Patrik;;11;55.5;5;8.5;0;0.0;8.5
-;10;17.0;von Wyl Simon;;36;26.0;9;17.25;-1;0.25;8.75
+;14;25.75;Gerber Noel (2002);;29;35.25;11;26.75;-3;1.0;9.75
-;15;35.5;Ritter Fabio (2001);;21;52.75;15;35.5;0;0.0;8.75
+;19;44.25;Bertogg Severin (2001);;22;52.5;20;44.0;1;-0.25;10.0

16c;Notz Armin;*;;;;;;;;;54.25
o;;;Reber Marcel;*;;;;;;;8.5
o;5;8.5;Mathis Patrick;;13;55.0;2;9.75;-3;1.25;8.5
+;10;17.0;Schnyder Christian;;13;55.0;6;18.5;-4;1.5;9.75
-;11;26.75;Morger Adrian;*;31;34.75;13;26.0;2;-0.75;8.75
+;15;35.5;Tremp Remo;;14;54.75;11;36.5;-4;1.0;10.0
-;14;45.5;Schlegel Reto;*;15;54.5;14;45.5;0;0.0;8.75

16d;Bärtsch Andreas (2002);;;;;;;;;;54.25
+;;;Schnyder Christian;;;;;;;;10.0
o;1;10.0;Dumelin David;*;5;57.0;5;8.5;4;-1.5;8.5
o;6;18.5;Nock Benjamin (2001);;12;55.25;6;18.5;0;0.0;8.5
-;10;27.0;Rotach Lars (2000);;17;54.0;10;27.0;0;0.0;8.75
o;14;35.75;Schwyn Patrick;;15;54.5;14;35.75;0;0.0;8.5
+;19;44.25;Dobler Mathias;;22;52.5;20;44.0;1;-0.25;10.0

16e;Horner Sämi;;;;;;;;;;54.25
+;;;Frey Aaron;;;;;;;;10.0
o;1;10.0;Schwyn Adrian;*;18;53.75;5;8.5;4;-1.5;8.75
+;5;18.75;Burch Dean (2001);;29;35.25;7;18.25;2;-0.5;10.0
o;4;28.75;Fausch Kjetil;*;11;55.5;6;28.25;2;-0.5;8.5
o;8;37.25;Schmid Patrick;*;5;57.0;8;37.25;0;0.0;8.5
o;13;45.75;Inauen Aurel;;11;55.5;13;45.75;0;0.0;8.5

16f;Schuler Martin;;;;;;;;;;54.25
-;;;Keller Lukas;;;;;;;;8.75
+;4;8.75;von Wyl Simon;;36;26.0;4;8.75;0;0.0;10.0
-;5;18.75;Vestner Roman;*;14;54.75;8;17.5;3;-1.25;8.75
o;8;27.5;Büsser André;*;13;55.0;10;27.0;2;-0.5;8.5
o;13;36.0;Aebli Nino (2000);;14;54.75;13;36.0;0;0.0;8.5
+;18;44.5;Held Florian;;19;53.5;16;45.0;-2;0.5;9.75

16g;Rüegg Patrick;;;;;;;;;;54.25
-;;;Wildhaber Jannik;;;;;;;;8.75
+;4;8.75;Rohner Lukas (2000);;25;45.75;2;9.75;-2;1.0;10.0
o;5;18.75;Schmid Dominik;**;24;46.75;7;18.25;2;-0.5;8.5
+;9;27.25;Jörger Corsin;;23;47.0;9;27.25;0;0.0;10.0
o;8;37.25;Jöhl Christian;*;24;46.75;9;37.0;1;-0.25;8.5
o;13;45.75;Tschudi Mario (2001);;25;45.75;13;45.75;0;0.0;8.5

16h;Bühler Hannes;*;;;;;;;;;54.25
o;;;Schlegel Werner (2002);*;;;;;;;8.5
+;5;8.5;Keller Werner;;14;54.75;2;9.75;-3;1.25;10.0
-;6;18.5;Roth Martin;*;8;56.25;5;18.75;-1;0.25;8.75
o;9;27.25;Wettstein Daniel;;13;55.0;6;28.25;-3;1.0;8.5
+;14;35.75;Inauen Andreas;*;17;54.0;14;35.75;0;0.0;10.0
o;13;45.75;Büsser André;*;13;55.0;15;45.25;2;-0.5;8.5

16i;Wittenwiler Roman;*;;;;;;;;;54.25
-;;;Kammermann Thomas;*;;;;;;;8.75
o;4;8.75;Buchmann Michael;;16;54.25;2;9.75;-2;1.0;8.5
+;9;17.25;Rohner Lukas (2000);;25;45.75;7;18.25;-2;1.0;9.75
+;10;27.0;Schwyn Adrian;*;18;53.75;10;27.0;0;0.0;10.0
o;9;37.0;Schlegel Sandro;**;7;56.5;7;37.5;-2;0.5;8.5
-;14;45.5;Hauser Simon;;15;54.5;13;45.75;-1;0.25;8.75

17a;Kirchmeier Christof;;;;;;;;;;54.0
o;;;Thoma Christoph;;;;;;;;8.5
+;5;8.5;Tobler Pius (2001);;34;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Vestner Bruno;*;9;56.0;7;18.25;1;-0.25;10.0
o;5;28.5;Schäppi Urs;*;7;56.5;7;28.0;2;-0.5;8.5
o;9;37.0;Bärtsch Fabian (2000);;11;55.5;9;37.0;0;0.0;8.5
o;14;45.5;Castelli Fabio;;12;55.25;14;45.5;0;0.0;8.5

17b;Laager Andreas;;;;;;;;;;54.0
o;;;Schwyn Patrick;;;;;;;;8.5
+;5;8.5;Müller Patrick;;34;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Holenstein Christian;*;12;55.25;7;18.25;1;-0.25;8.5
o;10;27.0;Rohner Lukas (2000);;25;45.75;7;28.0;-3;1.0;8.5
+;15;35.5;Bertogg Severin (2001);;22;52.5;15;35.5;0;0.0;10.0
o;14;45.5;Thoma Luca (2000);;10;55.75;13;45.75;-1;0.25;8.5

17c;Breitenmoser Simon;;;;;;;;;;54.0
+;;;Schiesser Patrik;;;;;;;;9.75
o;2;9.75;Kuster Thomas;*;12;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Thoma Christoph;;12;55.25;7;18.25;0;0.0;9.75
o;7;28.0;Arztmann Beda;*;13;55.0;10;27.0;3;-1.0;8.5
-;11;36.5;Reichmuth Beat;;18;53.75;12;36.25;1;-0.25;8.75
-;15;45.25;Kammermann Thomas;*;17;54.0;15;45.25;0;0.0;8.75

17d;Dändliker Hansheinrich;;;;;;;;;;54.0
+;;;Müller Patrick;;;;;;;;10.0
o;1;10.0;Hochholdinger Roman;**;5;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Poltera Andrin;;4;57.25;5;18.75;-1;0.25;8.5
o;10;27.0;Castelli Fabio;;12;55.25;9;27.25;-1;0.25;8.5
o;15;35.5;Schmid Reto;;12;55.25;15;35.5;0;0.0;8.5
+;20;44.0;Sprecher Martin (2000);;21;52.75;19;44.25;-1;0.25;10.0

17e;Hugener Adrian (2000);;;;;;;;;;54.0
o;;;Gosswiler Livio (2000);;;;;;;;8.5
o;5;8.5;Ritter Fabio (2001);;21;52.75;5;8.5;0;0.0;8.5
+;10;17.0;Bertogg Severin (2001);;22;52.5;10;17.0;0;0.0;10.0
o;10;27.0;Koller Fabian;*;13;55.0;10;27.0;0;0.0;8.5
o;15;35.5;Britschgi Markus;;18;53.75;15;35.5;0;0.0;8.5
+;20;44.0;Niederberger Marc Ursin (2002);;21;52.75;19;44.25;-1;0.25;10.0

17f;Inauen Andreas;*;;;;;;;;;54.0
-;;;Fontana Michael;*;;;;;;;8.75
+;4;8.75;Laager Michael (2001);;18;53.75;2;9.75;-2;1.0;10.0
o;5;18.75;Gartmann Mauro;*;8;56.25;5;18.75;0;0.0;8.5
o;9;27.25;Hauser Simon;;15;54.5;9;27.25;0;0.0;8.5
o;14;35.75;Bühler Hannes;*;16;54.25;14;35.75;0;0.0;8.5
+;19;44.25;Mettler Valentin;*;20;53.0;18;44.5;-1;0.25;9.75

17g;Rotach Lars (2000);;;;;;;;;;54.0
-;;;Aebli Nino (2000);;;;;;;;8.75
+;4;8.75;Bürgler Patrick;;29;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Koch Thomas;*;5;57.0;6;18.5;0;0.0;8.5
-;10;27.0;Bärtsch Andreas (2002);;16;54.25;10;27.0;0;0.0;8.75
o;14;35.75;Jörger Corsin;;23;47.0;9;37.0;-5;1.25;8.5
+;19;44.25;Tanner Markus (2002);;22;52.5;20;44.0;1;-0.25;9.75

17h;Fontana Michael;*;;;;;;;;;54.0
-;;;Inauen Andreas;*;;;;;;;8.75
+;4;8.75;Hauser Simon;;15;54.5;1;10.0;-3;1.25;10.0
-;5;18.75;Mettler Valentin;*;20;53.0;5;18.75;0;0.0;8.75
-;8;27.5;Rüegg Fabian;*;15;54.5;8;27.5;0;0.0;8.75
-;12;36.25;Thoma Luca (2000);;10;55.75;9;37.0;-3;0.75;9.0
o;15;45.25;Schmid Reto;;12;55.25;14;45.5;-1;0.25;8.75

17i;Gasser Peter;*;;;;;;;;;54.0
o;;;Roth Martin;*;;;;;;;8.75
+;4;8.75;Burch Dean (2001);;29;35.25;2;9.75;-2;1.0;10.0
o;5;18.75;Burkhalter Stefan;***;5;57.0;7;18.25;2;-0.5;8.5
+;9;27.25;Schmid Reto;;12;55.25;10;27.0;1;-0.25;9.75
o;9;37.0;Koch Thomas;*;5;57.0;9;37.0;0;0.0;8.5
o;14;45.5;Bollhalder Manuel (2001);;12;55.25;14;45.5;0;0.0;8.5

17j;Kammermann Thomas;*;;;;;;;;;54.0
-;;;Wittenwiler Roman;*;;;;;;;8.75
+;4;8.75;Schmid Reto;;12;55.25;1;10.0;-3;1.25;9.75
o;6;18.5;Bernold Christian;**;12;55.25;5;18.75;-1;0.25;8.5
+;10;27.0;Keller Lukas;;15;54.5;9;27.25;-1;0.25;9.75
o;10;36.75;Vestner Roman;*;14;54.75;12;36.25;2;-0.5;8.5
-;15;45.25;Breitenmoser Simon;;17;54.0;15;45.25;0;0.0;8.75

17k;Ochsner Reto (2000);;;;;;;;;;54.0
-;;;Niederberger Marc Ursin (2002);;;;;;;;8.75
o;4;8.75;Jörger Corsin;;23;47.0;4;8.75;0;0.0;8.5
+;9;17.25;Tobler Pius (2001);;34;34.0;10;17.0;1;-0.25;9.75
-;10;27.0;Tschudi Mario (2001);;25;45.75;10;27.0;0;0.0;8.75
+;14;35.75;Sprecher Martin (2000);;21;52.75;14;35.75;0;0.0;9.75
o;14;45.5;Schiesser Patrik;;11;55.5;14;45.5;0;0.0;8.5

18a;Ackermann Roman;;;;;;;;;;53.75
o;;;Wettstein Daniel;;;;;;;;8.5
+;5;8.5;Held Simon (2002);;29;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Krähenbühl Tobias;***;11;55.5;9;17.25;2;-1.0;8.5
-;11;26.75;Buff Alwin;;18;53.75;11;26.75;0;0.0;8.75
+;15;35.5;Tanner Markus (2002);;22;52.5;15;35.5;0;0.0;9.75
o;15;45.25;Keller Lukas;;15;54.5;18;44.5;3;-0.75;8.5

18b;Thoma Nils;;;;;;;;;;53.75
+;;;Raffl Nino (2002);;;;;;;;9.75
o;2;9.75;Gwerder Andreas;**;35;27.0;5;8.5;3;-1.25;8.5
+;7;18.25;Schuhmacher Pascal (2002);;19;53.5;7;18.25;0;0.0;10.0
o;6;28.25;Reber Marcel;*;5;57.0;6;28.25;0;0.0;8.5
o;10;36.75;Riedi Thomas;;11;55.5;10;36.75;0;0.0;8.5
o;15;45.25;Schnyder Christian;;13;55.0;15;45.25;0;0.0;8.5

18c;Britschgi Markus;;;;;;;;;;53.75
o;;;Bärtsch Fabian (2000);;;;;;;;8.5
+;5;8.5;Schuhmacher Pascal (2002);;19;53.5;2;9.75;-3;1.25;10.0
o;6;18.5;Oertig Dominik;**;10;55.75;9;17.25;3;-1.25;8.5
o;10;27.0;Schiesser Patrik;;11;55.5;10;27.0;0;0.0;8.5
+;15;35.5;Hugener Adrian (2000);;17;54.0;15;35.5;0;0.0;9.75
o;15;45.25;Rüegg Fabian;*;15;54.5;12;46.0;-3;0.75;8.5

18d;Laager Michael (2001);;;;;;;;;;53.75
+;;;Tanner Markus (2002);;;;;;;;9.75
o;2;9.75;Inauen Andreas;*;17;54.0;4;8.75;2;-1.0;8.5
+;7;18.25;Wagner Andreas (2002);;29;35.25;7;18.25;0;0.0;9.75
o;7;28.0;Nägeli Roman;*;13;55.0;9;27.25;2;-0.75;8.5
o;11;36.5;Wehrli Jan (2002);;13;55.0;11;36.5;0;0.0;8.75
o;15;45.25;Flütsch Marco;;13;55.0;15;45.25;0;0.0;8.5

18e;Schwyn Adrian;*;;;;;;;;;53.75
o;;;Holenstein Christian;*;;;;;;;8.5
+;5;8.5;Horner Sämi;;16;54.25;1;10.0;-4;1.5;9.75
o;7;18.25;Burch Jonas;*;5;57.0;6;18.5;-1;0.25;8.75
o;10;27.0;Wittenwiler Roman;*;16;54.25;10;27.0;0;0.0;8.5
+;15;35.5;Wildhaber Jannik;;26;45.25;16;35.25;1;-0.25;9.75
o;15;45.25;Koch Reto;*;10;55.75;13;45.75;-2;0.5;8.5

18f;Furrer Matthias;;;;;;;;;;53.75
+;;;Gallati Nils (2002);;;;;;;;9.75
o;2;9.75;Mettler Valentin;*;20;53.0;4;8.75;2;-1.0;8.5
o;7;18.25;Flütsch Marco;;13;55.0;7;18.25;0;0.0;8.5
+;11;26.75;Held Simon (2002);;29;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Bürgi Reto;*;13;55.0;10;36.75;0;0.0;8.5
o;15;45.25;Mathis Patrick;;13;55.0;15;45.25;0;0.0;8.5

18g;Reichmuth Beat;;;;;;;;;;53.75
-;;;Marty Jaime (2000);;;;;;;;8.75
-;4;8.75;Keller Lukas;;15;54.5;4;8.75;0;0.0;8.75
+;8;17.5;Wildhaber Jannik;;26;45.25;10;17.0;2;-0.5;9.75
-;9;27.25;Koch Reto;*;10;55.75;10;27.0;1;-0.25;9.0
-;12;36.25;Breitenmoser Simon;;17;54.0;11;36.5;-1;0.25;8.75
-;16;45.0;Elmer Adrian;*;19;53.5;17;44.75;1;-0.25;8.75

18h;Buff Alwin;;;;;;;;;;53.75
o;;;Castelli Fabio;;;;;;;;8.5
+;5;8.5;Raffl Nino (2002);;29;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Landolt Reto;*;13;55.0;8;17.5;1;-0.75;8.5
-;11;26.75;Ackermann Roman;;18;53.75;11;26.75;0;0.0;8.75
+;15;35.5;Dobler Mathias;;22;52.5;15;35.5;0;0.0;9.75
o;15;45.25;Rhyner Beni;;12;55.25;15;45.25;0;0.0;8.5

19a;Schuhmacher Pascal (2002);;;;;;;;;;53.5
+;;;Tobler Pius (2001);;;;;;;;9.75
o;2;9.75;Britschgi Markus;;18;53.75;5;8.5;3;-1.25;8.5
o;7;18.25;Thoma Nils;;18;53.75;7;18.25;0;0.0;8.5
+;11;26.75;Bossert Alain (2001);;29;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Thoma Christoph;;12;55.25;10;36.75;-1;0.25;8.5
o;16;45.0;Tremp Remo;;14;54.75;16;45.0;0;0.0;8.5

19b;Elmer Adrian;*;;;;;;;;;53.5
-;;;Landolt Reto;*;;;;;;;8.75
+;4;8.75;Oettli Silvio (2000);;12;55.25;2;9.75;-2;1.0;9.75
-;6;18.5;Aebli Nino (2000);;14;54.75;5;18.75;-1;0.25;8.75
