2856-2015-05-31_101_St_Galler_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;58.0
+;9;27.25;Baumann Simon;;18;53.75;5;28.25;-4;1.0;9.75
o;8;37.0;Pianta Christian (1997);;12;55.25;8;37.0;0;0.0;8.75
+;12;45.75;Schmid Patrick (1997);;16;54.25;12;45.75;0;0.0;9.75

11b;Schrepfer Chris;;;;;;;;;;55.5
-;;;Grenci Mauro (1999);;;;;;;;8.75
+;4;8.75;Thoma Nils (1999);;22;52.5;1;10.0;-3;1.25;10.0
o;4;18.75;Jöhl Christian;*;11;55.5;9;17.5;5;-1.25;8.5
+;9;27.25;Schegg Michael;;23;35.25;11;26.75;2;-0.5;10.0
+;7;37.25;Raymann David;;15;54.5;6;37.5;-1;0.25;9.75
o;7;47.0;Oertig Dominik;*;6;56.75;8;46.75;1;-0.25;8.5

11c;Elmer Adrian;;;;;;;;;;55.5
+;;;Raschle Adrian;;;;;;;;10.0
-;1;10.0;Gschwend Walter;*;10;55.75;4;8.75;3;-1.25;8.75
+;4;18.75;Lieberherr Michael (1999);;11;55.5;5;18.5;1;-0.25;10.0
o;3;28.75;Baumann Rico;*;10;55.75;5;28.25;2;-0.5;8.5
+;7;37.25;Rütsche Werner;;12;55.25;8;37.0;1;-0.25;9.75
o;7;47.0;Knechtle Martin;**;4;57.25;6;47.25;-1;0.25;8.5

11d;Lieberherr Michael (1999);;;;;;;;;;55.5
+;;;Nigg Kaspar (1997);;;;;;;;9.75
-;2;9.75;Grenci Mauro (1999);;15;54.5;4;8.75;2;-1.0;8.75
o;5;18.5;Elmer Adrian;;11;55.5;4;18.75;-1;0.25;8.5
+;10;27.0;Arnold Christian;;16;54.25;10;27.0;0;0.0;10.0
o;8;37.0;Kamer Hanspeter;*;10;55.75;8;37.0;0;0.0;8.5
+;13;45.5;Riedi Thomas;;17;54.0;13;45.5;0;0.0;10.0

11e;Jöhl Christian;*;;;;;;;;;55.5
-;;;Schlegel Reto (1997);*;;;;;;;9.0
o;3;9.0;Signer Emil;**;10;55.75;4;8.75;1;-0.25;8.5
+;9;17.5;Schrepfer Chris;;11;55.5;4;18.75;-5;1.25;10.0
+;8;27.5;Thoma Christoph (1997);;15;54.5;8;27.5;0;0.0;9.75
+;7;37.25;Litscher Manuel;;7;56.5;5;37.75;-2;0.5;9.75
o;7;47.0;Kohler Fredi;**;6;56.75;7;47.0;0;0.0;8.5

11f;Ueltschi Patric;;;;;;;;;;55.5
+;;;Castelberg Andri;;;;;;;;9.75
o;2;9.75;Orlik Curdin;**;4;57.25;4;8.75;2;-1.0;8.5
+;6;18.25;Roth Michael (1999);;21;52.75;6;18.25;0;0.0;10.0
-;5;28.25;Bernold Christian;*;7;56.5;7;27.75;2;-0.5;8.75
+;8;37.0;Nigg Kaspar (1997);;18;53.75;9;36.75;1;-0.25;10.0
o;7;47.0;Schlegel Reto (1997);*;6;56.75;7;47.0;0;0.0;8.5

11g;Roth Andreas;;;;;;;;;;55.5
-;;;Fässler Patrick;;;;;;;;8.75
+;4;8.75;Haller Mathias (1999);;22;52.5;1;10.0;-3;1.25;10.0
+;4;18.75;Bleiker Daniel;;21;52.75;4;18.75;0;0.0;9.75
-;4;28.5;Scherer Christian;*;5;57.0;5;28.25;1;-0.25;8.75
o;7;37.25;Signer Emil;**;10;55.75;7;37.25;0;0.0;8.5
+;12;45.75;Bürgler Patrick;;16;54.25;12;45.75;0;0.0;9.75

11h;Breitenmoser Simon;;;;;;;;;;55.5
+;;;Fontana Michael;;;;;;;;9.75
o;2;9.75;Schlegel Reto (1997);*;6;56.75;3;9.0;1;-0.75;8.5
+;6;18.25;Schegg Michael;;23;35.25;6;18.25;0;0.0;10.0
o;5;28.25;Hersche Martin;**;4;57.25;8;27.5;3;-0.75;8.5
-;9;36.75;Oertig Simon;;10;55.75;9;36.75;0;0.0;9.0
+;12;45.75;Castelli Fabio (1999);;16;54.25;12;45.75;0;0.0;9.75

11i;Scheiwiller Andreas;*;;;;;;;;;55.5
-;;;Huber Pascal;*;;;;;;;8.75
+;4;8.75;Truniger Manuel;;9;56.0;1;10.0;-3;1.25;9.75
-;5;18.5;Büsser Remo;;19;53.5;4;18.75;-1;0.25;8.75
+;9;27.25;Castelberg Marius;;10;55.75;9;27.25;0;0.0;10.0
+;7;37.25;Bommer Christoph (1997);;17;54.0;8;37.0;1;-0.25;9.75
o;7;47.0;Kid Simon;**;5;57.0;7;47.0;0;0.0;8.5

11j;Schrepfer Roy;;;;;;;;;;55.5
+;;;Castelli Fabio (1999);;;;;;;;10.0
o;1;10.0;Schmid Dominik;*;10;55.75;3;9.0;2;-1.0;8.5
-;5;18.5;Castelberg Marius;;10;55.75;5;18.5;0;0.0;8.75
+;9;27.25;Roth Peter (1998);;17;54.0;10;27.0;1;-0.25;10.0
+;7;37.25;Truniger Manuel;;9;56.0;7;37.25;0;0.0;9.75
o;7;47.0;Bösch Roman;**;5;57.0;7;47.0;0;0.0;8.5

11k;Bleiker Reto;*;;;;;;;;;55.5
-;;;Bäbler Sandro;**;;;;;;;8.75
+;4;8.75;Stauffacher Martin (1998);;20;53.0;4;8.75;0;0.0;10.0
+;4;18.75;Oertig Simon;;10;55.75;5;18.5;1;-0.25;9.75
o;4;28.5;Signer Emil;**;10;55.75;8;27.5;4;-1.0;8.5
+;8;37.0;Wild Stefan;;16;54.25;7;37.25;-1;0.25;10.0
o;7;47.0;Scherer Christian;*;5;57.0;6;47.25;-1;0.25;8.5

11l;Lozza Roman;;;;;;;;;;55.5
+;;;Egger Matthias (1997);;;;;;;;9.75
o;2;9.75;Fontana Michael;;16;54.25;5;8.5;3;-1.25;8.5
o;6;18.25;Wild Thomas;;13;55.0;6;18.25;0;0.0;8.75
+;10;27.0;Oppliger Marco;;21;52.75;10;27.0;0;0.0;10.0
+;8;37.0;Elmer Daniel;*;14;54.75;12;36.0;4;-1.0;10.0
o;7;47.0;Gmür Pirmin;*;5;57.0;6;47.25;-1;0.25;8.5

11m;Breitenmoser Manuel;;;;;;;;;;55.5
o;;;Koch Thomas (1997);;;;;;;;8.5
+;5;8.5;Klee Sandro (1999);;26;34.0;5;8.5;0;0.0;10.0
o;5;18.5;Fejzaj Naim;*;12;55.25;5;18.5;0;0.0;8.5
-;10;27.0;Pfiffner Ivo;;16;54.25;10;27.0;0;0.0;8.75
+;13;35.75;Winet Mathias (1999);;22;52.5;14;35.5;1;-0.25;10.0
+;12;45.75;Kammermann Dominik;;17;54.0;13;45.5;1;-0.25;9.75

12a;Kuster Thomas;*;;;;;;;;;55.25
+;;;Vogel Beat;*;;;;;;;10.0
o;1;10.0;Büsser Andy;***;4;57.25;4;8.75;3;-1.25;8.5
+;5;18.5;Pfiffner Ivo;;16;54.25;5;18.5;0;0.0;10.0
+;4;28.5;Egli Patrick;;17;54.0;5;28.25;1;-0.25;9.75
o;3;38.25;Forrer Arnold;***;3;57.5;5;37.75;2;-0.5;8.5
o;8;46.75;Horner Peter;**;7;56.5;8;46.75;0;0.0;8.5

12b;Gysel Hansruedi;;;;;;;;;;55.25
o;;;Bänziger Peter;;;;;;;;8.5
o;5;8.5;Roth Ruedi (1997);;10;55.75;2;9.75;-3;1.25;8.5
+;11;17.0;Beeler Sepp;;21;52.75;10;17.25;-1;0.25;10.0
o;10;27.0;Inauen Andreas;*;12;55.25;14;25.75;4;-1.25;8.5
+;14;35.5;Nigg Jakob (1999);;18;53.75;14;35.5;0;0.0;9.75
+;14;45.25;Betschart Ueli;;18;53.75;14;45.25;0;0.0;10.0

12c;Schudel Simon;;;;;;;;;;55.25
-;;;Wild Stefan;;;;;;;;8.75
+;4;8.75;Roth Peter (1998);;17;54.0;1;10.0;-3;1.25;9.75
o;5;18.5;Huber Pascal;*;11;55.5;9;17.5;4;-1.0;8.5
o;10;27.0;Kammermann Dominik;;17;54.0;10;27.0;0;0.0;8.5
+;14;35.5;Mettler Tobias (1999);;22;52.5;14;35.5;0;0.0;10.0
+;13;45.5;Zingg Christoph;;15;54.5;12;45.75;-1;0.25;9.75

12d;Landolt Reto;*;;;;;;;;;55.25
-;;;Streuli Martin;*;;;;;;;8.75
+;4;8.75;Litscher Manuel;;7;56.5;2;9.75;-2;1.0;10.0
o;4;18.75;Forrer Arnold;***;3;57.5;3;19.0;-1;0.25;8.5
+;9;27.25;Roth Ruedi (1997);;10;55.75;4;28.5;-5;1.25;9.75
+;8;37.0;Zingg Christoph;;15;54.5;8;37.0;0;0.0;9.75
o;8;46.75;Riget Tobias;**;7;56.5;8;46.75;0;0.0;8.5

12e;Koch Thomas (1997);;;;;;;;;;55.25
+;;;Breitenmoser Manuel;;;;;;;;9.75
o;2;9.75;Eugster Ruedi;**;3;57.5;4;8.75;2;-1.0;8.5
o;6;18.25;Knechtle Martin;**;4;57.25;5;18.5;-1;0.25;8.5
+;11;26.75;Herrsche Lars (1998);;23;35.25;11;26.75;0;0.0;10.0
o;9;36.75;Holenstein Christian;*;10;55.75;8;37.0;-1;0.25;8.75
+;13;45.5;Bommer Christoph (1997);;17;54.0;13;45.5;0;0.0;9.75

12f;Wicki Cédric;;;;;;;;;;55.25
o;;;Pianta Christian (1997);;;;;;;;8.5
+;5;8.5;Oppliger Marco;;21;52.75;5;8.5;0;0.0;10.0
o;5;18.5;Plump Martin;*;18;53.75;6;18.25;1;-0.25;8.5
+;10;27.0;Egger Matthias (1997);;13;55.0;10;27.0;0;0.0;9.75
+;9;36.75;Bänziger Peter;;10;55.75;7;37.25;-2;0.5;10.0
o;8;46.75;Güntensperger Marcel;*;6;56.75;7;47.0;-1;0.25;8.5

12g;Oertle Daniel;;;;;;;;;;55.25
-;;;Bischof Remo;;;;;;;;9.0
-;3;9.0;Bösch Dominik;;17;54.0;2;9.75;-1;0.75;9.0
+;7;18.0;Schmid Dominik (1998);;14;54.75;8;17.75;1;-0.25;10.0
-;6;28.0;Knechtle Martin;**;4;57.25;4;28.5;-2;0.5;9.0
o;8;37.0;Bösch Roman;**;5;57.0;7;37.25;-1;0.25;8.5
+;13;45.5;Näf Bruno;*;17;54.0;13;45.5;0;0.0;9.75

12h;Raschle Adrian;;;;;;;;;;55.25
o;;;Elmer Adrian;;;;;;;;8.5
+;5;8.5;Hofstetter Beat (1997);;23;35.25;5;8.5;0;0.0;9.75
+;6;18.25;Meier Remo;**;14;54.75;9;17.5;3;-0.75;10.0
o;5;28.25;Näf Bruno;*;17;54.0;10;27.0;5;-1.25;8.5
o;9;36.75;Scherer Christian;*;5;57.0;7;37.25;-2;0.5;8.5
+;14;45.25;Büsser Remo;;19;53.5;15;45.0;1;-0.25;10.0

12i;Rütsche Werner;;;;;;;;;;55.25
+;;;Schiesser Patrik (1998);;;;;;;;10.0
o;1;10.0;Plump Martin;*;18;53.75;5;8.5;4;-1.5;8.5
+;5;18.5;Städler Lars;;18;53.75;5;18.5;0;0.0;10.0
o;4;28.5;Oertig Dominik;*;6;56.75;6;28.0;2;-0.5;8.5
o;8;37.0;Elmer Adrian;;11;55.5;7;37.25;-1;0.25;8.5
+;13;45.5;Dobler Mathias (1997);;17;54.0;13;45.5;0;0.0;9.75

12j;Gerig Marcel;;;;;;;;;;55.25
+;;;Bleiker Roman;;;;;;;;10.0
o;1;10.0;Bernold Beat;*;14;54.75;4;8.75;3;-1.25;8.5
o;5;18.5;Truniger Manuel;;9;56.0;4;18.75;-1;0.25;8.5
+;10;27.0;Nigg Jakob (1999);;18;53.75;10;27.0;0;0.0;9.75
o;9;36.75;Roth Ruedi (1997);;10;55.75;7;37.25;-2;0.5;8.5
+;14;45.25;Winet Jonas (1999);;18;53.75;14;45.25;0;0.0;10.0

12k;Fejzaj Naim;*;;;;;;;;;55.25
+;;;Kamer Hanspeter;*;;;;;;;10.0
o;1;10.0;Glaus Martin;***;27;18.5;4;8.75;3;-1.25;8.5
+;5;18.5;Breitenmoser Manuel;;11;55.5;5;18.5;0;0.0;9.75
+;5;28.25;Schönenberger Philipp;;13;55.0;5;28.25;0;0.0;10.0
o;3;38.25;Büsser Andy;***;4;57.25;3;38.25;0;0.0;8.5
o;8;46.75;Orlik Curdin;**;4;57.25;6;47.25;-2;0.5;8.5

12l;Inauen Andreas;*;;;;;;;;;55.25
o;;;Scherer Christian;*;;;;;;;8.5
-;5;8.5;Bänziger Peter;;10;55.75;1;10.0;-4;1.5;8.75
o;10;17.25;Schmucki Ivo;;10;55.75;4;18.75;-6;1.5;8.5
+;14;25.75;Gysel Hansruedi;;12;55.25;10;27.0;-4;1.25;9.75
+;14;35.5;Bleiker Roman;;13;55.0;9;36.75;-5;1.25;9.75
+;14;45.25;Plump Martin;*;18;53.75;14;45.25;0;0.0;10.0

12m;Mathis Patrick;;;;;;;;;;55.25
-;;;Zingg Christoph;;;;;;;;8.75
o;4;8.75;Kamer Hanspeter;*;10;55.75;5;8.5;1;-0.25;8.5
o;10;17.25;Bischof Remo;;15;54.5;8;17.75;-2;0.5;8.5
+;14;25.75;Eisenring Daniel (1997);;25;34.25;14;25.75;0;0.0;10.0
+;13;35.75;Beeler Sepp;;21;52.75;13;35.75;0;0.0;9.75
+;13;45.5;Scherrer Pascal;;17;54.0;14;45.25;1;-0.25;9.75

12n;Bischof Martin;;;;;;;;;;55.25
+;;;Dobler Mathias (1997);;;;;;;;10.0
-;1;10.0;Sprecher Sandro;*;9;56.0;5;8.5;4;-1.5;9.0
-;3;19.0;Bircher Luca (1999);;21;52.75;5;18.5;2;-0.5;8.75
-;7;27.75;Büsser Remo;;19;53.5;8;27.5;1;-0.25;8.75
-;10;36.5;Riedi Thomas;;17;54.0;9;36.75;-1;0.25;8.75
+;14;45.25;Nigg Kaspar (1997);;18;53.75;14;45.25;0;0.0;10.0

12o;Pianta Christian (1997);;;;;;;;;;55.25
+;;;Wicki Cédric;;;;;;;;9.75
o;2;9.75;Näf Bruno;*;17;54.0;4;8.75;2;-1.0;8.5
-;6;18.25;Bleiker Roman;;13;55.0;6;18.25;0;0.0;8.75
+;10;27.0;Thoma Nils (1999);;22;52.5;10;27.0;0;0.0;10.0
+;8;37.0;Huber Pascal;*;11;55.5;8;37.0;0;0.0;9.75
o;8;46.75;Vogel Beat;*;7;56.5;8;46.75;0;0.0;8.5

12p;Baumgartner Alexander (1997);;;;;;;;;;55.25
+;;;Langenegger Beat (1997);;;;;;;;9.75
-;2;9.75;Bischof Remo;;15;54.5;3;9.0;1;-0.75;8.75
o;5;18.5;Riget Tobias;**;7;56.5;5;18.5;0;0.0;8.5
-;10;27.0;Elmer Daniel;*;14;54.75;10;27.0;0;0.0;8.75
+;13;35.75;Raymann Jan (1999);;22;52.5;14;35.5;1;-0.25;9.75
+;13;45.5;Baumann Simon;;18;53.75;14;45.25;1;-0.25;9.75

12q;Rütsche Stefan;*;;;;;;;;;55.25
-;;;Gschwend Walter;*;;;;;;;8.75
+;4;8.75;Steiner Michael (1998);;18;53.75;2;9.75;-2;1.0;9.75
+;5;18.5;Arnold Christian;;16;54.25;5;18.5;0;0.0;9.75
+;5;28.25;Schiesser Patrik (1998);;19;53.5;11;26.75;6;-1.5;10.0
o;3;38.25;Peng Mike;***;8;56.25;6;37.5;3;-0.75;8.5
o;8;46.75;Rüegg Roman;*;5;57.0;7;47.0;-1;0.25;8.5

13a;Bleiker Roman;;;;;;;;;;55.0
o;;;Gerig Marcel;;;;;;;;8.5
+;5;8.5;Mettler Tobias (1999);;22;52.5;4;8.75;-1;0.25;9.75
-;6;18.25;Pianta Christian (1997);;12;55.25;6;18.25;0;0.0;8.75
+;10;27.0;Roth Michael (1999);;21;52.75;11;26.75;1;-0.25;9.75
o;9;36.75;Inauen Andreas;*;12;55.25;14;35.5;5;-1.25;8.5
+;14;45.25;Egger Ralf (1998);;17;54.0;13;45.5;-1;0.25;9.75

13b;Büsser André;;;;;;;;;;55.0
+;;;Beeler Matthias;;;;;;;;9.75
o;2;9.75;Bernold Edi;**;15;54.5;4;8.75;2;-1.0;8.5
+;6;18.25;Schiesser Patrik (1998);;19;53.5;6;18.25;0;0.0;9.75
o;6;28.0;Güntensperger Marcel;*;6;56.75;4;28.5;-2;0.5;8.5
+;10;36.5;Städler Dario;;18;53.75;10;36.5;0;0.0;10.0
o;9;46.5;Schläpfer Markus;**;10;55.75;11;46.0;2;-0.5;8.5

13c;Schönenberger Philipp;;;;;;;;;;55.0
+;;;Frei Hanspeter (1999);;;;;;;;10.0
o;1;10.0;Elmer Daniel;*;14;54.75;4;8.75;3;-1.25;8.5
+;5;18.5;Baumgartner Joël;;17;54.0;5;18.5;0;0.0;9.75
o;5;28.25;Fejzaj Naim;*;12;55.25;5;28.25;0;0.0;8.5
o;9;36.75;Schmuki Michael;;10;55.75;9;36.75;0;0.0;8.5
+;14;45.25;Steiner Michael (1998);;18;53.75;14;45.25;0;0.0;9.75

13d;Wild Thomas;;;;;;;;;;55.0
+;;;Riedi Thomas;;;;;;;;9.75
o;2;9.75;Bernold Christian;*;7;56.5;3;9.0;1;-0.75;8.5
+;6;18.25;Lozza Roman;;11;55.5;6;18.25;0;0.0;9.75
o;6;28.0;Litscher Manuel;;7;56.5;6;28.0;0;0.0;8.5
o;10;36.5;Schläpfer Markus;**;10;55.75;12;36.0;2;-0.5;8.75
+;14;45.25;Frei Hanspeter (1999);;16;54.25;13;45.5;-1;0.25;9.75

13e;Bäbler Dominik;*;;;;;;;;;55.0
-;;;Bernold Edi;**;;;;;;;8.75
+;4;8.75;Baumgartner Joël;;17;54.0;1;10.0;-3;1.25;9.75
+;5;18.5;Schmid Patrick (1997);;16;54.25;4;18.75;-1;0.25;9.75
+;5;28.25;Städler Dario;;18;53.75;6;28.0;1;-0.25;9.75
o;4;38.0;Battaglia Ursin;**;9;56.0;5;37.75;1;-0.25;8.5
o;9;46.5;Rychen Roger;**;6;56.75;7;47.0;-2;0.5;8.5

13f;Scherrer Willi;;;;;;;;;;55.0
-;;;Knöpfel Markus;;;;;;;;8.75
+;4;8.75;Ott Matthias (1999);;17;54.0;5;8.5;1;-0.25;10.0
-;4;18.75;Thoma Christoph (1997);;15;54.5;4;18.75;0;0.0;8.75
-;8;27.5;Schmid Patrick (1997);;16;54.25;9;27.25;1;-0.25;8.75
-;11;36.25;Büsser Remo;;19;53.5;11;36.25;0;0.0;8.75
+;15;45.0;Städler Lars;;18;53.75;14;45.25;-1;0.25;10.0

13g;Egger Matthias (1997);;;;;;;;;;55.0
o;;;Lozza Roman;;;;;;;;8.5
+;5;8.5;Stieger Daniel (1999);;26;34.0;5;8.5;0;0.0;10.0
o;5;18.5;Kamer Hanspeter;*;10;55.75;5;18.5;0;0.0;8.5
o;10;27.0;Wicki Cédric;;12;55.25;10;27.0;0;0.0;8.5
+;14;35.5;Oppliger Marco;;21;52.75;14;35.5;0;0.0;9.75
+;14;45.25;Mettler Florian (1997);;18;53.75;14;45.25;0;0.0;9.75
o;13;55.0;Harder Benj;;14;54.75;14;54.75;1;-0.25;0.0

13h;Manser Bruno;*;;;;;;;;;55.0
-;;;Meier Remo;**;;;;;;;8.75
+;4;8.75;Raymann David;;15;54.5;1;10.0;-3;1.25;9.75
o;5;18.5;Rhyner Michael;**;4;57.25;4;18.75;-1;0.25;8.5
+;10;27.0;Bommer Christoph (1997);;17;54.0;4;28.5;-6;1.5;9.75
+;9;36.75;Plump Martin;*;18;53.75;9;36.75;0;0.0;9.75
o;9;46.5;Clopath Beat;***;4;57.25;6;47.25;-3;0.75;8.5

14a;Schiess Christian;;;;;;;;;;54.75
-;;;Zahner Stefan;;;;;;;;8.75
+;4;8.75;Frei Hanspeter (1999);;16;54.25;5;8.5;1;-0.25;10.0
o;4;18.75;Battaglia Ursin;**;9;56.0;8;17.75;4;-1.0;8.5
-;9;27.25;Giger Markus;;18;53.75;10;27.0;1;-0.25;9.0
o;11;36.25;Gartmann Mauro;;14;54.75;11;36.25;0;0.0;8.5
+;16;44.75;Schiesser Patrik (1998);;19;53.5;15;45.0;-1;0.25;10.0

14b;Bernold Michael (1999);;;;;;;;;;54.75
-;;;Büsser Remo;;;;;;;;8.75
+;4;8.75;Dobler Mathias (1997);;17;54.0;5;8.5;1;-0.25;10.0
-;4;18.75;Harder Benj;;14;54.75;4;18.75;0;0.0;8.75
+;8;27.5;Roth Peter (1998);;17;54.0;10;27.0;2;-0.5;10.0
o;6;37.5;Hersche Martin;**;4;57.25;7;37.25;1;-0.25;8.5
o;11;46.0;Gschwend Walter;*;10;55.75;11;46.0;0;0.0;8.75

14c;Schmid Dominik (1998);;;;;;;;;;54.75
-;;;Rüegg Fabian;;;;;;;;9.0
-;3;9.0;Harder Benj;;14;54.75;1;10.0;-2;1.0;8.75
o;8;17.75;Oertle Daniel;;12;55.25;7;18.0;-1;0.25;8.5
+;12;26.25;Mannhart Manuel (1999);;26;34.0;15;25.5;3;-0.75;10.0
+;11;36.25;Bischof Remo;;15;54.5;12;36.0;1;-0.25;9.75
-;11;46.0;Meier Remo;**;14;54.75;11;46.0;0;0.0;8.75

14d;Meier Remo;**;;;;;;;;;54.75
-;;;Manser Bruno;*;;;;;;;9.0
o;3;9.0;Oertig Dominik;*;6;56.75;3;9.0;0;0.0;8.5
o;9;17.5;Raschle Adrian;;12;55.25;6;18.25;-3;0.75;8.5
+;13;26.0;Schafflützel Patrick;;23;35.25;11;26.75;-2;0.75;10.0
+;12;36.0;Signer Patrick (1999);;18;53.75;9;36.75;-3;0.75;10.0
-;11;46.0;Schmid Dominik (1998);;14;54.75;11;46.0;0;0.0;8.75

14e;Harder Benj;;;;;;;;;;54.75
+;;;Bircher Luca (1999);;;;;;;;10.0
-;1;10.0;Schmid Dominik (1998);;14;54.75;3;9.0;2;-1.0;8.75
-;4;18.75;Bernold Michael (1999);;14;54.75;4;18.75;0;0.0;9.0
o;7;27.75;Sprecher Sandro;*;9;56.0;8;27.5;1;-0.25;8.75
o;10;36.5;Vollenweider Jeremy (1998);*;14;54.75;10;36.5;0;0.0;8.5
+;15;45.0;Egger Matthias (1997);;13;55.0;14;45.25;-1;0.25;9.75

14f;Bernold Beat;*;;;;;;;;;54.75
-;;;Rüegg Roman;*;;;;;;;8.75
+;4;8.75;Gerig Marcel;;12;55.25;1;10.0;-3;1.25;10.0
-;4;18.75;Schläpfer Markus;**;10;55.75;5;18.5;1;-0.25;8.75
-;8;27.5;Bösch Dominik;;17;54.0;8;27.5;0;0.0;8.75
+;11;36.25;Castelberg Andri;;17;54.0;9;36.75;-2;0.5;10.0
o;10;46.25;Hersche Martin;**;4;57.25;6;47.25;-4;1.0;8.5

14g;Elmer Daniel;*;;;;;;;;;54.75
-;;;Näf Bruno;*;;;;;;;8.75
+;4;8.75;Schönenberger Philipp;;13;55.0;1;10.0;-3;1.25;9.75
o;5;18.5;Clopath Beat;***;4;57.25;5;18.5;0;0.0;8.5
-;10;27.0;Baumgartner Alexander (1997);;12;55.25;10;27.0;0;0.0;9.0
o;12;36.0;Lozza Roman;;11;55.5;8;37.0;-4;1.0;8.75
+;16;44.75;Signer Patrick (1999);;18;53.75;14;45.25;-2;0.5;10.0

14h;Gartmann Mauro;;;;;;;;;;54.75
-;;;Thoma Christoph (1997);;;;;;;;9.0
-;3;9.0;Alder Christian (1997);;15;54.5;1;10.0;-2;1.0;8.75
+;8;17.75;Betschart Ueli;;18;53.75;6;18.25;-2;0.5;10.0
o;7;27.75;Bernold Edi;**;15;54.5;10;27.0;3;-0.75;8.5
+;11;36.25;Schiess Christian;;14;54.75;11;36.25;0;0.0;10.0
o;10;46.25;Bernold Christian;*;7;56.5;8;46.75;-2;0.5;8.5

14i;Vollenweider Jeremy (1998);*;;;;;;;;;54.75
o;;;Gmür Pirmin;*;;;;;;;8.5
+;5;8.5;Rutz Kaspar;;28;18.25;2;9.75;-3;1.25;9.75
+;6;18.25;Roth Ruedi (1997);;10;55.75;2;19.75;-4;1.5;9.75
o;6;28.0;Büsser Andy;***;4;57.25;5;28.25;-1;0.25;8.5
+;10;36.5;Harder Benj;;14;54.75;10;36.5;0;0.0;9.75
o;10;46.25;Zwyssig Raphael;***;7;56.5;8;46.75;-2;0.5;8.5

15a;Thoma Christoph (1997);;;;;;;;;;54.5
-;;;Gartmann Mauro;;;;;;;;8.75
+;4;8.75;Egger Ralf (1998);;17;54.0;1;10.0;-3;1.25;10.0
-;4;18.75;Scherrer Willi;;13;55.0;4;18.75;0;0.0;8.75
o;8;27.5;Jöhl Christian;*;11;55.5;8;27.5;0;0.0;8.5
o;12;36.0;Grenci Mauro (1999);;15;54.5;12;36.0;0;0.0;8.5
+;17;44.5;Stauffacher Martin (1998);;20;53.0;17;44.5;0;0.0;10.0

15b;Alder Christian (1997);;;;;;;;;;54.5
+;;;Nigg Jakob (1999);;;;;;;;10.0
-;1;10.0;Gartmann Mauro;;14;54.75;3;9.0;2;-1.0;8.75
o;4;18.75;Giger Urs;*;9;56.0;9;17.5;5;-1.25;8.5
+;9;27.25;Castelli Fabio (1999);;16;54.25;10;27.0;1;-0.25;10.0
o;7;37.25;Rüegg Fabian;;3;57.5;6;37.5;-1;0.25;8.5
-;12;45.75;Schnyder Christian;;15;54.5;12;45.75;0;0.0;8.75

15c;Bischof Remo;;;;;;;;;;54.5
-;;;Oertle Daniel;;;;;;;;9.0
-;3;9.0;Baumgartner Alexander (1997);;12;55.25;2;9.75;-1;0.75;8.75
+;8;17.75;Mathis Patrick;;12;55.25;10;17.25;2;-0.5;9.75
o;8;27.5;Gschwend Walter;*;10;55.75;8;27.5;0;0.0;8.5
o;12;36.0;Schmid Dominik (1998);;14;54.75;11;36.25;-1;0.25;8.5
+;17;44.5;Bircher Luca (1999);;21;52.75;18;44.25;1;-0.25;10.0

15d;Bäbler Sandro;**;;;;;;;;;54.5
-;;;Bleiker Reto;*;;;;;;;8.75
-;4;8.75;Huber Pascal;*;11;55.5;4;8.75;0;0.0;8.75
+;9;17.5;Horner Sämi;;15;54.5;5;18.5;-4;1.0;9.75
o;9;27.25;Hersche Daniel;;10;55.75;9;27.25;0;0.0;8.75
+;12;36.0;Dobler Mathias (1997);;17;54.0;8;37.0;-4;1.0;10.0
o;11;46.0;Vestner Bruno;*;10;55.75;12;45.75;1;-0.25;8.5

15e;Grenci Mauro (1999);;;;;;;;;;54.5
-;;;Schrepfer Chris;;;;;;;;8.75
-;4;8.75;Lieberherr Michael (1999);;11;55.5;2;9.75;-2;1.0;8.75
+;9;17.5;Schönenberger Björn;;24;34.75;9;17.5;0;0.0;10.0
o;8;27.5;Rüegg Roman;*;5;57.0;9;27.25;1;-0.25;8.5
+;12;36.0;Thoma Christoph (1997);;15;54.5;12;36.0;0;0.0;10.0
o;11;46.0;Truniger Manuel;;9;56.0;11;46.0;0;0.0;8.5

15f;Zingg Christoph;;;;;;;;;;54.5
-;;;Mathis Patrick;;;;;;;;8.75
+;4;8.75;Signer Patrick (1999);;18;53.75;5;8.5;1;-0.25;10.0
o;4;18.75;Wild Stefan;;16;54.25;4;18.75;0;0.0;8.5
+;9;27.25;Jecklin Alexsandro (1998);;17;54.0;10;27.0;1;-0.25;9.75
o;8;37.0;Landolt Reto;*;12;55.25;8;37.0;0;0.0;8.75
o;12;45.75;Schudel Simon;;12;55.25;13;45.5;1;-0.25;8.75

15g;Schnyder Christian;;;;;;;;;;54.5
o;;;Bösch Dominik;;;;;;;;8.5
-;5;8.5;Schönenberger Björn;;24;34.75;4;8.75;-1;0.25;8.75
+;10;17.25;Müller Loris (1999);;25;34.25;10;17.25;0;0.0;10.0
+;9;27.25;Hobi Ignaz;;16;54.25;8;27.5;-1;0.25;10.0
o;7;37.25;Wickli Beat;*;9;56.0;6;37.5;-1;0.25;8.5
