3705-2022-07-17_Bernisch-Kantonales_Schwingfest_Stockhorn-Arena-ST

1a;Walther Adrian;**;;;;;;;;;58.75
+;5;18.75;Rüegsegger Christian;*;9;55.75;6;18.5;1;-0.25;9.75
+;5;28.5;Collaud Romain;**;9;55.75;6;28.25;1;-0.25;9.75
+;4;38.25;Gäggeler Adrian;*;9;55.75;3;38.5;-1;0.25;10.0
-;2;48.25;Gnägi Florian;***;5;57.0;2;48.25;0;0.0;8.75

5j;Leuppi Samir;***;;;;;;;;;57.0
-;;;Staudenmann Fabian;***;;;;;;;8.75
+;4;8.75;Zaugg Lars;**;10;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Gnägi Damian;*;15;54.25;5;18.75;-1;0.25;10.0
-;5;28.5;Wenger Kilian;***;5;57.0;2;29.75;-3;1.25;8.75
+;8;37.25;Burger Matthieu;**;5;57.0;4;38.25;-4;1.0;9.75
+;6;47.0;Klossner Adrian;**;14;54.5;10;46.0;4;-1.0;10.0

6a;Iseli Marco;**;;;;;;;;;56.75
-;;;Schafroth Dario (2004);*;;;;;;;8.75
+;4;8.75;Thomet Adrian;**;16;54.0;5;8.5;1;-0.25;9.75
+;6;18.5;Tschumi Daniel (2005);;16;54.0;6;18.5;0;0.0;9.75
+;6;28.25;von Büren Stephan;**;12;55.0;6;28.25;0;0.0;10.0
+;4;38.25;Räbmatter Patrick;***;10;55.5;9;37.0;5;-1.25;10.0
o;2;48.25;Rohrer Ueli;**;5;57.0;5;47.25;3;-1.0;8.5

6b;Aeschbacher Matthias;***;;;;;;;;;56.75
+;;;Collaud Romain;**;;;;;;;9.75
-;2;9.75;Käser Remo;***;4;57.25;2;9.75;0;0.0;9.0
+;5;18.75;Weyermann Michael;**;24;35.25;7;18.25;2;-0.5;10.0
o;4;28.75;Rohrer Ueli;**;5;57.0;5;28.5;1;-0.25;8.5
+;8;37.25;Hehlen Nico;*;16;54.0;9;37.0;1;-0.25;9.75
+;6;47.0;Wittwer Jan;**;11;55.25;7;46.75;1;-0.25;9.75

6c;Moser Michael (2005);*;;;;;;;;;56.75
+;;;Wittwer Jan;**;;;;;;;10.0
+;1;10.0;Nyffeler Michael;;24;35.25;2;9.75;1;-0.25;9.75
o;2;19.75;Anderegg Simon;***;5;57.0;5;18.75;3;-1.0;8.5
+;6;28.25;Camenzind Ivan;*;15;54.25;8;27.5;2;-0.75;10.0
o;4;38.25;Kämpf Bernhard;***;7;56.5;9;37.0;5;-1.25;8.5
+;7;46.75;Wittwer Josias;**;14;54.5;10;46.0;3;-0.75;10.0

7a;Thöni Reto;*;;;;;;;;;56.5
+;;;Thomet Adrian;**;;;;;;;9.75
o;2;9.75;Odermatt Adrian;**;10;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Ramseier Thomas;*;16;54.0;7;18.25;0;0.0;9.75
o;7;28.0;Burger Matthieu;**;5;57.0;6;28.25;-1;0.25;8.5
+;11;36.5;Zbinden Adrian;*;22;52.5;15;35.5;4;-1.0;10.0
+;8;46.5;Studer Stefan;**;9;55.75;5;47.25;-3;0.75;10.0

7b;Fankhauser Erich;***;;;;;;;;;56.5
+;;;Luginbühl Hanspeter;**;;;;;;;9.75
-;2;9.75;Orlik Curdin;***;5;57.0;1;10.0;-1;0.25;8.75
+;6;18.5;Berger Lorenz;**;10;55.5;6;18.5;0;0.0;9.75
o;6;28.25;Käser Remo;***;4;57.25;6;28.25;0;0.0;8.5
+;10;36.75;Thöni Ivan;*;9;55.75;7;37.5;-3;0.75;9.75
+;8;46.5;Gehrig Philipp;**;12;55.0;8;46.5;0;0.0;10.0

7c;Kämpf Bernhard;***;;;;;;;;;56.5
+;;;Matthey Mickaël;**;;;;;;;9.75
+;2;9.75;Steffen Konrad;*;11;55.25;2;9.75;0;0.0;9.75
o;3;19.5;Studer Stefan;**;9;55.75;5;18.75;2;-0.75;8.5
-;7;28.0;Kropf Thomas;**;10;55.5;5;28.5;-2;0.5;9.0
+;9;37.0;Moser Michael (2005);*;6;56.75;4;38.25;-5;1.25;9.75
+;7;46.75;Burger Etienne (2004);*;14;54.5;10;46.0;3;-0.75;9.75

8a;Roschi Ruedi;**;;;;;;;;;56.25
+;;;Gäumann Stefan;**;;;;;;;9.75
o;2;9.75;Gnägi Florian;***;5;57.0;2;9.75;0;0.0;8.5
+;7;18.25;Ruch Dominik;;11;55.25;6;18.5;-1;0.25;9.75
+;7;28.0;Tschumi Lukas;*;17;53.75;8;27.5;1;-0.5;9.75
+;6;37.75;Steffen Konrad;*;11;55.25;5;38.0;-1;0.25;10.0
o;3;47.75;Staudenmann Fabian;***;2;57.75;3;47.75;0;0.0;8.5

9a;Schwander Severin;**;;;;;;;;;55.75
-;;;Anderegg Simon;***;;;;;;;8.75
+;4;8.75;Huber Melchior;*;16;54.0;2;9.75;-2;1.0;9.75
-;6;18.5;Aebersold Adrian;*;10;55.5;6;18.5;0;0.0;8.75
+;9;27.25;Schüpbach Janick;*;21;52.75;9;27.25;0;0.0;10.0
+;8;37.25;Gäumann Stefan;**;11;55.25;9;37.0;1;-0.25;10.0
o;5;47.25;Roth Philipp;***;9;55.75;10;46.0;5;-1.25;8.5

9b;Thöni Ivan;*;;;;;;;;;55.75
-;;;Studer Stefan;**;;;;;;;8.75
+;4;8.75;Zbinden Adrian;*;22;52.5;5;8.5;1;-0.25;10.0
+;5;18.75;Zaugg Lars;**;10;55.5;6;18.5;1;-0.25;10.0
o;4;28.75;Gäggeler Adrian;*;9;55.75;5;28.5;1;-0.25;8.75
o;7;37.5;Fankhauser Erich;***;7;56.5;10;36.75;3;-0.75;8.5
+;10;46.0;Steffen Konrad;*;11;55.25;8;46.5;-2;0.5;9.75

9c;Collaud Romain;**;;;;;;;;;55.75
o;;;Aeschbacher Matthias;***;;;;;;;8.5
+;5;8.5;Blaser Roman;*;12;55.0;2;9.75;-3;1.25;9.75
+;7;18.25;Gasser Dominik;**;29;27.0;6;18.5;-1;0.25;10.0
o;6;28.25;Orlik Curdin;***;5;57.0;5;28.5;-1;0.25;8.5
+;10;36.75;Boss Andreas;*;22;52.5;15;35.5;5;-1.25;10.0
-;7;46.75;Gäggeler Adrian;*;9;55.75;6;47.0;-1;0.25;9.0

9d;Gäggeler Adrian;*;;;;;;;;;55.75
+;;;von Büren Stephan;**;;;;;;;10.0
o;1;10.0;von Weissenfluh Kilian;***;4;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Kämpf Nicolas;;19;53.25;7;18.25;1;-0.25;10.0
+;5;28.5;Thöni Ivan;*;9;55.75;4;28.75;-1;0.25;10.0
o;3;38.5;Orlik Curdin;***;5;57.0;4;38.25;1;-0.25;8.5
-;6;47.0;Collaud Romain;**;9;55.75;7;46.75;1;-0.25;8.75

9e;Rüegsegger Christian;*;;;;;;;;;55.75
o;;;Zangger Dominik;*;;;;;;;8.5
+;5;8.5;Klossner Adrian;**;14;54.5;4;8.75;-1;0.25;10.0
o;6;18.5;Orlik Curdin;***;5;57.0;5;18.75;-1;0.25;8.5
+;10;27.0;Zingg Marc;;17;53.75;10;27.0;0;0.0;10.0
-;9;37.0;Inniger Thomas;***;15;54.25;14;35.75;5;-1.25;8.75
+;11;45.75;Huber Melchior;*;16;54.0;12;45.5;1;-0.25;10.0

9f;Roth Philipp;***;;;;;;;;;55.75
o;;;Ledermann Michael;**;;;;;;;8.5
+;5;8.5;Sommer Martin;*;20;53.0;2;9.75;-3;1.25;10.0
-;6;18.5;Röthlisberger Simon;*;16;54.0;7;18.25;1;-0.25;8.75
+;9;27.25;Joss David;*;16;54.0;9;27.25;0;0.0;10.0
-;8;37.25;Steffen Gustav;**;5;57.0;4;38.25;-4;1.0;8.75
+;10;46.0;Schwander Severin;**;9;55.75;5;47.25;-5;1.25;9.75

9g;Studer Stefan;**;;;;;;;;;55.75
-;;;Thöni Ivan;*;;;;;;;8.75
+;4;8.75;Grossen John;*;17;53.75;5;8.5;1;-0.25;10.0
+;5;18.75;Kämpf Bernhard;***;7;56.5;3;19.5;-2;0.75;9.75
-;5;28.5;Hehlen Nico;*;16;54.0;6;28.25;1;-0.25;8.75
+;8;37.25;Graf Simon;;10;55.5;9;37.0;1;-0.25;10.0
o;5;47.25;Thöni Reto;*;7;56.5;8;46.5;3;-0.75;8.5

10a;Berger Lorenz;**;;;;;;;;;55.5
-;;;Nägeli Leandro;*;;;;;;;8.75
+;4;8.75;Kämpf Nicolas;;19;53.25;2;9.75;-2;1.0;9.75
o;6;18.5;Fankhauser Erich;***;7;56.5;6;18.5;0;0.0;8.75
+;9;27.25;Mosimann Fabian;;14;54.5;8;27.5;-1;0.25;9.75
+;9;37.0;Röthlisberger Simon;*;16;54.0;10;36.75;1;-0.25;10.0
o;6;47.0;Käser Remo;***;4;57.25;5;47.25;-1;0.25;8.5

10b;Weyermann Florian;**;;;;;;;;;55.5
+;;;Steudler Kevin;*;;;;;;;10.0
o;1;10.0;Staudenmann Fabian;***;2;57.75;4;8.75;3;-1.25;8.5
o;6;18.5;Oberli Pascal;;16;54.0;5;18.75;-1;0.25;8.5
-;10;27.0;Wyss Kaspar;*;16;54.0;10;27.0;0;0.0;8.75
+;14;35.75;Gerber Sämi;;17;53.75;10;36.75;-4;1.0;10.0
+;11;45.75;Aellen Florian;*;15;54.25;11;45.75;0;0.0;9.75

10c;Beer Peter;*;;;;;;;;;55.5
o;;;Zaugg Lars;**;;;;;;;8.75
o;4;8.75;von Büren Stephan;**;12;55.0;5;8.5;1;-0.25;8.5
+;10;17.25;Berger Christian;;27;34.5;9;17.5;-1;0.25;10.0
+;9;27.25;Wüthrich Bruno;;24;35.25;11;26.75;2;-0.5;9.75
o;9;37.0;Sempach Thomas;***;5;57.0;8;37.25;-1;0.25;8.5
+;12;45.5;Joss David;*;16;54.0;12;45.5;0;0.0;10.0

10d;Graf Simon;;;;;;;;;;55.5
o;;;Tschumi Daniel (2005);;;;;;;;8.5
o;5;8.5;Gnägi Damian;*;15;54.25;3;9.0;-2;0.5;8.5
+;11;17.0;Kestenholz Christian;;27;34.5;10;17.25;-1;0.25;10.0
+;10;27.0;Weyermann Michael;**;24;35.25;11;26.75;1;-0.25;10.0
o;9;37.0;Studer Stefan;**;9;55.75;8;37.25;-1;0.25;8.5
+;12;45.5;Oberli Pascal;;16;54.0;12;45.5;0;0.0;10.0

10e;Räbmatter Patrick;***;;;;;;;;;55.5
o;;;Wenger Kilian;***;;;;;;;8.5
-;5;8.5;Kämpf Alexander;**;13;54.75;1;10.0;-4;1.5;8.75
+;10;17.25;Nägeli Leandro;*;16;54.0;5;18.75;-5;1.5;9.75
+;10;27.0;De Fusco Dario;*;19;53.25;8;27.5;-2;0.5;10.0
o;9;37.0;Iseli Marco;**;6;56.75;4;38.25;-5;1.25;8.5
+;12;45.5;Thomet Adrian;**;16;54.0;12;45.5;0;0.0;10.0

10f;Odermatt Adrian;**;;;;;;;;;55.5
o;;;Walther Adrian;**;;;;;;;8.5
+;5;8.5;Thöni Reto;*;7;56.5;2;9.75;-3;1.25;10.0
o;6;18.5;Gobeli Patrick;**;3;57.5;6;18.5;0;0.0;8.5
+;10;27.0;Berger René;**;19;53.25;9;27.25;-1;0.25;10.0
+;9;37.0;Kappeler Niklaus;*;17;53.75;10;36.75;1;-0.25;10.0
o;6;47.0;von Weissenfluh Kilian;***;4;57.25;5;47.25;-1;0.25;8.5

10g;Aebersold Adrian;*;;;;;;;;;55.5
+;;;Hehlen Nico;*;;;;;;;9.75
-;2;9.75;Luginbühl Hanspeter;**;26;34.75;5;8.5;3;-1.25;8.75
-;6;18.5;Schwander Severin;**;9;55.75;6;18.5;0;0.0;8.75
+;9;27.25;Keusen Reto;;16;54.0;10;27.0;1;-0.25;9.75
o;9;37.0;Anderegg Simon;***;5;57.0;8;37.25;-1;0.25;8.5
+;12;45.5;Kappeler Niklaus;*;17;53.75;13;45.25;1;-0.25;10.0

10h;Kropf Thomas;**;;;;;;;;;55.5
+;;;Grossen John;*;;;;;;;9.75
+;2;9.75;Gäumann Stefan;**;11;55.25;5;8.5;3;-1.25;10.0
-;2;19.75;Kämpf Bernhard;***;7;56.5;3;19.5;1;-0.25;8.75
+;5;28.5;Oberli Pascal;;16;54.0;5;28.5;0;0.0;10.0
o;3;38.5;Gnägi Florian;***;5;57.0;4;38.25;1;-0.25;8.5
o;6;47.0;Gobeli Patrick;**;3;57.5;4;47.5;-2;0.5;8.5

10i;Rychen Roger;***;;;;;;;;;55.5
o;;;Gnägi Florian;***;;;;;;;8.5
+;5;8.5;Gehrig Philipp;**;12;55.0;1;10.0;-4;1.5;9.75
o;7;18.25;von Büren Stephan;**;12;55.0;6;18.5;-1;0.25;8.5
o;11;26.75;Steffen Konrad;*;11;55.25;7;28.0;-4;1.25;8.75
+;15;35.5;Galli Sandro;*;13;54.75;12;36.25;-3;0.75;10.0
+;12;45.5;Wüthrich Jonas (2005);;14;54.5;10;46.0;-2;0.5;10.0

10j;Zaugg Lars;**;;;;;;;;;55.5
+;;;Beer Peter;*;;;;;;;10.0
o;1;10.0;Leuppi Samir;***;5;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Thöni Ivan;*;9;55.75;5;18.75;-1;0.25;8.75
+;9;27.25;Röthlisberger Florian;;16;54.0;10;27.0;1;-0.25;10.0
+;8;37.25;Zürcher Remo;*;16;54.0;10;36.75;2;-0.5;9.75
o;6;47.0;Wenger Kilian;***;5;57.0;6;47.0;0;0.0;8.5

11a;Hadorn Christian;*;;;;;;;;;55.25
+;;;Zbinden Adrian;*;;;;;;;9.75
-;2;9.75;Inniger Thomas;***;15;54.25;5;8.5;3;-1.25;8.75
-;6;18.5;Zürcher Remo;*;16;54.0;7;18.25;1;-0.25;8.75
o;9;27.25;Lüthi David;*;14;54.5;9;27.25;0;0.0;8.5
+;14;35.75;Grossen John;*;17;53.75;15;35.5;1;-0.25;9.75
+;12;45.5;Tschumi Daniel (2005);;16;54.0;12;45.5;0;0.0;9.75

11b;Steffen Valentin;*;;;;;;;;;55.25
-;;;Rutsch Remo (2004);*;;;;;;;8.75
+;4;8.75;Klopfenstein Jan;;12;55.0;2;9.75;-2;1.0;10.0
o;5;18.75;Rohrer Ueli;**;5;57.0;6;18.5;1;-0.25;8.5
+;9;27.25;Gnägi Damian;*;15;54.25;9;27.25;0;0.0;9.75
+;9;37.0;Leuenberger Michael;*;15;54.25;9;37.0;0;0.0;9.75
o;7;46.75;Burger Matthieu;**;5;57.0;6;47.0;-1;0.25;8.5

11c;Staub Severin;*;;;;;;;;;55.25
o;;;Kämpf Alexander;**;;;;;;;8.5
+;5;8.5;Schüpbach Janick;*;21;52.75;4;8.75;-1;0.25;10.0
-;6;18.5;Tschanz Richard;*;25;35.0;9;17.5;3;-1.0;9.0
-;8;27.5;Nägeli Leandro;*;16;54.0;9;27.25;1;-0.25;9.0
-;11;36.5;Nufer Sämi;*;19;53.25;13;36.0;2;-0.5;8.75
+;13;45.25;Gerber Sämi;;17;53.75;13;45.25;0;0.0;10.0

11d;Ruch Dominik;;;;;;;;;;55.25
-;;;Tschanz Richard;*;;;;;;;8.75
+;4;8.75;Boss Andreas;*;22;52.5;5;8.5;1;-0.25;9.75
o;6;18.5;Roschi Ruedi;**;8;56.25;7;18.25;1;-0.25;8.5
+;10;27.0;Nyffeler Michael;;24;35.25;11;26.75;1;-0.25;10.0
o;9;37.0;Gehrig Philipp;**;12;55.0;10;36.75;1;-0.25;8.5
+;12;45.5;Keusen Reto;;16;54.0;12;45.5;0;0.0;9.75

11e;Wittwer Jan;**;;;;;;;;;55.25
o;;;Moser Michael (2005);*;;;;;;;8.5
