5509-2022-05-01_Zuger_Kantonal_Schwingfest-ST

1a;Wicki Joel;***;;;;;;;;;58.5
o;9;37.0;Birchler Fabian;;12;55.25;9;37.0;0;0.0;8.5
+;13;45.5;von Ah Markus;;17;54.0;13;45.5;0;0.0;10.0

11d;Durrer Jonas;*;;;;;;;;;55.5
-;;;Hess Michael;*;;;;;;;8.75
+;4;8.75;Bieri Christian;**;18;53.75;4;8.75;0;0.0;10.0
o;5;18.75;Lang Sven;**;3;57.75;2;19.75;-3;1.0;8.5
+;10;27.25;Wyrsch Gabriel;;14;54.75;9;27.5;-1;0.25;9.75
+;9;37.0;von Rickenbach Pirmin;;11;55.5;9;37.0;0;0.0;10.0
o;7;47.0;Waser Dominik;**;4;57.25;6;47.25;-1;0.25;8.5

11e;Elmiger Andreas;*;;;;;;;;;55.5
-;;;Betschart Marcel;*;;;;;;;8.75
-;4;8.75;Schürpf Bruno;*;9;56.0;5;8.5;1;-0.25;8.75
+;10;17.5;Kiser Dominik (2006);;17;54.0;6;18.5;-4;1.0;10.0
o;9;27.5;von Ah Benji;***;11;55.5;11;27.0;2;-0.5;8.5
+;13;36.0;Gabriel Simon;;13;55.0;10;36.75;-3;0.75;9.75
+;12;45.75;Durrer Ueli;;16;54.25;12;45.75;0;0.0;9.75

11f;Ettlin Stefan;**;;;;;;;;;55.5
-;;;Fankhauser Marco;**;;;;;;;8.75
-;4;8.75;Hürlimann Mathias;*;9;56.0;2;9.75;-2;1.0;9.0
-;9;17.75;von Rickenbach Pirmin;;11;55.5;8;18.0;-1;0.25;9.0
-;12;26.75;Schwyzer Sebastian (2004);;17;54.0;9;27.5;-3;0.75;9.0
+;14;35.75;Zimmermann Gian (2004);;18;53.75;11;36.5;-3;0.75;9.75
+;13;45.5;Zimmermann Daniel;*;12;55.25;13;45.5;0;0.0;10.0

11g;Gut Koni;;;;;;;;;;55.5
-;;;Bühler Patrice;;;;;;;;8.75
+;4;8.75;Arnold Sebastian;;17;54.0;5;8.5;1;-0.25;10.0
o;5;18.75;Herger Matthias;**;1;58.5;6;18.5;1;-0.25;8.5
o;10;27.25;Kessler Joel;*;10;55.75;10;27.25;0;0.0;8.5
+;14;35.75;Rogenmoser Franco (2004);;23;52.5;15;35.5;1;-0.25;9.75
+;13;45.5;Lüscher Elias (2006);;17;54.0;13;45.5;0;0.0;10.0

11h;Gisler Silvan;;;;;;;;;;55.5
+;;;Süssmeier Kay (2006);;;;;;;;10.0
o;1;10.0;Riebli Leon;;10;55.75;2;9.75;1;-0.25;8.5
o;6;18.5;Riget Tobias;**;9;56.0;10;17.5;4;-1.0;8.5
-;11;27.0;Suter Lukas;;19;53.5;11;27.0;0;0.0;9.0
+;13;36.0;Kiser Dominik (2006);;17;54.0;15;35.5;2;-0.5;9.75
+;12;45.75;Von Euw Adi;;16;54.25;12;45.75;0;0.0;9.75

11i;Bucher André;;;;;;;;;;55.5
o;;;Heinzer Lukas (2004);;;;;;;;8.5
+;5;8.5;Ulrich Michael;;14;54.75;5;8.5;0;0.0;10.0
+;6;18.5;Arnold Marcel;*;16;54.25;11;17.25;5;-1.25;10.0
o;5;28.5;Lustenberger Josef;*;7;56.5;6;28.25;1;-0.25;8.5
+;9;37.0;Bissig Joris;;18;53.75;10;36.75;1;-0.25;10.0
o;7;47.0;Fankhauser Marco;**;5;57.0;7;47.0;0;0.0;8.5

11j;von Rickenbach Pirmin;;;;;;;;;;55.5
-;;;Scherrer Patrick;;;;;;;;9.0
-;3;9.0;Egli Matthias;;16;54.25;4;8.75;1;-0.25;9.0
-;8;18.0;Ettlin Stefan;**;11;55.5;9;17.75;1;-0.25;9.0
+;11;27.0;Rogenmoser Luca;;29;35.25;12;26.75;1;-0.25;10.0
o;9;37.0;Durrer Jonas;*;11;55.5;9;37.0;0;0.0;8.5
+;13;45.5;Klauser Nico;;17;54.0;13;45.5;0;0.0;10.0

11k;Scherrer Patrick;;;;;;;;;;55.5
-;;;von Rickenbach Pirmin;;;;;;;;9.0
+;3;9.0;Köpfli Mario (2005);;29;35.25;2;9.75;-1;0.75;10.0
+;4;19.0;Schilter Daniel;*;14;54.75;7;18.25;3;-0.75;9.75
o;4;28.75;Ulrich Marco;**;4;57.25;4;28.75;0;0.0;8.5
+;8;37.25;Epp Elias;;18;53.75;10;36.75;2;-0.5;9.75
o;7;47.0;Röthlin Pascal;;8;56.25;9;46.5;2;-0.5;8.5

11l;Bühler Patrice;;;;;;;;;;55.5
-;;;Gut Koni;;;;;;;;8.75
+;4;8.75;Koch Emanuel (2006);;23;52.5;1;10.0;-3;1.25;9.75
o;6;18.5;Gmür Pirmin;**;10;55.75;10;17.5;4;-1.0;8.5
+;11;27.0;Müller Dominik;;29;35.25;12;26.75;1;-0.25;10.0
o;9;37.0;Bissig Lukas;*;7;56.5;9;37.0;0;0.0;8.5
+;13;45.5;Wiss Ivan (2004);;18;53.75;14;45.25;1;-0.25;10.0

11m;Züger Benjamin (2004);;;;;;;;;;55.5
-;;;Marti Simon;;;;;;;;9.0
-;3;9.0;Gisler Noah;;15;54.5;2;9.75;-1;0.75;9.0
o;8;18.0;Wallimann Remo;*;26;36.0;11;17.25;3;-0.75;8.5
+;13;26.5;Christen Silvan;;29;35.25;12;26.75;-1;0.25;10.0
-;11;36.5;Zurfluh Michael;*;11;55.5;11;36.5;0;0.0;9.0
+;13;45.5;Elsener Manuel;;16;54.25;12;45.75;-1;0.25;10.0

11n;Wicki David;*;;;;;;;;;55.5
o;;;Bucher Thomas;*;;;;;;;8.5
-;5;8.5;Lagler Christian;*;10;55.75;4;8.75;-1;0.25;8.75
+;11;17.25;Müller Philipp (2005);;35;26.75;7;18.25;-4;1.0;10.0
+;10;27.25;Arnold Sebastian;;17;54.0;11;27.0;1;-0.25;9.75
o;9;37.0;Bucher Roland;*;6;56.75;8;37.25;-1;0.25;8.5
+;13;45.5;Suter Beat;*;14;54.75;11;46.0;-2;0.5;10.0

11o;Rohrer Ivan;**;;;;;;;;;55.5
-;;;Schuler Philipp;**;;;;;;;8.75
+;4;8.75;Bienz Romeo;*;28;35.5;5;8.5;1;-0.25;9.75
+;6;18.5;Meier Daniel;;14;54.75;5;18.75;-1;0.25;9.75
-;6;28.25;Hürlimann Mathias;*;9;56.0;4;28.75;-2;0.5;8.75
-;9;37.0;Amrhyn Jonas;;12;55.25;5;38.0;-4;1.0;8.75
+;12;45.75;Lüthi Manuel;*;17;54.0;13;45.5;1;-0.25;9.75

11p;Durrer Fabian;*;;;;;;;;;55.5
+;;;Achermann Christoph;*;;;;;;;9.75
o;2;9.75;Schuler Christian;***;6;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Hüsler Matthias;;19;53.5;5;18.75;-2;0.5;10.0
+;6;28.25;Bühlmann Daniel;;16;54.25;4;28.75;-2;0.5;10.0
-;4;38.25;Riebli Urs;*;4;57.25;3;38.5;-1;0.25;8.75
o;7;47.0;Lustenberger Marc;*;6;56.75;7;47.0;0;0.0;8.5

11q;Lüthy Ralph;;;;;;;;;;55.5
+;;;Zumbach Michael;;;;;;;;10.0
+;1;10.0;von Rickenbach Carlo (2005);;16;54.25;2;9.75;1;-0.25;10.0
o;1;20.0;Waser Dominik;**;4;57.25;5;18.75;4;-1.25;8.5
o;5;28.5;Baumann Roger;*;10;55.75;6;28.25;1;-0.25;8.5
+;9;37.0;Wyss Christian;*;12;55.25;10;36.75;1;-0.25;10.0
o;7;47.0;Lustenberger Josef;*;7;56.5;8;46.75;1;-0.25;8.5

11r;von Ah Benji;***;;;;;;;;;55.5
-;;;Müllestein Mike;***;;;;;;;8.75
o;4;8.75;Riebli Urs;*;4;57.25;1;10.0;-3;1.25;8.5
+;11;17.25;Wicki Patrick;;15;54.5;5;18.75;-6;1.5;9.75
+;11;27.0;Elmiger Andreas;*;11;55.5;9;27.5;-2;0.5;10.0
-;9;37.0;Riget Florian;**;6;56.75;5;38.0;-4;1.0;8.75
+;12;45.75;Achermann Christoph;*;12;55.25;8;46.75;-4;1.0;9.75

12a;Wyss Christian;*;;;;;;;;;55.25
+;;;Heinzer Ronny;*;;;;;;;9.75
o;2;9.75;Riget Florian;**;6;56.75;4;8.75;2;-1.0;8.5
o;7;18.25;Hurschler Tobias;;10;55.75;5;18.75;-2;0.5;8.5
+;12;26.75;Ulrich Ronny (2006);;29;35.25;12;26.75;0;0.0;10.0
o;10;36.75;Lüthy Ralph;;11;55.5;9;37.0;-1;0.25;8.5
+;14;45.25;Gwerder Andreas;*;18;53.75;14;45.25;0;0.0;10.0

12b;Achermann Christoph;*;;;;;;;;;55.25
o;;;Durrer Fabian;*;;;;;;;8.5
+;5;8.5;Zimmermann Daniel;*;12;55.25;5;8.5;0;0.0;10.0
+;6;18.5;Hürlimann Ueli;;12;55.25;3;19.5;-3;1.0;10.0
o;5;28.5;Nietlispach Pascal;**;7;56.5;6;28.25;1;-0.25;8.5
+;9;37.0;von Ah Markus;;17;54.0;9;37.0;0;0.0;9.75
o;8;46.75;von Ah Benji;***;11;55.5;12;45.75;4;-1.0;8.5

12c;Schnellmann Adrian (2004);;;;;;;;;;55.25
+;;;Hotz Basil;;;;;;;;9.75
+;2;9.75;Rogenmoser Ryan;;13;55.0;2;9.75;0;0.0;10.0
o;2;19.75;Schwyzer Samuel;*;8;56.25;5;18.75;3;-1.0;8.75
o;5;28.5;Riebli Urs;*;4;57.25;5;28.5;0;0.0;8.5
o;9;37.0;Marti Simon;;4;57.25;7;37.5;-2;0.5;8.5
+;13;45.5;Niederberger Sven (2006);;22;52.75;18;44.25;5;-1.25;9.75

12d;Hürlimann Ueli;;;;;;;;;;55.25
+;;;Betschart Roger;;;;;;;;9.75
+;2;9.75;Von Euw Adi;;16;54.25;1;10.0;-1;0.25;9.75
o;3;19.5;Achermann Christoph;*;12;55.25;6;18.5;3;-1.0;8.5
-;7;28.0;Binggeli Stefan;**;17;54.0;10;27.25;3;-0.75;9.0
+;9;37.0;Schilter Daniel;*;14;54.75;11;36.5;2;-0.5;9.75
o;8;46.75;Marti Simon;;4;57.25;6;47.25;-2;0.5;8.5

12e;Appert Silvan;;;;;;;;;;55.25
-;;;Felder Ivan (2004);;;;;;;;9.0
o;3;9.0;Gander Martin;;9;56.0;1;10.0;-2;1.0;8.75
+;9;17.75;Süssmeier Kay (2006);;18;53.75;12;17.0;3;-0.75;10.0
o;8;27.75;Suter Beat;*;14;54.75;10;27.25;2;-0.5;8.5
-;12;36.25;Schwyzer Sebastian (2004);;17;54.0;11;36.5;-1;0.25;9.0
+;14;45.25;Kempf Damian;;19;53.5;15;45.0;1;-0.25;10.0

12f;Wiget Ueli;;;;;;;;;;55.25
+;;;Waser David;;;;;;;;10.0
+;1;10.0;Christen Silvan;;29;35.25;2;9.75;1;-0.25;10.0
-;1;20.0;Zurfluh Roman;**;6;56.75;5;18.75;4;-1.25;9.0
-;3;29.0;Schwyzer Samuel;*;8;56.25;5;28.5;2;-0.5;9.0
o;5;38.0;Lang Sven;**;3;57.75;5;38.0;0;0.0;8.5
o;9;46.5;Nietlispach Pascal;**;7;56.5;8;46.75;-1;0.25;8.75

12g;Odermatt Andreas;**;;;;;;;;;55.25
-;;;Zurfluh Roman;**;;;;;;;8.75
o;4;8.75;Ulrich Marco;**;4;57.25;4;8.75;0;0.0;8.5
+;11;17.25;Reichmuth Marco (2005);;29;35.25;7;18.25;-4;1.0;10.0
+;10;27.25;Briker Raphael (2006);;14;54.75;7;28.0;-3;0.75;9.75
+;9;37.0;Lagler Christian;*;10;55.75;8;37.25;-1;0.25;9.75
o;8;46.75;Suppiger Werner;**;6;56.75;7;47.0;-1;0.25;8.5

12h;Amrhyn Jonas;;;;;;;;;;55.25
+;;;Baumann Marco;;;;;;;;9.75
+;2;9.75;Müller Philipp (2005);;35;26.75;2;9.75;0;0.0;9.75
o;3;19.5;Hürlimann Mathias;*;9;56.0;5;18.75;2;-0.75;8.5
+;7;28.0;Hess Michael;*;26;36.0;10;27.25;3;-0.75;10.0
-;5;38.0;Rohrer Ivan;**;11;55.5;9;37.0;4;-1.0;8.75
o;8;46.75;Bucher Roland;*;6;56.75;7;47.0;-1;0.25;8.5

12i;Zimmermann Daniel;*;;;;;;;;;55.25
o;;;Achermann Christoph;*;;;;;;;8.5
o;5;8.5;Arnold Stefan;**;7;56.5;5;8.5;0;0.0;8.5
-;12;17.0;Durrer Markus;;30;35.0;9;17.75;-3;0.75;8.75
+;16;25.75;Meier Andreas;;17;54.0;11;27.0;-5;1.25;9.75
+;15;35.5;Kaiser Sandro;;20;53.25;13;36.0;-2;0.5;10.0
+;13;45.5;Schwyzer Sebastian (2004);;17;54.0;13;45.5;0;0.0;9.75
o;12;55.25;Ettlin Stefan;**;11;55.5;11;55.5;-1;0.25;0.0

12j;Bühler Ramon;;;;;;;;;;55.25
o;;;Wyrsch Gabriel;;;;;;;;8.5
+;5;8.5;Meier Marcel;;29;35.25;5;8.5;0;0.0;9.75
-;7;18.25;Niederberger Markus;*;14;54.75;11;17.25;4;-1.0;8.75
+;11;27.0;Hurschler Adrian;;16;54.25;10;27.25;-1;0.25;9.75
+;10;36.75;Schuler Daniel;*;17;54.0;14;35.75;4;-1.0;10.0
o;8;46.75;Bissig Lukas;*;7;56.5;8;46.75;0;0.0;8.5

12k;Birchler Fabian;;;;;;;;;;55.25
+;;;Gabriel Simon;;;;;;;;9.75
+;2;9.75;Zimmermann Gian (2004);;18;53.75;2;9.75;0;0.0;9.75
-;3;19.5;Müller Luca (2004);*;8;56.25;5;18.75;2;-0.75;9.0
o;5;28.5;Kurmann Toni;*;8;56.25;7;28.0;2;-0.5;8.5
+;9;37.0;Vogel Laurin;;11;55.5;9;37.0;0;0.0;9.75
o;8;46.75;Riebli Urs;*;4;57.25;6;47.25;-2;0.5;8.5

13a;Langensand Stefan;*;;;;;;;;;55.0
+;;;Lustenberger Josef;*;;;;;;;9.75
o;2;9.75;Lang Sven;**;3;57.75;2;9.75;0;0.0;8.5
-;7;18.25;Wiss Ivan (2004);;18;53.75;5;18.75;-2;0.5;9.0
-;10;27.25;Gisler Noah;;15;54.5;10;27.25;0;0.0;8.75
-;13;36.0;Egli Matthias;;16;54.25;11;36.5;-2;0.5;9.0
+;15;45.0;Hodler Mathias;;18;53.75;14;45.25;-1;0.25;10.0

13b;Durrer Lukas;;;;;;;;;;55.0
+;;;Wittwer Roy;;;;;;;;9.75
+;2;9.75;Kauflin Andrin (2004);;23;52.5;1;10.0;-1;0.25;10.0
-;2;19.75;Schärli Reto;*;9;56.0;5;18.75;3;-1.0;9.0
-;4;28.75;Lustenberger Marc;*;6;56.75;5;28.5;1;-0.25;8.75
o;7;37.5;Elsener Marcel;*;14;54.75;11;36.5;4;-1.0;8.5
-;11;46.0;Andermatt Reto;;15;54.5;13;45.5;2;-0.5;9.0

13c;Gabriel Simon;;;;;;;;;;55.0
o;;;Birchler Fabian;;;;;;;;8.5
+;5;8.5;Arnold Matthias (2006);;33;34.25;4;8.75;-1;0.25;9.75
o;7;18.25;Schürpf Bruno;*;9;56.0;11;17.25;4;-1.0;8.5
+;12;26.75;Zumstein Patrick;;28;35.5;11;27.0;-1;0.25;10.0
o;10;36.75;Elmiger Andreas;*;11;55.5;13;36.0;3;-0.75;8.5
+;14;45.25;Barmettler Severin (2005);;19;53.5;15;45.0;1;-0.25;9.75

13d;Wittwer Roy;;;;;;;;;;55.0
o;;;Durrer Lukas;;;;;;;;8.5
+;5;8.5;Süssmeier Kay (2006);;18;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Hegner Ueli;*;16;54.25;11;17.25;4;-1.0;8.5
+;12;26.75;Durrer Markus;;30;35.0;13;26.5;1;-0.25;9.75
+;11;36.5;Arnold Marcel;*;16;54.25;13;36.0;2;-0.5;10.0
o;9;46.5;Bucher Christian;**;6;56.75;7;47.0;-2;0.5;8.5

13e;Rogenmoser Ryan;;;;;;;;;;55.0
+;;;Reichmuth Marco (2005);;;;;;;;9.75
o;2;9.75;Schnellmann Adrian (2004);;12;55.25;2;9.75;0;0.0;8.5
+;7;18.25;Würsch Lars;*;17;54.0;12;17.0;5;-1.25;9.75
o;7;28.0;Durrer Nando;*;8;56.25;6;28.25;-1;0.25;8.5
+;11;36.5;Furrer Jens;;18;53.75;10;36.75;-1;0.25;10.0
o;9;46.5;Arnold Stefan;**;7;56.5;9;46.5;0;0.0;8.5

13f;Hürlimann Marco;;;;;;;;;;55.0
+;;;Ulrich Michael;;;;;;;;9.75
+;2;9.75;Lüscher Elias (2006);;17;54.0;1;10.0;-1;0.25;9.75
o;3;19.5;Lustenberger Josef;*;7;56.5;6;18.5;3;-1.0;8.5
o;7;28.0;Schuler Philipp;**;9;56.0;9;27.5;2;-0.5;8.5
+;11;36.5;Hüsler Matthias;;19;53.5;12;36.25;1;-0.25;9.75
o;10;46.25;Wyrsch Marco;**;9;56.0;10;46.25;0;0.0;8.75

14a;Felder Ivan (2004);;;;;;;;;;54.75
-;;;Appert Silvan;;;;;;;;9.0
+;3;9.0;Klauser Nico;;17;54.0;1;10.0;-2;1.0;9.75
o;5;18.75;Riget Florian;**;6;56.75;6;18.5;1;-0.25;8.75
o;9;27.5;Gmür Pirmin;**;10;55.75;10;27.25;1;-0.25;8.75
-;12;36.25;Kempf Damian;;19;53.5;12;36.25;0;0.0;8.75
+;15;45.0;Bissig Joris;;18;53.75;14;45.25;-1;0.25;9.75

14b;Meier Daniel;;;;;;;;;;54.75
-;;;Vogel Laurin;;;;;;;;8.75
+;4;8.75;Kaiser Sandro;;20;53.25;4;8.75;0;0.0;10.0
o;5;18.75;Rohrer Ivan;**;11;55.5;6;18.5;1;-0.25;8.5
+;10;27.25;Bucher Sandro;;18;53.75;11;27.0;1;-0.25;10.0
-;8;37.25;Wüest David;;10;55.75;6;37.75;-2;0.5;9.0
o;10;46.25;Schwyzer Samuel;*;8;56.25;10;46.25;0;0.0;8.5

14c;Niederberger Markus;*;;;;;;;;;54.75
-;;;Kessler Joel;*;;;;;;;8.75
o;4;8.75;Waser Dominik;**;4;57.25;4;8.75;0;0.0;8.5
-;11;17.25;Bühler Ramon;;12;55.25;7;18.25;-4;1.0;8.75
+;15;26.0;Blättler Ronnie (2004);;29;35.25;12;26.75;-3;0.75;10.0
-;13;36.0;Keller Janik;*;14;54.75;12;36.25;-1;0.25;8.75
+;16;44.75;Bürgi Simon;;18;53.75;14;45.25;-2;0.5;10.0

14d;Schilter Daniel;*;;;;;;;;;54.75
+;;;Suter Beat;*;;;;;;;9.75
o;2;9.75;Bucher Christian;**;6;56.75;4;8.75;2;-1.0;8.5
o;7;18.25;Scherrer Patrick;;11;55.5;4;19.0;-3;0.75;8.5
+;12;26.75;Britschgi Marcel;;24;44.25;10;27.25;-2;0.5;9.75
o;11;36.5;Hürlimann Ueli;;12;55.25;9;37.0;-2;0.5;8.5
+;15;45.0;Hüsler Matthias;;19;53.5;15;45.0;0;0.0;9.75

14e;Briker Raphael (2006);;;;;;;;;;54.75
o;;;Zimmermann Gian (2004);;;;;;;;8.5
+;5;8.5;Horat Dominic;;29;35.25;5;8.5;0;0.0;9.75
+;7;18.25;Bürgi Simon;;18;53.75;6;18.5;-1;0.25;9.75
o;7;28.0;Odermatt Andreas;**;12;55.25;10;27.25;3;-0.75;8.5
+;11;36.5;Moos Christoph;*;16;54.25;13;36.0;2;-0.5;9.75
o;10;46.25;Kurmann Toni;*;8;56.25;10;46.25;0;0.0;8.5

14f;Suter Beat;*;;;;;;;;;54.75
o;;;Schilter Daniel;*;;;;;;;8.75
o;4;8.75;Elmer Daniel;*;18;53.75;5;8.5;1;-0.25;8.5
+;11;17.25;Eberli Jonas (2005);;29;35.25;7;18.25;-4;1.0;10.0
+;10;27.25;Appert Silvan;;12;55.25;8;27.75;-2;0.5;10.0
-;8;37.25;Kälin Roland;**;10;55.75;9;37.0;1;-0.25;8.75
o;11;46.0;Wicki David;*;11;55.5;13;45.5;2;-0.5;8.75

14g;Keller Janik;*;;;;;;;;;54.75
-;;;Zurfluh Michael;*;;;;;;;8.75
o;4;8.75;Scherrer Fabian;*;6;56.75;5;8.5;1;-0.25;8.75
+;10;17.5;Lüscher Elias (2006);;17;54.0;6;18.5;-4;1.0;9.75
-;10;27.25;Riebli Leon;;10;55.75;6;28.25;-4;1.0;9.0
-;12;36.25;Niederberger Markus;*;14;54.75;13;36.0;1;-0.25;8.75
+;15;45.0;Epp Elias;;18;53.75;14;45.25;-1;0.25;9.75

14h;Elsener Marcel;*;;;;;;;;;54.75
+;;;Schuler Daniel;*;;;;;;;9.75
o;2;9.75;Suppiger Werner;**;6;56.75;2;9.75;0;0.0;8.5
o;7;18.25;Vogel Laurin;;11;55.5;5;18.75;-2;0.5;8.5
+;12;26.75;Andermatt Reto;;15;54.5;10;27.25;-2;0.5;9.75
+;11;36.5;Durrer Lukas;;13;55.0;7;37.5;-4;1.0;9.75
o;10;46.25;Riget Tobias;**;9;56.0;10;46.25;0;0.0;8.5

14i;Wyrsch Gabriel;;;;;;;;;;54.75
+;;;Bühler Ramon;;;;;;;;10.0
-;1;10.0;Heinzer Lukas (2004);;15;54.5;1;10.0;0;0.0;9.0
o;4;19.0;Müllestein Mike;***;7;56.5;10;17.5;6;-1.5;8.5
o;9;27.5;Durrer Jonas;*;11;55.5;10;27.25;1;-0.25;8.5
-;13;36.0;Gasser Dominik 1;;19;53.5;13;36.0;0;0.0;8.75
+;16;44.75;Kathriner Andreas;;22;52.75;18;44.25;2;-0.5;10.0

14j;Ulrich Michael;;;;;;;;;;54.75
o;;;Hürlimann Marco;;;;;;;;8.5
o;5;8.5;Bucher André;;11;55.5;5;8.5;0;0.0;8.5
+;12;17.0;Langenegger Gerhard;;34;34.0;12;17.0;0;0.0;9.75
+;12;26.75;Gander Adrian;*;33;34.25;16;25.75;4;-1.0;9.75
+;11;36.5;Suter Lukas;;19;53.5;13;36.0;2;-0.5;9.75
o;10;46.25;Müller Luca (2004);*;8;56.25;10;46.25;0;0.0;8.5

15a;Wicki Patrick;;;;;;;;;;54.5
-;;;Kempf Damian;;;;;;;;8.75
+;4;8.75;Suter Nicola (2005);;23;52.5;5;8.5;1;-0.25;10.0
o;5;18.75;von Ah Benji;***;11;55.5;11;17.25;6;-1.5;8.5
+;10;27.25;Langenegger Ruedi;;23;52.5;11;27.0;1;-0.25;10.0
o;8;37.25;Hürlimann Mathias;*;9;56.0;7;37.5;-1;0.25;8.75
o;11;46.0;Schürpf Bruno;*;9;56.0;11;46.0;0;0.0;8.5

15b;Gisler Noah;;;;;;;;;;54.5
+;;;Wyttenbach Silvan (2005);;;;;;;;9.75
-;2;9.75;Züger Benjamin (2004);;11;55.5;3;9.0;1;-0.75;9.0
o;5;18.75;Bürgi Reto;*;5;57.0;6;18.5;1;-0.25;8.5
-;10;27.25;Langensand Stefan;*;13;55.0;10;27.25;0;0.0;8.75
+;13;36.0;Forster Christian;;21;53.0;14;35.75;1;-0.25;10.0
o;11;46.0;Schuler Philipp;**;9;56.0;11;46.0;0;0.0;8.5

15c;Heinzer Lukas (2004);;;;;;;;;;54.5
+;;;Bucher André;;;;;;;;10.0
-;1;10.0;Wyrsch Gabriel;;14;54.75;1;10.0;0;0.0;9.0
+;4;19.0;Troxler Jonas;*;16;54.25;7;18.25;3;-0.75;10.0
o;3;29.0;Reichmuth Roland;*;2;58.0;6;28.25;3;-0.75;8.5
o;7;37.5;Riebli Leon;;10;55.75;8;37.25;1;-0.25;8.5
o;11;46.0;Bucher Thomas;*;9;56.0;11;46.0;0;0.0;8.5

15d;Andermatt Reto;;;;;;;;;;54.5
o;;;Epp Elias;;;;;;;;8.5
o;5;8.5;Durrer Ueli;;16;54.25;4;8.75;-1;0.25;8.75
+;11;17.25;Wyttenbach Silvan (2005);;32;34.5;11;17.25;0;0.0;10.0
o;10;27.25;Elsener Marcel;*;14;54.75;12;26.75;2;-0.5;8.5
+;14;35.75;Niederberger Sven (2006);;22;52.75;14;35.75;0;0.0;9.75
-;13;45.5;Durrer Lukas;;13;55.0;11;46.0;-2;0.5;9.0

15e;Rogenmoser Linus;;;;;;;;;;54.5
o;;;Schuler Alex;;;;;;;;8.5
-;5;8.5;Schnellmann Alexander (2004);;17;54.0;4;8.75;-1;0.25;8.75
+;11;17.25;Arnold Matthias (2006);;33;34.25;11;17.25;0;0.0;9.75
-;11;27.0;Wallimann Remo;*;26;36.0;10;27.25;-1;0.25;8.75
+;14;35.75;Arnold Robin;;17;54.0;14;35.75;0;0.0;10.0
-;12;45.75;Binggeli Stefan;**;17;54.0;14;45.25;2;-0.5;8.75

16a;Bühlmann Daniel;;;;;;;;;;54.25
+;;;Britschgi Marcel;;;;;;;;10.0
+;1;10.0;Furrer Jens;;18;53.75;1;10.0;0;0.0;10.0
-;1;20.0;Moos Christoph;*;16;54.25;5;18.75;4;-1.25;8.75
o;4;28.75;Durrer Fabian;*;11;55.5;6;28.25;2;-0.5;8.5
o;8;37.25;Suter Samuel;;4;57.25;7;37.5;-1;0.25;8.5
o;12;45.75;Lussi Marco;**;11;55.5;12;45.75;0;0.0;8.5

16b;Egli Matthias;;;;;;;;;;54.25
-;;;Barmettler Severin (2005);;;;;;;;8.75
-;4;8.75;von Rickenbach Pirmin;;11;55.5;3;9.0;-1;0.25;9.0
-;9;17.75;Gander Adrian;*;33;34.25;12;17.0;3;-0.75;8.75
+;13;26.5;Staub Ivan;;31;34.75;14;26.25;1;-0.25;10.0
-;11;36.5;Langensand Stefan;*;13;55.0;13;36.0;2;-0.5;9.0
-;13;45.5;Beffa Mario;;16;54.25;13;45.5;0;0.0;8.75

16c;Ettlin Michael;;;;;;;;;;54.25
+;;;Wesemann Micha;;;;;;;;10.0
-;1;10.0;Schuler Alex;;8;56.25;1;10.0;0;0.0;8.75
o;5;18.75;Baumann Roger;*;10;55.75;6;18.5;1;-0.25;8.75
o;9;27.5;Müller Luca (2004);*;8;56.25;8;27.75;-1;0.25;8.5
o;13;36.0;Hurschler Adrian;;16;54.25;13;36.0;0;0.0;8.5
+;17;44.5;Suter Nicola (2005);;23;52.5;19;44.0;2;-0.5;9.75

16d;Moos Christoph;*;;;;;;;;;54.25
+;;;Würsch Lars;*;;;;;;;10.0
-;1;10.0;Riget Tobias;**;9;56.0;4;8.75;3;-1.25;8.75
-;5;18.75;Bühlmann Daniel;;16;54.25;1;20.0;-4;1.25;8.75
o;9;27.5;Suter Samuel;;4;57.25;9;27.5;0;0.0;8.5
o;13;36.0;Briker Raphael (2006);;14;54.75;11;36.5;-2;0.5;8.5
+;17;44.5;Furrer Jens;;18;53.75;14;45.25;-3;0.75;9.75

16e;Zumbach Michael;;;;;;;;;;54.25
o;;;Lüthy Ralph;;;;;;;;8.5
+;5;8.5;Gabriel Christian;;33;34.25;4;8.75;-1;0.25;9.75
+;7;18.25;Elsener Manuel;;16;54.25;5;18.75;-2;0.5;10.0
o;6;28.25;Herger Matthias;**;1;58.5;5;28.5;-1;0.25;8.5
-;10;36.75;Beffa Mario;;16;54.25;10;36.75;0;0.0;8.75
-;13;45.5;Bieri Christian;**;18;53.75;15;45.0;2;-0.5;8.75

16f;Troxler Jonas;*;;;;;;;;;54.25
+;;;Wallimann Remo;*;;;;;;;9.75
o;2;9.75;Bissig Lukas;*;7;56.5;1;10.0;-1;0.25;8.5
o;7;18.25;Heinzer Lukas (2004);;15;54.5;4;19.0;-3;0.75;8.5
+;12;26.75;Bürgi Simon;;18;53.75;11;27.0;-1;0.25;10.0
-;10;36.75;Schürpf Bruno;*;9;56.0;9;37.0;-1;0.25;9.0
o;12;45.75;Kessler Joel;*;10;55.75;12;45.75;0;0.0;8.5

16g;Hurschler Adrian;;;;;;;;;;54.25
