3489-2017-06-18_102_Basellandschaftliches_Kantonalschwingfest-ST

1a;Wicki Joel;**;;;;;;;;;58.75
14b;Schillig Willi;**;;;;;;;;;55.0
+;;;Mangold Michael;*;;;;;;;9.75
+;2;9.75;Reimann Marco;;10;56.0;3;9.0;1;-0.75;9.75
o;3;19.5;Alpiger Nick;***;3;58.0;6;18.5;3;-1.0;8.5
+;6;28.0;Mangold Martin;;16;54.5;3;28.75;-3;0.75;10.0
o;4;38.0;Schmid David;***;4;57.5;5;37.75;1;-0.25;8.5
o;9;46.5;Widmer Tobias;**;7;56.75;7;47.0;-2;0.5;8.5

14c;Nussbaumer Gabriel;;;;;;;;;;55.0
+;;;Müller Simon;;;;;;;;9.75
o;2;9.75;Winiger Fabian;**;11;55.75;4;8.75;2;-1.0;8.5
+;7;18.25;Gerber Valentin (1999);;28;44.0;6;18.5;-1;0.25;10.0
o;5;28.25;Stoll Simon;*;10;56.0;8;27.5;3;-0.75;8.5
+;9;36.75;Schmid Simon (2000);;13;55.25;8;37.0;-1;0.25;9.75
o;9;46.5;Arnold Kornel;*;7;56.75;7;47.0;-2;0.5;8.5

14d;Lisser Daniel;*;;;;;;;;;55.0
+;;;Anderegg David;*;;;;;;;10.0
o;1;10.0;Bieri Christoph;***;2;58.5;5;8.5;4;-1.5;8.5
+;6;18.5;Gisin Yanic;;14;55.0;6;18.5;0;0.0;9.75
+;5;28.25;Voggensperger Lars (2001);;11;55.75;4;28.5;-1;0.25;9.75
o;4;38.0;Alpiger Nick;***;3;58.0;3;38.25;-1;0.25;8.5
o;9;46.5;Voggensperger Janic;**;7;56.75;8;46.75;-1;0.25;8.5

14e;Gabathuler Björn;;;;;;;;;;55.0
o;;;Schwenkfelder Lukas;;;;;;;;8.5
+;5;8.5;Körkel Yannik;;21;53.25;5;8.5;0;0.0;10.0
o;6;18.5;Anderegg David;*;12;55.5;6;18.5;0;0.0;8.5
o;10;27.0;Bruder Adrian;;13;55.25;10;27.0;0;0.0;8.5
+;14;35.5;Huber Fabian;;22;53.0;13;35.75;-1;0.25;9.75
+;14;45.25;Steger Robert;;20;53.5;15;45.0;1;-0.25;9.75

14f;Gisin Yanic;;;;;;;;;;55.0
-;;;Graber Colin;;;;;;;;8.75
+;4;8.75;Loosli Adrian;;29;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Lisser Daniel;*;14;55.0;6;18.5;0;0.0;8.5
-;10;27.0;Vogel Remo (2001);;16;54.5;10;27.0;0;0.0;9.0
-;12;36.0;Körkel Yannik;;21;53.25;12;36.0;0;0.0;9.0
+;15;45.0;Müller Jan;;23;52.75;18;44.25;3;-0.75;10.0

15a;Schwenkfelder Lukas;;;;;;;;;;54.75
+;;;Gabathuler Björn;;;;;;;;9.75
-;2;9.75;Waldner Patrick;**;11;55.75;5;8.5;3;-1.25;8.75
-;6;18.5;Lisser Beat;;17;54.25;7;18.25;1;-0.25;8.75
+;9;27.25;Gerber Valentin (1999);;28;44.0;10;27.0;1;-0.25;9.75
-;8;37.0;Wicki Kevin;;27;44.75;12;36.0;4;-1.0;8.75
-;12;45.75;Bieli Andreas;;16;54.5;13;45.5;1;-0.25;9.0

15b;Aerni Lars;;;;;;;;;;54.75
-;;;Voggensperger Lars (2001);;;;;;;;8.75
+;4;8.75;Bader Stefan (1999);;30;34.5;5;8.5;1;-0.25;10.0
o;5;18.75;Odermatt Adrian (2001);*;20;53.5;9;17.5;4;-1.25;8.5
-;9;27.25;Widmer Dino;;12;55.5;10;27.0;1;-0.25;8.75
+;12;36.0;Fehlmann Silvan;;18;54.0;14;35.5;2;-0.5;10.0
-;11;46.0;Probst Gabriel;**;18;54.0;14;45.25;3;-0.75;8.75

15c;Krebs Clemens;;;;;;;;;;54.75
+;;;Müller Jan;;;;;;;;10.0
o;1;10.0;Döbeli Andreas;*;6;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Schmutz Simon (2000);;25;45.5;6;18.5;0;0.0;9.75
-;5;28.25;Scherer Niklaus;;13;55.25;5;28.25;0;0.0;9.0
o;7;37.25;Hauri Urs;**;12;55.5;7;37.25;0;0.0;8.5
-;12;45.75;Vogel Remo (2001);;16;54.5;12;45.75;0;0.0;9.0

16a;Bader Fabian (2000);;;;;;;;;;54.5
+;;;Steger Robert;;;;;;;;10.0
o;1;10.0;Brand Christian;**;10;56.0;3;9.0;2;-1.0;8.75
+;5;18.75;Brügger Joël (2000);;12;55.5;6;18.5;1;-0.25;10.0
o;3;28.75;Voggensperger Janic;**;7;56.75;5;28.25;2;-0.5;8.5
o;7;37.25;Arnold Kornel;*;7;56.75;8;37.0;1;-0.25;8.5
-;12;45.75;Läuchli Janik (2000);;17;54.25;13;45.5;1;-0.25;8.75

16b;Abt Robin;;;;;;;;;;54.5
+;;;Loosli Adrian;;;;;;;;10.0
-;1;10.0;Büttler Gian (2000);;16;54.5;2;9.75;1;-0.25;9.0
o;4;19.0;Kropf Marcel;**;7;56.75;7;18.25;3;-0.75;8.5
o;8;27.5;Reimann Marco;;10;56.0;8;27.5;0;0.0;8.5
+;12;36.0;Müller Jan;;23;52.75;13;35.75;1;-0.25;9.75
o;12;45.75;Küng Marco;*;25;45.5;13;45.5;1;-0.25;8.75

16c;Bieli Andreas;;;;;;;;;;54.5
+;;;Hitz Florian (1999);;;;;;;;10.0
o;1;10.0;Hügli Kaj;*;7;56.75;4;8.75;3;-1.25;8.5
o;6;18.5;Wicki Kevin;;27;44.75;5;18.75;-1;0.25;8.5
+;10;27.0;Schopferer Cyril (2000);;13;55.25;10;27.0;0;0.0;10.0
o;8;37.0;Döbeli Andreas;*;6;57.0;8;37.0;0;0.0;8.5
-;13;45.5;Schwenkfelder Lukas;;15;54.75;12;45.75;-1;0.25;9.0

16d;Büttler Gian (2000);;;;;;;;;;54.5
+;;;Jakober Daniel;;;;;;;;9.75
-;2;9.75;Abt Robin;;16;54.5;1;10.0;-1;0.25;9.0
o;5;18.75;Döbeli Andreas;*;6;57.0;7;18.25;2;-0.5;8.5
o;9;27.25;Bearda Samuel;;17;54.25;9;27.25;0;0.0;8.75
+;12;36.0;Müller Simon;;16;54.5;13;35.75;1;-0.25;10.0
o;11;46.0;Waldner Patrick;**;11;55.75;12;45.75;1;-0.25;8.5

16e;Müller Simon;;;;;;;;;;54.5
o;;;Nussbaumer Gabriel;;;;;;;;8.5
+;5;8.5;Buser Thomas;;32;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Waldner Patrick;**;11;55.75;10;17.25;4;-1.25;8.75
o;9;27.25;Burtschi Michael;;17;54.25;9;27.25;0;0.0;8.5
o;13;35.75;Büttler Gian (2000);;16;54.5;12;36.0;-1;0.25;8.75
+;17;44.5;Eggenschwiler Fabian;;24;52.5;19;44.0;2;-0.5;10.0

16f;Lang Martin;**;;;;;;;;;54.5
-;;;Nyffeler Christoph;*;;;;;;;8.75
-;4;8.75;Schmid Simon (2000);;13;55.25;2;9.75;-2;1.0;9.0
o;8;17.75;Imobersteg Matthias (2001);;12;55.5;5;18.75;-3;1.0;8.5
+;13;26.25;Studer Remo;;18;54.0;10;27.0;-3;0.75;9.75
+;12;36.0;Binggeli Silvan (1999);;18;54.0;10;36.5;-2;0.5;10.0
o;11;46.0;Stoll Simon;*;10;56.0;10;46.25;-1;0.25;8.5

16g;Jusufi Azret;;;;;;;;;;54.5
-;;;Kohler Adrian;;;;;;;;8.75
+;4;8.75;Studer Remo;;18;54.0;4;8.75;0;0.0;10.0
-;5;18.75;Scherrer Johann;**;14;55.0;9;17.5;4;-1.25;8.75
+;8;27.5;Büttler Adrian (1999);;11;55.75;8;27.5;0;0.0;9.75
o;7;37.25;Erb Roger;**;5;57.25;6;37.5;-1;0.25;8.5
-;12;45.75;Wicki Kevin;;27;44.75;16;44.75;4;-1.0;8.75

16h;Vogel Remo (2001);;;;;;;;;;54.5
+;;;Fehlmann Silvan;;;;;;;;9.75
-;2;9.75;Schopferer Cyril (2000);;13;55.25;2;9.75;0;0.0;8.75
o;6;18.5;Brun Samuel (1999);**;8;56.5;7;18.25;1;-0.25;8.5
-;10;27.0;Gisin Yanic;;14;55.0;10;27.0;0;0.0;8.75
+;13;35.75;Nussbaumer Dominik;;18;54.0;14;35.5;1;-0.25;10.0
-;12;45.75;Krebs Clemens;;15;54.75;12;45.75;0;0.0;8.75

16i;Mangold Martin;;;;;;;;;;54.5
+;;;Probst Stefan;;;;;;;;10.0
-;1;10.0;Odermatt Adrian (2001);*;20;53.5;4;8.75;3;-1.25;8.75
+;5;18.75;Regenass Reto (2000);;29;35.25;7;18.25;2;-0.5;10.0
o;3;28.75;Schillig Willi;**;14;55.0;6;28.0;3;-0.75;8.5
o;7;37.25;Portmann Roger;;13;55.25;8;37.0;1;-0.25;8.75
o;11;46.0;Kohler Adrian;;12;55.5;12;45.75;1;-0.25;8.5

17a;Lisser Beat;;;;;;;;;;54.25
o;;;Bearda Samuel;;;;;;;;8.5
+;5;8.5;Seiser Kay-Steve (2000);;35;17.0;5;8.5;0;0.0;9.75
-;7;18.25;Schwenkfelder Lukas;;15;54.75;6;18.5;-1;0.25;8.75
-;10;27.0;Hitz Florian (1999);;17;54.25;11;26.75;1;-0.25;9.0
+;12;36.0;Steger Robert;;20;53.5;10;36.5;-2;0.5;9.75
o;12;45.75;Schmid Samuel;**;11;55.75;11;46.0;-1;0.25;8.5

17b;Reinhard Pirmin (2001);;;;;;;;;;54.25
o;;;Nussbaumer Dominik;;;;;;;;8.5
-;5;8.5;Widmer Dino;;12;55.5;5;8.5;0;0.0;8.75
+;10;17.25;Buser Thomas;;32;34.0;11;17.0;1;-0.25;10.0
o;9;27.25;Scherrer Johann;**;14;55.0;13;26.25;4;-1.0;8.75
o;12;36.0;Studer Remo;;18;54.0;14;35.5;2;-0.5;8.5
+;17;44.5;Probst Stefan;;22;53.0;18;44.25;1;-0.25;9.75

17c;Bearda Samuel;;;;;;;;;;54.25
+;;;Lisser Beat;;;;;;;;10.0
-;1;10.0;Scherrer Johann;**;14;55.0;4;8.75;3;-1.25;8.75
o;5;18.75;Scherer Niklaus;;13;55.25;7;18.25;2;-0.5;8.5
+;9;27.25;Büttler Gian (2000);;16;54.5;9;27.25;0;0.0;9.75
-;8;37.0;Burkhardt Roy;;18;54.0;9;36.75;1;-0.25;8.75
o;12;45.75;Schmid Simon (2000);;13;55.25;13;45.5;1;-0.25;8.5

17d;Läuchli Janik (2000);;;;;;;;;;54.25
+;;;Seiser Kay-Steve (2000);;;;;;;;10.0
o;1;10.0;Voggensperger Janic;**;7;56.75;5;8.5;4;-1.5;8.5
o;6;18.5;Burkhardt Roy;;18;54.0;6;18.5;0;0.0;8.5
+;10;27.0;Grieder Nonda (1999);;13;55.25;10;27.0;0;0.0;10.0
o;8;37.0;Voggensperger Lars (2001);;11;55.75;8;37.0;0;0.0;8.5
-;13;45.5;Bader Fabian (2000);;16;54.5;12;45.75;-1;0.25;8.75

17e;Rohrbach Jérôme (2000);;;;;;;;;;54.25
o;;;Widmer Cyrill;;;;;;;;8.5
o;5;8.5;Steger Robert;;20;53.5;5;8.5;0;0.0;8.5
-;11;17.0;Burren Patrick (1999);;19;53.75;8;17.75;-3;0.75;8.75
+;15;25.75;Jakober Daniel;;31;34.25;15;25.75;0;0.0;10.0
o;13;35.75;Widmer David;;12;55.5;12;36.0;-1;0.25;8.5
+;18;44.25;Schaub Adrian (1999);;23;52.75;19;44.0;1;-0.25;10.0

17f;Hitz Florian (1999);;;;;;;;;;54.25
o;;;Bieli Andreas;;;;;;;;8.5
o;5;8.5;Voggensperger Lars (2001);;11;55.75;4;8.75;-1;0.25;8.5
+;11;17.0;Eggenschwiler Fabian;;24;52.5;11;17.0;0;0.0;9.75
-;11;26.75;Lisser Beat;;17;54.25;10;27.0;-1;0.25;9.0
+;13;35.75;Schaub Adrian (1999);;23;52.75;14;35.5;1;-0.25;9.75
-;13;45.5;Nyffeler Christoph;*;20;53.5;16;44.75;3;-0.75;8.75

17g;Burtschi Michael;;;;;;;;;;54.25
+;;;Lazic Serge (2000);;;;;;;;10.0
o;1;10.0;Arnold Kornel;*;7;56.75;4;8.75;3;-1.25;8.75
o;5;18.75;Siegrist Christian;;7;56.75;5;18.75;0;0.0;8.5
+;9;27.25;Müller Simon;;16;54.5;9;27.25;0;0.0;10.0
o;7;37.25;Mangold Michael;*;8;56.5;9;36.75;2;-0.5;8.5
o;12;45.75;Reimann Marco;;10;56.0;11;46.0;-1;0.25;8.5

18a;Studer Remo;;;;;;;;;;54.0
-;;;Widmer David;;;;;;;;8.75
o;4;8.75;Jusufi Azret;;16;54.5;4;8.75;0;0.0;8.5
+;10;17.25;Brugger Jonas (1999);;35;17.0;11;17.0;1;-0.25;9.75
o;10;27.0;Lang Martin;**;16;54.5;13;26.25;3;-0.75;8.5
+;14;35.5;Reinhard Pirmin (2001);;17;54.25;12;36.0;-2;0.5;10.0
o;13;45.5;Bruder Adrian;;13;55.25;13;45.5;0;0.0;8.5

18b;Binggeli Silvan (1999);;;;;;;;;;54.0
o;;;Streich Sascha (2001);;;;;;;;8.5
+;5;8.5;Zagarella Davide (1999);;31;34.25;4;8.75;-1;0.25;9.75
o;7;18.25;Gerber Andrj (2000);;8;56.5;7;18.25;0;0.0;8.5
+;11;26.75;Lazic Marco (2000);;23;52.75;11;26.75;0;0.0;9.75
o;10;36.5;Lang Martin;**;16;54.5;12;36.0;2;-0.5;8.5
-;15;45.0;Meyer Lukas (2001);;19;53.75;15;45.0;0;0.0;9.0

18c;Bachmann Sämi (2001);;;;;;;;;;54.0
+;;;Schaub Adrian (1999);;;;;;;;10.0
o;1;10.0;Schaffner Samuel;**;11;55.75;4;8.75;3;-1.25;8.5
o;6;18.5;Schmid Simon (2000);;13;55.25;6;18.5;0;0.0;8.5
+;10;27.0;Brügger Joël (2000);;12;55.5;10;27.0;0;0.0;10.0
o;8;37.0;Widmer Tobias;**;7;56.75;8;37.0;0;0.0;8.5
o;13;45.5;Widmer Dino;;12;55.5;12;45.75;-1;0.25;8.5

18d;Tschan Raphael (2000);;;;;;;;;;54.0
+;;;Herrmann Adrian (2000);;;;;;;;10.0
o;1;10.0;Grossmann Andreas;;13;55.25;1;10.0;0;0.0;8.5
o;6;18.5;Steger Robert;;20;53.5;7;18.25;1;-0.25;8.5
+;10;27.0;Nussbaumer Dominik;;18;54.0;10;27.0;0;0.0;10.0
o;8;37.0;Anderegg David;*;12;55.5;9;36.75;1;-0.25;8.5
o;13;45.5;Brügger Joël (2000);;12;55.5;13;45.5;0;0.0;8.5

18e;Probst Gabriel;**;;;;;;;;;54.0
o;;;Leuthard Reto;*;;;;;;;8.5
-;5;8.5;Räber Lukas;;11;55.75;2;9.75;-3;1.25;8.75
o;10;17.25;Voggensperger Lars (2001);;11;55.75;6;18.5;-4;1.25;8.5
+;15;25.75;Meier Fabian;;18;54.0;10;27.0;-5;1.25;9.75
+;14;35.5;Bieri Florian (2001);;20;53.5;10;36.5;-4;1.0;9.75
-;14;45.25;Aerni Lars;;15;54.75;11;46.0;-3;0.75;8.75

18f;Fehlmann Silvan;;;;;;;;;;54.0
o;;;Vogel Remo (2001);;;;;;;;8.5
o;5;8.5;Meyer Lukas (2001);;19;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Loosli Adrian;;29;35.25;11;17.0;0;0.0;10.0
o;10;27.0;Kohler Adrian;;12;55.5;9;27.25;-1;0.25;8.5
o;14;35.5;Aerni Lars;;15;54.75;12;36.0;-2;0.5;8.5
+;19;44.0;Peterhans Alex (2000);;28;44.0;19;44.0;0;0.0;10.0

18g;Streich Sascha (2001);;;;;;;;;;54.0
+;;;Binggeli Silvan (1999);;;;;;;;9.75
+;2;9.75;Bieri Florian (2001);;20;53.5;2;9.75;0;0.0;10.0
o;2;19.75;Schmid Samuel;**;11;55.75;6;18.5;4;-1.25;8.5
o;5;28.25;Graber Colin;;11;55.75;8;27.5;3;-0.75;8.5
o;9;36.75;Räber Lukas;;11;55.75;7;37.25;-2;0.5;8.5
-;14;45.25;Burren Patrick (1999);;19;53.75;15;45.0;1;-0.25;8.75

18h;Meier Fabian;;;;;;;;;;54.0
o;;;Brügger Joël (2000);;;;;;;;8.5
o;5;8.5;Dobler Florian;;33;27.0;5;8.5;0;0.0;8.5
+;11;17.0;Herrmann Adrian (2000);;32;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Probst Gabriel;**;18;54.0;15;25.75;5;-1.25;8.5
+;14;35.5;Gerber Valentin (1999);;28;44.0;14;35.5;0;0.0;10.0
o;13;45.5;Schopferer Cyril (2000);;13;55.25;13;45.5;0;0.0;8.5

18i;Burkhardt Roy;;;;;;;;;;54.0
+;;;Brugger Jonas (1999);;;;;;;;10.0
o;1;10.0;Schmid Samuel;**;11;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Läuchli Janik (2000);;17;54.25;6;18.5;0;0.0;9.75
o;5;28.25;Kropf Marcel;**;7;56.75;5;28.25;0;0.0;8.5
-;9;36.75;Bearda Samuel;;17;54.25;8;37.0;-1;0.25;8.75
o;13;45.5;Widmer David;;12;55.5;12;45.75;-1;0.25;8.5

18j;Nussbaumer Dominik;;;;;;;;;;54.0
+;;;Reinhard Pirmin (2001);;;;;;;;10.0
o;1;10.0;Imobersteg Matthias (2001);;12;55.5;3;9.0;2;-1.0;8.5
o;6;18.5;Bieri Florian (2001);;20;53.5;7;18.25;1;-0.25;8.5
o;10;27.0;Tschan Raphael (2000);;18;54.0;10;27.0;0;0.0;8.5
o;14;35.5;Vogel Remo (2001);;16;54.5;13;35.75;-1;0.25;8.5
+;19;44.0;Lazic Marco (2000);;23;52.75;19;44.0;0;0.0;10.0

19a;Burren Patrick (1999);;;;;;;;;;53.75
-;;;Weber Roger;;;;;;;;9.0
-;3;9.0;Probst Stefan;;22;53.0;5;8.5;2;-0.5;8.75
-;8;17.75;Rohrbach Jérôme (2000);;17;54.25;11;17.0;3;-0.75;8.75
+;12;26.5;Bader Stefan (1999);;30;34.5;14;26.0;2;-0.5;9.75
o;11;36.25;Büttler Adrian (1999);;11;55.75;12;36.0;1;-0.25;8.75
-;15;45.0;Streich Sascha (2001);;18;54.0;14;45.25;-1;0.25;8.75

19b;Meyer Lukas (2001);;;;;;;;;;53.75
o;;;Schopferer Cyril (2000);;;;;;;;8.5
+;5;8.5;Fehlmann Silvan;;18;54.0;5;8.5;0;0.0;9.75
o;7;18.25;Fritz Christian;;13;55.25;6;18.5;-1;0.25;8.5
+;11;26.75;Schaub Adrian (1999);;23;52.75;10;27.0;-1;0.25;9.75
o;10;36.5;Scherrer Johann;**;14;55.0;12;36.0;2;-0.5;8.5
-;15;45.0;Binggeli Silvan (1999);;18;54.0;15;45.0;0;0.0;8.75

20a;Nyffeler Christoph;*;;;;;;;;;53.5
-;;;Lang Martin;**;;;;;;;8.75
-;4;8.75;Siegrist Christian;;7;56.75;1;10.0;-3;1.25;8.75
-;9;17.5;Büttler Adrian (1999);;11;55.75;5;18.75;-4;1.25;8.75
+;13;26.25;Probst Stefan;;22;53.0;9;27.25;-4;1.0;9.75
-;12;36.0;Graber Colin;;11;55.75;7;37.25;-5;1.25;8.75
-;16;44.75;Hitz Florian (1999);;17;54.25;13;45.5;-3;0.75;8.75

20b;Odermatt Adrian (2001);*;;;;;;;;;53.5
-;;;Küng Marco;*;;;;;;;8.75
-;4;8.75;Mangold Martin;;16;54.5;1;10.0;-3;1.25;8.75
+;9;17.5;Aerni Lars;;15;54.75;5;18.75;-4;1.25;10.0
o;8;27.5;Siegrist Christian;;7;56.75;4;28.5;-4;1.0;8.5
-;12;36.0;Scherer Niklaus;;13;55.25;7;37.25;-5;1.25;9.0
o;15;45.0;Büttler Adrian (1999);;11;55.75;11;46.0;-4;1.0;8.5

20c;Bieri Florian (2001);;;;;;;;;;53.5
+;;;Hermann Lukas 1 (2000);;;;;;;;9.75
o;2;9.75;Streich Sascha (2001);;18;54.0;2;9.75;0;0.0;8.5
+;7;18.25;Nussbaumer Dominik;;18;54.0;6;18.5;-1;0.25;9.75
o;6;28.0;Widmer Cyrill;;7;56.75;5;28.25;-1;0.25;8.5
o;10;36.5;Probst Gabriel;**;18;54.0;14;35.5;4;-1.0;8.5
o;15;45.0;Grieder Nonda (1999);;13;55.25;14;45.25;-1;0.25;8.5

20d;Steger Robert;;;;;;;;;;53.5
o;;;Bader Fabian (2000);;;;;;;;8.5
+;5;8.5;Rohrbach Jérôme (2000);;17;54.25;5;8.5;0;0.0;9.75
+;7;18.25;Tschan Raphael (2000);;18;54.0;6;18.5;-1;0.25;9.75
o;6;28.0;Brun Samuel (1999);**;8;56.5;5;28.25;-1;0.25;8.5
o;10;36.5;Lisser Beat;;17;54.25;12;36.0;2;-0.5;8.5
o;15;45.0;Gabathuler Björn;;14;55.0;14;45.25;-1;0.25;8.5

21a;Imobersteg Tobias;;;;;;;;;;53.25
o;;;Räber Lukas;;;;;;;;8.5
o;5;8.5;Reimann Marco;;10;56.0;3;9.0;-2;0.5;8.5
+;11;17.0;Lazic Serge (2000);;32;34.0;11;17.0;0;0.0;10.0
-;10;27.0;Müller Jan;;23;52.75;11;26.75;1;-0.25;9.0
o;12;36.0;Widmer Dino;;12;55.5;13;35.75;1;-0.25;8.5
-;17;44.5;Huber Fabian;;22;53.0;18;44.25;1;-0.25;8.75

21b;Körkel Yannik;;;;;;;;;;53.25
o;;;Gerber Andrj (2000);;;;;;;;8.5
o;5;8.5;Gabathuler Björn;;14;55.0;5;8.5;0;0.0;8.5
-;11;17.0;Bader Stefan (1999);;30;34.5;11;17.0;0;0.0;9.0
+;14;26.0;Zagarella Davide (1999);;31;34.25;15;25.75;1;-0.25;10.0
-;12;36.0;Gisin Yanic;;14;55.0;12;36.0;0;0.0;8.75
o;16;44.75;Fritz Christian;;13;55.25;14;45.25;-2;0.5;8.5

22a;Huber Fabian;;;;;;;;;;53.0
-;;;Zagarella Davide (1999);;;;;;;;8.75
o;4;8.75;Schmutz Simon (2000);;25;45.5;1;10.0;-3;1.25;8.5
o;10;17.25;Probst Stefan;;22;53.0;10;17.25;0;0.0;8.5
+;15;25.75;Dettwiler Patrick;;29;35.25;11;26.75;-4;1.0;10.0
o;13;35.75;Gabathuler Björn;;14;55.0;14;35.5;1;-0.25;8.5
-;18;44.25;Imobersteg Tobias;;21;53.25;17;44.5;-1;0.25;8.75

22b;Probst Stefan;;;;;;;;;;53.0
o;;;Mangold Martin;;;;;;;;8.5
-;5;8.5;Burren Patrick (1999);;19;53.75;3;9.0;-2;0.5;8.75
+;10;17.25;Huber Fabian;;22;53.0;10;17.25;0;0.0;10.0
o;9;27.25;Nyffeler Christoph;*;20;53.5;13;26.25;4;-1.0;8.5
o;13;35.75;Grossmann Andreas;;13;55.25;9;36.75;-4;1.0;8.5
o;18;44.25;Reinhard Pirmin (2001);;17;54.25;17;44.5;-1;0.25;8.75

23a;Schaub Adrian (1999);;;;;;;;;;52.75
o;;;Bachmann Sämi (2001);;;;;;;;8.5
+;5;8.5;Lazic Serge (2000);;32;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Widmer Tobias;**;7;56.75;6;18.5;0;0.0;8.5
o;10;27.0;Meyer Lukas (2001);;19;53.75;11;26.75;1;-0.25;8.5
o;14;35.5;Hitz Florian (1999);;17;54.25;13;35.75;-1;0.25;8.5
o;19;44.0;Rohrbach Jérôme (2000);;17;54.25;18;44.25;-1;0.25;8.75

23b;Müller Jan;;;;;;;;;;52.75
o;;;Krebs Clemens;;;;;;;;8.5
o;5;8.5;Büttler Adrian (1999);;11;55.75;4;8.75;-1;0.25;8.5
+;11;17.0;Zagarella Davide (1999);;31;34.25;10;17.25;-1;0.25;9.75
-;11;26.75;Imobersteg Tobias;;21;53.25;10;27.0;-1;0.25;9.0
o;13;35.75;Abt Robin;;16;54.5;12;36.0;-1;0.25;8.5
o;18;44.25;Gisin Yanic;;14;55.0;15;45.0;-3;0.75;8.5

23c;Lazic Marco (2000);;;;;;;;;;52.75
o;;;Fritz Christian;;;;;;;;8.5
+;5;8.5;Herrmann Adrian (2000);;32;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Widmer Cyrill;;7;56.75;7;18.25;0;0.0;8.5
o;11;26.75;Binggeli Silvan (1999);;18;54.0;11;26.75;0;0.0;8.75
o;14;35.5;Brügger Joël (2000);;12;55.5;14;35.5;0;0.0;8.5
o;19;44.0;Nussbaumer Dominik;;18;54.0;19;44.0;0;0.0;8.75

24a;Eggenschwiler Fabian;;;;;;;;;;52.5
o;;;Grossmann Andreas;;;;;;;;8.5
o;5;8.5;Bruder Adrian;;13;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Hitz Florian (1999);;17;54.25;11;17.0;0;0.0;8.5
+;16;25.5;Lazic Serge (2000);;32;34.0;16;25.5;0;0.0;10.0
o;14;35.5;Grieder Nonda (1999);;13;55.25;14;35.5;0;0.0;8.5
o;19;44.0;Müller Simon;;16;54.5;17;44.5;-2;0.5;8.5

25a;Schmutz Simon (2000);;;;;;;;;;45.5
+;;;Huber Fabian;;;;;;;;10.0
o;1;10.0;Fankhauser Marco;**;9;56.25;3;9.0;2;-1.0;8.5
o;6;18.5;Krebs Clemens;;15;54.75;6;18.5;0;0.0;8.5
+;10;27.0;Regenass Reto (2000);;29;35.25;11;26.75;1;-0.25;10.0
o;8;37.0;Brand Christian;**;10;56.0;7;37.25;-1;0.25;8.5

25b;Küng Marco;*;;;;;;;;;45.5
-;;;Odermatt Adrian (2001);*;;;;;;;8.75
+;4;8.75;Grieder Nonda (1999);;13;55.25;1;10.0;-3;1.25;10.0
o;5;18.75;Arnold Kornel;*;7;56.75;5;18.75;0;0.0;8.5
o;9;27.25;Gerber Andrj (2000);;8;56.5;5;28.25;-4;1.0;8.5
+;13;35.75;Abt Robin;;16;54.5;12;36.0;-1;0.25;9.75

26a;Bader Andreas;**;;;;;;;;;45.25
o;;;Schmid David;***;;;;;;;8.5
+;5;8.5;Gerber Andrj (2000);;8;56.5;2;9.75;-3;1.25;10.0
+;6;18.5;Schmid Samuel;**;11;55.75;6;18.5;0;0.0;9.75
o;5;28.25;Fankhauser Marco;**;9;56.25;7;27.75;2;-0.5;8.5
o;9;36.75;Döbeli Andreas;*;6;57.0;8;37.0;-1;0.25;8.5

27a;Wicki Kevin;;;;;;;;;;44.75
-;;;Henzer Andreas;**;;;;;;;8.75
+;4;8.75;Bieli Andreas;;16;54.5;1;10.0;-3;1.25;10.0
o;5;18.75;Winiger Fabian;**;11;55.75;5;18.75;0;0.0;8.5
-;9;27.25;Schwenkfelder Lukas;;15;54.75;9;27.25;0;0.0;8.75
-;12;36.0;Jusufi Azret;;16;54.5;7;37.25;-5;1.25;8.75

28a;Peterhans Alex (2000);;;;;;;;;;44.0
o;;;Regenass Reto (2000);;;;;;;;8.5
o;5;8.5;Dettwiler Patrick;;29;35.25;5;8.5;0;0.0;8.5
+;11;17.0;Buser Thomas;;32;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Schopferer Cyril (2000);;13;55.25;10;27.0;0;0.0;8.5
o;14;35.5;Fehlmann Silvan;;18;54.0;14;35.5;0;0.0;8.5

28b;Gerber Valentin (1999);;;;;;;;;;44.0
+;;;Buser Thomas;;;;;;;;10.0
o;1;10.0;Erb Roger;**;5;57.25;5;8.5;4;-1.5;8.5
o;6;18.5;Nussbaumer Gabriel;;14;55.0;7;18.25;1;-0.25;8.5
o;10;27.0;Schwenkfelder Lukas;;15;54.75;9;27.25;-1;0.25;8.5
o;14;35.5;Meier Fabian;;18;54.0;14;35.5;0;0.0;8.5

29a;Dettwiler Patrick;;;;;;;;;;35.25
o;;;Siegrist Christian;;;;;;;;8.5
