2964-2015-05-10_111_Ob-_und_Nidwaldener_Kantonalschwingfest-ST

1a;Bernhard Lukas;*;;;;;;;;;57.5
+;5;8.5;Rohrer Markus I;;23;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Schärli Peter;*;8;55.75;11;17.0;4;-1.25;8.5
o;10;26.75;Scheuber Stefan;;13;54.5;11;26.5;1;-0.25;8.5

24c;Berchtold Lukas;;;;;;;;;;35.25
+;;;Di Pietro Loris (1998);;;;;;;;9.75
o;2;9.75;von Deschwanden Patrick;;14;54.25;1;10.0;-1;0.25;8.5
o;7;18.25;Habegger Jürg;*;11;55.0;11;17.0;4;-1.25;8.5
o;10;26.75;Widmer David;;9;55.5;9;27.0;-1;0.25;8.5

24d;Müller Patrick (1999);;;;;;;;;;35.25
o;;;Ettlin Michael (1998);;;;;;;;8.5
o;5;8.5;Kempf David (1998);;24;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Ming Hannes (1998);;15;54.0;10;17.25;-1;0.25;8.5
+;15;25.5;Ziegler Moritz (1998);;25;34.5;13;26.0;-2;0.5;9.75

24e;Waser Michael (1997);;;;;;;;;;35.25
o;;;Durrer Nando (1999);;;;;;;;8.5
+;5;8.5;Bissig Roman (1998);;23;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Scherer Adrian;*;10;55.25;11;17.0;4;-1.25;8.5
o;10;26.75;Kaufmann Jens;;17;53.5;10;26.75;0;0.0;8.5

24f;Mettler Simon (1998);;;;;;;;;;35.25
o;;;Rohrer Bärti;;;;;;;;8.5
+;5;8.5;Burch Matte (1999);;26;34.25;4;8.75;-1;0.25;9.75
o;7;18.25;Della Torre Simon (1997);;10;55.25;5;18.75;-2;0.5;8.5
o;10;26.75;Vonlaufen Lukas;*;11;55.0;12;26.25;2;-0.5;8.5

24g;Käppeli Adriano (1997);;;;;;;;;;35.25
+;;;Durrer Lukas (1999);;;;;;;;9.75
o;2;9.75;Langenstein Philip;;6;56.25;4;8.75;2;-1.0;8.5
o;7;18.25;Durrer Nando (1999);;15;54.0;7;18.25;0;0.0;8.5
o;10;26.75;Hess Tobias (1998);;20;52.75;14;25.75;4;-1.0;8.5

24h;Tresch Jan (1999);;;;;;;;;;35.25
o;;;Gander Michael (1998);;;;;;;;8.5
+;5;8.5;Wallimann Adrian (1997);;27;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Vogler Daniel;*;14;54.25;11;17.0;4;-1.25;8.5
o;10;26.75;Waser Raphael (1998);;11;55.0;10;26.75;0;0.0;8.5

24i;Hurschler Mauri (1999);;;;;;;;;;35.25
+;;;Wallimann Adrian (1997);;;;;;;;9.75
o;2;9.75;Herger Fabian;;10;55.25;4;8.75;2;-1.0;8.5
o;7;18.25;Zumstein Marcel;;13;54.5;6;18.5;-1;0.25;8.5
o;10;26.75;Bättig Martin;*;12;54.75;14;25.75;4;-1.0;8.5

24j;Durrer Markus (1999);;;;;;;;;;35.25
+;;;Bissig Roman (1998);;;;;;;;9.75
o;2;9.75;von Flüe Michael (1997);;15;54.0;1;10.0;-1;0.25;8.5
o;7;18.25;Hess Christian;;14;54.25;10;17.25;3;-1.0;8.5
o;10;26.75;Arnold Severin;*;13;54.5;12;26.25;2;-0.5;8.5

24k;Langenegger Simon;;;;;;;;;;35.25
o;;;Albert Thomas;;;;;;;;8.5
o;5;8.5;Spichtig Clemens;;19;53.0;5;8.5;0;0.0;8.5
+;11;17.0;Abächerli Fabio (1998);;25;34.5;9;17.5;-2;0.5;9.75
o;10;26.75;Halter Markus;*;13;54.5;12;26.25;2;-0.5;8.5

24l;Walker Marcel (1997);;;;;;;;;;35.25
o;;;Della Torre Simon (1997);;;;;;;;8.5
+;5;8.5;Rohrer Stefan (1999);;26;34.25;4;8.75;-1;0.25;9.75
o;7;18.25;Imfeld Beat;;9;55.5;6;18.5;-1;0.25;8.5
o;10;26.75;Amstutz Niklaus;*;13;54.5;14;25.75;4;-1.0;8.5

24m;Baumgartner Silvan (1999);;;;;;;;;;35.25
o;;;Durrer Ueli (1997);;;;;;;;8.5
+;5;8.5;Ziegler Moritz (1998);;25;34.5;5;8.5;0;0.0;9.75
o;7;18.25;Gasser Dominik 1;;16;53.75;9;17.5;2;-0.75;8.5
o;10;26.75;Schärli Pius;*;12;54.75;13;26.0;3;-0.75;8.5

24n;Rohrer Henry;;;;;;;;;;35.25
+;;;Waser Raphael (1998);;;;;;;;9.75
o;2;9.75;Zurfluh Michael (1999);;10;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Fankhauser Hans-Jakob;*;9;55.5;11;17.0;4;-1.25;8.5
o;10;26.75;Andermatt Adrian;;15;54.0;9;27.0;-1;0.25;8.5

25a;Abächerli Fabio (1998);;;;;;;;;;34.5
-;;;Rohrer Stefan (1999);;;;;;;;9.0
o;3;9.0;Arnold Lukas (1998);;17;53.5;4;8.75;1;-0.25;8.5
o;9;17.5;Langenegger Simon;;24;35.25;11;17.0;2;-0.5;8.5
o;13;26.0;Burch Jonas (1999);;23;35.5;14;25.75;1;-0.25;8.5

25b;Ziegler Moritz (1998);;;;;;;;;;34.5
o;;;Wagner Severin (1998);;;;;;;;8.5
o;5;8.5;Baumgartner Silvan (1999);;24;35.25;5;8.5;0;0.0;8.5
-;11;17.0;von Wyl Simon (1999);;14;54.25;11;17.0;0;0.0;9.0
o;13;26.0;Müller Patrick (1999);;24;35.25;15;25.5;2;-0.5;8.5

25c;De Col Rico (1999);;;;;;;;;;34.5
-;;;Burch Matte (1999);;;;;;;;8.75
-;4;8.75;Rohrer Michael (1997);;26;34.25;5;8.5;1;-0.25;8.75
o;9;17.5;Käslin Ueli (1999);;23;35.5;11;17.0;2;-0.5;8.5
o;13;26.0;Della Torre Reto;;23;35.5;9;27.0;-4;1.0;8.5

25d;Waser Andrin (1999);;;;;;;;;;34.5
-;;;Durrer Noldi;;;;;;;;8.75
o;4;8.75;Niederberger Markus;;5;56.5;5;8.5;1;-0.25;8.5
-;10;17.25;Kempf Tobias (1999);;13;54.5;10;17.25;0;0.0;8.75
o;13;26.0;Rohrer Marco (1999);;19;53.0;13;26.0;0;0.0;8.5

26a;Bucher René (1998);;;;;;;;;;34.25
-;;;Gasser Dominik 2 (1998);;;;;;;;8.75
o;4;8.75;Arnold Pius (1997);;23;35.5;5;8.5;1;-0.25;8.5
o;10;17.25;Bissig Roman (1998);;23;35.5;11;17.0;1;-0.25;8.5
o;14;25.75;Herger Andreas (1997);;15;54.0;9;27.0;-5;1.25;8.5

26b;Burch Matte (1999);;;;;;;;;;34.25
-;;;De Col Rico (1999);;;;;;;;8.75
o;4;8.75;Mettler Simon (1998);;24;35.25;5;8.5;1;-0.25;8.5
o;10;17.25;Bissig Markus (1999);;23;35.5;10;17.25;0;0.0;8.5
o;14;25.75;Durrer Noldi;;23;35.5;14;25.75;0;0.0;8.5

26c;Rohrer Michael (1997);;;;;;;;;;34.25
o;;;Enz Simon;;;;;;;;8.5
-;5;8.5;De Col Rico (1999);;25;34.5;4;8.75;-1;0.25;8.75
o;10;17.25;Zberg Leo (1997);;13;54.5;10;17.25;0;0.0;8.5
o;14;25.75;Wyrsch Hansi (1999);;17;53.5;10;26.75;-4;1.0;8.5

26d;Kaiser Sandro (1998);;;;;;;;;;34.25
-;;;Herger André (1997);;;;;;;;8.75
o;4;8.75;Büchi Christian;;11;55.0;5;8.5;1;-0.25;8.5
o;10;17.25;Wagner Severin (1998);;12;54.75;7;18.25;-3;1.0;8.5
o;14;25.75;Rohrer Bärti;;14;54.25;8;27.25;-6;1.5;8.5

26e;Mignola Lorenzo (1997);;;;;;;;;;34.25
-;;;Odermatt Leon (1999);;;;;;;;8.75
o;4;8.75;Würsch Lars;;10;55.25;4;8.75;0;0.0;8.5
o;10;17.25;Gasser René;;17;53.5;7;18.25;-3;1.0;8.5
o;14;25.75;Rohrer Ueli (1999);;16;53.75;10;26.75;-4;1.0;8.5

26f;Durrer Lukas (1999);;;;;;;;;;34.25
o;;;Käppeli Adriano (1997);;;;;;;;8.75
o;4;8.75;Gisler Patrick (1997);;23;35.5;5;8.5;1;-0.25;8.5
o;10;17.25;Gisler Tim (1999);;19;53.0;9;17.5;-1;0.25;8.5
o;14;25.75;von Wyl Simon (1999);;14;54.25;13;26.0;-1;0.25;8.5

26g;Rohrer Stefan (1999);;;;;;;;;;34.25
-;;;Abächerli Fabio (1998);;;;;;;;8.75
o;4;8.75;Walker Marcel (1997);;24;35.25;5;8.5;1;-0.25;8.5
o;10;17.25;Herger André (1997);;19;53.0;10;17.25;0;0.0;8.5
o;14;25.75;Gasser Dominik 2 (1998);;23;35.5;14;25.75;0;0.0;8.5

26h;Odermatt Leon (1999);;;;;;;;;;34.25
-;;;Mignola Lorenzo (1997);;;;;;;;8.75
o;4;8.75;Durrer Robin;;8;55.75;4;8.75;0;0.0;8.5
o;10;17.25;Bacher Peter;;17;53.5;11;17.0;1;-0.25;8.5
o;14;25.75;Rohrer Markus I;;23;35.5;14;25.75;0;0.0;8.5

27a;Wallimann Adrian (1997);;;;;;;;;;34.0
o;;;Hurschler Mauri (1999);;;;;;;;8.5
o;5;8.5;Tresch Jan (1999);;24;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Enz Remo (1998);;23;35.5;11;17.0;0;0.0;8.5
o;15;25.5;Di Pietro Loris (1998);;23;35.5;15;25.5;0;0.0;8.5

28a;Fessler Linus;;;;;;;;;;27.25
-;;;Indergand Michael;;;;;;;;8.75
+;4;8.75;Zberg Leo (1997);;13;54.5;4;8.75;0;0.0;10.0
o;5;18.75;Rohrer Beat;*;8;55.75;6;18.5;1;-0.25;8.5

29a;Gisler Simon (1997);;;;;;;;;;10.0
+;;;Bacher Peter;;;;;;;;10.0

30a;Wyrsch David;*;;;;;;;;;8.5
o;;;Amgarten Roman;*;;;;;;;8.5

