4345-2019-05-26_115_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Rohrer Marco;**;;;;;;;;;111.25
-;9;37.0;Waser Raphael;;14;54.75;7;37.5;-2;0.5;9.0
+;12;46.0;Ming Christian;*;15;54.5;12;46.0;0;0.0;10.0

9d;Schöpfer Ronny;*;;;;;;;;;56.0
+;;;Würsch Lars;*;;;;;;;9.75
+;3;9.75;Rohrer Ivan;**;9;56.0;2;10.0;-1;0.25;10.0
+;3;19.75;Röthlin Pascal;;14;54.75;2;20.0;-1;0.25;10.0
o;2;29.75;Bernhard Lukas;*;5;57.0;2;29.75;0;0.0;8.75
o;3;38.5;Ettlin Stefan;**;5;57.0;4;38.25;1;-0.25;8.5
-;8;47.0;Waser Adrian;;8;56.25;7;47.25;-1;0.25;9.0

9e;Fässler Dominic;**;;;;;;;;;56.0
+;;;Burch Jonas;*;;;;;;;10.0
+;2;10.0;Zumstein Patrick;;11;55.5;2;10.0;0;0.0;10.0
o;2;20.0;Mathis Marcel;***;4;57.25;7;18.5;5;-1.5;8.5
-;7;28.5;Odermatt Andreas;*;8;56.25;7;28.5;0;0.0;8.75
+;8;37.25;Odermatt Lars (2002);;18;53.75;10;36.75;2;-0.5;10.0
-;7;47.25;Gasser Peter;*;11;55.5;9;46.75;2;-0.5;8.75

9f;Kempf Elias;**;;;;;;;;;56.0
+;;;Fellmann Roman;**;;;;;;;9.75
-;3;9.75;Langensand Stefan;*;11;55.5;3;9.75;0;0.0;8.75
+;7;18.5;Waser Adrian;;8;56.25;5;19.0;-2;0.5;10.0
-;7;28.5;Hurschler Thomas;**;4;57.25;7;28.5;0;0.0;8.75
+;8;37.25;Lüthy Ralph;;11;55.5;8;37.25;0;0.0;10.0
-;7;47.25;Muff Armin;**;9;56.0;7;47.25;0;0.0;8.75

9g;Bättig Martin;*;;;;;;;;;56.0
-;;;Gwerder Carlo;**;;;;;;;9.0
o;4;9.0;Elsener Marcel;*;12;55.25;3;9.75;-1;0.75;8.5
+;11;17.5;Mehr Lars (2002);;12;55.25;6;18.75;-5;1.25;10.0
+;11;27.5;Berchtold Kilian (2001);;12;55.25;8;28.25;-3;0.75;9.75
+;8;37.25;Zumstein Patrick;;11;55.5;9;37.0;1;-0.25;9.75
-;8;47.0;Odermatt Andreas;*;8;56.25;7;47.25;-1;0.25;9.0

9h;Blaser Theo;*;;;;;;;;;56.0
-;;;Gassmann Michael;*;;;;;;;8.75
o;5;8.75;Gasser Stefan;**;10;55.75;5;8.75;0;0.0;8.5
+;12;17.25;Rohrer Marco;;1;111.25;1;37.5;-11;20.25;9.75
+;13;27.0;Albert Stefan (2002);;14;54.75;9;28.0;-4;1.0;10.0
-;9;37.0;Langensand Stefan;*;11;55.5;7;37.5;-2;0.5;9.0
+;12;46.0;Röthlin Pascal;;14;54.75;12;46.0;0;0.0;10.0

9i;Rohrer Ivan;**;;;;;;;;;56.0
+;;;Grab Daniel;**;;;;;;;10.0
o;2;10.0;Schöpfer Ronny;*;9;56.0;3;9.75;1;-0.25;8.5
+;7;18.5;Roner Remo (2002);;19;53.5;4;19.5;-3;1.0;10.0
-;7;28.5;Nötzli Reto;***;8;56.25;11;27.5;4;-1.0;8.75
-;8;37.25;Schuler Alex;;10;55.75;5;38.0;-3;0.75;9.0
+;11;46.25;Eﬃnger Peter;;13;55.0;10;46.5;-1;0.25;9.75

9j;Muff Armin;**;;;;;;;;;56.0
-;;;Rohrer Marco;**;;;;;;;8.75
+;5;8.75;Würsch Lars;*;25;35.25;6;8.5;1;-0.25;10.0
-;6;18.75;Schuler Alex;;10;55.75;4;19.5;-2;0.75;8.75
+;11;27.5;Röthlin Pascal;;14;54.75;6;28.75;-5;1.25;9.75
+;8;37.25;von Flüe Michael;;18;53.75;10;36.75;2;-0.5;10.0
-;7;47.25;Kempf Elias;**;9;56.0;7;47.25;0;0.0;8.75

10a;Schuler Alex;;;;;;;;;;55.75
+;;;Christen Thomas;;;;;;;;9.75
