4345-2019-05-26_115_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Rohrer Marco;**;;;;;;;;;111.25
24f;Kathriner Andreas (2003);;;;;;;;;;35.5
o;;;Widmer Simon;;;;;;;;8.5
o;6;8.5;Gander Benjamin;;20;53.25;4;9.0;-2;0.5;8.5
+;13;17.0;Mignola Michele;;30;34.0;13;17.0;0;0.0;9.75
o;14;26.75;Vogler Jakob;;18;53.75;13;27.0;-1;0.25;8.75

24g;Durrer Ive;;;;;;;;;;35.5
o;;;Gisler Silvan (2002);;;;;;;;8.75
o;5;8.75;Lüthy Ralph;;11;55.5;5;8.75;0;0.0;8.5
o;12;17.25;Giger Janik (2002);;15;54.5;12;17.25;0;0.0;8.5
+;18;25.75;Briker Hannes;;27;34.75;17;26.0;-1;0.25;9.75

24h;Britschgi Marcel (2003);;;;;;;;;;35.5
o;;;Amrein Joel (2003);;;;;;;;8.5
o;6;8.5;Baumann Marco;;11;55.5;6;8.5;0;0.0;8.5
+;13;17.0;Baumgartner Matthias (2003);;30;34.0;13;17.0;0;0.0;10.0
o;13;27.0;Scherrer Fabian (2002);;9;56.0;13;27.0;0;0.0;8.5

24i;Britschgi Markus;;;;;;;;;;35.5
o;;;Suter Samuel;;;;;;;;8.75
+;5;8.75;Blumenthal Lino (2002);;19;53.5;6;8.5;1;-0.25;9.75
o;7;18.5;Muff André;*;31;27.0;13;17.0;6;-1.5;8.5
o;13;27.0;Odermatt Lars (2002);;18;53.75;13;27.0;0;0.0;8.5

24j;Würsch Kevin (2003);;;;;;;;;;35.5
o;;;Brunner Timon;;;;;;;;8.5
o;6;8.5;Doppmann Ueli;;15;54.5;6;8.5;0;0.0;8.5
o;13;17.0;Schmid Joel;;20;53.25;13;17.0;0;0.0;8.5
+;19;25.5;Baumgartner Matthias (2003);;30;34.0;19;25.5;0;0.0;10.0

24k;Risi Janik;;;;;;;;;;35.5
-;;;Ettlin Mario (2003);;;;;;;;8.75
o;5;8.75;Klauser Nico;;24;35.5;5;8.75;0;0.0;8.5
o;12;17.25;Albert Thomas;;16;54.25;13;17.0;1;-0.25;8.5
+;18;25.75;Antonini Joël (2003);;29;34.25;18;25.75;0;0.0;9.75

24l;Hurschler Mauri;;;;;;;;;;35.5
o;;;Ming Christian 2;;;;;;;;8.5
-;6;8.5;Kaufmann Jens;;15;54.5;6;8.5;0;0.0;8.75
o;12;17.25;Widmer Simon;;12;55.25;8;18.25;-4;1.0;8.5
+;18;25.75;Pedrazzini Lorenzo (2002);;30;34.0;19;25.5;1;-0.25;9.75

24m;Ettlin Kevin (2001);;;;;;;;;;35.5
-;;;Betschart Roger (2003);;;;;;;;8.75
o;5;8.75;Müller Mathias;;18;53.75;4;9.0;-1;0.25;8.5
+;12;17.25;Antonini Joël (2003);;29;34.25;12;17.25;0;0.0;9.75
o;13;27.0;Ulrich Michael (2003);;16;54.25;13;27.0;0;0.0;8.5

24n;Bacher Andreas;;;;;;;;;;35.5
o;;;Lustenberger Marc (2003);;;;;;;;8.5
o;6;8.5;Rohrer Timo (2001);;19;53.5;6;8.5;0;0.0;8.5
+;13;17.0;Bissig Julian (2003);;25;35.25;13;17.0;0;0.0;10.0
o;13;27.0;Hürlimann Marco (2002);;12;55.25;13;27.0;0;0.0;8.5

24o;Felder Martin;*;;;;;;;;;35.5
+;;;Bürgi Reto;*;;;;;;;9.75
o;3;9.75;Bernhard Lukas;*;5;57.0;3;9.75;0;0.0;8.75
o;7;18.5;Imfeld Beat;;7;56.5;5;19.0;-2;0.5;8.5
o;13;27.0;Durrer Jonas (2003);;8;56.25;9;28.0;-4;1.0;8.5

24p;Klauser Nico;;;;;;;;;;35.5
-;;;Durrer Markus;;;;;;;;8.75
+;5;8.75;Risi Janik;;24;35.5;5;8.75;0;0.0;9.75
o;7;18.5;Durrer Jonas (2003);;8;56.25;8;18.25;1;-0.25;8.5
o;13;27.0;Barmettler Peter;*;13;55.0;13;27.0;0;0.0;8.5

24q;Facchini Oscar;;;;;;;;;;35.5
+;;;Lussi Roland (2003);;;;;;;;10.0
o;2;10.0;Achermann Simon;;10;55.75;2;10.0;0;0.0;8.5
o;7;18.5;Amgarten Martin;*;13;55.0;13;17.0;6;-1.5;8.5
o;13;27.0;Gasser Dominik 2;;16;54.25;12;27.25;-1;0.25;8.5

24r;Garovi Matteo (2003);;;;;;;;;;35.5
o;;;Wiget Ueli;;;;;;;;8.5
o;6;8.5;Baumann Marco;;11;55.5;6;8.5;0;0.0;8.5
o;13;17.0;Ulrich Michael (2003);;16;54.25;12;17.25;-1;0.25;8.5
+;19;25.5;Mignola Michele;;30;34.0;19;25.5;0;0.0;10.0

24s;Tschümperlin Justin (2003);;;;;;;;;;35.5
+;;;Baumgartner Matthias (2003);;;;;;;;9.75
o;3;9.75;Suter Samuel;;12;55.25;3;9.75;0;0.0;8.5
o;8;18.25;Wagner Andreas (2002);;24;35.5;12;17.25;4;-1.0;8.5
-;14;26.75;Rohrer Michael;;20;53.25;13;27.0;-1;0.25;8.75

24t;Küchler Severin;;;;;;;;;;35.5
o;;;Suter Raphael;;;;;;;;8.5
o;6;8.5;Hürlimann Marco (2002);;12;55.25;6;8.5;0;0.0;8.5
+;13;17.0;Rogenmoser Luca (2003);;24;35.5;13;17.0;0;0.0;10.0
o;13;27.0;Hürlimann Mathias;*;11;55.5;13;27.0;0;0.0;8.5

24u;Arnold Samuel (2001);;;;;;;;;;35.5
+;;;von Büren Thomas (2002);;;;;;;;10.0
o;2;10.0;Hurschler Tobias (2003);;13;55.0;3;9.75;1;-0.25;8.5
o;7;18.5;Ming Christian;*;15;54.5;11;17.5;4;-1.0;8.5
o;13;27.0;von Flüe Michael;;18;53.75;13;27.0;0;0.0;8.5

25a;Kessler Joel;*;;;;;;;;;35.25
o;;;Zurﬂuh Roman;**;;;;;;;8.5
-;6;8.5;Käslin Ruedi;*;10;55.75;6;8.5;0;0.0;8.75
-;12;17.25;Vogler Jonas;;15;54.5;6;18.75;-6;1.5;9.0
-;16;26.25;Kaufmann Jens;;15;54.5;12;27.25;-4;1.0;9.0

25b;Pedrazzini Diego;;;;;;;;;;35.25
+;;;Käslin Ueli;;;;;;;;9.75
o;3;9.75;Troxler Jonas;;13;55.0;2;10.0;-1;0.25;8.5
o;8;18.25;Zumstein Patrick;;11;55.5;7;18.5;-1;0.25;8.5
o;14;26.75;Ettlin Thomas;;20;53.25;16;26.25;2;-0.5;8.5

25c;Christen Thomas;;;;;;;;;;35.25
o;;;Schuler Alex;;;;;;;;8.5
o;6;8.5;Imfeld Beat;;7;56.5;4;9.0;-2;0.5;8.5
o;13;17.0;Kathriner Severin;;22;52.75;12;17.25;-1;0.25;8.5
+;19;25.5;Zgraggen Remo (2003);;30;34.0;19;25.5;0;0.0;9.75

25d;Bucher Sandro;;;;;;;;;;35.25
o;;;Arnold Kilian (2002);;;;;;;;8.5
+;6;8.5;Mignola Michele;;30;34.0;6;8.5;0;0.0;9.75
o;8;18.25;Eﬃnger Peter;;13;55.0;8;18.25;0;0.0;8.5
o;14;26.75;Blumenthal Lino (2002);;19;53.5;14;26.75;0;0.0;8.5

25e;Würsch Lars;*;;;;;;;;;35.25
o;;;Schöpfer Ronny;*;;;;;;;8.5
o;6;8.5;Muff Armin;**;9;56.0;5;8.75;-1;0.25;8.5
+;13;17.0;Hürlimann Marco (2002);;12;55.25;7;18.5;-6;1.5;9.75
o;14;26.75;Lustenberger Marc (2003);;12;55.25;9;28.0;-5;1.25;8.5

25f;Bissig Julian (2003);;;;;;;;;;35.25
o;;;Vogler Jonas;;;;;;;;8.5
o;6;8.5;Gasser Dominik 2;;16;54.25;5;8.75;-1;0.25;8.5
o;13;17.0;Bacher Andreas;;24;35.5;13;17.0;0;0.0;8.5
+;19;25.5;von Büren Thomas (2002);;29;34.25;18;25.75;-1;0.25;9.75

26a;Vonlaufen Lukas;*;;;;;;;;;35.0
-;;;Heiniger Marco;*;;;;;;;8.75
-;5;8.75;Bieri Christian;**;9;56.0;5;8.75;0;0.0;8.75
-;11;17.5;Bieri Elias;;9;56.0;6;18.75;-5;1.25;8.75
-;16;26.25;Schuler Thomas;;11;55.5;12;27.25;-4;1.0;8.75

26b;Kaiser Sandro;;;;;;;;;;35.0
o;;;Suter Beat;;;;;;;;8.5
-;6;8.5;von Matt Lars (2002);;27;34.75;5;8.75;-1;0.25;8.75
-;12;17.25;Briker Hannes;;27;34.75;13;17.0;1;-0.25;9.0
-;16;26.25;Schmid Joel;;20;53.25;14;26.75;-2;0.5;8.75

27a;Briker Michael;*;;;;;;;;;34.75
o;;;Bernhard Lukas;*;;;;;;;8.5
o;6;8.5;Schuler Philipp;**;5;57.0;6;8.5;0;0.0;8.75
-;12;17.25;Gander Michael;;13;55.0;6;18.75;-6;1.5;9.0
o;16;26.25;Durrer Ueli;;11;55.5;12;27.25;-4;1.0;8.5

27b;von Matt Lars (2002);;;;;;;;;;34.75
o;;;Muff Reto;;;;;;;;8.75
-;5;8.75;Kaiser Sandro;;26;35.0;6;8.5;1;-0.25;8.75
-;11;17.5;Betschart Roger (2003);;15;54.5;12;17.25;1;-0.25;8.75
o;16;26.25;Hürlimann Ueli (2001);;18;53.75;15;26.5;-1;0.25;8.5

27c;Keller Janik;*;;;;;;;;;34.75
-;;;Ming Christian;*;;;;;;;8.75
-;5;8.75;Della Torre Simon;;14;54.75;2;10.0;-3;1.25;8.75
o;11;17.5;Graber Sandro;;13;55.0;7;18.5;-4;1.0;8.75
o;16;26.25;Aebli Nino;;15;54.5;13;27.0;-3;0.75;8.5

27d;Briker Hannes;;;;;;;;;;34.75
o;;;Ettlin Michael;;;;;;;;8.5
o;6;8.5;Waser Christoph (2002);;11;55.5;6;8.5;0;0.0;8.5
-;13;17.0;Kaiser Sandro;;26;35.0;12;17.25;-1;0.25;9.0
o;17;26.0;Durrer Ive;;24;35.5;18;25.75;1;-0.25;8.75

28a;Gander Sebastian (2003);;;;;;;;;;34.5
o;;;Crotta Robin (2001);;;;;;;;8.5
o;6;8.5;Waser David (2002);;17;54.0;5;8.75;-1;0.25;8.5
-;13;17.0;Achermann Ueli (2001);;21;53.0;13;17.0;0;0.0;9.0
o;17;26.0;Suter Raphael;;14;54.75;14;26.75;-3;0.75;8.5

29a;Antonini Joël (2003);;;;;;;;;;34.25
-;;;Stalder Tim;;;;;;;;8.75
o;5;8.75;Rohrer Michael;;20;53.25;6;8.5;1;-0.25;8.5
o;12;17.25;Ettlin Kevin (2001);;24;35.5;12;17.25;0;0.0;8.5
o;18;25.75;Risi Janik;;24;35.5;18;25.75;0;0.0;8.5

29b;von Büren Thomas (2002);;;;;;;;;;34.25
o;;;Arnold Samuel (2001);;;;;;;;8.5
o;6;8.5;von Flüe Michael;;18;53.75;5;8.75;-1;0.25;8.75
o;12;17.25;Durrer Ueli;;11;55.5;11;17.5;-1;0.25;8.5
o;18;25.75;Bissig Julian (2003);;25;35.25;19;25.5;1;-0.25;8.5

29c;Stalder Tim;;;;;;;;;;34.25
-;;;Antonini Joël (2003);;;;;;;;8.75
o;5;8.75;Mehr Lars (2002);;12;55.25;5;8.75;0;0.0;8.5
o;12;17.25;Reichlin Reto (2002);;22;52.75;11;17.5;-1;0.25;8.5
o;18;25.75;Achermann Ueli (2001);;21;53.0;17;26.0;-1;0.25;8.5

29d;Ettlin Mario (2003);;;;;;;;;;34.25
-;;;Risi Janik;;;;;;;;8.75
o;5;8.75;Bieri Elias;;9;56.0;4;9.0;-1;0.25;8.5
o;12;17.25;Ulrich Damian;;16;54.25;12;17.25;0;0.0;8.5
o;18;25.75;Betschart Roger (2003);;15;54.5;17;26.0;-1;0.25;8.5

30a;Mignola Michele;;;;;;;;;;34.0
o;;;Michel Peter (2003);;;;;;;;8.5
o;6;8.5;Bucher Sandro;;25;35.25;6;8.5;0;0.0;8.5
o;13;17.0;Kathriner Andreas (2003);;24;35.5;13;17.0;0;0.0;8.5
o;19;25.5;Garovi Matteo (2003);;24;35.5;19;25.5;0;0.0;8.5

30b;Baumgartner Matthias (2003);;;;;;;;;;34.0
o;;;Tschümperlin Justin (2003);;;;;;;;8.5
o;6;8.5;Albert Stefan (2002);;14;54.75;6;8.5;0;0.0;8.5
o;13;17.0;Britschgi Marcel (2003);;24;35.5;13;17.0;0;0.0;8.5
o;19;25.5;Würsch Kevin (2003);;24;35.5;19;25.5;0;0.0;8.5

30c;Zgraggen Remo (2003);;;;;;;;;;34.0
o;;;Durrer Lukas;;;;;;;;8.5
o;6;8.5;Gander Michael;;13;55.0;5;8.75;-1;0.25;8.5
o;13;17.0;Blumenthal Lino (2002);;19;53.5;13;17.0;0;0.0;8.5
o;19;25.5;Christen Thomas;;25;35.25;19;25.5;0;0.0;8.5

30d;Durrer Pascal (2002);;;;;;;;;;34.0
o;;;Kälin Markus (2001);;;;;;;;8.5
o;6;8.5;Zimmermann Raffael;;15;54.5;5;8.75;-1;0.25;8.5
o;13;17.0;Lussi Roland (2003);;21;53.0;12;17.25;-1;0.25;8.5
o;19;25.5;Rogenmoser Luca (2003);;24;35.5;19;25.5;0;0.0;8.5

30e;Pedrazzini Lorenzo (2002);;;;;;;;;;34.0
o;;;Durrer Jan (2003);;;;;;;;8.5
o;6;8.5;Vogler Jakob;;18;53.75;6;8.5;0;0.0;8.5
o;13;17.0;Schuler Thomas;;11;55.5;12;17.25;-1;0.25;8.5
o;19;25.5;Hurschler Mauri;;24;35.5;18;25.75;-1;0.25;8.5

31a;Muff André;*;;;;;;;;;27.0
o;;;Reichmuth Armin;*;;;;;;;8.5
o;6;8.5;Herger Matthias;**;4;57.25;6;8.5;0;0.0;8.5
+;13;17.0;Britschgi Markus;;24;35.5;7;18.5;-6;1.5;10.0

32a;von Ah Benji;***;;;;;;;;;26.0
o;;;Gloggner Philipp;***;;;;;;;8.5
-;6;8.5;Van Messel Noe (2002);*;5;57.0;2;10.0;-4;1.5;8.75
-;12;17.25;Schuler Philipp;**;5;57.0;7;18.5;-5;1.25;8.75

33a;Gassmann Michael;*;;;;;;;;;18.75
-;;;Blaser Theo;*;;;;;;;8.75
+;5;8.75;Scherrer Fabian (2002);;9;56.0;2;10.0;-3;1.25;10.0

34a;Arnold Andreas;*;;;;;;;;;17.0
o;;;Gasser Peter;*;;;;;;;8.5
o;6;8.5;Zimmermann Martin;**;7;56.5;6;8.5;0;0.0;8.5

