2965-2017-07-09_Bernisch-Kantonales_Schwingfest-ST

1a;Wenger Kilian;***;;;;;;;;;58.25
12g;Ramseier Thomas;*;;;;;;;;;55.0
+;;;Kappeler Niklaus;*;;;;;;;9.75
o;2;9.75;Kämpf Bernhard;***;6;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Berger Lorenz;*;22;52.5;6;18.5;-1;0.25;9.75
+;6;28.0;Wittwer Jan;*;10;55.5;9;27.25;3;-0.75;10.0
o;4;38.0;Fankhauser Erich;***;9;55.75;6;37.5;2;-0.5;8.5
o;8;46.5;Moser Steven;**;7;56.25;9;46.25;1;-0.25;8.5

13a;Kämpf Alexander;**;;;;;;;;;54.75
-;;;Gnägi Christian;*;;;;;;;8.75
-;4;8.75;Gäggeler Adrian;*;8;56.0;1;10.0;-3;1.25;8.75
+;9;17.5;Zangger Dominik;*;27;34.5;9;17.5;0;0.0;10.0
+;8;27.5;Habegger Heinz;**;13;54.75;9;27.25;1;-0.25;9.75
-;7;37.25;Roth Dominik;**;7;56.25;6;37.5;-1;0.25;8.75
-;10;46.0;Sommer Roman;*;11;55.25;8;46.5;-2;0.5;8.75

13b;Staub Maël;*;;;;;;;;;54.75
o;;;Orlik Curdin;**;;;;;;;8.5
+;5;8.5;Mosimann Fabian;;26;34.75;3;9.0;-2;0.5;9.75
+;7;18.25;Kropf Thomas;*;14;54.5;10;17.25;3;-1.0;9.75
o;6;28.0;Leuenberger Michael;*;10;55.5;5;28.25;-1;0.25;8.5
+;10;36.5;Steffen Konrad;*;16;54.0;10;36.5;0;0.0;9.75
o;9;46.25;Röthlisberger Simon;**;10;55.5;11;45.75;2;-0.5;8.5

13c;Haenni Stéphane;**;;;;;;;;;54.75
o;;;Reusser Philipp;***;;;;;;;8.5
+;5;8.5;Hadorn Marco (1999);;18;53.5;1;10.0;-4;1.5;9.75
-;7;18.25;Dummermuth Ueli;;15;54.25;6;18.5;-1;0.25;8.75
-;10;27.0;Steffen Konrad;*;16;54.0;7;27.75;-3;0.75;8.75
-;13;35.75;Michel Jonas;*;14;54.5;12;36.0;-1;0.25;9.0
+;15;44.75;Stämpfli Lorenz;;19;53.25;16;44.5;1;-0.25;10.0

13d;Fankhauser Reto;*;;;;;;;;;54.75
o;;;Zehnder Jürg;*;;;;;;;8.5
+;5;8.5;Neukomm Thierry;;17;53.75;2;9.75;-3;1.25;10.0
+;6;18.5;Thomet Adrian;**;12;55.0;7;18.25;1;-0.25;10.0
-;4;28.5;Erb Roger;**;4;57.0;5;28.25;1;-0.25;9.0
o;6;37.5;Käser Remo;***;3;57.25;7;37.25;1;-0.25;8.5
o;10;46.0;Roth Dominik;**;7;56.25;9;46.25;-1;0.25;8.75

13e;Gehrig Damian;***;;;;;;;;;54.75
-;;;Moser Steven;**;;;;;;;8.75
+;4;8.75;Berger Lorenz;*;22;52.5;1;10.0;-3;1.25;10.0
o;5;18.75;Leuenberger Michael;*;10;55.5;6;18.5;1;-0.25;8.75
+;8;27.5;Aellen Florian;*;12;55.0;5;28.25;-3;0.75;9.75
o;7;37.25;Zenger Niklaus;***;4;57.0;7;37.25;0;0.0;8.75
o;10;46.0;Iseli Marco;*;5;56.75;7;46.75;-3;0.75;8.75

13f;Scheuner Michael;*;;;;;;;;;54.75
-;;;Kämpf Lorenz;*;;;;;;;8.75
-;4;8.75;Zangger Dominik;*;27;34.5;4;8.75;0;0.0;8.75
-;9;17.5;Kämpf Marcel;*;9;55.75;10;17.25;1;-0.25;8.75
+;12;26.25;Vonlanthen Cyril;*;27;34.5;13;26.0;1;-0.25;10.0
+;11;36.25;Graber Alfred;*;14;54.5;12;36.0;1;-0.25;10.0
o;9;46.25;Kämpf Bernhard;***;6;56.5;8;46.5;-1;0.25;8.5

13g;Habegger Heinz;**;;;;;;;;;54.75
o;;;von Weissenfluh Kilian;**;;;;;;;8.5
o;5;8.5;Aebi Roger;;15;54.25;1;10.0;-4;1.5;8.75
+;10;17.25;Roth Robin (2000);*;16;54.0;7;18.25;-3;1.0;10.0
o;9;27.25;Kämpf Alexander;**;13;54.75;8;27.5;-1;0.25;8.75
+;12;36.0;Pulfer Thomas;*;14;54.5;12;36.0;0;0.0;10.0
o;10;46.0;Erb Roger;**;4;57.0;6;47.0;-4;1.0;8.75

14a;Schletti Andreas;*;;;;;;;;;54.5
-;;;Steffen Konrad;*;;;;;;;8.75
o;4;8.75;Ramseier Fritz;*;2;57.5;4;8.75;0;0.0;8.5
+;10;17.25;Burger Fredy;*;26;34.75;9;17.5;-1;0.25;9.75
+;10;27.0;Gehrig Kilian;;21;52.75;11;26.75;1;-0.25;9.75
-;9;36.75;Hadorn Christian;*;11;55.25;10;36.5;1;-0.25;9.0
-;11;45.75;Jäggi Lukas;*;14;54.5;11;45.75;0;0.0;8.75

14b;Michel Jonas;*;;;;;;;;;54.5
o;;;Waber Lorenz;*;;;;;;;8.5
+;5;8.5;Flühmann Michel;*;15;54.25;5;8.5;0;0.0;10.0
o;6;18.5;Moser Steven;**;7;56.25;5;18.75;-1;0.25;8.5
-;10;27.0;Pulfer Thomas;*;14;54.5;10;27.0;0;0.0;9.0
-;12;36.0;Haenni Stéphane;**;13;54.75;13;35.75;1;-0.25;8.75
+;15;44.75;Joss David;*;20;53.0;16;44.5;1;-0.25;9.75

14c;Pulfer Thomas;*;;;;;;;;;54.5
-;;;Siegenthaler Tobias;*;;;;;;;8.75
o;4;8.75;Berger René;**;12;55.0;5;8.5;1;-0.25;8.5
+;10;17.25;Röthlisberger Florian (1999);;22;52.5;11;17.0;1;-0.25;9.75
-;10;27.0;Michel Jonas;*;14;54.5;10;27.0;0;0.0;9.0
o;12;36.0;Habegger Heinz;**;13;54.75;12;36.0;0;0.0;8.5
+;16;44.5;Müller Marc;;20;53.0;16;44.5;0;0.0;10.0

14d;Graber Alfred;*;;;;;;;;;54.5
o;;;Gäggeler Adrian;*;;;;;;;8.5
-;5;8.5;Schüpbach Janick;*;25;35.0;5;8.5;0;0.0;8.75
+;10;17.25;Wyss Sandro;;28;34.25;10;17.25;0;0.0;10.0
-;9;27.25;Schütz Urs;**;15;54.25;10;27.0;1;-0.25;8.75
o;12;36.0;Scheuner Michael;*;13;54.75;11;36.25;-1;0.25;8.5
+;16;44.5;Neukomm Thierry;;17;53.75;13;45.25;-3;0.75;10.0

14e;Graber Bruno;**;;;;;;;;;54.5
-;;;Luginbühl Hanspeter;**;;;;;;;8.75
+;4;8.75;Scheidegger Adrian;*;27;34.5;4;8.75;0;0.0;9.75
+;6;18.5;Kappeler Niklaus;*;24;35.5;6;18.5;0;0.0;10.0
-;4;28.5;Aebi Roger;;15;54.25;4;28.5;0;0.0;8.75
o;7;37.25;Giger Samuel;***;5;56.75;8;37.0;1;-0.25;8.5
-;11;45.75;Kropf Thomas;*;14;54.5;11;45.75;0;0.0;8.75

14f;Blaser Roman;*;;;;;;;;;54.5
+;;;Binggeli Dominik;*;;;;;;;10.0
o;1;10.0;Erb Roger;**;4;57.0;4;8.75;3;-1.25;8.5
-;6;18.5;Rolli Martin;**;9;55.75;7;18.25;1;-0.25;9.0
o;8;27.5;Weyermann Florian;*;9;55.75;8;27.5;0;0.0;8.5
+;12;36.0;Bremgartner Marcel;*;16;54.0;13;35.75;1;-0.25;9.75
-;11;45.75;Schütz Urs;**;15;54.25;12;45.5;1;-0.25;8.75

14g;Urfer Simon;*;;;;;;;;;54.5
-;;;Burger Fredy;*;;;;;;;8.75
+;4;8.75;Siegenthaler Tobias;*;16;54.0;4;8.75;0;0.0;10.0
o;5;18.75;Schenk Patrick;***;8;56.0;6;18.5;1;-0.25;8.5
+;9;27.25;Dummermuth Ueli;;15;54.25;9;27.25;0;0.0;10.0
o;7;37.25;Erb Roger;**;4;57.0;7;37.25;0;0.0;8.5
-;11;45.75;Zürcher Kurt;*;15;54.25;12;45.5;1;-0.25;8.75

14h;Staudenmann Fabian (2000);*;;;;;;;;;54.5
+;;;Schenk Adrian;*;;;;;;;9.75
-;2;9.75;Fankhauser Kurt;**;14;54.5;4;8.75;2;-1.0;9.0
o;5;18.75;Wüthrich Niklaus;**;11;55.25;7;18.25;2;-0.5;8.5
+;9;27.25;Locher Alfred;*;15;54.25;8;27.5;-1;0.25;9.75
-;8;37.0;Steffen Gustav;*;11;55.25;9;36.75;1;-0.25;8.75
o;11;45.75;Schlüchter Colin;*;11;55.25;12;45.5;1;-0.25;8.75

14i;Kropf Thomas;*;;;;;;;;;54.5
o;;;Lauper Hansruedi;***;;;;;;;8.5
-;5;8.5;Vonlanthen Cyril;*;27;34.5;4;8.75;-1;0.25;8.75
o;10;17.25;Staub Maël;*;13;54.75;7;18.25;-3;1.0;8.5
+;14;25.75;Aellen Philipp;;16;54.0;11;26.75;-3;1.0;10.0
+;13;35.75;Wittwer Josias;*;17;53.75;14;35.5;1;-0.25;10.0
-;11;45.75;Graber Bruno;**;14;54.5;11;45.75;0;0.0;8.75

14j;Jäggi Lukas;*;;;;;;;;;54.5
+;;;Hadorn Christian;*;;;;;;;10.0
-;1;10.0;Renfer Lukas;*;14;54.5;2;9.75;1;-0.25;8.75
o;5;18.75;Graber Willy;***;4;57.0;5;18.75;0;0.0;8.75
+;8;27.5;Stämpfli Lorenz;;19;53.25;9;27.25;1;-0.25;9.75
o;7;37.25;Anderegg Simon;***;2;57.5;6;37.5;-1;0.25;8.5
-;11;45.75;Schletti Andreas;*;14;54.5;11;45.75;0;0.0;8.75

14k;Wehrli Christian;*;;;;;;;;;54.5
-;;;Zangger Dominik;*;;;;;;;8.75
o;4;8.75;Weyermann Florian;*;9;55.75;5;8.5;1;-0.25;8.75
+;9;17.5;Joss David;*;20;53.0;10;17.25;1;-0.25;9.75
o;9;27.25;Rolli Martin;**;9;55.75;9;27.25;0;0.0;8.5
-;13;35.75;Binggeli Dominik;*;20;53.0;14;35.5;1;-0.25;8.75
+;16;44.5;Heeb Thierry;;18;53.5;14;45.0;-2;0.5;10.0

14l;Fankhauser Kurt;**;;;;;;;;;54.5
-;;;Kämpf Marcel;*;;;;;;;8.75
-;4;8.75;Staudenmann Fabian (2000);*;14;54.5;2;9.75;-2;1.0;9.0
+;8;17.75;Vonlanthen Cyril;*;27;34.5;9;17.5;1;-0.25;9.75
+;8;27.5;Binggeli Dominik;*;20;53.0;10;27.0;2;-0.5;10.0
o;6;37.5;Voggensperger Janic;**;8;56.0;7;37.25;1;-0.25;8.5
o;10;46.0;Zenger Niklaus;***;4;57.0;6;47.0;-4;1.0;8.5

14m;Renfer Lukas;*;;;;;;;;;54.5
+;;;Leuenberger Michael;*;;;;;;;9.75
-;2;9.75;Jäggi Lukas;*;14;54.5;1;10.0;-1;0.25;8.75
-;6;18.5;Locher Alfred;*;15;54.25;6;18.5;0;0.0;9.0
-;8;27.5;Gehrig Philipp;**;5;56.75;5;28.25;-3;0.75;8.75
o;11;36.25;Aeschlimann Martin;;11;55.25;9;36.75;-2;0.5;8.5
+;15;44.75;Schenk Thomas;*;19;53.25;15;44.75;0;0.0;9.75

15a;Dummermuth Ueli;;;;;;;;;;54.25
+;;;Vögeli Luca (1999);;;;;;;;9.75
-;2;9.75;Reust Markus;*;15;54.25;4;8.75;2;-1.0;8.75
-;6;18.5;Haenni Stéphane;**;13;54.75;7;18.25;1;-0.25;8.75
o;9;27.25;Urfer Simon;*;14;54.5;9;27.25;0;0.0;8.5
+;13;35.75;Berger Lorenz;*;22;52.5;14;35.5;1;-0.25;9.75
-;12;45.5;Kappeler Ruedi;;16;54.0;13;45.25;1;-0.25;8.75

15b;Gnägi Christian;*;;;;;;;;;54.25
-;;;Kämpf Alexander;**;;;;;;;8.75
-;4;8.75;Nufer Sämi;;17;53.75;4;8.75;0;0.0;8.75
o;9;17.5;Kappeler Ruedi;;16;54.0;6;18.5;-3;1.0;8.5
+;13;26.0;Wittwer Josias;*;17;53.75;10;27.0;-3;1.0;9.75
+;13;35.75;Müller Marc;;20;53.0;12;36.0;-1;0.25;10.0
o;11;45.75;Weyermann Florian;*;9;55.75;11;45.75;0;0.0;8.5

15c;Zürcher Kurt;*;;;;;;;;;54.25
+;;;Flühmann Michel;*;;;;;;;10.0
o;1;10.0;Lauper Hansruedi;***;8;56.0;1;10.0;0;0.0;8.5
+;6;18.5;Tschan Matthias;;20;53.0;6;18.5;0;0.0;10.0
o;4;28.5;Giger Samuel;***;5;56.75;9;27.25;5;-1.25;8.5
o;8;37.0;Waber Lorenz;*;11;55.25;9;36.75;1;-0.25;8.5
-;12;45.5;Urfer Simon;*;14;54.5;11;45.75;-1;0.25;8.75

15d;Flühmann Michel;*;;;;;;;;;54.25
o;;;Zürcher Kurt;*;;;;;;;8.5
o;5;8.5;Michel Jonas;*;14;54.5;5;8.5;0;0.0;8.5
+;11;17.0;Gnägi Lionel;;29;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Kämpf Marcel;*;9;55.75;13;26.0;3;-1.0;8.5
-;14;35.5;Schenk Adrian;*;16;54.0;14;35.5;0;0.0;8.75
+;17;44.25;Gehrig Kilian;;21;52.75;17;44.25;0;0.0;10.0

15e;Locher Alfred;*;;;;;;;;;54.25
+;;;Zbinden Adrian;*;;;;;;;10.0
o;1;10.0;Graber Willy;***;4;57.0;3;9.0;2;-1.0;8.5
-;6;18.5;Renfer Lukas;*;14;54.5;6;18.5;0;0.0;9.0
o;8;27.5;Staudenmann Fabian (2000);*;14;54.5;9;27.25;1;-0.25;8.5
+;12;36.0;Hadorn Marco (1999);;18;53.5;11;36.25;-1;0.25;9.75
o;11;45.75;Schenkel Remo;*;11;55.25;12;45.5;1;-0.25;8.5

15f;Kestenholz Christian;;;;;;;;;;54.25
+;;;Grossen John;;;;;;;;9.75
-;2;9.75;Wittwer Josias;*;17;53.75;5;8.5;3;-1.25;8.75
o;6;18.5;Schütz Urs;**;15;54.25;10;17.25;4;-1.25;8.5
-;10;27.0;Neukomm Thierry;;17;53.75;11;26.75;1;-0.25;8.75
+;13;35.75;Vögeli Luca (1999);;21;52.75;13;35.75;0;0.0;10.0
o;11;45.75;Rolli Martin;**;9;55.75;11;45.75;0;0.0;8.5

15g;Reust Markus;*;;;;;;;;;54.25
-;;;Roth Dominik;**;;;;;;;8.75
-;4;8.75;Dummermuth Ueli;;15;54.25;2;9.75;-2;1.0;8.75
+;9;17.5;Gehrig Kilian;;21;52.75;7;18.25;-2;0.75;9.75
o;9;27.25;Wyss Kilian;**;10;55.5;10;27.0;1;-0.25;8.5
+;13;35.75;Siegenthaler Tobias;*;16;54.0;13;35.75;0;0.0;9.75
-;12;45.5;Klossner Adrian;*;16;54.0;13;45.25;1;-0.25;8.75

15h;Aebi Roger;;;;;;;;;;54.25
+;;;Tschan Matthias;;;;;;;;10.0
+;1;10.0;Habegger Heinz;**;13;54.75;5;8.5;4;-1.5;10.0
o;1;20.0;Luginbühl Hanspeter;**;11;55.25;6;18.5;5;-1.5;8.5
-;4;28.5;Graber Bruno;**;14;54.5;4;28.5;0;0.0;8.75
o;7;37.25;Orlik Curdin;**;6;56.5;5;37.75;-2;0.5;8.5
o;11;45.75;Wüthrich Niklaus;**;11;55.25;12;45.5;1;-0.25;8.5

15i;Schütz Urs;**;;;;;;;;;54.25
-;;;Wyss Kilian;**;;;;;;;8.75
o;4;8.75;Gerber Thomas;*;11;55.25;2;9.75;-2;1.0;8.5
+;10;17.25;Kestenholz Christian;;15;54.25;6;18.5;-4;1.25;9.75
-;10;27.0;Graber Alfred;*;14;54.5;9;27.25;-1;0.25;8.75
+;13;35.75;Zbinden Adrian;*;16;54.0;8;37.0;-5;1.25;9.75
-;12;45.5;Blaser Roman;*;14;54.5;11;45.75;-1;0.25;8.75

15j;Sommer Martin;;;;;;;;;;54.25
-;;;Schütz Hansueli;;;;;;;;8.75
-;4;8.75;Bühler Marcel;;27;34.5;5;8.5;1;-0.25;8.75
+;9;17.5;Zehnder Jürg;*;16;54.0;7;18.25;-2;0.75;9.75
o;9;27.25;Schneider Domenic;***;4;57.0;9;27.25;0;0.0;8.5
+;13;35.75;Stämpfli Lorenz;;19;53.25;13;35.75;0;0.0;9.75
o;12;45.5;Wittwer Jan;*;10;55.5;12;45.5;0;0.0;8.75

16a;Aellen Philipp;;;;;;;;;;54.0
o;;;Aeschlimann Martin;;;;;;;;8.5
+;5;8.5;Röthlisberger Florian (1999);;22;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Steffen Konrad;*;16;54.0;4;19.0;-3;0.75;8.5
o;11;26.75;Kropf Thomas;*;14;54.5;14;25.75;3;-1.0;8.5
-;15;35.25;Niederhäuser Martin;;21;52.75;14;35.5;-1;0.25;8.75
+;18;44.0;Eggimann Marco;;22;52.5;18;44.0;0;0.0;10.0

16b;Santschi Hans;;;;;;;;;;54.0
+;;;Heeb Thierry;;;;;;;;9.75
o;2;9.75;Schenkel Remo;*;11;55.25;5;8.5;3;-1.25;8.75
o;6;18.5;Gehrig Philipp;**;5;56.75;7;18.25;1;-0.25;8.5
-;10;27.0;Lehmann Ueli;;16;54.0;10;27.0;0;0.0;8.75
o;13;35.75;Berger Ueli;*;16;54.0;14;35.5;1;-0.25;8.5
+;17;44.25;Kohli Patrick;;21;52.75;17;44.25;0;0.0;9.75

16c;Zbinden Adrian;*;;;;;;;;;54.0
o;;;Locher Alfred;*;;;;;;;8.75
+;4;8.75;Eggimann Marco;;22;52.5;2;9.75;-2;1.0;9.75
o;6;18.5;Sempach Thomas;***;7;56.25;5;18.75;-1;0.25;8.5
+;10;27.0;Tschan Matthias;;20;53.0;10;27.0;0;0.0;10.0
o;8;37.0;Schütz Urs;**;15;54.25;13;35.75;5;-1.25;8.5
o;12;45.5;Hadorn Christian;*;11;55.25;12;45.5;0;0.0;8.5

16d;Bremgartner Marcel;*;;;;;;;;;54.0
o;;;Gehrig Philipp;**;;;;;;;8.5
-;5;8.5;Burger Fredy;*;26;34.75;4;8.75;-1;0.25;8.75
+;10;17.25;Gerber Ueli;*;27;34.5;10;17.25;0;0.0;10.0
o;9;27.25;Sommer Roman;*;11;55.25;6;28.0;-3;0.75;8.5
o;13;35.75;Blaser Roman;*;14;54.5;12;36.0;-1;0.25;8.5
+;17;44.25;Niederhäuser Martin;;21;52.75;17;44.25;0;0.0;9.75

16e;Walther Marcel;*;;;;;;;;;54.0
+;;;Berger Ueli;*;;;;;;;10.0
o;1;10.0;von Weissenfluh Kilian;**;4;57.0;1;10.0;0;0.0;8.5
o;6;18.5;Iseli Marco;*;5;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Berger Lorenz;*;22;52.5;10;27.0;0;0.0;10.0
o;8;37.0;Gehrig Philipp;**;5;56.75;8;37.0;0;0.0;8.5
o;12;45.5;Gasser Dominik (2000);;10;55.5;12;45.5;0;0.0;8.5

16f;Klossner Adrian;*;;;;;;;;;54.0
o;;;Schlüchter Colin;*;;;;;;;8.5
+;5;8.5;Schenk Adrian;*;16;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Berger René;**;12;55.0;6;18.5;0;0.0;8.5
+;10;27.0;Kohli Patrick;;21;52.75;10;27.0;0;0.0;9.75
o;9;36.75;Steffen Valentin;*;11;55.25;9;36.75;0;0.0;8.5
-;13;45.25;Reust Markus;*;15;54.25;12;45.5;-1;0.25;8.75

16g;Kappeler Ruedi;;;;;;;;;;54.0
-;;;Bernhard Marco;;;;;;;;8.75
+;4;8.75;Gnägi Lionel;;29;34.0;5;8.5;1;-0.25;9.75
+;6;18.5;Gnägi Christian;*;15;54.25;9;17.5;3;-1.0;9.75
o;5;28.25;Fankhauser Erich;***;9;55.75;8;27.5;3;-0.75;8.5
o;9;36.75;Zaugg Christian;*;12;55.0;9;36.75;0;0.0;8.5
-;13;45.25;Dummermuth Ueli;;15;54.25;12;45.5;-1;0.25;8.75

16h;Schenk Adrian;*;;;;;;;;;54.0
o;;;Staudenmann Fabian (2000);*;;;;;;;8.5
o;5;8.5;Klossner Adrian;*;16;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Bühler Marcel;;27;34.5;10;17.25;-1;0.25;10.0
o;10;27.0;Gobeli Patrick;*;8;56.0;8;27.5;-2;0.5;8.5
-;14;35.5;Flühmann Michel;*;15;54.25;14;35.5;0;0.0;8.75
+;17;44.25;Tschan Matthias;;20;53.0;16;44.5;-1;0.25;9.75

16i;Berger Ueli;*;;;;;;;;;54.0
o;;;Walther Marcel;*;;;;;;;8.5
o;5;8.5;Hadorn Christian;*;11;55.25;5;8.5;0;0.0;8.75
+;10;17.25;Vögeli Luca (1999);;21;52.75;10;17.25;0;0.0;9.75
o;10;27.0;Roth Dominik;**;7;56.25;8;27.5;-2;0.5;8.5
+;14;35.5;Santschi Hans;;16;54.0;13;35.75;-1;0.25;10.0
o;12;45.5;Steffen Gustav;*;11;55.25;12;45.5;0;0.0;8.5

16j;Lehmann Ueli;;;;;;;;;;54.0
+;;;Nufer Sämi;;;;;;;;10.0
o;1;10.0;Wyss Kilian;**;10;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Gerber Christian;**;4;57.0;6;18.5;0;0.0;8.5
-;10;27.0;Santschi Hans;;16;54.0;10;27.0;0;0.0;8.75
o;13;35.75;Galli Markus;;17;53.75;14;35.5;1;-0.25;8.5
+;17;44.25;Vögeli Luca (1999);;21;52.75;17;44.25;0;0.0;9.75

16k;Siegenthaler Tobias;*;;;;;;;;;54.0
-;;;Pulfer Thomas;*;;;;;;;8.75
o;4;8.75;Urfer Simon;*;14;54.5;4;8.75;0;0.0;8.5
+;10;17.25;Bernhard Marco;;27;34.5;9;17.5;-1;0.25;9.75
-;10;27.0;Schenk Thomas;*;19;53.25;10;27.0;0;0.0;8.75
o;13;35.75;Reust Markus;*;15;54.25;13;35.75;0;0.0;8.5
+;17;44.25;Berger Lorenz;*;22;52.5;18;44.0;1;-0.25;9.75

16l;Zehnder Jürg;*;;;;;;;;;54.0
+;;;Fankhauser Reto;*;;;;;;;9.75
o;2;9.75;Zenger Niklaus;***;4;57.0;5;8.5;3;-1.25;8.5
o;7;18.25;Sommer Martin;;15;54.25;9;17.5;2;-0.75;8.5
+;11;26.75;Kappeler Niklaus;*;24;35.5;10;27.0;-1;0.25;10.0
o;9;36.75;Berger René;**;12;55.0;9;36.75;0;0.0;8.5
-;13;45.25;Steffen Konrad;*;16;54.0;13;45.25;0;0.0;8.75

16m;Steffen Konrad;*;;;;;;;;;54.0
-;;;Schletti Andreas;*;;;;;;;9.0
+;3;9.0;Aellen Philipp;;16;54.0;5;8.5;2;-0.5;10.0
-;4;19.0;Lauper Hansruedi;***;8;56.0;2;19.75;-2;0.75;8.75
-;7;27.75;Haenni Stéphane;**;13;54.75;10;27.0;3;-0.75;8.75
o;10;36.5;Staub Maël;*;13;54.75;10;36.5;0;0.0;8.75
-;13;45.25;Zehnder Jürg;*;16;54.0;13;45.25;0;0.0;8.75

16n;Roth Robin (2000);*;;;;;;;;;54.0
o;;;Schenk Thomas;*;;;;;;;8.5
+;5;8.5;Wenger Ruedi (1999);;28;34.25;4;8.75;-1;0.25;9.75
o;7;18.25;Habegger Heinz;**;13;54.75;10;17.25;3;-1.0;8.5
-;11;26.75;Niederhäuser Martin;;21;52.75;11;26.75;0;0.0;8.75
-;14;35.5;Joss David;*;20;53.0;13;35.75;-1;0.25;8.75
+;17;44.25;Röthlisberger Florian (1999);;22;52.5;18;44.0;1;-0.25;9.75

16o;Schaad Remo;;;;;;;;;;54.0
+;;;Gehrig Kilian;;;;;;;;9.75
o;2;9.75;Roth Dominik;**;7;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Mosimann Fabian;;26;34.75;9;17.5;2;-0.75;9.75
o;6;28.0;Gäggeler Adrian;*;8;56.0;9;27.25;3;-0.75;8.5
-;10;36.5;Schenk Thomas;*;19;53.25;13;35.75;3;-0.75;9.0
o;12;45.5;Thomet Adrian;**;12;55.0;13;45.25;1;-0.25;8.5

17a;Galli Markus;;;;;;;;;;53.75
+;;;Bühler Marcel;;;;;;;;9.75
o;2;9.75;Binggeli Dominik;*;20;53.0;5;8.5;3;-1.25;8.5
o;7;18.25;Zaugg Christian;*;12;55.0;7;18.25;0;0.0;8.5
-;11;26.75;Eggimann Marco;;22;52.5;11;26.75;0;0.0;8.75
+;14;35.5;Lehmann Ueli;;16;54.0;13;35.75;-1;0.25;9.75
o;13;45.25;Grossen John;;12;55.0;13;45.25;0;0.0;8.5

17b;Nufer Sämi;;;;;;;;;;53.75
o;;;Lehmann Ueli;;;;;;;;8.75
-;4;8.75;Gnägi Christian;*;15;54.25;4;8.75;0;0.0;8.75
-;9;17.5;Heiniger Michael;*;28;34.25;11;17.0;2;-0.5;8.75
-;12;26.25;Schüpbach Janick;*;25;35.0;13;26.0;1;-0.25;9.0
+;15;35.25;Röthlisberger Florian (1999);;22;52.5;14;35.5;-1;0.25;9.75
-;14;45.0;Hadorn Marco (1999);;18;53.5;15;44.75;1;-0.25;8.75

17c;Wittwer Josias;*;;;;;;;;;53.75
o;;;Gerber Christian;**;;;;;;;8.5
-;5;8.5;Kestenholz Christian;;15;54.25;2;9.75;-3;1.25;8.75
+;10;17.25;Aeschlimann Martin;;11;55.25;7;18.25;-3;1.0;9.75
o;10;27.0;Gnägi Christian;*;15;54.25;13;26.0;3;-1.0;8.5
o;14;35.5;Kropf Thomas;*;14;54.5;13;35.75;-1;0.25;8.5
+;18;44.0;Binggeli Dominik;*;20;53.0;17;44.25;-1;0.25;9.75

17d;Neukomm Thierry;;;;;;;;;;53.75
+;;;Niederhäuser Martin;;;;;;;;9.75
o;2;9.75;Fankhauser Reto;*;13;54.75;5;8.5;3;-1.25;8.5
o;7;18.25;Aellen Florian;*;12;55.0;7;18.25;0;0.0;8.5
-;11;26.75;Kestenholz Christian;;15;54.25;10;27.0;-1;0.25;8.75
+;14;35.5;Eggimann Marco;;22;52.5;14;35.5;0;0.0;9.75
o;13;45.25;Graber Alfred;*;14;54.5;16;44.5;3;-0.75;8.5

18a;Hadorn Marco (1999);;;;;;;;;;53.5
+;;;Röthlisberger Florian (1999);;;;;;;;10.0
o;1;10.0;Haenni Stéphane;**;13;54.75;5;8.5;4;-1.5;8.5
o;6;18.5;Steffen Gustav;*;11;55.25;6;18.5;0;0.0;8.75
-;9;27.25;Wüthrich Niklaus;**;11;55.25;6;28.0;-3;0.75;9.0
o;11;36.25;Locher Alfred;*;15;54.25;12;36.0;1;-0.25;8.5
-;15;44.75;Nufer Sämi;;17;53.75;14;45.0;-1;0.25;8.75

18b;Heeb Thierry;;;;;;;;;;53.5
o;;;Santschi Hans;;;;;;;;8.5
o;5;8.5;Grossen John;;12;55.0;5;8.5;0;0.0;8.5
+;11;17.0;Wenger Ruedi (1999);;28;34.25;10;17.25;-1;0.25;9.75
+;11;26.75;Walther Patrick;*;26;34.75;12;26.25;1;-0.5;9.75
o;10;36.5;Wittwer Jan;*;10;55.5;13;35.75;3;-0.75;8.5
o;14;45.0;Wehrli Christian;*;14;54.5;16;44.5;2;-0.5;8.5

19a;Schenk Thomas;*;;;;;;;;;53.25
+;;;Roth Robin (2000);*;;;;;;;10.0
o;1;10.0;Röthlisberger Simon;**;10;55.5;1;10.0;0;0.0;8.5
o;6;18.5;Roschi Ruedi;**;6;56.5;6;18.5;0;0.0;8.5
-;10;27.0;Siegenthaler Tobias;*;16;54.0;10;27.0;0;0.0;8.75
-;13;35.75;Schaad Remo;;16;54.0;10;36.5;-3;0.75;9.0
o;15;44.75;Renfer Lukas;*;14;54.5;15;44.75;0;0.0;8.5

19b;Stämpfli Lorenz;;;;;;;;;;53.25
o;;;Gasser Dominik (2000);;;;;;;;8.5
+;5;8.5;Dubler Mike (1999);;26;34.75;4;8.75;-1;0.25;10.0
