3080-2015-04-26_92_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Müllestein Mike;**;;;;;;;;;58.75
-;3;28.75;Betschart Remo;**;8;56.25;3;28.75;0;0.0;9.0
o;5;37.75;Elsener Adrian;*;6;56.75;4;38.0;-1;0.25;8.75
+;10;46.5;Gyr Roland;;12;55.25;9;46.75;-1;0.25;10.0

7d;Suppiger René;**;;;;;;;;;56.5
o;;;Laimbacher Adrian;***;;;;;;;8.5
+;5;8.5;Schuler Daniel;;14;54.75;2;9.75;-3;1.25;9.75
+;7;18.25;Blaser Urs (1997);;25;35.25;7;18.25;0;0.0;10.0
+;5;28.25;Heinzer Stefan;*;6;56.75;4;28.5;-1;0.25;9.75
+;4;38.0;Kenel Franz-Toni;*;10;55.75;2;38.5;-2;0.5;10.0
o;4;48.0;Laimbacher Philipp;***;3;57.5;6;47.5;2;-0.5;8.5

7e;Betschart Silvan;;;;;;;;;;56.5
+;;;Langenegger Simon;;;;;;;;9.75
+;2;9.75;Strebel Sandro;**;32;17.25;5;8.5;3;-1.25;9.75
o;3;19.5;Müllestein Mike;**;1;58.75;4;19.0;1;-0.5;8.5
+;6;28.0;Bienz Romeo (1997);;13;55.0;5;28.25;-1;0.25;10.0
o;4;38.0;Betschart Remo;**;8;56.25;5;37.75;1;-0.25;8.5
+;10;46.5;Weber Ivo;;12;55.25;9;46.75;-1;0.25;10.0

7f;Schuler Philipp;**;;;;;;;;;56.5
-;;;Elsener Peter;**;;;;;;;9.0
-;3;9.0;Zurfluh Roman;;10;55.75;1;10.0;-2;1.0;9.0
+;8;18.0;Reichmuth Roland (1997);;24;35.5;6;18.5;-2;0.5;10.0
-;6;28.0;Bieri Christian;*;16;54.25;5;28.25;-1;0.25;9.0
+;8;37.0;Elsener Manuel;;17;54.0;8;37.0;0;0.0;9.75
+;9;46.75;Betschart Daniel;;11;55.5;8;47.0;-1;0.25;9.75

7g;Diener Pirmin;;;;;;;;;;56.5
+;;;Durrer Fabian (1999);;;;;;;;10.0
+;1;10.0;Suter Samuel (1999);;24;35.5;1;10.0;0;0.0;9.75
o;2;19.75;Nötzli Bruno;***;4;57.25;5;18.75;3;-1.0;8.5
+;5;28.25;Diethelm Albert;*;17;54.0;5;28.25;0;0.0;9.75
o;4;38.0;Hösli Fritz;*;11;55.5;7;37.25;3;-0.75;8.5
+;10;46.5;Bürgler Lukas;;13;55.0;11;46.25;1;-0.25;10.0

7h;Linggi Bruno;**;;;;;;;;;56.5
+;;;Stocker Thomas;**;;;;;;;9.75
o;2;9.75;Grab Martin;***;3;57.5;2;9.75;0;0.0;8.5
+;7;18.25;Suter Beat;;12;55.25;6;18.5;-1;0.25;9.75
-;6;28.0;Betschart Rainer;**;6;56.75;5;28.25;-1;0.25;8.75
+;9;36.75;Herger Fabian;;16;54.25;9;36.75;0;0.0;10.0
+;9;46.75;Schuler Daniel;;14;54.75;11;46.25;2;-0.5;9.75

8a;Kennel Beat;*;;;;;;;;;56.25
+;;;Strebel Sandro;**;;;;;;;9.75
o;2;9.75;Müller Bruno;***;6;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Bucher Thomas;;10;55.75;5;18.75;-2;0.5;9.75
+;6;28.0;Märchy Sepp;;11;55.5;4;28.5;-2;0.5;9.75
o;5;37.75;Mahrer Jürg;**;7;56.5;4;38.0;-1;0.25;8.5
+;11;46.25;Bürgler Lukas;;13;55.0;11;46.25;0;0.0;10.0

8b;Betschart Remo;**;;;;;;;;;56.25
-;;;Schuler Alex;**;;;;;;;9.0
+;3;9.0;Diethelm Albert;*;17;54.0;1;10.0;-2;1.0;10.0
+;4;19.0;Schelbert Roman;;12;55.25;2;19.75;-2;0.75;9.75
-;3;28.75;Nötzli Reto;***;7;56.5;3;28.75;0;0.0;9.0
+;5;37.75;Betschart Silvan;;7;56.5;4;38.0;-1;0.25;10.0
o;5;47.75;Grab Martin;***;3;57.5;5;47.75;0;0.0;8.5

8c;Kempf Elias;**;;;;;;;;;56.25
-;;;Gwerder Guido;**;;;;;;;8.75
+;4;8.75;Effinger Peter;;15;54.5;1;10.0;-3;1.25;10.0
-;5;18.75;Keller Janik;;12;55.25;6;18.5;1;-0.25;9.0
