3080-2015-04-26_92_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Müllestein Mike;**;;;;;;;;;58.75
+;12;17.0;Zimmermann Fabian;;24;35.5;12;17.0;0;0.0;9.75
o;11;26.75;Zimmermann Martin;*;14;54.75;13;26.25;2;-0.5;8.5

25c;Reimann Marco (1998);;;;;;;;;;35.25
o;;;Schelbert Roman;;;;;;;;8.5
+;5;8.5;Forster Pirmin (1999);;29;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Waser Reto;*;11;55.5;11;17.25;4;-1.0;8.5
o;11;26.75;Betschart Michael;;17;54.0;11;26.75;0;0.0;8.5

25d;Ulrich Marcel;;;;;;;;;;35.25
o;;;Märchy Sepp;;;;;;;;8.5
o;5;8.5;Neyer Sven;;15;54.5;4;8.75;-1;0.25;8.5
o;12;17.0;Rolli Ueli;;18;53.75;11;17.25;-1;0.25;8.5
+;16;25.5;Kennel Roger (1999);;28;34.5;14;26.0;-2;0.5;9.75

25e;Ulrich Damian (1999);;;;;;;;;;35.25
o;;;Küttel Samuel (1997);;;;;;;;8.5
o;5;8.5;Schelbert Eugen;;24;35.5;5;8.5;0;0.0;8.5
+;12;17.0;Stalder Florian (1999);;30;34.0;12;17.0;0;0.0;9.75
o;11;26.75;Stocker Thomas;**;24;35.5;16;25.5;5;-1.25;8.5

25f;Staub Devin (1998);;;;;;;;;;35.25
+;;;Inderbitzin Karl;;;;;;;;9.75
o;2;9.75;Lüönd Andreas;**;10;55.75;4;8.75;2;-1.0;8.5
o;7;18.25;Schmid Köbi;;11;55.5;6;18.5;-1;0.25;8.5
o;11;26.75;Zimmermann Armin;;12;55.25;11;26.75;0;0.0;8.5

25g;Blaser Urs (1997);;;;;;;;;;35.25
o;;;Schmid Köbi;;;;;;;;8.5
+;5;8.5;Zimmermann Reto (1998);;25;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Suppiger René;**;7;56.5;7;18.25;0;0.0;8.5
o;11;26.75;Herger Fabian;;16;54.25;11;26.75;0;0.0;8.5

25h;Rogenmoser Ryan (1999);;;;;;;;;;35.25
+;;;Wiget Ueli (1999);;;;;;;;9.75
o;2;9.75;Laimbacher Alex;;12;55.25;1;10.0;-1;0.25;8.5
o;7;18.25;Keller Markus;*;14;54.75;11;17.25;4;-1.0;8.5
o;11;26.75;Inderbitzin Michael;;19;53.5;13;26.25;2;-0.5;8.5

25i;Marty Lukas (1998);;;;;;;;;;35.25
+;;;Brunner Timon (1998);;;;;;;;9.75
o;2;9.75;Hösli Fritz;*;11;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Schürpf Bruno;;13;55.0;6;18.5;-1;0.25;8.5
o;11;26.75;Meier Andreas;;18;53.75;11;26.75;0;0.0;8.5

25j;Moos Thomas;;;;;;;;;;35.25
o;;;Corvi Dominik;;;;;;;;8.5
+;5;8.5;Betschart Patrick (1999);;20;53.25;4;8.75;-1;0.25;9.75
o;7;18.25;Kälin Roland;**;12;55.25;11;17.25;4;-1.0;8.5
o;11;26.75;Heinzer Josef;;13;55.0;11;26.75;0;0.0;8.5

25k;Wiget Ueli (1999);;;;;;;;;;35.25
o;;;Rogenmoser Ryan (1999);;;;;;;;8.5
+;5;8.5;Kälin Dominik (1999);;30;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Zimmermann Daniel;*;14;54.75;12;17.0;5;-1.25;8.5
o;11;26.75;Grab Martin (1999);;17;54.0;10;27.0;-1;0.25;8.5

26a;Schuler Koni;;;;;;;;;;35.0
-;;;Kennel Roger (1999);;;;;;;;8.75
-;4;8.75;Langenegger Simon;;21;53.0;5;8.5;1;-0.25;9.0
-;9;17.75;Meier Marcel;;24;35.5;7;18.25;-2;0.5;8.75
o;12;26.5;Betschart Patrick (1999);;20;53.25;13;26.25;1;-0.25;8.5

26b;Supper Frederik;;;;;;;;;;35.0
-;;;Betschart Patrick (1999);;;;;;;;8.75
o;4;8.75;Keller Janik;;12;55.25;4;8.75;0;0.0;8.5
-;11;17.25;Bingisser Roman;;16;54.25;11;17.25;0;0.0;8.75
-;14;26.0;Diethelm Samuel;;28;34.5;15;25.75;1;-0.25;9.0

27a;Mangold Martin;;;;;;;;;;34.75
o;;;Fassbind René;;;;;;;;8.5
-;5;8.5;Suter Kari;;21;53.0;4;8.75;-1;0.25;8.75
-;11;17.25;Inderbitzin Michael;;19;53.5;10;17.5;-1;0.25;8.75
-;14;26.0;Heinzer Florian;;24;35.5;11;26.75;-3;0.75;8.75

27b;Forster Christian (1997);;;;;;;;;;34.75
-;;;Wattenhofer Charly (1998);;;;;;;;9.0
o;3;9.0;Hurschler Adrian;;15;54.5;4;8.75;1;-0.25;8.5
-;10;17.5;Lagler Christian;;15;54.5;10;17.5;0;0.0;8.75
o;13;26.25;Bingisser Roman;;16;54.25;14;26.0;1;-0.25;8.5

28a;Diethelm Samuel;;;;;;;;;;34.5
o;;;Elsener Manuel;;;;;;;;8.5
o;5;8.5;Widmer Thomas;;17;54.0;5;8.5;0;0.0;8.5
-;12;17.0;Zweifel Frowin;;29;34.25;12;17.0;0;0.0;8.75
-;15;25.75;Supper Frederik;;26;35.0;14;26.0;-1;0.25;8.75

28b;Kennel Roger (1999);;;;;;;;;;34.5
-;;;Schuler Koni;;;;;;;;8.75
-;4;8.75;Schmid Pius (1999);;29;34.25;5;8.5;1;-0.25;8.75
o;10;17.5;Wetzstein Adrian;;18;53.75;10;17.5;0;0.0;8.5
o;14;26.0;Ulrich Marcel;;25;35.25;16;25.5;2;-0.5;8.5

28c;Wild Kilian (1998);;;;;;;;;;34.5
o;;;Suter Pirmin (1997);;;;;;;;8.5
-;5;8.5;Müller Dominik;;16;54.25;5;8.5;0;0.0;8.75
-;11;17.25;Föhn Michael (1999);;22;52.75;11;17.25;0;0.0;8.75
o;14;26.0;Kempf Damian;;19;53.5;13;26.25;-1;0.25;8.5

29a;Rogenmoser Manuel (1999);;;;;;;;;;34.25
o;;;Suter Paul;;;;;;;;8.5
o;5;8.5;Dettling Thomas (1998);;18;53.75;5;8.5;0;0.0;8.5
-;12;17.0;Forster Pirmin (1999);;29;34.25;12;17.0;0;0.0;8.75
o;15;25.75;Dober Adrian (1998);;24;35.5;16;25.5;1;-0.25;8.5

29b;Zweifel Frowin;;;;;;;;;;34.25
o;;;Effinger Peter;;;;;;;;8.5
o;5;8.5;Knobel Guido;;24;35.5;5;8.5;0;0.0;8.5
-;12;17.0;Diethelm Samuel;;28;34.5;12;17.0;0;0.0;8.75
o;15;25.75;Lagler Christian;;15;54.5;13;26.25;-2;0.5;8.5

29c;Forster Pirmin (1999);;;;;;;;;;34.25
o;;;Grab Martin (1999);;;;;;;;8.5
o;5;8.5;Reimann Marco (1998);;25;35.25;5;8.5;0;0.0;8.5
-;12;17.0;Rogenmoser Manuel (1999);;29;34.25;12;17.0;0;0.0;8.75
o;15;25.75;Schilter Daniel;;24;35.5;16;25.5;1;-0.25;8.5

29d;Schmid Pius (1999);;;;;;;;;;34.25
o;;;Bruhin Fredi (1997);;;;;;;;8.5
-;5;8.5;Kennel Roger (1999);;28;34.5;4;8.75;-1;0.25;8.75
o;11;17.25;Schindler Roland;;16;54.25;11;17.25;0;0.0;8.5
o;15;25.75;Kessler Joel (1997);;15;54.5;13;26.25;-2;0.5;8.5

30a;Kälin Dominik (1999);;;;;;;;;;34.0
o;;;Suter Samuel (1999);;;;;;;;8.5
o;5;8.5;Wiget Ueli (1999);;25;35.25;5;8.5;0;0.0;8.5
o;12;17.0;Durrer Fabian (1999);;21;53.0;11;17.25;-1;0.25;8.5
o;16;25.5;Andermatt Adrian;;17;54.0;15;25.75;-1;0.25;8.5

30b;Stalder Florian (1999);;;;;;;;;;34.0
o;;;Ulrich Pascal (1999);;;;;;;;8.5
o;5;8.5;Reichmuth Roland (1997);;24;35.5;5;8.5;0;0.0;8.5
o;12;17.0;Ulrich Damian (1999);;25;35.25;12;17.0;0;0.0;8.5
o;16;25.5;Wattenhofer Charly (1998);;21;53.0;14;26.0;-2;0.5;8.5

30c;Andermatt Erwin (1999);;;;;;;;;;34.0
o;;;Betschart Fabian (1999);;;;;;;;8.5
o;5;8.5;Baumann Lukas;;17;54.0;5;8.5;0;0.0;8.5
o;12;17.0;Flühler Markus;;24;35.5;12;17.0;0;0.0;8.5
o;16;25.5;Langenegger Simon;;21;53.0;15;25.75;-1;0.25;8.5

30d;Brunner Timon (1998);;;;;;;;;;34.0
o;;;Marty Lukas (1998);;;;;;;;8.5
o;5;8.5;Hurschler Michael;;14;54.75;4;8.75;-1;0.25;8.5
o;12;17.0;Zimmermann Reto (1998);;25;35.25;12;17.0;0;0.0;8.5
o;16;25.5;Föhn Michael (1999);;22;52.75;14;26.0;-2;0.5;8.5

30e;Bösch Dario (1999);;;;;;;;;;34.0
o;;;Hess Dominik;;;;;;;;8.5
o;5;8.5;Keiser Martin;;24;35.5;5;8.5;0;0.0;8.5
o;12;17.0;Walker Roger;;17;54.0;12;17.0;0;0.0;8.5
o;16;25.5;Hegglin Marc;;24;35.5;16;25.5;0;0.0;8.5

30f;Weber Manuel (1999);;;;;;;;;;34.0
o;;;Elsener Marcel;;;;;;;;8.5
o;5;8.5;Baumann Marco;;20;53.25;5;8.5;0;0.0;8.5
o;12;17.0;Bär Leo;;24;35.5;12;17.0;0;0.0;8.5
o;16;25.5;Zimmermann Fabian;;24;35.5;16;25.5;0;0.0;8.5

31a;Arnold Raphael;*;;;;;;;;;18.25
+;;;Waser Reto;*;;;;;;;9.75
o;2;9.75;Laimbacher Adrian;***;3;57.5;1;10.0;-1;0.25;8.5

31b;Horat Ramon;;;;;;;;;;18.25
o;;;Schürpf Bruno;;;;;;;;8.5
+;5;8.5;Flühler Markus;;24;35.5;5;8.5;0;0.0;9.75

32a;Strebel Sandro;**;;;;;;;;;17.25
o;;;Kennel Beat;*;;;;;;;8.5
o;5;8.5;Betschart Silvan;;7;56.5;2;9.75;-3;1.25;8.75

