3727-2017-06-04_Fete_Cantonale_Fribourgeoise-ST

1a;Aeschbacher Matthias;**;;;;;;;;;59.25
+;;;Kyburz Silas;;;;;;;;9.75
+;2;9.75;Gross Florian;*;9;55.5;4;8.75;2;-1.0;9.75
o;3;19.5;Gassmann Simon;*;8;55.75;5;18.75;2;-0.75;8.5
-;6;28.0;Aladenise Jonathan;;10;55.25;6;28.0;0;0.0;8.75
+;9;36.75;Gauch Thierry;;16;53.75;9;36.75;0;0.0;10.0
o;6;46.75;Borcard Johann;**;8;55.75;10;45.75;4;-1.0;8.5

10b;Aladenise Jonathan;;;;;;;;;;55.25
+;;;Blanchette Nicolas;;;;;;;;9.75
o;2;9.75;Minder Florian;;7;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Turrian Mathias;;15;54.0;6;18.5;-1;0.25;9.75
-;6;28.0;Crettaz Olivier;;10;55.25;6;28.0;0;0.0;8.75
+;9;36.75;Berset Cyril;*;18;53.0;17;34.5;8;-2.25;10.0
o;6;46.75;Brodard Simon;**;7;56.0;9;46.0;3;-0.75;8.5

10c;Lützelschwab Luc (1999);;;;;;;;;;55.25
+;;;Charrière Simon (2000);;;;;;;;10.0
o;1;10.0;Haenni Stéphane;**;7;56.0;4;8.75;3;-1.25;8.5
o;6;18.5;Dind Samuel;**;8;55.75;6;18.5;0;0.0;8.5
+;9;27.0;Ganière William;;19;52.75;9;27.0;0;0.0;9.75
+;9;36.75;Zarai Mouadh;;16;53.75;9;36.75;0;0.0;10.0
o;6;46.75;Giroud Jonathan;**;4;56.75;6;46.75;0;0.0;8.5

10d;Zingrich Jan (1999);;;;;;;;;;55.25
+;;;Pürro David (2001);;;;;;;;10.0
o;1;10.0;Roch Vincent;**;9;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Riedo Fredy;;2;57.25;6;18.5;0;0.0;8.5
o;9;27.0;Hofer Sven;;4;56.75;9;27.0;0;0.0;8.5
+;14;35.5;Pittet Guillaume;;16;53.75;14;35.5;0;0.0;9.75
+;12;45.25;Pellet Adrian;;16;53.75;12;45.25;0;0.0;10.0

10e;Crausaz Simon;;;;;;;;;;55.25
+;;;Maridor Loïc;;;;;;;;10.0
o;1;10.0;Moser Steven;**;3;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Ganière William;;19;52.75;6;18.5;0;0.0;9.75
+;5;28.25;Ledermann Michael (2000);;11;55.0;6;28.0;1;-0.25;10.0
o;3;38.25;Dind Samuel;**;8;55.75;8;37.0;5;-1.25;8.5
o;6;46.75;Sommer Roman;*;6;56.25;8;46.25;2;-0.5;8.5

10f;Grossenbacher Marc (2000);;;;;;;;;;55.25
o;;;Portmann Fabio;;;;;;;;8.5
+;5;8.5;Hochuli Samuel;;15;54.0;5;8.5;0;0.0;9.75
+;7;18.25;Bel Yannick (2001);;21;52.25;7;18.25;0;0.0;10.0
o;5;28.25;Brodard Augustin;**;8;55.75;9;27.0;4;-1.25;8.5
+;9;36.75;Curty Alexandre;;16;53.75;10;36.5;1;-0.25;10.0
o;6;46.75;Emonet Frédéric;*;5;56.5;7;46.5;1;-0.25;8.5

10g;Cottier Marco (2000);;;;;;;;;;55.25
o;;;Von Niederhäusern Martin;;;;;;;;8.5
+;5;8.5;Tchedre Abdourahaman;;16;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Dind Clément;;12;54.75;7;18.25;1;-0.25;8.5
o;9;27.0;Cotting Alexandre;;9;55.5;9;27.0;0;0.0;8.5
+;14;35.5;Vaucher Rémy (2000);;20;52.5;18;34.0;4;-1.5;10.0
+;11;45.5;Turrian Mathias;;15;54.0;11;45.5;0;0.0;9.75

10h;Buchs Carlo;;;;;;;;;;55.25
+;;;Hayoz Quentin;;;;;;;;9.75
+;2;9.75;Schöpfer Dio;**;14;54.25;5;8.5;3;-1.25;10.0
o;2;19.75;Kramer Lario;**;3;57.0;4;19.0;2;-0.75;8.5
o;5;28.25;Gottofrey Luc;;4;56.75;4;28.5;-1;0.25;8.5
+;9;36.75;Rapin Florent;;14;54.25;7;37.25;-2;0.5;10.0
o;6;46.75;Glauser Thomas;**;3;57.0;4;47.25;-2;0.5;8.5

10i;Vonlanthen Alexandre;;;;;;;;;;55.25
+;;;Torche Bastian;;;;;;;;10.0
o;1;10.0;Loup Alexandre;*;14;54.25;4;8.75;3;-1.25;8.5
o;6;18.5;Ledermann Michael (2000);;11;55.0;7;18.25;1;-0.25;8.5
o;9;27.0;Minder Florian;;7;56.0;7;27.5;-2;0.5;8.5
+;14;35.5;Charrière Simon (2000);;20;52.5;14;35.5;0;0.0;9.75
+;12;45.25;Tchedre Abdourahaman;;16;53.75;12;45.25;0;0.0;10.0

10j;Ducry Antoine;*;;;;;;;;;55.25
+;;;Ducrest Etienne;*;;;;;;;9.75
o;2;9.75;Roth Dominik;**;3;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Cotting Alexandre;;9;55.5;6;18.5;-1;0.25;10.0
+;5;28.25;Golliard Steve;;11;55.0;6;28.0;1;-0.25;10.0
o;3;38.25;Dousse Michel;**;3;57.0;2;38.5;-1;0.25;8.5
