5628-2022-07-24_Fete_Cantonale_Fribourgeoise-ST

1a;Kramer Lario;***;;;;;;;;;59.5
10g;Wiget Adrian (2004);;;;;;;;;;55.25
+;;;Balimann Fabian;;;;;;;;9.75
o;2;9.75;Derron Cédric;*;9;55.5;5;8.5;3;-1.25;8.5
+;6;18.25;Berger Alan;;16;53.75;6;18.25;0;0.0;10.0
o;4;28.25;Borcard Johann;**;5;56.5;4;28.25;0;0.0;8.5
+;9;36.75;Mermillod Jérôme (2004);;15;54.0;8;37.0;-1;0.25;10.0
o;8;46.75;Ducrest Etienne;*;2;57.25;6;47.25;-2;0.5;8.5

10h;Emonet Frédéric;**;;;;;;;;;55.25
+;;;Sturny Nicolas;**;;;;;;;9.75
o;2;9.75;Kramer Lario;***;1;59.5;2;9.75;0;0.0;8.5
o;6;18.25;Monney Branighan;;9;55.5;4;18.75;-2;0.5;8.5
+;9;26.75;Messerli Niklaus;;21;52.5;8;27.0;-1;0.25;10.0
o;9;36.75;Mollet Ivan;**;8;55.75;7;37.25;-2;0.5;8.5
+;14;45.25;Schwab Livio (2005);;15;54.0;13;45.5;-1;0.25;10.0

10i;Ducry Antoine;**;;;;;;;;;55.25
+;;;Crettaz Olivier;*;;;;;;;9.75
o;2;9.75;Duplan Steve;***;4;56.75;2;9.75;0;0.0;8.5
+;6;18.25;Chofflon Anthony;;11;55.0;5;18.5;-1;0.25;10.0
o;4;28.25;Balimann Sandro;*;7;56.0;5;28.0;1;-0.25;8.5
+;9;36.75;Wieland Timon;;10;55.25;9;36.75;0;0.0;10.0
o;8;46.75;Moser Steven;**;4;56.75;7;47.0;-1;0.25;8.5

10j;Buchs Noah (2004);;;;;;;;;;55.25
+;;;Jacquaz Fabien (2006);;;;;;;;10.0
o;1;10.0;Loup Alexandre;*;13;54.5;4;8.75;3;-1.25;8.5
+;5;18.5;Erb Vincent;;18;53.25;5;18.5;0;0.0;9.75
o;4;28.25;Stoll Thomas;*;13;54.5;8;27.0;4;-1.25;8.75
+;8;37.0;Monney Branighan;;9;55.5;8;37.0;0;0.0;9.75
o;8;46.75;Gottofrey Marc;**;5;56.5;8;46.75;0;0.0;8.5

10k;Collaud Bastien (2005);;;;;;;;;;55.25
+;;;Steiner Pirmin;;;;;;;;9.75
+;2;9.75;Portmann Fabio;*;11;55.0;5;8.5;3;-1.25;10.0
o;2;19.75;Moser Steven;**;4;56.75;5;18.5;3;-1.25;8.5
o;4;28.25;Riedo Fredy;*;5;56.5;4;28.25;0;0.0;8.5
o;9;36.75;Clément Aurélien;;10;55.25;9;36.75;0;0.0;8.5
+;14;45.25;Burri Flemming;;16;53.75;14;45.25;0;0.0;10.0

10l;Clément Aurélien;;;;;;;;;;55.25
+;;;Tissot Joffrey (2006);;;;;;;;9.75
o;2;9.75;Fankhauser Hans;*;10;55.25;4;8.75;2;-1.0;8.5
+;6;18.25;Zbinden Samuel;;16;53.75;5;18.5;-1;0.25;10.0
o;4;28.25;Gottofrey Luc;*;4;56.75;5;28.0;1;-0.25;8.5
+;9;36.75;Collaud Bastien (2005);;10;55.25;9;36.75;0;0.0;10.0
o;8;46.75;Siegenthaler Leo (2005);**;5;56.5;8;46.75;0;0.0;8.5

11a;Wenger Marco;;;;;;;;;;55.0
+;;;Fankhauser Tom (2006);;;;;;;;9.75
o;2;9.75;Guisolan Marc;**;8;55.75;5;8.5;3;-1.25;8.5
+;6;18.25;Von Niederhäusern Marcel;;18;53.25;7;17.5;1;-0.75;9.75
o;5;28.0;Hayoz Paul;*;10;55.25;7;27.25;2;-0.75;8.5
o;10;36.5;Bucher Roman;;13;54.5;12;36.0;2;-0.5;8.5
+;15;45.0;Cressier Gaetan;;17;53.5;15;45.0;0;0.0;10.0

11b;Fuchs Sylvain (2005);;;;;;;;;;55.0
+;;;Vaucher Rémy;;;;;;;;10.0
o;1;10.0;Mollet Ivan;**;8;55.75;4;8.75;3;-1.25;8.5
o;5;18.5;Zbinden Lukas;;4;56.75;5;18.5;0;0.0;8.5
