3386-2016-05-16_Glarner-Buendner_Kantonalschwingfest-ST

1a;Orlik Armon;**;;;;;;;;;58.75
-;3;9.0;Elmer Daniel;*;19;53.5;4;8.75;1;-0.25;9.0
+;8;18.0;Sonderegger Patrik (2000);;27;35.25;7;18.25;-1;0.25;10.0
-;7;28.0;Vestner Roman;*;11;55.5;7;28.0;0;0.0;8.75
o;9;36.75;Hasler Florian;**;11;55.5;8;37.0;-1;0.25;8.5
+;14;45.25;Vollmeier Sandro;;18;53.75;14;45.25;0;0.0;10.0

12e;Arnold Andreas;*;;;;;;;;;55.25
o;;;Vestner Roman;*;;;;;;;8.5
+;5;8.5;Breitenmoser Simon;;11;55.5;2;9.75;-3;1.25;9.75
o;7;18.25;Gmür Pirmin;*;12;55.25;6;18.5;-1;0.25;8.5
+;12;26.75;Wittenwiler Roman (1998);;14;54.75;9;27.5;-3;0.75;10.0
+;9;36.75;Frick Andreas;*;11;55.5;8;37.0;-1;0.25;10.0
o;8;46.75;Horner Peter;**;6;56.75;7;47.0;-1;0.25;8.5

12f;Gmür Pirmin;*;;;;;;;;;55.25
-;;;Schläpfer Matthias;*;;;;;;;8.75
+;4;8.75;Schwyn Patrick (1999);;27;35.25;2;9.75;-2;1.0;9.75
+;6;18.5;Arnold Andreas;*;12;55.25;7;18.25;1;-0.25;9.75
+;6;28.25;Fuster Sepp;;16;54.25;4;28.75;-2;0.5;10.0
o;3;38.25;Schläpfer Markus;**;9;56.0;6;37.5;3;-0.75;8.5
o;8;46.75;Bless Michael;***;5;57.0;7;47.0;-1;0.25;8.5

12g;Koch Thomas;;;;;;;;;;55.25
+;;;Hämmerli Gian-Franco;*;;;;;;;9.75
+;2;9.75;Rütsche Stefan;*;29;34.25;5;8.5;3;-1.25;9.75
o;3;19.5;Glaus Martin;***;5;57.0;6;18.5;3;-1.0;8.5
+;7;28.0;Schnyder Christian;;17;54.0;5;28.5;-2;0.5;10.0
o;4;38.0;Bernold Christian;*;8;56.25;5;37.75;1;-0.25;8.75
o;8;46.75;Reber Marcel;*;6;56.75;7;47.0;-1;0.25;8.5

13a;Gysel Hansruedi;;;;;;;;;;55.0
o;;;Kunz Daniel;;;;;;;;8.5
o;5;8.5;Kammermann Dominik;;11;55.5;4;8.75;-1;0.25;8.75
+;11;17.25;Thoma Christoph;;16;54.25;11;17.25;0;0.0;9.75
o;11;27.0;Reber Marcel;*;6;56.75;10;27.25;-1;0.25;8.5
+;14;35.5;Lötscher Abraham (2000);;21;52.75;14;35.5;0;0.0;9.75
+;14;45.25;Gosswiler Livio (2000);;17;54.0;13;45.5;-1;0.25;9.75

13b;Hersche Daniel;;;;;;;;;;55.0
+;;;Dudli Gallus;;;;;;;;10.0
o;1;10.0;Horner Peter;**;6;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Breitenmoser Simon;;11;55.5;7;18.25;1;-0.25;9.75
o;6;28.25;Nägeli Marco;*;4;57.25;8;27.75;2;-0.5;8.5
o;9;36.75;Bäbler Dominik;*;11;55.5;9;36.75;0;0.0;8.5
+;14;45.25;Ott Damian (2000);;18;53.75;14;45.25;0;0.0;9.75

13c;Bärtsch Jann (2000);;;;;;;;;;55.0
o;;;Fässler Patrick;;;;;;;;8.5
+;5;8.5;Wirth Adrian;;28;34.5;5;8.5;0;0.0;9.75
-;7;18.25;Stahel Felix;*;16;54.25;11;17.25;4;-1.0;8.75
+;11;27.0;Lanter Christian (1998);;11;55.5;11;27.0;0;0.0;9.75
+;9;36.75;Bottlang Michael;;23;45.5;9;36.75;0;0.0;9.75
o;9;46.5;Giger Urs;*;7;56.5;8;46.75;-1;0.25;8.5

13d;Pfister Florian;*;;;;;;;;;55.0
o;;;Landolt Reto;*;;;;;;;8.5
+;5;8.5;Lötscher Abraham (2000);;21;52.75;2;9.75;-3;1.25;9.75
o;7;18.25;Horner Peter;**;6;56.75;6;18.5;-1;0.25;8.5
+;12;26.75;Aebli Nino (2000);;16;54.25;10;27.25;-2;0.5;9.75
+;10;36.5;Held Florian;;17;54.0;14;35.5;4;-1.0;10.0
o;9;46.5;Clopath Beat;***;8;56.25;10;46.25;1;-0.25;8.5

14a;Kuster Thomas;*;;;;;;;;;54.75
-;;;Bäbler Dominik;*;;;;;;;8.75
o;4;8.75;Bernold Christian;*;8;56.25;3;9.0;-1;0.25;8.75
+;10;17.5;Trümpi Simon (1998);;18;53.75;6;18.5;-4;1.0;10.0
-;9;27.5;Hämmerli Gian-Franco;*;12;55.25;12;26.75;3;-0.75;8.75
+;11;36.25;Elmer Daniel;*;19;53.5;11;36.25;0;0.0;10.0
o;10;46.25;Kindlimann Fabian;***;8;56.25;10;46.25;0;0.0;8.5

14b;Güntensperger Marcel;*;;;;;;;;;54.75
o;;;Brügger Stefan;*;;;;;;;8.5
+;5;8.5;Oertle Daniel;;11;55.5;2;9.75;-3;1.25;9.75
o;7;18.25;Höfliger Andreas;**;9;56.0;11;17.25;4;-1.0;8.5
+;12;26.75;Biäsch Christian;;14;54.75;9;27.5;-3;0.75;9.75
o;10;36.5;Peng Mike;***;15;54.5;13;35.75;3;-0.75;8.5
+;15;45.0;Schwyn Adrian;;21;52.75;18;44.25;3;-0.75;9.75

14c;Wittenwiler Roman (1998);;;;;;;;;;54.75
-;;;Fontana Michael;;;;;;;;8.75
o;4;8.75;Frei Hanspeter (1999);;17;54.0;4;8.75;0;0.0;8.75
+;10;17.5;Betschart Fabian (1999);;21;52.75;7;18.25;-3;0.75;10.0
o;9;27.5;Arnold Andreas;*;12;55.25;12;26.75;3;-0.75;8.5
+;12;36.0;Frauchiger Remo;;24;44.5;12;36.0;0;0.0;10.0
o;11;46.0;Schudel Simon;*;10;55.75;12;45.75;1;-0.25;8.75

14d;Biäsch Christian;;;;;;;;;;54.75
o;;;Oertle Daniel;;;;;;;;8.75
-;4;8.75;Frauchiger Remo;;24;44.5;5;8.5;1;-0.25;8.75
+;10;17.5;Dudli Gallus;;29;34.25;12;17.0;2;-0.5;10.0
o;9;27.5;Güntensperger Marcel;*;14;54.75;12;26.75;3;-0.75;8.5
+;12;36.0;Bleiker Daniel;;21;52.75;14;35.5;2;-0.5;10.0
-;11;46.0;Pianta Christian;;14;54.75;11;46.0;0;0.0;8.75

14e;Pianta Christian;;;;;;;;;;54.75
+;;;Schröttenthaler Micha (1998);;;;;;;;10.0
+;1;10.0;Stahel Felix;*;16;54.25;4;8.75;3;-1.25;9.75
-;2;19.75;Peng Mike;***;15;54.5;7;18.25;5;-1.5;8.75
o;5;28.5;Brügger Stefan;*;10;55.75;6;28.25;1;-0.25;8.5
-;8;37.0;Jörger Marc;;15;54.5;8;37.0;0;0.0;9.0
-;11;46.0;Biäsch Christian;;14;54.75;11;46.0;0;0.0;8.75

14f;Holenstein Christian;*;;;;;;;;;54.75
-;;;Reber Marcel;*;;;;;;;8.75
-;4;8.75;Schläpfer Matthias;*;15;54.5;4;8.75;0;0.0;8.75
+;10;17.5;Schwyn Adrian;;21;52.75;6;18.5;-4;1.0;9.75
-;10;27.25;Fässler Patrick;;11;55.5;6;28.25;-4;1.0;8.75
+;12;36.0;Horner Sämi;;16;54.25;8;37.0;-4;1.0;10.0
-;11;46.0;Peng Mike;***;15;54.5;12;45.75;1;-0.25;8.75

15a;Jörger Marc;;;;;;;;;;54.5
+;;;Koch Reto;;;;;;;;9.75
o;2;9.75;Litscher Manuel;*;15;54.5;5;8.5;3;-1.25;8.75
+;6;18.5;Riedi Thomas;;12;55.25;7;18.25;1;-0.25;10.0
o;5;28.5;Schmid Patrick;*;11;55.5;5;28.5;0;0.0;8.5
-;8;37.0;Pianta Christian;;14;54.75;8;37.0;0;0.0;9.0
o;11;46.0;Kammermann Dominik;;11;55.5;12;45.75;1;-0.25;8.5

15b;Danner Daniel;;;;;;;;;;54.5
-;;;Gartmann Mauro;;;;;;;;8.75
+;4;8.75;Moser Yanick (1999);;28;34.5;4;8.75;0;0.0;10.0
o;5;18.75;Vestner Roman;*;11;55.5;7;18.25;2;-0.5;8.5
o;10;27.25;Fontana Michael;;9;56.0;10;27.25;0;0.0;8.5
+;13;35.75;Oetiker Ronny;;18;53.75;10;36.5;-3;0.75;10.0
-;12;45.75;Elmer Daniel;*;19;53.5;16;44.75;4;-1.0;8.75

15c;Litscher Manuel;*;;;;;;;;;54.5
o;;;Schudel Simon;*;;;;;;;8.5
+;5;8.5;Jörger Marc;;15;54.5;2;9.75;-3;1.25;10.0
o;6;18.5;Kindlimann Fabian;***;8;56.25;5;18.75;-1;0.25;8.5
-;11;27.0;Oetiker Ronny;;18;53.75;9;27.5;-2;0.5;8.75
-;13;35.75;Stahel Felix;*;16;54.25;13;35.75;0;0.0;8.75
+;17;44.5;Aliesch Noah (1998);;19;53.5;15;45.0;-2;0.5;10.0

15d;Peng Mike;***;;;;;;;;;54.5
o;;;Glaus Martin;***;;;;;;;8.5
+;5;8.5;Schudel Simon;*;10;55.75;1;10.0;-4;1.5;9.75
-;7;18.25;Pianta Christian;;14;54.75;2;19.75;-5;1.5;8.75
-;11;27.0;Bleiker Reto;*;17;54.0;6;28.25;-5;1.25;8.75
+;13;35.75;Güntensperger Marcel;*;14;54.75;10;36.5;-3;0.75;10.0
-;12;45.75;Holenstein Christian;*;14;54.75;11;46.0;-1;0.25;8.75

15e;Büchler Remo;**;;;;;;;;;54.5
-;;;Horner Peter;**;;;;;;;8.75
-;4;8.75;Fuster Sepp;;16;54.25;1;10.0;-3;1.25;8.75
+;10;17.5;Ackermann Roman;;22;52.5;6;18.5;-4;1.0;9.75
o;10;27.25;Nötzli Reto;***;10;55.75;9;27.5;-1;0.25;8.5
+;13;35.75;Gartmann Mauro;;15;54.5;12;36.0;-1;0.25;10.0
o;12;45.75;Frick Andreas;*;11;55.5;13;45.5;1;-0.25;8.75

15f;Gartmann Mauro;;;;;;;;;;54.5
-;;;Danner Daniel;;;;;;;;8.75
+;4;8.75;Thoma Christoph;;16;54.25;4;8.75;0;0.0;10.0
o;5;18.75;Giger Urs;*;7;56.5;6;18.5;1;-0.25;8.5
-;10;27.25;Elmer Adrian;;16;54.25;11;27.0;1;-0.25;8.75
o;12;36.0;Büchler Remo;**;15;54.5;13;35.75;1;-0.25;8.5
+;17;44.5;Signer Walter (1998);;22;52.5;19;44.0;2;-0.5;10.0

15g;Schläpfer Matthias;*;;;;;;;;;54.5
-;;;Gmür Pirmin;*;;;;;;;8.75
-;4;8.75;Holenstein Christian;*;14;54.75;4;8.75;0;0.0;8.75
+;10;17.5;Lanter Christian (1998);;11;55.5;6;18.5;-4;1.0;10.0
o;9;27.5;Bäbler Dominik;*;11;55.5;11;27.0;2;-0.5;8.5
+;12;36.0;Ott Damian (2000);;18;53.75;9;36.75;-3;0.75;10.0
o;11;46.0;Rüegg Fabian;*;10;55.75;11;46.0;0;0.0;8.5

16a;Elmer Adrian;;;;;;;;;;54.25
+;;;Frauchiger Remo;;;;;;;;10.0
o;1;10.0;Schläpfer Markus;**;9;56.0;4;8.75;3;-1.25;8.5
o;6;18.5;Frick Andreas;*;11;55.5;6;18.5;0;0.0;8.5
-;11;27.0;Gartmann Mauro;;15;54.5;10;27.25;-1;0.25;8.75
-;13;35.75;Betschart Fabian (1999);;21;52.75;14;35.5;1;-0.25;8.75
+;17;44.5;Ackermann Roman;;22;52.5;19;44.0;2;-0.5;9.75

16b;Aebli Nino (2000);;;;;;;;;;54.25
o;;;Mösli Reto;;;;;;;;8.5
-;5;8.5;Giger Lorenz (2000);;18;53.75;5;8.5;0;0.0;8.75
+;11;17.25;Signer Walter (1998);;22;52.5;12;17.0;1;-0.25;10.0
o;10;27.25;Pfister Florian;*;13;55.0;12;26.75;2;-0.5;8.5
+;13;35.75;Thoma Christoph;;16;54.25;13;35.75;0;0.0;10.0
o;12;45.75;Lanter Christian (1998);;11;55.5;13;45.5;1;-0.25;8.5

16c;Freuler Franz;**;;;;;;;;;54.25
+;;;Bleiker Reto;*;;;;;;;9.75
o;2;9.75;Nötzli Reto;***;10;55.75;5;8.5;3;-1.25;8.5
-;7;18.25;Bernold Michael (1999);;11;55.5;6;18.5;-1;0.25;9.0
+;10;27.25;Frauchiger Remo;;24;44.5;10;27.25;0;0.0;10.0
o;7;37.25;Kamer Hanspeter;*;5;57.0;7;37.25;0;0.0;8.5
o;12;45.75;Koch Reto;;10;55.75;12;45.75;0;0.0;8.5

16d;Horner Sämi;;;;;;;;;;54.25
+;;;Wirth Adrian;;;;;;;;10.0
o;1;10.0;Frick Andreas;*;11;55.5;4;8.75;3;-1.25;8.5
-;6;18.5;Ott Damian (2000);;18;53.75;7;18.25;1;-0.25;8.75
+;10;27.25;Ackermann Roman;;22;52.5;11;27.0;1;-0.25;9.75
o;8;37.0;Holenstein Christian;*;14;54.75;12;36.0;4;-1.0;8.75
o;12;45.75;Schmid Patrick;*;11;55.5;13;45.5;1;-0.25;8.5

16e;Stahel Felix;*;;;;;;;;;54.25
-;;;Jöhl Christian;*;;;;;;;8.75
o;4;8.75;Pianta Christian;;14;54.75;1;10.0;-3;1.25;8.5
-;11;17.25;Bärtsch Jann (2000);;13;55.0;7;18.25;-4;1.0;8.75
+;13;26.0;Rütsche Stefan;*;29;34.25;14;25.75;1;-0.25;9.75
-;13;35.75;Litscher Manuel;*;15;54.5;13;35.75;0;0.0;8.75
+;17;44.5;Trümpi Simon (1998);;18;53.75;14;45.25;-3;0.75;9.75

16f;Fuster Sepp;;;;;;;;;;54.25
+;;;Gosswiler Livio (2000);;;;;;;;10.0
-;1;10.0;Büchler Remo;**;15;54.5;4;8.75;3;-1.25;8.75
+;5;18.75;Kunz Daniel;;26;44.0;6;18.5;1;-0.25;10.0
o;4;28.75;Gmür Pirmin;*;12;55.25;6;28.25;2;-0.5;8.5
o;7;37.25;Nötzli Bruno;***;3;57.5;6;37.5;-1;0.25;8.5
o;12;45.75;Fontana Michael;;9;56.0;11;46.0;-1;0.25;8.5

16g;Kammermann Thomas;*;;;;;;;;;54.25
o;;;Coray Beda;*;;;;;;;8.75
+;4;8.75;Sonderegger Patrik (2000);;27;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Fontana Michael;;9;56.0;5;18.75;0;0.0;9.75
o;5;28.5;Nötzli Bruno;***;3;57.5;9;27.5;4;-1.0;8.5
-;8;37.0;Fässler Patrick;;11;55.5;8;37.0;0;0.0;8.75
o;12;45.75;Rhyner Michael;**;11;55.5;12;45.75;0;0.0;8.5

16h;Thoma Christoph;;;;;;;;;;54.25
-;;;Bircher Luca (1999);;;;;;;;8.75
o;4;8.75;Gartmann Mauro;;15;54.5;4;8.75;0;0.0;8.5
o;11;17.25;Gysel Hansruedi;;13;55.0;11;17.25;0;0.0;8.5
+;14;25.75;Mathis Patrick;;27;35.25;12;26.75;-2;1.0;10.0
o;13;35.75;Aebli Nino (2000);;16;54.25;13;35.75;0;0.0;8.5
+;18;44.25;Betschart Fabian (1999);;21;52.75;18;44.25;0;0.0;10.0

17a;Held Florian;;;;;;;;;;54.0
o;;;Salnajs Leo (1998);;;;;;;;8.5
+;5;8.5;Kamm Fritz (1999);;29;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Bäbler Sandro;**;20;53.0;10;17.5;3;-0.75;8.5
-;12;26.75;Schwyn Adrian;;21;52.75;11;27.0;-1;0.25;8.75
o;14;35.5;Pfister Florian;*;13;55.0;10;36.5;-4;1.0;8.5
+;19;44.0;Manser Adrian (1998);;22;52.5;19;44.0;0;0.0;10.0

17b;Schnyder Christian;;;;;;;;;;54.0
+;;;Ochsner Reto (2000);;;;;;;;10.0
o;1;10.0;Vollenweider Jeremy (1998);*;11;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Aliesch Noah (1998);;19;53.5;7;18.25;1;-0.25;10.0
o;5;28.5;Koch Thomas;;12;55.25;7;28.0;2;-0.5;8.5
o;8;37.0;Sprecher Sandro;*;9;56.0;8;37.0;0;0.0;8.5
o;13;45.5;Bircher Luca (1999);;11;55.5;13;45.5;0;0.0;8.5

17c;Salnajs Leo (1998);;;;;;;;;;54.0
+;;;Held Florian;;;;;;;;10.0
o;1;10.0;Hirt Pascal;**;30;18.75;4;8.75;3;-1.25;8.5
o;6;18.5;Elmer Daniel;*;19;53.5;9;17.75;3;-0.75;8.5
o;11;27.0;Breitenmoser Simon;;11;55.5;12;26.75;1;-0.25;8.5
+;14;35.5;Sprecher Martin (2000);;22;52.5;14;35.5;0;0.0;10.0
o;13;45.5;Hämmerli Gian-Franco;*;12;55.25;14;45.25;1;-0.25;8.5

17d;Gosswiler Livio (2000);;;;;;;;;;54.0
o;;;Fuster Sepp;;;;;;;;8.5
+;5;8.5;Signer Walter (1998);;22;52.5;5;8.5;0;0.0;9.75
-;7;18.25;Rütsche Stefan;*;29;34.25;12;17.0;5;-1.25;8.75
o;11;27.0;Vollmeier Sandro;;18;53.75;11;27.0;0;0.0;8.5
+;14;35.5;Ackermann Roman;;22;52.5;14;35.5;0;0.0;10.0
o;13;45.5;Gysel Hansruedi;;13;55.0;14;45.25;1;-0.25;8.5

17e;Frei Hanspeter (1999);;;;;;;;;;54.0
-;;;Langenegger Beat;;;;;;;;8.75
+;4;8.75;Wittenwiler Roman (1998);;14;54.75;4;8.75;0;0.0;10.0
o;5;18.75;Brügger Stefan;*;10;55.75;6;18.5;1;-0.25;8.5
o;10;27.25;Jöhl Christian;*;10;55.75;10;27.25;0;0.0;8.5
+;13;35.75;Schiesser Patrik (1998);;20;53.0;13;35.75;0;0.0;9.75
o;13;45.5;Arztmann Beda;;10;55.75;12;45.75;-1;0.25;8.5

17f;Bleiker Reto;*;;;;;;;;;54.0
o;;;Freuler Franz;**;;;;;;;8.5
+;5;8.5;Mösli Reto;;18;53.75;2;9.75;-3;1.25;9.75
+;7;18.25;Lötscher Abraham (2000);;21;52.75;6;18.5;-1;0.25;10.0
-;6;28.25;Peng Mike;***;15;54.5;11;27.0;5;-1.25;8.75
o;8;37.0;Reber Marcel;*;6;56.75;7;37.25;-1;0.25;8.5
o;13;45.5;Fässler Patrick;;11;55.5;12;45.75;-1;0.25;8.5

18a;Giger Lorenz (2000);;;;;;;;;;53.75
o;;;Vollmeier Sandro;;;;;;;;8.5
-;5;8.5;Aebli Nino (2000);;16;54.25;5;8.5;0;0.0;8.75
o;11;17.25;Frauchiger Remo;;24;44.5;11;17.25;0;0.0;8.5
+;14;25.75;Moser Yanick (1999);;28;34.5;13;26.0;-1;0.25;9.75
o;14;35.5;Hämmerli Gian-Franco;*;12;55.25;14;35.5;0;0.0;8.5
+;19;44.0;Sprecher Martin (2000);;22;52.5;19;44.0;0;0.0;9.75

18b;Schneider Noel (2000);;;;;;;;;;53.75
o;;;Arztmann Beda;;;;;;;;8.5
o;5;8.5;Trümpi Simon (1998);;18;53.75;5;8.5;0;0.0;8.5
+;12;17.0;Laager Andreas (1999);;28;34.5;12;17.0;0;0.0;10.0
+;11;27.0;Sprecher Martin (2000);;22;52.5;12;26.75;1;-0.25;9.75
o;9;36.75;Kamer Hanspeter;*;5;57.0;7;37.25;-2;0.5;8.5
o;14;45.25;Riedi Thomas;;12;55.25;13;45.5;-1;0.25;8.5

18c;Oetiker Ronny;;;;;;;;;;53.75
-;;;Kammermann Dominik;;;;;;;;8.75
o;4;8.75;Lanter Christian (1998);;11;55.5;5;8.5;1;-0.25;8.75
+;10;17.5;Manser Adrian (1998);;22;52.5;12;17.0;2;-0.5;10.0
-;9;27.5;Litscher Manuel;*;15;54.5;11;27.0;2;-0.5;9.0
o;10;36.5;Danner Daniel;;15;54.5;13;35.75;3;-0.75;8.5
-;15;45.0;Bleiker Daniel;;21;52.75;19;44.0;4;-1.0;8.75

18d;Mösli Reto;;;;;;;;;;53.75
+;;;Aebli Nino (2000);;;;;;;;9.75
o;2;9.75;Bleiker Reto;*;17;54.0;5;8.5;3;-1.25;8.5
+;7;18.25;Sprecher Martin (2000);;22;52.5;7;18.25;0;0.0;10.0
o;6;28.25;Bernold Christian;*;8;56.25;8;27.75;2;-0.5;8.5
o;9;36.75;Vestner Roman;*;11;55.5;9;36.75;0;0.0;8.5
o;14;45.25;Bernold Michael (1999);;11;55.5;12;45.75;-2;0.5;8.5

18e;Trümpi Simon (1998);;;;;;;;;;53.75
o;;;Aliesch Noah (1998);;;;;;;;8.5
+;5;8.5;Schneider Noel (2000);;18;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Kuster Thomas;*;14;54.75;10;17.5;4;-1.0;8.5
o;11;27.0;Lieberherr Michael (1999);;11;55.5;12;26.75;1;-0.25;8.5
+;14;35.5;Signer Walter (1998);;22;52.5;14;35.5;0;0.0;9.75
o;14;45.25;Stahel Felix;*;16;54.25;17;44.5;3;-0.75;8.5

18f;Vollmeier Sandro;;;;;;;;;;53.75
+;;;Giger Lorenz (2000);;;;;;;;9.75
o;2;9.75;Nägeli Marco;*;4;57.25;4;8.75;2;-1.0;8.75
o;6;18.5;Bottlang Michael;;23;45.5;6;18.5;0;0.0;8.5
+;11;27.0;Gosswiler Livio (2000);;17;54.0;11;27.0;0;0.0;9.75
o;9;36.75;Battaglia Ursin;**;6;56.75;9;36.75;0;0.0;8.5
o;14;45.25;Roth Martin;*;12;55.25;14;45.25;0;0.0;8.5

18g;Ott Damian (2000);;;;;;;;;;53.75
+;;;Kamm Fritz (1999);;;;;;;;9.75
o;2;9.75;Reber Marcel;*;6;56.75;4;8.75;2;-1.0;8.5
-;7;18.25;Horner Sämi;;16;54.25;6;18.5;-1;0.25;8.75
+;11;27.0;Lötscher Abraham (2000);;21;52.75;11;27.0;0;0.0;9.75
o;9;36.75;Schläpfer Matthias;*;15;54.5;12;36.0;3;-0.75;8.5
o;14;45.25;Hersche Daniel;;13;55.0;14;45.25;0;0.0;8.5

19a;Elmer Daniel;*;;;;;;;;;53.5
-;;;Vollenweider Jeremy (1998);*;;;;;;;8.75
-;4;8.75;Roth Martin;*;12;55.25;3;9.0;-1;0.25;9.0
+;9;17.75;Salnajs Leo (1998);;17;54.0;6;18.5;-3;0.75;10.0
o;8;27.75;Hersche Martin;**;3;57.5;8;27.75;0;0.0;8.5
o;11;36.25;Kuster Thomas;*;14;54.75;11;36.25;0;0.0;8.5
-;16;44.75;Danner Daniel;;15;54.5;12;45.75;-4;1.0;8.75

19b;Aliesch Noah (1998);;;;;;;;;;53.5
+;;;Trümpi Simon (1998);;;;;;;;9.75
o;2;9.75;Rüegg Fabian;*;10;55.75;5;8.5;3;-1.25;8.5
o;7;18.25;Schnyder Christian;;17;54.0;6;18.5;-1;0.25;8.5
+;12;26.75;Langenegger Remo;;27;35.25;12;26.75;0;0.0;9.75
o;10;36.5;Breitenmoser Simon;;11;55.5;10;36.5;0;0.0;8.5
o;15;45.0;Litscher Manuel;*;15;54.5;17;44.5;2;-0.5;8.5

20a;Bäbler Sandro;**;;;;;;;;;53.0
-;;;Hirt Pascal;**;;;;;;;8.75
-;4;8.75;Fässler Patrick;;11;55.5;2;9.75;-2;1.0;8.75
+;10;17.5;Held Florian;;17;54.0;7;18.25;-3;0.75;10.0
o;9;27.5;Orlik Curdin;**;9;56.0;10;27.25;1;-0.25;8.5
o;12;36.0;Oertle Daniel;;11;55.5;9;36.75;-3;0.75;8.5
o;17;44.5;Vollenweider Jeremy (1998);*;11;55.5;12;45.75;-5;1.25;8.5

20b;Schiesser Patrik (1998);;;;;;;;;;53.0
-;;;Moser Yanick (1999);;;;;;;;9.0
o;3;9.0;Bircher Luca (1999);;11;55.5;4;8.75;1;-0.25;8.5
+;10;17.5;Schröttenthaler Micha (1998);;27;35.25;7;18.25;-3;0.75;9.75
o;10;27.25;Vollenweider Jeremy (1998);*;11;55.5;11;27.0;1;-0.25;8.5
o;13;35.75;Frei Hanspeter (1999);;17;54.0;13;35.75;0;0.0;8.5
-;18;44.25;Lötscher Abraham (2000);;21;52.75;19;44.0;1;-0.25;8.75

21a;Lötscher Abraham (2000);;;;;;;;;;52.75
+;;;Rhyner Beni (1999);;;;;;;;9.75
o;2;9.75;Pfister Florian;*;13;55.0;5;8.5;3;-1.25;8.75
o;6;18.5;Bleiker Reto;*;17;54.0;7;18.25;1;-0.25;8.5
o;11;27.0;Ott Damian (2000);;18;53.75;11;27.0;0;0.0;8.5
o;14;35.5;Gysel Hansruedi;;13;55.0;14;35.5;0;0.0;8.5
-;19;44.0;Schiesser Patrik (1998);;20;53.0;18;44.25;-1;0.25;8.75

21b;Bleiker Daniel;;;;;;;;;;52.75
+;;;Meier Michi;;;;;;;;9.75
o;2;9.75;Arnold Raphael;*;11;55.5;5;8.5;3;-1.25;8.5
o;7;18.25;Sprecher Sandro;*;9;56.0;6;18.5;-1;0.25;8.5
-;12;26.75;Betschart Fabian (1999);;21;52.75;12;26.75;0;0.0;8.75
o;14;35.5;Biäsch Christian;;14;54.75;12;36.0;-2;0.5;8.5
-;19;44.0;Oetiker Ronny;;18;53.75;15;45.0;-4;1.0;8.75

21c;Betschart Fabian (1999);;;;;;;;;;52.75
+;;;Signer Walter (1998);;;;;;;;9.75
o;2;9.75;Jöhl Christian;*;10;55.75;4;8.75;2;-1.0;8.5
o;7;18.25;Wittenwiler Roman (1998);;14;54.75;10;17.5;3;-0.75;8.5
-;12;26.75;Bleiker Daniel;;21;52.75;12;26.75;0;0.0;8.75
-;14;35.5;Elmer Adrian;;16;54.25;13;35.75;-1;0.25;8.75
o;18;44.25;Thoma Christoph;;16;54.25;18;44.25;0;0.0;8.5

21d;Schwyn Adrian;;;;;;;;;;52.75
-;;;Bernold Michael (1999);;;;;;;;8.75
+;4;8.75;Mathis Patrick;;27;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Holenstein Christian;*;14;54.75;10;17.5;4;-1.0;8.5
-;11;27.0;Held Florian;;17;54.0;12;26.75;1;-0.25;8.75
o;13;35.75;Koch Reto;;10;55.75;13;35.75;0;0.0;8.5
o;18;44.25;Güntensperger Marcel;*;14;54.75;15;45.0;-3;0.75;8.5

22a;Ackermann Roman;;;;;;;;;;52.5
o;;;Schönenberger Christian;;;;;;;;8.5
+;5;8.5;Ochsner Reto (2000);;28;34.5;5;8.5;0;0.0;10.0
o;6;18.5;Büchler Remo;**;15;54.5;10;17.5;4;-1.0;8.5
o;11;27.0;Horner Sämi;;16;54.25;10;27.25;-1;0.25;8.5
o;14;35.5;Gosswiler Livio (2000);;17;54.0;14;35.5;0;0.0;8.5
o;19;44.0;Elmer Adrian;;16;54.25;17;44.5;-2;0.5;8.5

22b;Sprecher Martin (2000);;;;;;;;;;52.5
o;;;Riedi Thomas;;;;;;;;8.5
+;5;8.5;Rhyner Beni (1999);;29;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Mösli Reto;;18;53.75;7;18.25;0;0.0;8.5
o;12;26.75;Schneider Noel (2000);;18;53.75;11;27.0;-1;0.25;8.75
o;14;35.5;Salnajs Leo (1998);;17;54.0;14;35.5;0;0.0;8.5
o;19;44.0;Giger Lorenz (2000);;18;53.75;19;44.0;0;0.0;8.5

22c;Signer Walter (1998);;;;;;;;;;52.5
o;;;Betschart Fabian (1999);;;;;;;;8.5
o;5;8.5;Gosswiler Livio (2000);;17;54.0;5;8.5;0;0.0;8.5
o;12;17.0;Aebli Nino (2000);;16;54.25;11;17.25;-1;0.25;8.5
+;15;25.5;Kamm Fritz (1999);;29;34.25;14;25.75;-1;0.25;10.0
o;14;35.5;Trümpi Simon (1998);;18;53.75;14;35.5;0;0.0;8.5
o;19;44.0;Gartmann Mauro;;15;54.5;17;44.5;-2;0.5;8.5

22d;Manser Adrian (1998);;;;;;;;;;52.5
o;;;Lieberherr Michael (1999);;;;;;;;8.5
o;5;8.5;Fontana Michael;;9;56.0;4;8.75;-1;0.25;8.5
