5221-2022-07-10_Appenzeller_Kantonalschwingfest-ST

1a;Zwyssig Raphael;***;;;;;;;;;58.75
o;6;18.5;Wild Thomas;*;12;55.5;9;17.5;3;-1.0;8.5
o;11;27.0;Müller Christian;;18;54.0;11;27.0;0;0.0;8.5
+;15;35.5;Weder Yanick;;19;53.75;15;35.5;0;0.0;10.0
+;14;45.5;Signer Peter (2006);;19;53.75;15;45.25;1;-0.25;10.0

12h;Bollhalder Manuel;*;;;;;;;;;55.5
+;;;Landolt Reto;*;;;;;;;9.75
o;2;9.75;Schmid Dominik;**;4;57.5;1;10.0;-1;0.25;8.5
-;7;18.25;Burkhalter Thomas;*;12;55.5;6;18.5;-1;0.25;8.75
+;11;27.0;Schiess Daniel;;18;54.0;10;27.25;-1;0.25;10.0
+;9;37.0;Signer Ramon;;17;54.25;9;37.0;0;0.0;10.0
o;8;47.0;Dumelin David;**;5;57.25;7;47.25;-1;0.25;8.5

12i;Keller Cedric;;;;;;;;;;55.5
+;;;Giger Florian;;;;;;;;9.75
o;2;9.75;Lanter Christian;*;10;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Speck Beda (2006);;23;52.5;6;18.5;-1;0.25;10.0
o;6;28.25;Neff Florian;*;11;55.75;6;28.25;0;0.0;8.5
-;10;36.75;Sprecher Martin;;15;54.75;8;37.25;-2;0.5;8.75
+;14;45.5;Müller Christian;;18;54.0;14;45.5;0;0.0;10.0

12j;Wehrli Jan;;;;;;;;;;55.5
+;;;Rüger Damian;;;;;;;;9.75
o;2;9.75;Schläpfer Markus;**;6;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Ruppanner Philipp;;13;55.25;6;18.5;-1;0.25;10.0
o;6;28.25;Schmid Patrick;*;7;56.75;6;28.25;0;0.0;8.5
+;10;36.75;Gasenzer Christian (2004);;14;55.0;11;36.5;1;-0.25;10.0
-;9;46.75;Giger Urs;*;10;56.0;8;47.0;-1;0.25;8.75

12k;Müller Jano (2005);;;;;;;;;;55.5
+;;;Signer Ramon;;;;;;;;10.0
o;1;10.0;Schmid Patrick;*;7;56.75;1;10.0;0;0.0;8.5
o;6;18.5;Dörig Erich;*;4;57.5;8;17.75;2;-0.75;8.5
+;11;27.0;Meier Adrian (2005);;18;54.0;11;27.0;0;0.0;10.0
o;9;37.0;Ziegler Andreas;;14;55.0;10;36.75;1;-0.25;8.5
+;14;45.5;Inauen Silvan;;13;55.25;15;45.25;1;-0.25;10.0

12l;Imhof Gregor;;;;;;;;;;55.5
+;;;Willi Renato;;;;;;;;9.75
o;2;9.75;Kobler Janosch;*;9;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Koch Sämi (2006);;19;53.75;6;18.5;-1;0.25;10.0
-;6;28.25;Keller Werner;*;5;57.25;5;28.5;-1;0.25;9.0
+;8;37.25;Diem Hansruedi;;12;55.5;8;37.25;0;0.0;9.75
o;8;47.0;Poltera Andrin;**;5;57.25;7;47.25;-1;0.25;8.5

12m;Wild Thomas;*;;;;;;;;;55.5
o;;;Keller Werner;*;;;;;;;8.5
-;5;8.5;Mösli Marcel;;11;55.75;2;9.75;-3;1.25;9.0
+;9;17.5;Signer Walter;;12;55.5;6;18.5;-3;1.0;9.75
+;10;27.25;Ackermann Rico;*;10;56.0;8;27.75;-2;0.5;10.0
o;8;37.25;Poltera Andrin;**;5;57.25;7;37.5;-1;0.25;8.5
+;13;45.75;Kundert Elias (2005);*;16;54.5;13;45.75;0;0.0;9.75

12n;Bleiker Ueli (2004);*;;;;;;;;;55.5
o;;;Inauen Andreas;*;;;;;;;8.5
-;5;8.5;Hinrichs Silvio (2004);;13;55.25;1;10.0;-4;1.5;8.75
+;10;17.25;Tobler Michael (2004);;23;52.5;6;18.5;-4;1.25;9.75
o;11;27.0;Ruppanner Philipp;;13;55.25;11;27.0;0;0.0;8.5
+;15;35.5;Oertle Daniel;*;16;54.5;12;36.25;-3;0.75;10.0
+;14;45.5;Rust Emanuel;;14;55.0;16;45.0;2;-0.5;10.0

12o;Schlegel Reto;*;;;;;;;;;55.5
-;;;Kundert Elias (2005);*;;;;;;;8.75
+;4;8.75;Inauen Silvan;;13;55.25;2;9.75;-2;1.0;9.75
o;6;18.5;Zwyssig Raphael;***;1;58.75;5;18.75;-1;0.25;8.5
+;11;27.0;Rust Emanuel;;14;55.0;7;28.0;-4;1.0;10.0
+;9;37.0;Streule Marco;;19;53.75;10;36.75;1;-0.25;10.0
o;8;47.0;Fejzaj Naim;**;6;57.0;8;47.0;0;0.0;8.5

12p;Diem Hansruedi;;;;;;;;;;55.5
+;;;Lengacher Gian;;;;;;;;10.0
o;1;10.0;Steiner Michael;**;11;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Käppeli Remo;;25;35.25;7;18.25;1;-0.25;10.0
o;5;28.5;Kolb Pirmin;*;7;56.75;6;28.25;1;-0.25;8.75
o;8;37.25;Imhof Gregor;;12;55.5;8;37.25;0;0.0;8.5
+;13;45.75;Oettli Reto (2005);;18;54.0;14;45.5;1;-0.25;9.75

12q;Lenherr Jonas (2005);;;;;;;;;;55.5
+;;;Schmid Michael;;;;;;;;10.0
o;1;10.0;Leuppi Karim;*;6;57.0;4;8.75;3;-1.25;8.75
o;5;18.75;Hugelshofer Lars;*;11;55.75;6;18.5;1;-0.25;8.5
+;10;27.25;Inauen Silvan;;13;55.25;7;28.0;-3;0.75;10.0
+;8;37.25;Furrer Damian;;19;53.75;10;36.75;2;-0.5;9.75
o;8;47.0;Kolb Pirmin;*;7;56.75;8;47.0;0;0.0;8.5

12r;Mettler Valentin;*;;;;;;;;;55.5
-;;;Burkhalter Thomas;*;;;;;;;8.75
+;4;8.75;Inauen Aurel;;13;55.25;1;10.0;-3;1.25;9.75
+;6;18.5;Habegger Andrin (2005);;15;54.75;5;18.75;-1;0.25;10.0
o;5;28.5;Hersche Martin;***;4;57.5;8;27.75;3;-0.75;8.5
+;9;37.0;Bösch Mario (2006);;13;55.25;9;37.0;0;0.0;10.0
o;8;47.0;Kuster Thomas;**;7;56.75;8;47.0;0;0.0;8.5

13a;Tanner Adrian;;;;;;;;;;55.25
+;;;Oettli Reto (2005);;;;;;;;9.75
o;2;9.75;Pianta Christian;*;14;55.0;5;8.5;3;-1.25;8.5
+;7;18.25;Bossert Alain;;22;52.75;9;17.5;2;-0.75;10.0
o;6;28.25;Steiner Michael;**;11;55.75;10;27.25;4;-1.0;8.5
o;10;36.75;Peter Philipp;;14;55.0;11;36.5;1;-0.25;8.5
+;15;45.25;Furrer Damian;;19;53.75;15;45.25;0;0.0;10.0

13b;Landolt Reto;*;;;;;;;;;55.25
o;;;Bollhalder Manuel;*;;;;;;;8.5
+;5;8.5;Gasenzer Christian (2004);;14;55.0;2;9.75;-3;1.25;10.0
o;6;18.5;Flück Bruno;;12;55.5;5;18.75;-1;0.25;8.5
+;11;27.0;Koster Patrick;;20;53.5;7;28.0;-4;1.0;10.0
o;9;37.0;Schmid Patrick;*;7;56.75;4;38.25;-5;1.25;8.5
+;14;45.5;Kolb Kilian (2005);;17;54.25;13;45.75;-1;0.25;9.75

13c;Ruppanner Philipp;;;;;;;;;;55.25
o;;;Kiener Raphael;;;;;;;;8.5
+;5;8.5;Manser Maurin (2006);;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Wehrli Jan;;12;55.5;7;18.25;1;-0.25;8.5
+;11;27.0;Bleiker Ueli (2004);*;12;55.5;11;27.0;0;0.0;9.75
+;10;36.75;Bernhard Thomas;;19;53.75;10;36.75;0;0.0;9.75
-;10;46.5;Inauen Aurel;;13;55.25;10;46.5;0;0.0;8.75

13d;Giger Florian;;;;;;;;;;55.25
o;;;Keller Cedric;;;;;;;;8.5
+;5;8.5;Streule Marco;;19;53.75;2;9.75;-3;1.25;9.75
+;7;18.25;Kuhn Roman;*;24;35.5;11;17.0;4;-1.25;10.0
o;6;28.25;Bühler Hannes;*;7;56.75;6;28.25;0;0.0;8.5
+;10;36.75;Magani Flurin;;19;53.75;11;36.5;1;-0.25;10.0
o;9;46.75;Büchler Livio;;6;57.0;8;47.0;-1;0.25;8.5

13e;Schmid Robin (2006);;;;;;;;;;55.25
o;;;Stark Walter (2006);;;;;;;;8.5
+;5;8.5;Signer Felix (2006);;25;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Signer Tobias (2004);;17;54.25;7;18.25;1;-0.25;8.5
+;11;27.0;Weder Yanick;;19;53.75;11;27.0;0;0.0;10.0
o;9;37.0;Lanter Christian;*;10;56.0;7;37.5;-2;0.5;8.5
+;14;45.5;Meier Christian;;19;53.75;15;45.25;1;-0.25;9.75

13f;Keller Neel (2004);;;;;;;;;;55.25
+;;;Zingg Elias (2006);;;;;;;;10.0
o;1;10.0;Flück Bruno;;12;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Nock Benjamin;*;16;54.5;10;17.25;4;-1.25;8.5
o;11;27.0;Schmid Gian;;11;55.75;11;27.0;0;0.0;8.5
+;15;35.5;Mösli Timo (2006);;18;54.0;14;35.75;-1;0.25;9.75
+;15;45.25;Brülisauer Thomas;;19;53.75;16;45.0;1;-0.25;10.0

13g;Bösch Mario (2006);;;;;;;;;;55.25
+;;;Magani Flurin;;;;;;;;9.75
+;2;9.75;Stadelmann Patrick;;18;54.0;4;8.75;2;-1.0;10.0
o;2;19.75;Signer Andy;**;13;55.25;5;18.75;3;-1.0;8.5
o;6;28.25;Hug Jan;;9;56.25;7;28.0;1;-0.25;8.75
o;9;37.0;Mettler Valentin;*;12;55.5;9;37.0;0;0.0;8.5
+;14;45.5;Streule Marco;;19;53.75;15;45.25;1;-0.25;9.75

13h;Hinrichs Silvio (2004);;;;;;;;;;55.25
+;;;Ziegler Max (2006);;;;;;;;10.0
-;1;10.0;Bleiker Ueli (2004);*;12;55.5;5;8.5;4;-1.5;8.75
+;5;18.75;Oettli Reto (2005);;18;54.0;6;18.5;1;-0.25;9.75
o;5;28.5;Pianta Christian;*;14;55.0;6;28.25;1;-0.25;8.5
+;9;37.0;Lengacher Gian;;16;54.5;10;36.75;1;-0.25;9.75
o;9;46.75;Biäsch Christian;*;6;57.0;8;47.0;-1;0.25;8.5

13i;Signer Andy;**;;;;;;;;;55.25
-;;;Schläpfer Markus;**;;;;;;;8.75
+;4;8.75;Studerus Jan;;18;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Bösch Mario (2006);;13;55.25;2;19.75;-3;1.0;10.0
o;4;28.75;Bless Michael;***;3;57.75;3;29.0;-1;0.25;8.75
-;7;37.5;Kolb Pirmin;*;7;56.75;5;38.0;-2;0.5;9.0
-;10;46.5;Hugelshofer Lars;*;11;55.75;8;47.0;-2;0.5;8.75

13j;Mösli Reto;;;;;;;;;;55.25
o;;;Horner Sämi;;;;;;;;8.5
+;5;8.5;Gaccioli Benjamin;;28;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Schläpfer Matthias;*;14;55.0;9;17.5;2;-0.75;8.5
+;12;26.75;Speck Beda (2006);;23;52.5;11;27.0;-1;0.25;10.0
o;10;36.75;Keller Manuel;*;14;55.0;11;36.5;1;-0.25;8.5
+;15;45.25;Mock Ramon (2006);;18;54.0;14;45.5;-1;0.25;10.0

13k;Inauen Andreas;*;;;;;;;;;55.25
+;;;Bleiker Ueli (2004);*;;;;;;;9.75
o;2;9.75;Notz Beni;***;11;55.75;4;8.75;2;-1.0;8.5
+;7;18.25;Lengacher Gian;;16;54.5;6;18.5;-1;0.25;9.75
-;7;28.0;Sprecher Martin;;15;54.75;9;27.5;2;-0.5;8.75
o;10;36.75;Kundert Elias (2005);*;16;54.5;13;36.0;3;-0.75;8.5
+;15;45.25;Bernhard Thomas;;19;53.75;15;45.25;0;0.0;10.0

13l;Wartmann Otto;;;;;;;;;;55.25
+;;;Ziegler Andreas;;;;;;;;9.75
o;2;9.75;Kurmann Patrick;*;6;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Signer Patrick;;19;53.75;7;18.25;0;0.0;10.0
o;6;28.25;Kobler Janosch;*;9;56.25;5;28.5;-1;0.25;8.5
o;10;36.75;Fuster Arjuna;;12;55.5;9;37.0;-1;0.25;8.5
+;15;45.25;Schoch Cornel;;19;53.75;15;45.25;0;0.0;10.0

13m;Joos Roman (2005);;;;;;;;;;55.25
+;;;Tobler Tobias (2005);;;;;;;;9.75
o;2;9.75;Inauen Maurus;;16;54.5;5;8.5;3;-1.25;8.5
o;7;18.25;Ackermann Roman;;12;55.5;6;18.5;-1;0.25;8.5
+;12;26.75;Widmer Ramon (2006);;25;35.25;12;26.75;0;0.0;10.0
o;10;36.75;Dörig Maurus (2004);;14;55.0;10;36.75;0;0.0;8.5
+;15;45.25;Koster Patrick;;20;53.5;16;45.0;1;-0.25;10.0

13n;Dobler Mathias;;;;;;;;;;55.25
+;;;Bernhardsgrütter Stefan (2005);;;;;;;;10.0
o;1;10.0;Baumann Rico;*;15;54.75;5;8.5;4;-1.5;8.5
o;6;18.5;Bernhard Thomas;;19;53.75;7;18.25;1;-0.25;8.5
o;11;27.0;Bossert Luc (2006);;17;54.25;10;27.25;-1;0.25;8.5
+;15;35.5;Spörndli Cyril;;22;52.75;14;35.75;-1;0.25;9.75
+;15;45.25;Walser Aaron (2006);;21;53.0;18;44.5;3;-0.75;10.0

13o;Bickel Roman;*;;;;;;;;;55.25
o;;;Schmid Dominik;**;;;;;;;8.5
o;5;8.5;Hug Jan;;9;56.25;2;9.75;-3;1.25;8.5
+;11;17.0;Streule Marco;;19;53.75;7;18.25;-4;1.25;9.75
+;12;26.75;Thoma Luca;;17;54.25;10;27.25;-2;0.5;9.75
-;11;36.5;Baumann Rico;*;15;54.75;13;36.0;2;-0.5;8.75
+;15;45.25;Willi Renato;;18;54.0;14;45.5;-1;0.25;10.0

13p;Inauen Silvan;;;;;;;;;;55.25
+;;;Schläpfer Andrin;;;;;;;;9.75
+;2;9.75;Kuhn Roman;*;24;35.5;5;8.5;3;-1.25;9.75
o;3;19.5;Schlegel Reto;*;12;55.5;6;18.5;3;-1.0;8.5
o;7;28.0;Lenherr Jonas (2005);;12;55.5;10;27.25;3;-0.75;8.5
o;11;36.5;Vetterli Sven;;14;55.0;10;36.75;-1;0.25;8.75
+;15;45.25;Stark Walter (2006);;19;53.75;15;45.25;0;0.0;10.0
o;13;55.25;Müller Jano (2005);;12;55.5;12;55.5;-1;0.25;0.0

13q;Inauen Aurel;;;;;;;;;;55.25
+;;;Peter Philipp;;;;;;;;10.0
o;1;10.0;Mettler Valentin;*;12;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Vetterli Sven;;14;55.0;6;18.5;0;0.0;9.75
+;6;28.25;Mannhart Jan;*;17;54.25;11;27.0;5;-1.25;9.75
o;5;38.0;Bühler Hannes;*;7;56.75;4;38.25;-1;0.25;8.5
-;10;46.5;Ruppanner Philipp;;13;55.25;10;46.5;0;0.0;8.75

14a;Keller Manuel;*;;;;;;;;;55.0
-;;;Dörig Erich;*;;;;;;;8.75
-;4;8.75;Schläpfer Matthias;*;14;55.0;4;8.75;0;0.0;8.75
+;9;17.5;Knellwolf Sebastian;;18;54.0;6;18.5;-3;1.0;10.0
-;9;27.5;Mösli Marcel;;11;55.75;5;28.5;-4;1.0;9.0
+;11;36.5;Mösli Reto;;13;55.25;10;36.75;-1;0.25;10.0
o;10;46.5;Heierli Pascal;**;11;55.75;13;45.75;3;-0.75;8.5

14b;Dörig Maurus (2004);;;;;;;;;;55.0
+;;;Stolz Jonas (2006);;;;;;;;9.75
+;2;9.75;Weder Yanick;;19;53.75;5;8.5;3;-1.25;10.0
o;2;19.75;Dumelin David;**;5;57.25;5;18.75;3;-1.0;8.5
o;6;28.25;Leuppi Karim;*;6;57.0;10;27.25;4;-1.0;8.5
+;10;36.75;Joos Roman (2005);;13;55.25;10;36.75;0;0.0;9.75
o;10;46.5;Giger Lorenz;;7;56.75;8;47.0;-2;0.5;8.5

14c;Ziegler Andreas;;;;;;;;;;55.0
o;;;Wartmann Otto;;;;;;;;8.5
+;5;8.5;Hüppin Lukas (2004);;19;53.75;2;9.75;-3;1.25;9.75
+;7;18.25;Inauen Andrin (2006);;23;52.5;6;18.5;-1;0.25;10.0
o;6;28.25;Burkhalter Thomas;*;12;55.5;10;27.25;4;-1.0;8.5
+;10;36.75;Müller Jano (2005);;12;55.5;9;37.0;-1;0.25;9.75
o;10;46.5;Notz Beni;***;11;55.75;12;46.0;2;-0.5;8.5

14d;Bachmann Janos (2004);;;;;;;;;;55.0
-;;;Flück Bruno;;;;;;;;8.75
+;4;8.75;Mock Ramon (2006);;18;54.0;1;10.0;-3;1.25;9.75
o;6;18.5;Bernold Christian;**;6;57.0;6;18.5;0;0.0;8.5
o;11;27.0;Schläpfer Matthias;*;14;55.0;9;27.5;-2;0.5;8.5
+;15;35.5;Meier Adrian (2005);;18;54.0;15;35.5;0;0.0;9.75
+;15;45.25;Tobler Marco;;18;54.0;14;45.5;-1;0.25;9.75

14e;Peter Philipp;;;;;;;;;;55.0
o;;;Inauen Aurel;;;;;;;;8.5
-;5;8.5;Fässler Michael;;16;54.5;5;8.5;0;0.0;9.0
-;9;17.5;Schiess Daniel;;18;54.0;7;18.25;-2;0.75;9.0
+;13;26.5;Mock Ramon (2006);;18;54.0;11;27.0;-2;0.5;10.0
+;11;36.5;Tanner Adrian;;13;55.25;10;36.75;-1;0.25;10.0
o;10;46.5;Fuster Sepp;*;7;56.75;9;46.75;-1;0.25;8.5

14f;Rust Emanuel;;;;;;;;;;55.0
o;;;Sprecher Martin;;;;;;;;8.5
+;5;8.5;Waldmeier Marco (2005);;18;54.0;5;8.5;0;0.0;9.75
+;7;18.25;Signer Sandro (2006);;18;54.0;6;18.5;-1;0.25;9.75
o;7;28.0;Schlegel Reto;*;12;55.5;11;27.0;4;-1.0;8.5
o;11;36.5;Bleiker Ueli (2004);*;12;55.5;15;35.5;4;-1.0;8.5
+;16;45.0;Bossert Luc (2006);;17;54.25;13;45.75;-3;0.75;10.0

14g;Pianta Christian;*;;;;;;;;;55.0
o;;;Schönenberger Tobias (2004);*;;;;;;;8.5
+;5;8.5;Tanner Adrian;;13;55.25;2;9.75;-3;1.25;9.75
+;7;18.25;Signer Ramon;;17;54.25;6;18.5;-1;0.25;10.0
+;6;28.25;Hinrichs Silvio (2004);;13;55.25;5;28.5;-1;0.25;9.75
o;5;38.0;Koch Thomas;**;2;58.0;3;38.5;-2;0.5;8.5
o;10;46.5;Steiner Michael;**;11;55.75;12;46.0;2;-0.5;8.5

14h;Gasenzer Christian (2004);;;;;;;;;;55.0
+;;;Spörndli Cyril;;;;;;;;9.75
o;2;9.75;Landolt Reto;*;13;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Meier Adrian (2005);;18;54.0;6;18.5;-1;0.25;9.75
o;7;28.0;Dörig Erich;*;4;57.5;8;27.75;1;-0.25;8.5
o;11;36.5;Wehrli Jan;;12;55.5;10;36.75;-1;0.25;8.5
+;16;45.0;Knellwolf Sebastian;;18;54.0;14;45.5;-2;0.5;10.0

14i;Vetterli Sven;;;;;;;;;;55.0
+;;;Käppeli Remo;;;;;;;;10.0
o;1;10.0;Poltera Andrin;**;5;57.25;3;9.0;2;-1.0;8.5
o;6;18.5;Inauen Aurel;;13;55.25;6;18.5;0;0.0;8.5
+;11;27.0;Stark Walter (2006);;19;53.75;11;27.0;0;0.0;9.75
+;10;36.75;Inauen Silvan;;13;55.25;11;36.5;1;-0.25;9.75
o;10;46.5;Baumgartner Ramon;**;8;56.5;10;46.5;0;0.0;8.5

14j;Schläpfer Matthias;*;;;;;;;;;55.0
-;;;Lanter Christian;*;;;;;;;8.75
-;4;8.75;Keller Manuel;*;14;55.0;4;8.75;0;0.0;8.75
+;9;17.5;Mösli Reto;;13;55.25;7;18.25;-2;0.75;10.0
+;9;27.5;Bachmann Janos (2004);;14;55.0;11;27.0;2;-0.5;10.0
-;7;37.5;Baumgartner Ramon;**;8;56.5;7;37.5;0;0.0;9.0
o;10;46.5;Jörger Corsin;*;8;56.5;10;46.5;0;0.0;8.5

15a;Schmid Michael;;;;;;;;;;54.75
o;;;Lenherr Jonas (2005);;;;;;;;8.75
+;4;8.75;Tobler Michael (2004);;23;52.5;2;9.75;-2;1.0;10.0
-;5;18.75;Baumann Rico;*;15;54.75;6;18.5;1;-0.25;8.75
o;9;27.5;Habegger Andrin (2005);;15;54.75;10;27.25;1;-0.25;8.5
+;13;36.0;Schiess Daniel;;18;54.0;14;35.75;1;-0.25;10.0
-;12;46.0;Müller Josias (2006);;15;54.75;12;46.0;0;0.0;8.75

15b;Baumann Rico;*;;;;;;;;;54.75
o;;;Biäsch Christian;*;;;;;;;8.5
+;5;8.5;Dobler Mathias;;13;55.25;1;10.0;-4;1.5;10.0
-;6;18.5;Schmid Michael;;15;54.75;5;18.75;-1;0.25;8.75
-;10;27.25;Fuster Arjuna;;12;55.5;6;28.25;-4;1.0;8.75
-;13;36.0;Bickel Roman;*;13;55.25;11;36.5;-2;0.5;8.75
+;17;44.75;Signer Patrick;;19;53.75;15;45.25;-2;0.5;10.0

15c;Müller Josias (2006);;;;;;;;;;54.75
+;;;Signer Patrick;;;;;;;;10.0
-;1;10.0;Marty Jaime;*;31;17.75;4;8.75;3;-1.25;9.0
o;4;19.0;Poltera Andrin;**;5;57.25;4;19.0;0;0.0;8.5
+;9;27.5;Schildknecht Jannic (2004);;22;52.75;10;27.25;1;-0.25;10.0
o;7;37.5;Flück Bruno;;12;55.5;9;37.0;2;-0.5;8.5
-;12;46.0;Schmid Michael;;15;54.75;12;46.0;0;0.0;8.75

15d;Habegger Andrin (2005);;;;;;;;;;54.75
+;;;Raymann Jan;;;;;;;;10.0
-;1;10.0;Giger Urs;*;10;56.0;2;9.75;1;-0.25;8.75
o;5;18.75;Mettler Valentin;*;12;55.5;6;18.5;1;-0.25;8.5
+;10;27.25;Schmid Michael;;15;54.75;9;27.5;-1;0.25;10.0
-;8;37.25;Signer Tobias (2004);;17;54.25;10;36.75;2;-0.5;8.75
-;12;46.0;Nock Benjamin;*;16;54.5;13;45.75;1;-0.25;8.75

15e;Sprecher Martin;;;;;;;;;;54.75
+;;;Rust Emanuel;;;;;;;;9.75
-;2;9.75;Oertle Daniel;*;16;54.5;5;8.5;3;-1.25;9.0
-;5;18.75;Inauen Andreas;*;13;55.25;7;18.25;2;-0.5;8.75
+;9;27.5;Stadelmann Patrick;;18;54.0;10;27.25;1;-0.25;9.75
-;8;37.25;Keller Cedric;;12;55.5;10;36.75;2;-0.5;8.75
o;12;46.0;Ackermann Rico;*;10;56.0;11;46.25;-1;0.25;8.75

16a;Kundert Elias (2005);*;;;;;;;;;54.5
-;;;Schlegel Reto;*;;;;;;;8.75
-;4;8.75;Dörig Erich;*;4;57.5;4;8.75;0;0.0;9.0
+;8;17.75;Schmid Gian;;11;55.75;6;18.5;-2;0.75;9.75
o;9;27.5;Giger Lorenz;;7;56.75;5;28.5;-4;1.0;8.5
+;13;36.0;Inauen Andreas;*;13;55.25;10;36.75;-3;0.75;9.75
o;13;45.75;Wild Thomas;*;12;55.5;13;45.75;0;0.0;8.75

16b;Schiess Christian;;;;;;;;;;54.5
+;;;Inauen Ivo;;;;;;;;9.75
o;2;9.75;Signer Ramon;;17;54.25;5;8.5;3;-1.25;8.5
-;7;18.25;Inauen Maurus;;16;54.5;6;18.5;-1;0.25;8.75
-;11;27.0;Signer Patrick;;19;53.75;12;26.75;1;-0.25;8.75
-;14;35.75;Nef Tobias (2005);;20;53.5;14;35.75;0;0.0;8.75
+;18;44.5;Bleiker Andreas;;21;53.0;18;44.5;0;0.0;10.0

16c;Oertle Daniel;*;;;;;;;;;54.5
o;;;Hobi Ignaz;*;;;;;;;8.5
-;5;8.5;Sprecher Martin;;15;54.75;2;9.75;-3;1.25;9.0
+;9;17.5;Magani Flurin;;19;53.75;7;18.25;-2;0.75;10.0
-;9;27.5;Furrer Damian;;19;53.75;7;28.0;-2;0.5;8.75
o;12;36.25;Bleiker Ueli (2004);*;12;55.5;15;35.5;3;-0.75;8.5
+;17;44.75;Stadelmann Patrick;;18;54.0;14;45.5;-3;0.75;9.75

16d;Fässler Michael;;;;;;;;;;54.5
o;;;Furrer Damian;;;;;;;;8.5
-;5;8.5;Peter Philipp;;14;55.0;5;8.5;0;0.0;8.75
-;10;17.25;Stadelmann Lukas (2004);;26;34.5;11;17.0;1;-0.25;8.75
+;14;26.0;Wolfer David;;25;35.25;12;26.75;-2;0.75;9.75
-;14;35.75;Walser Aaron (2006);;21;53.0;14;35.75;0;0.0;8.75
+;18;44.5;Tobler Tobias (2005);;21;53.0;18;44.5;0;0.0;10.0

16e;Nock Benjamin;*;;;;;;;;;54.5
o;;;Fuster Sepp;*;;;;;;;8.5
-;5;8.5;Giger Lorenz;;7;56.75;2;9.75;-3;1.25;8.75
+;10;17.25;Keller Neel (2004);;13;55.25;6;18.5;-4;1.25;9.75
+;11;27.0;Nef Tobias (2005);;20;53.5;10;27.25;-1;0.25;10.0
-;9;37.0;Steiner Michael;**;11;55.75;8;37.25;-1;0.25;8.75
-;13;45.75;Habegger Andrin (2005);;15;54.75;12;46.0;-1;0.25;8.75

16f;Lengacher Gian;;;;;;;;;;54.5
o;;;Diem Hansruedi;;;;;;;;8.75
+;4;8.75;Mösli Timo (2006);;18;54.0;1;10.0;-3;1.25;9.75
o;6;18.5;Inauen Andreas;*;13;55.25;7;18.25;1;-0.25;8.5
+;11;27.0;Inauen Andrin (2006);;23;52.5;11;27.0;0;0.0;9.75
o;10;36.75;Hinrichs Silvio (2004);;13;55.25;9;37.0;-1;0.25;8.75
-;14;45.5;Mannhart Jan;*;17;54.25;15;45.25;1;-0.25;9.0

16g;Inauen Maurus;;;;;;;;;;54.5
o;;;Ulmann Fabian;*;;;;;;;8.5
+;5;8.5;Joos Roman (2005);;13;55.25;2;9.75;-3;1.25;10.0
-;6;18.5;Schiess Christian;;16;54.5;7;18.25;1;-0.25;8.75
-;10;27.25;Raymann Jan;;17;54.25;11;27.0;1;-0.25;8.75
+;13;36.0;Waldmeier Marco (2005);;18;54.0;14;35.75;1;-0.25;10.0
o;12;46.0;Horner Sämi;;11;55.75;12;46.0;0;0.0;8.5

17a;Signer Ramon;;;;;;;;;;54.25
o;;;Müller Jano (2005);;;;;;;;8.5
+;5;8.5;Schiess Christian;;16;54.5;2;9.75;-3;1.25;10.0
o;6;18.5;Pianta Christian;*;14;55.0;7;18.25;1;-0.25;8.5
+;11;27.0;Zehnder Josef;;25;35.25;12;26.75;1;-0.25;10.0
o;9;37.0;Bollhalder Manuel;*;12;55.5;9;37.0;0;0.0;8.5
-;14;45.5;Hobi Ignaz;*;18;54.0;15;45.25;1;-0.25;8.75

17b;Kolb Kilian (2005);;;;;;;;;;54.25
-;;;Stadelmann Patrick;;;;;;;;8.75
+;4;8.75;Stark Walter (2006);;19;53.75;1;10.0;-3;1.25;9.75
o;6;18.5;Kurmann Patrick;*;6;57.0;6;18.5;0;0.0;8.75
+;10;27.25;Walser Aaron (2006);;21;53.0;10;27.25;0;0.0;10.0
o;8;37.25;Lüthi Manuel;*;11;55.75;9;37.0;1;-0.25;8.5
o;13;45.75;Landolt Reto;*;13;55.25;14;45.5;1;-0.25;8.5

17c;Signer Tobias (2004);;;;;;;;;;54.25
+;;;Koster Patrick;;;;;;;;9.75
o;2;9.75;Burkhalter Thomas;*;12;55.5;4;8.75;2;-1.0;8.5
+;7;18.25;Schmid Robin (2006);;13;55.25;6;18.5;-1;0.25;10.0
o;6;28.25;Leuppi Karim;*;6;57.0;10;27.25;4;-1.0;8.5
-;10;36.75;Habegger Andrin (2005);;15;54.75;8;37.25;-2;0.5;8.75
