3685-2019-08-04_112_Nordwestschweizerisches_Schwingfest-ST

1a;Schmid David;***;;;;;;;;;58.5
+;10;46.0;Scherrer Johann;**;14;54.5;10;46.0;0;0.0;9.75

9d;Bruder Adrian;*;;;;;;;;;55.75
+;;;Kramer Lukas (2001);;;;;;;;10.0
o;1;10.0;Thürig Mario;***;4;57.0;3;8.75;2;-1.25;8.5
-;6;18.5;Schillig Willi;**;8;56.0;6;18.5;0;0.0;8.75
+;8;27.25;Loosli Adrian;;15;54.25;8;27.25;0;0.0;10.0
+;7;37.25;Arnold Kornel;*;17;53.75;9;36.75;2;-0.5;10.0
o;5;47.25;Räbmatter Patrick;***;3;57.25;5;47.25;0;0.0;8.5

10a;Waldner Patrick;**;;;;;;;;;55.5
o;;;Döbeli Andreas;**;;;;;;;8.5
+;4;8.5;Furrer Mathias;;16;54.0;2;9.75;-2;1.25;9.75
o;7;18.25;Schneider Domenic;***;10;55.5;10;17.25;3;-1.0;8.5
-;10;26.75;Schwegler Dominik;;24;44.75;7;27.5;-3;0.75;9.0
+;13;35.75;Büttler Gian;;15;54.25;7;37.25;-6;1.5;9.75
+;12;45.5;Meyer Lukas (2001);;16;54.0;12;45.5;0;0.0;10.0

10b;Studer Remo;*;;;;;;;;;55.5
+;;;Steger Robert;;;;;;;;10.0
o;1;10.0;Bieri Christoph;***;11;55.25;3;8.75;2;-1.25;8.5
+;6;18.5;Wüthrich Jonas (2003);;14;54.5;6;18.5;0;0.0;9.75
o;4;28.25;Thürig Mario;***;4;57.0;8;27.25;4;-1.0;8.5
+;9;36.75;Müller Christian;;18;53.5;10;36.5;1;-0.25;10.0
o;7;46.75;Hügli Kaj;**;5;56.75;6;47.0;-1;0.25;8.75

10c;Gerber Manuel;*;;;;;;;;;55.5
-;;;Mangold Martin;*;;;;;;;8.75
-;3;8.75;Leuthard Reto;**;8;56.0;1;10.0;-2;1.25;8.75
+;9;17.5;Järmann Florian (2002);;18;53.5;5;18.75;-4;1.25;9.75
+;8;27.25;Reimann Marco;;30;35.0;11;26.5;3;-0.75;9.75
+;8;37.0;Bader Andreas;**;10;55.5;7;37.25;-1;0.25;9.75
-;7;46.75;Schneider Domenic;***;10;55.5;8;46.5;1;-0.25;8.75

10d;Kohler Adrian;*;;;;;;;;;55.5
+;;;Vogel Remo (2001);*;;;;;;;9.75
o;2;9.75;Studinger Stephan;**;4;57.0;2;9.75;0;0.0;8.5
-;7;18.25;Dobler Florian;;15;54.25;6;18.5;-1;0.25;8.75
+;9;27.0;Schwob Marco;;20;52.75;8;27.25;-1;0.25;9.75
+;9;36.75;Nyffenegger Florian (2001);;12;55.0;9;36.75;0;0.0;10.0
-;7;46.75;Bieri Christoph;***;11;55.25;9;46.25;2;-0.5;8.75

10e;Voggensperger Lars (2001);*;;;;;;;;;55.5
+;;;von Arx Christian;*;;;;;;;9.75
o;2;9.75;Haenni Stéphane;**;9;55.75;4;8.5;2;-1.25;8.75
-;6;18.5;Thürig Mario;***;4;57.0;6;18.5;0;0.0;8.75
+;8;27.25;Büttler Gian;;15;54.25;2;28.75;-6;1.5;9.75
-;8;37.0;Gottofrey Marc;**;14;54.5;9;36.75;1;-0.25;8.75
+;11;45.75;Hasler Luis (2002);;13;54.75;9;46.25;-2;0.5;9.75

10f;Schneider Domenic;***;;;;;;;;;55.5
-;;;Räbmatter Patrick;***;;;;;;;8.75
o;3;8.75;Vieira Tiago;**;3;57.25;1;10.0;-2;1.25;8.5
+;10;17.25;Waldner Patrick;**;10;55.5;7;18.25;-3;1.0;9.75
+;9;27.0;Stüdeli Thomas;**;11;55.25;4;28.25;-5;1.25;9.75
+;9;36.75;Bieri Christoph;***;11;55.25;5;37.75;-4;1.0;9.75
-;8;46.5;Gerber Manuel;*;10;55.5;7;46.75;-1;0.25;9.0

10g;Schmutz Adrian;*;;;;;;;;;55.5
+;;;Jusufi Ilber;;;;;;;;10.0
o;1;10.0;Räbmatter Patrick;***;3;57.25;3;8.75;2;-1.25;8.5
+;6;18.5;Meyer Lukas (2001);;16;54.0;6;18.5;0;0.0;10.0
o;3;28.5;Döbeli Lukas;**;5;56.75;3;28.5;0;0.0;8.5
o;8;37.0;Hügli Kaj;**;5;56.75;8;37.0;0;0.0;8.5
+;12;45.5;Brugger Jonas;;17;53.75;13;45.25;1;-0.25;10.0

10h;Bader Andreas;**;;;;;;;;;55.5
-;;;Arnold Kornel;*;;;;;;;8.75
+;3;8.75;Wüthrich Jonas (2003);;14;54.5;1;10.0;-2;1.25;10.0
o;5;18.75;Schmid David;***;1;58.5;5;18.75;0;0.0;8.5
+;8;27.25;Senn Marco;;28;35.5;9;27.0;1;-0.25;10.0
o;7;37.25;Gerber Manuel;*;10;55.5;8;37.0;1;-0.25;8.5
+;11;45.75;Järmann Florian (2002);;18;53.5;14;45.0;3;-0.75;9.75

10i;Voggensperger Janic;**;;;;;;;;;55.5
+;;;Hauri Urs;**;;;;;;;9.75
-;2;9.75;Gobeli Patrick;**;5;56.75;3;8.75;1;-1.0;8.75
+;6;18.5;Kehr Damian (2001);;12;55.0;2;19.75;-4;1.25;10.0
-;3;28.5;Mathys Simon;**;11;55.25;4;28.25;1;-0.25;8.75
+;7;37.25;Burren Patrick;*;15;54.25;8;37.0;1;-0.25;9.75
o;6;47.0;Notz Beni;***;4;57.0;6;47.0;0;0.0;8.5

10j;Kropf Marcel;**;;;;;;;;;55.5
o;;;Notz Beni;***;;;;;;;8.5
+;4;8.5;Bearda Samuel;**;14;54.5;3;8.75;-1;0.25;10.0
+;6;18.5;Hitz Florian;;12;55.0;6;18.5;0;0.0;10.0
o;3;28.5;Strebel Joel;**;5;56.75;4;28.25;1;-0.25;8.5
