3896-2022-06-26_Fete_Romande-ST

1a;Schurtenberger Sven;***;;;;;;;;;58.5
o;5;28.25;Schläpfer Markus;**;10;56.0;8;27.5;3;-0.75;8.5
+;8;36.75;Tornare Philippe (2004);;19;53.75;8;36.75;0;0.0;10.0
o;8;46.75;Haenni Stéphane;**;5;57.25;6;47.25;-2;0.5;8.5

13b;Cochrane Benjamin;;;;;;;;;;55.25
o;;;Röthlisberger Sven;;;;;;;;8.75
+;4;8.75;Sudan Jonathan;;27;34.25;4;8.75;0;0.0;9.75
o;6;18.5;Sonnay Thomas;**;10;56.0;9;17.5;3;-1.0;8.5
+;10;27.0;Blanchard Benjamin;;19;53.75;10;27.0;0;0.0;10.0
o;7;37.0;Dufey Gil;*;14;55.0;9;36.5;2;-0.5;8.5
+;13;45.5;Burri Flemming;;19;53.75;14;45.25;1;-0.25;9.75

13c;Pürro David;*;;;;;;;;;55.25
-;;;Hayoz Paul;*;;;;;;;8.75
+;4;8.75;Fankhauser Yanik;;19;53.75;1;10.0;-3;1.25;9.75
+;6;18.5;Leuenberger Gian (2005);;29;26.75;7;18.25;1;-0.25;10.0
o;4;28.5;von Weissenfluh Kilian;***;2;58.0;4;28.5;0;0.0;8.5
o;7;37.0;Gottofrey Marc;**;7;56.75;6;37.25;-1;0.25;8.5
+;13;45.5;Dugué Maël;;18;54.0;13;45.5;0;0.0;9.75

13d;Hügli Kaj;**;;;;;;;;;55.25
o;;;Collaud Romain;**;;;;;;;8.5
-;5;8.5;Haenni Stéphane;**;5;57.25;1;10.0;-4;1.5;8.75
+;10;17.25;Wieland Janis;*;12;55.5;6;18.5;-4;1.25;10.0
+;9;27.25;Varone Luc;*;13;55.25;5;28.25;-4;1.0;9.75
o;7;37.0;Gapany Benjamin;***;5;57.25;6;37.25;-1;0.25;8.5
+;13;45.5;Zbinden Silvan (2004);;13;55.25;14;45.25;1;-0.25;9.75

13e;Varone Luc;*;;;;;;;;;55.25
+;;;Emonet Frédéric;**;;;;;;;9.75
o;2;9.75;Kramer Lario;***;2;58.0;5;8.5;3;-1.25;8.5
+;7;18.25;Aeschbacher Ivo;;17;54.25;7;18.25;0;0.0;10.0
o;5;28.25;Hügli Kaj;**;13;55.25;9;27.25;4;-1.0;8.5
+;8;36.75;Zbinden Samuel;;19;53.75;8;36.75;0;0.0;9.75
o;9;46.5;Gottofrey Luc;*;8;56.5;9;46.5;0;0.0;8.75

13f;Erb Vincent;;;;;;;;;;55.25
o;;;Wieland Timon;;;;;;;;8.5
+;5;8.5;Fallegger Riccardo;;18;54.0;5;8.5;0;0.0;10.0
