3218-2015-07-04_Appenzeller_Kantonalschwingfest-ST

1a;Zwyssig Raphael;***;;;;;;;;;58.75
+;10;17.25;Rüegger Remo (1999);;25;34.5;10;17.25;0;0.0;10.0
o;8;27.25;Vogel Beat;*;5;56.75;9;27.0;1;-0.25;8.5
o;13;35.75;Inauen Aurel;;13;54.75;12;36.0;-1;0.25;8.5
-;18;44.25;Dobler Mathias (1997);;17;53.75;16;45.0;-2;0.75;8.75

21a;Wittenwiler Roman (1998);;;;;;;;;;46.75
+;;;Koller Andreas (1998);;;;;;;;10.0
-;1;10.0;Pfiffner Ivo;;14;54.5;1;10.0;0;0.0;9.0
+;4;19.0;Harder Benj;;16;54.0;6;18.5;2;-0.5;10.0
-;1;29.0;Elmer Daniel;*;12;55.0;3;28.5;2;-0.5;9.0
o;4;38.0;Kammermann Thomas;*;4;57.0;8;37.0;4;-1.0;8.75

21b;Dörig Erich;;;;;;;;;;46.75
o;;;Koller Martin;*;;;;;;;8.5
+;5;8.5;Buff Alwin;;24;35.25;5;8.5;0;0.0;10.0
+;6;18.5;Fäh Tobias;;14;54.5;5;18.75;-1;0.25;9.75
o;4;28.25;Scherer Christian;*;10;55.5;4;28.25;0;0.0;8.5
+;9;36.75;Fässler Patrick;;11;55.25;9;36.75;0;0.0;10.0

22a;Hersche Daniel;;;;;;;;;;45.5
+;;;Schönenberger Björn;;;;;;;;10.0
o;1;10.0;Brühlmann Martin;*;6;56.5;4;8.75;3;-1.25;8.5
+;6;18.5;Oetiker Ronny;;12;55.0;6;18.5;0;0.0;9.75
o;4;28.25;Schneider Mario;**;8;56.0;7;27.5;3;-0.75;8.5
-;9;36.75;Elmer Daniel;*;12;55.0;7;37.25;-2;0.5;8.75

23a;Poltera Andrin (1999);;;;;;;;;;35.5
+;;;Frei Hanspeter (1999);;;;;;;;10.0
o;1;10.0;Elmer Daniel;*;12;55.0;4;8.75;3;-1.25;8.5
o;6;18.5;Schlumpf Dominik;*;16;54.0;6;18.5;0;0.0;8.5
o;9;27.0;Flütsch Marco (1999);;17;53.75;9;27.0;0;0.0;8.5

23b;Meier Walter (1998);;;;;;;;;;35.5
+;;;Sonderegger Damian (1997);;;;;;;;10.0
o;1;10.0;Kammermann Thomas;*;4;57.0;5;8.5;4;-1.5;8.5
o;6;18.5;Elmer Daniel;*;12;55.0;6;18.5;0;0.0;8.5
o;9;27.0;Vollmeier Sandro;;14;54.5;7;27.5;-2;0.5;8.5

23c;Schönenberger Björn;;;;;;;;;;35.5
o;;;Hersche Daniel;;;;;;;;8.5
+;5;8.5;Frei Claude (1999);;27;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Koller Martin;*;8;56.0;7;18.25;1;-0.25;8.5
o;9;27.0;Baldinger Michael (1997);;16;54.0;9;27.0;0;0.0;8.5

23d;Fässler Michael (1999);;;;;;;;;;35.5
o;;;Ott Dominik;;;;;;;;8.5
+;5;8.5;Inauen Lukas (1999);;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Odermatt Martin;*;14;54.5;7;18.25;1;-0.25;8.5
o;9;27.0;Jud Pirmin;*;8;56.0;8;27.25;-1;0.25;8.5

23e;Raschle Simon (1999);;;;;;;;;;35.5
+;;;Inauen Lukas (1999);;;;;;;;10.0
o;1;10.0;Vollenweider Jeremy (1998);*;6;56.5;4;8.75;3;-1.25;8.5
o;6;18.5;Kammermann Thomas;*;4;57.0;6;18.5;0;0.0;8.5
o;9;27.0;Fäh Tobias;;14;54.5;8;27.25;-1;0.25;8.5

23f;Keller Werner;;;;;;;;;;35.5
+;;;Scherrer Pascal;;;;;;;;10.0
o;1;10.0;Näf Willi;*;16;54.0;5;8.5;4;-1.5;8.5
o;6;18.5;Hersche Stefan;;15;54.25;6;18.5;0;0.0;8.5
o;9;27.0;Elmer Adrian;;15;54.25;8;27.25;-1;0.25;8.5

23g;Götti Samuel (1998);;;;;;;;;;35.5
o;;;Fuster Sepp (1997);;;;;;;;8.5
o;5;8.5;Fässler Patrick;;11;55.25;4;8.75;-1;0.25;8.5
+;11;17.0;Schmid Michael (1998);;25;34.5;9;17.5;-2;0.5;9.75
-;10;26.75;Signer Patrick (1999);;28;27.0;9;27.0;-1;0.25;8.75

23h;Enz Dominik (1997);;;;;;;;;;35.5
+;;;Schläpfer Ramon (1999);;;;;;;;9.75
o;2;9.75;Jud Pirmin;*;8;56.0;4;8.75;2;-1.0;8.75
o;6;18.5;Oertig Simon;;14;54.5;6;18.5;0;0.0;8.5
o;9;27.0;Notz Armin;*;13;54.75;8;27.25;-1;0.25;8.5

23i;Mösli Reto;;;;;;;;;;35.5
+;;;Badat Thomas (1997);;;;;;;;10.0
o;1;10.0;Notz Armin;*;13;54.75;3;9.0;2;-1.0;8.5
o;6;18.5;Coray Beda;*;6;56.5;6;18.5;0;0.0;8.5
o;9;27.0;Gartmann Mauro;;12;55.0;9;27.0;0;0.0;8.5

23j;Giger Markus;;;;;;;;;;35.5
o;;;Hari Michi;;;;;;;;8.5
o;5;8.5;Frei Hanspeter (1999);;23;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Sonderegger Damian (1997);;27;34.0;11;17.0;0;0.0;10.0
o;9;27.0;Ott Dominik;;15;54.25;9;27.0;0;0.0;8.5

23k;Salnajs Leo (1998);;;;;;;;;;35.5
o;;;Schwyn Patrick (1999);;;;;;;;8.5
+;5;8.5;Odermatt Michi (1997);;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Stahel Felix;*;15;54.25;10;17.25;4;-1.25;8.5
o;9;27.0;Bucher Roland;;10;55.5;9;27.0;0;0.0;8.5

23l;Wetter Dominik;;;;;;;;;;35.5
o;;;Rütsche Werner;;;;;;;;8.5
o;5;8.5;Harder Benj;;16;54.0;4;8.75;-1;0.25;8.5
o;11;17.0;Badat Thomas (1997);;23;35.5;11;17.0;0;0.0;8.5
+;14;25.5;Jud Andreas (1997);;26;34.25;13;25.75;-1;0.25;10.0

23m;Tritten Robin (1998);;;;;;;;;;35.5
o;;;Manser Mathias;;;;;;;;8.5
o;5;8.5;Inauen Aurel;;13;54.75;4;8.75;-1;0.25;8.5
+;11;17.0;Inauen Lukas (1999);;24;35.25;11;17.0;0;0.0;9.75
-;10;26.75;Sisombun Fin (1997);;23;35.5;10;26.75;0;0.0;8.75

23n;Frei Hanspeter (1999);;;;;;;;;;35.5
o;;;Poltera Andrin (1999);;;;;;;;8.5
+;5;8.5;Giger Markus;;23;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Kid Simon;**;5;56.75;7;18.25;1;-0.25;8.5
o;9;27.0;Raschle Adrian;;16;54.0;9;27.0;0;0.0;8.5

23o;Sisombun Fin (1997);;;;;;;;;;35.5
+;;;Gartmann Mauro;;;;;;;;9.75
o;2;9.75;Coray Beda;*;6;56.5;5;8.5;3;-1.25;8.5
o;7;18.25;Fontana Michael;;13;54.75;6;18.5;-1;0.25;8.5
-;10;26.75;Tritten Robin (1998);;23;35.5;10;26.75;0;0.0;8.75

23p;Badat Thomas (1997);;;;;;;;;;35.5
o;;;Mösli Reto;;;;;;;;8.5
o;5;8.5;Tanner Adrian;;12;55.0;5;8.5;0;0.0;8.5
+;11;17.0;Wetter Dominik;;23;35.5;11;17.0;0;0.0;10.0
o;9;27.0;Keller Stefan (1998);;18;53.5;10;26.75;1;-0.25;8.5

23q;Langenegger Beat (1997);;;;;;;;;;35.5
o;;;Städler Dario;;;;;;;;8.5
+;5;8.5;Flütsch Marco (1999);;17;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Näf Bruno;*;11;55.25;9;17.5;3;-1.0;8.5
o;9;27.0;Hengartner Ivo;;16;54.0;9;27.0;0;0.0;8.5

23r;Fuster Sepp (1997);;;;;;;;;;35.5
+;;;Götti Samuel (1998);;;;;;;;9.75
o;2;9.75;Schäppi Urs;;12;55.0;1;10.0;-1;0.25;8.75
o;6;18.5;Bäbler Sandro;**;6;56.5;7;18.25;1;-0.25;8.5
o;9;27.0;Harder Benj;;16;54.0;9;27.0;0;0.0;8.5

24a;Moseler Manuel (1999);;;;;;;;;;35.25
+;;;Dobler Mathias (1997);;;;;;;;9.75
o;2;9.75;Rütsche Stefan;*;10;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Preisig Manuel (1998);;17;53.75;7;18.25;0;0.0;8.5
o;10;26.75;Schäppi Urs;;12;55.0;9;27.0;-1;0.25;8.5

24b;Rutz Silvan (1999);;;;;;;;;;35.25
o;;;Speck Christof (1999);;;;;;;;8.5
o;5;8.5;Signer Patrick (1999);;28;27.0;5;8.5;0;0.0;8.5
o;11;17.0;Bleiker Daniel;;24;35.25;11;17.0;0;0.0;8.5
+;14;25.5;Signer Walter (1998);;27;34.0;14;25.5;0;0.0;9.75

24c;Bleiker Daniel;;;;;;;;;;35.25
o;;;Baldinger Michael (1997);;;;;;;;8.5
o;5;8.5;Dobler Mathias (1997);;17;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Rutz Silvan (1999);;24;35.25;11;17.0;0;0.0;9.75
o;10;26.75;Speck Christof (1999);;16;54.0;10;26.75;0;0.0;8.5

24d;Schläpfer Ramon (1999);;;;;;;;;;35.25
o;;;Enz Dominik (1997);;;;;;;;8.5
o;5;8.5;Manser Adrian (1998);;24;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Koller Andreas (1998);;18;53.5;11;17.0;0;0.0;8.5
+;14;25.5;Frei Claude (1999);;27;34.0;14;25.5;0;0.0;9.75

24e;Odermatt Michi (1997);;;;;;;;;;35.25
o;;;Hersche Stefan;;;;;;;;8.5
o;5;8.5;Salnajs Leo (1998);;23;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Streule Marco;;26;34.25;11;17.0;0;0.0;9.75
o;10;26.75;Tanner Adrian;;12;55.0;10;26.75;0;0.0;8.5

24f;Langenegger Remo (1997);;;;;;;;;;35.25
o;;;Oetiker Ronny;;;;;;;;8.5
+;5;8.5;Oppliger Matthias (1999);;27;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Rütsche Werner;;16;54.0;6;18.5;-1;0.25;8.5
o;10;26.75;Koller Andreas (1998);;18;53.5;10;26.75;0;0.0;8.5

24g;Buff Alwin;;;;;;;;;;35.25
o;;;Keller Stefan (1998);;;;;;;;8.5
o;5;8.5;Dörig Erich;;21;46.75;5;8.5;0;0.0;8.5
o;11;17.0;Gundolf Samuel;;16;54.0;11;17.0;0;0.0;8.5
+;14;25.5;Oppliger Matthias (1999);;27;34.0;14;25.5;0;0.0;9.75

24h;Inauen Philipp;;;;;;;;;;35.25
o;;;Inauen Roman;;;;;;;;8.5
+;5;8.5;Signer Walter (1998);;27;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Vollmeier Sandro;;14;54.5;9;17.5;2;-0.75;8.5
o;10;26.75;Bänziger Peter;;14;54.5;11;26.25;1;-0.5;8.5

24i;Manser Adrian (1998);;;;;;;;;;35.25
o;;;Elmer Adrian;;;;;;;;8.5
+;5;8.5;Schläpfer Ramon (1999);;24;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Oetiker Ronny;;12;55.0;6;18.5;-1;0.25;8.5
o;10;26.75;Wolfer Lukas;;12;55.0;10;26.75;0;0.0;8.5

24j;Inauen Lukas (1999);;;;;;;;;;35.25
o;;;Raschle Simon (1999);;;;;;;;8.5
o;5;8.5;Fässler Michael (1999);;23;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Tritten Robin (1998);;23;35.5;11;17.0;0;0.0;8.5
+;14;25.5;Sonderegger Damian (1997);;27;34.0;14;25.5;0;0.0;9.75

24k;Schwyn Patrick (1999);;;;;;;;;;35.25
+;;;Salnajs Leo (1998);;;;;;;;9.75
o;2;9.75;Knechtle Martin;**;12;55.0;5;8.5;3;-1.25;8.5
o;7;18.25;Dobler Mathias (1997);;17;53.75;7;18.25;0;0.0;8.5
o;10;26.75;Manser Mathias;;17;53.75;9;27.0;-1;0.25;8.5

24l;Scherrer Pascal;;;;;;;;;;35.25
o;;;Keller Werner;;;;;;;;8.5
o;5;8.5;Raschle Adrian;;16;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Frei Claude (1999);;27;34.0;11;17.0;0;0.0;9.75
o;10;26.75;Ackermann Roman;;16;54.0;9;27.0;-1;0.25;8.5

25a;Baumgartner Joël;;;;;;;;;;34.5
-;;;Rüegger Remo (1999);;;;;;;;8.75
-;4;8.75;Schmid Michael (1998);;25;34.5;4;8.75;0;0.0;8.75
o;9;17.5;Schoch Cornel (1998);;16;54.0;10;17.25;1;-0.25;8.5
o;12;26.0;Willi Renato;;11;55.25;13;25.75;1;-0.25;8.5

25b;Rüegger Remo (1999);;;;;;;;;;34.5
-;;;Baumgartner Joël;;;;;;;;8.75
o;4;8.75;Schmid Patrick (1997);;3;57.25;3;9.0;-1;0.25;8.5
o;10;17.25;Arnold Christian;;20;53.0;10;17.25;0;0.0;8.5
-;13;25.75;Streule Marco;;26;34.25;14;25.5;1;-0.25;8.75

25c;Schmid Michael (1998);;;;;;;;;;34.5
-;;;Läderach Pascal (1999);;;;;;;;8.75
-;4;8.75;Baumgartner Joël;;25;34.5;4;8.75;0;0.0;8.75
o;9;17.5;Götti Samuel (1998);;23;35.5;11;17.0;2;-0.5;8.5
o;12;26.0;Inauen Marco (1999);;13;54.75;12;26.0;0;0.0;8.5

26a;Jud Andreas (1997);;;;;;;;;;34.25
-;;;Inauen Marco (1999);;;;;;;;8.75
o;4;8.75;Inauen Roman;;18;53.5;2;9.75;-2;1.0;8.5
o;10;17.25;Ackermann Roman;;16;54.0;11;17.0;1;-0.25;8.5
o;13;25.75;Wetter Dominik;;23;35.5;14;25.5;1;-0.25;8.5

26b;Streule Marco;;;;;;;;;;34.25
o;;;Keller Dominic;;;;;;;;8.5
o;5;8.5;Läderach Pascal (1999);;11;55.25;4;8.75;-1;0.25;8.5
o;11;17.0;Odermatt Michi (1997);;24;35.25;11;17.0;0;0.0;8.5
-;14;25.5;Rüegger Remo (1999);;25;34.5;13;25.75;-1;0.25;8.75

27a;Oppliger Matthias (1999);;;;;;;;;;34.0
o;;;Oettli Marco (1997);;;;;;;;8.5
o;5;8.5;Langenegger Remo (1997);;24;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Gundolf Samuel;;16;54.0;11;17.0;0;0.0;8.5
o;14;25.5;Buff Alwin;;24;35.25;14;25.5;0;0.0;8.5

27b;Frei Claude (1999);;;;;;;;;;34.0
o;;;Fontana Michael;;;;;;;;8.5
o;5;8.5;Schönenberger Björn;;23;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Scherrer Pascal;;24;35.25;11;17.0;0;0.0;8.5
o;14;25.5;Schläpfer Ramon (1999);;24;35.25;14;25.5;0;0.0;8.5

27c;Sonderegger Damian (1997);;;;;;;;;;34.0
o;;;Meier Walter (1998);;;;;;;;8.5
o;5;8.5;Thoma Christoph (1997);;19;53.25;5;8.5;0;0.0;8.5
o;11;17.0;Giger Markus;;23;35.5;11;17.0;0;0.0;8.5
o;14;25.5;Inauen Lukas (1999);;24;35.25;14;25.5;0;0.0;8.5

27d;Signer Walter (1998);;;;;;;;;;34.0
o;;;Preisig Manuel (1998);;;;;;;;8.5
o;5;8.5;Inauen Philipp;;24;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Flütsch Marco (1999);;17;53.75;11;17.0;0;0.0;8.5
o;14;25.5;Rutz Silvan (1999);;24;35.25;14;25.5;0;0.0;8.5

28a;Signer Patrick (1999);;;;;;;;;;27.0
o;;;Biäsch Christian;;;;;;;;8.5
+;5;8.5;Rutz Silvan (1999);;24;35.25;5;8.5;0;0.0;9.75
-;7;18.25;Götti Samuel (1998);;23;35.5;11;17.0;4;-1.25;8.75

29a;von Allmen Michael;;;;;;;;;;26.75
o;;;Oertig Simon;;;;;;;;8.5
+;5;8.5;Breitenmoser Simon;;14;54.5;4;8.75;-1;0.25;9.75
o;7;18.25;Vogel Beat;*;5;56.75;11;17.0;4;-1.25;8.5

30a;Bäbler Dominik;*;;;;;;;;;18.5
o;;;Roth Martin;*;;;;;;;8.5
+;5;8.5;Frauchiger Remo;;11;55.25;1;10.0;-4;1.5;10.0

