3128-2015-05-14_Baselstaedtisches_Kantonalschwingfest-ST

1a;Ulrich Andreas;***;;;;;;;;;58.75
12g;Stoll Simon;;;;;;;;;;55.25
+;;;Peronino Mario;;;;;;;;10.0
+;1;10.0;Riesen Ruedi;;16;54.25;2;9.75;1;-0.25;10.0
o;1;20.0;Mahrer Jürg;**;6;56.75;6;18.5;5;-1.5;8.5
o;5;28.5;Wilhelm Hannes;*;17;54.0;10;27.25;5;-1.25;8.5
o;8;37.0;Steinmann Yves;*;8;56.25;9;36.75;1;-0.25;8.5
+;12;45.5;Widmer David;;16;54.25;12;45.5;0;0.0;9.75

12h;Leuthard Reto;;;;;;;;;;55.25
+;;;Nyffeler Christoph;;;;;;;;9.75
-;2;9.75;Kocher Remo;**;13;55.0;3;9.0;1;-0.75;8.75
-;6;18.5;Schläpfer Matthias;*;16;54.25;10;17.25;4;-1.25;8.75
+;10;27.25;Regenass Beat;;18;53.75;12;26.75;2;-0.5;9.75
o;8;37.0;Hauri Urs;**;12;55.25;9;36.75;1;-0.25;8.5
+;12;45.5;Widmer Sandro;;18;53.75;13;45.25;1;-0.25;9.75

12i;Remy Guillaume;**;;;;;;;;;55.25
o;;;Erb Roger;**;;;;;;;8.5
o;5;8.5;Brand Christian;**;7;56.5;2;9.75;-3;1.25;8.5
o;11;17.0;Nussbaumer Gabriel;;11;55.5;7;18.25;-4;1.25;8.5
+;16;25.5;Grossmann Andreas;;18;53.75;12;26.75;-4;1.25;10.0
+;14;35.5;Fritz Christian;;16;54.25;12;36.0;-2;0.5;10.0
+;12;45.5;Kropf Marcel;**;17;54.0;12;45.5;0;0.0;9.75

12j;Brügger Cyrill (1998);;;;;;;;;;55.25
+;;;Treier Tobias (1998);;;;;;;;10.0
-;1;10.0;Widmer Sandro;;18;53.75;2;9.75;1;-0.25;8.75
+;5;18.75;Wüthrich Martin;;23;52.25;7;18.25;2;-0.5;9.75
o;5;28.5;Winiger Fabian;**;11;55.5;10;27.25;5;-1.25;8.5
+;8;37.0;Hügli Kaj (1997);*;14;54.75;11;36.25;3;-0.75;9.75
o;7;46.75;Steinmann Yves;*;8;56.25;8;46.5;1;-0.25;8.5

13a;Hiltbrand Ron;;;;;;;;;;55.0
o;;;Riesen Ruedi;;;;;;;;8.5
o;5;8.5;Küng Marco;;16;54.25;1;10.0;-4;1.5;8.5
+;11;17.0;Steger Robert (1998);;18;53.75;11;17.0;0;0.0;10.0
o;11;27.0;Lang Martin;**;10;55.75;15;25.75;4;-1.25;8.5
+;14;35.5;Reinhard Adrian (1997);;20;53.25;13;35.75;-1;0.25;9.75
+;13;45.25;Müller Christian (1998);;18;53.75;13;45.25;0;0.0;9.75

13b;Probst Gabriel;**;;;;;;;;;55.0
-;;;Schumacher Michael;*;;;;;;;8.75
-;4;8.75;Hügli Kaj (1997);*;14;54.75;5;8.5;1;-0.25;9.0
+;8;17.75;Peronino Mario;;22;52.5;7;18.25;-1;0.5;10.0
+;8;27.75;Hermann Oliver;;16;54.25;5;28.5;-3;0.75;10.0
