4094-2018-04-22_99_Zuger_Kantonales_Schwingfest-ST

1a;Grab Martin;***;;;;;;;;;59.25
o;10;27.0;Hösli Fritz;*;15;54.75;13;26.25;3;-0.75;8.5

26f;Fischlin Livio (2002);;;;;;;;;;35.5
o;;;Bucher André (2001);;;;;;;;8.5
+;5;8.5;Arnold Marco (2000);;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Gander Adrian;*;18;54.0;10;17.25;4;-1.25;8.5
o;10;27.0;Supper Frederik;;16;54.5;10;27.0;0;0.0;8.5

26g;Bürgi Michael (2002);;;;;;;;;;35.5
o;;;Gabriel Simon (2002);;;;;;;;8.5
o;5;8.5;Hürlimann Marco (2002);;19;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Meier Lukas (2002);;26;35.5;11;17.0;0;0.0;8.5
+;16;25.5;Langenegger Raffael (2001);;30;34.0;16;25.5;0;0.0;10.0

26h;Baumann Reto;;;;;;;;;;35.5
o;;;Bühler Kilian (2000);;;;;;;;8.5
o;5;8.5;Zimmermann Reto;;12;55.5;4;8.75;-1;0.25;8.5
+;11;17.0;Hürlimann Adrian (2002);;30;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Odermatt Andreas;*;13;55.25;10;27.0;0;0.0;8.5

26i;Wyrsch Gabriel (2001);;;;;;;;;;35.5
o;;;Hürlimann Mathias (2000);;;;;;;;8.5
o;5;8.5;Kathriner Severin (2000);;26;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Arnold Marco (2000);;30;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Ming Christian;*;13;55.25;10;27.0;0;0.0;8.5

26j;Risi Janik (2000);;;;;;;;;;35.5
o;;;Baumann Marco;;;;;;;;8.5
+;5;8.5;Meier Lukas (2002);;26;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Bühler Kilian (2000);;12;55.5;7;18.25;0;0.0;8.5
o;11;26.75;Suter Michael (2002);;22;52.75;14;26.0;3;-0.75;8.75

26k;von Flüe Michael;;;;;;;;;;35.5
o;;;Birchler Fabian (2000);;;;;;;;8.75
+;4;8.75;Inderbitzin Dominic;;30;34.0;5;8.5;1;-0.25;9.75
o;6;18.5;Kennel Beat;*;12;55.5;10;17.25;4;-1.25;8.5
o;10;27.0;Zimmermann Reto;;12;55.5;10;27.0;0;0.0;8.5

26l;Ettlin Jan (2001);;;;;;;;;;35.5
+;;;Suter Lukas (2002);;;;;;;;9.75
o;2;9.75;Gabriel Simon (2002);;18;54.0;1;10.0;-1;0.25;8.5
-;7;18.25;Meier Marcel;;20;53.25;10;17.25;3;-1.0;8.75
o;10;27.0;Muff Armin;**;16;54.5;10;27.0;0;0.0;8.5

26m;Meier Lukas (2002);;;;;;;;;;35.5
o;;;Wigger Simon;;;;;;;;8.5
o;5;8.5;Risi Janik (2000);;26;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Bürgi Michael (2002);;26;35.5;11;17.0;0;0.0;10.0
o;10;27.0;Murer Remo;*;18;54.0;11;26.75;1;-0.25;8.5

26n;Arnold Marcel;*;;;;;;;;;35.5
o;;;Murer Remo;*;;;;;;;8.5
-;5;8.5;Gander Adrian;*;18;54.0;5;8.5;0;0.0;8.75
+;10;17.25;Zumstein Patrick;;17;54.25;6;18.5;-4;1.25;9.75
o;10;27.0;Durrer Nando;;10;56.0;8;27.5;-2;0.5;8.5

26o;Rohrer Timo (2001);;;;;;;;;;35.5
-;;;Arnold Kilian (2002);;;;;;;;8.75
o;4;8.75;Betschart Michael;;18;54.0;3;9.0;-1;0.25;8.5
+;10;17.25;Fischlin Matthias (2002);;22;52.75;9;17.5;-1;0.25;9.75
o;10;27.0;Betschart Silvan;*;27;35.25;16;25.5;6;-1.5;8.5

26p;Reichlin Reto (2002);;;;;;;;;;35.5
o;;;Hürlimann Ueli (2001);;;;;;;;8.5
+;5;8.5;Keller Damian (2002);;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Baumann Roger;*;6;57.0;10;17.25;4;-1.25;8.5
o;10;27.0;Hurschler Adrian;;16;54.5;10;27.0;0;0.0;8.5

26q;von Euw Lukas (2002);;;;;;;;;;35.5
o;;;Zumstein Patrick;;;;;;;;8.5
+;5;8.5;Rogenmoser Linus (2002);;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Schmidiger Marco;*;16;54.5;10;17.25;4;-1.25;8.5
o;10;27.0;Gisler Stefan;;12;55.5;9;27.25;-1;0.25;8.5

26r;Effinger Peter;;;;;;;;;;35.5
o;;;Bachmann Adrian;;;;;;;;8.5
-;5;8.5;Bruder Adrian;;28;34.75;5;8.5;0;0.0;8.75
+;10;17.25;Herger Simon;;21;53.0;10;17.25;0;0.0;9.75
o;10;27.0;Fellmann Roman;*;7;56.75;10;27.0;0;0.0;8.5

26s;Blumenthal Lino (2002);;;;;;;;;;35.5
+;;;Blattmann Jonas;;;;;;;;10.0
o;1;10.0;Bucher André (2001);;13;55.25;2;9.75;1;-0.25;8.5
o;6;18.5;Ottiger Lukas;;13;55.25;7;18.25;1;-0.25;8.5
o;10;27.0;Fässler Dominic;**;9;56.25;13;26.25;3;-0.75;8.5

26t;Klauser Nico;;;;;;;;;;35.5
-;;;Bühlmann Daniel (2000);;;;;;;;8.75
o;4;8.75;Schmid Simon (2000);;12;55.5;4;8.75;0;0.0;8.5
+;10;17.25;Krieg Silvan (2000);;21;53.0;9;17.5;-1;0.25;9.75
o;10;27.0;Odermatt Remo;*;16;54.5;10;27.0;0;0.0;8.5

26u;Waser Christoph (2002);;;;;;;;;;35.5
o;;;Suter Bruno (2002);;;;;;;;8.5
o;5;8.5;Müller Dominik;;26;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Rogenmoser Linus (2002);;30;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Weiss Roman;*;17;54.25;15;25.75;5;-1.25;8.5

27a;Bernet Raffael;;;;;;;;;;35.25
+;;;Odermatt Lars (2002);;;;;;;;9.75
o;2;9.75;Gisler Noah (2002);;18;54.0;1;10.0;-1;0.25;8.5
o;7;18.25;Ettlin Michael;;16;54.5;6;18.5;-1;0.25;8.5
o;11;26.75;Vonlaufen Lukas;*;16;54.5;14;26.0;3;-0.75;8.5

27b;Christen Silvan (2002);;;;;;;;;;35.25
+;;;Meienberg Adrian (2000);;;;;;;;9.75
o;2;9.75;Reichmuth Lukas (2000);;6;57.0;1;10.0;-1;0.25;8.5
o;7;18.25;Suter Beat;;15;54.75;7;18.25;0;0.0;8.5
o;11;26.75;Meier Andreas;;21;53.0;13;26.25;2;-0.5;8.5

27c;Arnold Sebastian;;;;;;;;;;35.25
o;;;Gut Koni;;;;;;;;8.5
o;5;8.5;Hurschler Michael;;15;54.75;5;8.5;0;0.0;8.5
+;11;17.0;Rogenmoser Beat (2001);;30;34.0;11;17.0;0;0.0;9.75
o;11;26.75;Kälin Remo;*;16;54.5;13;26.25;2;-0.5;8.5

27d;Betschart Silvan;*;;;;;;;;;35.25
o;;;Ettlin Stefan;*;;;;;;;8.5
o;5;8.5;Würsch Lars;;10;56.0;1;10.0;-4;1.5;8.5
o;11;17.0;Arnold Lukas;;10;56.0;6;18.5;-5;1.5;8.5
+;16;25.5;Rohrer Timo (2001);;26;35.5;10;27.0;-6;1.5;9.75

27e;Stalder Silvan (2002);;;;;;;;;;35.25
+;;;Keller Damian (2002);;;;;;;;9.75
o;2;9.75;Kempf Damian;;16;54.5;4;8.75;2;-1.0;8.5
o;7;18.25;Staub Ivan;;26;35.5;11;17.0;4;-1.25;8.5
o;11;26.75;Hürlimann Marco (2002);;19;53.75;11;26.75;0;0.0;8.5

28a;Schilter Daniel;*;;;;;;;;;34.75
o;;;Fink Bruno;*;;;;;;;8.5
o;5;8.5;Betschart Remo;**;24;46.5;5;8.5;0;0.0;8.5
-;11;17.0;Krummenacher Roman;;17;54.25;6;18.5;-5;1.5;8.75
-;15;25.75;Odermatt Lars (2002);;21;53.0;10;27.0;-5;1.25;9.0

28b;Bruder Adrian;;;;;;;;;;34.75
o;;;Elsener Marcel;;;;;;;;8.5
-;5;8.5;Effinger Peter;;26;35.5;5;8.5;0;0.0;8.75
-;10;17.25;Bär Leo;;20;53.25;9;17.5;-1;0.25;8.75
-;14;26.0;Gabriel Christian (2000);;29;34.25;16;25.5;2;-0.5;8.75

28c;Käslin Benno;*;;;;;;;;;34.75
-;;;Kälin Remo;*;;;;;;;8.75
-;4;8.75;Moos Christoph;*;15;54.75;4;8.75;0;0.0;8.75
-;9;17.5;Thalmann Adrian;;16;54.5;6;18.5;-3;1.0;8.75
o;13;26.25;Von Euw Adi;;18;54.0;10;27.0;-3;0.75;8.5

28d;Suter Lukas (2002);;;;;;;;;;34.75
o;;;Ettlin Jan (2001);;;;;;;;8.5
-;5;8.5;Krieg Silvan (2000);;21;53.0;5;8.5;0;0.0;9.0
o;9;17.5;Gisler Silvan (2002);;17;54.25;9;17.5;0;0.0;8.75
o;13;26.25;Durrer Lukas;;13;55.25;10;27.0;-3;0.75;8.5

29a;Gabriel Christian (2000);;;;;;;;;;34.25
o;;;Kaufmann Reto (2002);;;;;;;;8.5
o;5;8.5;Betschart Daniel;;16;54.5;4;8.75;-1;0.25;8.5
o;11;17.0;Ulrich Marcel;;19;53.75;11;17.0;0;0.0;8.5
-;16;25.5;Bruder Adrian;;28;34.75;14;26.0;-2;0.5;8.75

29b;Dittli Mathias (2002);;;;;;;;;;34.25
o;;;Waser Raphael;;;;;;;;8.5
o;5;8.5;Ettlin Michael;;16;54.5;4;8.75;-1;0.25;8.5
o;11;17.0;Ulrich Livio;;26;35.5;11;17.0;0;0.0;8.5
-;16;25.5;Föhn Christian (2002);;26;35.5;11;26.75;-5;1.25;8.75

30a;Meienberg Adrian (2000);;;;;;;;;;34.0
o;;;Christen Silvan (2002);;;;;;;;8.5
o;5;8.5;Arnold Kilian (2002);;21;53.0;4;8.75;-1;0.25;8.5
o;11;17.0;Gemsch Stefan;;21;53.0;10;17.25;-1;0.25;8.5
o;16;25.5;Briker Hannes;;19;53.75;11;26.75;-5;1.25;8.5

30b;Arnold Marco (2000);;;;;;;;;;34.0
o;;;Reichmuth Lukas (2000);;;;;;;;8.5
o;5;8.5;Fischlin Livio (2002);;26;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Wyrsch Gabriel (2001);;26;35.5;11;17.0;0;0.0;8.5
o;16;25.5;Portmann Fabian;;17;54.25;12;26.5;-4;1.0;8.5

30c;Rogenmoser Linus (2002);;;;;;;;;;34.0
o;;;Durrer Lukas;;;;;;;;8.5
o;5;8.5;von Euw Lukas (2002);;26;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Waser Christoph (2002);;26;35.5;11;17.0;0;0.0;8.5
o;16;25.5;Suter Bruno (2002);;13;55.25;10;27.0;-6;1.5;8.5

30d;Inderbitzin Dominic;;;;;;;;;;34.0
o;;;Hermann Lukas 1 (2000);;;;;;;;8.5
o;5;8.5;von Flüe Michael;;26;35.5;4;8.75;-1;0.25;8.5
o;11;17.0;Elmiger Matthias;;16;54.5;11;17.0;0;0.0;8.5
o;16;25.5;Meier Marcel;;20;53.25;14;26.0;-2;0.5;8.5

30e;Langenegger Raffael (2001);;;;;;;;;;34.0
o;;;Gisler Noah (2002);;;;;;;;8.5
o;5;8.5;Odermatt Lars (2002);;21;53.0;5;8.5;0;0.0;8.5
o;11;17.0;Ulrich Pascal;;18;54.0;10;17.25;-1;0.25;8.5
o;16;25.5;Bürgi Michael (2002);;26;35.5;16;25.5;0;0.0;8.5

30f;Rogenmoser Beat (2001);;;;;;;;;;34.0
o;;;Wallimann Remo;;;;;;;;8.5
o;5;8.5;Durrer Markus;;17;54.25;3;9.0;-2;0.5;8.5
o;11;17.0;Arnold Sebastian;;27;35.25;11;17.0;0;0.0;8.5
o;16;25.5;Fischlin Matthias (2002);;22;52.75;14;26.0;-2;0.5;8.5

30g;Hürlimann Adrian (2002);;;;;;;;;;34.0
o;;;Zimmermann Raffael (2000);;;;;;;;8.5
o;5;8.5;Gisler Stefan;;12;55.5;4;8.75;-1;0.25;8.5
o;11;17.0;Baumann Reto;;26;35.5;11;17.0;0;0.0;8.5
o;16;25.5;Krieg Silvan (2000);;21;53.0;14;26.0;-2;0.5;8.5

30h;Keller Damian (2002);;;;;;;;;;34.0
o;;;Stalder Silvan (2002);;;;;;;;8.5
o;5;8.5;Reichlin Reto (2002);;26;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Schmid Joel;;31;26.75;7;18.25;-4;1.25;8.5
o;16;25.5;Herger Simon;;21;53.0;14;26.0;-2;0.5;8.5

31a;Hermann Lukas 1 (2000);;;;;;;;;;26.75
+;;;Inderbitzin Dominic;;;;;;;;9.75
o;2;9.75;Elsener Manuel;;14;55.0;1;10.0;-1;0.25;8.5
o;7;18.25;Hofmann Florian;**;15;54.75;11;17.0;4;-1.25;8.5

31b;Schmid Joel;;;;;;;;;;26.75
o;;;Briker Hannes;;;;;;;;8.5
+;5;8.5;Keller Damian (2002);;30;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Bär Leo;;20;53.25;9;17.5;2;-0.75;8.5

32a;Rohrer Beat;*;;;;;;;;;26.0
-;;;Kammermann Christoph;*;;;;;;;8.75
o;4;8.75;Kennel Stefan;**;9;56.25;4;8.75;0;0.0;8.5
-;10;17.25;Schmid Simon (2000);;12;55.5;6;18.5;-4;1.25;8.75

33a;Fankhauser Reto;**;;;;;;;;;17.5
o;;;Waser Dominik;**;;;;;;;8.5
-;5;8.5;Murer Andy;**;15;54.75;4;8.75;-1;0.25;9.0

34a;Meier Daniel (2000);;;;;;;;;;17.25
-;;;Portmann Fabian;;;;;;;;8.75
o;4;8.75;Hodler Mathias;;21;53.0;5;8.5;1;-0.25;8.5

35a;Bacher Andreas;;;;;;;;;;17.0
o;;;Baumann Lukas;;;;;;;;8.5
o;5;8.5;Schmid Pius;;21;53.0;5;8.5;0;0.0;8.5

36a;Bernhard Lukas;*;;;;;;;;;10.0
+;;;Fässler Dominic;**;;;;;;;10.0

37a;Herger Lukas;*;;;;;;;;;8.75
-;;;Zemp Thomas;*;;;;;;;8.75

