4094-2018-04-22_99_Zuger_Kantonales_Schwingfest-ST

1a;Grab Martin;***;;;;;;;;;59.25
+;9;27.25;Nötzli Reto;***;12;55.5;9;27.25;0;0.0;9.75
+;9;37.0;Wigger Simon;;17;54.25;9;37.0;0;0.0;10.0
+;8;47.0;Lang Julian;;16;54.5;12;46.0;4;-1.0;9.75

7e;Schuler Philipp;**;;;;;;;;;56.75
+;;;Baumann Roger;*;;;;;;;10.0
-;1;10.0;Hurschler Thomas;**;7;56.75;2;9.75;1;-0.25;8.75
+;5;18.75;Wetzstein Adrian;;8;56.5;2;19.75;-3;1.0;9.75
o;4;28.5;Ettlin Stefan;*;4;58.0;1;29.75;-3;1.25;8.5
+;9;37.0;Troxler Jonas (2000);;16;54.5;8;37.25;-1;0.25;9.75
+;9;46.75;Kempf Damian;;16;54.5;12;46.0;3;-0.75;10.0

7f;Waser Dominik;**;;;;;;;;;56.75
+;;;Fankhauser Reto;**;;;;;;;9.75
o;2;9.75;Hess Michael;*;15;54.75;2;9.75;0;0.0;8.5
+;7;18.25;Kempf Damian;;16;54.5;5;18.75;-2;0.5;9.75
+;6;28.0;Ottiger Lukas;;13;55.25;5;28.25;-1;0.25;10.0
+;5;38.0;Inderbitzin Daniel;*;7;56.75;4;38.25;-1;0.25;10.0
o;4;48.0;Müllestein Mike;***;2;58.5;2;48.5;-2;0.5;8.75

8a;Zurfluh Michael;*;;;;;;;;;56.5
+;;;Betschart Patrick;*;;;;;;;10.0
o;1;10.0;Fankhauser Erich;***;5;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Gabriel Simon (2002);;18;54.0;1;20.0;-5;1.5;10.0
-;4;28.5;Streiff Dominik;*;9;56.25;3;28.75;-1;0.25;9.0
+;7;37.5;Bättig Martin;*;16;54.5;7;37.5;0;0.0;10.0
-;6;47.5;Elsener Marcel;;8;56.5;6;47.5;0;0.0;9.0

8b;Stucki Christian;;;;;;;;;;56.5
+;;;Müller Dominik;;;;;;;;9.75
+;2;9.75;Hösli Fritz;*;15;54.75;4;8.75;2;-1.0;9.75
-;3;19.5;Linggi Bruno;**;9;56.25;5;18.75;2;-0.75;8.75
+;5;28.25;Waser Raphael;;11;55.75;4;28.5;-1;0.25;9.75
-;5;38.0;Niederberger Markus;*;11;55.75;4;38.25;-1;0.25;8.75
+;9;46.75;Lagler Christian;;12;55.5;8;47.0;-1;0.25;9.75

8c;Suppiger Werner;**;;;;;;;;;56.5
+;;;Henzer Andreas;**;;;;;;;9.75
-;2;9.75;Streiff Dominik;*;9;56.25;1;10.0;-1;0.25;8.75
+;6;18.5;Baumann Marco;;16;54.5;4;19.0;-2;0.5;9.75
-;5;28.25;Bieri Christian;**;11;55.75;5;28.25;0;0.0;8.75
+;9;37.0;Ettlin Michael;;16;54.5;9;37.0;0;0.0;9.75
+;9;46.75;Kenel Franz-Toni;*;16;54.5;12;46.0;3;-0.75;9.75

