5354-2022-05-15_97_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Schuler Alex;***;;;;;;;;;111.25
+;10;46.75;Grab Florian;;11;56.0;7;47.5;-3;0.75;9.75

9h;Ambühl Joel;**;;;;;;;;;56.5
o;;;Aeschbacher Matthias;***;;;;;;;8.5
+;6;8.5;Auf der Maur Alex;;15;55.0;3;9.75;-3;1.25;10.0
+;7;18.5;Heinzer Stefan;**;14;55.25;6;18.75;-1;0.25;9.75
+;8;28.25;Baumann Roger;*;14;55.25;7;28.5;-1;0.25;9.75
+;5;38.0;Suter Bruno;;8;56.75;4;38.25;-1;0.25;9.75
-;6;47.75;Kenel Franz-Toni;*;12;55.75;9;47.0;3;-0.75;8.75

9i;Bühler Kilian;*;;;;;;;;;56.5
-;;;Schürpf Bruno;*;;;;;;;8.75
+;5;8.75;Heinzer Lukas (2004);;8;56.75;2;10.0;-3;1.25;10.0
-;6;18.75;Schuler Alex;***;1;111.25;1;37.0;-5;18.25;8.75
-;11;27.5;Züger Benjamin (2004);;11;56.0;7;28.5;-4;1.0;9.0
+;11;36.5;Hürlimann Ueli;;15;55.0;10;36.75;-1;0.25;10.0
+;11;46.5;Kennel Beat;**;11;56.0;8;47.25;-3;0.75;10.0

9j;Waser Christoph;*;;;;;;;;;56.5
+;;;Reichmuth Lukas;*;;;;;;;10.0
+;2;10.0;Bucher Christian;**;8;56.75;2;10.0;0;0.0;9.75
+;3;19.75;Wicki Joel;***;4;58.0;2;20.0;-1;0.25;10.0
o;3;29.75;Nötzli Reto;***;5;57.5;6;28.75;3;-1.0;8.5
+;4;38.25;Schaller Noah;;9;56.5;4;38.25;0;0.0;9.75
o;5;48.0;Vogel Remo;**;4;58.0;5;48.0;0;0.0;8.5

9k;Gehrig Philipp;**;;;;;;;;;56.5
+;;;Schuler Philipp;**;;;;;;;9.75
-;3;9.75;Wandeler Roman;*;9;56.5;3;9.75;0;0.0;8.75
o;7;18.5;Schaller Noah;;9;56.5;3;19.75;-4;1.25;8.75
+;12;27.25;Schärli Reto;*;15;55.0;8;28.25;-4;1.0;9.75
+;9;37.0;Theiler Andre;;15;55.0;10;36.75;1;-0.25;9.75
+;10;46.75;Blaser Theo;*;15;55.0;11;46.5;1;-0.25;9.75

10a;Ulrich Marco;**;;;;;;;;;56.25
-;;;Fankhauser Erich;***;;;;;;;8.75
+;5;8.75;Baumann Marco;;15;55.0;3;9.75;-2;1.0;10.0
+;6;18.75;Schnider Markus;*;21;53.5;6;18.75;0;0.0;10.0
+;6;28.75;Schaller Noah;;9;56.5;3;29.75;-3;1.0;10.0
o;2;38.75;Schurtenberger Sven;***;3;58.5;3;38.5;1;-0.25;8.75
-;7;47.5;Odermatt Remo;*;12;55.75;9;47.0;2;-0.5;8.75

10b;Bernhard Lukas;**;;;;;;;;;56.25
-;;;Zurﬂuh Roman;**;;;;;;;8.75
+;5;8.75;Achermann Ueli;;20;53.75;3;9.75;-2;1.0;9.75
-;7;18.5;Heinzer Ronny;*;10;56.25;7;18.5;0;0.0;9.0
-;11;27.5;Röthlisberger Simon;*;17;54.5;12;27.25;1;-0.25;8.75
+;12;36.25;Gemsch Stefan;;20;53.75;10;36.75;-2;0.5;10.0
+;12;46.25;Wicki David;*;15;55.0;12;46.25;0;0.0;10.0

10c;Heinzer Ronny;*;;;;;;;;;56.25
-;;;Suter Beat;*;;;;;;;8.75
+;5;8.75;Durrer Ive;;20;53.75;2;10.0;-3;1.25;9.75
-;7;18.5;Bernhard Lukas;**;10;56.25;7;18.5;0;0.0;8.75
-;12;27.25;Durrer Lukas;;13;55.5;10;27.75;-2;0.5;9.0
+;12;36.25;Amrhyn Jonas;;18;54.25;9;37.0;-3;0.75;10.0
+;12;46.25;Bättig Martin;*;15;55.0;12;46.25;0;0.0;10.0

10d;Steiner Severin;;;;;;;;;;56.25
+;;;Stübi Nevio (2006);;;;;;;;10.0
-;2;10.0;Suter Beat;*;16;54.75;5;8.75;3;-1.25;9.0
+;5;19.0;Müller Luca (2004);*;15;55.0;8;18.25;3;-0.75;10.0
o;5;29.0;Fankhauser Reto;**;12;55.75;6;28.75;1;-0.25;8.5
+;7;37.5;Huser Christian;;12;55.75;8;37.25;1;-0.25;9.75
-;8;47.25;Herger Fabian;*;12;55.75;10;46.75;2;-0.5;9.0

11a;Lemmenmeier Lukas;*;;;;;;;;;56.0
-;;;Kessler Joel;*;;;;;;;8.75
+;5;8.75;Von Euw Adi;;12;55.75;2;10.0;-3;1.25;9.75
+;7;18.5;Arnold Raphael;**;34;27.0;7;18.5;0;0.0;10.0
-;7;28.5;Waser Reto;*;6;57.25;7;28.5;0;0.0;9.0
o;7;37.5;Schuler Philipp;**;6;57.25;7;37.5;0;0.0;8.5
+;13;46.0;Heinzer Benno (2006);;14;55.25;11;46.5;-2;0.5;10.0

11b;Kennel Beat;**;;;;;;;;;56.0
-;;;Bucher Roland;*;;;;;;;8.75
-;5;8.75;Gander Martin;;12;55.75;3;9.75;-2;1.0;9.0
+;10;17.75;Achermann Ivan (2005);;18;54.25;7;18.5;-3;0.75;9.75
+;11;27.5;Meier Daniel;*;13;55.5;12;27.25;1;-0.25;9.75
+;8;37.25;Baumann Roger;*;14;55.25;9;37.0;1;-0.25;10.0
o;8;47.25;Bühler Kilian;*;9;56.5;11;46.5;3;-0.75;8.75

11c;Bucher André;;;;;;;;;;56.0
-;;;Gasser Dominik 1;;;;;;;;8.75
-;5;8.75;Bühler Patrice;;20;53.75;5;8.75;0;0.0;9.0
+;10;17.75;Betschart Daniel;;20;53.75;8;18.25;-2;0.5;9.75
o;11;27.5;Heinzer Stefan;**;14;55.25;12;27.25;1;-0.25;8.5
+;13;36.0;Suter Ruedi;;22;53.25;13;36.0;0;0.0;10.0
+;13;46.0;Schuler Alex;*;1;111.25;1;93.0;-12;47.0;10.0

11d;Züger Benjamin (2004);;;;;;;;;;56.0
+;;;Furrer Jens;;;;;;;;10.0
+;2;10.0;Wicki David;*;15;55.0;5;8.75;3;-1.25;9.75
o;3;19.75;Herger Fabian;*;12;55.75;6;18.75;3;-1.0;8.75
-;7;28.5;Bühler Kilian;*;9;56.5;11;27.5;4;-1.0;9.0
+;7;37.5;Gisler Silvan;;18;54.25;9;37.0;2;-0.5;10.0
o;7;47.5;Jund Matthias;*;7;57.0;8;47.25;1;-0.25;8.5

11e;Grab Florian;;;;;;;;;;56.0
+;;;Albert Thomas;;;;;;;;10.0
o;2;10.0;Bucher Roland;*;8;56.75;5;8.75;3;-1.25;8.5
+;7;18.5;Püntener Luca (2005);;21;53.5;8;18.25;1;-0.25;10.0
-;7;28.5;Bürli Roger;**;9;56.5;9;28.0;2;-0.5;9.0
+;7;37.5;Schärli Reto;*;15;55.0;10;36.75;3;-0.75;10.0
o;7;47.5;Bucher Thomas;*;9;56.5;10;46.75;3;-0.75;8.5

11f;Stöckli Damian;*;;;;;;;;;56.0
o;;;Kälin Roland;**;;;;;;;8.5
