4026-2018-08-12_Schaffhauser_Kantonalschwingfest-ST

1a;Bless Michael;***;;;;;;;;;60.0
+;5;8.5;Bossert Alain (2001);;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Bühler Ernst;**;10;55.75;7;18.25;1;-0.25;8.5
+;8;27.0;Sieber Marc (2000);;21;52.75;8;27.0;0;0.0;10.0
o;7;37.0;Funk Nicola;*;12;55.25;7;37.0;0;0.0;8.5
+;14;45.5;Schweingruber Thomas;;17;54.0;14;45.5;0;0.0;9.75

12g;Winzeler Simon (2000);;;;;;;;;;55.25
+;;;Inauen Severin (2002);;;;;;;;10.0
+;1;10.0;Fässler Michael;;12;55.25;2;9.75;1;-0.25;9.75
o;2;19.75;Arztmann Beda;*;10;55.75;6;18.5;4;-1.25;8.5
o;4;28.25;Jörger Marc;*;15;54.5;7;27.25;3;-1.0;8.5
+;8;36.75;Lötscher Abraham (2000);;16;54.25;11;36.0;3;-0.75;9.75
o;10;46.5;Landolt Reto;*;6;56.75;8;47.0;-2;0.5;8.75

12h;Jöhl Christian;*;;;;;;;;;55.25
o;;;Schläpfer Matthias;*;;;;;;;8.5
+;5;8.5;Wild Thomas;;24;35.25;2;9.75;-3;1.25;9.75
+;7;18.25;Schmid Reto;;16;54.25;6;18.5;-1;0.25;10.0
o;4;28.25;Rentsch Christian;;12;55.25;4;28.25;0;0.0;8.5
+;8;36.75;Hobi Ignaz;;12;55.25;9;36.5;1;-0.25;10.0
o;9;46.75;Kuster Marcel;***;5;57.0;7;47.25;-2;0.5;8.5

12i;Fässler Michael;;;;;;;;;;55.25
+;;;Sprecher Martin (2000);;;;;;;;9.75
o;2;9.75;Winzeler Simon (2000);;12;55.25;1;10.0;-1;0.25;8.5
+;7;18.25;Wild Thomas;;24;35.25;7;18.25;0;0.0;10.0
o;4;28.25;Schwyn Adrian;*;7;56.5;3;28.5;-1;0.25;8.5
+;8;36.75;Bürgler Patrick;;10;55.75;6;37.25;-2;0.5;10.0
o;9;46.75;Schudel Simon;*;5;57.0;8;47.0;-1;0.25;8.5

12j;Funk Nicola;*;;;;;;;;;55.25
-;;;Pfister Florian;*;;;;;;;8.75
+;4;8.75;Wehrli Jan (2002);;17;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Ochsner Reto (2000);;13;55.0;3;19.5;-2;0.75;9.75
o;3;28.5;Schlegel Sandro;**;2;57.75;4;28.25;1;-0.25;8.5
+;7;37.0;Bleiker Daniel;;12;55.25;7;37.0;0;0.0;9.75
o;9;46.75;Burkhalter Stefan;***;4;57.25;7;47.25;-2;0.5;8.5

12k;Rentsch Christian;;;;;;;;;;55.25
+;;;Langenegger Beat;;;;;;;;9.75
+;2;9.75;Roth Michael;;12;55.25;2;9.75;0;0.0;10.0
o;2;19.75;Landolt Reto;*;6;56.75;5;18.75;3;-1.0;8.5
+;4;28.25;Jöhl Christian;*;12;55.25;4;28.25;0;0.0;10.0
o;3;38.25;Schlegel Sandro;**;2;57.75;4;38.0;1;-0.25;8.5
o;9;46.75;Wey Nicola;*;6;56.75;9;46.75;0;0.0;8.5

12l;Stadelmann Patrick (2000);;;;;;;;;;55.25
-;;;Inauen Marco;;;;;;;;8.75
o;4;8.75;Flütsch Marco;;12;55.25;5;8.5;1;-0.25;8.5
+;10;17.25;Langenegger Beat;;16;54.25;11;17.0;1;-0.25;9.75
+;8;27.0;Zemp Stefan (2002);;22;52.5;8;27.0;0;0.0;10.0
+;7;37.0;Glauser Thomas;**;14;54.75;6;37.25;-1;0.25;9.75
o;9;46.75;Vollenweider Jeremy;*;5;57.0;8;47.0;-1;0.25;8.5

12m;Bühler Hannes;*;;;;;;;;;55.25
o;;;Schlegel Sandro;**;;;;;;;8.5
+;5;8.5;Pianta Christian;;15;54.5;2;9.75;-3;1.25;9.75
+;7;18.25;Ruppanner Philipp (2000);;17;54.0;6;18.5;-1;0.25;10.0
+;4;28.25;Zumbach Michael;;14;54.75;5;28.0;1;-0.25;10.0
o;3;38.25;Kuster Marcel;***;5;57.0;5;37.5;2;-0.75;8.5
o;9;46.75;Gmür Pirmin;**;9;56.0;12;46.0;3;-0.75;8.5

12n;Hänni Marc (2001);;;;;;;;;;55.25
+;;;Rüegger Remo;;;;;;;;10.0
o;1;10.0;Jörger Marc;*;15;54.5;4;8.75;3;-1.25;8.5
o;6;18.5;Mathis Patrick;;23;36.75;7;18.25;1;-0.25;8.5
+;8;27.0;Müller Christian (2001);;17;54.0;8;27.0;0;0.0;9.75
o;8;36.75;Pfister Florian;*;13;55.0;8;36.75;0;0.0;8.5
+;15;45.25;Arnold Christian;;18;53.75;15;45.25;0;0.0;10.0

12o;Hobi Ignaz;;;;;;;;;;55.25
+;;;Falch Urs (2001);;;;;;;;9.75
o;2;9.75;Schläpfer Matthias;*;7;56.5;2;9.75;0;0.0;8.5
o;7;18.25;Aerne Christian;;12;55.25;7;18.25;0;0.0;8.5
+;9;26.75;Furrer Matthias;;24;35.25;9;26.75;0;0.0;9.75
o;9;36.5;Jöhl Christian;*;12;55.25;8;36.75;-1;0.25;8.75
+;15;45.25;Ritter Fabio (2001);;18;53.75;15;45.25;0;0.0;10.0

12p;Wolfer Lukas;*;;;;;;;;;55.25
o;;;Vollenweider Jeremy;*;;;;;;;8.5
+;5;8.5;Rust Emanuel;;20;53.0;4;8.75;-1;0.25;10.0
o;6;18.5;Zwyssig Raphael;***;6;56.75;6;18.5;0;0.0;8.5
+;8;27.0;Steiner Lukas (2002);;21;52.75;8;27.0;0;0.0;10.0
+;7;37.0;Ochsner Reto (2000);;13;55.0;4;38.0;-3;1.0;9.75
o;9;46.75;Rhyner Michael;**;4;57.25;7;47.25;-2;0.5;8.5

12q;Inauen Marco;;;;;;;;;;55.25
-;;;Stadelmann Patrick (2000);;;;;;;;8.75
o;4;8.75;Galli Cedric (2001);;14;54.75;5;8.5;1;-0.25;8.5
o;10;17.25;Zumbach Michael;;14;54.75;7;18.25;-3;1.0;8.5
+;12;25.75;Gerig Marcel;;24;35.25;9;26.75;-3;1.0;9.75
+;13;35.5;Steiner Lukas (2002);;21;52.75;13;35.5;0;0.0;9.75
+;15;45.25;Kiener Raphael (2000);;16;54.25;14;45.5;-1;0.25;10.0

13a;Kobler Janosch (2000);;;;;;;;;;55.0
+;;;Galli Cedric (2001);;;;;;;;9.75
+;2;9.75;Zbinden Marc;*;27;17.25;4;8.75;2;-1.0;9.75
o;3;19.5;Schläpfer Markus;**;7;56.5;6;18.5;3;-1.0;8.5
+;5;28.0;Signer Walter;;20;53.0;7;27.25;2;-0.75;10.0
o;4;38.0;Dändliker Shane;**;6;56.75;6;37.25;2;-0.75;8.5
o;10;46.5;Oettli Marco;*;8;56.25;10;46.5;0;0.0;8.5

13b;Pfister Florian;*;;;;;;;;;55.0
-;;;Funk Nicola;*;;;;;;;8.75
+;4;8.75;Kiener Raphael (2000);;16;54.25;1;10.0;-3;1.25;9.75
+;6;18.5;Schwyn Patrick;;14;54.75;4;19.0;-2;0.5;9.75
o;4;28.25;Vollenweider Jeremy;*;5;57.0;3;28.5;-1;0.25;8.5
+;8;36.75;Hänni Marc (2001);;12;55.25;8;36.75;0;0.0;9.75
o;10;46.5;Dändliker Shane;**;6;56.75;8;47.0;-2;0.5;8.5

13c;Ochsner Reto (2000);;;;;;;;;;55.0
+;;;Held Simon (2002);;;;;;;;9.75
+;2;9.75;Manser Dominik;;24;35.25;2;9.75;0;0.0;9.75
o;3;19.5;Funk Nicola;*;12;55.25;5;18.75;2;-0.75;8.5
+;5;28.0;Dobler Lorenz (2000);;20;53.0;7;27.25;2;-0.75;10.0
o;4;38.0;Wolfer Lukas;*;12;55.25;7;37.0;3;-1.0;8.5
o;10;46.5;Schläpfer Matthias;*;7;56.5;9;46.75;-1;0.25;8.5

14a;Galli Cedric (2001);;;;;;;;;;54.75
o;;;Kobler Janosch (2000);;;;;;;;8.5
o;5;8.5;Gerig Marcel;;24;35.25;5;8.5;0;0.0;8.5
+;11;17.0;Inauen Marco;;12;55.25;10;17.25;-1;0.25;9.75
+;9;26.75;Wild Thomas;;24;35.25;9;26.75;0;0.0;9.75
o;9;36.5;Schlegel Werner (2002);*;9;56.0;10;36.25;1;-0.25;8.5
+;16;45.0;Imhof Gregor (2001);;19;53.5;16;45.0;0;0.0;9.75

14b;Zumbach Michael;;;;;;;;;;54.75
+;;;Furrer Matthias;;;;;;;;9.75
o;2;9.75;Glauser Thomas;**;14;54.75;5;8.5;3;-1.25;8.5
+;7;18.25;Inauen Marco;;12;55.25;10;17.25;3;-1.0;9.75
o;5;28.0;Bühler Hannes;*;12;55.25;4;28.25;-1;0.25;8.5
+;9;36.5;Reichmuth Beat;;11;55.5;8;36.75;-1;0.25;9.75
o;11;46.25;Keller Dominic;;10;55.75;13;45.75;2;-0.5;8.5

14c;Glauser Thomas;**;;;;;;;;;54.75
o;;;Bernold Christian;**;;;;;;;8.5
+;5;8.5;Zumbach Michael;;14;54.75;2;9.75;-3;1.25;10.0
+;6;18.5;Frauenfelder Florian (2001);;22;52.5;6;18.5;0;0.0;10.0
o;3;28.5;Notz Beni;***;4;57.25;2;28.75;-1;0.25;8.75
o;6;37.25;Stadelmann Patrick (2000);;12;55.25;7;37.0;1;-0.25;8.75
o;12;46.0;Lanter Christian;;11;55.5;8;47.0;-4;1.0;8.75

14d;Nock Benjamin (2001);;;;;;;;;;54.75
+;;;Manser Adrian;;;;;;;;9.75
-;2;9.75;Schlegel Werner (2002);*;9;56.0;3;9.0;1;-0.75;8.75
-;6;18.5;Bärtsch Fabian (2000);;11;55.5;6;18.5;0;0.0;8.75
-;7;27.25;Lötscher Abraham (2000);;16;54.25;7;27.25;0;0.0;9.0
+;10;36.25;Winzeler Dominik (2000);;10;55.75;7;37.0;-3;0.75;9.75
-;12;46.0;Pianta Christian;;15;54.5;13;45.75;1;-0.25;8.75

14e;Kunz Daniel;*;;;;;;;;;54.75
+;;;Aerne Christian;;;;;;;;10.0
o;1;10.0;Notz Beni;***;4;57.25;3;9.0;2;-1.0;8.5
+;6;18.5;Koller Andreas;;15;54.5;6;18.5;0;0.0;10.0
-;3;28.5;Pianta Christian;;15;54.5;4;28.25;1;-0.25;9.0
o;5;37.5;Rhyner Michael;**;4;57.25;6;37.25;1;-0.25;8.5
-;12;46.0;Rotach Lars (2000);;15;54.5;13;45.75;1;-0.25;8.75

14f;Schwyn Patrick;;;;;;;;;;54.75
+;;;Biser Niklaus;;;;;;;;10.0
-;1;10.0;Signer Walter;;20;53.0;2;9.75;1;-0.25;9.0
o;4;19.0;Pfister Florian;*;13;55.0;6;18.5;2;-0.5;8.5
+;6;27.5;Ackermann Roman;;17;54.0;7;27.25;1;-0.25;9.75
o;6;37.25;Mettler Valentin;*;8;56.25;10;36.25;4;-1.0;8.5
-;13;45.75;Langenegger Beat;;16;54.25;15;45.25;2;-0.5;9.0

15a;Jörger Marc;*;;;;;;;;;54.5
o;;;Baumann Rico;*;;;;;;;8.75
+;4;8.75;Hänni Marc (2001);;12;55.25;1;10.0;-3;1.25;10.0
o;5;18.75;Schneider Domenic;***;2;57.75;6;18.5;1;-0.25;8.5
+;7;27.25;Winzeler Simon (2000);;12;55.25;4;28.25;-3;1.0;10.0
-;6;37.25;Straub Robin;*;11;55.5;3;38.25;-3;1.0;8.75
o;12;46.0;Arztmann Beda;*;10;55.75;12;46.0;0;0.0;8.5

15b;Pianta Christian;;;;;;;;;;54.5
+;;;Ackermann Roman;;;;;;;;9.75
o;2;9.75;Bühler Hannes;*;12;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Imhof Gregor (2001);;19;53.5;7;18.25;0;0.0;10.0
-;4;28.25;Kunz Daniel;*;14;54.75;3;28.5;-1;0.25;9.0
o;6;37.25;Holenstein Christian;*;10;55.75;6;37.25;0;0.0;8.5
-;13;45.75;Nock Benjamin (2001);;14;54.75;12;46.0;-1;0.25;8.75

15c;Schmidlin Tobias (2001);;;;;;;;;;54.5
o;;;Manser Dominik;;;;;;;;8.75
-;4;8.75;Ackermann Roman;;17;54.0;5;8.5;1;-0.25;8.75
+;9;17.5;Rust Emanuel;;20;53.0;10;17.25;1;-0.25;9.75
o;7;27.25;Inauen Aurel;;10;55.75;7;27.25;0;0.0;8.5
+;12;35.75;Ruppanner Philipp (2000);;17;54.0;13;35.5;1;-0.25;10.0
-;13;45.75;Scherrer Willi;;15;54.5;13;45.75;0;0.0;8.75

15d;Rotach Lars (2000);;;;;;;;;;54.5
-;;;Schmid Reto;;;;;;;;8.75
o;4;8.75;Aerne Christian;;12;55.25;5;8.5;1;-0.25;8.5
-;10;17.25;Rüegger Remo;;25;34.25;11;17.0;1;-0.25;8.75
+;11;26.0;Glättli Benny;;25;34.25;12;25.75;1;-0.25;9.75
+;12;35.75;Brülisauer Dominik (2001);;16;54.25;12;35.75;0;0.0;10.0
-;13;45.75;Kunz Daniel;*;14;54.75;12;46.0;-1;0.25;8.75

15e;Kammermann Thomas;*;;;;;;;;;54.5
-;;;Zbinden Marc;*;;;;;;;8.75
+;4;8.75;Roth David;;11;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Winzeler Dominik (2000);;10;55.75;1;20.0;-5;1.5;9.75
-;4;28.25;Scherrer Willi;;15;54.5;7;27.25;3;-1.0;9.0
o;6;37.25;Burkhalter Stefan;***;4;57.25;6;37.25;0;0.0;8.75
o;12;46.0;Mettler Valentin;*;8;56.25;11;46.25;-1;0.25;8.5

15f;Koller Andreas;;;;;;;;;;54.5
-;;;Lötscher Abraham (2000);;;;;;;;8.75
+;4;8.75;Arnold Christian;;18;53.75;5;8.5;1;-0.25;9.75
o;6;18.5;Kunz Daniel;*;14;54.75;6;18.5;0;0.0;8.75
o;7;27.25;Lanter Christian;;11;55.5;7;27.25;0;0.0;8.5
-;12;35.75;Ritter Fabio (2001);;18;53.75;9;36.5;-3;0.75;8.75
+;17;44.5;Signer Walter;;20;53.0;17;44.5;0;0.0;10.0

15g;Scherrer Willi;;;;;;;;;;54.5
-;;;Schweingruber Thomas;;;;;;;;8.75
o;4;8.75;Mathis Patrick;;23;36.75;5;8.5;1;-0.25;8.75
+;9;17.5;Giger Lorenz (2000);;17;54.0;7;18.25;-2;0.75;9.75
-;7;27.25;Kammermann Thomas;*;15;54.5;4;28.25;-3;1.0;8.75
+;11;36.0;Rust Emanuel;;20;53.0;12;35.75;1;-0.25;9.75
-;13;45.75;Schmidlin Tobias (2001);;15;54.5;13;45.75;0;0.0;8.75

16a;Lötscher Abraham (2000);;;;;;;;;;54.25
-;;;Koller Andreas;;;;;;;;8.75
+;4;8.75;Signer Ramon (2002);;24;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Mettler Valentin;*;8;56.25;9;17.5;3;-1.0;8.75
-;7;27.25;Nock Benjamin (2001);;14;54.75;7;27.25;0;0.0;8.75
o;11;36.0;Winzeler Simon (2000);;12;55.25;8;36.75;-3;0.75;8.5
+;17;44.5;Kirchmeier Christof;;19;53.5;16;45.0;-1;0.5;9.75

16b;Langenegger Beat;;;;;;;;;;54.25
o;;;Rentsch Christian;;;;;;;;8.5
o;5;8.5;Schnyder Christian;;17;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Stadelmann Patrick (2000);;12;55.25;10;17.25;-1;0.25;8.5
+;13;25.5;Grob Rachen (2002);;26;34.0;13;25.5;0;0.0;10.0
+;13;35.5;Sieber Marc (2000);;21;52.75;13;35.5;0;0.0;9.75
-;15;45.25;Schwyn Patrick;;14;54.75;13;45.75;-2;0.5;9.0

16c;Bosshard Dario;;;;;;;;;;54.25
+;;;Dobler Lorenz (2000);;;;;;;;9.75
o;2;9.75;Dörig Erich;*;8;56.25;3;9.0;1;-0.75;8.75
o;6;18.5;Keller Dominic;;10;55.75;6;18.5;0;0.0;8.75
o;7;27.25;Bärtsch Fabian (2000);;11;55.5;7;27.25;0;0.0;8.75
+;11;36.0;Kirchmeier Christof;;19;53.5;9;36.5;-2;0.5;9.75
o;13;45.75;Jörger Corsin;;11;55.5;13;45.75;0;0.0;8.5

16d;Brülisauer Dominik (2001);;;;;;;;;;54.25
o;;;Bärtsch Fabian (2000);;;;;;;;8.5
+;5;8.5;Stähli Jan;;17;54.0;5;8.5;0;0.0;9.75
o;7;18.25;Schönenberger Philipp;;17;54.0;10;17.25;3;-1.0;8.75
o;8;27.0;Schlegel Werner (2002);*;9;56.0;10;26.5;2;-0.5;8.75
o;12;35.75;Rotach Lars (2000);;15;54.5;12;35.75;0;0.0;8.5
+;18;44.25;Steiner Lukas (2002);;21;52.75;19;44.0;1;-0.25;10.0

16e;Kiener Raphael (2000);;;;;;;;;;54.25
+;;;Oberhänsli Kilian;;;;;;;;10.0
o;1;10.0;Pfister Florian;*;13;55.0;4;8.75;3;-1.25;8.5
o;6;18.5;Flütsch Marco;;12;55.25;7;18.25;1;-0.25;8.5
+;8;27.0;Ruppanner Philipp (2000);;17;54.0;8;27.0;0;0.0;10.0
o;7;37.0;Gmür Pirmin;**;9;56.0;11;36.0;4;-1.0;8.5
o;14;45.5;Inauen Marco;;12;55.25;15;45.25;1;-0.25;8.75

16f;Schmid Reto;;;;;;;;;;54.25
-;;;Rotach Lars (2000);;;;;;;;8.75
+;4;8.75;Baumann Simon;;24;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Jöhl Christian;*;12;55.25;7;18.25;1;-0.25;8.5
-;8;27.0;Schweingruber Thomas;;17;54.0;8;27.0;0;0.0;8.75
o;12;35.75;Held Simon (2002);;18;53.75;13;35.5;1;-0.25;8.5
+;18;44.25;Frauenfelder Florian (2001);;22;52.5;19;44.0;1;-0.25;10.0

17a;Ruppanner Philipp (2000);;;;;;;;;;54.0
o;;;Roth Michael;;;;;;;;8.5
+;5;8.5;Zemp Stefan (2002);;22;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Bühler Hannes;*;12;55.25;7;18.25;1;-0.25;8.5
o;8;27.0;Kiener Raphael (2000);;16;54.25;8;27.0;0;0.0;8.5
o;13;35.5;Schmidlin Tobias (2001);;15;54.5;12;35.75;-1;0.25;8.5
+;19;44.0;Falch Urs (2001);;22;52.5;19;44.0;0;0.0;10.0

17b;Ackermann Roman;;;;;;;;;;54.0
o;;;Pianta Christian;;;;;;;;8.5
-;5;8.5;Schmidlin Tobias (2001);;15;54.5;4;8.75;-1;0.25;8.75
+;10;17.25;Baumann Simon;;24;35.25;11;17.0;1;-0.25;10.0
o;7;27.25;Schwyn Patrick;;14;54.75;6;27.5;-1;0.25;8.5
o;12;35.75;Schweingruber Thomas;;17;54.0;12;35.75;0;0.0;8.5
+;18;44.25;Zemp Stefan (2002);;22;52.5;19;44.0;1;-0.25;9.75

17c;Wehrli Jan (2002);;;;;;;;;;54.0
+;;;Sieber Marc (2000);;;;;;;;10.0
o;1;10.0;Funk Nicola;*;12;55.25;4;8.75;3;-1.25;8.5
o;6;18.5;Roth David;;11;55.5;6;18.5;0;0.0;8.5
+;8;27.0;Frauenfelder Florian (2001);;22;52.5;8;27.0;0;0.0;9.75
o;8;36.75;Rüegg Fabian;*;11;55.5;7;37.0;-1;0.25;8.5
o;15;45.25;Bürgler Patrick;;10;55.75;13;45.75;-2;0.5;8.75

17d;Giger Lorenz (2000);;;;;;;;;;54.0
+;;;Zemp Stefan (2002);;;;;;;;9.75
o;2;9.75;Bürgler Patrick;;10;55.75;1;10.0;-1;0.25;8.5
o;7;18.25;Scherrer Willi;;15;54.5;9;17.5;2;-0.75;8.5
+;9;26.75;Biser Niklaus;;24;35.25;9;26.75;0;0.0;10.0
o;8;36.75;Schudel Simon;*;5;57.0;7;37.0;-1;0.25;8.5
o;15;45.25;Winzeler Dominik (2000);;10;55.75;13;45.75;-2;0.5;8.75

17e;Stähli Jan;;;;;;;;;;54.0
o;;;Imhof Gregor (2001);;;;;;;;8.5
o;5;8.5;Brülisauer Dominik (2001);;16;54.25;5;8.5;0;0.0;8.5
+;11;17.0;Arnold Christian;;18;53.75;11;17.0;0;0.0;9.75
-;9;26.75;Hodler Mathias;;11;55.5;8;27.0;-1;0.25;8.75
+;13;35.5;Signer Walter;;20;53.0;12;35.75;-1;0.25;9.75
o;15;45.25;Roth Michael;;12;55.25;14;45.5;-1;0.25;8.75

17f;Schnyder Christian;;;;;;;;;;54.0
o;;;Hodler Mathias;;;;;;;;8.5
+;5;8.5;Langenegger Beat;;16;54.25;5;8.5;0;0.0;10.0
o;6;18.5;Dändliker Shane;**;6;56.75;6;18.5;0;0.0;8.5
+;8;27.0;Bossert Alain (2001);;24;35.25;9;26.75;1;-0.25;10.0
o;7;37.0;Schmid Patrick;*;11;55.5;7;37.0;0;0.0;8.5
o;14;45.5;Roth David;;11;55.5;14;45.5;0;0.0;8.5

17g;Schönenberger Philipp;;;;;;;;;;54.0
-;;;Rust Emanuel;;;;;;;;8.75
o;4;8.75;Schmid Patrick;*;11;55.5;5;8.5;1;-0.25;8.5
+;10;17.25;Brülisauer Dominik (2001);;16;54.25;7;18.25;-3;1.0;9.75
+;8;27.0;Held Simon (2002);;18;53.75;8;27.0;0;0.0;10.0
o;7;37.0;Bühler Ernst;**;10;55.75;6;37.25;-1;0.25;8.5
o;14;45.5;Inauen Aurel;;10;55.75;13;45.75;-1;0.25;8.5

17h;Schweingruber Thomas;;;;;;;;;;54.0
-;;;Scherrer Willi;;;;;;;;8.75
+;4;8.75;Falch Urs (2001);;22;52.5;5;8.5;1;-0.25;9.75
o;6;18.5;Gmür Pirmin;**;9;56.0;9;17.5;3;-1.0;8.5
-;8;27.0;Schmid Reto;;16;54.25;8;27.0;0;0.0;8.75
+;12;35.75;Ackermann Roman;;17;54.0;12;35.75;0;0.0;9.75
o;14;45.5;Bleiker Daniel;;12;55.25;14;45.5;0;0.0;8.5

17i;Müller Christian (2001);;;;;;;;;;54.0
o;;;Inauen Aurel;;;;;;;;8.5
+;5;8.5;Sprecher Martin (2000);;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Elmer Daniel;*;7;56.5;7;18.25;1;-0.25;8.5
o;8;27.0;Hänni Marc (2001);;12;55.25;8;27.0;0;0.0;8.5
+;13;35.5;Zemp Stefan (2002);;22;52.5;13;35.5;0;0.0;10.0
o;14;45.5;Junker Nik;;10;55.75;13;45.75;-1;0.25;8.5

18a;Manser Adrian;;;;;;;;;;53.75
o;;;Nock Benjamin (2001);;;;;;;;8.5
+;5;8.5;Rüegger Remo;;25;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Schudel Simon;*;5;57.0;6;18.5;-1;0.25;8.5
+;9;26.75;Sprecher Martin (2000);;24;35.25;9;26.75;0;0.0;10.0
o;8;36.75;Burkhard Tobias;;12;55.25;8;36.75;0;0.0;8.5
o;15;45.25;Reichmuth Beat;;11;55.5;14;45.5;-1;0.25;8.5

18b;Held Simon (2002);;;;;;;;;;53.75
o;;;Ochsner Reto (2000);;;;;;;;8.5
+;5;8.5;Rickenmann Ramon (2001);;26;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Wey Nicola;*;6;56.75;7;18.25;1;-0.25;8.5
o;8;27.0;Schönenberger Philipp;;17;54.0;8;27.0;0;0.0;8.5
+;13;35.5;Schmid Reto;;16;54.25;12;35.75;-1;0.25;9.75
o;15;45.25;Bärtsch Fabian (2000);;11;55.5;14;45.5;-1;0.25;8.5

18c;Arnold Christian;;;;;;;;;;53.75
o;;;Reichmuth Beat;;;;;;;;8.5
o;5;8.5;Koller Andreas;;15;54.5;4;8.75;-1;0.25;8.5
o;11;17.0;Stähli Jan;;17;54.0;11;17.0;0;0.0;8.5
+;13;25.5;Rüegger Remo;;25;34.25;12;25.75;-1;0.25;10.0
+;13;35.5;Falch Urs (2001);;22;52.5;13;35.5;0;0.0;9.75
o;15;45.25;Hänni Marc (2001);;12;55.25;15;45.25;0;0.0;8.5

18d;Ritter Fabio (2001);;;;;;;;;;53.75
+;;;Steiner Lukas (2002);;;;;;;;9.75
+;2;9.75;Baumann Nico (2002);;24;35.25;2;9.75;0;0.0;9.75
o;3;19.5;Oettli Marco;*;8;56.25;7;18.25;4;-1.25;8.5
o;5;28.0;Rüegg Fabian;*;11;55.5;8;27.0;3;-1.0;8.5
-;9;36.5;Koller Andreas;;15;54.5;12;35.75;3;-0.75;8.75
o;15;45.25;Hobi Ignaz;;12;55.25;15;45.25;0;0.0;8.5

19a;Kirchmeier Christof;;;;;;;;;;53.5
+;;;Knup Stephan;;;;;;;;9.75
o;2;9.75;Winzeler Dominik (2000);;10;55.75;1;10.0;-1;0.25;8.5
o;7;18.25;Junker Nik;;10;55.75;6;18.5;-1;0.25;8.5
+;9;26.75;Manser Dominik;;24;35.25;9;26.75;0;0.0;9.75
o;9;36.5;Bosshard Dario;;16;54.25;11;36.0;2;-0.5;8.5
o;16;45.0;Lötscher Abraham (2000);;16;54.25;17;44.5;1;-0.5;8.5

19b;Imhof Gregor (2001);;;;;;;;;;53.5
+;;;Stähli Jan;;;;;;;;9.75
o;2;9.75;Landolt Reto;*;6;56.75;4;8.75;2;-1.0;8.5
o;7;18.25;Pianta Christian;;15;54.5;7;18.25;0;0.0;8.5
+;9;26.75;Signer Ramon (2002);;24;35.25;9;26.75;0;0.0;9.75
o;9;36.5;Buchmann Michael;;12;55.25;8;36.75;-1;0.25;8.5
o;16;45.0;Galli Cedric (2001);;14;54.75;16;45.0;0;0.0;8.5

20a;Dobler Lorenz (2000);;;;;;;;;;53.0
o;;;Bosshard Dario;;;;;;;;8.5
-;5;8.5;Glättli Benny;;25;34.25;5;8.5;0;0.0;8.75
+;10;17.25;Rickenmann Ramon (2001);;26;34.0;11;17.0;1;-0.25;10.0
o;7;27.25;Ochsner Reto (2000);;13;55.0;5;28.0;-2;0.75;8.5
o;12;35.75;Hodler Mathias;;11;55.5;12;35.75;0;0.0;8.5
-;18;44.25;Sieber Marc (2000);;21;52.75;19;44.0;1;-0.25;8.75

20b;Signer Walter;;;;;;;;;;53.0
+;;;Bossert Alain (2001);;;;;;;;9.75
-;2;9.75;Schwyn Patrick;;14;54.75;1;10.0;-1;0.25;9.0
o;5;18.75;Baumann Rico;*;4;57.25;6;18.5;1;-0.25;8.5
o;7;27.25;Kobler Janosch (2000);;13;55.0;5;28.0;-2;0.75;8.5
o;12;35.75;Stähli Jan;;17;54.0;13;35.5;1;-0.25;8.75
o;17;44.5;Koller Andreas;;15;54.5;17;44.5;0;0.0;8.5

20c;Rust Emanuel;;;;;;;;;;53.0
-;;;Schönenberger Philipp;;;;;;;;8.75
o;4;8.75;Wolfer Lukas;*;12;55.25;5;8.5;1;-0.25;8.5
o;10;17.25;Schmidlin Tobias (2001);;15;54.5;9;17.5;-1;0.25;8.5
+;12;25.75;Rickenmann Ramon (2001);;26;34.0;13;25.5;1;-0.25;10.0
o;12;35.75;Scherrer Willi;;15;54.5;11;36.0;-1;0.25;8.75
o;17;44.5;Hodler Mathias;;11;55.5;14;45.5;-3;1.0;8.5

21a;Sieber Marc (2000);;;;;;;;;;52.75
o;;;Wehrli Jan (2002);;;;;;;;8.5
+;5;8.5;Grob Rachen (2002);;26;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Vollenweider Jeremy;*;5;57.0;6;18.5;0;0.0;8.5
o;8;27.0;Bleiker Daniel;;12;55.25;8;27.0;0;0.0;8.5
o;13;35.5;Langenegger Beat;;16;54.25;13;35.5;0;0.0;8.5
-;19;44.0;Dobler Lorenz (2000);;20;53.0;18;44.25;-1;0.25;8.75

21b;Steiner Lukas (2002);;;;;;;;;;52.75
o;;;Ritter Fabio (2001);;;;;;;;8.5
o;5;8.5;Furrer Matthias;;24;35.25;5;8.5;0;0.0;8.5
