3338-2018-06-24_Fete_Alpestre_Lac_Noir-Bergschwinget_Schwarzsee2-ST

+;10;36.75;Locher Alfred;*;14;54.75;7;37.5;-3;0.75;10.0
-;9;46.75;Gapany Benjamin;**;10;55.75;8;47.0;-1;0.25;8.75

11b;Kämpf Alexander;**;;;;;;;;;55.5
+;;;Barras André;*;;;;;;;9.75
o;2;9.75;Thürig Mario;***;8;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Zimmermann Mario;*;29;34.25;11;17.0;4;-1.25;9.75
-;7;28.0;Dind Samuel;**;20;53.0;10;27.25;3;-0.75;8.75
-;10;36.75;Hügli Kaj;**;16;54.25;10;36.75;0;0.0;8.75
+;14;45.5;Brodard Augustin;**;19;53.25;17;44.75;3;-0.75;10.0

11c;Roch Vincent;**;;;;;;;;;55.5
+;;;Ramseier Fritz;**;;;;;;;9.75
o;2;9.75;Sempach Thomas;***;6;56.75;4;8.75;2;-1.0;8.75
+;6;18.5;Fankhauser Kurt;**;16;54.25;5;18.75;-1;0.25;10.0
+;5;28.5;Aellen Florian;*;11;55.5;5;28.5;0;0.0;10.0
o;3;38.5;Anderegg Simon;***;3;58.0;3;38.5;0;0.0;8.5
o;8;47.0;Renfer Lukas;*;6;56.75;9;46.75;1;-0.25;8.5

11d;Aellen Florian;*;;;;;;;;;55.5
+;;;Buchs Carlo;*;;;;;;;10.0
+;1;10.0;Dousse Michel;**;28;34.5;4;8.75;3;-1.25;10.0
o;1;20.0;Stucki Christian;***;1;58.5;5;18.75;4;-1.25;8.5
o;5;28.5;Roch Vincent;**;11;55.5;5;28.5;0;0.0;8.5
-;9;37.0;Gottofrey Marc;**;18;53.75;12;36.25;3;-0.75;8.75
+;13;45.75;Ducrest Etienne;*;21;52.75;19;44.25;6;-1.5;9.75

11e;Berger René;**;;;;;;;;;55.5
-;;;Stoffel Marc;**;;;;;;;8.75
+;4;8.75;Kramer Dorian;*;27;35.0;4;8.75;0;0.0;9.75
o;6;18.5;Brun Samuel;**;14;54.75;7;18.25;1;-0.25;8.5
+;11;27.0;Giroud Jonathan;**;26;35.25;12;26.75;1;-0.25;10.0
o;9;37.0;Gapany Benjamin;**;10;55.75;9;37.0;0;0.0;8.5
+;14;45.5;Guisolan Marc;**;17;54.0;14;45.5;0;0.0;10.0

12a;Kramer Franz;*;;;;;;;;;55.25
+;;;Schafer Damien;*;;;;;;;9.75
-;2;9.75;Orlik Curdin;**;5;57.0;4;8.75;2;-1.0;8.75
-;6;18.5;Siegenthaler Tobias;*;15;54.5;5;18.75;-1;0.25;8.75
+;10;27.25;Wittwer Josias;*;15;54.5;9;27.5;-1;0.25;10.0
-;8;37.25;Gobeli Patrick;*;8;56.25;7;37.5;-1;0.25;9.0
-;11;46.25;Locher Alfred;*;14;54.75;12;46.0;1;-0.25;9.0

12b;Stegmüller Klemens;*;;;;;;;;;55.25
o;;;Lerch Jimmy;*;;;;;;;8.5
o;5;8.5;Hofer Sven;*;13;55.0;5;8.5;0;0.0;8.5
+;11;17.0;Minder Florian;**;28;34.5;10;17.25;-1;0.25;10.0
+;11;27.0;Steffen Gustav;*;16;54.25;11;27.0;0;0.0;10.0
+;9;37.0;Mathys Simon;**;23;46.25;7;37.5;-2;0.5;9.75
o;9;46.75;Sempach Thomas;***;6;56.75;8;47.0;-1;0.25;8.5

12c;Wüthrich Niklaus;**;;;;;;;;;55.25
