4149-2018-05-06_Zuercher_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;59.25
+;7;37.5;Jörger Corsin;;15;54.75;8;37.25;1;-0.25;10.0
-;6;47.5;Schnurrenberger Roman;**;9;56.25;7;47.25;1;-0.25;8.75

10a;Schlegel Werner (2002);;;;;;;;;;56.0
+;;;Lanter Andreas;;;;;;;;10.0
-;1;10.0;Nägeli Marco;**;6;57.0;4;8.75;3;-1.25;8.75
o;5;18.75;Battaglia Ursin;**;12;55.5;6;18.5;1;-0.25;8.5
-;9;27.25;Gosswiler Livio (2000);;17;54.25;9;27.25;0;0.0;9.0
+;12;36.25;Lusti Remo (2001);;19;53.75;11;36.5;-1;0.25;10.0
+;11;46.25;Hersche Daniel;*;14;55.0;11;46.25;0;0.0;9.75

10b;Bernold Michael;*;;;;;;;;;56.0
+;;;Bickel Roman;*;;;;;;;10.0
o;1;10.0;Gisler Bruno;***;5;57.25;4;8.75;3;-1.25;8.75
