4985-2022-07-03_115_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Wicki Joel;***;;;;;;;;;58.75
o;11;17.25;Wiget Ueli;*;13;55.25;12;17.0;1;-0.25;8.5
+;16;25.75;Gwerder Fabian;;33;34.75;14;26.25;-2;0.5;9.75
o;17;35.5;Reichmuth Lukas;*;17;54.25;16;35.75;-1;0.25;8.5
o;20;44.0;Duss Yvan;;18;54.0;19;44.25;-1;0.25;8.5

24b;Zberg Peter (2004);;;;;;;;;;52.5
o;;;Steiner Severin;;;;;;;;8.5
o;5;8.5;Bühler Ramon;;17;54.25;4;8.75;-1;0.25;8.5
+;12;17.0;Forster Christian;;36;34.0;12;17.0;0;0.0;10.0
o;11;27.0;Effinger Markus;*;15;54.75;12;26.75;1;-0.25;8.5
o;17;35.5;Wiget Ueli;*;13;55.25;17;35.5;0;0.0;8.5
o;20;44.0;Gut Koni;*;14;55.0;15;45.25;-5;1.25;8.5

24c;Gerber Jakob;;;;;;;;;;52.5
o;;;Hurschler Tobias;;;;;;;;8.5
o;5;8.5;Achermann Ivan (2005);;17;54.25;3;9.0;-2;0.5;8.5
+;12;17.0;Arnold Sebastian;;36;34.0;12;17.0;0;0.0;10.0
o;11;27.0;Schöpfer Marco;*;18;54.0;12;26.75;1;-0.25;8.5
o;17;35.5;Müller Luca (2004);*;13;55.25;17;35.5;0;0.0;8.5
o;20;44.0;Chiodo Gian Paolo (2005);;18;54.0;20;44.0;0;0.0;8.5

24d;Gwerder Beni;;;;;;;;;;52.5
+;;;Wicki Patrick;;;;;;;;10.0
o;1;10.0;Schmid Simon;*;13;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Odermatt Christian;**;7;56.75;7;18.25;1;-0.25;8.5
o;11;27.0;Hürlimann Ueli;;16;54.5;9;27.5;-2;0.5;8.5
o;17;35.5;Staub Ivan;;16;54.5;16;35.75;-1;0.25;8.5
o;20;44.0;Elsener Marcel;*;17;54.25;18;44.5;-2;0.5;8.5

25a;Schürpf Bruno;*;;;;;;;;;46.25
+;;;Müller Luca (2004);*;;;;;;;10.0
o;1;10.0;Schurtenberger Sven;***;6;57.0;2;9.75;1;-0.25;8.5
+;6;18.5;Gander Martin;;17;54.25;6;18.5;0;0.0;9.75
-;6;28.25;Schöpfer Ronny;**;9;56.25;5;28.5;-1;0.25;9.0
-;10;37.25;Riebli Urs;*;11;55.75;8;37.75;-2;0.5;9.0

26a;Ulrich Michael;*;;;;;;;;;45.75
o;;;Elmiger Andreas;*;;;;;;;8.5
+;5;8.5;Bieri Elias;;15;54.75;2;9.75;-3;1.25;10.0
o;6;18.5;Kurmann Toni;*;8;56.5;6;18.5;0;0.0;8.5
+;11;27.0;Ottiger Lukas;*;31;35.25;12;26.75;1;-0.25;10.0
o;11;37.0;Odermatt Remo;*;14;55.0;12;36.75;1;-0.25;8.75

27a;Bucher André;;;;;;;;;;45.25
+;;;Andermatt Reto;;;;;;;;10.0
+;1;10.0;Wiget Ueli;*;13;55.25;5;8.5;4;-1.5;9.75
o;2;19.75;Bissig Lukas;**;8;56.5;5;18.75;3;-1.0;8.5
o;6;28.25;Thierstein Marco;*;14;55.0;6;28.25;0;0.0;8.5
o;12;36.75;Vogel Marcel;*;17;54.25;15;36.0;3;-0.75;8.5

28a;Omlin Toni;*;;;;;;;;;37.0
o;;;Lemmenmeier Lukas;*;;;;;;;8.5
+;5;8.5;Schuler Daniel;*;22;53.0;4;8.75;-1;0.25;10.0
+;6;18.5;Chiodo Gian Paolo (2005);;18;54.0;6;18.5;0;0.0;10.0
o;5;28.5;Lustenberger Marc;*;7;56.75;2;29.5;-3;1.0;8.5

29a;Barmettler Renato;*;;;;;;;;;35.75
-;;;Wyss Christian;*;;;;;;;8.75
o;4;8.75;Fankhauser Reto;**;7;56.75;5;8.5;1;-0.25;8.5
o;11;17.25;Amrhyn Jonas;;18;54.0;6;18.5;-5;1.25;8.5
+;16;25.75;Mignola Lorenzo;;36;34.0;17;25.5;1;-0.25;10.0

29b;Betschart Patrick;*;;;;;;;;;35.75
-;;;Murer Andy;**;;;;;;;8.75
+;4;8.75;Niederberger Markus;*;19;53.75;5;8.5;1;-0.25;9.75
-;6;18.5;Vogel Marcel;*;17;54.25;6;18.5;0;0.0;8.75
o;10;27.25;Gut Koni;*;14;55.0;11;27.0;1;-0.25;8.5

30a;Von Euw Adi;;;;;;;;;;35.5
+;;;Arnold Sebastian;;;;;;;;10.0
o;1;10.0;Lustenberger Josef;*;15;54.75;5;8.5;4;-1.5;8.5
o;6;18.5;Zemp Christian (2004);*;15;54.75;6;18.5;0;0.0;8.5
o;11;27.0;Hurschler Tobias;;13;55.25;11;27.0;0;0.0;8.5

31a;Ottiger Lukas;*;;;;;;;;;35.25
o;;;Betschart Marcel;*;;;;;;;8.5
o;5;8.5;Widmer Thomas;;16;54.5;1;10.0;-4;1.5;8.5
+;12;17.0;Barmettler Severin (2005);;20;53.5;8;18.0;-4;1.0;9.75
o;12;26.75;Ulrich Michael;*;26;45.75;11;27.0;-1;0.25;8.5

31b;Meier Daniel;*;;;;;;;;;35.25
+;;;Wiget Ueli;*;;;;;;;9.75
o;2;9.75;Fellmann Roman;**;16;54.5;4;8.75;2;-1.0;8.5
o;7;18.25;Durrer Nando;*;9;56.25;8;18.0;1;-0.25;8.5
o;12;26.75;Birchler Fabian;;13;55.25;11;27.0;-1;0.25;8.5

31c;Bless Michael;***;;;;;;;;;35.25
o;;;Schurtenberger Sven;***;;;;;;;8.5
+;5;8.5;Arnold Stefan;**;9;56.25;2;9.75;-3;1.25;9.75
o;7;18.25;Fankhauser Reto;**;7;56.75;6;18.5;-1;0.25;8.5
o;12;26.75;Riebli Urs;*;11;55.75;7;28.0;-5;1.25;8.5

31d;Baumann Marco;;;;;;;;;;35.25
+;;;Arnold David;;;;;;;;9.75
o;2;9.75;Troxler Jonas;*;15;54.75;5;8.5;3;-1.25;8.5
o;7;18.25;Odermatt Remo;*;14;55.0;11;17.25;4;-1.0;8.5
o;12;26.75;Gander Martin;;17;54.25;11;27.0;-1;0.25;8.5

31e;Käslin Ruedi;*;;;;;;;;;35.25
+;;;Moos Christoph;*;;;;;;;9.75
o;2;9.75;Lustenberger Marc;*;7;56.75;2;9.75;0;0.0;8.5
o;7;18.25;Steinauer Kevin (2004);;15;54.75;7;18.25;0;0.0;8.5
o;12;26.75;Bühler Ramon;;17;54.25;11;27.0;-1;0.25;8.5

31f;Walker Jan (2004);;;;;;;;;;35.25
-;;;Betschart Roger;;;;;;;;8.75
-;4;8.75;Christen Silvan;;21;53.25;2;9.75;-2;1.0;9.0
o;9;17.75;Wallimann Remo;*;17;54.25;10;17.5;1;-0.25;8.5
-;14;26.25;Doppmann Ueli;;32;35.0;14;26.25;0;0.0;9.0

31g;Arnold David;;;;;;;;;;35.25
o;;;Baumann Marco;;;;;;;;8.5
o;5;8.5;Birchler Fabian;;13;55.25;4;8.75;-1;0.25;8.5
+;12;17.0;Mignola Lorenzo;;36;34.0;12;17.0;0;0.0;9.75
o;12;26.75;Binggeli Stefan;**;16;54.5;15;26.0;3;-0.75;8.5

32a;Betschart Daniel;;;;;;;;;;35.0
-;;;Amrhyn Jonas;;;;;;;;8.75
-;4;8.75;Felder Ivan (2004);;17;54.25;4;8.75;0;0.0;9.0
-;9;17.75;Bühlmann Daniel;*;16;54.5;12;17.0;3;-0.75;8.75
o;13;26.5;Schmid Simon;*;13;55.25;11;27.0;-2;0.5;8.5

32b;Doppmann Ueli;;;;;;;;;;35.0
-;;;Barmettler Severin (2005);;;;;;;;9.0
o;3;9.0;Gabriel Simon;;21;53.25;4;8.75;1;-0.25;8.75
o;9;17.75;Heinzer Lukas (2004);*;17;54.25;10;17.5;1;-0.25;8.5
-;14;26.25;Walker Jan (2004);;31;35.25;14;26.25;0;0.0;8.75

33a;Gwerder Fabian;;;;;;;;;;34.75
-;;;Duss Yvan;;;;;;;;8.75
-;4;8.75;Barmettler Severin (2005);;20;53.5;3;9.0;-1;0.25;9.0
o;9;17.75;Gisler Jonas;*;17;54.25;11;17.25;2;-0.5;8.5
o;14;26.25;Zumstein Patrick;;24;52.5;16;25.75;2;-0.5;8.5

34a;Bieri Christian;**;;;;;;;;;34.5
o;;;Odermatt Christian;**;;;;;;;8.5
-;5;8.5;Wyss Christian;*;15;54.75;3;9.0;-2;0.5;8.75
o;11;17.25;Betschart Roger;;17;54.25;6;18.5;-5;1.25;8.5
-;16;25.75;Thalmann Adrian;;11;55.75;11;27.0;-5;1.25;8.75

34b;Arnold Kilian;;;;;;;;;;34.5
-;;;Achermann Ivan (2005);;;;;;;;9.0
o;3;9.0;Rogenmoser Linus;;17;54.25;4;8.75;1;-0.25;8.5
o;10;17.5;Zimmermann Raffael;;22;53.0;11;17.25;1;-0.25;8.5
o;15;26.0;Schärli Reto;*;12;55.5;16;25.75;1;-0.25;8.5

34c;Beffa Mario;;;;;;;;;;34.5
-;;;von Wyl Kevin (2004);;;;;;;;8.75
-;4;8.75;Ming Hannes;;21;53.25;4;8.75;0;0.0;8.75
o;10;17.5;Zürcher Ueli;*;16;54.5;11;17.25;1;-0.25;8.5
o;15;26.0;Felder Ivan (2004);;17;54.25;15;26.0;0;0.0;8.5

34d;Rogenmoser Ryan;;;;;;;;;;34.5
-;;;Ming Hannes;;;;;;;;8.75
-;4;8.75;Schnellmann Adrian (2004);;35;34.25;5;8.5;1;-0.25;8.75
o;10;17.5;Niederberger Markus;*;19;53.75;12;17.0;2;-0.5;8.5
o;15;26.0;Andermatt Reto;;19;53.75;12;26.75;-3;0.75;8.5

35a;Schnellmann Adrian (2004);;;;;;;;;;34.25
o;;;Gander Martin;;;;;;;;8.5
-;5;8.5;Rogenmoser Ryan;;34;34.5;4;8.75;-1;0.25;8.75
o;11;17.25;Bättig Martin;*;19;53.75;11;17.25;0;0.0;8.5
o;16;25.75;Berchtold Kilian;;22;53.0;15;26.0;-1;0.25;8.5

35b;Hurschler Adrian;;;;;;;;;;34.25
o;;;Züger Benjamin (2004);;;;;;;;8.5
-;5;8.5;Wicki Patrick;;22;53.0;4;8.75;-1;0.25;8.75
o;11;17.25;Schuler Daniel;*;22;53.0;11;17.25;0;0.0;8.5
o;16;25.75;Heinzer Ronny;*;12;55.5;11;27.0;-5;1.25;8.5

35c;Schwegler Flavio (2004);;;;;;;;;;34.25
-;;;Felder Ivan (2004);;;;;;;;8.75
o;4;8.75;von Wyl Kevin (2004);;17;54.25;4;8.75;0;0.0;8.5
o;11;17.25;Hurschler Stefan (2006);;21;53.25;11;17.25;0;0.0;8.5
o;16;25.75;Ming Hannes;;21;53.25;15;26.0;-1;0.25;8.5

36a;Crotta Robin;;;;;;;;;;34.0
o;;;Widmer Thomas;;;;;;;;8.5
o;5;8.5;Lüscher Elias (2006);;21;53.25;5;8.5;0;0.0;8.5
o;12;17.0;Thalmann Adrian;;11;55.75;12;17.0;0;0.0;8.5
o;17;25.5;Inderbitzin Daniel;*;15;54.75;15;26.0;-2;0.5;8.5

36b;Forster Christian;;;;;;;;;;34.0
o;;;Wyrsch Gabriel;;;;;;;;8.5
o;5;8.5;Staub Ivan;;16;54.5;4;8.75;-1;0.25;8.5
o;12;17.0;Zberg Peter (2004);;24;52.5;12;17.0;0;0.0;8.5
o;17;25.5;Moos Christoph;*;23;52.75;16;25.75;-1;0.25;8.5

36c;Schilter Daniel;*;;;;;;;;;34.0
o;;;Achermann Christoph;*;;;;;;;8.5
o;5;8.5;Lussi Marco;**;12;55.5;4;8.75;-1;0.25;8.5
o;12;17.0;Bieri Elias;;15;54.75;7;18.25;-5;1.25;8.5
o;17;25.5;Ming Peter;;16;54.5;15;26.0;-2;0.5;8.5

36d;Arnold Sebastian;;;;;;;;;;34.0
o;;;Von Euw Adi;;;;;;;;8.5
o;5;8.5;Durrer Lukas;;20;53.5;4;8.75;-1;0.25;8.5
o;12;17.0;Gerber Jakob;;24;52.5;12;17.0;0;0.0;8.5
o;17;25.5;Würsch Lars;*;15;54.75;14;26.25;-3;0.75;8.5

36e;Mignola Lorenzo;;;;;;;;;;34.0
o;;;Christen Silvan;;;;;;;;8.5
o;5;8.5;Briker Raphael (2006);;15;54.75;5;8.5;0;0.0;8.5
o;12;17.0;Arnold David;;31;35.25;12;17.0;0;0.0;8.5
o;17;25.5;Barmettler Renato;*;29;35.75;16;25.75;-1;0.25;8.5

36f;Arnold Robin;;;;;;;;;;34.0
o;;;Steinauer Kevin (2004);;;;;;;;8.5
o;5;8.5;Staffelbach Noah;;23;52.75;4;8.75;-1;0.25;8.5
o;12;17.0;Gasser Dominik 1;;22;53.0;12;17.0;0;0.0;8.5
o;17;25.5;Bühlmann Daniel;*;16;54.5;16;25.75;-1;0.25;8.5

37a;Imhof Andi;***;;;;;;;;;27.25
o;;;Lustenberger Marc;*;;;;;;;8.75
+;4;8.75;Ulrich Gregor;*;16;54.5;1;10.0;-3;1.25;9.75
-;6;18.5;Bühler Kilian;*;11;55.75;5;18.75;-1;0.25;8.75

38a;Wyrsch Silvio;*;;;;;;;;;27.0
-;;;Inderbitzin Daniel;*;;;;;;;8.75
+;4;8.75;Odermatt Remo;*;14;55.0;4;8.75;0;0.0;9.75
o;6;18.5;Bucher Christian;**;6;57.0;5;18.75;-1;0.25;8.5

39a;Lang Sven;**;;;;;;;;;18.5
+;;;Suter Pirmin;**;;;;;;;9.75
o;2;9.75;Bucher Thomas;*;8;56.5;1;10.0;-1;0.25;8.75

40a;Bucher Roland;*;;;;;;;;;18.25
+;;;Hirsiger Alexander;*;;;;;;;9.75
o;2;9.75;Burger Matthieu;**;8;56.5;5;8.5;3;-1.25;8.5

41a;Kennel Beat;**;;;;;;;;;17.0
o;;;Scherer Niklaus;**;;;;;;;8.5
o;5;8.5;Durrer Jonas;*;14;55.0;4;8.75;-1;0.25;8.5

41b;Gwerder Andreas;*;;;;;;;;;17.0
o;;;Thierstein Marco;*;;;;;;;8.5
o;5;8.5;Wyrsch Gabriel;;14;55.0;1;10.0;-4;1.5;8.5

42a;Schuler Christian;***;;;;;;;;;8.5
o;;;Aeschbacher Matthias;***;;;;;;;8.5

