5623-2022-06-12_Fete_Cantonale_Vaudoise-ST

1a;Gapany Benjamin;***;;;;;;;;;59.5
-;10;37.0;Zürcher Remo;*;12;55.25;11;36.75;1;-0.25;8.75
+;12;45.75;Zbinden Silvan (2004);;15;54.5;11;46.0;-1;0.25;9.75

11g;Tschumi Daniel (2005);;;;;;;;;;55.5
+;;;Zbinden Lukas;;;;;;;;9.75
o;2;9.75;Baeriswyl Christoph;**;6;57.0;3;8.75;1;-1.0;8.5
o;6;18.25;Siegenthaler Leo (2005);;8;56.25;6;18.25;0;0.0;8.5
+;11;26.75;Juon Martin;;19;53.5;11;26.75;0;0.0;10.0
+;11;36.75;Monney Branighan;;13;55.0;11;36.75;0;0.0;10.0
o;8;46.75;Balimann Sandro;*;6;57.0;7;47.0;-1;0.25;8.75

11h;Riedo Fredy;*;;;;;;;;;55.5
o;;;Loup Alexandre;*;;;;;;;8.5
+;4;8.5;Beaud Eric;;16;54.25;1;10.0;-3;1.5;10.0
o;5;18.5;Haenni Stéphane;**;10;55.75;5;18.5;0;0.0;8.5
+;10;27.0;Perret Loïc;;11;55.5;6;28.25;-4;1.25;10.0
+;10;37.0;Jeannin Jess;;15;54.5;9;37.25;-1;0.25;10.0
o;7;47.0;Colò Kilian;**;7;56.75;8;46.75;1;-0.25;8.5

11i;Hayoz Quentin;*;;;;;;;;;55.5
o;;;Balimann Sandro;*;;;;;;;8.5
+;4;8.5;Siegenthaler Leo (2005);;8;56.25;2;9.75;-2;1.25;10.0
o;5;18.5;Collaud Bastien (2005);;10;55.75;4;18.75;-1;0.25;8.5
+;10;27.0;Borcard Clovis;*;14;54.75;8;27.5;-2;0.5;9.75
+;11;36.75;Germanier Joel;;11;55.5;10;37.0;-1;0.25;9.75
-;9;46.5;Gottofrey Marc;**;9;56.0;7;47.0;-2;0.5;9.0

11j;Neuenschwander Noel (2005);;;;;;;;;;55.5
o;;;Suchet Jonathan (2005);;;;;;;;8.5
o;4;8.5;Erb Vincent;;16;54.25;4;8.5;0;0.0;8.5
+;8;17.0;Aeschbacher Ivo;;16;54.25;7;17.5;-1;0.5;10.0
o;10;27.0;Droxler Jonathan;**;11;55.5;13;26.25;3;-0.75;8.5
+;16;35.5;Raboud Mathieu;;18;53.75;16;35.5;0;0.0;10.0
+;13;45.5;Wenger Marco;;18;53.75;14;45.25;1;-0.25;10.0

11k;Germanier Joel;;;;;;;;;;55.5
+;;;Egger Pierre;;;;;;;;10.0
o;1;10.0;Kramer Dorian;**;10;55.75;3;8.75;2;-1.25;8.5
+;5;18.5;Clément Aurélien;;10;55.75;4;18.75;-1;0.25;10.0
o;5;28.5;Hofer Sven;**;7;56.75;6;28.25;1;-0.25;8.5
o;10;37.0;Hayoz Quentin;*;11;55.5;11;36.75;1;-0.25;8.5
+;13;45.5;Maridor Loic;;17;54.0;13;45.5;0;0.0;10.0

12a;Loup Alexandre;*;;;;;;;;;55.25
+;;;Riedo Fredy;*;;;;;;;9.75
o;2;9.75;Sturny Nicolas;**;7;56.75;2;9.75;0;0.0;8.5
+;6;18.25;Erb Vincent;;16;54.25;5;18.5;-1;0.25;10.0
+;6;28.25;Leuenberger Gian (2005);;13;55.0;6;28.25;0;0.0;9.75
o;6;38.0;Moser Steven;**;3;58.0;6;38.0;0;0.0;8.5
-;9;46.5;Zbinden Dario (2004);*;12;55.25;9;46.5;0;0.0;8.75

12b;Barras François;*;;;;;;;;;55.25
o;;;Rogivue Théo;*;;;;;;;8.5
+;4;8.5;Perret Loïc;;11;55.5;2;9.75;-2;1.25;9.75
+;6;18.25;Wieland Timon;;13;55.0;6;18.25;0;0.0;10.0
o;6;28.25;Baeriswyl Christoph;**;6;57.0;6;28.25;0;0.0;8.5
o;11;36.75;Schmid Silvan;;12;55.25;11;36.75;0;0.0;8.75
+;13;45.5;Neyroud Geoffrey;;15;54.5;11;46.0;-2;0.5;9.75

12c;Rogivue Théo;*;;;;;;;;;55.25
+;;;Barras François;*;;;;;;;9.75
o;2;9.75;Borcard Johann;**;7;56.75;1;10.0;-1;0.25;8.5
+;6;18.25;Tornare Paul;;7;56.75;5;18.5;-1;0.25;10.0
+;6;28.25;Z'Rotz Roman;;12;55.25;6;28.25;0;0.0;10.0
o;5;38.25;Hofer Sven;**;7;56.75;5;38.25;0;0.0;8.5
o;8;46.75;Emonet Frédéric;**;8;56.25;9;46.5;1;-0.25;8.5

12d;Zürcher Remo;*;;;;;;;;;55.25
o;;;Moser Steven;**;;;;;;;8.5
+;4;8.5;Fuchs Sylvain (2005);;16;54.25;2;9.75;-2;1.25;9.75
-;6;18.25;Pürro David;*;17;54.0;5;18.5;-1;0.25;8.75
+;10;27.0;Collaud Bastien (2005);;10;55.75;5;28.5;-5;1.5;9.75
-;11;36.75;Dorsaz Théo;*;11;55.5;10;37.0;-1;0.25;8.75
+;13;45.5;Zbinden Lukas;;15;54.5;11;46.0;-2;0.5;9.75

12e;Z'Rotz Roman;;;;;;;;;;55.25
+;;;Burri Flemming;;;;;;;;9.75
o;2;9.75;Emonet Frédéric;**;8;56.25;4;8.5;2;-1.25;8.5
+;6;18.25;Lengen Michael (2005);;13;55.0;6;18.25;0;0.0;10.0
o;6;28.25;Rogivue Théo;*;12;55.25;6;28.25;0;0.0;8.5
+;11;36.75;Suchet Jonathan (2005);;17;54.0;11;36.75;0;0.0;10.0
o;8;46.75;Sturny Nicolas;**;7;56.75;8;46.75;0;0.0;8.5

12f;Sudan Jonathan;;;;;;;;;;55.25
+;;;Bolomey Mathieu;;;;;;;;10.0
o;1;10.0;Gottofrey Marc;**;9;56.0;4;8.5;3;-1.5;8.5
+;5;18.5;Juon Martin;;19;53.5;6;18.25;1;-0.25;9.75
o;6;28.25;Dufey Gil;*;9;56.0;9;27.25;3;-1.0;8.5
+;11;36.75;Egger Pierre;;14;54.75;13;36.25;2;-0.5;10.0
o;8;46.75;Piemontesi Pascal;**;4;57.5;5;47.5;-3;0.75;8.5

12g;Bapst Ludovic;;;;;;;;;;55.25
+;;;Isoz Bertrand;;;;;;;;9.75
o;2;9.75;Tschumi Lukas;*;7;56.75;4;8.5;2;-1.25;8.5
+;6;18.25;Martin Marius;;29;35.25;6;18.25;0;0.0;10.0
+;6;28.25;Pasquier Loïc;*;17;54.0;10;27.0;4;-1.25;10.0
o;5;38.25;Dousse Michel;**;6;57.0;10;37.0;5;-1.25;8.5
o;8;46.75;Martin Gaël (2004);;5;57.25;6;47.25;-2;0.5;8.5

12h;Schmid Silvan;;;;;;;;;;55.25
o;;;Imhasly Jorin;;;;;;;;8.5
