2779-2019-06-30_124_Nordostschweizer_Schwingfest-ST

1a;Orlik Armon;***;;;;;;;;;58.75
+;6;18.5;Krähenbühl Lukas;*;16;54.25;6;18.5;0;0.0;10.0
o;4;28.5;Leuppi Samir;**;2;58.0;5;28.25;1;-0.25;8.5
+;8;37.0;Thoma Christoph;;18;53.75;9;36.75;1;-0.25;9.75
o;8;46.75;Oettli Marco;*;5;57.0;7;47.0;-1;0.25;8.5

12b;Bernold Michael;*;;;;;;;;;55.25
o;;;Roth Martin;**;;;;;;;8.75
+;4;8.75;Galli Cedric (2001);;26;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Arztmann Beda;*;7;56.5;7;18.25;2;-0.5;9.75
o;4;28.5;Zwyssig Raphael;***;7;56.5;10;27.0;6;-1.5;8.5
o;8;37.0;Blaser Christian;*;7;56.5;9;36.75;1;-0.25;8.5
+;13;45.5;Wehrli Jan (2002);;16;54.25;12;45.75;-1;0.25;9.75

12c;Lehmann Philipp;*;;;;;;;;;55.25
o;;;Ott Damian;**;;;;;;;8.5
-;5;8.5;Roth Michael;;19;53.5;2;9.75;-3;1.25;9.0
+;9;17.5;Signer Andy (2003);;19;53.5;9;17.5;0;0.0;10.0
o;8;27.5;Battaglia Ursin;**;15;54.5;8;27.5;0;0.0;8.75
+;11;36.25;Badat Thomas;;21;53.0;12;36.0;1;-0.25;10.0
-;10;46.25;Schlegel Reto;*;13;55.0;11;46.0;1;-0.25;9.0

12d;Marty Jaime;*;;;;;;;;;55.25
+;;;Alder Armin;*;;;;;;;9.75
o;2;9.75;Schnurrenberger Roman;**;9;56.0;2;9.75;0;0.0;8.5
-;7;18.25;Egli Martin;;13;55.0;7;18.25;0;0.0;8.75
+;10;27.0;Schwyn Patrick;;16;54.25;10;27.0;0;0.0;9.75
o;9;36.75;Gmür Pirmin;**;7;56.5;9;36.75;0;0.0;8.5
+;14;45.25;Wild Thomas;;18;53.75;14;45.25;0;0.0;10.0

12e;Strebel Joel;**;;;;;;;;;55.25
o;;;Schneider Domenic;***;;;;;;;8.5
+;5;8.5;Schläpfer Matthias;*;13;55.0;1;10.0;-4;1.5;10.0
+;6;18.5;Rhyner Michael;**;13;55.0;2;19.75;-4;1.25;9.75
o;5;28.25;Oertig Dominik;**;8;56.25;4;28.5;-1;0.25;8.5
+;9;36.75;Lanter Christian;*;14;54.75;10;36.5;1;-0.25;9.75
o;9;46.5;Gmür Pirmin;**;7;56.5;9;46.5;0;0.0;8.75

12f;Räbsamen Marcel;*;;;;;;;;;55.25
o;;;Oettli Marco;*;;;;;;;8.5
+;5;8.5;Funk Nicola;*;16;54.25;5;8.5;0;0.0;9.75
+;7;18.25;Kiener Raphael;;26;35.25;7;18.25;0;0.0;10.0
o;5;28.25;Roth Martin;**;5;57.0;4;28.5;-1;0.25;8.5
+;9;36.75;Oettli Silvio;*;12;55.25;9;36.75;0;0.0;9.75
o;9;46.5;Steiner Michael;**;7;56.5;8;46.75;-1;0.25;8.75

12g;Hugelshofer Lars (2001);*;;;;;;;;;55.25
o;;;Rüegg Roman;*;;;;;;;8.5
+;5;8.5;Fontana Michael;*;15;54.5;4;8.75;-1;0.25;9.75
+;7;18.25;Tremp Remo;;26;35.25;7;18.25;0;0.0;10.0
o;5;28.25;Giger Urs;*;10;55.75;3;28.75;-2;0.5;8.5
o;9;36.75;Schlegel Werner (2002);*;5;57.0;7;37.25;-2;0.5;8.5
+;14;45.25;Buchmann Michael;;20;53.25;16;44.75;2;-0.5;10.0

12h;Oettli Silvio;*;;;;;;;;;55.25
o;;;Rüegg Fabian;*;;;;;;;8.5
+;5;8.5;Thoma Christoph;;18;53.75;1;10.0;-4;1.5;10.0
o;6;18.5;Oertig Dominik;**;8;56.25;6;18.5;0;0.0;8.5
+;10;27.0;Knellwolf Sebastian (2001);;23;52.5;10;27.0;0;0.0;9.75
o;9;36.75;Räbsamen Marcel;*;12;55.25;9;36.75;0;0.0;8.75
+;13;45.5;Riget Florian;*;16;54.25;13;45.5;0;0.0;9.75

12i;Borcard Johann;**;;;;;;;;;55.25
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;4;8.75;Landolt Reto;*;15;54.5;1;10.0;-3;1.25;9.75
o;6;18.5;Schlegel Sandro;**;10;55.75;5;18.75;-1;0.25;8.5
+;10;27.0;Kolb Pirmin (2001);*;16;54.25;9;27.25;-1;0.25;10.0
+;8;37.0;Bollhalder Manuel (2001);*;14;54.75;8;37.0;0;0.0;9.75
o;8;46.75;Zwyssig Raphael;***;7;56.5;8;46.75;0;0.0;8.5

12j;Bärtsch Fabian;*;;;;;;;;;55.25
o;;;Ammann Rico;*;;;;;;;8.5
+;5;8.5;Schnyder Christian;;18;53.75;1;10.0;-4;1.5;10.0
o;6;18.5;Gerber Christian;**;13;55.0;9;17.5;3;-1.0;8.5
+;10;27.0;Galli Cedric (2001);;26;35.25;11;26.75;1;-0.25;10.0
o;8;37.0;Zwyssig Raphael;***;7;56.5;9;36.75;1;-0.25;8.5
+;13;45.5;Thoma Christoph;;18;53.75;14;45.25;1;-0.25;9.75

12k;Wittenwiler Roman;*;;;;;;;;;55.25
+;;;Schwyn Adrian;*;;;;;;;10.0
o;1;10.0;Kindlimann Fabian;***;8;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Baumgartner Ramon (2002);;17;54.0;6;18.5;0;0.0;9.75
o;5;28.25;Rhyner Michael;**;13;55.0;5;28.25;0;0.0;8.5
+;9;36.75;Wild Thomas;;18;53.75;9;36.75;0;0.0;10.0
o;8;46.75;Rychen Roger;***;5;57.0;7;47.0;-1;0.25;8.5

13a;Forrer Arnold;***;;;;;;;;;55.0
-;;;Krähenbühl Tobias;***;;;;;;;8.75
+;4;8.75;Dumelin David;**;7;56.5;2;9.75;-2;1.0;10.0
-;5;18.75;Oettli Marco;*;5;57.0;3;19.5;-2;0.75;8.75
-;8;27.5;Biäsch Christian;*;11;55.5;5;28.25;-3;0.75;8.75
+;11;36.25;Schudel Simon;*;11;55.5;8;37.0;-3;0.75;10.0
-;10;46.25;Gwerder Andreas;**;14;54.75;11;46.0;1;-0.25;8.75

13b;Egli Martin;;;;;;;;;;55.0
o;;;Thoma Christoph;;;;;;;;8.5
+;5;8.5;Ackermann Roman;;23;52.5;5;8.5;0;0.0;9.75
-;7;18.25;Marty Jaime;*;12;55.25;7;18.25;0;0.0;8.75
+;10;27.0;Keller Werner;*;30;34.25;15;25.75;5;-1.25;9.75
+;9;36.75;Burkhard Patrick;*;15;54.5;13;35.75;4;-1.0;9.75
o;9;46.5;Kramer Lario;**;9;56.0;11;46.0;2;-0.5;8.5

13c;Wetter Silvan;*;;;;;;;;;55.0
-;;;Kammermann Thomas;*;;;;;;;8.75
-;4;8.75;Kolb Pirmin (2001);*;16;54.25;5;8.5;1;-0.25;9.0
-;8;17.75;Brülisauer Dominik (2001);;29;34.5;11;17.0;3;-0.75;9.0
+;11;26.75;Ott Dominik;*;28;34.75;13;26.25;2;-0.5;10.0
o;9;36.75;Inauen Andreas;*;13;55.0;9;36.75;0;0.0;8.5
+;14;45.25;Blaser Niklas;*;18;53.75;14;45.25;0;0.0;9.75

13d;Schuler Martin;;;;;;;;;;55.0
+;;;Badat Thomas;;;;;;;;9.75
+;2;9.75;Alder Armin;*;16;54.25;5;8.5;3;-1.25;9.75
o;3;19.5;Dumelin David;**;7;56.5;7;18.25;4;-1.25;8.5
o;6;28.0;Steiner Michael;**;7;56.5;5;28.25;-1;0.25;8.5
+;10;36.5;Mettler Valentin;*;13;55.0;9;36.75;-1;0.25;10.0
o;9;46.5;Geisser Lars;**;6;56.75;7;47.0;-2;0.5;8.5

13e;Elmer Daniel;*;;;;;;;;;55.0
+;;;Schudel Simon;*;;;;;;;10.0
o;1;10.0;Giger Urs;*;10;55.75;2;9.75;1;-0.25;8.5
o;6;18.5;Landolt Reto;*;15;54.5;5;18.75;-1;0.25;8.75
-;9;27.25;Dörig Erich;*;14;54.75;9;27.25;0;0.0;8.75
+;12;36.0;Jöhl Christian;*;16;54.25;13;35.75;1;-0.25;10.0
-;11;46.0;Gerber Christian;**;13;55.0;11;46.0;0;0.0;9.0

13f;Rhyner Michael;**;;;;;;;;;55.0
+;;;Koch Thomas;*;;;;;;;9.75
+;2;9.75;Dörig Erich;*;14;54.75;1;10.0;-1;0.25;10.0
o;2;19.75;Strebel Joel;**;12;55.25;6;18.5;4;-1.25;8.5
+;5;28.25;Wittenwiler Roman;*;12;55.25;5;28.25;0;0.0;9.75
o;4;38.0;Giger Samuel;***;3;57.5;5;37.75;1;-0.25;8.5
o;9;46.5;Dumelin David;**;7;56.5;9;46.5;0;0.0;8.5

13g;Inauen Andreas;*;;;;;;;;;55.0
+;;;Funk Nicola;*;;;;;;;9.75
o;2;9.75;Leuppi Samir;**;2;58.0;4;8.75;2;-1.0;8.5
+;7;18.25;Hänni Marc (2001);;26;35.25;7;18.25;0;0.0;10.0
o;5;28.25;Schneider Mario;**;4;57.25;4;28.5;-1;0.25;8.5
+;9;36.75;Wetter Silvan;*;13;55.0;9;36.75;0;0.0;9.75
o;9;46.5;Fankhauser Erich;***;7;56.5;9;46.5;0;0.0;8.5

13h;Schlegel Reto;*;;;;;;;;;55.0
o;;;Steiner Michael;**;;;;;;;8.5
+;5;8.5;Burkhard Tobias;;19;53.5;2;9.75;-3;1.25;10.0
o;6;18.5;Schneider Mario;**;4;57.25;6;18.5;0;0.0;8.5
-;10;27.0;Krähenbühl Lukas;*;16;54.25;10;27.0;0;0.0;9.0
+;12;36.0;Jörger Corsin;*;16;54.25;13;35.75;1;-0.25;10.0
-;11;46.0;Lehmann Philipp;*;12;55.25;10;46.25;-1;0.25;9.0

13i;Mettler Valentin;*;;;;;;;;;55.0
o;;;Neff Florian;*;;;;;;;8.5
-;5;8.5;Gartmann Mauro;*;7;56.5;3;9.0;-2;0.5;8.75
+;10;17.25;Langenegger Beat;;23;52.5;6;18.5;-4;1.25;9.75
+;10;27.0;Blaser Niklas;*;18;53.75;10;27.0;0;0.0;9.75
o;9;36.75;Schuler Martin;;13;55.0;10;36.5;1;-0.25;8.5
+;14;45.25;Burkhard Tobias;;19;53.5;15;45.0;1;-0.25;9.75

13j;Koch Thomas;*;;;;;;;;;55.0
o;;;Rhyner Michael;**;;;;;;;8.5
+;5;8.5;Niederer Andreas (2002);;17;54.0;2;9.75;-3;1.25;9.75
+;7;18.25;Riget Florian;*;16;54.25;6;18.5;-1;0.25;9.75
+;6;28.0;Koller Fabian;*;16;54.25;8;27.5;2;-0.5;10.0
o;4;38.0;Döbeli Andreas;*;5;57.0;7;37.25;3;-0.75;8.5
o;9;46.5;Arztmann Beda;*;7;56.5;9;46.5;0;0.0;8.5

13k;Wolfer Lukas;*;;;;;;;;;55.0
+;;;Keller Werner;*;;;;;;;9.75
o;2;9.75;Vollenweider Jeremy;*;3;57.5;4;8.75;2;-1.0;8.5
+;7;18.25;Buchmann Michael;;20;53.25;6;18.5;-1;0.25;10.0
o;5;28.25;Geisser Lars;**;6;56.75;5;28.25;0;0.0;8.5
o;9;36.75;Koch Reto;*;10;55.75;7;37.25;-2;0.5;8.5
+;14;45.25;Rüegg Patrick;;17;54.0;13;45.5;-1;0.25;9.75

13l;Gerber Christian;**;;;;;;;;;55.0
-;;;Leuppi Samir;**;;;;;;;8.75
-;4;8.75;Ott Damian;**;9;56.0;1;10.0;-3;1.25;8.75
+;9;17.5;Bärtsch Fabian;*;12;55.25;6;18.5;-3;1.0;9.75
-;9;27.25;Wickli Beat;**;9;56.0;5;28.25;-4;1.0;8.75
+;12;36.0;Fejzaj Naim;**;16;54.25;13;35.75;1;-0.25;10.0
-;11;46.0;Elmer Daniel;*;13;55.0;11;46.0;0;0.0;9.0

13m;Schläpfer Matthias;*;;;;;;;;;55.0
+;;;Büsser André;*;;;;;;;10.0
o;1;10.0;Strebel Joel;**;12;55.25;5;8.5;4;-1.5;8.5
+;6;18.5;Burkhard Tobias;;19;53.5;7;18.25;1;-0.25;9.75
+;5;28.25;Fausch Kjetil;*;10;55.75;5;28.25;0;0.0;9.75
o;4;38.0;Notz Beni;***;3;57.5;6;37.5;2;-0.5;8.5
o;9;46.5;Schneider Mario;**;4;57.25;6;47.25;-3;0.75;8.5

14a;Oertle Daniel;*;;;;;;;;;54.75
-;;;Gartmann Mauro;*;;;;;;;9.0
+;3;9.0;Ott Dominik;*;28;34.75;4;8.75;1;-0.25;10.0
o;4;19.0;Kindlimann Fabian;***;8;56.25;5;18.75;1;-0.25;8.5
+;8;27.5;Breitenmoser Simon;;15;54.5;9;27.25;1;-0.25;10.0
o;6;37.5;Wickli Beat;**;9;56.0;8;37.0;2;-0.5;8.5
-;11;46.0;Pianta Christian;*;19;53.5;16;44.75;5;-1.25;8.75

14b;Gwerder Andreas;**;;;;;;;;;54.75
o;;;Giger Urs;*;;;;;;;8.5
o;5;8.5;Oettli Marco;*;5;57.0;2;9.75;-3;1.25;8.5
+;11;17.0;Baumgartner Joël;;31;34.0;11;17.0;0;0.0;10.0
+;10;27.0;Jöhl Christian;*;16;54.25;9;27.25;-1;0.25;10.0
-;8;37.0;Fausch Kjetil;*;10;55.75;9;36.75;1;-0.25;9.0
-;11;46.0;Forrer Arnold;***;13;55.0;10;46.25;-1;0.25;8.75

14c;Lanter Christian;*;;;;;;;;;54.75
-;;;Straub Robin;*;;;;;;;8.75
-;4;8.75;Signer Andy (2003);;19;53.5;5;8.5;1;-0.25;9.0
-;8;17.75;Ziegler Andreas (2002);;17;54.0;7;18.25;-1;0.5;8.75
+;12;26.5;Arnold Christian;;26;35.25;11;26.75;-1;0.25;10.0
o;10;36.5;Strebel Joel;**;12;55.25;9;36.75;-1;0.25;8.5
+;15;45.0;Niederer Andreas (2002);;17;54.0;14;45.25;-1;0.25;9.75

14d;Bollhalder Manuel (2001);*;;;;;;;;;54.75
+;;;Jörger Corsin;*;;;;;;;10.0
o;1;10.0;Roth Martin;**;5;57.0;1;10.0;0;0.0;8.75
o;5;18.75;Schnurrenberger Roman;**;9;56.0;5;18.75;0;0.0;8.5
+;9;27.25;Ackermann Rico (2003);;22;52.75;10;27.0;1;-0.25;9.75
o;8;37.0;Borcard Johann;**;12;55.25;8;37.0;0;0.0;8.75
-;12;45.75;Neff Florian;*;14;54.75;12;45.75;0;0.0;9.0

14e;Neff Florian;*;;;;;;;;;54.75
+;;;Mettler Valentin;*;;;;;;;10.0
o;1;10.0;Rychen Roger;***;5;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Rhyner Beni;;17;54.0;6;18.5;0;0.0;9.75
-;5;28.25;Baumann Rico;*;8;56.25;3;28.75;-2;0.5;9.0
o;7;37.25;Schnurrenberger Roman;**;9;56.0;7;37.25;0;0.0;8.5
-;12;45.75;Bollhalder Manuel (2001);*;14;54.75;12;45.75;0;0.0;9.0

14f;Dörig Erich;*;;;;;;;;;54.75
+;;;Bickel Roman;*;;;;;;;10.0
o;1;10.0;Rhyner Michael;**;13;55.0;2;9.75;1;-0.25;8.5
-;6;18.5;Keller Lukas;;16;54.25;6;18.5;0;0.0;8.75
-;9;27.25;Elmer Daniel;*;13;55.0;9;27.25;0;0.0;8.75
o;12;36.0;Koller Fabian;*;16;54.25;12;36.0;0;0.0;8.75
+;16;44.75;Schwyn Patrick;;16;54.25;13;45.5;-3;0.75;10.0

15a;Landolt Reto;*;;;;;;;;;54.5
+;;;Aerne Christian;*;;;;;;;10.0
o;1;10.0;Borcard Johann;**;12;55.25;4;8.75;3;-1.25;8.75
+;5;18.75;Elmer Daniel;*;13;55.0;6;18.5;1;-0.25;10.0
o;3;28.75;Kuster Marcel;***;10;55.75;4;28.5;1;-0.25;8.5
-;7;37.25;Wey Nicola;*;11;55.5;8;37.0;1;-0.25;8.75
o;11;46.0;Baumann Rico;*;8;56.25;10;46.25;-1;0.25;8.5

15b;Burkhard Patrick;*;;;;;;;;;54.5
-;;;Rotach Lars;*;;;;;;;8.75
o;4;8.75;Keller Manuel;*;17;54.0;4;8.75;0;0.0;8.5
+;10;17.25;Nüesch Remo (2001);;31;34.0;11;17.0;1;-0.25;10.0
o;9;27.25;Bernold Christian;**;8;56.25;9;27.25;0;0.0;8.5
o;13;35.75;Egli Martin;;13;55.0;9;36.75;-4;1.0;8.75
+;17;44.5;Inauen Aurel;;21;53.0;17;44.5;0;0.0;10.0

15c;Breitenmoser Simon;;;;;;;;;;54.5
+;;;Nüesch Remo (2001);;;;;;;;10.0
o;1;10.0;Schmid Patrick;*;9;56.0;4;8.75;3;-1.25;8.5
-;6;18.5;Kammermann Thomas;*;27;35.0;9;17.5;3;-1.0;8.75
o;9;27.25;Oertle Daniel;*;14;54.75;8;27.5;-1;0.25;8.5
-;13;35.75;Castelli Fabio;;18;53.75;13;35.75;0;0.0;9.0
+;16;44.75;Kolb This (2003);;18;53.75;15;45.0;-1;0.25;9.75

15d;Fontana Michael;*;;;;;;;;;54.5
-;;;Keller Manuel;*;;;;;;;8.75
o;4;8.75;Hugelshofer Lars (2001);*;12;55.25;5;8.5;1;-0.25;8.5
+;10;17.25;Granwehr Adrian (2003);;31;34.0;11;17.0;1;-0.25;10.0
-;9;27.25;Ammann Rico;*;15;54.5;10;27.0;1;-0.25;8.75
-;12;36.0;Pianta Christian;*;19;53.5;12;36.0;0;0.0;8.75
+;16;44.75;Büsser Remo;;21;53.0;17;44.5;1;-0.25;9.75

15e;Battaglia Ursin;**;;;;;;;;;54.5
-;;;Vollenweider Jeremy;*;;;;;;;8.75
-;4;8.75;Heierli Pascal;*;10;55.75;2;9.75;-2;1.0;9.0
+;8;17.75;Horner Sämi;;16;54.25;6;18.5;-2;0.75;9.75
+;8;27.5;Lehmann Philipp;*;12;55.25;8;27.5;0;0.0;10.0
o;6;37.5;Straub Robin;*;8;56.25;6;37.5;0;0.0;8.5
o;11;46.0;Schmid Patrick;*;9;56.0;11;46.0;0;0.0;8.5

15f;Ammann Rico;*;;;;;;;;;54.5
+;;;Bärtsch Fabian;*;;;;;;;10.0
o;1;10.0;Fejzaj Naim;**;16;54.25;5;8.5;4;-1.5;8.5
o;6;18.5;Jörger Marc;*;10;55.75;6;18.5;0;0.0;8.5
-;10;27.0;Fontana Michael;*;15;54.5;9;27.25;-1;0.25;8.75
-;13;35.75;Signer Andy (2003);;19;53.5;13;35.75;0;0.0;9.0
+;16;44.75;Badat Thomas;;21;53.0;17;44.5;1;-0.25;9.75

16a;Kolb Pirmin (2001);*;;;;;;;;;54.25
o;;;Fausch Kjetil;*;;;;;;;8.5
-;5;8.5;Wetter Silvan;*;13;55.0;4;8.75;-1;0.25;9.0
+;9;17.5;Ackermann Roman;;23;52.5;11;17.0;2;-0.5;9.75
o;9;27.25;Borcard Johann;**;12;55.25;10;27.0;1;-0.25;8.5
+;13;35.75;Roth Michael;;19;53.5;12;36.0;-1;0.25;9.75
-;13;45.5;Rüegg Roman;*;17;54.0;14;45.25;1;-0.25;8.75

16b;Wehrli Jan (2002);;;;;;;;;;54.25
o;;;Niederer Andreas (2002);;;;;;;;8.75
+;4;8.75;Baumgartner Joël;;31;34.0;5;8.5;1;-0.25;10.0
+;5;18.75;Rüegg Roman;*;17;54.0;7;18.25;2;-0.5;10.0
o;3;28.75;Oettli Marco;*;5;57.0;4;28.5;1;-0.25;8.5
o;7;37.25;Vollenweider Jeremy;*;3;57.5;6;37.5;-1;0.25;8.5
o;12;45.75;Bernold Michael;*;12;55.25;13;45.5;1;-0.25;8.5

16c;Jörger Corsin;*;;;;;;;;;54.25
o;;;Bollhalder Manuel (2001);*;;;;;;;8.75
o;4;8.75;Rüegg Patrick;;17;54.0;2;9.75;-2;1.0;8.75
o;9;17.5;Thoma Christoph;;18;53.75;6;18.5;-3;1.0;8.5
+;14;26.0;Knecht Remo (2002);;28;34.75;13;26.25;-1;0.25;9.75
o;13;35.75;Schlegel Reto;*;13;55.0;12;36.0;-1;0.25;8.5
+;18;44.25;Bürgler Patrick;;17;54.0;13;45.5;-5;1.25;10.0

16d;Alder Armin;*;;;;;;;;;54.25
o;;;Marty Jaime;*;;;;;;;8.5
o;5;8.5;Schuler Martin;;13;55.0;2;9.75;-3;1.25;8.5
+;11;17.0;Knecht Remo (2002);;28;34.75;9;17.5;-2;0.5;9.75
+;11;26.75;Bickel Roman;*;29;34.5;14;26.0;3;-0.75;10.0
-;9;36.75;Peng Mike;***;24;44.5;13;35.75;4;-1.0;8.75
-;13;45.5;Horner Sämi;;16;54.25;14;45.25;1;-0.25;8.75

16e;Aerne Christian;*;;;;;;;;;54.25
o;;;Landolt Reto;*;;;;;;;8.5
o;5;8.5;Rotach Lars;*;11;55.5;4;8.75;-1;0.25;8.75
+;10;17.25;Wenger Dominic;;31;34.0;11;17.0;1;-0.25;10.0
-;9;27.25;Peng Mike;***;24;44.5;10;27.0;1;-0.25;8.75
+;12;36.0;Schnyder Christian;;18;53.75;9;36.75;-3;0.75;9.75
o;12;45.75;Jörger Marc;*;10;55.75;12;45.75;0;0.0;8.5

16f;Fejzaj Naim;**;;;;;;;;;54.25
o;;;Biäsch Christian;*;;;;;;;8.5
+;5;8.5;Ammann Rico;*;15;54.5;1;10.0;-4;1.5;10.0
o;6;18.5;Leuppi Samir;**;2;58.0;6;18.5;0;0.0;8.5
-;10;27.0;Funk Nicola;*;16;54.25;10;27.0;0;0.0;8.75
o;13;35.75;Gerber Christian;**;13;55.0;12;36.0;-1;0.25;8.5
+;18;44.25;Büsser André;*;23;52.5;19;44.0;1;-0.25;10.0

16g;Jöhl Christian;*;;;;;;;;;54.25
o;;;Breitenmoser Manuel;*;;;;;;;8.5
-;5;8.5;Kolb This (2003);;18;53.75;1;10.0;-4;1.5;8.75
+;10;17.25;Furrer Damian;;30;34.25;11;17.0;1;-0.25;10.0
o;9;27.25;Gwerder Andreas;**;14;54.75;10;27.0;1;-0.25;8.5
o;13;35.75;Elmer Daniel;*;13;55.0;12;36.0;-1;0.25;8.5
+;18;44.25;Ackermann Rico (2003);;22;52.75;18;44.25;0;0.0;10.0

16h;Riget Florian;*;;;;;;;;;54.25
+;;;Ott Dominik;*;;;;;;;9.75
-;2;9.75;Schnurrenberger Roman;**;9;56.0;2;9.75;0;0.0;8.75
o;6;18.5;Koch Thomas;*;13;55.0;7;18.25;1;-0.25;8.5
+;10;27.0;Keller Lukas;;16;54.25;9;27.25;-1;0.25;9.75
-;9;36.75;Bühler Hannes;*;10;55.75;8;37.0;-1;0.25;8.75
o;13;45.5;Oettli Silvio;*;12;55.25;13;45.5;0;0.0;8.75

16i;Horner Sämi;;;;;;;;;;54.25
+;;;Furrer Damian;;;;;;;;10.0
o;1;10.0;Schlegel Werner (2002);*;5;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Battaglia Ursin;**;15;54.5;8;17.75;2;-0.75;8.5
+;10;27.0;Kiener Raphael;;26;35.25;11;26.75;1;-0.25;9.75
o;9;36.75;Schmidlin Tobias (2001);*;10;55.75;8;37.0;-1;0.25;8.5
-;14;45.25;Alder Armin;*;16;54.25;13;45.5;-1;0.25;9.0

16j;Funk Nicola;*;;;;;;;;;54.25
o;;;Inauen Andreas;*;;;;;;;8.5
o;5;8.5;Räbsamen Marcel;*;12;55.25;5;8.5;0;0.0;8.75
+;10;17.25;Giger Florian (2001);;23;52.5;6;18.5;-4;1.25;9.75
-;10;27.0;Fejzaj Naim;**;16;54.25;10;27.0;0;0.0;8.75
+;13;35.75;Schwyn Adrian;*;16;54.25;13;35.75;0;0.0;10.0
o;12;45.75;Bühler Hannes;*;10;55.75;12;45.75;0;0.0;8.5

16k;Schwyn Adrian;*;;;;;;;;;54.25
o;;;Wittenwiler Roman;*;;;;;;;8.5
-;5;8.5;Büsser André;*;23;52.5;5;8.5;0;0.0;8.75
+;10;17.25;Niederer Andreas (2002);;17;54.0;7;18.25;-3;1.0;9.75
-;10;27.0;Keller Manuel;*;17;54.0;10;27.0;0;0.0;8.75
o;13;35.75;Funk Nicola;*;16;54.25;13;35.75;0;0.0;8.5
+;18;44.25;Ackermann Roman;;23;52.5;19;44.0;1;-0.25;10.0

16l;Krähenbühl Lukas;*;;;;;;;;;54.25
+;;;Keller Andreas;*;;;;;;;9.75
o;2;9.75;Gmür Pirmin;**;7;56.5;4;8.75;2;-1.0;8.75
o;6;18.5;Rüegg Fabian;*;12;55.25;6;18.5;0;0.0;8.5
-;10;27.0;Schlegel Reto;*;13;55.0;10;27.0;0;0.0;8.75
+;13;35.75;Knellwolf Sebastian (2001);;23;52.5;14;35.5;1;-0.25;10.0
o;12;45.75;Fausch Kjetil;*;10;55.75;12;45.75;0;0.0;8.5

16m;Keller Lukas;;;;;;;;;;54.25
+;;;Steiner Lukas (2002);;;;;;;;10.0
o;1;10.0;Arztmann Beda;*;7;56.5;5;8.5;4;-1.5;8.5
-;6;18.5;Dörig Erich;*;14;54.75;6;18.5;0;0.0;8.75
o;9;27.25;Riget Florian;*;16;54.25;10;27.0;1;-0.25;8.5
-;13;35.75;Büsser Remo;;21;53.0;13;35.75;0;0.0;8.75
+;17;44.5;Langenegger Beat;;23;52.5;19;44.0;2;-0.5;9.75

16n;Koller Fabian;*;;;;;;;;;54.25
o;;;Schmidlin Tobias (2001);*;;;;;;;8.5
-;5;8.5;Keller Werner;*;30;34.25;5;8.5;0;0.0;9.0
+;9;17.5;Tobler Pius (2001);;26;35.25;11;17.0;2;-0.5;10.0
o;8;27.5;Koch Thomas;*;13;55.0;6;28.0;-2;0.5;8.5
+;12;36.0;Dörig Erich;*;14;54.75;12;36.0;0;0.0;9.75
o;12;45.75;Wey Nicola;*;11;55.5;12;45.75;0;0.0;8.5

16o;Schwyn Patrick;;;;;;;;;;54.25
+;;;Wenger Dominic;;;;;;;;10.0
o;1;10.0;Wey Nicola;*;11;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Steiner Michael;**;7;56.5;7;18.25;1;-0.25;8.5
o;10;27.0;Marty Jaime;*;12;55.25;10;27.0;0;0.0;8.5
+;14;35.5;Baumgartner Ramon (2002);;17;54.0;14;35.5;0;0.0;10.0
o;13;45.5;Dörig Erich;*;14;54.75;16;44.75;3;-0.75;8.75

17a;Keller Manuel;*;;;;;;;;;54.0
-;;;Fontana Michael;*;;;;;;;8.75
+;4;8.75;Burkhard Patrick;*;15;54.5;4;8.75;0;0.0;9.75
o;6;18.5;Wickli Beat;**;9;56.0;7;18.25;1;-0.25;8.5
-;10;27.0;Schwyn Adrian;*;16;54.25;10;27.0;0;0.0;8.75
+;13;35.75;Giger Florian (2001);;23;52.5;14;35.5;1;-0.25;9.75
o;13;45.5;Heierli Pascal;*;10;55.75;12;45.75;-1;0.25;8.5

17b;Bürgler Patrick;;;;;;;;;;54.0
+;;;Wenger Dominic;;;;;;;;10.0
o;1;10.0;Poltera Andrin;*;11;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Schmidlin Tobias (2001);*;10;55.75;6;18.5;0;0.0;8.5
o;10;27.0;Heierli Pascal;*;10;55.75;9;27.25;-1;0.25;8.75
+;13;35.75;Ziegler Andreas (2002);;17;54.0;13;35.75;0;0.0;9.75
o;13;45.5;Jörger Corsin;*;16;54.25;18;44.25;5;-1.25;8.5

17c;Niederer Andreas (2002);;;;;;;;;;54.0
+;;;Wehrli Jan (2002);;;;;;;;9.75
o;2;9.75;Koch Thomas;*;13;55.0;5;8.5;3;-1.25;8.5
o;7;18.25;Schwyn Adrian;*;16;54.25;10;17.25;3;-1.0;8.5
+;11;26.75;Hänni Marc (2001);;26;35.25;11;26.75;0;0.0;9.75
o;10;36.5;Arztmann Beda;*;7;56.5;10;36.5;0;0.0;8.75
