3417-2016-06-12_Stoos-Schwinget2-ST

1a;Schuler Christian;***;;;;;;;;;58.25
-;6;18.5;Heiniger Marco;*;13;54.5;6;18.5;0;0.0;8.75
+;12;27.25;Arnold Andreas;*;17;53.0;12;27.25;0;0.0;9.75
-;7;37.0;Scherer Adrian;*;14;54.25;12;35.75;5;-1.25;8.75
o;11;45.75;Muff Armin;**;8;55.75;11;45.75;0;0.0;8.5

14g;Schmid David;**;;;;;;;;;54.25
o;;;Ulrich Andreas;***;;;;;;;8.5
+;5;8.5;Schnider Markus;*;22;34.25;4;8.75;-1;0.25;9.75
-;7;18.25;Nötzli Reto;***;5;56.5;5;18.75;-2;0.5;9.0
+;12;27.25;Egli Manuel;*;16;53.25;12;27.25;0;0.0;9.75
-;7;37.0;Kälin Roland;**;10;55.25;8;36.75;1;-0.25;8.75
o;11;45.75;Schuler Philipp;**;8;55.75;11;45.75;0;0.0;8.5

14h;Britschgi Melk;**;;;;;;;;;54.25
+;;;Bisig Thomas;**;;;;;;;9.75
o;2;9.75;Laimbacher Philipp;***;11;55.0;5;8.5;3;-1.25;8.5
+;7;18.25;Effinger Markus;*;14;54.25;6;18.5;-1;0.25;9.75
-;9;28.0;Gwerder Dario;*;14;54.25;10;27.75;1;-0.25;8.75
-;8;36.75;Betschart Remo;**;13;54.5;6;37.25;-2;0.5;8.75
-;12;45.5;Hauri Urs;**;13;54.5;11;45.75;-1;0.25;8.75

14i;Heinzer Stefan;*;;;;;;;;;54.25
+;;;Bernet Christoph;*;;;;;;;10.0
o;1;10.0;Imhof Andi;***;8;55.75;5;8.5;4;-1.5;8.5
-;6;18.5;Hauri Urs;**;13;54.5;7;18.25;1;-0.25;8.75
-;12;27.25;Gasser Stefan;**;11;55.0;11;27.5;-1;0.25;8.75
o;11;36.0;Müller Michael;**;13;54.5;11;36.0;0;0.0;8.5
+;16;44.5;Klausner Yanick;**;17;53.0;16;44.5;0;0.0;9.75

14j;Brun Jonas;**;;;;;;;;;54.25
o;;;Höfliger Andreas;**;;;;;;;8.5
o;5;8.5;Bisig Thomas;**;13;54.5;5;8.5;0;0.0;8.5
+;11;17.0;Leuthard Reto;*;22;34.25;10;17.25;-1;0.25;9.75
+;14;26.75;Stüdeli Thomas;**;19;35.25;14;26.75;0;0.0;10.0
o;8;36.75;Nötzli Bruno;***;13;54.5;11;36.0;3;-0.75;8.75
-;12;45.5;Gwerder Dario;*;14;54.25;12;45.5;0;0.0;8.75

14k;Scherer Adrian;*;;;;;;;;;54.25
o;;;Bader Andreas;*;;;;;;;8.75
o;4;8.75;Döbeli Lukas (2000);*;17;53.0;5;8.5;1;-0.25;8.5
+;10;17.25;Probst Gabriel;**;23;34.0;11;17.0;1;-0.25;10.0
o;12;27.25;Bisig Thomas;**;13;54.5;13;27.0;1;-0.25;8.5
+;12;35.75;Schmid Samuel;**;17;53.0;12;35.75;0;0.0;9.75
-;12;45.5;Bürgler Lukas;*;14;54.25;11;45.75;-1;0.25;8.75

14l;Stalder Remo;***;;;;;;;;;54.25
+;;;Schuler Christian;***;;;;;;;10.0
o;1;10.0;Höfliger Andreas;**;6;56.25;1;10.0;0;0.0;8.5
o;6;18.5;Arnold Stefan;**;4;56.75;2;19.75;-4;1.25;8.5
+;13;27.0;Heiniger Marco;*;13;54.5;12;27.25;-1;0.25;10.0
o;7;37.0;Schuler Alex;**;9;55.5;7;37.0;0;0.0;8.5
-;12;45.5;Kempf Elias;**;13;54.5;11;45.75;-1;0.25;8.75

15a;Bernet Christoph;*;;;;;;;;;53.75
o;;;Heinzer Stefan;*;;;;;;;8.5
+;5;8.5;Hügli Kaj;*;18;35.5;4;8.75;-1;0.25;9.75
+;7;18.25;Döbeli Lukas (2000);*;17;53.0;7;18.25;0;0.0;9.75
o;9;28.0;Müllestein Mike;**;5;56.5;6;28.75;-3;0.75;8.5
-;9;36.5;Kennel Stefan;*;13;54.5;7;37.0;-2;0.5;8.75
o;13;45.25;Hasler Florian;**;13;54.5;15;44.75;2;-0.5;8.5

16a;Kocher Remo;**;;;;;;;;;53.25
-;;;Imboden Roger;**;;;;;;;8.75
+;4;8.75;Briker Michael;*;14;54.25;3;9.0;-1;0.25;10.0
o;5;18.75;Fankhauser Erich;***;12;54.75;8;17.75;3;-1.0;8.5
o;12;27.25;Bieri Marcel;**;7;56.0;11;27.5;-1;0.25;8.5
-;12;35.75;Egli Damian;**;13;54.5;12;35.75;0;0.0;8.75
-;16;44.5;Gassmann Michael;*;17;53.0;17;44.25;1;-0.25;8.75

16b;Egli Manuel;*;;;;;;;;;53.25
-;;;Inderbitzin Daniel;*;;;;;;;8.75
+;4;8.75;Probst Gabriel;**;23;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Laimbacher Philipp;***;11;55.0;6;18.5;1;-0.25;8.5
o;12;27.25;Schmid David;**;14;54.25;12;27.25;0;0.0;8.5
-;12;35.75;Klausner Yanick;**;17;53.0;12;35.75;0;0.0;8.75
-;16;44.5;Döbeli Lukas (2000);*;17;53.0;17;44.25;1;-0.25;8.75

17a;Gerber Manuel;*;;;;;;;;;53.0
-;;;Diener Pirmin;*;;;;;;;8.75
+;4;8.75;Müller Toni;*;19;35.25;5;8.5;1;-0.25;9.75
-;6;18.5;Küttel Pirmin;**;9;55.5;6;18.5;0;0.0;8.75
-;12;27.25;Hasler Florian;**;13;54.5;11;27.5;-1;0.25;8.75
o;11;36.0;Stöckli Stefan;**;12;54.75;11;36.0;0;0.0;8.5
o;16;44.5;Egli Damian;**;13;54.5;16;44.5;0;0.0;8.5

17b;Gassmann Michael;*;;;;;;;;;53.0
+;;;Müller Toni;*;;;;;;;10.0
o;1;10.0;Schuler Christian;***;1;58.25;5;8.5;4;-1.5;8.5
-;6;18.5;Gwerder Dario;*;14;54.25;5;18.75;-1;0.25;8.75
o;12;27.25;Nietlispach Pascal;**;9;55.5;13;27.0;1;-0.25;8.5
o;12;35.75;Hauri Urs;**;13;54.5;12;35.75;0;0.0;8.5
-;17;44.25;Kocher Remo;**;16;53.25;16;44.5;-1;0.25;8.75

17c;Diener Pirmin;*;;;;;;;;;53.0
-;;;Gerber Manuel;*;;;;;;;8.75
-;4;8.75;Bättig Martin;*;17;53.0;5;8.5;1;-0.25;8.75
o;9;17.5;Schnell Mathias;*;19;35.25;11;17.0;2;-0.5;8.5
+;16;26.0;Hermann Oliver;*;22;34.25;17;25.75;1;-0.25;10.0
o;11;36.0;Thalmann Thomas;*;13;54.5;11;36.0;0;0.0;8.5
o;16;44.5;Widmer Tobias;**;13;54.5;16;44.5;0;0.0;8.5

17d;Klausner Yanick;**;;;;;;;;;53.0
o;;;Zimmermann Martin;**;;;;;;;8.5
-;5;8.5;Stöckli Stefan;**;12;54.75;4;8.75;-1;0.25;8.75
-;10;17.25;Egli Damian;**;13;54.5;10;17.25;0;0.0;8.75
+;16;26.0;Müller Toni;*;19;35.25;14;26.75;-2;0.75;9.75
-;12;35.75;Egli Manuel;*;16;53.25;12;35.75;0;0.0;8.75
o;16;44.5;Heinzer Stefan;*;14;54.25;16;44.5;0;0.0;8.5

17e;Schmid Samuel;**;;;;;;;;;53.0
o;;;Müllestein Mike;**;;;;;;;8.5
-;5;8.5;Koch Roger;*;20;34.75;4;8.75;-1;0.25;8.75
o;10;17.25;Müller Toni;*;19;35.25;11;17.0;1;-0.25;8.5
+;17;25.75;Schnider Markus;*;22;34.25;17;25.75;0;0.0;10.0
o;12;35.75;Scherer Adrian;*;14;54.25;12;35.75;0;0.0;8.5
-;17;44.25;Bättig Martin;*;17;53.0;17;44.25;0;0.0;8.75

17f;Arnold Andreas;*;;;;;;;;;53.0
+;;;Hermann Oliver;*;;;;;;;9.75
o;2;9.75;Nötzli Bruno;***;13;54.5;5;8.5;3;-1.25;8.5
-;7;18.25;Brun Samuel (1999);*;20;34.75;10;17.25;3;-1.0;9.0
o;12;27.25;Bürgler Lukas;*;14;54.25;12;27.25;0;0.0;8.5
o;12;35.75;Heiniger Marco;*;13;54.5;12;35.75;0;0.0;8.75
o;16;44.5;Effinger Markus;*;14;54.25;16;44.5;0;0.0;8.5

17g;Döbeli Lukas (2000);*;;;;;;;;;53.0
o;;;Egli David;*;;;;;;;8.5
+;5;8.5;Scherer Adrian;*;14;54.25;4;8.75;-1;0.25;9.75
o;7;18.25;Bernet Christoph;*;15;53.75;7;18.25;0;0.0;8.75
-;13;27.0;Thalmann Thomas;*;13;54.5;12;27.25;-1;0.25;8.75
o;12;35.75;Briker Michael;*;14;54.25;12;35.75;0;0.0;8.5
-;17;44.25;Egli Manuel;*;16;53.25;16;44.5;-1;0.25;8.75

17h;Bättig Martin;*;;;;;;;;;53.0
o;;;Bernhard Lukas;*;;;;;;;8.5
-;5;8.5;Diener Pirmin;*;17;53.0;4;8.75;-1;0.25;8.75
+;10;17.25;Strebel Joel;**;24;25.5;11;17.0;1;-0.25;10.0
o;12;27.25;Kenel Franz-Toni;*;14;54.25;12;27.25;0;0.0;8.5
o;12;35.75;Kempf Elias;**;13;54.5;12;35.75;0;0.0;8.5
-;17;44.25;Schmid Samuel;**;17;53.0;17;44.25;0;0.0;8.75

18a;Hügli Kaj;*;;;;;;;;;35.5
o;;;Kennel Stefan;*;;;;;;;8.75
o;4;8.75;Bernet Christoph;*;15;53.75;5;8.5;1;-0.25;8.5
+;10;17.25;Koch Roger;*;20;34.75;9;17.5;-1;0.25;9.75
o;13;27.0;Bernhard Lukas;*;13;54.5;13;27.0;0;0.0;8.5

18b;Inderbitzin Daniel;*;;;;;;;;;35.5
-;;;Egli Manuel;*;;;;;;;8.75
+;4;8.75;Strebel Joel;**;24;25.5;5;8.5;1;-0.25;9.75
o;6;18.5;Egli David;*;13;54.5;7;18.25;1;-0.25;8.5
o;13;27.0;Schurtenberger Sven;**;3;57.0;12;27.25;-1;0.25;8.5

18c;Bader Andreas;*;;;;;;;;;35.5
+;;;Scherer Adrian;*;;;;;;;10.0
o;1;10.0;Suppiger René;**;2;57.25;2;9.75;1;-0.25;8.5
o;6;18.5;Kennel Stefan;*;13;54.5;5;18.75;-1;0.25;8.5
o;13;27.0;Küttel Pirmin;**;9;55.5;12;27.25;-1;0.25;8.5

19a;Müller Toni;*;;;;;;;;;35.25
o;;;Gassmann Michael;*;;;;;;;8.5
o;5;8.5;Gerber Manuel;*;17;53.0;4;8.75;-1;0.25;8.5
+;11;17.0;Schmid Samuel;**;17;53.0;10;17.25;-1;0.25;9.75
o;14;26.75;Klausner Yanick;**;17;53.0;16;26.0;2;-0.75;8.5

19b;Schnell Mathias;*;;;;;;;;;35.25
o;;;Hess Dominik;*;;;;;;;8.5
o;5;8.5;Bürgler Lukas;*;14;54.25;4;8.75;-1;0.25;8.5
+;11;17.0;Diener Pirmin;*;17;53.0;9;17.5;-2;0.5;9.75
o;14;26.75;Muff Armin;**;8;55.75;14;26.75;0;0.0;8.5

19c;Stüdeli Thomas;**;;;;;;;;;35.25
o;;;Mathis Marcel;***;;;;;;;8.5
+;5;8.5;Imboden Roger;**;14;54.25;4;8.75;-1;0.25;9.75
o;7;18.25;Betschart Remo;**;13;54.5;9;17.5;2;-0.75;8.5
o;14;26.75;Brun Jonas;**;14;54.25;14;26.75;0;0.0;8.5

20a;Fankhauser Reto;**;;;;;;;;;34.75
-;;;Betschart Remo;**;;;;;;;8.75
o;4;8.75;Bürgler André;*;9;55.5;1;10.0;-3;1.25;8.75
o;9;17.5;Zimmermann Martin;**;8;55.75;6;18.5;-3;1.0;8.75
o;15;26.25;Widmer Tobias;**;13;54.5;16;26.0;1;-0.25;8.5

20b;Brun Samuel (1999);*;;;;;;;;;34.75
-;;;Bürgler Lukas;*;;;;;;;8.75
o;4;8.75;Fink Bruno;*;10;55.25;5;8.5;1;-0.25;8.5
-;10;17.25;Arnold Andreas;*;17;53.0;7;18.25;-3;1.0;9.0
o;15;26.25;Imboden Roger;**;14;54.25;13;27.0;-2;0.75;8.5

20c;Koch Roger;*;;;;;;;;;34.75
o;;;Bürgler André;*;;;;;;;8.75
-;4;8.75;Schmid Samuel;**;17;53.0;5;8.5;1;-0.25;8.75
o;9;17.5;Hügli Kaj;*;18;35.5;10;17.25;1;-0.25;8.5
-;16;26.0;Scherrer Johann;**;22;34.25;18;25.5;2;-0.5;8.75

21a;Winiger Fabian;**;;;;;;;;;34.5
-;;;Hasler Florian;**;;;;;;;8.75
-;4;8.75;Kenel Franz-Toni;*;14;54.25;4;8.75;0;0.0;8.75
o;9;17.5;Kälin Roland;**;10;55.25;7;18.25;-2;0.75;8.5
o;16;26.0;Fink Bruno;*;10;55.25;14;26.75;-2;0.75;8.5

22a;Scherrer Johann;**;;;;;;;;;34.25
o;;;Schuler Philipp;**;;;;;;;8.5
o;5;8.5;Müller Michael;**;13;54.5;3;9.0;-2;0.5;8.5
o;11;17.0;Kenel Franz-Toni;*;14;54.25;9;17.5;-2;0.5;8.5
-;18;25.5;Koch Roger;*;20;34.75;16;26.0;-2;0.5;8.75

22b;Waldner Patrick;**;;;;;;;;;34.25
o;;;Kälin Roland;**;;;;;;;8.5
o;5;8.5;Hasler Florian;**;13;54.5;4;8.75;-1;0.25;8.5
-;11;17.0;Kempf Elias;**;13;54.5;11;17.0;0;0.0;8.75
o;17;25.75;Stöckli Stefan;**;12;54.75;16;26.0;-1;0.25;8.5

22c;Hermann Oliver;*;;;;;;;;;34.25
o;;;Arnold Andreas;*;;;;;;;8.5
o;5;8.5;Thalmann Thomas;*;13;54.5;4;8.75;-1;0.25;8.5
o;11;17.0;Briker Michael;*;14;54.25;9;17.5;-2;0.5;8.75
o;17;25.75;Diener Pirmin;*;17;53.0;16;26.0;-1;0.25;8.5

22d;Leuthard Reto;*;;;;;;;;;34.25
-;;;Schnider Markus;*;;;;;;;8.75
o;4;8.75;Gwerder Dario;*;14;54.25;4;8.75;0;0.0;8.5
o;10;17.25;Brun Jonas;**;14;54.25;11;17.0;1;-0.25;8.5
o;17;25.75;Hess Dominik;*;8;55.75;12;27.25;-5;1.5;8.5

22e;Schnider Markus;*;;;;;;;;;34.25
-;;;Leuthard Reto;*;;;;;;;8.75
o;4;8.75;Schmid David;**;14;54.25;5;8.5;1;-0.25;8.5
o;10;17.25;Odermatt Christian;**;12;54.75;7;18.25;-3;1.0;8.5
o;17;25.75;Schmid Samuel;**;17;53.0;17;25.75;0;0.0;8.5

22f;Moser Matthias;*;;;;;;;;;34.25
-;;;Briker Michael;*;;;;;;;8.75
o;4;8.75;Heiniger Marco;*;13;54.5;5;8.5;1;-0.25;8.5
o;10;17.25;Imboden Roger;**;14;54.25;10;17.25;0;0.0;8.5
o;17;25.75;Egli Damian;**;13;54.5;16;26.0;-1;0.25;8.5

23a;Probst Gabriel;**;;;;;;;;;34.0
o;;;Küttel Pirmin;**;;;;;;;8.5
o;5;8.5;Egli Manuel;*;16;53.25;4;8.75;-1;0.25;8.5
o;11;17.0;Scherer Adrian;*;14;54.25;10;17.25;-1;0.25;8.5
o;18;25.5;Kempf Elias;**;13;54.5;17;25.75;-1;0.25;8.5

24a;Strebel Joel;**;;;;;;;;;25.5
o;;;Schelbert Ralf;**;;;;;;;8.5
o;5;8.5;Inderbitzin Daniel;*;18;35.5;4;8.75;-1;0.25;8.5
o;11;17.0;Bättig Martin;*;17;53.0;10;17.25;-1;0.25;8.5

25a;Gassmann Fabian;**;;;;;;;;;8.75
-;;;Schuler Alex;**;;;;;;;8.75

