4437-2019-05-19_96_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Schuler Alex;***;;;;;;;;;113.0
+;16;36.0;Föhn Christian (2002);;23;53.0;17;35.75;1;-0.25;10.0
+;14;46.0;Ming Hannes;;18;54.25;15;45.75;1;-0.25;9.75

12c;Kennel Beat;*;;;;;;;;;55.75
+;;;Fink Bruno;*;;;;;;;9.75
-;4;9.75;Bieri Christian;**;16;54.75;6;8.75;2;-1.0;8.75
+;8;18.5;Ziegler Elias;;21;53.5;5;19.5;-3;1.0;9.75
-;9;28.25;Pianta Christian;*;17;54.5;8;28.5;-1;0.25;9.0
o;11;37.25;Hurschler Thomas;**;10;56.25;10;37.5;-1;0.25;8.5
+;15;45.75;Fallegger Joel;;21;53.5;18;45.0;3;-0.75;10.0

12d;Wüest David;;;;;;;;;;55.75
+;;;Bürgi Tobias;;;;;;;;10.0
+;3;10.0;Bucher Sandro;;31;35.5;3;10.0;0;0.0;10.0
o;3;20.0;Heinzer Stefan;**;2;112.25;2;36.25;-1;16.25;8.75
o;7;28.75;Gwerder Michael;**;7;57.0;8;28.5;1;-0.25;8.5
+;11;37.25;Gwerder Beni;;16;54.75;9;37.75;-2;0.5;9.75
o;10;47.0;Hegner Ueli;*;6;57.25;9;47.25;-1;0.25;8.75

12e;Reichmuth Armin;*;;;;;;;;;55.75
o;;;Schuler Philipp;**;;;;;;;8.5
-;7;8.5;Burch Jonas;*;14;55.25;5;9.0;-2;0.5;8.75
+;13;17.25;Bühler Kilian;;28;45.25;9;18.25;-4;1.0;9.75
+;14;27.0;Gasser Dominik 1;;21;53.5;13;27.25;-1;0.25;10.0
+;12;37.0;Müller Roger;*;17;54.5;12;37.0;0;0.0;10.0
o;10;47.0;Schuler Alex;***;1;113.0;2;93.0;-8;46.0;8.75

12f;von Euw Lukas (2002);;;;;;;;;;55.75
+;;;Bacher Andreas;;;;;;;;10.0
o;3;10.0;Durrer Ueli;;13;55.5;3;10.0;0;0.0;8.5
o;8;18.5;Müller Roger;*;17;54.5;14;17.0;6;-1.5;8.5
+;14;27.0;Herger Flavio (2003);;31;35.5;14;27.0;0;0.0;10.0
-;12;37.0;Gisler Jonas (2001);*;17;54.5;12;37.0;0;0.0;8.75
+;15;45.75;von Ah Markus;;21;53.5;19;44.75;4;-1.0;10.0

12g;Ulrich Pascal;;;;;;;;;;55.75
+;;;Bühlmann Daniel;;;;;;;;10.0
+;3;10.0;Gisler Silvan (2002);;3;106.5;1;18.75;-2;8.75;10.0
o;3;20.0;Kurmann Toni;*;11;56.0;7;18.75;4;-1.25;8.5
o;8;28.5;Betschart Rainer;**;6;57.25;12;27.5;4;-1.0;8.5
-;12;37.0;Suter Samuel;;16;54.75;13;36.75;1;-0.25;9.0
+;14;46.0;Kammermann Christoph;*;23;53.0;20;44.5;6;-1.5;9.75

13a;Reichmuth Lukas;*;;;;;;;;;55.5
o;;;Pianta Christian;*;;;;;;;8.5
+;7;8.5;Müller Roger;*;17;54.5;7;8.5;0;0.0;10.0
+;8;18.5;Briker Hannes;;11;56.0;7;18.75;-1;0.25;10.0
o;8;28.5;Nötzli Reto;***;5;57.5;12;27.5;4;-1.0;8.5
+;12;37.0;von Flüe Michael;;14;55.25;13;36.75;1;-0.25;9.75
o;11;46.75;Herger Fabian;*;7;57.0;10;47.0;-1;0.25;8.75

13b;Gwerder Carlo;**;;;;;;;;;55.5
+;;;Arnold Andreas;*;;;;;;;9.75
o;4;9.75;Rychen Roger;***;7;57.0;4;9.75;0;0.0;8.5
+;9;18.25;Gasser Dominik 1;;21;53.5;7;18.75;-2;0.5;10.0
+;9;28.25;Jund Matthias;;11;56.0;7;28.75;-2;0.5;9.75
o;8;38.0;Ulrich Andreas;***;10;56.25;10;37.5;2;-0.5;8.5
-;12;46.5;Arnold Fabian;*;14;55.25;13;46.25;1;-0.25;9.0

13c;Inderbitzin Daniel;*;;;;;;;;;55.5
+;;;Kammermann Christoph;*;;;;;;;9.75
o;4;9.75;Brun Jonas;**;25;47.0;6;8.75;2;-1.0;8.75
+;8;18.5;Fallegger Joel;;21;53.5;7;18.75;-1;0.25;10.0
-;8;28.5;Gander Adrian;*;16;54.75;8;28.5;0;0.0;8.75
+;11;37.25;Jund Matthias;;11;56.0;10;37.5;-1;0.25;9.75
o;10;47.0;Herger Matthias;**;6;57.25;8;47.5;-2;0.5;8.5

13d;Heinzer Ronny;*;;;;;;;;;55.5
-;;;Bürgi Reto;*;;;;;;;8.75
+;6;8.75;Fässler Dominic;**;15;55.0;6;8.75;0;0.0;9.75
+;8;18.5;Wicki David;;16;54.75;3;20.0;-5;1.5;9.75
+;9;28.25;Vogel Manuel;;13;55.5;9;28.25;0;0.0;10.0
o;7;38.25;Zurﬂuh Roman;**;9;56.5;9;37.75;2;-0.5;8.75
o;10;47.0;Fankhauser Erich;***;5;57.5;8;47.5;-2;0.5;8.5

13e;Binggeli Stefan;**;;;;;;;;;55.5
-;;;Kälin Roland;**;;;;;;;8.75
-;6;8.75;Bucher Christian;*;10;56.25;6;8.75;0;0.0;8.75
+;12;17.5;Blattmann Philipp;;15;55.0;9;18.25;-3;0.75;10.0
-;12;27.5;Hess Michael;*;8;56.75;11;27.75;-1;0.25;9.0
+;14;36.5;Gisler Noah (2002);;23;53.0;17;35.75;3;-0.75;10.0
-;12;46.5;Waser Reto;*;11;56.0;10;47.0;-2;0.5;9.0

13f;Bachmann Roger;*;;;;;;;;;55.5
-;;;Bucher Roland;*;;;;;;;8.75
o;6;8.75;Grab Daniel;**;14;55.25;5;9.0;-1;0.25;8.5
+;13;17.25;Bucher Sandro;;31;35.5;8;18.5;-5;1.25;10.0
+;13;27.25;Ettlin Thomas;;22;53.25;13;27.25;0;0.0;10.0
+;11;37.25;Bieri Christian;**;16;54.75;11;37.25;0;0.0;9.75
o;10;47.0;Hess Michael;*;8;56.75;11;46.75;1;-0.25;8.5

13g;Elsener Adrian;**;;;;;;;;;55.5
-;;;Hurschler Thomas;**;;;;;;;8.75
-;6;8.75;Hess Michael;*;8;56.75;5;9.0;-1;0.25;8.75
+;12;17.5;Kathriner Severin;;31;35.5;8;18.5;-4;1.0;9.75
+;13;27.25;Bühler Patrice;;17;54.5;13;27.25;0;0.0;9.75
+;12;37.0;Dändliker Shane;**;11;56.0;10;37.5;-2;0.5;10.0
o;10;47.0;Müllestein Mike;***;8;56.75;11;46.75;1;-0.25;8.5

13h;Vogel Manuel;;;;;;;;;;55.5
+;;;Blattmann Roman (2003);;;;;;;;10.0
+;3;10.0;Beffa Mario;;17;54.5;3;10.0;0;0.0;9.75
o;4;19.75;Höﬂiger Andreas;**;6;57.25;6;19.0;2;-0.75;8.5
o;9;28.25;Heinzer Ronny;*;13;55.5;9;28.25;0;0.0;8.75
o;12;37.0;Suter Bruno (2002);;16;54.75;15;36.25;3;-0.75;8.75
+;15;45.75;Herger Simon;;19;54.0;16;45.5;1;-0.25;9.75

13i;Grab Martin;*;;;;;;;;;55.5
+;;;Würsch Lars;*;;;;;;;9.75
+;4;9.75;Gassmann Michael;*;15;55.0;6;8.75;2;-1.0;10.0
o;4;19.75;Schurtenberger Sven;***;4;59.5;3;20.0;-1;0.25;8.5
-;9;28.25;Wicki David;;16;54.75;8;28.5;-1;0.25;9.0
+;11;37.25;Durrer Ueli;;13;55.5;11;37.25;0;0.0;9.75
o;10;47.0;Brun Jonas;**;25;47.0;10;47.0;0;0.0;8.5

13j;Betschart Silvan;*;;;;;;;;;55.5
o;;;Moos Christoph;*;;;;;;;8.5
o;7;8.5;Durrer Robin;*;15;55.0;7;8.5;0;0.0;8.5
+;14;17.0;Rogenmoser Linus (2002);;24;52.75;8;18.5;-6;1.5;9.75
-;15;26.75;Hürlimann Marco (2002);;16;54.75;13;27.25;-2;0.5;9.0
+;17;35.75;Amgarten Martin;*;27;45.75;16;36.0;-1;0.25;9.75
+;16;45.5;Bissig Fabian;;19;54.0;16;45.5;0;0.0;10.0

13k;Durrer Ueli;;;;;;;;;;55.5
+;;;Ulrich Adrian (2001);;;;;;;;10.0
+;3;10.0;von Euw Lukas (2002);;12;55.75;3;10.0;0;0.0;10.0
o;3;20.0;Kenel Franz-Toni;*;7;57.0;8;18.5;5;-1.5;8.5
o;8;28.5;Kessler Joel;*;7;57.0;8;28.5;0;0.0;8.75
o;11;37.25;Grab Martin;*;13;55.5;11;37.25;0;0.0;8.5
+;15;45.75;Widmer Dominik;;21;53.5;18;45.0;3;-0.75;9.75

13l;Linggi Bruno;**;;;;;;;;;55.5
-;;;Herger Matthias;**;;;;;;;8.75
+;6;8.75;Zgraggen Fabian;*;22;53.25;6;8.75;0;0.0;10.0
o;7;18.75;Fankhauser Erich;***;5;57.5;6;19.0;-1;0.25;8.75
+;12;27.5;Baumann Marco;;20;53.75;9;28.25;-3;0.75;9.75
+;11;37.25;Gander Adrian;*;16;54.75;11;37.25;0;0.0;9.75
o;10;47.0;von Ah Benji;***;7;57.0;9;47.25;-1;0.25;8.5

14a;Burch Jonas;*;;;;;;;;;55.25
-;;;Höﬂiger Andreas;**;;;;;;;9.0
-;5;9.0;Reichmuth Armin;*;12;55.75;7;8.5;2;-0.5;8.75
+;11;17.75;Blattmann Roman (2003);;32;35.25;9;18.25;-2;0.5;10.0
-;11;27.75;Waser Reto;*;11;56.0;9;28.25;-2;0.5;9.0
+;13;36.75;Eﬃnger Peter;;20;53.75;14;36.5;1;-0.25;10.0
o;11;46.75;Gwerder Michael;**;7;57.0;9;47.25;-2;0.5;8.5

14b;Thierstein Marco;*;;;;;;;;;55.25
+;;;Villiger Cyrill;*;;;;;;;9.75
o;4;9.75;Schuler Alex;***;1;113.0;2;17.5;-2;7.75;8.5
+;9;18.25;Ettlin Mario (2003);;31;35.5;8;18.5;-1;0.25;9.75
o;10;28.0;Steiner Severin (2001);;11;56.0;8;28.5;-2;0.5;8.75
+;13;36.75;Würsch Lars;*;20;53.75;13;36.75;0;0.0;9.75
o;12;46.5;Eﬃnger Markus;*;8;56.75;10;47.0;-2;0.5;8.75

14c;Wey Nicola;*;;;;;;;;;55.25
-;;;Gwerder Dario;**;;;;;;;8.75
o;6;8.75;Herger Fabian;*;7;57.0;6;8.75;0;0.0;8.5
+;13;17.25;Kaufmann Jens;;31;35.5;8;18.5;-5;1.25;10.0
+;13;27.25;Suter Samuel;;16;54.75;10;28.0;-3;0.75;9.75
+;12;37.0;Bissig Fabian;;19;54.0;12;37.0;0;0.0;9.75
o;11;46.75;Arnold Stefan;**;6;57.25;8;47.5;-3;0.75;8.5

14d;Streiff Dominik;*;;;;;;;;;55.25
-;;;Rohrer Ueli;*;;;;;;;9.0
-;5;9.0;Bucher Roland;*;15;55.0;6;8.75;1;-0.25;9.0
-;10;18.0;Wyss Sven (2001);;21;53.5;7;18.75;-3;0.75;9.0
+;14;27.0;Zumstein Patrick;;16;54.75;13;27.25;-1;0.25;9.75
+;13;36.75;Niederberger Markus;*;17;54.5;16;36.0;3;-0.75;10.0
o;11;46.75;Suppiger René;***;7;57.0;9;47.25;-2;0.5;8.5

14e;Ming Christian;*;;;;;;;;;55.25
o;;;Betschart Patrick;*;;;;;;;8.5
o;7;8.5;Zürcher Ueli;*;15;55.0;7;8.5;0;0.0;8.5
+;14;17.0;Kaufmann Reto (2002);;17;54.5;8;18.5;-6;1.5;10.0
+;14;27.0;Gisler Silvan (2002);;3;106.5;3;54.25;-11;27.25;9.75
+;13;36.75;Fink Bruno;*;15;55.0;13;36.75;0;0.0;10.0
o;11;46.75;Kälin Roland;**;6;57.25;9;47.25;-2;0.5;8.5

14f;Buchmann Michael;;;;;;;;;;55.25
o;;;Lagler Christian;;;;;;;;8.5
+;7;8.5;Epp Elias (2003);;20;53.75;3;10.0;-4;1.5;10.0
o;8;18.5;Hess Dominik;*;10;56.25;11;17.75;3;-0.75;8.75
+;13;27.25;Camenzind Manuel;;31;35.5;14;27.0;1;-0.25;9.75
o;12;37.0;Eﬃnger Markus;*;8;56.75;12;37.0;0;0.0;8.5
+;16;45.5;Ulrich Damian;;19;54.0;16;45.5;0;0.0;9.75

14g;Arnold Fabian;*;;;;;;;;;55.25
-;;;Bucher Christian;*;;;;;;;8.75
+;6;8.75;Schilter Daniel;*;24;52.75;6;8.75;0;0.0;9.75
+;8;18.5;Gwerder Fabian;;15;55.0;5;19.5;-3;1.0;9.75
-;9;28.25;Hegner Ueli;*;6;57.25;8;28.5;-1;0.25;9.0
-;11;37.25;Schärli Reto;;10;56.25;11;37.25;0;0.0;9.0
-;13;46.25;Gwerder Carlo;**;13;55.5;12;46.5;-1;0.25;9.0

14h;von Flüe Michael;;;;;;;;;;55.25
+;;;Neyer Sven;;;;;;;;10.0
o;3;10.0;Lustenberger Florian (2002);;18;54.25;3;10.0;0;0.0;8.5
o;8;18.5;Widmer Adrian;*;16;54.75;13;17.25;5;-1.25;8.5
+;14;27.0;Hurschler Adrian;;17;54.5;13;27.25;-1;0.25;9.75
o;13;36.75;Reichmuth Lukas;*;13;55.5;12;37.0;-1;0.25;8.5
+;17;45.25;Epp Elias (2003);;20;53.75;17;45.25;0;0.0;10.0

14i;Arnold Marcel;*;;;;;;;;;55.25
-;;;Bucher Thomas;*;;;;;;;9.0
o;5;9.0;Betschart Rainer;**;6;57.25;6;8.75;1;-0.25;8.5
+;12;17.5;Hürlimann Adrian (2002);;31;35.5;8;18.5;-4;1.0;10.0
-;12;27.5;Ettlin Martin;;16;54.75;12;27.5;0;0.0;9.0
+;14;36.5;Thalmann Thomas;*;22;53.25;16;36.0;2;-0.5;10.0
o;12;46.5;Ettlin Stefan;**;10;56.25;12;46.5;0;0.0;8.75

14j;Grab Daniel;**;;;;;;;;;55.25
-;;;Elsener Peter;**;;;;;;;9.0
+;5;9.0;Bachmann Roger;*;13;55.5;6;8.75;1;-0.25;10.0
-;6;19.0;Ming Hannes;;18;54.25;4;19.75;-2;0.75;9.0
o;10;28.0;Murer Andy;**;11;56.0;12;27.5;2;-0.5;8.5
+;14;36.5;Rogenmoser Linus (2002);;24;52.75;17;35.75;3;-0.75;10.0
o;12;46.5;Heinzer Stefan;**;2;112.25;1;93.75;-11;47.25;8.75

14k;Gasser Peter;*;;;;;;;;;55.25
+;;;Eﬃnger Markus;*;;;;;;;10.0
o;3;10.0;Nötzli Reto;***;5;57.5;6;8.75;3;-1.25;8.5
o;8;18.5;Lagler Christian;;11;56.0;4;19.75;-4;1.25;8.5
o;14;27.0;Weber Ivo;;17;54.5;12;27.5;-2;0.5;8.75
+;17;35.75;Schilter Daniel;*;24;52.75;17;35.75;0;0.0;9.75
+;16;45.5;Bühler Kilian;;28;45.25;17;45.25;1;-0.25;9.75

15a;Gwerder Fabian;;;;;;;;;;55.0
+;;;Rohrer Timo (2001);;;;;;;;9.75
+;4;9.75;Kaufmann Reto (2002);;17;54.5;3;10.0;-1;0.25;9.75
o;5;19.5;Arnold Fabian;*;14;55.25;8;18.5;3;-1.0;8.5
o;10;28.0;Gasser Stefan;**;10;56.25;12;27.5;2;-0.5;8.5
+;14;36.5;Ettlin Thomas;;22;53.25;17;35.75;3;-0.75;9.75
o;13;46.25;Hess Dominik;*;10;56.25;12;46.5;-1;0.25;8.75

15b;Durrer Robin;*;;;;;;;;;55.0
o;;;Gwerder Andreas;*;;;;;;;8.5
+;7;8.5;Betschart Silvan;*;13;55.5;7;8.5;0;0.0;10.0
+;8;18.5;Styger Alex (2003);;22;53.25;7;18.75;-1;0.25;9.75
o;9;28.25;Schuler Christian;***;10;56.25;13;27.25;4;-1.0;8.5
+;13;36.75;Ulrich Damian;;19;54.0;13;36.75;0;0.0;9.75
o;12;46.5;Betschart Patrick;*;8;56.75;11;46.75;-1;0.25;8.5

15c;Graber Sandro;;;;;;;;;;55.0
-;;;Schürpf Guido;;;;;;;;8.75
+;6;8.75;Ulrich Michael (2003);;31;35.5;6;8.75;0;0.0;9.75
o;8;18.5;Bucher Thomas;*;11;56.0;12;17.5;4;-1.0;8.5
+;14;27.0;Hürlimann Adrian (2002);;31;35.5;14;27.0;0;0.0;9.75
o;13;36.75;Kälin Remo;*;15;55.0;14;36.5;1;-0.25;8.5
+;17;45.25;Thalmann Thomas;*;22;53.25;19;44.75;2;-0.5;9.75

15d;Bucher Roland;*;;;;;;;;;55.0
-;;;Bachmann Roger;*;;;;;;;8.75
-;6;8.75;Streiff Dominik;*;14;55.25;5;9.0;-1;0.25;9.0
-;11;17.75;Käslin Ruedi;*;33;35.0;12;17.5;1;-0.25;8.75
+;16;26.5;Heinzer Remo (2003);;32;35.25;15;26.75;-1;0.25;10.0
+;14;36.5;Neyer Sven;;19;54.0;17;35.75;3;-0.75;9.75
-;13;46.25;Gassmann Michael;*;15;55.0;13;46.25;0;0.0;8.75

15e;Villiger Cyrill;*;;;;;;;;;55.0
o;;;Thierstein Marco;*;;;;;;;8.5
o;7;8.5;Thalmann Thomas;*;22;53.25;7;8.5;0;0.0;8.5
+;14;17.0;Röthlin Pascal;;31;35.5;8;18.5;-6;1.5;9.75
+;15;26.75;Barmet Sven;;22;53.25;12;27.5;-3;0.75;9.75
o;14;36.5;Gassmann Michael;*;15;55.0;15;36.25;1;-0.25;8.5
+;18;45.0;Ziegler Elias;;21;53.5;18;45.0;0;0.0;10.0

15f;Fässler Dominic;**;;;;;;;;;55.0
-;;;Heinzer Stefan;**;;;;;;;8.75
o;6;8.75;Heinzer Ronny;*;13;55.5;6;8.75;0;0.0;8.5
-;13;17.25;Neyer Sven;;19;54.0;9;18.25;-4;1.0;8.75
+;18;26.0;Ulrich Roman;;32;35.25;15;26.75;-3;0.75;10.0
+;16;36.0;Ulrich Marco;*;16;54.75;16;36.0;0;0.0;10.0
-;14;46.0;Schürpf Guido;;15;55.0;13;46.25;-1;0.25;9.0

15g;Zürcher Ueli;*;;;;;;;;;55.0
o;;;Kessler Joel;*;;;;;;;8.5
+;7;8.5;Ming Christian;*;14;55.25;7;8.5;0;0.0;10.0
+;8;18.5;Lustenberger Florian (2002);;18;54.25;4;19.75;-4;1.25;9.75
o;9;28.25;Müllestein Mike;***;8;56.75;11;27.75;2;-0.5;8.5
+;13;36.75;Baumann Marco;;20;53.75;13;36.75;0;0.0;9.75
o;12;46.5;Höﬂiger Andreas;**;6;57.25;9;47.25;-3;0.75;8.5

15h;Blaser Theo;*;;;;;;;;;55.0
-;;;Kurmann Toni;*;;;;;;;8.75
-;6;8.75;Fankhauser Reto;**;15;55.0;5;9.0;-1;0.25;9.0
-;11;17.75;Schwyzer Samuel (2001);;17;54.5;8;18.5;-3;0.75;8.75
+;16;26.5;Bacher Andreas;;17;54.5;12;27.5;-4;1.0;10.0
+;14;36.5;von Ah Markus;;21;53.5;15;36.25;1;-0.25;10.0
o;12;46.5;Egli Damian;**;9;56.5;11;46.75;-1;0.25;8.5

15i;Gwerder Andreas;*;;;;;;;;;55.0
+;;;Durrer Robin;*;;;;;;;9.75
o;4;9.75;Zurﬂuh Roman;**;9;56.5;6;8.75;2;-1.0;8.75
+;8;18.5;Ettlin Thomas;;22;53.25;7;18.75;-1;0.25;9.75
o;9;28.25;Hess Dominik;*;10;56.25;11;27.75;2;-0.5;8.5
+;13;36.75;Gisler Silvan (2002);;3;106.5;3;72.5;-10;35.75;9.75
o;12;46.5;Schürpf Bruno;*;8;56.75;10;47.0;-2;0.5;8.5

15j;Fankhauser Reto;**;;;;;;;;;55.0
-;;;Ettlin Stefan;**;;;;;;;9.0
-;5;9.0;Blaser Theo;*;15;55.0;6;8.75;1;-0.25;9.0
+;10;18.0;Hurschler Adrian;;17;54.5;7;18.75;-3;0.75;10.0
o;10;28.0;Bienz Romeo;;8;56.75;8;28.5;-2;0.5;8.5
+;14;36.5;Elsener Marcel;*;20;53.75;14;36.5;0;0.0;9.75
o;13;46.25;Bucher Christian;*;10;56.25;13;46.25;0;0.0;8.75

15k;Gassmann Michael;*;;;;;;;;;55.0
o;;;Grab Martin;*;;;;;;;8.75
-;6;8.75;Heinzer Stefan;*;2;112.25;2;17.5;-4;8.75;8.75
-;12;17.5;Achermann Simon;;17;54.5;8;18.5;-4;1.0;8.75
+;17;26.25;Schuler Thomas;;35;34.5;18;26.0;1;-0.25;10.0
+;15;36.25;Villiger Cyrill;*;15;55.0;14;36.5;-1;0.25;10.0
-;13;46.25;Bucher Roland;*;15;55.0;13;46.25;0;0.0;8.75

15l;Blattmann Philipp;;;;;;;;;;55.0
o;;;Lustenberger Florian (2002);;;;;;;;8.5
+;7;8.5;Bürgi Michael (2002);;31;35.5;7;8.5;0;0.0;9.75
o;9;18.25;Binggeli Stefan;**;13;55.5;12;17.5;3;-0.75;8.5
+;15;26.75;Bucher Sandro;;31;35.5;14;27.0;-1;0.25;10.0
o;13;36.75;Waser Reto;*;11;56.0;12;37.0;-1;0.25;8.5
+;17;45.25;Gisler Silvan (2002);;3;106.5;3;89.5;-14;44.25;9.75

15m;Fink Bruno;*;;;;;;;;;55.0
o;;;Kennel Beat;*;;;;;;;8.5
+;7;8.5;Arnold Andreas;*;31;35.5;7;8.5;0;0.0;10.0
o;8;18.5;Gwerder Beni;;16;54.75;5;19.5;-3;1.0;8.5
+;14;27.0;Herger Marco (2002);;23;53.0;13;27.25;-1;0.25;9.75
o;13;36.75;Ming Christian;*;14;55.25;13;36.75;0;0.0;8.5
+;17;45.25;Jöhl Christian;*;22;53.25;19;44.75;2;-0.5;9.75

15n;Kälin Remo;*;;;;;;;;;55.0
-;;;Schmidiger Marco;*;;;;;;;9.0
-;5;9.0;Elsener Peter;**;32;35.25;5;9.0;0;0.0;9.0
+;10;18.0;Suter Michael (2002);;23;53.0;8;18.5;-2;0.5;10.0
o;10;28.0;Rohrer Ueli;*;26;46.0;11;27.75;1;-0.25;8.5
+;14;36.5;Graber Sandro;;15;55.0;13;36.75;-1;0.25;10.0
o;12;46.5;Waser Dominik;**;7;57.0;10;47.0;-2;0.5;8.5

15o;Schürpf Guido;;;;;;;;;;55.0
-;;;Graber Sandro;;;;;;;;8.75
+;6;8.75;Aregger Fabian (2001);;40;18.25;4;9.75;-2;1.0;10.0
-;7;18.75;Thalmann Thomas;*;22;53.25;8;18.5;1;-0.25;8.75
-;12;27.5;Niederberger Markus;*;17;54.5;13;27.25;1;-0.25;8.75
+;15;36.25;Grüter Marcel;;23;53.0;17;35.75;2;-0.5;10.0
-;13;46.25;Fässler Dominic;**;15;55.0;14;46.0;1;-0.25;8.75

16a;Schuler Daniel;*;;;;;;;;;54.75
o;;;Gander Adrian;*;;;;;;;8.5
-;7;8.5;Würsch Lars;*;20;53.75;7;8.5;0;0.0;9.0
-;12;17.5;Bühler Patrice;;17;54.5;8;18.5;-4;1.0;9.0
+;16;26.5;Zimmermann Raffael;;21;53.5;12;27.5;-4;1.0;9.75
-;15;36.25;Käslin Benno;*;17;54.5;16;36.0;1;-0.25;8.75
+;18;45.0;Dittli Mathias (2002);;20;53.75;17;45.25;-1;0.25;9.75

16b;Ulrich Marco;*;;;;;;;;;54.75
-;;;Käslin Ruedi;*;;;;;;;8.75
o;6;8.75;Kurmann Toni;*;11;56.0;6;8.75;0;0.0;8.75
o;12;17.5;Baumann Marco;;20;53.75;8;18.5;-4;1.0;8.75
+;17;26.25;Ming Christian 2;;31;35.5;14;27.0;-3;0.75;9.75
o;16;36.0;Fässler Dominic;**;15;55.0;16;36.0;0;0.0;8.75
+;19;44.75;Waser Raphael;;30;44.5;20;44.5;1;-0.25;10.0

16c;Bühlmann Daniel;;;;;;;;;;54.75
o;;;Ulrich Pascal;;;;;;;;8.5
+;7;8.5;Eﬃnger Peter;;20;53.75;7;8.5;0;0.0;10.0
-;8;18.5;Elsener Peter;**;32;35.25;10;18.0;2;-0.5;8.75
-;13;27.25;Bürgler Lukas;*;29;44.75;14;27.0;1;-0.25;8.75
+;16;36.0;Herger Marco (2002);;23;53.0;17;35.75;1;-0.25;10.0
-;14;46.0;Moos Christoph;*;16;54.75;14;46.0;0;0.0;8.75

16d;Hürlimann Marco (2002);;;;;;;;;;54.75
o;;;Gwerder Beni;;;;;;;;8.5
-;7;8.5;Auf der Maur Michael;;34;34.75;7;8.5;0;0.0;9.0
+;12;17.5;Ulrich Adrian (2001);;35;34.5;13;17.25;1;-0.25;9.75
-;13;27.25;Betschart Silvan;*;13;55.5;15;26.75;2;-0.5;9.0
+;15;36.25;Flück Bruno;;23;53.0;16;36.0;1;-0.25;10.0
o;13;46.25;Gasser Stefan;**;10;56.25;13;46.25;0;0.0;8.5

16e;Moos Christoph;*;;;;;;;;;54.75
+;;;Betschart Silvan;*;;;;;;;10.0
o;3;10.0;Schuler Christian;***;10;56.25;7;8.5;4;-1.5;8.5
-;8;18.5;Bienz Romeo;;8;56.75;4;19.75;-4;1.25;8.75
+;13;27.25;Forster Christian;;22;53.25;13;27.25;0;0.0;10.0
-;11;37.25;Widmer Adrian;*;16;54.75;11;37.25;0;0.0;8.75
-;14;46.0;Bühlmann Daniel;;16;54.75;14;46.0;0;0.0;8.75

16f;Widmer Adrian;*;;;;;;;;;54.75
-;;;Elsener Marcel;*;;;;;;;8.75
o;6;8.75;Rohrer Ueli;*;26;46.0;5;9.0;-1;0.25;8.5
+;13;17.25;von Flüe Michael;;14;55.25;8;18.5;-5;1.25;10.0
+;13;27.25;Suter Bruno (2002);;16;54.75;11;27.75;-2;0.5;10.0
-;11;37.25;Moos Christoph;*;16;54.75;11;37.25;0;0.0;8.75
-;14;46.0;Bieri Christian;**;16;54.75;14;46.0;0;0.0;8.75

16g;Gander Adrian;*;;;;;;;;;54.75
+;;;Schuler Daniel;*;;;;;;;10.0
o;3;10.0;Ulrich Andreas;***;10;56.25;5;9.0;2;-1.0;8.5
+;8;18.5;Suter Pirmin;;17;54.5;4;19.75;-4;1.25;10.0
-;8;28.5;Inderbitzin Daniel;*;13;55.5;8;28.5;0;0.0;8.75
o;11;37.25;Linggi Bruno;**;13;55.5;11;37.25;0;0.0;8.75
-;14;46.0;Suter Bruno (2002);;16;54.75;14;46.0;0;0.0;8.75

16h;Bieri Christian;**;;;;;;;;;54.75
-;;;Brun Jonas;**;;;;;;;8.75
-;6;8.75;Kennel Beat;*;12;55.75;4;9.75;-2;1.0;8.75
+;12;17.5;Widmer Dominik;;21;53.5;9;18.25;-3;0.75;9.75
+;13;27.25;Zgraggen Peter;;19;54.0;13;27.25;0;0.0;10.0
o;11;37.25;Bachmann Roger;*;13;55.5;11;37.25;0;0.0;8.75
-;14;46.0;Widmer Adrian;*;16;54.75;14;46.0;0;0.0;8.75

16i;Zumstein Patrick;;;;;;;;;;54.75
o;;;Forster Christian;;;;;;;;8.75
+;6;8.75;Durrer Julian (2002);;36;34.25;6;8.75;0;0.0;10.0
o;7;18.75;Betschart Patrick;*;8;56.75;8;18.5;1;-0.25;8.5
o;13;27.25;Streiff Dominik;*;14;55.25;14;27.0;1;-0.25;8.75
+;16;36.0;Föhn Christian (2002);;23;53.0;17;35.75;1;-0.25;9.75
-;15;45.75;Müller Roger;*;17;54.5;16;45.5;1;-0.25;9.0

16j;Ettlin Martin;;;;;;;;;;54.75
+;;;Auf der Maur Michael;;;;;;;;10.0
-;3;10.0;Föhn Christian (2002);;23;53.0;4;9.75;1;-0.25;9.0
o;6;19.0;Eﬃnger Markus;*;8;56.75;8;18.5;2;-0.5;8.5
-;12;27.5;Arnold Marcel;*;14;55.25;12;27.5;0;0.0;9.0
+;14;36.5;Ziegler Elias;;21;53.5;14;36.5;0;0.0;9.75
o;13;46.25;Bürgler André;*;10;56.25;13;46.25;0;0.0;8.5

16k;Suter Samuel;;;;;;;;;;54.75
+;;;Widmer Dominik;;;;;;;;9.75
