3754-2017-05-14_94_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
o;4;9.75;Schuler Philipp;**;4;57.25;4;9.75;0;0.0;8.75
+;8;18.5;Bienz Romeo;;15;54.5;7;18.75;-1;0.25;9.75
+;8;28.25;Lagler Christian;;24;37.0;7;28.5;-1;0.25;9.75
o;6;38.0;Nötzli Bruno;***;8;56.25;7;37.75;1;-0.25;8.5
+;10;46.5;Inderbitzin Daniel;*;10;55.75;8;47.0;-2;0.5;9.75

8b;Imboden Roger;**;;;;;;;;;56.25
o;;;Heinzer Stefan;*;;;;;;;8.75
-;6;8.75;Schilter Daniel;*;20;53.25;6;8.75;0;0.0;9.0
+;10;17.75;Gisler Jonas (2001);;21;53.0;8;18.5;-2;0.75;10.0
+;10;27.75;Della Torre Simon;;10;55.75;7;28.5;-3;0.75;10.0
o;7;37.75;Laimbacher Philipp;***;5;57.0;10;37.0;3;-0.75;8.5
+;11;46.25;Betschart Marcel;;13;55.0;10;46.5;-1;0.25;10.0

8c;Streiff Dominik;;;;;;;;;;56.25
+;;;Zürcher Ueli (2000);;;;;;;;9.75
-;4;9.75;Portmann Josef;*;13;55.0;6;8.75;2;-1.0;8.75
+;8;18.5;Durrer Ive (2000);;21;53.0;7;18.75;-1;0.25;10.0
-;7;28.5;Hermann Oliver;*;11;55.5;8;28.25;1;-0.25;9.0
-;8;37.5;Felder Seppi;*;13;55.0;9;37.25;1;-0.25;8.75
+;11;46.25;Zumstein Patrick;;12;55.25;9;46.75;-2;0.5;10.0

8d;Nötzli Bruno;***;;;;;;;;;56.25
-;;;Gloggner Reto;**;;;;;;;8.75
+;6;8.75;Arnold Andreas;*;6;56.75;4;9.75;-2;1.0;10.0
-;7;18.75;Bernhard Lukas;*;11;55.5;8;18.5;1;-0.25;9.0
+;10;27.75;Heinzer Ronny;*;10;55.75;7;28.5;-3;0.75;10.0
+;7;37.75;Briker Michael;*;8;56.25;6;38.0;-1;0.25;10.0
o;5;47.75;von Ah Benji;***;4;57.25;6;47.5;1;-0.25;8.5

8e;Suter David;**;;;;;;;;;56.25
-;;;Omlin Toni;*;;;;;;;8.75
+;6;8.75;Thierstein Marco;;16;54.25;3;10.0;-3;1.25;9.75
+;8;18.5;Durrer Lukas (1999);;19;53.5;5;19.5;-3;1.0;10.0
+;7;28.5;Vonlaufen Alexander;**;10;55.75;7;28.5;0;0.0;10.0
-;4;38.5;Grab Martin;***;9;56.0;6;38.0;2;-0.5;9.0
-;6;47.5;Rohrer Ivan;**;10;55.75;8;47.0;2;-0.5;8.75

8f;Bucher Roland;*;;;;;;;;;56.25
+;;;Gwerder Andreas;*;;;;;;;9.75
+;4;9.75;Arnold Stefan;**;7;56.5;7;8.5;3;-1.25;9.75
o;5;19.5;Ulrich Andreas;***;3;58.5;4;19.75;-1;0.25;8.75
+;8;28.25;Durrer Markus (1999);;17;54.0;7;28.5;-1;0.25;9.75
o;6;38.0;Höﬂiger Andreas;**;6;56.75;6;38.0;0;0.0;8.5
+;10;46.5;Imfeld Beat;;14;54.75;11;46.25;1;-0.25;9.75

8g;Steinauer Adrian;**;;;;;;;;;56.25
+;;;Fankhauser Reto;**;;;;;;;9.75
+;4;9.75;Martin Robin;*;10;55.75;6;8.75;2;-1.0;9.75
+;5;19.5;Gmür Pirmin;*;12;55.25;7;18.75;2;-0.75;9.75
o;4;29.25;Ulrich Andreas;***;3;58.5;3;29.5;-1;0.25;8.5
-;7;37.75;Portmann Josef;*;13;55.0;8;37.5;1;-0.25;8.75
+;10;46.5;Bieri Elias;;14;54.75;11;46.25;1;-0.25;9.75

8h;Fessler Linus;;;;;;;;;;56.25
+;;;Diethelm Samuel;;;;;;;;10.0
-;3;10.0;Bürgler André;*;13;55.0;3;10.0;0;0.0;9.0
+;6;19.0;Hegner Ueli (1999);*;16;54.25;7;18.75;1;-0.25;10.0
o;5;29.0;Höﬂiger Andreas;**;6;56.75;8;28.25;3;-0.75;8.5
+;8;37.5;Nauer Robin;;12;55.25;10;37.0;2;-0.5;10.0
-;6;47.5;Heinzer Stefan;*;1;111.0;1;93.75;-5;46.25;8.75

8i;Herger Lukas;;;;;;;;;;56.25
-;;;Zimmermann Armin;;;;;;;;9.0
+;5;9.0;Andermatt Erwin (1999);;25;35.5;4;9.75;-1;0.75;10.0
+;6;19.0;Arnold Marcel;*;11;55.5;7;18.75;1;-0.25;10.0
o;5;29.0;Gwerder Dario;**;5;57.0;7;28.5;2;-0.5;8.5
-;8;37.5;Bürgler André;*;13;55.0;8;37.5;0;0.0;8.75
+;11;46.25;Reichmuth Roland;;12;55.25;10;46.5;-1;0.25;10.0

9a;Gwerder Carlo;**;;;;;;;;;56.0
-;;;Fink Bruno;*;;;;;;;8.75
o;6;8.75;Gloggner Reto;**;10;55.75;6;8.75;0;0.0;8.5
+;12;17.25;Amrein Lukas (1999);;25;35.5;8;18.5;-4;1.25;10.0
+;12;27.25;Arnold Fabian;;18;53.75;11;27.5;-1;0.25;10.0
-;9;37.25;Wyrsch Marco;*;13;55.0;8;37.5;-1;0.25;8.75
+;12;46.0;Elmiger Andreas;;15;54.5;12;46.0;0;0.0;10.0

9b;Moos Christoph;;;;;;;;;;56.0
+;;;Küttel Samuel;;;;;;;;10.0
-;3;10.0;Gwerder Michael (2000);*;13;55.0;7;8.5;4;-1.5;8.75
o;7;18.75;Huber Alex;;6;56.75;8;18.5;1;-0.25;8.5
-;12;27.25;Keller Janik;*;16;54.25;12;27.25;0;0.0;8.75
+;14;36.0;Fischer Markus (2000);;19;53.5;12;36.5;-2;0.5;10.0
+;12;46.0;Keller Markus;*;16;54.25;13;45.75;1;-0.25;10.0

9c;Bürgi Reto;*;;;;;;;;;56.0
-;;;Arnold Marcel;*;;;;;;;8.75
-;6;8.75;Gwerder Christian;**;12;55.25;6;8.75;0;0.0;8.75
+;11;17.5;Elmiger Matthias;;15;54.5;9;18.25;-2;0.75;10.0
-;11;27.5;Scheuber Stefan;;17;54.0;8;28.25;-3;0.75;8.75
+;13;36.25;Kälin Markus (2001);;26;35.25;17;35.25;4;-1.0;9.75
+;12;46.0;Suter Pirmin;;14;54.75;12;46.0;0;0.0;10.0

9d;Betschart Patrick (1999);;;;;;;;;;56.0
+;;;Hauser Roman (2000);;;;;;;;10.0
+;3;10.0;Anderegg David;*;13;55.0;7;8.5;4;-1.5;9.75
-;4;19.75;Rohrer Ivan;**;10;55.75;8;18.5;4;-1.25;8.75
o;7;28.5;Arnold Andreas;*;6;56.75;9;28.0;2;-0.5;8.5
-;10;37.0;Elmiger Matthias;;15;54.5;10;37.0;0;0.0;9.0
+;12;46.0;Herger Andreas;;15;54.5;12;46.0;0;0.0;10.0

9e;Omlin Toni;*;;;;;;;;;56.0
-;;;Suter David;**;;;;;;;8.75
+;6;8.75;Betschart Daniel;;18;53.75;3;10.0;-3;1.25;9.75
+;8;18.5;Zgraggen Peter;;20;53.25;7;18.75;-1;0.25;10.0
-;7;28.5;Nötzli Reto;***;5;57.0;7;28.5;0;0.0;8.75
-;9;37.25;Bürgler Lukas;*;14;54.75;10;37.0;1;-0.25;8.75
+;12;46.0;Hügli Kaj;*;15;54.5;12;46.0;0;0.0;10.0

9f;Odermatt Andreas;*;;;;;;;;;56.0
-;;;Heinzer Ronny;*;;;;;;;9.0
o;5;9.0;Höﬂiger Andreas;**;6;56.75;4;9.75;-1;0.75;8.5
+;11;17.5;Bingisser Roman;;15;54.5;8;18.5;-3;1.0;9.75
-;12;27.25;Hirsiger Alexander;;12;55.25;9;28.0;-3;0.75;8.75
+;14;36.0;Schuler Koni;;12;55.25;11;36.75;-3;0.75;10.0
+;12;46.0;Suter Paul;*;16;54.25;13;45.75;1;-0.25;10.0

9g;Grab Martin;***;;;;;;;;;56.0
-;;;von Ah Benji;***;;;;;;;8.75
+;6;8.75;Hermann Oliver;*;11;55.5;3;10.0;-3;1.25;9.75
+;8;18.5;Vonlaufen Lukas;*;15;54.5;8;18.5;0;0.0;9.75
+;8;28.25;Gloggner Reto;**;10;55.75;7;28.5;-1;0.25;9.75
-;6;38.0;Suter David;**;8;56.25;4;38.5;-2;0.5;9.0
-;8;47.0;Langenstein Philip;*;13;55.0;11;46.25;3;-0.75;9.0

9h;Studinger Stephan;**;;;;;;;;;56.0
o;;;Gwerder Dario;**;;;;;;;8.5
+;7;8.5;Käslin Benno;*;9;56.0;6;8.75;-1;0.25;10.0
-;8;18.5;Schuler Daniel;;14;54.75;7;18.75;-1;0.25;8.75
-;12;27.25;Schürpf Guido;;13;55.0;11;27.5;-1;0.25;8.75
+;14;36.0;Von Euw Adi;;18;53.75;11;36.75;-3;0.75;10.0
+;12;46.0;Kessler Joel;*;14;54.75;12;46.0;0;0.0;10.0

9i;Käslin Benno;*;;;;;;;;;56.0
-;;;Diethelm Albert;*;;;;;;;8.75
o;6;8.75;Studinger Stephan;**;9;56.0;7;8.5;1;-0.25;8.5
+;12;17.25;Suter Ruedi;;19;53.5;8;18.5;-4;1.25;10.0
+;12;27.25;Scherer Niklaus;;12;55.25;9;28.0;-3;0.75;10.0
+;9;37.25;Betschart Remo;**;12;55.25;8;37.5;-1;0.25;10.0
