3754-2017-05-14_94_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
-;13;36.25;Hauser Roman (2000);;15;54.5;11;36.75;-2;0.5;8.75
-;16;45.0;Gander Martin;;18;53.75;16;45.0;0;0.0;8.75

18f;Arnold Fabian;;;;;;;;;;53.75
o;;;Suter Pirmin;;;;;;;;8.75
+;6;8.75;Diethelm Patrick (2001);;31;34.0;7;8.5;1;-0.25;10.0
-;7;18.75;Blaser Theo;*;11;55.5;8;18.5;1;-0.25;8.75
o;11;27.5;Gwerder Carlo;**;9;56.0;12;27.25;1;-0.25;8.75
-;13;36.25;Schürpf Bruno;;13;55.0;13;36.25;0;0.0;8.75
-;16;45.0;Betschart Daniel;;18;53.75;16;45.0;0;0.0;8.75

18g;Hürlimann Ueli (2001);;;;;;;;;;53.75
o;;;Andermatt Erwin (1999);;;;;;;;8.5
+;7;8.5;Reichmuth Jonas (2001);;26;35.25;7;8.5;0;0.0;10.0
o;8;18.5;Nauer Robin;;12;55.25;8;18.5;0;0.0;8.5
+;13;27.0;Burch Bruno (2000);;25;35.5;13;27.0;0;0.0;9.75
o;11;36.75;Gwerder Andreas;*;16;54.25;14;36.0;3;-0.75;8.5
o;15;45.25;Fassbind René;*;17;54.0;19;44.25;4;-1.0;8.5

18h;Gander Martin;;;;;;;;;;53.75
+;;;Grüter Marcel (1999);;;;;;;;9.75
+;4;9.75;Wiget Ueli (1999);;25;35.5;3;10.0;-1;0.25;9.75
o;5;19.5;Heinzer Ronny;*;10;55.75;7;18.75;2;-0.75;8.5
o;9;28.0;Dober Adrian;**;13;55.0;12;27.25;3;-0.75;8.5
o;12;36.5;Hirsiger Alexander;;12;55.25;11;36.75;-1;0.25;8.5
-;16;45.0;Reichmuth Lukas (2000);;18;53.75;16;45.0;0;0.0;8.75

19a;Gisler Mario (2000);;;;;;;;;;53.5
+;;;Marty Lukas;;;;;;;;9.75
o;4;9.75;Schuler Daniel;;14;54.75;6;8.75;2;-1.0;8.5
o;9;18.25;Suter Raphael (2000);;22;52.75;12;17.25;3;-1.0;8.5
+;14;26.75;Kälin Markus (2001);;26;35.25;14;26.75;0;0.0;9.75
o;12;36.5;Kenel Franz-Toni;*;11;55.5;11;36.75;-1;0.25;8.5
o;16;45.0;Della Torre Simon;;10;55.75;13;45.75;-3;0.75;8.5

19b;Fischer Markus (2000);;;;;;;;;;53.5
+;;;Kälin Markus (2001);;;;;;;;9.75
o;4;9.75;Reichmuth Lukas (2000);;18;53.75;5;9.0;1;-0.75;8.5
+;9;18.25;Krieg Silvan (2000);;25;35.5;8;18.5;-1;0.25;9.75
o;9;28.0;Bürgler André;*;13;55.0;11;27.5;2;-0.5;8.5
o;12;36.5;Moos Christoph;;9;56.0;14;36.0;2;-0.5;8.5
o;16;45.0;Schuler Koni;;12;55.25;15;45.25;-1;0.25;8.5

19c;Gander Benjamin (2000);;;;;;;;;;53.5
-;;;Grab Martin jun. (1999);;;;;;;;8.75
+;6;8.75;Annen David (2000);;25;35.5;4;9.75;-2;1.0;10.0
o;7;18.75;Kennel Stefan;**;5;57.0;8;18.5;1;-0.25;8.5
-;12;27.25;Schürpf Bruno;;13;55.0;11;27.5;-1;0.25;8.75
o;14;36.0;Suter Pirmin;;14;54.75;13;36.25;-1;0.25;8.5
-;18;44.5;Ulrich Roman (2000);;19;53.5;18;44.5;0;0.0;9.0

19d;Fischer Tobias;;;;;;;;;;53.5
o;;;Betschart Daniel;;;;;;;;8.5
+;7;8.5;Suter Raphael (2000);;22;52.75;6;8.75;-1;0.25;9.75
+;9;18.25;Gemsch Stefan;;26;35.25;9;18.25;0;0.0;9.75
o;9;28.0;Bernhard Lukas;*;11;55.5;11;27.5;2;-0.5;8.5
o;12;36.5;Schuler Daniel;;14;54.75;13;36.25;1;-0.25;8.5
o;16;45.0;Lüthy Ralph;;11;55.5;14;45.5;-2;0.5;8.5

19e;Suter Ruedi;;;;;;;;;;53.5
+;;;Widmer Simon;;;;;;;;9.75
o;4;9.75;Ming Christian 2;;16;54.25;4;9.75;0;0.0;8.75
o;8;18.5;Käslin Benno;*;9;56.0;12;17.25;4;-1.25;8.5
o;13;27.0;Albert Thomas;;17;54.0;13;27.0;0;0.0;8.75
-;15;35.75;Spichtig Clemens;;15;54.5;15;35.75;0;0.0;9.0
-;17;44.75;Bucher André (2001);;21;53.0;19;44.25;2;-0.5;8.75

19f;Ulrich Roman (2000);;;;;;;;;;53.5
-;;;von Flüe Michael;;;;;;;;8.75
o;6;8.75;Durrer Ive (2000);;21;53.0;6;8.75;0;0.0;8.5
+;12;17.25;Andermatt Erwin (1999);;25;35.5;9;18.25;-3;1.0;10.0
o;12;27.25;Blaser Theo;*;11;55.5;12;27.25;0;0.0;8.5
-;15;35.75;Bacher Andreas;;20;53.25;15;35.75;0;0.0;8.75
-;18;44.5;Gander Benjamin (2000);;19;53.5;18;44.5;0;0.0;9.0

19g;Heiniger Luca;;;;;;;;;;53.5
+;;;Brunner Timon;;;;;;;;9.75
o;4;9.75;Grab Daniel;**;14;54.75;7;8.5;3;-1.25;8.5
+;9;18.25;Gwerder Beni;;25;35.5;8;18.5;-1;0.25;9.75
o;9;28.0;Rohrer Ivan;**;10;55.75;12;27.25;3;-0.75;8.5
o;12;36.5;Schelbert Roman;;14;54.75;14;36.0;2;-0.5;8.5
o;16;45.0;Schürpf Bruno;;13;55.0;15;45.25;-1;0.25;8.5

19h;Durrer Lukas (1999);;;;;;;;;;53.5
+;;;Zimmermann Lukas (2001);;;;;;;;9.75
+;4;9.75;Inderbitzin Dominic (1999);;26;35.25;4;9.75;0;0.0;9.75
o;5;19.5;Suter David;**;8;56.25;8;18.5;3;-1.0;8.5
o;9;28.0;Bernet Christoph;*;10;55.75;12;27.25;3;-0.75;8.5
o;12;36.5;Weber Ivo;;14;54.75;14;36.0;2;-0.5;8.5
o;16;45.0;Schürpf Guido;;13;55.0;16;45.0;0;0.0;8.5

20a;Murpf Dario (1999);;;;;;;;;;53.25
-;;;Betschart Fabian (1999);;;;;;;;8.75
-;6;8.75;Gisler Lukas (2001);;29;34.5;7;8.5;1;-0.25;8.75
-;11;17.5;Spichtig Aldo;;25;35.5;13;17.0;2;-0.5;8.75
+;15;26.25;Grätzer Luca (2001);;25;35.5;13;27.0;-2;0.75;10.0
o;13;36.25;Langenstein Philip;*;13;55.0;13;36.25;0;0.0;8.5
o;17;44.75;Keller Janik;*;16;54.25;18;44.5;1;-0.25;8.5

20b;Schilter Daniel;*;;;;;;;;;53.25
o;;;Schöpfer Dio;**;;;;;;;8.75
-;6;8.75;Imboden Roger;**;8;56.25;6;8.75;0;0.0;9.0
+;10;17.75;Troxler Jonas (2000);;25;35.5;8;18.5;-2;0.75;10.0
o;10;27.75;Betschart Marcel;;13;55.0;8;28.25;-2;0.5;8.5
o;13;36.25;Zumstein Patrick;;12;55.25;11;36.75;-2;0.5;8.5
o;17;44.75;Stutzer Michael (1999);;16;54.25;19;44.25;2;-0.5;8.5

20c;Zgraggen Peter;;;;;;;;;;53.25
-;;;Schindler Roland;;;;;;;;8.75
+;6;8.75;Steiner Severin (2001);;26;35.25;7;8.5;1;-0.25;10.0
o;7;18.75;Omlin Toni;*;9;56.0;8;18.5;1;-0.25;8.5
o;12;27.25;Diethelm Albert;*;16;54.25;12;27.25;0;0.0;8.5
-;15;35.75;Betschart Daniel;;18;53.75;14;36.0;-1;0.25;8.75
-;18;44.5;Gisler Jonas (2001);;21;53.0;19;44.25;1;-0.25;8.75

20d;Bacher Andreas;;;;;;;;;;53.25
-;;;Reichmuth Lukas (2000);;;;;;;;8.75
+;6;8.75;Strickler Fabio (2001);;26;35.25;7;8.5;1;-0.25;10.0
o;7;18.75;Lagler Christian;;24;37.0;7;18.75;0;0.0;8.5
o;12;27.25;Kessler Joel;*;14;54.75;12;27.25;0;0.0;8.5
-;15;35.75;Ulrich Roman (2000);;19;53.5;15;35.75;0;0.0;9.0
o;17;44.75;Bingisser Roman;;15;54.5;18;44.5;1;-0.25;8.5

20e;Staub Ivan (1999);;;;;;;;;;53.25
-;;;Suter Raphael (2000);;;;;;;;8.75
+;6;8.75;Von Euw Adi;;18;53.75;7;8.5;1;-0.25;10.0
o;7;18.75;Schöpfer Dio;**;16;54.25;8;18.5;1;-0.25;8.75
o;11;27.5;Gmür Pirmin;*;12;55.25;12;27.25;1;-0.25;8.75
o;13;36.25;Elmiger Andreas;;15;54.5;14;36.0;1;-0.25;8.5
o;17;44.75;Spichtig Clemens;;15;54.5;17;44.75;0;0.0;8.5

21a;Gisler Jonas (2001);;;;;;;;;;53.0
o;;;Birchler Fabian (2000);;;;;;;;8.5
+;7;8.5;Zimmermann Lukas (2001);;31;34.0;7;8.5;0;0.0;10.0
o;8;18.5;Imboden Roger;**;8;56.25;10;17.75;2;-0.75;8.5
-;13;27.0;Suter Pirmin;;14;54.75;12;27.25;-1;0.25;8.75
o;15;35.75;Suter Samuel (1999);;16;54.25;15;35.75;0;0.0;8.5
-;19;44.25;Zgraggen Peter;;20;53.25;18;44.5;-1;0.25;8.75

21b;Durrer Ive (2000);;;;;;;;;;53.0
-;;;Bucher André (2001);;;;;;;;8.75
+;6;8.75;Ulrich Roman (2000);;19;53.5;6;8.75;0;0.0;10.0
o;7;18.75;Streiff Dominik;;8;56.25;8;18.5;1;-0.25;8.5
o;12;27.25;Arnold Marcel;*;11;55.5;12;27.25;0;0.0;8.5
o;15;35.75;Birchler Fabian (2000);;16;54.25;14;36.0;-1;0.25;8.75
o;18;44.5;Zimmermann Armin;;15;54.5;17;44.75;-1;0.25;8.5

21c;Bucher André (2001);;;;;;;;;;53.0
-;;;Durrer Ive (2000);;;;;;;;8.75
o;6;8.75;Bingisser Roman;;15;54.5;6;8.75;0;0.0;8.5
o;12;17.25;Küttel Samuel;;25;35.5;13;17.0;1;-0.25;8.5
+;17;25.75;Zimmermann Lukas (2001);;31;34.0;18;25.5;1;-0.25;10.0
o;15;35.75;Fink Bruno;*;14;54.75;13;36.25;-2;0.5;8.5
-;19;44.25;Suter Ruedi;;19;53.5;17;44.75;-2;0.5;8.75

21d;Zanini David (2000);;;;;;;;;;53.0
+;;;Inderbitzin Karl;;;;;;;;9.75
-;4;9.75;Birchler Fabian (2000);;16;54.25;4;9.75;0;0.0;8.75
o;8;18.5;Inderbitzin Daniel;*;10;55.75;9;18.25;1;-0.25;8.5
-;13;27.0;Küttel Samuel;;25;35.5;14;26.75;1;-0.25;8.75
-;15;35.75;Bingisser Roman;;15;54.5;15;35.75;0;0.0;8.75
o;18;44.5;Fallegger Joel;;15;54.5;17;44.75;-1;0.25;8.5

21e;Zimmermann Reto;;;;;;;;;;53.0
-;;;Kennel Roger (1999);;;;;;;;8.75
o;6;8.75;Schürpf Guido;;13;55.0;7;8.5;1;-0.25;8.5
+;12;17.25;Gisler Lukas (2001);;29;34.5;12;17.25;0;0.0;10.0
o;12;27.25;Kenel Franz-Toni;*;11;55.5;14;26.75;2;-0.5;8.5
-;15;35.75;Zimmermann Armin;;15;54.5;14;36.0;-1;0.25;8.75
o;18;44.5;Bienz Romeo;;15;54.5;17;44.75;-1;0.25;8.5

22a;Betschart Fabian (1999);;;;;;;;;;52.75
-;;;Murpf Dario (1999);;;;;;;;8.75
o;6;8.75;Ulrich Pascal (1999);;17;54.0;7;8.5;1;-0.25;8.75
+;11;17.5;Annen David (2000);;25;35.5;9;18.25;-2;0.75;9.75
o;12;27.25;Hegner Ueli (1999);*;16;54.25;12;27.25;0;0.0;8.5
o;15;35.75;Hürlimann Mathias (2000);;16;54.25;15;35.75;0;0.0;8.5
o;19;44.25;Widmer Simon;;17;54.0;19;44.25;0;0.0;8.5

22b;Suter Raphael (2000);;;;;;;;;;52.75
-;;;Staub Ivan (1999);;;;;;;;8.75
o;6;8.75;Fischer Tobias;;19;53.5;7;8.5;1;-0.25;8.5
+;12;17.25;Gisler Mario (2000);;19;53.5;9;18.25;-3;1.0;9.75
o;13;27.0;Zürcher Ueli (2000);;23;45.25;13;27.0;0;0.0;8.75
o;15;35.75;Martin Robin;*;10;55.75;14;36.0;-1;0.25;8.5
o;19;44.25;Gasser Dominik 2;;17;54.0;19;44.25;0;0.0;8.5

22c;Marty Lukas;;;;;;;;;;52.75
o;;;Gisler Mario (2000);;;;;;;;8.75
o;6;8.75;Widmer Simon;;17;54.0;7;8.5;1;-0.25;8.5
o;12;17.25;Gwerder Marco;;25;35.5;13;17.0;1;-0.25;8.5
+;17;25.75;Diethelm Patrick (2001);;31;34.0;18;25.5;1;-0.25;10.0
o;15;35.75;Bachmann Roger;*;11;55.5;15;35.75;0;0.0;8.5
o;19;44.25;von Flüe Michael;;16;54.25;19;44.25;0;0.0;8.5

23a;Zürcher Ueli (2000);;;;;;;;;;45.25
o;;;Streiff Dominik;;;;;;;;8.5
+;7;8.5;Gwerder Marco;;25;35.5;7;8.5;0;0.0;9.75
-;9;18.25;Betschart Daniel;;18;53.75;8;18.5;-1;0.25;8.75
+;13;27.0;Suter Raphael (2000);;22;52.75;13;27.0;0;0.0;9.75
o;11;36.75;Gwerder Christian;**;12;55.25;12;36.5;1;-0.25;8.5

24a;Lagler Christian;;;;;;;;;;37.0
+;;;Schnider Simon (2001);;;;;;;;10.0
-;3;10.0;Hügli Kaj;*;15;54.5;7;8.5;4;-1.5;8.75
+;7;18.75;Bacher Andreas;;20;53.25;7;18.75;0;0.0;9.75
o;7;28.5;Briker Michael;*;8;56.25;8;28.25;1;-0.25;8.5

25a;Grüter Marcel (1999);;;;;;;;;;35.5
o;;;Gander Martin;;;;;;;;8.5
o;7;8.5;Eﬃnger Peter;;12;55.25;7;8.5;0;0.0;8.5
+;13;17.0;Bienz Manuel (1999);;25;35.5;13;17.0;0;0.0;10.0
o;13;27.0;Langenstein Philip;*;13;55.0;15;26.25;2;-0.75;8.5

25b;Annen David (2000);;;;;;;;;;35.5
+;;;Berchtold Kilian (2001);;;;;;;;9.75
o;4;9.75;Gander Benjamin (2000);;19;53.5;6;8.75;2;-1.0;8.5
o;9;18.25;Betschart Fabian (1999);;22;52.75;11;17.5;2;-0.75;8.75
o;13;27.0;Schuler Koni;;12;55.25;14;26.75;1;-0.25;8.5

25c;Küttel Samuel;;;;;;;;;;35.5
o;;;Moos Christoph;;;;;;;;8.5
o;7;8.5;Fellmann Simon;;11;55.5;4;9.75;-3;1.25;8.5
+;13;17.0;Bucher André (2001);;21;53.0;12;17.25;-1;0.25;9.75
-;14;26.75;Zanini David (2000);;21;53.0;13;27.0;-1;0.25;8.75

25d;Bühler Kilian (2000);;;;;;;;;;35.5
+;;;Strickler Fabio (2001);;;;;;;;9.75
-;4;9.75;Zimmermann Armin;;15;54.5;5;9.0;1;-0.75;8.75
o;8;18.5;Keller Janik;*;16;54.25;11;17.5;3;-1.0;8.5
o;13;27.0;von Ah Markus;;12;55.25;13;27.0;0;0.0;8.5

25e;Diethelm Samuel;;;;;;;;;;35.5
o;;;Fessler Linus;;;;;;;;8.5
+;7;8.5;Müller Patrick (1999);;31;34.0;7;8.5;0;0.0;10.0
o;8;18.5;Wyrsch Marco;*;13;55.0;11;17.5;3;-1.0;8.5
o;13;27.0;Wallimann Remo;;12;55.25;13;27.0;0;0.0;8.5

25f;Schnider Simon (2001);;;;;;;;;;35.5
o;;;Lagler Christian;;;;;;;;8.5
o;7;8.5;Ulrich Marcel;;17;54.0;7;8.5;0;0.0;8.5
+;13;17.0;Inderbitzin Karl;;31;34.0;13;17.0;0;0.0;9.75
-;14;26.75;Bünter Rosche (2000);;27;35.0;15;26.25;1;-0.5;8.75

25g;Spichtig Aldo;;;;;;;;;;35.5
o;;;Herger Andreas;;;;;;;;8.5
o;7;8.5;Staub Devin;;25;35.5;7;8.5;0;0.0;8.5
-;13;17.0;Murpf Dario (1999);;20;53.25;11;17.5;-2;0.5;8.75
+;17;25.75;Ulrich Damian (1999);;30;34.25;17;25.75;0;0.0;9.75

25h;Lagler Reto;;;;;;;;;;35.5
o;;;Betschart Marcel;;;;;;;;8.5
+;7;8.5;Müller Patrick (1999);;31;34.0;7;8.5;0;0.0;10.0
o;8;18.5;Felder Seppi;*;13;55.0;12;17.25;4;-1.25;8.5
o;13;27.0;Eﬃnger Peter;;12;55.25;13;27.0;0;0.0;8.5

25i;Grätzer Luca (2001);;;;;;;;;;35.5
o;;;Amrein Lukas (1999);;;;;;;;8.5
+;7;8.5;Bissig Joris (2001);;25;35.5;7;8.5;0;0.0;10.0
o;8;18.5;Bachmann Roger;*;11;55.5;12;17.25;4;-1.25;8.5
o;13;27.0;Murpf Dario (1999);;20;53.25;15;26.25;2;-0.75;8.5

25j;Gwerder Marco;;;;;;;;;;35.5
o;;;Rüttimann Daniel;;;;;;;;8.5
o;7;8.5;Zürcher Ueli (2000);;23;45.25;7;8.5;0;0.0;8.5
+;13;17.0;Marty Lukas;;22;52.75;12;17.25;-1;0.25;10.0
o;13;27.0;Durrer Fabian (1999);;13;55.0;13;27.0;0;0.0;8.5

25k;Bienz Manuel (1999);;;;;;;;;;35.5
o;;;Wyss Sven (2001);;;;;;;;8.5
o;7;8.5;Hauser Roman (2000);;15;54.5;7;8.5;0;0.0;8.5
o;13;17.0;Grüter Marcel (1999);;25;35.5;13;17.0;0;0.0;8.5
+;18;25.5;Hediger Kilian (2001);;31;34.0;18;25.5;0;0.0;10.0

25l;Annen Adrian;;;;;;;;;;35.5
o;;;Reichmuth Roland;;;;;;;;8.5
o;7;8.5;Gasser Dominik 2;;17;54.0;7;8.5;0;0.0;8.5
+;13;17.0;Gisler Patrick;;31;34.0;13;17.0;0;0.0;10.0
o;13;27.0;Amgarten Roman;*;17;54.0;16;26.0;3;-1.0;8.5

25m;Andermatt Erwin (1999);;;;;;;;;;35.5
+;;;Hürlimann Ueli (2001);;;;;;;;9.75
o;4;9.75;Herger Lukas;;8;56.25;5;9.0;1;-0.75;8.5
o;9;18.25;Ulrich Roman (2000);;19;53.5;12;17.25;3;-1.0;8.5
-;14;26.75;von Flüe Michael;;16;54.25;13;27.0;-1;0.25;8.75

25n;Bissig Joris (2001);;;;;;;;;;35.5
o;;;Inderbitzin Dominic (1999);;;;;;;;8.5
o;7;8.5;Grätzer Luca (2001);;25;35.5;7;8.5;0;0.0;8.5
+;13;17.0;Diethelm Patrick (2001);;31;34.0;13;17.0;0;0.0;10.0
o;13;27.0;Forster Christian;;17;54.0;14;26.75;1;-0.25;8.5

25o;Staub Devin;;;;;;;;;;35.5
o;;;Schürpf Bruno;;;;;;;;8.5
+;7;8.5;Spichtig Aldo;;25;35.5;7;8.5;0;0.0;9.75
o;9;18.25;Fink Bruno;*;14;54.75;11;17.5;2;-0.75;8.5
-;14;26.75;Ulrich Marcel;;17;54.0;13;27.0;-1;0.25;8.75

25p;Betschart Silvan;*;;;;;;;;;35.5
o;;;Bucher Christian;*;;;;;;;8.5
-;7;8.5;Kempf Damian;;15;54.5;3;10.0;-4;1.5;8.75
o;12;17.25;Zumstein Patrick;;12;55.25;9;18.25;-3;1.0;8.5
+;17;25.75;Arnold David;;26;35.25;14;26.75;-3;1.0;9.75

25q;Amrein Lukas (1999);;;;;;;;;;35.5
+;;;Grätzer Luca (2001);;;;;;;;9.75
-;4;9.75;Schindler Roland;;28;34.75;6;8.75;2;-1.0;8.75
o;8;18.5;Gwerder Carlo;**;9;56.0;12;17.25;4;-1.25;8.5
o;13;27.0;Lüthy Ralph;;11;55.5;13;27.0;0;0.0;8.5

25r;Arnold Philipp (2000);;;;;;;;;;35.5
o;;;Gemsch Stefan;;;;;;;;8.5
o;7;8.5;Stutzer Michael (1999);;16;54.25;7;8.5;0;0.0;8.5
+;13;17.0;Gerig Dario;;29;34.5;13;17.0;0;0.0;10.0
o;13;27.0;Grab Martin jun. (1999);;13;55.0;13;27.0;0;0.0;8.5

25s;Krieg Silvan (2000);;;;;;;;;;35.5
+;;;Kempf Marco (2000);;;;;;;;10.0
o;3;10.0;Wyss Sven (2001);;18;53.75;4;9.75;1;-0.25;8.5
o;8;18.5;Fischer Markus (2000);;19;53.5;9;18.25;1;-0.25;8.5
o;13;27.0;Elmiger Matthias;;15;54.5;13;27.0;0;0.0;8.5

25t;Troxler Roman;;;;;;;;;;35.5
o;;;Thierstein Marco;;;;;;;;8.5
o;7;8.5;Albert Thomas;;17;54.0;6;8.75;-1;0.25;8.5
+;13;17.0;Reichmuth Jonas (2001);;26;35.25;13;17.0;0;0.0;9.75
-;14;26.75;Gasser Dominik 2;;17;54.0;13;27.0;-1;0.25;8.75

25u;Burch Bruno (2000);;;;;;;;;;35.5
o;;;Kälin Marco (2000);;;;;;;;8.5
o;7;8.5;Kennel Roger (1999);;17;54.0;6;8.75;-1;0.25;8.5
+;13;17.0;Hediger Kilian (2001);;31;34.0;13;17.0;0;0.0;10.0
o;13;27.0;Hürlimann Ueli (2001);;18;53.75;13;27.0;0;0.0;8.5

25v;Auf der Maur Alex (1999);;;;;;;;;;35.5
o;;;Fallegger Joel;;;;;;;;8.5
o;7;8.5;Durrer Fabian (1999);;13;55.0;7;8.5;0;0.0;8.5
o;13;17.0;Schuler Koni;;12;55.25;13;17.0;0;0.0;8.5
+;18;25.5;Müller Patrick (1999);;31;34.0;18;25.5;0;0.0;10.0

25w;Wiget Ueli (1999);;;;;;;;;;35.5
+;;;Gisler Patrick;;;;;;;;10.0
o;3;10.0;Gander Martin;;18;53.75;4;9.75;1;-0.25;8.5
o;8;18.5;Della Torre Simon;;10;55.75;8;18.5;0;0.0;8.5
o;13;27.0;Bissig Fabian;;16;54.25;13;27.0;0;0.0;8.5

25x;Gwerder Beni;;;;;;;;;;35.5
-;;;Albert Thomas;;;;;;;;8.75
+;6;8.75;Elmiger Matthias;;15;54.5;4;9.75;-2;1.0;9.75
o;8;18.5;Heiniger Luca;;19;53.5;9;18.25;1;-0.25;8.5
o;13;27.0;Wyrsch Silvio;;11;55.5;13;27.0;0;0.0;8.5

25y;Troxler Jonas (2000);;;;;;;;;;35.5
+;;;Gasser Dominik 2;;;;;;;;9.75
o;4;9.75;Grab Martin jun. (1999);;13;55.0;6;8.75;2;-1.0;8.75
o;8;18.5;Schilter Daniel;*;20;53.25;10;17.75;2;-0.75;8.5
o;13;27.0;Heinzer Josef;;12;55.25;13;27.0;0;0.0;8.5

26a;Kempf Marco (2000);;;;;;;;;;35.25
o;;;Krieg Silvan (2000);;;;;;;;8.5
o;7;8.5;Kälin Markus (2001);;26;35.25;7;8.5;0;0.0;8.5
+;13;17.0;Zimmermann Lukas (2001);;31;34.0;13;17.0;0;0.0;9.75
o;14;26.75;Fassbind René;*;17;54.0;17;25.75;3;-1.0;8.5

26b;Brunner Timon;;;;;;;;;;35.25
o;;;Heiniger Luca;;;;;;;;8.5
o;7;8.5;Imfeld Beat;;14;54.75;6;8.75;-1;0.25;8.5
o;13;17.0;Steiner Severin (2001);;26;35.25;13;17.0;0;0.0;8.5
+;18;25.5;Inderbitzin Karl;;31;34.0;18;25.5;0;0.0;9.75

26c;Gemsch Stefan;;;;;;;;;;35.25
+;;;Arnold Philipp (2000);;;;;;;;9.75
o;4;9.75;von Flüe Michael;;16;54.25;6;8.75;2;-1.0;8.5
o;9;18.25;Fischer Tobias;;19;53.5;9;18.25;0;0.0;8.5
o;14;26.75;Amgarten Martin;*;17;54.0;14;26.75;0;0.0;8.5

26d;Kälin Marco (2000);;;;;;;;;;35.25
+;;;Burch Bruno (2000);;;;;;;;9.75
o;4;9.75;Durrer Markus (1999);;17;54.0;3;10.0;-1;0.25;8.5
o;9;18.25;Scherer Niklaus;;12;55.25;9;18.25;0;0.0;8.5
o;14;26.75;Burren Patrick (1999);;13;55.0;13;27.0;-1;0.25;8.5

26e;Reichmuth Jonas (2001);;;;;;;;;;35.25
o;;;Wyrsch Silvio;;;;;;;;8.5
o;7;8.5;Hürlimann Ueli (2001);;18;53.75;7;8.5;0;0.0;8.5
o;13;17.0;Troxler Roman;;25;35.5;13;17.0;0;0.0;8.5
+;18;25.5;Gisler Patrick;;31;34.0;18;25.5;0;0.0;9.75

26f;Kälin Markus (2001);;;;;;;;;;35.25
o;;;Fischer Markus (2000);;;;;;;;8.5
+;7;8.5;Kempf Marco (2000);;26;35.25;7;8.5;0;0.0;9.75
o;9;18.25;Scheuber Stefan;;17;54.0;9;18.25;0;0.0;8.5
o;14;26.75;Gisler Mario (2000);;19;53.5;14;26.75;0;0.0;8.5
o;17;35.25;Bürgi Reto;*;9;56.0;13;36.25;-4;1.0;0.0

26g;Inderbitzin Dominic (1999);;;;;;;;;;35.25
+;;;Bissig Joris (2001);;;;;;;;9.75
o;4;9.75;Durrer Lukas (1999);;19;53.5;4;9.75;0;0.0;8.5
o;9;18.25;Walker Roger;;16;54.25;9;18.25;0;0.0;8.5
o;14;26.75;Ulrich Pascal (1999);;17;54.0;8;28.25;-6;1.5;8.5

26h;Arnold David;;;;;;;;;;35.25
+;;;Bünter Rosche (2000);;;;;;;;9.75
o;4;9.75;Hirsiger Alexander;;12;55.25;7;8.5;3;-1.25;8.5
o;9;18.25;Gwerder Andreas;*;16;54.25;11;17.5;2;-0.75;8.5
o;14;26.75;Betschart Silvan;*;25;35.5;17;25.75;3;-1.0;8.5

26i;Strickler Fabio (2001);;;;;;;;;;35.25
o;;;Bühler Kilian (2000);;;;;;;;8.5
o;7;8.5;Bacher Andreas;;20;53.25;6;8.75;-1;0.25;8.5
o;13;17.0;Von Euw Adi;;18;53.75;13;17.0;0;0.0;8.5
+;18;25.5;Annen Michael;;31;34.0;18;25.5;0;0.0;9.75

26j;Steiner Severin (2001);;;;;;;;;;35.25
o;;;Scheuber Stefan;;;;;;;;8.5
o;7;8.5;Zgraggen Peter;;20;53.25;6;8.75;-1;0.25;8.5
+;13;17.0;Brunner Timon;;26;35.25;13;17.0;0;0.0;9.75
o;14;26.75;Hauser Roman (2000);;15;54.5;13;27.0;-1;0.25;8.5

27a;Bünter Rosche (2000);;;;;;;;;;35.0
o;;;Arnold David;;;;;;;;8.5
-;7;8.5;Auf der Maur Michael (2000);;29;34.5;7;8.5;0;0.0;9.0
-;11;17.5;Ulrich Damian (1999);;30;34.25;13;17.0;2;-0.5;8.75
-;15;26.25;Schnider Simon (2001);;25;35.5;14;26.75;-1;0.5;8.75

28a;Ulrich Marco;*;;;;;;;;;34.75
-;;;Fink Bruno;*;;;;;;;8.75
-;6;8.75;Fallegger Joel;;15;54.5;3;10.0;-3;1.25;8.75
-;11;17.5;von Ah Markus;;12;55.25;9;18.25;-2;0.75;8.75
o;15;26.25;Anderegg David;*;13;55.0;14;26.75;-1;0.5;8.5

28b;Schindler Roland;;;;;;;;;;34.75
-;;;Zgraggen Peter;;;;;;;;8.75
-;6;8.75;Amrein Lukas (1999);;25;35.5;4;9.75;-2;1.0;8.75
-;11;17.5;Widmer Simon;;17;54.0;9;18.25;-2;0.75;8.75
o;15;26.25;Von Euw Adi;;18;53.75;14;26.75;-1;0.5;8.5

29a;Gisler Lukas (2001);;;;;;;;;;34.5
o;;;Bucher Thomas;;;;;;;;8.5
-;7;8.5;Murpf Dario (1999);;20;53.25;6;8.75;-1;0.25;8.75
o;12;17.25;Zimmermann Reto;;21;53.0;12;17.25;0;0.0;8.5
-;17;25.75;Gerig Dario;;29;34.5;17;25.75;0;0.0;8.75

29b;Gerig Dario;;;;;;;;;;34.5
o;;;Hürlimann Mathias (2000);;;;;;;;8.5
o;7;8.5;von Ah Markus;;12;55.25;7;8.5;0;0.0;8.5
o;13;17.0;Arnold Philipp (2000);;25;35.5;13;17.0;0;0.0;8.75
