3390-2017-08-12_Schaffhauser_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.25
o;2;38.5;Burkhalter Stefan;***;6;57.0;3;38.25;1;-0.25;8.5
o;7;47.0;Koller Martin;*;3;57.75;4;47.75;-3;0.75;8.5

12b;Poltera Andrin (1999);;;;;;;;;;55.5
o;;;Candrian Gian-Luca;;;;;;;;8.5
+;5;8.5;Winzeler Simon (2000);;18;54.0;4;8.75;-1;0.25;10.0
o;6;18.5;Braun Mathias;*;14;55.0;7;18.25;1;-0.25;8.5
+;11;27.0;Lusti Remo (2001);;23;52.5;11;27.0;0;0.0;10.0
o;8;37.0;Ackermann Remo;*;8;56.5;8;37.0;0;0.0;8.5
+;13;45.5;Bottlang Michael;;17;54.25;12;45.75;-1;0.25;10.0

12c;Coray Beda;**;;;;;;;;;55.5
o;;;Schlegel Sandro;**;;;;;;;8.5
+;5;8.5;Flütsch Marco (1999);;13;55.25;1;10.0;-4;1.5;10.0
-;6;18.5;Vollenweider Jeremy;*;7;56.75;3;19.5;-3;1.0;8.75
+;10;27.25;Keller Andreas;*;18;54.0;6;28.25;-4;1.0;9.75
+;8;37.0;Hugelshofer Lars (2001);;14;55.0;10;36.5;2;-0.5;10.0
o;7;47.0;Odermatt Christoph;*;7;56.75;8;46.75;1;-0.25;8.5

12d;Jörger Corsin;;;;;;;;;;55.5
+;;;Schnyder Christian;;;;;;;;10.0
o;1;10.0;Ackermann Remo;*;8;56.5;5;8.5;4;-1.5;8.5
o;6;18.5;Wetter Silvan (2000);;16;54.5;6;18.5;0;0.0;8.5
o;11;27.0;Schlegel Reto;*;12;55.5;11;27.0;0;0.0;8.5
+;14;35.5;Harder Benj;;17;54.25;13;35.75;-1;0.25;10.0
+;13;45.5;Ochsner Reto (2000);;19;53.75;14;45.25;1;-0.25;10.0

12e;Breitenmoser Simon;;;;;;;;;;55.5
-;;;Wettstein Daniel;;;;;;;;8.75
+;4;8.75;Sprecher Martin (2000);;22;52.75;5;8.5;1;-0.25;9.75
-;6;18.5;Dändliker Shane;*;9;56.25;6;18.5;0;0.0;8.75
o;10;27.25;Bickel Stefan;*;13;55.25;11;27.0;1;-0.25;8.5
+;13;35.75;Schnyder Christian;;18;54.0;14;35.5;1;-0.25;10.0
+;12;45.75;Caflisch Stefan;;17;54.25;12;45.75;0;0.0;9.75

12f;Inauen Andreas;*;;;;;;;;;55.5
o;;;Bernold Michael (1999);*;;;;;;;8.75
o;4;8.75;Lehmann Philipp (1999);;15;54.75;2;9.75;-2;1.0;8.5
+;11;17.25;Wetter Marcel;;28;34.25;12;17.0;1;-0.25;10.0
+;10;27.25;Winzeler Dominik (2000);;19;53.75;7;28.0;-3;0.75;9.75
+;8;37.0;Bürgler Patrick;;14;55.0;4;38.0;-4;1.0;10.0
o;7;47.0;Vögeli Sven;*;6;57.0;6;47.25;-1;0.25;8.5

12g;Schlegel Reto;*;;;;;;;;;55.5
o;;;Keller Andreas;*;;;;;;;8.5
o;5;8.5;Kammermann Dominik;;14;55.0;3;9.0;-2;0.5;8.5
+;12;17.0;Sprecher Martin (2000);;22;52.75;12;17.0;0;0.0;10.0
+;11;27.0;Jörger Corsin;;12;55.5;11;27.0;0;0.0;10.0
o;8;37.0;Roth Martin;*;4;57.5;4;38.0;-4;1.0;8.75
+;12;45.75;Gartmann Mauro;*;16;54.5;11;46.0;-1;0.25;9.75

12h;Bollhalder Manuel (2001);;;;;;;;;;55.5
+;;;Raschle Adrian;;;;;;;;10.0
+;1;10.0;Bickel Stefan;*;13;55.25;5;8.5;4;-1.5;10.0
o;1;20.0;Koller Martin;*;3;57.75;6;18.5;5;-1.5;8.5
o;5;28.5;Braun Mathias;*;14;55.0;7;28.0;2;-0.5;8.5
o;8;37.0;Hari Michi;;9;56.25;10;36.5;2;-0.5;8.5
+;13;45.5;Dobler Mathias;;18;54.0;13;45.5;0;0.0;10.0

12i;Pfister Florian;*;;;;;;;;;55.5
+;;;Riget Ivan;*;;;;;;;9.75
o;2;9.75;Schmid Dominik;**;6;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Salnajs Leo;;17;54.25;5;18.75;-2;0.5;9.75
-;7;28.0;Gwerder Andreas;**;15;54.75;10;27.25;3;-0.75;9.0
o;8;37.0;Koch Thomas;*;13;55.25;8;37.0;0;0.0;8.5
+;13;45.5;Kunz Daniel;;16;54.5;12;45.75;-1;0.25;10.0

13a;Arztmann Beda;*;;;;;;;;;55.25
+;;;Büsser André;*;;;;;;;9.75
o;2;9.75;Jöhl Christian;*;8;56.5;1;10.0;-1;0.25;8.75
+;6;18.5;Kobler Janosch (2000);;19;53.75;3;19.5;-3;1.0;9.75
o;6;28.25;Giger Urs;*;8;56.5;6;28.25;0;0.0;8.5
o;9;36.75;Baumann Rico;*;9;56.25;9;36.75;0;0.0;8.5
+;14;45.25;Fäh Tobias;;18;54.0;13;45.5;-1;0.25;10.0
o;13;55.25;Bäbler Dominik;*;16;54.5;16;54.5;3;-0.75;0.0

13b;Burkhard Tobias;;;;;;;;;;55.25
+;;;Schönenberger Björn;;;;;;;;9.75
o;2;9.75;Ott Matthias (1999);;13;55.25;1;10.0;-1;0.25;8.5
o;7;18.25;Inauen Franz;*;30;27.0;12;17.0;5;-1.25;8.5
+;12;26.75;Winzeler Simon (2000);;18;54.0;11;27.0;-1;0.25;10.0
o;9;36.75;Gartmann Mauro;*;16;54.5;12;36.0;3;-0.75;8.5
+;14;45.25;Schwyn Patrick (1999);;17;54.25;12;45.75;-2;0.5;10.0

13c;Landolt Reto;*;;;;;;;;;55.25
-;;;Dörig Erich;*;;;;;;;9.0
+;3;9.0;Gartmann Mauro;*;16;54.5;4;8.75;1;-0.25;10.0
o;4;19.0;Forrer Arnold;***;11;55.75;5;18.75;1;-0.25;8.5
+;9;27.5;Harder Benj;;17;54.25;10;27.25;1;-0.25;10.0
-;6;37.5;Vestner Roman;*;13;55.25;4;38.0;-2;0.5;8.75
-;10;46.25;Riget Florian;;13;55.25;10;46.25;0;0.0;9.0

13d;Büsser André;*;;;;;;;;;55.25
o;;;Arztmann Beda;*;;;;;;;8.5
+;5;8.5;Buchmann Michael;;24;35.5;1;10.0;-4;1.5;10.0
+;6;18.5;Schwyn Patrick (1999);;17;54.25;2;19.75;-4;1.25;9.75
o;6;28.25;Koller Martin;*;3;57.75;6;28.25;0;0.0;8.5
o;9;36.75;Bickel Stefan;*;13;55.25;9;36.75;0;0.0;8.5
+;14;45.25;Salnajs Leo;;17;54.25;12;45.75;-2;0.5;10.0

13e;Bickel Stefan;*;;;;;;;;;55.25
o;;;Jöhl Christian;*;;;;;;;8.5
o;5;8.5;Bollhalder Manuel (2001);;12;55.5;1;10.0;-4;1.5;8.5
+;12;17.0;Knellwolf Sebastian (2001);;25;35.25;7;18.25;-5;1.25;10.0
+;11;27.0;Breitenmoser Simon;;12;55.5;10;27.25;-1;0.25;9.75
+;9;36.75;Büsser André;*;13;55.25;9;36.75;0;0.0;10.0
o;8;46.75;Schlegel Sandro;**;6;57.0;6;47.25;-2;0.5;8.5

13f;Kuhn Roman;*;;;;;;;;;55.25
o;;;Schudel Simon;*;;;;;;;8.5
+;5;8.5;Hari Michi;;9;56.25;2;9.75;-3;1.25;10.0
o;6;18.5;Schwyn Adrian;;7;56.75;1;20.0;-5;1.5;8.5
o;11;27.0;Kunz Daniel;;16;54.5;11;27.0;0;0.0;8.5
+;14;35.5;Hauser Simon;;18;54.0;14;35.5;0;0.0;9.75
+;14;45.25;Hodler Mathias;;17;54.25;12;45.75;-2;0.5;10.0

13g;Funk Nicola (1999);;;;;;;;;;55.25
+;;;Rotach Lars (2000);;;;;;;;9.75
o;2;9.75;Eugster Ruedi;**;6;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Bänziger Peter;;31;26.0;10;17.5;3;-0.75;9.75
+;7;28.0;Dumelin David;*;8;56.5;7;28.0;0;0.0;10.0
o;4;38.0;Good Marco;*;5;57.25;7;37.25;3;-0.75;8.75
o;8;46.75;Jöhl Christian;*;8;56.5;9;46.5;1;-0.25;8.5

13h;Riget Florian;;;;;;;;;;55.25
+;;;Keller Werner;;;;;;;;10.0
-;1;10.0;Gwerder Andreas;**;15;54.75;5;8.5;4;-1.5;9.0
+;4;19.0;Kunz Daniel;;16;54.5;6;18.5;2;-0.5;9.75
o;4;28.75;Schlegel Sandro;**;6;57.0;5;28.5;1;-0.25;8.5
-;7;37.25;Lehmann Philipp (1999);;15;54.75;8;37.0;1;-0.25;9.0
-;10;46.25;Landolt Reto;*;13;55.25;10;46.25;0;0.0;9.0

13i;Ott Matthias (1999);;;;;;;;;;55.25
+;;;Büchler Livio (2001);;;;;;;;10.0
+;1;10.0;Burkhard Tobias;;13;55.25;2;9.75;1;-0.25;10.0
o;1;20.0;Schlegel Sandro;**;6;57.0;6;18.5;5;-1.5;8.5
o;5;28.5;Bernold Michael (1999);*;12;55.5;5;28.5;0;0.0;8.5
o;8;37.0;Salnajs Leo;;17;54.25;12;36.0;4;-1.0;8.5
+;13;45.5;Hugener Adrian (2000);;23;52.5;18;44.0;5;-1.5;9.75

13j;Vestner Roman;*;;;;;;;;;55.25
-;;;Vögeli Sven;*;;;;;;;8.75
+;4;8.75;Wettstein Daniel;;17;54.25;4;8.75;0;0.0;9.75
+;6;18.5;Hugelshofer Lars (2001);;14;55.0;7;18.25;1;-0.25;9.75
+;6;28.25;Odermatt Christoph;*;7;56.75;6;28.25;0;0.0;9.75
-;4;38.0;Landolt Reto;*;13;55.25;6;37.5;2;-0.5;8.75
o;8;46.75;Ackermann Remo;*;8;56.5;8;46.75;0;0.0;8.5

13k;Flütsch Marco (1999);;;;;;;;;;55.25
+;;;Maglia Leo (1999);;;;;;;;10.0
o;1;10.0;Coray Beda;**;12;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Good Marco;*;5;57.25;5;18.75;-1;0.25;8.5
o;11;27.0;Dobler Mathias;;18;54.0;11;27.0;0;0.0;8.5
+;14;35.5;Lusti Remo (2001);;23;52.5;14;35.5;0;0.0;9.75
+;14;45.25;Glättli Benny;;23;52.5;18;44.0;4;-1.25;10.0

13l;Fuster Sepp;;;;;;;;;;55.25
+;;;Castelli Fabio (1999);;;;;;;;10.0
-;1;10.0;Riget Ivan;*;15;54.75;5;8.5;4;-1.5;8.75
o;5;18.75;Eugster Ruedi;**;6;57.0;6;18.5;1;-0.25;8.5
+;10;27.25;Tremp Remo (1999);;20;53.25;10;27.25;0;0.0;9.75
o;8;37.0;Odermatt Christoph;*;7;56.75;9;36.75;1;-0.25;8.5
+;13;45.5;Nock Benjamin (2001);;19;53.75;14;45.25;1;-0.25;9.75

13m;Koch Thomas;*;;;;;;;;;55.25
-;;;Koller Martin;*;;;;;;;8.75
+;4;8.75;Bischof Martin;;11;55.75;1;10.0;-3;1.25;10.0
o;5;18.75;Burkhalter Stefan;***;6;57.0;6;18.5;1;-0.25;8.5
+;10;27.25;Hodler Mathias;;17;54.25;10;27.25;0;0.0;9.75
+;8;37.0;Pfister Florian;*;12;55.5;8;37.0;0;0.0;9.75
