3343-2021-06-13_Stoos-Schwinget-ST

1a;Wicki Joel;***;;;;;;;;;58.5
o;4;18.5;Lang Sven;**;9;55.25;5;18.25;1;-0.25;8.75
o;8;27.25;Bürli Roger;**;8;55.5;8;27.25;0;0.0;8.5
o;13;35.75;Ettlin Martin;*;13;54.25;13;35.75;0;0.0;8.5
+;15;44.25;Briker Michael;**;18;52.75;15;44.25;0;0.0;9.75

14c;Reichmuth Roland;*;;;;;;;;;54.0
+;;;Felder Martin;*;;;;;;;10.0
-;1;10.0;Gerber Christian;***;10;55.0;4;8.75;3;-1.25;8.75
-;3;18.75;Colò Kilian;**;16;53.25;4;18.5;1;-0.25;9.0
-;6;27.75;Matthey Mickaël;**;15;53.5;7;27.5;1;-0.25;8.75
-;10;36.5;Zurfluh Roman;**;12;54.5;8;37.0;-2;0.5;8.75
o;11;45.25;Durrer Jonas (2003);*;8;55.5;10;45.5;-1;0.25;8.75

14d;Schmid Simon;*;;;;;;;;;54.0
o;;;Zangger Dominik;*;;;;;;;8.5
o;5;8.5;Klossner Adrian;*;8;55.5;4;8.75;-1;0.25;8.5
+;8;17.0;Mollet Ivan;**;25;34.25;7;17.25;-1;0.25;10.0
o;9;27.0;Arnold Stefan;**;9;55.25;7;27.5;-2;0.5;8.5
o;14;35.5;Cardinaux Victor;**;12;54.5;11;36.25;-3;0.75;8.75
+;15;44.25;Loup Alexandre;*;19;52.5;16;44.0;1;-0.25;9.75

14e;Zangger Dominik;*;;;;;;;;;54.0
+;;;Schmid Simon;*;;;;;;;10.0
o;1;10.0;Schuler Alex;***;10;55.0;4;8.75;3;-1.25;8.5
o;4;18.5;Zurfluh Roman;**;12;54.5;4;18.5;0;0.0;8.5
o;9;27.0;Scherer Niklaus;*;8;55.5;8;27.25;-1;0.25;8.5
o;14;35.5;Kessler Joel;*;11;54.75;12;36.0;-2;0.5;8.5
+;16;44.0;Reichmuth Lukas;*;20;52.25;17;43.75;1;-0.25;10.0

14f;Orlik Curdin;***;;;;;;;;;54.0
o;;;Schurtenberger Sven;***;;;;;;;8.5
o;5;8.5;Arnold Stefan;**;9;55.25;4;8.75;-1;0.25;8.5
+;8;17.0;Steinauer Adrian;**;10;55.0;4;18.5;-4;1.5;9.75
o;10;26.75;Lang Sven;**;9;55.25;5;28.0;-5;1.25;8.5
-;15;35.25;Schürpf Bruno;*;12;54.5;13;35.75;-2;0.5;8.75
+;16;44.0;Müller Roger;*;19;52.5;16;44.0;0;0.0;10.0

14g;Kälin Roland;**;;;;;;;;;54.0
o;;;Haenni Stéphane;**;;;;;;;8.5
o;5;8.5;Ramseier Fritz;**;14;54.0;5;8.5;0;0.0;8.5
o;8;17.0;Gasser Dominik;*;9;55.25;6;17.5;-2;0.5;8.5
+;14;25.5;Mollet Ivan;**;25;34.25;13;25.75;-1;0.25;9.75
+;15;35.25;Riedo Fredy;*;17;53.0;13;35.75;-2;0.5;10.0
o;11;45.25;Leuenberger Michael;*;12;54.5;13;44.75;2;-0.5;8.75

14h;Renfer Lukas;**;;;;;;;;;54.0
-;;;Ambühl Joel;**;;;;;;;8.75
+;4;8.75;Felder Martin;*;16;53.25;5;8.5;1;-0.25;10.0
o;3;18.75;Bieri Marcel;***;2;57.25;4;18.5;1;-0.25;8.25
+;9;27.0;Hess Dominik;*;17;53.0;8;27.25;-1;0.25;9.75
o;9;36.75;Egli Damian;**;10;55.0;11;36.25;2;-0.5;8.5
-;11;45.25;Odermatt Andreas;*;13;54.25;10;45.5;-1;0.25;8.75

15a;Bucher Christian;*;;;;;;;;;53.5
+;;;Durrer Nando;*;;;;;;;9.75
o;2;9.75;Staudenmann Fabian;***;5;56.25;4;8.75;2;-1.0;8.5
o;5;18.25;Weyermann Florian;**;11;54.75;3;18.75;-2;0.5;8.5
-;10;26.75;Rohrer Ueli;*;16;53.25;9;27.0;-1;0.25;9.0
-;13;35.75;Berger Lorenz;**;8;55.5;9;36.75;-4;1.0;8.75
-;14;44.5;Riedo Fredy;*;17;53.0;15;44.25;1;-0.25;9.0

15b;Kramer Dorian;*;;;;;;;;;53.5
-;;;Hess Dominik;*;;;;;;;8.75
-;4;8.75;Odermatt Remo;*;24;34.5;5;8.5;1;-0.25;8.75
-;6;17.5;Schürpf Bruno;*;12;54.5;8;17.0;2;-0.5;8.75
+;11;26.25;Gisler Jonas;*;25;34.25;13;25.75;2;-0.5;10.0
o;11;36.25;Odermatt Andreas;*;13;54.25;13;35.75;2;-0.5;8.5
o;13;44.75;Durrer Nando;*;12;54.5;13;44.75;0;0.0;8.75

15c;Matthey Mickaël;**;;;;;;;;;53.5
-;;;Schuler Alex;***;;;;;;;8.75
+;4;8.75;Ettlin Martin;*;13;54.25;1;10.0;-3;1.25;10.0
-;3;18.75;Scherer Niklaus;*;8;55.5;4;18.5;1;-0.25;8.75
-;7;27.5;Reichmuth Roland;*;14;54.0;6;27.75;-1;0.25;8.75
-;11;36.25;Hess Dominik;*;17;53.0;13;35.75;2;-0.5;8.75
o;12;45.0;Suppiger René;***;9;55.25;11;45.25;-1;0.25;8.5

16a;Colò Kilian;**;;;;;;;;;53.25
o;;;Schuler Christian;***;;;;;;;8.5
+;5;8.5;Gwerder Andreas;*;26;34.0;5;8.5;0;0.0;10.0
-;4;18.5;Reichmuth Roland;*;14;54.0;3;18.75;-1;0.25;9.0
o;7;27.5;Fankhauser Marco;**;7;55.75;8;27.25;1;-0.25;8.5
-;12;36.0;Felder Martin;*;16;53.25;14;35.5;2;-0.5;8.75
o;13;44.75;Steinauer Adrian;**;10;55.0;11;45.25;-2;0.5;8.5

16b;Felder Martin;*;;;;;;;;;53.25
o;;;Reichmuth Roland;*;;;;;;;8.5
o;5;8.5;Renfer Lukas;**;14;54.0;4;8.75;-1;0.25;8.5
+;8;17.0;Leuenberger Michael;*;12;54.5;7;17.25;-1;0.25;9.75
-;10;26.75;Inniger Thomas;***;23;35.0;11;26.25;1;-0.5;8.75
-;14;35.5;Colò Kilian;**;16;53.25;12;36.0;-2;0.5;9.0
-;14;44.5;Piemontesi Pascal;**;17;53.0;15;44.25;1;-0.25;8.75

16c;Rohrer Ueli;*;;;;;;;;;53.25
+;;;Mollet Ivan;**;;;;;;;9.75
o;2;9.75;Weyermann Florian;**;11;54.75;4;8.75;2;-1.0;8.5
o;5;18.25;Gobeli Patrick;**;7;55.75;4;18.5;-1;0.25;8.75
-;9;27.0;Bucher Christian;*;15;53.5;10;26.75;1;-0.25;9.0
-;12;36.0;Piemontesi Pascal;**;17;53.0;14;35.5;2;-0.5;8.75
o;13;44.75;Berger Lorenz;**;8;55.5;10;45.5;-3;0.75;8.5

17a;Kennel Beat;*;;;;;;;;;53.0
-;;;Klossner Adrian;*;;;;;;;8.75
+;4;8.75;Dufey Gil;*;25;34.25;5;8.5;1;-0.25;9.75
o;4;18.5;Aeschbacher Matthias;***;3;57.0;4;18.5;0;0.0;8.5
-;9;27.0;Hofer Sven;*;10;55.0;8;27.25;-1;0.25;8.75
o;13;35.75;Balimann Sandro;*;9;55.25;9;36.75;-4;1.0;8.75
o;14;44.5;Borcard Johann;**;14;54.0;15;44.25;1;-0.25;8.5

17b;Hess Dominik;*;;;;;;;;;53.0
-;;;Kramer Dorian;*;;;;;;;8.75
+;4;8.75;Leuenberger Michael;*;12;54.5;5;8.5;1;-0.25;10.0
o;3;18.75;von Weissenfluh Kilian;***;3;57.0;4;18.5;1;-0.25;8.5
o;8;27.25;Renfer Lukas;**;14;54.0;9;27.0;1;-0.25;8.5
-;13;35.75;Matthey Mickaël;**;15;53.5;11;36.25;-2;0.5;8.75
o;14;44.5;Scherer Niklaus;*;8;55.5;10;45.5;-4;1.0;8.5

17c;Dousse Michel;**;;;;;;;;;53.0
o;;;Egli Damian;**;;;;;;;8.5
o;5;8.5;Ulrich Marco;*;6;56.0;2;9.75;-3;1.25;8.5
-;8;17.0;Odermatt Remo;*;24;34.5;7;17.25;-1;0.25;8.75
+;13;25.75;Gwerder Andreas;*;26;34.0;14;25.5;1;-0.25;10.0
-;13;35.75;Müller Roger;*;19;52.5;15;35.25;2;-0.5;8.75
o;14;44.5;Schürpf Bruno;*;12;54.5;14;44.5;0;0.0;8.5

17d;Riedo Fredy;*;;;;;;;;;53.0
+;;;Troxler Jonas;*;;;;;;;10.0
o;1;10.0;Betschart Patrick;*;13;54.25;1;10.0;0;0.0;8.5
o;4;18.5;Fankhauser Erich;***;3;57.0;4;18.5;0;0.0;8.75
o;8;27.25;Arnold Raphael;**;9;55.25;6;27.75;-2;0.5;8.5
o;13;35.75;Kälin Roland;**;14;54.0;15;35.25;2;-0.5;8.5
-;15;44.25;Bucher Christian;*;15;53.5;14;44.5;-1;0.25;8.75

17e;Piemontesi Pascal;**;;;;;;;;;53.0
o;;;Suppiger René;***;;;;;;;8.5
-;5;8.5;Scherer Niklaus;*;8;55.5;2;9.75;-3;1.25;8.75
o;7;17.25;Odermatt Andreas;*;13;54.25;6;17.5;-1;0.25;8.5
+;13;25.75;Betschart Marcel;*;25;34.25;13;25.75;0;0.0;9.75
-;14;35.5;Rohrer Ueli;*;16;53.25;12;36.0;-2;0.5;8.75
-;15;44.25;Felder Martin;*;16;53.25;14;44.5;-1;0.25;8.75

18a;Briker Michael;**;;;;;;;;;52.75
o;;;Wittwer Jan;*;;;;;;;8.5
o;5;8.5;Waser Dominik;**;9;55.25;5;8.5;0;0.0;8.5
o;8;17.0;Müller Roger;*;19;52.5;8;17.0;0;0.0;8.5
+;14;25.5;Dufey Gil;*;25;34.25;13;25.75;-1;0.25;9.75
-;15;35.25;Leuenberger Michael;*;12;54.5;13;35.75;-2;0.5;9.0
o;15;44.25;Ramseier Fritz;**;14;54.0;15;44.25;0;0.0;8.5

18b;Haenni Stéphane;**;;;;;;;;;52.75
+;;;Kälin Roland;**;;;;;;;9.75
o;2;9.75;Wicki Joel;***;1;58.5;2;9.75;0;0.0;8.5
-;5;18.25;Arnold Stefan;**;9;55.25;3;18.75;-2;0.5;8.75
o;9;27.0;Waser Dominik;**;9;55.25;9;27.0;0;0.0;8.75
o;13;35.75;Durrer Jonas (2003);*;8;55.5;14;35.5;1;-0.25;8.5
o;15;44.25;Bürli Roger;**;8;55.5;10;45.5;-5;1.25;8.5

19a;Müller Roger;*;;;;;;;;;52.5
o;;;Loup Alexandre;*;;;;;;;8.5
o;5;8.5;Kessler Joel;*;11;54.75;4;8.75;-1;0.25;8.5
+;8;17.0;Briker Michael;**;18;52.75;8;17.0;0;0.0;9.75
o;10;26.75;Schürpf Bruno;*;12;54.5;13;25.75;3;-1.0;8.5
-;15;35.25;Dousse Michel;**;17;53.0;13;35.75;-2;0.5;8.75
o;16;44.0;Orlik Curdin;***;14;54.0;16;44.0;0;0.0;8.5

19b;Loup Alexandre;*;;;;;;;;;52.5
+;;;Müller Roger;*;;;;;;;9.75
o;2;9.75;Arnold Raphael;**;9;55.25;4;8.75;2;-1.0;8.5
o;5;18.25;Ambühl Joel;**;6;56.0;6;17.5;1;-0.75;8.5
o;10;26.75;Heiniger Marco;*;6;56.0;8;27.25;-2;0.5;8.5
-;15;35.25;Durrer Nando;*;12;54.5;13;35.75;-2;0.5;8.75
o;16;44.0;Schmid Simon;*;14;54.0;15;44.25;-1;0.25;8.5

20a;Reichmuth Lukas;*;;;;;;;;;52.25
+;;;Dufey Gil;*;;;;;;;9.75
o;2;9.75;Gottofrey Marc;**;7;55.75;4;8.75;2;-1.0;8.5
o;5;18.25;Kramer Lario;***;3;57.0;4;18.5;-1;0.25;8.5
o;10;26.75;Balimann Sandro;*;9;55.25;9;27.0;-1;0.25;8.5
o;15;35.25;Hofer Sven;*;10;55.0;12;36.0;-3;0.75;8.5
o;17;43.75;Zangger Dominik;*;14;54.0;16;44.0;-1;0.25;8.5

21a;Gwerder Michael;***;;;;;;;;;37.5
+;;;Staudenmann Fabian;***;;;;;;;9.75
+;2;9.75;Borcard Johann;**;14;54.0;4;8.75;2;-1.0;10.0
-;1;19.75;Arnold Raphael;**;9;55.25;3;18.75;2;-1.0;9.0
o;2;28.75;Aeschbacher Matthias;***;3;57.0;3;28.5;1;-0.25;8.75

22a;Stöckli Stefan;***;;;;;;;;;36.0
-;;;Mathys Simon;**;;;;;;;8.75
+;4;8.75;Ducrest Etienne;*;13;54.25;1;10.0;-3;1.25;10.0
-;3;18.75;Ledermann Michael;*;6;56.0;2;19.5;-1;0.75;8.75
o;7;27.5;Gasser Dominik;*;9;55.25;7;27.5;0;0.0;8.5

23a;Inniger Thomas;***;;;;;;;;;35.0
-;;;Fankhauser Erich;***;;;;;;;8.75
-;4;8.75;Heiniger Marco;*;6;56.0;1;10.0;-3;1.25;8.75
-;6;17.5;Durrer Nando;*;12;54.5;5;18.25;-1;0.75;8.75
-;11;26.25;Felder Martin;*;16;53.25;10;26.75;-1;0.5;8.75

24a;Duplan Steve;***;;;;;;;;;34.5
o;;;Nötzli Reto;***;;;;;;;8.5
-;5;8.5;Betschart Patrick;*;13;54.25;1;10.0;-4;1.5;8.75
-;7;17.25;Durrer Jonas (2003);*;8;55.5;5;18.25;-2;1.0;8.75
o;12;26.0;Fellmann Roman;**;7;55.75;8;27.25;-4;1.25;8.5

24b;Odermatt Remo;*;;;;;;;;;34.5
o;;;Ulrich Marco;*;;;;;;;8.5
-;5;8.5;Kramer Dorian;*;15;53.5;4;8.75;-1;0.25;8.75
-;7;17.25;Dousse Michel;**;17;53.0;8;17.0;1;-0.25;8.75
o;12;26.0;Betschart Patrick;*;13;54.25;8;27.25;-4;1.25;8.5

25a;Mollet Ivan;**;;;;;;;;;34.25
o;;;Rohrer Ueli;*;;;;;;;8.5
-;5;8.5;Odermatt Andreas;*;13;54.25;4;8.75;-1;0.25;8.75
o;7;17.25;Schmid Simon;*;14;54.0;8;17.0;1;-0.25;8.5
o;13;25.75;Kälin Roland;**;14;54.0;14;25.5;1;-0.25;8.5

25b;Dufey Gil;*;;;;;;;;;34.25
o;;;Reichmuth Lukas;*;;;;;;;8.5
o;5;8.5;Kennel Beat;*;17;53.0;4;8.75;-1;0.25;8.5
-;8;17.0;Gisler Jonas;*;25;34.25;8;17.0;0;0.0;8.75
o;13;25.75;Briker Michael;**;18;52.75;14;25.5;1;-0.25;8.5

25c;Betschart Marcel;*;;;;;;;;;34.25
o;;;Ledermann Michael;*;;;;;;;8.75
o;4;8.75;Fankhauser Marco;**;7;55.75;4;8.75;0;0.0;8.5
o;7;17.25;Borcard Johann;**;14;54.0;7;17.25;0;0.0;8.5
o;13;25.75;Piemontesi Pascal;**;17;53.0;13;25.75;0;0.0;8.5

25d;Gisler Jonas;*;;;;;;;;;34.25
o;;;Hofer Sven;*;;;;;;;8.5
o;5;8.5;Balimann Sandro;*;9;55.25;5;8.5;0;0.0;8.5
-;8;17.0;Dufey Gil;*;25;34.25;8;17.0;0;0.0;8.75
o;13;25.75;Kramer Dorian;*;15;53.5;11;26.25;-2;0.5;8.5

26a;Troxler Jonas;*;;;;;;;;;34.0
o;;;Riedo Fredy;*;;;;;;;8.5
o;5;8.5;Steinauer Adrian;**;10;55.0;5;8.5;0;0.0;8.5
o;8;17.0;Cardinaux Victor;**;12;54.5;7;17.25;-1;0.25;8.5
o;14;25.5;Leuenberger Michael;*;12;54.5;13;25.75;-1;0.25;8.5

26b;Gwerder Andreas;*;;;;;;;;;34.0
o;;;Ettlin Martin;*;;;;;;;8.5
o;5;8.5;Colò Kilian;**;16;53.25;5;8.5;0;0.0;8.5
o;8;17.0;Bürli Roger;**;8;55.5;7;17.25;-1;0.25;8.5
o;14;25.5;Dousse Michel;**;17;53.0;13;25.75;-1;0.25;8.5

27a;Van Messel Noe;**;;;;;;;;;17.5
-;;;Gottofrey Marc;**;;;;;;;9.0
o;3;9.0;Ledermann Michael;*;6;56.0;2;9.75;-1;0.75;8.5

28a;Mathys Simon;**;;;;;;;;;17.25
-;;;Stöckli Stefan;***;;;;;;;8.75
o;4;8.75;Durrer Jonas (2003);*;8;55.5;5;8.5;1;-0.25;8.5

