3773-2017-05-28_103_StGaller_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;58.5
+;7;37.25;Bommer Christoph;;14;55.0;9;36.75;2;-0.5;10.0
o;6;47.25;Leuppi Samir;**;4;57.5;4;47.75;-2;0.5;8.5

11h;Kammermann Thomas;*;;;;;;;;;55.75
-;;;Good Marco;*;;;;;;;9.0
+;3;9.0;Tremp Remo (1999);;19;53.75;2;9.75;-1;0.75;9.75
o;5;18.75;Oertig Dominik;**;2;58.25;5;18.75;0;0.0;8.5
+;10;27.25;Rotach Lars (2000);;17;54.25;10;27.25;0;0.0;10.0
o;7;37.25;Eugster Ruedi;**;5;57.25;6;37.5;-1;0.25;8.5
+;12;45.75;Schiess Christian;;19;53.75;14;45.25;2;-0.5;10.0

11i;Wickli Beat;**;;;;;;;;;55.75
-;;;Kessler Joel;*;;;;;;;8.75
+;4;8.75;Dändliker Shane;;7;56.75;2;9.75;-2;1.0;9.75
-;6;18.5;Zbinden Marc;*;11;55.75;6;18.5;0;0.0;9.0
+;9;27.5;Reichmuth Beat;;13;55.25;5;28.5;-4;1.0;9.75
+;7;37.25;Inauen Franz;*;12;55.5;8;37.0;1;-0.25;9.75
o;7;47.0;Hasler Florian;**;6;57.0;7;47.0;0;0.0;8.75

11j;Rychen Roger;***;;;;;;;;;55.75
o;;;Bösch Daniel;***;;;;;;;8.5
+;5;8.5;Baumann Rico;*;4;57.5;2;9.75;-3;1.25;10.0
-;6;18.5;Roth Martin;*;13;55.25;3;19.5;-3;1.0;9.0
+;9;27.5;Dörig Erich;*;14;55.0;8;27.75;-1;0.25;9.75
+;7;37.25;Bäbler Dominik;*;7;56.75;2;38.5;-5;1.25;9.75
o;7;47.0;Notz Beni;***;6;57.0;7;47.0;0;0.0;8.75

12a;Kuster Thomas;*;;;;;;;;;55.5
-;;;Rütsche Stefan;*;;;;;;;8.75
+;4;8.75;Stadelmann Patrick (2000);;25;35.5;1;10.0;-3;1.25;10.0
+;5;18.75;Stauffacher Martin;;18;54.0;2;19.75;-3;1.0;9.75
-;5;28.5;Krähenbühl Tobias;***;12;55.5;7;28.0;2;-0.5;8.75
+;7;37.25;Egli Patrick;;18;54.0;8;37.0;1;-0.25;9.75
o;7;47.0;Hochholdinger Roman;**;7;56.75;8;46.75;1;-0.25;8.5

12b;Bucher Roland;;;;;;;;;;55.5
-;;;Schmucki Ivo;;;;;;;;8.75
-;4;8.75;Rütsche Stefan;*;14;55.0;4;8.75;0;0.0;8.75
+;9;17.5;Wildhaber Jannik (1999);;21;53.25;9;17.5;0;0.0;10.0
o;9;27.5;Battaglia Ursin;**;6;57.0;10;27.25;1;-0.25;8.5
+;12;36.0;Zahner Stefan;;15;54.75;10;36.5;-2;0.5;9.75
+;12;45.75;Raymann David;*;19;53.75;14;45.25;2;-0.5;9.75

12c;Poltera Andrin (1999);;;;;;;;;;55.5
o;;;Ott Damian (2000);;;;;;;;8.5
+;5;8.5;Weber Erwin (2000);;26;35.25;5;8.5;0;0.0;9.75
-;7;18.25;Truniger Manuel;*;29;34.5;11;17.0;4;-1.25;8.75
-;11;27.0;Büsser Remo;;16;54.5;10;27.25;-1;0.25;8.75
+;13;35.75;Wicki Cédric;;17;54.25;13;35.75;0;0.0;9.75
+;13;45.5;Wetter Marcel;;18;54.0;13;45.5;0;0.0;10.0

12d;Schmid Patrick;*;;;;;;;;;55.5
+;;;Bernold Edi;**;;;;;;;10.0
o;1;10.0;Kid Simon;**;6;57.0;2;9.75;1;-0.25;8.5
+;6;18.5;Büsser André;;7;56.75;2;19.75;-4;1.25;10.0
+;5;28.5;Egli Patrick;;18;54.0;5;28.5;0;0.0;10.0
o;2;38.5;Bösch Daniel;***;1;58.5;2;38.5;0;0.0;8.5
o;7;47.0;Eugster Ruedi;**;5;57.25;5;47.5;-2;0.5;8.5

12e;Burkhard Tobias;;;;;;;;;;55.5
+;;;Bollhalder Manuel (2001);;;;;;;;10.0
o;1;10.0;Elmer Adrian;*;14;55.0;5;8.5;4;-1.5;8.5
o;6;18.5;Scherrer Willi;;17;54.25;5;18.75;-1;0.25;8.5
+;11;27.0;Stadelmann Patrick (2000);;25;35.5;11;27.0;0;0.0;10.0
+;8;37.0;Schrepfer Roy;;17;54.25;8;37.0;0;0.0;10.0
o;7;47.0;Riget Tobias;**;5;57.25;6;47.25;-1;0.25;8.5

12f;Jörger Corsin;;;;;;;;;;55.5
+;;;Schlegel Sämi (2000);;;;;;;;10.0
o;1;10.0;Oertig Adrian;**;7;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Baumgartner Alexander;;22;53.0;6;18.5;0;0.0;10.0
o;5;28.5;Oertig Simon;;10;56.0;5;28.5;0;0.0;8.5
o;8;37.0;Bernold Christian;**;3;57.75;5;37.75;-3;0.75;8.5
+;13;45.5;Ulmann Fabian (1999);;18;54.0;13;45.5;0;0.0;10.0

12g;Alder Armin;;;;;;;;;;55.5
+;;;Mathis Patrick;;;;;;;;9.75
o;2;9.75;Roth Martin;*;13;55.25;2;9.75;0;0.0;8.75
+;6;18.5;Tremp Remo (1999);;19;53.75;7;18.25;1;-0.25;10.0
o;5;28.5;Nägeli Marco;*;10;56.0;5;28.5;0;0.0;8.5
+;8;37.0;Kobler Janosch (2000);;19;53.75;9;36.75;1;-0.25;9.75
-;8;46.75;Wolfer Lukas;*;14;55.0;10;46.25;2;-0.5;8.75

12h;Brügger Stefan;*;;;;;;;;;55.5
o;;;Baumann Rico;*;;;;;;;8.75
+;4;8.75;Scherrer Pascal;;19;53.75;1;10.0;-3;1.25;9.75
+;6;18.5;Wetter Silvan (2000);;15;54.75;6;18.5;0;0.0;10.0
o;5;28.5;Bäbler Dominik;*;7;56.75;5;28.5;0;0.0;8.75
+;7;37.25;Stauffacher Martin;;18;54.0;8;37.0;1;-0.25;9.75
o;7;47.0;Oertig Adrian;**;7;56.75;7;47.0;0;0.0;8.5

12i;Gerig Marcel;;;;;;;;;;55.5
o;;;Reichmuth Beat;;;;;;;;8.5
+;5;8.5;Tritten Robin;;19;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Inauen Franz;*;12;55.5;11;17.0;5;-1.5;8.5
-;11;27.0;Eugster Silvio;;28;34.75;15;26.0;4;-1.0;8.75
+;13;35.75;Baumgartner Alexander;;22;53.0;13;35.75;0;0.0;10.0
+;12;45.75;Schnyder Christian;;18;54.0;13;45.5;1;-0.25;9.75

12j;Jöhl Christian;*;;;;;;;;;55.5
o;;;Vogel Beat;*;;;;;;;8.5
+;5;8.5;Wild Thomas;;18;54.0;1;10.0;-4;1.5;9.75
+;7;18.25;Eisenring Daniel;;19;53.75;6;18.5;-1;0.25;10.0
o;6;28.25;Bernold Christian;**;3;57.75;8;27.75;2;-0.5;8.5
+;9;36.75;Scherrer Pascal;;19;53.75;9;36.75;0;0.0;10.0
o;8;46.75;Bernold Edi;**;7;56.75;7;47.0;-1;0.25;8.75

12k;Güntensperger Marcel;*;;;;;;;;;55.5
o;;;Koller Martin;*;;;;;;;8.5
+;5;8.5;Schnyder Christian;;18;54.0;1;10.0;-4;1.5;10.0
o;6;18.5;Notz Beni;***;6;57.0;6;18.5;0;0.0;8.5
+;11;27.0;Schumacher Florian (2001);;25;35.5;11;27.0;0;0.0;10.0
+;8;37.0;Funk Nicola (1999);;13;55.25;9;36.75;1;-0.25;10.0
o;7;47.0;Gmür Pirmin;*;8;56.5;8;46.75;1;-0.25;8.5

12l;Bärtsch Fabian (2000);;;;;;;;;;55.5
+;;;Roth Peter;;;;;;;;10.0
-;1;10.0;Bühler Hannes;*;12;55.5;4;8.75;3;-1.25;8.75
o;5;18.75;Höfliger Andreas;**;11;55.75;6;18.5;1;-0.25;8.5
o;10;27.25;Wey Nicola;*;18;54.0;11;27.0;1;-0.25;8.5
+;13;35.75;Büsser Remo;;16;54.5;12;36.0;-1;0.25;9.75
+;13;45.5;Harder Benj;;18;54.0;13;45.5;0;0.0;10.0

12m;Bühler Hannes;*;;;;;;;;;55.5
-;;;Vestner Roman;*;;;;;;;8.75
-;4;8.75;Bärtsch Fabian (2000);;12;55.5;1;10.0;-3;1.25;8.75
+;9;17.5;Baumann Elia (2000);;25;35.5;6;18.5;-3;1.0;10.0
o;9;27.5;Bless Michael;***;5;57.25;10;27.25;1;-0.25;8.5
+;12;36.0;Wildhaber Jannik (1999);;21;53.25;12;36.0;0;0.0;9.75
+;12;45.75;Vestner Bruno;*;17;54.25;12;45.75;0;0.0;9.75

12n;Krähenbühl Tobias;***;;;;;;;;;55.5
o;;;Hersche Martin;***;;;;;;;8.5
+;5;8.5;Bäbler Dominik;*;7;56.75;1;10.0;-4;1.5;9.75
+;7;18.25;Schläpfer Matthias;*;13;55.25;6;18.5;-1;0.25;9.75
-;7;28.0;Kuster Thomas;*;12;55.5;5;28.5;-2;0.5;9.0
+;8;37.0;Wittenwiler Roman;;12;55.5;2;38.5;-6;1.5;9.75
-;8;46.75;Schnurrenberger Roman;**;15;54.75;11;46.0;3;-0.75;8.75

12o;Wittenwiler Roman;;;;;;;;;;55.5
+;;;Breitenmoser Simon;;;;;;;;10.0
o;1;10.0;Bernold Christian;**;3;57.75;4;8.75;3;-1.25;8.5
+;6;18.5;Rütsche Stefan;*;14;55.0;9;17.5;3;-1.0;10.0
+;5;28.5;Vogel Beat;*;15;54.75;7;28.0;2;-0.5;10.0
o;2;38.5;Krähenbühl Tobias;***;12;55.5;8;37.0;6;-1.5;8.5
o;7;47.0;Bernold Michael (1999);;4;57.5;4;47.75;-3;0.75;8.5

12p;Inauen Franz;*;;;;;;;;;55.5
o;;;Rüegg Roman;*;;;;;;;8.5
o;5;8.5;Wetter Marcel;;18;54.0;1;10.0;-4;1.5;8.5
+;11;17.0;Gerig Marcel;;12;55.5;6;18.5;-5;1.5;10.0
+;11;27.0;Harder Benj;;18;54.0;10;27.25;-1;0.25;10.0
o;8;37.0;Wickli Beat;**;11;55.75;7;37.25;-1;0.25;8.5
+;13;45.5;Scherrer Pascal;;19;53.75;14;45.25;1;-0.25;10.0

13a;Coray Beda;*;;;;;;;;;55.25
+;;;Schnurrenberger Roman;**;;;;;;;9.75
+;2;9.75;Bärtsch Jann (2000);;13;55.25;2;9.75;0;0.0;9.75
o;3;19.5;Kindlimann Fabian;***;8;56.5;5;18.75;2;-0.75;8.5
o;7;28.0;Dändliker Shane;;7;56.75;5;28.5;-2;0.5;8.5
+;10;36.5;Hauser Simon;;19;53.75;10;36.5;0;0.0;10.0
o;9;46.5;Landolt Reto;*;7;56.75;8;46.75;-1;0.25;8.75

13b;Roth Martin;*;;;;;;;;;55.25
+;;;Arztmann Beda;*;;;;;;;9.75
+;2;9.75;Alder Armin;;12;55.5;2;9.75;0;0.0;9.75
-;3;19.5;Rychen Roger;***;11;55.75;6;18.5;3;-1.0;9.0
+;5;28.5;Mettler Valentin;;16;54.5;4;28.75;-1;0.25;9.75
o;3;38.25;Dändliker Shane;;7;56.75;3;38.25;0;0.0;8.5
o;8;46.75;Battaglia Ursin;**;6;57.0;7;47.0;-1;0.25;8.5

13c;Funk Nicola (1999);;;;;;;;;;55.25
o;;;Oertig Simon;;;;;;;;8.5
+;5;8.5;Stauffacher Roman (2000);;26;35.25;5;8.5;0;0.0;9.75
+;7;18.25;Baumann Simon;;20;53.5;7;18.25;0;0.0;10.0
o;6;28.25;Baumann Rico;*;4;57.5;6;28.25;0;0.0;8.5
o;9;36.75;Güntensperger Marcel;*;12;55.5;8;37.0;-1;0.25;8.5
+;14;45.25;Kobler Janosch (2000);;19;53.75;14;45.25;0;0.0;10.0

13d;Schönenberger Philipp;;;;;;;;;;55.25
+;;;Meier Joel (1999);;;;;;;;9.75
+;2;9.75;Jud Reto (2001);;26;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Riget Tobias;**;5;57.25;5;18.75;3;-1.0;8.5
o;6;28.25;Zbinden Marc;*;11;55.75;9;27.5;3;-0.75;8.5
+;9;36.75;Lozza Roman;;19;53.75;9;36.75;0;0.0;10.0
o;8;46.75;Büsser André;;7;56.75;8;46.75;0;0.0;8.5

13e;Bärtsch Jann (2000);;;;;;;;;;55.25
+;;;Weber Erwin (2000);;;;;;;;9.75
o;2;9.75;Coray Beda;*;13;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Bischof Martin;;10;56.0;9;17.5;2;-0.75;8.5
+;12;26.75;Roth Armin (2001);;25;35.5;11;27.0;-1;0.25;10.0
o;9;36.75;Elmer Adrian;*;14;55.0;9;36.75;0;0.0;8.75
+;13;45.5;Stauffacher Martin;;18;54.0;13;45.5;0;0.0;9.75

13f;Vollmeier Sandro;;;;;;;;;;55.25
+;;;Jörger Marc;;;;;;;;10.0
-;1;10.0;Korrodi Paul;*;6;57.0;5;8.5;4;-1.5;8.75
+;5;18.75;Schönenberger Björn;;19;53.75;7;18.25;2;-0.5;9.75
o;5;28.5;Leuppi Samir;**;4;57.5;7;28.0;2;-0.5;8.5
+;8;37.0;Schnyder Christian;;18;54.0;8;37.0;0;0.0;9.75
o;8;46.75;Ott Damian (2000);;8;56.5;8;46.75;0;0.0;8.5

13g;Bollhalder Manuel (2001);;;;;;;;;;55.25
o;;;Burkhard Tobias;;;;;;;;8.75
+;4;8.75;Eugster Silvio;;28;34.75;4;8.75;0;0.0;10.0
o;5;18.75;Frick Andreas;*;14;55.0;6;18.5;1;-0.25;8.5
+;10;27.25;Zahner Stefan;;15;54.75;7;28.0;-3;0.75;9.75
+;8;37.0;Tremp Remo (1999);;19;53.75;9;36.75;1;-0.25;9.75
o;8;46.75;Rüegg Roman;*;7;56.75;7;47.0;-1;0.25;8.5

13h;Reichmuth Beat;;;;;;;;;;55.25
+;;;Gerig Marcel;;;;;;;;10.0
o;1;10.0;Good Marco;*;4;57.5;3;9.0;2;-1.0;8.5
+;6;18.5;Lozza Roman;;19;53.75;6;18.5;0;0.0;10.0
o;5;28.5;Wickli Beat;**;11;55.75;9;27.5;4;-1.0;8.5
+;8;37.0;Wetter Marcel;;18;54.0;8;37.0;0;0.0;9.75
o;8;46.75;Elmer Daniel;*;8;56.5;8;46.75;0;0.0;8.5

13i;Kunz Daniel;;;;;;;;;;55.25
-;;;Heierli Pascal (1999);;;;;;;;8.75
+;4;8.75;Truniger Manuel;*;29;34.5;5;8.5;1;-0.25;10.0
+;5;18.75;Wetter Marcel;;18;54.0;1;20.0;-4;1.25;9.75
o;5;28.5;Gmür Pirmin;*;8;56.5;6;28.25;1;-0.25;8.5
+;8;37.0;Wild Thomas;;18;54.0;8;37.0;0;0.0;9.75
o;8;46.75;Bäbler Dominik;*;7;56.75;7;47.0;-1;0.25;8.5

13j;Breitenmoser Manuel;;;;;;;;;;55.25
+;;;Pianta Christian;;;;;;;;10.0
-;1;10.0;Leuppi Karim;*;29;34.5;5;8.5;4;-1.5;9.0
+;4;19.0;Schnyder Christian;;18;54.0;6;18.5;2;-0.5;10.0
-;3;29.0;Landolt Reto;*;7;56.75;7;28.0;4;-1.0;8.75
-;5;37.75;Hobi Ignaz;;15;54.75;8;37.0;3;-0.75;9.0
o;8;46.75;Straub Robin;*;9;56.25;9;46.5;1;-0.25;8.5

13k;Schläpfer Matthias;*;;;;;;;;;55.25
o;;;Zbinden Marc;*;;;;;;;8.5
+;5;8.5;Rütsche Werner;;25;35.5;1;10.0;-4;1.5;10.0
o;6;18.5;Krähenbühl Tobias;***;12;55.5;7;18.25;1;-0.25;8.5
+;11;27.0;Odermatt Michi;;23;52.75;10;27.25;-1;0.25;9.75
+;9;36.75;Schiess Christian;;19;53.75;9;36.75;0;0.0;10.0
o;8;46.75;Nötzli Bruno;***;9;56.25;10;46.25;2;-0.5;8.5

14a;Riedi Thomas;;;;;;;;;;55.0
o;;;Wetter Silvan (2000);;;;;;;;8.5
+;5;8.5;Roth Markus;;26;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Schlegel Reto;*;10;56.0;4;19.0;-2;0.5;8.5
+;11;27.0;Meier Joel (1999);;25;35.5;11;27.0;0;0.0;9.75
o;9;36.75;Rüegg Roman;*;7;56.75;8;37.0;-1;0.25;8.5
+;14;45.25;Raymann Jan (1999);;19;53.75;14;45.25;0;0.0;9.75

14b;Elmer Adrian;*;;;;;;;;;55.0
o;;;Frick Andreas;*;;;;;;;8.5
+;5;8.5;Burkhard Tobias;;12;55.5;1;10.0;-4;1.5;10.0
o;6;18.5;Zwyssig Raphael;***;7;56.75;7;18.25;1;-0.25;8.5
+;11;27.0;Weber Erwin (2000);;26;35.25;12;26.75;1;-0.25;9.75
+;9;36.75;Bärtsch Jann (2000);;13;55.25;9;36.75;0;0.0;9.75
o;9;46.5;Arztmann Beda;*;8;56.5;8;46.75;-1;0.25;8.5

14c;Frick Andreas;*;;;;;;;;;55.0
+;;;Elmer Adrian;*;;;;;;;10.0
o;1;10.0;Geisser Lars;*;5;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Bollhalder Manuel (2001);;13;55.25;5;18.75;-1;0.25;9.75
+;6;28.25;Scherrer Willi;;17;54.25;5;28.5;-1;0.25;9.75
o;4;38.0;Good Marco;*;4;57.5;5;37.75;1;-0.25;8.5
o;9;46.5;Rüegg Fabian;*;7;56.75;8;46.75;-1;0.25;8.5

14d;Oertle Daniel;*;;;;;;;;;55.0
o;;;Elmer Daniel;*;;;;;;;8.5
+;5;8.5;Hobi Ignaz;;15;54.75;1;10.0;-4;1.5;9.75
+;7;18.25;Raymann David;*;19;53.75;7;18.25;0;0.0;9.75
-;7;28.0;Lieberherr Michael (1999);;16;54.5;6;28.25;-1;0.25;8.75
o;9;36.75;Ott Damian (2000);;8;56.5;8;37.0;-1;0.25;8.5
+;14;45.25;Wild Thomas;;18;54.0;13;45.5;-1;0.25;9.75

14e;Bommer Christoph;;;;;;;;;;55.0
o;;;Lanter Christian;;;;;;;;8.5
o;5;8.5;Jörger Marc;;11;55.75;5;8.5;0;0.0;8.5
+;11;17.0;Schiesser Patrik;;25;35.5;11;17.0;0;0.0;9.75
+;12;26.75;Roth Sämi (2000);;25;35.5;11;27.0;-1;0.25;10.0
o;9;36.75;Vestner Roman;*;11;55.75;7;37.25;-2;0.5;8.5
+;14;45.25;Tremp Remo (1999);;19;53.75;14;45.25;0;0.0;9.75

14f;Wolfer Lukas;*;;;;;;;;;55.0
+;;;Vestner Bruno;*;;;;;;;9.75
o;2;9.75;Hasler Florian;**;6;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Schrepfer Roy;;17;54.25;6;18.5;-1;0.25;9.75
+;7;28.0;Ott Damian (2000);;8;56.5;5;28.5;-2;0.5;9.75
o;5;37.75;Baumann Rico;*;4;57.5;4;38.0;-1;0.25;8.5
-;10;46.25;Alder Armin;;12;55.5;8;46.75;-2;0.5;8.75

14g;Dörig Erich;*;;;;;;;;;55.0
-;;;Pfister Florian;*;;;;;;;8.75
-;4;8.75;Scherrer Willi;;17;54.25;1;10.0;-3;1.25;9.0
+;8;17.75;Bäbler Sandro;**;25;35.5;6;18.5;-2;0.75;10.0
o;8;27.75;Rychen Roger;***;11;55.75;9;27.5;1;-0.25;8.75
+;10;36.5;Schönenberger Björn;;19;53.75;9;36.75;-1;0.25;9.75
-;10;46.25;Rütsche Stefan;*;14;55.0;10;46.25;0;0.0;8.75

14h;Rütsche Stefan;*;;;;;;;;;55.0
-;;;Kuster Thomas;*;;;;;;;8.75
-;4;8.75;Bucher Roland;;12;55.5;4;8.75;0;0.0;8.75
o;9;17.5;Wittenwiler Roman;;12;55.5;6;18.5;-3;1.0;8.75
+;14;26.25;Burch Dean (2001);;25;35.5;11;27.0;-3;0.75;10.0
+;11;36.25;Tritten Robin;;19;53.75;10;36.5;-1;0.25;10.0
-;10;46.25;Dörig Erich;*;14;55.0;10;46.25;0;0.0;8.75

15a;Wetter Silvan (2000);;;;;;;;;;54.75
+;;;Riedi Thomas;;;;;;;;9.75
-;2;9.75;Müller Loris (1999);;25;35.5;2;9.75;0;0.0;8.75
o;6;18.5;Brügger Stefan;*;12;55.5;6;18.5;0;0.0;8.5
-;11;27.0;Baumgartner Alexander;;22;53.0;11;27.0;0;0.0;8.75
+;13;35.75;Müller Gabriel (2001);;23;52.75;13;35.75;0;0.0;10.0
-;12;45.75;Götti Samuel;;17;54.25;13;45.5;1;-0.25;9.0

15b;Zahner Stefan;;;;;;;;;;54.75
+;;;Baumann Elia (2000);;;;;;;;9.75
+;2;9.75;Burch Dean (2001);;25;35.5;2;9.75;0;0.0;9.75
o;3;19.5;Schlegel Sandro;**;6;57.0;6;18.5;3;-1.0;8.5
o;7;28.0;Bollhalder Manuel (2001);;13;55.25;10;27.25;3;-0.75;8.5
o;10;36.5;Bucher Roland;;12;55.5;12;36.0;2;-0.5;8.5
+;15;45.0;Schönenberger Björn;;19;53.75;14;45.25;-1;0.25;9.75

15c;Vogel Beat;*;;;;;;;;;54.75
+;;;Jöhl Christian;*;;;;;;;9.75
o;2;9.75;Lanter Christian;;10;56.0;2;9.75;0;0.0;8.5
+;7;18.25;Hersche Daniel;;25;35.5;6;18.5;-1;0.25;9.75
o;7;28.0;Wittenwiler Roman;;12;55.5;5;28.5;-2;0.5;8.5
+;10;36.5;Scherrer Willi;;17;54.25;8;37.0;-2;0.5;9.75
o;10;46.25;Sprecher Sandro;*;10;56.0;11;46.0;1;-0.25;8.5

15d;Schnurrenberger Roman;**;;;;;;;;;54.75
o;;;Coray Beda;*;;;;;;;8.5
-;5;8.5;Schlegel Reto;*;10;56.0;1;10.0;-4;1.5;9.0
+;9;17.5;Hobi Ignaz;;15;54.75;6;18.5;-3;1.0;10.0
+;9;27.5;Raymann Jan (1999);;19;53.75;7;28.0;-2;0.5;10.0
o;6;37.5;Bless Michael;***;5;57.25;7;37.25;1;-0.25;8.5
-;11;46.0;Krähenbühl Tobias;***;12;55.5;8;46.75;-3;0.75;8.75

15e;Hobi Ignaz;;;;;;;;;;54.75
+;;;Rickenmann Ramon (2001);;;;;;;;10.0
o;1;10.0;Oertle Daniel;*;14;55.0;5;8.5;4;-1.5;8.5
o;6;18.5;Schnurrenberger Roman;**;15;54.75;9;17.5;3;-1.0;8.75
+;10;27.25;Stauffacher Martin;;18;54.0;6;28.25;-4;1.0;9.75
-;8;37.0;Breitenmoser Manuel;;13;55.25;5;37.75;-3;0.75;9.0
-;11;46.0;Scherrer Willi;;17;54.25;13;45.5;2;-0.5;8.75

16a;Lieberherr Michael (1999);;;;;;;;;;54.5
+;;;Eugster Silvio;;;;;;;;9.75
+;2;9.75;Keller Dominic;;17;54.25;5;8.5;3;-1.25;10.0
o;2;19.75;Arztmann Beda;*;8;56.5;6;18.5;4;-1.25;8.5
-;6;28.25;Oertle Daniel;*;14;55.0;7;28.0;1;-0.25;8.75
-;8;37.0;Hari Michi;;17;54.25;8;37.0;0;0.0;8.75
o;12;45.75;Jörger Marc;;11;55.75;12;45.75;0;0.0;8.75

16b;Breitenmoser Simon;;;;;;;;;;54.5
o;;;Wittenwiler Roman;;;;;;;;8.5
-;5;8.5;Pianta Christian;;24;36.0;5;8.5;0;0.0;9.0
-;9;17.5;Eugster Silvio;;28;34.75;10;17.25;1;-0.25;8.75
+;14;26.25;Signer Walter;;30;34.25;16;25.75;2;-0.5;10.0
o;11;36.25;Vestner Bruno;*;17;54.25;13;35.75;2;-0.5;8.5
+;16;44.75;Odermatt Michi;;23;52.75;18;44.25;2;-0.5;9.75

16c;Büsser Remo;;;;;;;;;;54.5
o;;;Dändliker Hansheinrich;;;;;;;;8.5
+;5;8.5;Rickenmann Ramon (2001);;31;34.0;5;8.5;0;0.0;10.0
-;6;18.5;Schilter Daniel;*;30;34.25;11;17.0;5;-1.5;8.75
-;10;27.25;Poltera Andrin (1999);;12;55.5;11;27.0;1;-0.25;8.75
o;12;36.0;Bärtsch Fabian (2000);;12;55.5;13;35.75;1;-0.25;8.5
+;17;44.5;Müller Gabriel (2001);;23;52.75;18;44.25;1;-0.25;10.0

16d;Mettler Valentin;;;;;;;;;;54.5
+;;;Schiesser Patrik;;;;;;;;10.0
-;1;10.0;Vestner Bruno;*;17;54.25;5;8.5;4;-1.5;8.75
+;5;18.75;Dändliker Hansheinrich;;25;35.5;6;18.5;1;-0.25;10.0
o;4;28.75;Roth Martin;*;13;55.25;5;28.5;1;-0.25;8.5
o;7;37.25;Bernold Michael (1999);;4;57.5;5;37.75;-2;0.5;8.5
-;12;45.75;Zumbach Michael;;18;54.0;14;45.25;2;-0.5;8.75

17a;Götti Samuel;;;;;;;;;;54.25
-;;;Zumbach Michael;;;;;;;;8.75
+;4;8.75;Heierli Pascal (1999);;19;53.75;4;8.75;0;0.0;9.75
o;6;18.5;Rüegg Roman;*;7;56.75;6;18.5;0;0.0;8.5
+;11;27.0;Thoma Nils (1999);;25;35.5;11;27.0;0;0.0;10.0
o;8;37.0;Pfister Florian;*;10;56.0;8;37.0;0;0.0;8.5
-;13;45.5;Wetter Silvan (2000);;15;54.75;12;45.75;-1;0.25;8.75

17b;Vestner Bruno;*;;;;;;;;;54.25
o;;;Wolfer Lukas;*;;;;;;;8.5
-;5;8.5;Mettler Valentin;;16;54.5;1;10.0;-4;1.5;8.75
+;10;17.25;Roth Armin (2001);;25;35.5;6;18.5;-4;1.25;10.0
o;10;27.25;Hochholdinger Roman;**;7;56.75;11;27.0;1;-0.25;8.5
+;13;35.75;Breitenmoser Simon;;16;54.5;11;36.25;-2;0.5;10.0
o;12;45.75;Bühler Hannes;*;12;55.5;12;45.75;0;0.0;8.5

17c;Hari Michi;;;;;;;;;;54.25
+;;;Schiess Christian;;;;;;;;10.0
o;1;10.0;Oertig Dominik;**;2;58.25;4;8.75;3;-1.25;8.5
+;6;18.5;Stadelmann Patrick (2000);;25;35.5;6;18.5;0;0.0;10.0
o;5;28.5;Elmer Daniel;*;8;56.5;6;28.25;1;-0.25;8.5
-;8;37.0;Lieberherr Michael (1999);;16;54.5;8;37.0;0;0.0;8.75
o;12;45.75;Zbinden Marc;*;11;55.75;12;45.75;0;0.0;8.5

17d;Wicki Cédric;;;;;;;;;;54.25
-;;;Keller Lukas;;;;;;;;8.75
+;4;8.75;Zumbach Michael;;18;54.0;4;8.75;0;0.0;10.0
o;5;18.75;Bäbler Dominik;*;7;56.75;5;18.75;0;0.0;8.5
o;10;27.25;Schmucki Ivo;;10;56.0;10;27.25;0;0.0;8.5
o;13;35.75;Poltera Andrin (1999);;12;55.5;13;35.75;0;0.0;8.5
+;18;44.25;Eisenring Daniel;;19;53.75;14;45.25;-4;1.0;10.0

17e;Rotach Lars (2000);;;;;;;;;;54.25
o;;;Lozza Roman;;;;;;;;8.5
+;5;8.5;Sutter Pascal (2001);;25;35.5;5;8.5;0;0.0;10.0
-;6;18.5;Ulmann Fabian (1999);;18;54.0;6;18.5;0;0.0;8.75
o;10;27.25;Kammermann Thomas;*;11;55.75;10;27.25;0;0.0;8.5
-;13;35.75;Raymann Jan (1999);;19;53.75;10;36.5;-3;0.75;8.75
+;17;44.5;Ramer Matthias (2001);;23;52.75;18;44.25;1;-0.25;9.75

17f;Schrepfer Roy;;;;;;;;;;54.25
+;;;Giger Florian (2001);;;;;;;;10.0
o;1;10.0;Sprecher Sandro;*;10;56.0;5;8.5;4;-1.5;8.5
o;6;18.5;Wolfer Lukas;*;14;55.0;7;18.25;1;-0.25;8.5
+;11;27.0;Müller Elias;;25;35.5;11;27.0;0;0.0;10.0
o;8;37.0;Burkhard Tobias;;12;55.5;8;37.0;0;0.0;8.5
-;13;45.5;Tritten Robin;;19;53.75;15;45.0;2;-0.5;8.75

17g;Keller Dominic;;;;;;;;;;54.25
o;;;Lieberherr Michael (1999);;;;;;;;8.5
