1500-2015-08-16_16_Schwaegalp-Schwinget-ST

1a;Glarner Matthias;***;;;;;;;;;58.25
-;4;8.75;Wey Nicola;*;25;35.0;4;8.75;0;0.0;8.75
+;7;17.5;Bernold Christian;*;29;26.25;6;17.75;-1;0.25;10.0
-;7;27.5;Wyss Kilian;**;14;54.5;4;28.25;-3;0.75;8.75
+;10;36.25;Nigg Lukas;**;20;53.0;11;36.0;1;-0.25;10.0
o;7;46.25;Orlik Armon;**;7;56.25;7;46.25;0;0.0;8.75

13a;Orlik Curdin;**;;;;;;;;;54.75
-;;;Schmid Reto;**;;;;;;;8.75
-;4;8.75;Fejzaj Naim;*;14;54.5;2;9.75;-2;1.0;8.75
-;7;17.5;Nägeli Marco;*;15;54.25;7;17.5;0;0.0;8.75
+;12;26.25;Baumann Rico;*;27;34.5;13;26.0;1;-0.25;9.75
-;11;36.0;Leuppi Samir;**;16;54.0;9;36.5;-2;0.5;8.75
+;13;44.75;Nigg Lukas;**;20;53.0;14;44.5;1;-0.25;10.0

13b;Scherer Christian;*;;;;;;;;;54.75
+;;;Jöhl Christian;*;;;;;;;9.75
o;2;9.75;Orlik Armon;**;7;56.25;4;8.75;2;-1.0;8.5
o;5;18.25;Schneider Domenic;**;10;55.5;5;18.25;0;0.0;8.5
+;10;26.75;Gwerder Andreas;**;24;35.25;10;26.75;0;0.0;9.75
o;9;36.5;Zenger Niklaus;***;8;56.0;11;36.0;2;-0.5;8.5
+;12;45.0;Matthey Mickaël;**;17;53.75;11;45.25;-1;0.25;9.75

14a;Vestner Bruno;*;;;;;;;;;54.5
-;;;Holenstein Christian;*;;;;;;;8.75
o;4;8.75;Krähenbühl Tobias;**;10;55.5;4;8.75;0;0.0;8.5
+;8;17.25;Schlegel Reto (1997);*;27;34.5;8;17.25;0;0.0;10.0
o;8;27.25;Gerber Christian;**;9;55.75;4;28.25;-4;1.0;8.5
-;12;35.75;Schnurrenberger Roman;**;14;54.5;12;35.75;0;0.0;8.75
+;14;44.5;Streuli Martin;*;20;53.0;14;44.5;0;0.0;10.0

14b;Mathys Simon;*;;;;;;;;;54.5
+;;;Schmid Dominik;**;;;;;;;10.0
o;1;10.0;Notz Beni;***;10;55.5;4;8.75;3;-1.25;8.5
+;4;18.5;Gwerder Andreas;**;24;35.25;5;18.25;1;-0.25;9.75
-;4;28.25;Leuppi Samir;**;16;54.0;7;27.5;3;-0.75;9.0
-;6;37.25;Orlik Armon;**;7;56.25;6;37.25;0;0.0;8.75
o;8;46.0;Zwyssig Raphael;***;9;55.75;9;45.75;1;-0.25;8.5

14c;Fejzaj Naim;*;;;;;;;;;54.5
+;;;Korrodi Paul;*;;;;;;;9.75
-;2;9.75;Orlik Curdin;**;13;54.75;4;8.75;2;-1.0;8.75
o;4;18.5;Schenk Patrick;**;9;55.75;3;18.75;-1;0.25;8.75
o;8;27.25;Lengacher Jonas;**;7;56.25;6;27.75;-2;0.5;8.5
-;12;35.75;Eugster Ruedi;**;18;53.5;12;35.75;0;0.0;8.75
+;14;44.5;Rüegg Roman;*;20;53.0;14;44.5;0;0.0;10.0

14d;Schnurrenberger Roman;**;;;;;;;;;54.5
o;;;Röthlisberger Simon;*;;;;;;;8.5
o;5;8.5;Gapany Benjamin;**;9;55.75;5;8.5;0;0.0;8.5
-;9;17.0;Brügger Stefan;*;27;34.5;8;17.25;-1;0.25;9.0
+;13;26.0;Bleiker Reto;*;28;34.0;15;25.5;2;-0.5;9.75
-;12;35.75;Vestner Bruno;*;14;54.5;12;35.75;0;0.0;8.75
+;14;44.5;Battaglia Ursin;**;19;53.25;14;44.5;0;0.0;10.0

14e;Kohler Fredi;**;;;;;;;;;54.5
o;;;Roth Dominik;*;;;;;;;8.5
+;5;8.5;Rolli Martin;**;24;35.25;5;8.5;0;0.0;9.75
-;5;18.25;Zenger Niklaus;***;8;56.0;8;17.25;3;-1.0;8.75
+;9;27.0;Duplan Steve (1997);**;23;35.5;9;27.0;0;0.0;10.0
o;7;37.0;Lengacher Jonas;**;7;56.25;5;37.75;-2;0.75;8.75
o;9;45.75;Gapany Benjamin;**;9;55.75;9;45.75;0;0.0;8.75

14f;Wyss Kilian;**;;;;;;;;;54.5
o;;;Schneider Mario;**;;;;;;;8.5
+;5;8.5;Vestner Roman;*;23;35.5;5;8.5;0;0.0;9.75
+;5;18.25;Schläpfer Markus;**;11;55.25;5;18.25;0;0.0;10.0
-;4;28.25;Roth Martin;*;12;55.0;7;27.5;3;-0.75;9.0
o;6;37.25;Büsser Andy;***;14;54.5;11;36.0;5;-1.25;8.5
-;9;45.75;Horner Peter;**;12;55.0;7;46.25;-2;0.5;8.75

14g;Büsser Andy;***;;;;;;;;;54.5
-;;;Glarner Matthias;***;;;;;;;8.75
-;4;8.75;Moser Steven;**;9;55.75;1;10.0;-3;1.25;8.75
o;7;17.5;Matthey Mickaël;**;17;53.75;4;18.5;-3;1.0;8.5
+;13;26.0;Rolli Martin;**;24;35.25;10;26.75;-3;0.75;10.0
+;11;36.0;Wyss Kilian;**;14;54.5;6;37.25;-5;1.25;10.0
o;8;46.0;Bloch Dominic;**;8;56.0;8;46.0;0;0.0;8.5

15a;Nägeli Marco;*;;;;;;;;;54.25
-;;;Rüegg Roman;*;;;;;;;8.75
-;4;8.75;Streuli Martin;*;20;53.0;4;8.75;0;0.0;8.75
-;7;17.5;Orlik Curdin;**;13;54.75;7;17.5;0;0.0;8.75
+;12;26.25;Inauen Franz;*;24;35.25;11;26.5;-1;0.25;9.75
o;11;36.0;Horner Peter;**;12;55.0;9;36.5;-2;0.5;8.5
+;14;44.5;Geisser Lars;*;21;52.75;15;44.25;1;-0.25;9.75

15b;Schneider Mario;**;;;;;;;;;54.25
+;;;Wyss Kilian;**;;;;;;;9.75
+;2;9.75;Sprecher Sandro;*;23;35.5;1;10.0;-1;0.25;9.75
o;2;19.5;Gnägi Florian;***;4;57.0;2;19.5;0;0.0;8.75
o;4;28.25;Käser Remo;**;6;56.5;4;28.25;0;0.0;8.75
-;7;37.0;Aeschbacher Matthias;**;9;55.75;7;37.0;0;0.0;8.75
o;9;45.75;Zenger Niklaus;***;8;56.0;8;46.0;-1;0.25;8.5

16a;Brodard Augustin;**;;;;;;;;;54.0
o;;;Eugster Ruedi;**;;;;;;;8.5
o;5;8.5;Horner Peter;**;12;55.0;5;8.5;0;0.0;8.5
-;9;17.0;Korrodi Paul;*;27;34.5;9;17.0;0;0.0;8.75
+;14;25.75;Näf Willi;*;28;34.0;15;25.5;1;-0.25;10.0
+;12;35.75;Rüegg Roman;*;20;53.0;11;36.0;-1;0.25;9.75
o;10;45.5;Steiner Michael;**;11;55.25;10;45.5;0;0.0;8.5

16b;Peng Mike;***;;;;;;;;;54.0
+;;;Gapany Benjamin;**;;;;;;;9.75
o;2;9.75;Gerber Christian;**;9;55.75;1;10.0;-1;0.25;8.5
+;5;18.25;Vögeli Sven;*;11;55.25;3;18.75;-2;0.5;10.0
o;4;28.25;Stucki Christian;***;3;57.25;8;27.25;4;-1.0;8.5
o;8;36.75;Siegenthaler Matthias;***;2;57.5;4;38.0;-4;1.25;8.5
-;11;45.25;Eugster Ruedi;**;18;53.5;13;44.75;2;-0.5;8.75

16c;Gmür Pirmin;*;;;;;;;;;54.0
+;;;Giger Urs;*;;;;;;;9.75
o;2;9.75;Käser Remo;**;6;56.5;4;8.75;2;-1.0;8.5
-;5;18.25;Schmid Reto;**;11;55.25;7;17.5;2;-0.75;8.75
+;9;27.0;Sprecher Sandro;*;23;35.5;9;27.0;0;0.0;10.0
o;7;37.0;Schenk Patrick;**;9;55.75;6;37.25;-1;0.25;8.5
o;10;45.5;Bühler Ernst;**;10;55.5;10;45.5;0;0.0;8.5

16d;Leuppi Samir;**;;;;;;;;;54.0
-;;;Lengacher Jonas;**;;;;;;;8.75
+;4;8.75;Zbinden Marc;*;24;35.25;2;9.75;-2;1.0;10.0
-;3;18.75;Stucki Christian;***;3;57.25;4;18.5;1;-0.25;8.75
-;7;27.5;Mathys Simon;*;14;54.5;4;28.25;-3;0.75;9.0
-;9;36.5;Orlik Curdin;**;13;54.75;11;36.0;2;-0.5;8.75
o;11;45.25;Aeschbacher Matthias;**;9;55.75;9;45.75;-2;0.5;8.75

17a;Hersche Martin;**;;;;;;;;;53.75
o;;;Häni William;**;;;;;;;8.5
+;5;8.5;Haenni Stéphane;**;24;35.25;5;8.5;0;0.0;9.75
+;5;18.25;Rüegg Roman;*;20;53.0;4;18.5;-1;0.25;10.0
o;4;28.25;Glarner Matthias;***;1;58.25;4;28.25;0;0.0;8.5
o;8;36.75;Moser Steven;**;9;55.75;6;37.25;-2;0.5;8.5
o;11;45.25;Vögeli Sven;*;11;55.25;10;45.5;-1;0.25;8.5

17b;Giger Urs;*;;;;;;;;;53.75
o;;;Gmür Pirmin;*;;;;;;;8.5
+;5;8.5;Vollenweider Jeremy (1998);*;25;35.0;3;9.0;-2;0.5;9.75
o;5;18.25;Häni William;**;22;45.25;5;18.25;0;0.0;8.75
+;9;27.0;Haenni Stéphane;**;24;35.25;10;26.75;1;-0.25;9.75
o;8;36.75;Schneider Domenic;**;10;55.5;7;37.0;-1;0.25;8.5
o;11;45.25;Schmid Reto;**;11;55.25;11;45.25;0;0.0;8.5
