4347-2021-08-22_116_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;109.25
+;9;27.5;Imfeld Beat;*;16;54.5;9;27.5;0;0.0;10.0
o;7;37.5;Omlin Toni;*;9;56.25;7;37.5;0;0.0;8.5
+;12;46.0;Graber Sandro;;15;54.75;12;46.0;0;0.0;9.75

11k;Doppmann Ueli;;;;;;;;;;55.75
+;;;Gander Benjamin;;;;;;;;10.0
+;2;10.0;Reichmuth Marco (2005);;19;53.75;3;9.75;1;-0.25;10.0
+;2;20.0;Lussi Marco;**;13;55.25;7;18.5;5;-1.5;9.75
o;3;29.75;Bernhard Lukas;**;7;56.75;6;28.25;3;-1.5;8.5
o;4;38.25;Burch Jonas;**;4;57.5;6;37.75;2;-0.5;8.5
-;9;46.75;Gut Koni;;10;56.0;8;47.0;-1;0.25;9.0

11l;Vogel Marcel;*;;;;;;;;;55.75
+;;;Waser Adrian;*;;;;;;;10.0
o;2;10.0;Rohrer Ueli;**;9;56.25;5;8.75;3;-1.25;8.5
+;7;18.5;Heinzer Lukas (2004);;11;55.75;5;19.0;-2;0.5;9.75
-;6;28.25;Graber Sandro;;15;54.75;5;28.5;-1;0.25;8.75
-;9;37.0;Gisler Jonas;*;13;55.25;11;36.5;2;-0.5;8.75
+;13;45.75;Solenthaler David (2004);;19;53.75;15;45.25;2;-0.5;10.0

11m;Zemp Christian (2004);;;;;;;;;;55.75
+;;;Häller Nick;;;;;;;;10.0
+;2;10.0;Hürlimann Mathias;*;14;55.0;6;8.5;4;-1.5;10.0
o;2;20.0;Lang Sven;**;11;55.75;6;18.75;4;-1.25;8.5
-;5;28.5;Kaufmann Reto;*;11;55.75;11;27.0;6;-1.5;9.0
+;7;37.5;Ming Christian 2;;14;55.0;6;37.75;-1;0.25;9.75
o;7;47.25;Betschart Patrick;*;8;56.5;9;46.75;2;-0.5;8.5

11n;Odermatt Remo;*;;;;;;;;;55.75
+;;;Gwerder Andreas;*;;;;;;;10.0
o;2;10.0;Lang Sven;**;11;55.75;4;9.0;2;-1.0;8.5
+;7;18.5;Huser Christian;;11;55.75;6;18.75;-1;0.25;9.75
+;6;28.25;Duss Yvan (2003);;12;55.5;6;28.25;0;0.0;9.75
-;5;38.0;Schmid Dominik;**;9;56.25;4;38.25;-1;0.25;9.0
-;8;47.0;Ambühl Joel;**;11;55.75;8;47.0;0;0.0;8.75

12a;von Euw Lukas;*;;;;;;;;;55.5
o;;;Wallimann Remo;*;;;;;;;8.5
o;6;8.5;Lussi Marco;**;13;55.25;6;8.5;0;0.0;8.75
+;11;17.25;von Rickenbach Carlo (2005);;20;53.5;8;18.25;-3;1.0;9.75
+;11;27.0;Christen Silvan;;17;54.25;10;27.25;-1;0.25;10.0
o;9;37.0;Ming Christian;*;8;56.5;7;37.5;-2;0.5;8.5
+;14;45.5;Wigger Simon;;18;54.0;14;45.5;0;0.0;10.0

12b;Gander Adrian;*;;;;;;;;;55.5
o;;;Zurﬂuh Michael;*;;;;;;;8.5
+;6;8.5;Grüter Marcel;;12;55.5;2;10.0;-4;1.5;10.0
o;7;18.5;Riebli Urs;;8;56.5;5;19.0;-2;0.5;8.5
-;11;27.0;Wyss Christian;;26;36.0;10;27.25;-1;0.25;8.75
+;14;35.75;Wyrsch Gabriel;;13;55.25;14;35.75;0;0.0;10.0
+;13;45.75;Reichmuth Marco (2005);;19;53.75;15;45.25;2;-0.5;9.75

12c;Ulrich Michael (2003);;;;;;;;;;55.5
+;;;Ettlin Kevin;;;;;;;;9.75
+;3;9.75;Gasser Dominik 1;;18;54.0;2;10.0;-1;0.25;10.0
o;3;19.75;Durrer Nando;*;10;56.0;7;18.5;4;-1.25;8.5
-;6;28.25;Odermatt Andreas;**;14;55.0;9;27.5;3;-0.75;8.75
+;9;37.0;Ziegler Elias;;19;53.75;10;36.75;1;-0.25;10.0
o;8;47.0;Durrer Jonas (2003);*;9;56.25;10;46.5;2;-0.5;8.5

12d;Hürlimann Marco;;;;;;;;;;55.5
+;;;Betschart Daniel;;;;;;;;9.75
o;3;9.75;Achermann Simon;;10;56.0;2;10.0;-1;0.25;8.5
-;8;18.25;von Wyl Kevin (2004);;10;56.0;7;18.5;-1;0.25;9.0
o;10;27.25;Gasser Peter;*;14;55.0;12;26.75;2;-0.5;8.5
+;14;35.75;Gander Sebastian (2003);;22;53.0;13;36.0;-1;0.25;10.0
+;13;45.75;Waser Christoph;*;18;54.0;14;45.5;1;-0.25;9.75

12e;Duss Yvan (2003);;;;;;;;;;55.5
+;;;Gisler Silvan;;;;;;;;9.75
+;3;9.75;Kathriner Severin;;19;53.75;3;9.75;0;0.0;10.0
o;3;19.75;Rohrer Ueli;**;9;56.25;7;18.5;4;-1.25;8.5
o;6;28.25;Odermatt Remo;*;11;55.75;6;28.25;0;0.0;8.5
+;10;36.75;Schnellmann Alexander (2004);;19;53.75;10;36.75;0;0.0;10.0
o;9;46.75;Barmettler Peter;*;9;56.25;10;46.5;1;-0.25;8.75

12f;Grüter Marcel;;;;;;;;;;55.5
+;;;Burch Jonas (2005);;;;;;;;10.0
o;2;10.0;Gander Adrian;*;12;55.5;6;8.5;4;-1.5;8.5
+;7;18.5;Niederberger Mario (2005);;28;35.25;8;18.25;1;-0.25;10.0
o;5;28.5;Ulrich Marco;**;8;56.5;6;28.25;1;-0.25;8.5
o;9;37.0;Ming Hannes;;14;55.0;10;36.75;1;-0.25;8.5
+;14;45.5;Gasser Dominik 1;;18;54.0;14;45.5;0;0.0;10.0

12g;Portmann Josef;**;;;;;;;;;55.5
o;;;Bernhard Lukas;**;;;;;;;8.5
+;6;8.5;Reichmuth Roland;*;10;56.0;4;9.0;-2;0.5;10.0
+;7;18.5;Gut Koni;;10;56.0;2;20.0;-5;1.5;9.75
+;6;28.25;Kaufmann Jens;;17;54.25;5;28.5;-1;0.25;10.0
o;4;38.25;Zurﬂuh Michael;*;7;56.75;4;38.25;0;0.0;8.75
o;8;47.0;Ulrich Marco;**;8;56.5;10;46.5;2;-0.5;8.5

13a;Lussi Marco;**;;;;;;;;;55.25
o;;;Schmid Dominik;**;;;;;;;8.5
+;6;8.5;von Euw Lukas;*;12;55.5;6;8.5;0;0.0;10.0
o;7;18.5;Doppmann Ueli;;11;55.75;2;20.0;-5;1.5;8.5
+;11;27.0;Furrer Fabian;;17;54.25;10;27.25;-1;0.25;9.75
+;10;36.75;Suter Beat;*;14;55.0;10;36.75;0;0.0;9.75
-;10;46.5;Egli Damian;**;11;55.75;8;47.0;-2;0.5;8.75

13b;Durrer Markus;;;;;;;;;;55.25
+;;;Müller Marco;;;;;;;;9.75
+;3;9.75;Suter Beat;*;14;55.0;6;8.5;3;-1.25;9.75
o;4;19.5;Suppiger Werner;**;8;56.5;7;18.5;3;-1.0;8.5
+;7;28.0;Rohrer Timo;;23;52.75;10;27.25;3;-0.75;10.0
o;5;38.0;Lang Sven;**;11;55.75;8;37.25;3;-0.75;8.5
o;10;46.5;Thierstein Marco;*;8;56.5;9;46.75;-1;0.25;8.75

13c;Wicki Kevin;;;;;;;;;;55.25
+;;;Gander Michael;;;;;;;;10.0
-;2;10.0;Waser Adrian;*;33;27.25;6;8.5;4;-1.5;8.75
o;6;18.75;Reichmuth Roland;*;10;56.0;9;17.75;3;-1.0;8.5
+;10;27.25;Ettlin Michael;;18;54.0;10;27.25;0;0.0;9.75
+;9;37.0;Gander Benjamin;;15;54.75;11;36.5;2;-0.5;9.75
o;9;46.75;Burch Jonas;**;4;57.5;6;47.5;-3;0.75;8.5

13d;Felder Seppi;*;;;;;;;;;55.25
o;;;Ming Christian;*;;;;;;;8.5
o;6;8.5;Gut Koni;;10;56.0;2;10.0;-4;1.5;8.5
-;12;17.0;Hürlimann Ueli;;13;55.25;8;18.25;-4;1.25;8.75
+;16;25.75;von Wyl Simon;;23;52.75;11;27.0;-5;1.25;9.75
+;15;35.5;Gwerder Andreas;*;19;53.75;15;35.5;0;0.0;10.0
+;14;45.5;Christen Silvan;;17;54.25;13;45.75;-1;0.25;9.75

13e;Waser Raphael;;;;;;;;;;55.25
+;;;Giger Samuel (2005);;;;;;;;10.0
o;2;10.0;Betschart Patrick;*;8;56.5;6;8.5;4;-1.5;8.5
+;7;18.5;Bieri Elias;;17;54.25;8;18.25;1;-0.25;9.75
o;6;28.25;Wyrsch Marco;**;10;56.0;9;27.5;3;-0.75;8.5
+;10;36.75;Bühler Ramon;;18;54.0;10;36.75;0;0.0;10.0
o;9;46.75;Schuler Philipp;**;6;57.0;8;47.0;-1;0.25;8.5

13f;Durrer Lukas;;;;;;;;;;55.25
+;;;Waser Sandro (2004);;;;;;;;10.0
+;2;10.0;Kempf Fabian;;16;54.5;2;10.0;0;0.0;9.75
o;3;19.75;Heiniger Marco;**;6;57.0;6;18.75;3;-1.0;8.5
o;6;28.25;Waser Dominik;**;11;55.75;11;27.0;5;-1.25;8.5
+;10;36.75;von Rickenbach Carlo (2005);;20;53.5;11;36.5;1;-0.25;10.0
o;9;46.75;Bucher Christian;**;6;57.0;7;47.25;-2;0.5;8.5

13g;Achermann Christoph;*;;;;;;;;;55.25
o;;;Kessler Joel;*;;;;;;;8.5
+;6;8.5;Mehr Lars;;8;56.5;3;9.75;-3;1.25;10.0
o;7;18.5;Müllestein Mike;***;5;57.25;7;18.5;0;0.0;8.5
+;11;27.0;Bucher Sandro;;18;54.0;10;27.25;-1;0.25;9.75
o;10;36.75;Hürlimann Mathias;*;14;55.0;11;36.5;1;-0.25;8.5
+;15;45.25;Suter Michael;;14;55.0;16;45.0;1;-0.25;10.0

13h;Gisler Jonas;*;;;;;;;;;55.25
o;;;Müller Roger;*;;;;;;;8.5
o;6;8.5;Fankhauser Reto;**;6;57.0;5;8.75;-1;0.25;8.5
+;12;17.0;Ulrich Sandro (2005);;28;35.25;8;18.25;-4;1.25;9.75
+;12;26.75;Felder Ivan (2004);;16;54.5;11;27.0;-1;0.25;9.75
-;11;36.5;Vogel Marcel;*;11;55.75;9;37.0;-2;0.5;8.75
+;15;45.25;Bieri Elias;;17;54.25;13;45.75;-2;0.5;10.0

13i;Wyrsch Gabriel;;;;;;;;;;55.25
+;;;Hodler Mathias;;;;;;;;10.0
o;2;10.0;Graber Sandro;;15;54.75;3;9.75;1;-0.25;8.5
-;7;18.5;Dörig Erich;*;18;54.0;8;18.25;1;-0.25;8.75
o;10;27.25;Gander Adrian;*;12;55.5;11;27.0;1;-0.25;8.5
+;14;35.75;Theiler Nils (2004);;18;54.0;15;35.5;1;-0.25;9.75
+;14;45.5;Von Euw Adi;;18;54.0;14;45.5;0;0.0;9.75

13j;Hürlimann Ueli;;;;;;;;;;55.25
+;;;Barmettler Severin (2005);;;;;;;;9.75
o;3;9.75;Durrer Ueli;;14;55.0;3;9.75;0;0.0;8.5
-;8;18.25;Felder Seppi;*;13;55.25;12;17.0;4;-1.25;8.75
+;11;27.0;von Büren Thomas;;19;53.75;11;27.0;0;0.0;9.75
-;10;36.75;Würsch Lars;*;15;54.75;8;37.25;-2;0.5;8.75
+;14;45.5;Schuler Alex;;1;109.25;1;91.75;-13;46.25;9.75

13k;Odermatt Christian;**;;;;;;;;;55.25
o;;;Kennel Beat;**;;;;;;;8.75
o;5;8.75;Stöckli Damian;*;7;56.75;3;9.75;-2;1.0;8.5
+;11;17.25;Inauen Maurus (2003);;28;35.25;8;18.25;-3;1.0;10.0
+;10;27.25;Huser Christian;;11;55.75;10;27.25;0;0.0;9.75
o;9;37.0;Waser Dominik;**;11;55.75;9;37.0;0;0.0;8.5
+;14;45.5;Betschart Daniel;;17;54.25;13;45.75;-1;0.25;9.75

13l;Müller Roger;*;;;;;;;;;55.25
+;;;Gisler Jonas;*;;;;;;;10.0
o;2;10.0;Burch Jonas;**;4;57.5;5;8.75;3;-1.25;8.5
+;7;18.5;Betschart Roger (2003);;15;54.75;7;18.5;0;0.0;9.75
o;6;28.25;Schuler Philipp;**;6;57.0;5;28.5;-1;0.25;8.5
o;10;36.75;Gander Michael;;11;55.75;9;37.0;-1;0.25;8.5
+;15;45.25;Schnellmann Alexander (2004);;19;53.75;15;45.25;0;0.0;10.0

13m;Waser Reto;*;;;;;;;;;55.25
+;;;Waser Christoph;*;;;;;;;9.75
o;3;9.75;Suppiger Werner;**;8;56.5;6;8.5;3;-1.25;8.5
+;8;18.25;Wyss Christian;;26;36.0;7;18.5;-1;0.25;10.0
o;6;28.25;Riebli Urs;;8;56.5;4;28.75;-2;0.5;8.5
o;10;36.75;Durrer Ueli;;14;55.0;10;36.75;0;0.0;8.5
+;15;45.25;Arnold Robin (2003);;20;53.5;16;45.0;1;-0.25;10.0

14a;Hürlimann Mathias;*;;;;;;;;;55.0
o;;;Niederberger Markus;*;;;;;;;8.5
o;6;8.5;Zemp Christian (2004);;11;55.75;2;10.0;-4;1.5;8.5
+;12;17.0;Solenthaler David (2004);;19;53.75;8;18.25;-4;1.25;9.75
+;12;26.75;Barmettler Severin (2005);;16;54.5;10;27.25;-2;0.5;9.75
+;11;36.5;Achermann Christoph;*;13;55.25;10;36.75;-1;0.25;9.75
-;11;46.25;Zimmermann Martin;***;16;54.5;13;45.75;2;-0.5;8.75

14b;Ming Hannes;;;;;;;;;;55.0
+;;;Inauen Maurus (2003);;;;;;;;9.75
+;3;9.75;Küng Jonas (2004);;22;53.0;2;10.0;-1;0.25;10.0
o;3;19.75;Fankhauser Reto;**;6;57.0;6;18.75;3;-1.0;8.5
o;6;28.25;Zurﬂuh Michael;*;7;56.75;6;28.25;0;0.0;8.5
+;10;36.75;Grüter Marcel;;12;55.5;9;37.0;-1;0.25;9.75
o;10;46.5;Stöckli Damian;*;7;56.75;8;47.0;-2;0.5;8.5

14c;Odermatt Andreas;**;;;;;;;;;55.0
-;;;Bucher Christian;**;;;;;;;8.75
+;5;8.75;Fuster Sepp;*;16;54.5;2;10.0;-3;1.25;10.0
-;6;18.75;Ming Christian 2;;14;55.0;2;20.0;-4;1.25;8.75
-;9;27.5;Ulrich Michael (2003);;12;55.5;6;28.25;-3;0.75;8.75
-;12;36.25;Murer Andy;**;19;53.75;12;36.25;0;0.0;8.75
+;16;45.0;Roner Remo;;18;54.0;14;45.5;-2;0.5;10.0

14d;Kaiser Sandro;;;;;;;;;;55.0
+;;;Wesemann Micha (2003);;;;;;;;9.75
+;3;9.75;Ulrich Sandro (2005);;28;35.25;3;9.75;0;0.0;10.0
o;3;19.75;Kurmann Toni;*;9;56.25;6;18.75;3;-1.0;8.5
o;6;28.25;Reichmuth Roland;*;10;56.0;9;27.5;3;-0.75;8.5
+;10;36.75;Wittwer Roy;;18;54.0;9;37.0;-1;0.25;9.75
o;10;46.5;Herger Matthias;**;6;57.0;8;47.0;-2;0.5;8.5

14e;Gisler Silvan;;;;;;;;;;55.0
o;;;Duss Yvan (2003);;;;;;;;8.5
+;6;8.5;von Flüe Michael;;31;34.25;6;8.5;0;0.0;9.75
o;8;18.25;Gasser Peter;*;14;55.0;12;17.0;4;-1.25;8.75
+;11;27.0;Ettlin Kevin;;28;35.25;12;26.75;1;-0.25;9.75
o;10;36.75;Thierstein Marco;*;8;56.5;9;37.0;-1;0.25;8.5
+;15;45.25;Wittwer Roy;;18;54.0;14;45.5;-1;0.25;9.75

14f;Auf der Maur Alex;;;;;;;;;;55.0
o;;;Felder Ivan (2004);;;;;;;;8.5
+;6;8.5;Waser David;;22;53.0;6;8.5;0;0.0;10.0
o;7;18.5;Waser Christoph;*;18;54.0;8;18.25;1;-0.25;8.5
+;11;27.0;Huwyler Sven;;21;53.25;9;27.5;-2;0.5;9.75
o;10;36.75;Niederberger Markus;*;11;55.75;10;36.75;0;0.0;8.5
+;15;45.25;Ziegler Elias;;19;53.75;15;45.25;0;0.0;9.75

14g;Gasser Peter;*;;;;;;;;;55.0
o;;;Thierstein Marco;*;;;;;;;8.5
o;6;8.5;Kenel Franz-Toni;*;10;56.0;5;8.75;-1;0.25;8.5
+;12;17.0;Gisler Silvan;;14;55.0;8;18.25;-4;1.25;9.75
+;12;26.75;Hürlimann Marco;;12;55.5;10;27.25;-2;0.5;9.75
+;11;36.5;Arnold Robin (2003);;20;53.5;11;36.5;0;0.0;10.0
o;10;46.5;Müllestein Mike;***;5;57.25;7;47.25;-3;0.75;8.5

14h;Suter Beat;*;;;;;;;;;55.0
o;;;Stöckli Damian;*;;;;;;;8.5
o;6;8.5;Durrer Markus;;13;55.25;3;9.75;-3;1.25;8.5
+;12;17.0;Rohrer Philipp (2004);;28;35.25;8;18.25;-4;1.25;10.0
+;11;27.0;von Wyl Kevin (2004);;10;56.0;9;27.5;-2;0.5;9.75
o;10;36.75;Lussi Marco;**;13;55.25;10;36.75;0;0.0;8.5
+;15;45.25;Ettlin Michael;;18;54.0;14;45.5;-1;0.25;9.75

14i;Suter Michael;;;;;;;;;;55.0
o;;;Barmettler Renato (2003);;;;;;;;8.5
+;6;8.5;Eberli Sandro (2004);;18;54.0;5;8.75;-1;0.25;9.75
o;8;18.25;Kaufmann Reto;*;11;55.75;11;17.25;3;-1.0;8.5
+;12;26.75;Rohrer Philipp (2004);;28;35.25;12;26.75;0;0.0;9.75
o;11;36.5;Achermann Christoph;*;13;55.25;10;36.75;-1;0.25;8.5
+;16;45.0;Ettlin Mario (2003);;19;53.75;15;45.25;-1;0.25;10.0

14j;Durrer Ueli;;;;;;;;;;55.0
+;;;Betschart Roger (2003);;;;;;;;9.75
+;3;9.75;Hürlimann Ueli;;13;55.25;3;9.75;0;0.0;10.0
o;3;19.75;Herger Matthias;**;6;57.0;6;18.75;3;-1.0;8.5
o;6;28.25;Poltera Andrin;*;9;56.25;8;27.75;2;-0.5;8.5
+;10;36.75;Waser Reto;*;13;55.25;10;36.75;0;0.0;9.75
o;10;46.5;Fankhauser Reto;**;6;57.0;8;47.0;-2;0.5;8.5

14k;Zimmermann Raffael;;;;;;;;;;55.0
+;;;Huser Christian;;;;;;;;9.75
+;3;9.75;Theiler Nils (2004);;18;54.0;2;10.0;-1;0.25;10.0
o;3;19.75;Egli Damian;**;11;55.75;7;18.5;4;-1.25;8.5
o;6;28.25;Arnold Raphael;**;7;56.75;11;27.0;5;-1.25;8.5
+;10;36.75;Solenthaler David (2004);;19;53.75;10;36.75;0;0.0;9.75
o;10;46.5;Heiniger Marco;**;6;57.0;7;47.25;-3;0.75;8.5

14l;Amgarten Martin;*;;;;;;;;;55.0
-;;;Betschart Marcel;*;;;;;;;9.0
o;4;9.0;Egli Damian;**;11;55.75;6;8.5;2;-0.5;8.5
+;10;17.5;Herger Flavio (2003);;16;54.5;7;18.5;-3;1.0;10.0
-;9;27.5;Schuler Alex;;1;109.25;1;55.75;-8;28.25;9.0
-;11;36.5;Thalmann Thomas;*;15;54.75;12;36.25;1;-0.25;8.75
+;15;45.25;Kälin Michael;;18;54.0;14;45.5;-1;0.25;9.75

14m;Ming Christian 2;;;;;;;;;;55.0
+;;;Schallberger Jakob;;;;;;;;10.0
+;2;10.0;Ettlin Mario (2003);;19;53.75;3;9.75;1;-0.25;10.0
-;2;20.0;Odermatt Andreas;**;14;55.0;6;18.75;4;-1.25;8.75
-;4;28.75;Kennel Beat;**;16;54.5;6;28.25;2;-0.5;9.0
o;6;37.75;Zemp Christian (2004);;11;55.75;7;37.5;1;-0.25;8.75
o;10;46.5;Mehr Lars;;8;56.5;9;46.75;-1;0.25;8.5

15a;Suppiger René;***;;;;;;;;;54.75
-;;;Zimmermann Martin;***;;;;;;;8.75
+;5;8.75;Durrer Jonas (2003);*;9;56.25;3;9.75;-2;1.0;10.0
-;6;18.75;Bernhard Lukas;**;7;56.75;4;19.5;-2;0.75;8.75
o;9;27.5;Betschart Patrick;*;8;56.5;6;28.25;-3;0.75;8.5
+;13;36.0;Reichmuth Roland;*;10;56.0;7;37.5;-6;1.5;10.0
-;12;46.0;Schuler Alex;***;1;109.25;1;91.75;-11;45.75;8.75

15b;Würsch Lars;*;;;;;;;;;54.75
o;;;Fuster Sepp;*;;;;;;;8.75
+;5;8.75;Arnold Raphael;**;7;56.75;5;8.75;0;0.0;10.0
+;6;18.75;Schmidiger Lukas (2004);;21;53.25;5;19.0;-1;0.25;10.0
o;4;28.75;Ambühl Joel;**;11;55.75;5;28.5;1;-0.25;8.5
-;8;37.25;Hürlimann Ueli;;13;55.25;10;36.75;2;-0.5;9.0
o;11;46.25;Poltera Andrin;*;9;56.25;11;46.25;0;0.0;8.5

15c;Wallimann Remo;*;;;;;;;;;54.75
+;;;von Euw Lukas;*;;;;;;;10.0
o;2;10.0;Müllestein Mike;***;5;57.25;6;8.5;4;-1.5;8.5
+;7;18.5;Rohrer Timo;;23;52.75;6;18.75;-1;0.25;10.0
o;5;28.5;Fankhauser Reto;**;6;57.0;4;28.75;-1;0.25;8.75
-;8;37.25;Suter Raphael;;11;55.75;9;37.0;1;-0.25;9.0
o;11;46.25;Kaufmann Reto;*;11;55.75;12;46.0;1;-0.25;8.5

15d;Thalmann Thomas;*;;;;;;;;;54.75
-;;;Imfeld Beat;*;;;;;;;9.0
o;4;9.0;Ulrich Marco;**;8;56.5;6;8.5;2;-0.5;8.5
-;10;17.5;Mehr Lars;;8;56.5;8;18.25;-2;0.75;8.75
+;14;26.25;Kiser Markus (2005);;24;52.5;11;27.0;-3;0.75;10.0
-;12;36.25;Amgarten Martin;*;14;55.0;11;36.5;-1;0.25;8.75
+;16;45.0;Bucher Sandro;;18;54.0;14;45.5;-2;0.5;9.75

15e;Felder Martin;*;;;;;;;;;54.75
+;;;Hess Dominik;*;;;;;;;10.0
o;2;10.0;Zimmermann Martin;***;16;54.5;5;8.75;3;-1.25;8.5
+;7;18.5;Gasser Dominik 1;;18;54.0;6;18.75;-1;0.25;10.0
-;5;28.5;Burch Jonas;**;4;57.5;4;28.75;-1;0.25;8.75
o;8;37.25;Mehr Lars;;8;56.5;9;37.0;1;-0.25;8.75
o;12;46.0;von Wyl Kevin (2004);;10;56.0;12;46.0;0;0.0;8.75

15f;Graber Sandro;;;;;;;;;;54.75
+;;;von Rickenbach Carlo (2005);;;;;;;;9.75
+;3;9.75;Wyrsch Gabriel;;13;55.25;2;10.0;-1;0.25;9.75
-;4;19.5;Fuster Sepp;*;16;54.5;7;18.5;3;-1.0;9.0
-;5;28.5;Vogel Marcel;*;11;55.75;6;28.25;1;-0.25;9.0
o;7;37.5;Kenel Franz-Toni;*;10;56.0;8;37.25;1;-0.25;8.5
o;12;46.0;Heinzer Lukas (2004);;11;55.75;12;46.0;0;0.0;8.75

15g;Gander Benjamin;;;;;;;;;;54.75
o;;;Doppmann Ueli;;;;;;;;8.5
+;6;8.5;Gloggner André;;19;53.75;6;8.5;0;0.0;9.75
o;8;18.25;Bucher Christian;**;6;57.0;10;17.5;2;-0.75;8.5
+;12;26.75;Reichmuth Marco (2005);;19;53.75;11;27.0;-1;0.25;9.75
o;11;36.5;Wicki Kevin;;13;55.25;9;37.0;-2;0.5;8.5
+;16;45.0;von Rickenbach Carlo (2005);;20;53.5;16;45.0;0;0.0;9.75

15h;Betschart Roger (2003);;;;;;;;;;54.75
o;;;Durrer Ueli;;;;;;;;8.5
+;6;8.5;Weibel Michael (2005);;24;52.5;4;9.0;-2;0.5;10.0
o;7;18.5;Müller Roger;*;13;55.25;7;18.5;0;0.0;8.5
-;11;27.0;Bieri Elias;;17;54.25;12;26.75;1;-0.25;8.75
-;14;35.75;Felder Ivan (2004);;16;54.5;15;35.5;1;-0.25;9.0
+;17;44.75;Müller Luca (2004);;19;53.75;15;45.25;-2;0.5;10.0

15i;Albert Thomas;;;;;;;;;;54.75
+;;;Müller Luca (2004);;;;;;;;10.0
o;2;10.0;Dörig Erich;*;18;54.0;6;8.5;4;-1.5;8.5
+;7;18.5;Theiler Nils (2004);;18;54.0;7;18.5;0;0.0;10.0
o;5;28.5;Bucher Christian;**;6;57.0;9;27.5;4;-1.0;8.5
-;9;37.0;Häller Nick;;16;54.5;10;36.75;1;-0.25;9.0
o;12;46.0;Hess Dominik;*;10;56.0;12;46.0;0;0.0;8.75

16a;Zimmermann Martin;***;;;;;;;;;54.5
-;;;Suppiger René;***;;;;;;;8.75
+;5;8.75;Felder Martin;*;15;54.75;2;10.0;-3;1.25;9.75
o;7;18.5;Betschart Marcel;*;9;56.25;6;18.75;-1;0.25;8.75
+;10;27.25;Bühler Ramon;;18;54.0;6;28.25;-4;1.0;10.0
o;8;37.25;Bucher Christian;**;6;57.0;8;37.25;0;0.0;8.5
-;13;45.75;Hürlimann Mathias;*;14;55.0;11;46.25;-2;0.5;8.75

16b;Imfeld Beat;*;;;;;;;;;54.5
-;;;Thalmann Thomas;*;;;;;;;9.0
o;4;9.0;Herger Matthias;**;6;57.0;5;8.75;1;-0.25;8.5
+;10;17.5;Häller Nick;;16;54.5;8;18.25;-2;0.75;10.0
o;9;27.5;Heinzer Lukas (2004);;11;55.75;9;27.5;0;0.0;8.75
+;12;36.25;Ackermann Rico (2003);*;18;54.0;14;35.75;2;-0.5;9.75
o;12;46.0;Reichmuth Roland;*;10;56.0;12;46.0;0;0.0;8.5

16c;Kempf Fabian;;;;;;;;;;54.5
+;;;Vogler Adrian (2004);;;;;;;;10.0
o;2;10.0;Durrer Lukas;;13;55.25;2;10.0;0;0.0;8.5
o;7;18.5;Betschart Patrick;*;8;56.5;8;18.25;1;-0.25;8.5
-;11;27.0;Gander Sebastian (2003);;22;53.0;11;27.0;0;0.0;9.0
o;13;36.0;Barmettler Severin (2005);;16;54.5;14;35.75;1;-0.25;8.5
+;18;44.5;Waser David;;22;53.0;19;44.25;1;-0.25;10.0

16d;Felder Ivan (2004);;;;;;;;;;54.5
+;;;Auf der Maur Alex;;;;;;;;10.0
o;2;10.0;Bühler Ramon;;18;54.0;2;10.0;0;0.0;8.5
o;7;18.5;Suter Raphael;;11;55.75;7;18.5;0;0.0;8.5
o;11;27.0;Gisler Jonas;*;13;55.25;12;26.75;1;-0.25;8.5
-;15;35.5;Betschart Roger (2003);;15;54.75;14;35.75;-1;0.25;9.0
+;18;44.5;Füglister Stefan (2003);;24;52.5;20;44.0;2;-0.5;10.0

16e;Kennel Beat;**;;;;;;;;;54.5
+;;;Odermatt Christian;**;;;;;;;10.0
o;2;10.0;Schurtenberger Sven;***;2;60.0;2;10.0;0;0.0;8.5
+;7;18.5;Barmettler Renato (2003);;7;56.75;4;19.5;-3;1.0;9.75
-;6;28.25;Ming Christian 2;;14;55.0;4;28.75;-2;0.5;9.0
o;8;37.25;Arnold Raphael;**;7;56.75;9;37.0;1;-0.25;8.75
o;12;46.0;Rohrer Ueli;**;9;56.25;11;46.25;-1;0.25;8.5

16f;Häller Nick;;;;;;;;;;54.5
o;;;Zemp Christian (2004);;;;;;;;8.5
+;6;8.5;Burch Jonas (2005);;31;34.25;6;8.5;0;0.0;9.75
o;8;18.25;Imfeld Beat;*;16;54.5;10;17.5;2;-0.75;8.5
+;12;26.75;Furrer Jens;;31;34.25;16;25.75;4;-1.0;10.0
-;10;36.75;Albert Thomas;;15;54.75;9;37.0;-1;0.25;9.0
o;13;45.75;Suter Raphael;;11;55.75;13;45.75;0;0.0;8.75

16g;von Ah Markus;;;;;;;;;;54.5
+;;;Epp Elias (2003);;;;;;;;10.0
-;2;10.0;Suter Raphael;;11;55.75;3;9.75;1;-0.25;8.75
o;6;18.75;Thierstein Marco;*;8;56.5;7;18.5;1;-0.25;8.5
-;10;27.25;Herger Flavio (2003);;16;54.5;11;27.0;1;-0.25;8.75
+;13;36.0;Theiler Nils (2004);;18;54.0;15;35.5;2;-0.5;10.0
o;12;46.0;Betschart Marcel;*;9;56.25;11;46.25;-1;0.25;8.5

16h;Fuster Sepp;*;;;;;;;;;54.5
