5234-2021-09-19_Fete_Cantonale_Vaudoise-ST

1a;Sempach Thomas;***;;;;;;;;;58.5
+;8;27.25;Leuenberger Gian (2005);;13;54.75;5;28.0;-3;0.75;9.75
+;8;37.0;Bapst Ludovic;;10;55.5;8;37.0;0;0.0;9.75
o;8;46.75;Borcard Johann;**;3;57.5;5;47.5;-3;0.75;8.5

11d;Rapin Florent;*;;;;;;;;;55.25
o;;;Wieland Janis;*;;;;;;;8.5
+;5;8.5;Vaucher Rémy;;9;55.75;2;9.75;-3;1.25;9.75
+;5;18.25;Perret Axel (2003);;13;54.75;2;19.5;-3;1.25;10.0
o;4;28.25;Wenger Marcel;*;8;56.0;3;28.5;-1;0.25;8.5
+;9;36.75;Gaudard Jeremy;;17;53.75;10;36.5;1;-0.25;10.0
o;8;46.75;Hofer Sven;**;4;57.0;6;47.25;-2;0.5;8.5

11e;Neyroud Geoffrey;;;;;;;;;;55.25
+;;;Wieland Timon;;;;;;;;9.75
-;2;9.75;Hayoz Quentin;*;9;55.75;5;8.5;3;-1.25;8.75
+;4;18.5;Buchs Simon (2004);;23;52.25;5;18.25;1;-0.25;10.0
o;3;28.5;Baeriswyl Christoph;**;6;56.5;4;28.25;1;-0.25;8.5
+;8;37.0;Aeschbacher Ivo;;16;54.0;8;37.0;0;0.0;9.75
o;8;46.75;Kramer Dorian;**;7;56.25;9;46.5;1;-0.25;8.5

11f;Chofflon Anthony;;;;;;;;;;55.25
+;;;Imstepf Sandro;;;;;;;;10.0
o;1;10.0;Collaud Romain;**;4;57.0;4;8.75;3;-1.25;8.5
+;4;18.5;Begg Colin;;15;54.25;4;18.5;0;0.0;9.75
o;4;28.25;Haenni Stéphane;**;9;55.75;8;27.25;4;-1.0;8.5
+;9;36.75;Maitre Damien;;16;54.0;9;36.75;0;0.0;10.0
o;8;46.75;Piemontesi Pascal;**;5;56.75;8;46.75;0;0.0;8.5

11g;Mamadou Lamine Gnabaly;;;;;;;;;;55.25
-;;;Pasquier Loïc;;;;;;;;8.5
+;5;8.5;Berger Sascha;;17;53.75;2;9.75;-3;1.25;10.0
o;4;18.5;Borcard Johann;**;3;57.5;3;18.75;-1;0.25;8.5
+;9;27.0;Wieland Timon;;15;54.25;9;27.0;0;0.0;9.75
+;9;36.75;Zbinden Samuel;;16;54.0;8;37.0;-1;0.25;9.75
-;9;46.5;Wenger Marcel;*;8;56.0;6;47.25;-3;0.75;8.75

12a;Stoll Thomas;*;;;;;;;;;55.0
-;;;Dorsaz Théo;*;;;;;;;8.75
-;4;8.75;Hirschi Damien (2003);;9;55.75;2;9.75;-2;1.0;9.0
+;6;17.75;Berger Alan;;20;53.0;4;18.5;-2;0.75;10.0
-;6;27.75;Vaucher Rémy;;9;55.75;4;28.25;-2;0.5;8.75
+;10;36.5;Giroud Jonathan;**;16;54.0;9;36.75;-1;0.25;10.0
o;9;46.5;Collaud Romain;**;4;57.0;6;47.25;-3;0.75;8.5

12b;Dupertuis Guillaume;;;;;;;;;;55.0
o;;;Golliard Steve;;;;;;;;8.5
o;5;8.5;Grossenbacher Marc;;10;55.5;5;8.5;0;0.0;8.5
+;9;17.0;Périsset Valentin;;24;51.0;9;17.0;0;0.0;9.75
o;10;26.75;Zbinden Samuel;;16;54.0;9;27.0;-1;0.25;8.5
+;15;35.25;Baume Oscar;;23;52.25;15;35.25;0;0.0;9.75
+;15;45.0;Deschenaux Martin (2004);;17;53.75;14;45.25;-1;0.25;10.0

12c;Fankhauser Hans;*;;;;;;;;;55.0
o;;;Turin Antoine;;;;;;;;8.5
+;5;8.5;Maitre Damien;;16;54.0;1;10.0;-4;1.5;9.75
o;5;18.25;Wenger Marcel;*;8;56.0;4;18.5;-1;0.25;8.5
+;10;26.75;Begg Colin;;15;54.25;9;27.0;-1;0.25;10.0
o;9;36.75;Piemontesi Pascal;**;5;56.75;8;37.0;-1;0.25;8.5
+;14;45.25;Juon Martin;;18;53.5;15;45.0;1;-0.25;9.75

12d;Ambresin Cyril;**;;;;;;;;;55.0
+;;;Crettaz Olivier;*;;;;;;;10.0
o;1;10.0;Roschi Ruedi;**;2;58.0;2;9.75;1;-0.25;8.5
+;4;18.5;Buchs Stefan;;16;54.0;4;18.5;0;0.0;9.75
