2818-2015-07-12_Fete_romande-ST

1a;Fankhauser Erich;***;;;;;;;;;58.75
o;5;8.5;Croisier Anthony;;17;54.0;5;8.5;0;0.0;8.5
o;9;17.0;Cardinaux Nicolas;;16;54.25;9;17.0;0;0.0;8.5
o;15;25.5;Beraud Bastien (1999);;17;54.0;15;25.5;0;0.0;8.5
o;16;34.0;Pürro Christian (1999);;22;52.5;15;34.25;-1;0.25;8.5
+;22;42.5;Trachsel Remo (1998);;23;52.25;21;43.75;-1;1.25;10.0

22f;Roux Dimitri (1997);;;;;;;;;;52.5
o;;;Pürro Tobias (1997);;;;;;;;8.5
+;5;8.5;Buchs Claude;;23;52.25;5;8.5;0;0.0;10.0
o;5;18.5;Capt Stéphane;;17;54.0;5;18.5;0;0.0;8.5
o;11;27.0;Crettaz Olivier;;11;55.5;11;27.0;0;0.0;8.5
o;13;35.5;Tenthorey Matthieu;;11;55.5;13;35.5;0;0.0;8.5
o;20;44.0;Hochuli Samuel (1998);;18;53.75;20;44.0;0;0.0;8.5

23a;Egger Fabio (1999);;;;;;;;;;52.25
o;;;Maridor Loïc;;;;;;;;8.5
o;5;8.5;Valvini Maxime;;17;54.0;5;8.5;0;0.0;8.5
o;9;17.0;Lachavanne Noé (1999);;22;52.5;9;17.0;0;0.0;8.5
o;15;25.5;Chavagnat Benoît (1999);;18;53.75;14;25.75;-1;0.25;8.5
+;16;34.0;Roulet Denis;;24;51.0;16;34.0;0;0.0;9.75
o;21;43.75;Délitroz Lucien (1999);;17;54.0;20;44.0;-1;0.25;8.5

23b;Trachsel Remo (1998);;;;;;;;;;52.25
o;;;Von Niederhäusern Martin;;;;;;;;8.5
+;5;8.5;Délitroz Lucien (1999);;17;54.0;5;8.5;0;0.0;9.75
o;6;18.25;Schneiter Jérémy;;18;53.75;6;18.25;0;0.0;8.5
o;12;26.75;Reichenbach Ryan (1999);;18;53.75;12;26.75;0;0.0;8.5
o;14;35.25;Goy Sébastien;;19;53.5;14;35.25;0;0.0;8.5
o;21;43.75;Buchs Remo (1999);;22;52.5;22;42.5;1;-1.25;8.5

23c;Buchs Claude;;;;;;;;;;52.25
o;;;Derron Julien (1997);;;;;;;;8.5
o;5;8.5;Roux Dimitri (1997);;22;52.5;5;8.5;0;0.0;8.5
o;9;17.0;Goy Sébastien;;19;53.5;9;17.0;0;0.0;8.5
o;15;25.5;Hochuli Samuel (1998);;18;53.75;15;25.5;0;0.0;8.5
o;16;34.0;Vaucher Rémy (1999);;21;52.75;15;34.25;-1;0.25;8.5
+;22;42.5;Roulet Denis;;24;51.0;22;42.5;0;0.0;9.75

24a;Roulet Denis;;;;;;;;;;51.0
o;;;Pellet Adrian (1997);;;;;;;;8.5
o;5;8.5;Capt Stéphane;;17;54.0;5;8.5;0;0.0;8.5
o;9;17.0;Curty Alexandre;;17;54.0;9;17.0;0;0.0;8.5
o;15;25.5;Gauch Thierry;;18;53.75;15;25.5;0;0.0;8.5
o;16;34.0;Egger Fabio (1999);;23;52.25;16;34.0;0;0.0;8.5
o;22;42.5;Buchs Claude;;23;52.25;22;42.5;0;0.0;8.5

25a;Zimmermann Mario;*;;;;;;;;;44.0
-;;;Lerch Jimmy;*;;;;;;;8.75
+;4;8.75;Torche Bastian;;14;54.75;2;9.75;-2;1.0;9.75
o;5;18.5;Dind Samuel;**;13;55.0;6;18.25;1;-0.25;8.5
o;11;27.0;Barras André;;13;55.0;6;28.25;-5;1.25;8.5
o;13;35.5;Berger Alan (1998);;15;54.5;11;36.0;-2;0.5;8.5

