2818-2015-07-12_Fete_romande-ST

1a;Fankhauser Erich;***;;;;;;;;;58.75
+;13;45.75;Torche Bastian;;14;54.75;11;46.25;-2;0.5;9.75

11f;Buchs Carlo;;;;;;;;;;55.5
+;;;Capt Stéphane;;;;;;;;10.0
+;1;10.0;Berger Dilan (1998);;12;55.25;1;10.0;0;0.0;10.0
o;1;20.0;Gottofrey Marc;*;4;57.25;5;18.5;4;-1.5;8.5
o;5;28.5;Kropf Rolf;**;6;56.75;6;28.25;1;-0.25;8.5
+;8;37.0;Buchs Julien (1999);;17;54.0;8;37.0;0;0.0;10.0
o;8;47.0;Glauser Thomas;**;6;56.75;9;46.75;1;-0.25;8.5

11g;Süess Gerry;***;;;;;;;;;55.5
+;;;Matthey Mickaël;**;;;;;;;10.0
o;1;10.0;Mathis Marcel;***;2;58.0;1;10.0;0;0.0;8.5
-;5;18.5;Berset Julien;*;7;56.5;4;18.75;-1;0.25;9.0
o;9;27.5;Piemontesi Pascal;**;2;58.0;5;28.5;-4;1.0;8.5
+;11;36.0;Heiniger Vincent;*;12;55.25;8;37.0;-3;1.0;9.75
+;13;45.75;Overney Olivier;*;17;54.0;14;45.5;1;-0.25;9.75

11h;Gassmann Simon;;;;;;;;;;55.5
+;;;Wicky Jonathan;;;;;;;;9.75
o;2;9.75;Gapany Benjamin;**;5;57.0;5;8.5;3;-1.25;8.5
-;6;18.25;Dind Clément;;17;54.0;6;18.25;0;0.0;9.0
+;10;27.25;Ambresin Cyril (1999);;17;54.0;10;27.25;0;0.0;10.0
+;7;37.25;Haldi Sami;;10;55.75;7;37.25;0;0.0;9.75
o;8;47.0;Piemontesi Pascal;**;2;58.0;4;48.0;-4;1.0;8.5

