3310-2016-05-29_102_StGaller_Kantonalschwingfest-ST

1a;Clopath Beat;***;;;;;;;;;58.25
-;3;38.25;Bless Michael;***;7;56.5;4;38.0;1;-0.25;8.75
+;6;47.0;Bernold Christian;*;11;55.5;6;47.0;0;0.0;9.75

6h;Schläpfer Markus;**;;;;;;;;;56.75
-;;;Good Marco;*;;;;;;;9.0
o;3;9.0;Bühler Hannes;*;12;55.25;2;9.75;-1;0.75;8.5
+;9;17.5;Raymann David;;8;56.25;6;18.5;-3;1.0;9.75
+;8;27.25;Scherrer Willi;;15;54.5;3;28.5;-5;1.25;9.75
+;8;37.0;Wicki Cédric;;11;55.5;4;38.0;-4;1.0;9.75
+;7;46.75;Hochholdinger Roman;**;15;54.5;10;46.0;3;-0.75;10.0

7a;Bless Michael;***;;;;;;;;;56.5
o;;;Forrer Arnold;***;;;;;;;8.5
+;5;8.5;Steiner Michael;**;11;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Schneider Domenic;**;5;57.0;6;18.5;0;0.0;9.75
+;4;28.25;Holenstein Christian;*;10;55.75;3;28.5;-1;0.25;9.75
-;4;38.0;Krähenbühl Tobias;**;6;56.75;3;38.25;-1;0.25;8.75
+;7;46.75;Battaglia Ursin;**;12;55.25;7;46.75;0;0.0;9.75

7b;Kuster Marcel;**;;;;;;;;;56.5
+;;;Krähenbühl Tobias;**;;;;;;;10.0
-;1;10.0;Schneider Domenic;**;5;57.0;2;9.75;1;-0.25;8.75
-;5;18.75;Hochholdinger Roman;**;15;54.5;5;18.75;0;0.0;8.75
-;7;27.5;Steiner Michael;**;11;55.5;3;28.5;-4;1.0;9.0
+;10;36.5;Baumgartner Alexander;;12;55.25;4;38.0;-6;1.5;10.0
+;8;46.5;Bühler Hannes;*;12;55.25;8;46.5;0;0.0;10.0

7c;Rhyner Michael;**;;;;;;;;;56.5
o;;;Zwyssig Raphael;***;;;;;;;8.5
+;5;8.5;Koch Thomas;;12;55.25;1;10.0;-4;1.5;9.75
+;7;18.25;Jörger Marc;;13;55.0;6;18.5;-1;0.25;10.0
+;4;28.25;Reber Marcel;*;9;56.0;2;28.75;-2;0.5;10.0
o;3;38.25;Clopath Beat;***;1;58.25;3;38.25;0;0.0;8.5
+;7;46.75;Steiner Michael;**;11;55.5;6;47.0;-1;0.25;9.75

8a;Coray Beda;*;;;;;;;;;56.25
+;;;Bäbler Dominik;*;;;;;;;9.75
o;2;9.75;Fässler Andreas;**;5;57.0;1;10.0;-1;0.25;8.5
+;7;18.25;Scheiwiller Tobias;;11;55.5;3;19.5;-4;1.25;10.0
o;4;28.25;Krähenbühl Tobias;**;6;56.75;4;28.25;0;0.0;8.5
