3310-2016-05-29_102_StGaller_Kantonalschwingfest-ST

1a;Clopath Beat;***;;;;;;;;;58.25
-;7;18.25;Koch Reto;;15;54.5;6;18.5;-1;0.25;9.0
+;8;27.25;Schegg Daniel (2000);;19;53.5;5;28.0;-3;0.75;10.0
o;7;37.25;Gmür Pirmin;*;6;56.75;8;37.0;1;-0.25;8.5
o;11;45.75;Elmer Adrian;;12;55.25;12;45.5;1;-0.25;8.5

16d;Roth Peter (1998);;;;;;;;;;54.25
o;;;Baumgartner Alexander;;;;;;;;8.5
o;5;8.5;Elmer Adrian;;12;55.25;4;8.75;-1;0.25;8.5
+;11;17.0;Raymann Jan (1999);;29;34.0;11;17.0;0;0.0;10.0
+;9;27.0;Zahner Stefan;;17;54.0;8;27.25;-1;0.25;10.0
o;8;37.0;Elmer Daniel;*;11;55.5;7;37.25;-1;0.25;8.5
-;12;45.5;Herrsche Lars (1998);;20;53.25;16;44.5;4;-1.0;8.75

16e;Nigg Jakob (1999);;;;;;;;;;54.25
-;;;Wetter Silvan (2000);;;;;;;;8.75
-;4;8.75;Büsser Remo;;14;54.75;4;8.75;0;0.0;8.75
+;9;17.5;Gerig Marcel;;13;55.0;7;18.25;-2;0.75;9.75
+;8;27.25;Stadelmann Patrick (2000);;24;35.25;10;26.75;2;-0.5;9.75
o;8;37.0;Giger Urs;*;8;56.25;11;36.25;3;-0.75;8.75
o;11;45.75;Näf Pius;*;10;55.75;11;45.75;0;0.0;8.5

16f;Eisenring Daniel;;;;;;;;;;54.25
o;;;Steiner Michael (1998);;;;;;;;8.5
-;5;8.5;Müller Loris (1999);;27;34.5;5;8.5;0;0.0;9.0
+;9;17.5;Dobler Lorenz (2000);;29;34.0;11;17.0;2;-0.5;9.75
o;8;27.25;Marty Jaime (2000);;12;55.25;9;27.0;1;-0.25;8.5
o;13;35.75;Zahner Stefan;;17;54.0;13;35.75;0;0.0;8.5
+;17;44.25;Roth Markus;;22;52.75;17;44.25;0;0.0;10.0

17a;Wetter Silvan (2000);;;;;;;;;;54.0
-;;;Nigg Jakob (1999);;;;;;;;8.75
+;4;8.75;Baumgartner Joël;;26;34.75;4;8.75;0;0.0;9.75
o;6;18.5;Straub Robin;*;20;53.25;10;17.25;4;-1.25;8.5
+;9;27.0;Raschle Adrian;;24;35.25;10;26.75;1;-0.25;10.0
o;8;37.0;Bernold Christian;*;11;55.5;8;37.0;0;0.0;8.5
o;12;45.5;Schrepfer Chris;;12;55.25;12;45.5;0;0.0;8.5

17b;Lieberherr Michael (1999);;;;;;;;;;54.0
o;;;Gubler Daniel;;;;;;;;8.5
+;5;8.5;Tritten Robin (1998);;23;35.5;5;8.5;0;0.0;10.0
-;6;18.5;Schwyn Adrian;;11;55.5;6;18.5;0;0.0;8.75
o;8;27.25;Gerig Marcel;;13;55.0;10;26.75;2;-0.5;8.5
o;13;35.75;Zumbach Michael;;17;54.0;13;35.75;0;0.0;8.5
+;17;44.25;Streule Marco;;22;52.75;17;44.25;0;0.0;9.75

17c;Zumbach Michael;;;;;;;;;;54.0
-;;;Bischof Martin;;;;;;;;8.75
+;4;8.75;Sonderegger Damian;;23;35.5;1;10.0;-3;1.25;9.75
o;6;18.5;Rütsche Stefan;*;12;55.25;6;18.5;0;0.0;8.5
o;9;27.0;Harder Benj;;12;55.25;10;26.75;1;-0.25;8.75
+;13;35.75;Lieberherr Michael (1999);;17;54.0;13;35.75;0;0.0;9.75
o;12;45.5;Hersche Daniel;;13;55.0;13;45.25;1;-0.25;8.5

17d;Zahner Stefan;;;;;;;;;;54.0
-;;;Bleiker Daniel;;;;;;;;8.75
o;4;8.75;Hersche Daniel;;13;55.0;4;8.75;0;0.0;8.5
+;10;17.25;Stüble Lukas (1998);;27;34.5;10;17.25;0;0.0;10.0
o;8;27.25;Roth Peter (1998);;16;54.25;9;27.0;1;-0.25;8.5
+;13;35.75;Eisenring Daniel;;16;54.25;13;35.75;0;0.0;9.75
o;12;45.5;Kobler Janosch (2000);;12;55.25;13;45.25;1;-0.25;8.5

17e;Arnold Christian;;;;;;;;;;54.0
o;;;Stauffacher Martin (1998);;;;;;;;8.5
+;5;8.5;Baumann Elia (2000);;23;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Streuli Martin;*;10;55.75;9;17.5;3;-1.0;8.5
+;9;27.0;Städler Lars;;24;35.25;10;26.75;1;-0.25;10.0
o;8;37.0;Truniger Manuel;;6;56.75;8;37.0;0;0.0;8.5
o;12;45.5;Schwyn Adrian;;11;55.5;11;45.75;-1;0.25;8.5

17f;Koller Fabian;;;;;;;;;;54.0
+;;;Breitenmoser Manuel;;;;;;;;10.0
o;1;10.0;Bernold Christian;*;11;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Elmer Daniel;*;11;55.5;5;18.75;-1;0.25;8.75
o;8;27.25;Koch Thomas;;12;55.25;8;27.25;0;0.0;8.5
+;13;35.75;Schlegel Sämi (2000);;21;53.0;12;36.0;-1;0.25;9.75
o;12;45.5;Hobi Ignaz;;11;55.5;11;45.75;-1;0.25;8.5

17g;Bischof Martin;;;;;;;;;;54.0
-;;;Zumbach Michael;;;;;;;;8.75
+;4;8.75;Steiner Michael (1998);;23;35.5;1;10.0;-3;1.25;9.75
o;6;18.5;Hersche Martin;**;5;57.0;6;18.5;0;0.0;8.5
+;9;27.0;Wildhaber Jannik (1999);;23;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Ammann Rico;*;12;55.25;13;35.75;4;-1.0;8.5
-;13;45.25;Keller Lukas;;18;53.75;14;45.0;1;-0.25;8.75

17h;Fuster Sepp;;;;;;;;;;54.0
o;;;Schmucki Ivo;;;;;;;;8.5
o;5;8.5;Hobi Ignaz;;11;55.5;5;8.5;0;0.0;8.5
+;11;17.0;Müller Elias;;16;54.25;9;17.5;-2;0.5;10.0
+;9;27.0;Gschwend Walter;*;28;34.25;13;25.75;4;-1.25;9.75
o;9;36.75;Hämmerli Gian-Franco;*;12;55.25;8;37.0;-1;0.25;8.5
-;13;45.25;Bernold Michael (1999);;16;54.25;12;45.5;-1;0.25;8.75

17i;Lozza Roman;;;;;;;;;;54.0
+;;;Egli Patrick;;;;;;;;10.0
+;1;10.0;Vogel Beat;*;11;55.5;5;8.5;4;-1.5;10.0
o;1;20.0;Holenstein Christian;*;10;55.75;6;18.5;5;-1.5;8.5
o;3;28.5;Vollmeier Sandro;;12;55.25;4;28.25;1;-0.25;8.5
o;8;37.0;Schiess Christian;;12;55.25;9;36.75;1;-0.25;8.5
o;12;45.5;Büsser André;;12;55.25;12;45.5;0;0.0;8.5

17j;Ochsner Reto (2000);;;;;;;;;;54.0
o;;;Schegg Michael;;;;;;;;8.5
o;5;8.5;Rhyner Marco;;23;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Wenger Dominic (1999);;29;34.0;11;17.0;0;0.0;10.0
+;9;27.0;Moser Andrin (2000);;23;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Baumann Rico;*;10;55.75;7;37.25;-1;0.25;8.5
o;12;45.5;Hengartner Ivo;;11;55.5;11;45.75;-1;0.25;8.5

17k;Peterer Ivan;**;;;;;;;;;54.0
+;;;Notz Hans;*;;;;;;;10.0
o;1;10.0;Schneider Mario;**;2;57.75;2;9.75;1;-0.25;8.5
o;6;18.5;Reber Marcel;*;9;56.0;5;18.75;-1;0.25;8.5
+;9;27.0;Elmer Adrian;;12;55.25;3;28.5;-6;1.5;10.0
o;8;37.0;Marty Jaime (2000);;12;55.25;8;37.0;0;0.0;8.5
o;12;45.5;Ammann Rico;*;12;55.25;12;45.5;0;0.0;8.5

18a;Koller Andreas (1998);;;;;;;;;;53.75
+;;;Breitenmoser Simon;;;;;;;;10.0
+;1;10.0;Wickli Beat;**;6;56.75;5;8.5;4;-1.5;9.75
o;2;19.75;Eugster Ruedi;**;13;55.0;5;18.75;3;-1.0;8.5
o;4;28.25;Schlegel Reto;*;11;55.5;3;28.5;-1;0.25;8.5
o;9;36.75;Holenstein Christian;*;10;55.75;8;37.0;-1;0.25;8.5
o;13;45.25;Alder Armin;;11;55.5;11;45.75;-2;0.5;8.5

18b;Tremp Remo (1999);;;;;;;;;;53.75
+;;;Müller Elias;;;;;;;;9.75
o;2;9.75;Alder Armin;;11;55.5;5;8.5;3;-1.25;8.75
o;6;18.5;Truniger Manuel;;6;56.75;5;18.75;-1;0.25;8.5
+;9;27.0;Baumann Elia (2000);;23;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Ott Damian (2000);;12;55.25;8;37.0;-1;0.25;8.5
o;13;45.25;Langenegger Remo;;14;54.75;14;45.0;1;-0.25;8.5

18c;Weber Erwin (2000);;;;;;;;;;53.75
-;;;Wildhaber Jannik (1999);;;;;;;;8.75
+;4;8.75;Städler Lars;;24;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Vestner Roman;*;10;55.75;7;18.25;1;-0.25;8.5
+;9;27.0;Beck Dominik;;23;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Bärtsch Fabian (2000);;13;55.0;9;36.75;0;0.0;8.5
o;13;45.25;Keller Dominic;;13;55.0;14;45.0;1;-0.25;8.5

18d;Keller Lukas;;;;;;;;;;53.75
-;;;Raymann David;;;;;;;;8.75
-;4;8.75;Schrepfer Roy;;14;54.75;1;10.0;-3;1.25;8.75
+;9;17.5;Müller Loris (1999);;27;34.5;9;17.5;0;0.0;10.0
-;7;27.5;Rüegg Roman;*;9;56.0;8;27.25;1;-0.25;8.75
-;11;36.25;Bäbler Dominik;*;19;53.5;12;36.0;1;-0.25;8.75
-;14;45.0;Bischof Martin;;17;54.0;13;45.25;-1;0.25;8.75

18e;Pfleghart Remo;;;;;;;;;;53.75
-;;;Bänziger Peter;;;;;;;;8.75
+;4;8.75;Bommer Christoph;;23;35.5;1;10.0;-3;1.25;9.75
o;6;18.5;Scherer Christian;*;9;56.0;5;18.75;-1;0.25;8.5
+;9;27.0;Thoma Christoph;;23;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Vestner Roman;*;10;55.75;7;37.25;-2;0.5;8.5
o;13;45.25;Koch Thomas;;12;55.25;12;45.5;-1;0.25;8.5

18f;Stauffacher Martin (1998);;;;;;;;;;53.75
+;;;Arnold Christian;;;;;;;;9.75
o;2;9.75;Gmür Pirmin;*;6;56.75;4;8.75;2;-1.0;8.5
+;7;18.25;Roth Sämi (2000);;24;35.25;7;18.25;0;0.0;10.0
o;4;28.25;Fejzaj Naim;*;11;55.5;4;28.25;0;0.0;8.5
o;9;36.75;Pfiffner Ivo;;10;55.75;8;37.0;-1;0.25;8.5
o;13;45.25;Koch Reto;;15;54.5;15;44.75;2;-0.5;8.5

19a;Schegg Daniel (2000);;;;;;;;;;53.5
+;;;Oppliger Matthias (1999);;;;;;;;9.75
o;2;9.75;Raymann David;;8;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Stauffacher Roman (2000);;24;35.25;7;18.25;0;0.0;9.75
o;5;28.0;Schönenberger Philipp;;16;54.25;8;27.25;3;-0.75;8.5
o;10;36.5;Räbsamen Marcel (2000);;11;55.5;8;37.0;-2;0.5;8.5
o;14;45.0;Güntensperger Marcel;*;12;55.25;13;45.25;-1;0.25;8.5

19b;Schmid Sascha (1999);;;;;;;;;;53.5
+;;;Thoma Nils (1999);;;;;;;;9.75
o;2;9.75;Bernold Michael (1999);;16;54.25;5;8.5;3;-1.25;8.5
o;7;18.25;Langenegger Remo;;14;54.75;7;18.25;0;0.0;8.5
+;10;26.75;Müller Loris (1999);;27;34.5;12;26.0;2;-0.75;9.75
o;10;36.5;Wild Thomas;;11;55.5;8;37.0;-2;0.5;8.5
o;14;45.0;Baumann Simon;;12;55.25;13;45.25;-1;0.25;8.5

19c;Schegg Michael;;;;;;;;;;53.5
+;;;Ochsner Reto (2000);;;;;;;;9.75
o;2;9.75;Elmer Daniel;*;11;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Schiess Christian;;12;55.25;7;18.25;0;0.0;8.5
+;10;26.75;Bleiker Daniel;;23;35.5;9;27.0;-1;0.25;9.75
o;10;36.5;Raymann David;;8;56.25;7;37.25;-3;0.75;8.5
o;14;45.0;Gerig Marcel;;13;55.0;14;45.0;0;0.0;8.5

19d;Bäbler Dominik;*;;;;;;;;;53.5
o;;;Coray Beda;*;;;;;;;8.5
-;5;8.5;Krähenbühl Lukas;*;13;55.0;2;9.75;-3;1.25;8.75
+;10;17.25;Rhyner Marco;;23;35.5;7;18.25;-3;1.0;10.0
-;8;27.25;Fausch Kjetil;;11;55.5;4;28.25;-4;1.0;8.75
-;12;36.0;Keller Lukas;;18;53.75;11;36.25;-1;0.25;8.75
-;15;44.75;Straub Robin;*;20;53.25;16;44.5;1;-0.25;8.75

19e;Schwyn Patrick (1999);;;;;;;;;;53.5
+;;;Dobler Lorenz (2000);;;;;;;;9.75
o;2;9.75;Güntensperger Marcel;*;12;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Eisenring Leandro (2000);;23;35.5;6;18.5;-1;0.25;9.75
o;5;28.0;Wickli Beat;**;6;56.75;9;27.0;4;-1.0;8.5
o;10;36.5;Breitenmoser Manuel;;10;55.75;9;36.75;-1;0.25;8.5
o;14;45.0;Rütsche Werner;;14;54.75;14;45.0;0;0.0;8.5

20a;Straub Robin;*;;;;;;;;;53.25
-;;;Bleiker Reto;*;;;;;;;8.75
o;4;8.75;Scheiwiller Tobias;;11;55.5;2;9.75;-2;1.0;8.5
+;10;17.25;Wetter Silvan (2000);;17;54.0;6;18.5;-4;1.25;10.0
-;8;27.25;Oertig Adrian;**;11;55.5;5;28.0;-3;0.75;8.75
o;12;36.0;Coray Beda;*;8;56.25;9;36.75;-3;0.75;8.5
-;16;44.5;Bäbler Dominik;*;19;53.5;15;44.75;-1;0.25;8.75

20b;Herrsche Lars (1998);;;;;;;;;;53.25
o;;;Rütsche Werner;;;;;;;;8.5
-;5;8.5;Dudli Gallus;;23;35.5;5;8.5;0;0.0;8.75
-;10;17.25;Streule Marco;;22;52.75;11;17.0;1;-0.25;8.75
+;12;26.0;Stauffacher Roman (2000);;24;35.25;10;26.75;-2;0.75;10.0
o;12;36.0;Hengartner Ivo;;11;55.5;13;35.75;1;-0.25;8.5
-;16;44.5;Roth Peter (1998);;16;54.25;12;45.5;-4;1.0;8.75

21a;Schlegel Sämi (2000);;;;;;;;;;53.0
o;;;Schwyn Adrian;;;;;;;;8.5
+;5;8.5;Wenger Dominic (1999);;29;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Bernold Christian;*;11;55.5;6;18.5;0;0.0;8.5
-;9;27.0;Scheiwiller Tobias;;11;55.5;5;28.0;-4;1.0;9.0
o;12;36.0;Koller Fabian;;17;54.0;13;35.75;1;-0.25;8.5
o;16;44.5;Ulmann Fabian (1999);;15;54.5;16;44.5;0;0.0;8.5

21b;Meier Joel (1999);;;;;;;;;;53.0
+;;;Baumann Elia (2000);;;;;;;;10.0
o;1;10.0;Breitenmoser Simon;;15;54.5;5;8.5;4;-1.5;8.5
o;6;18.5;Scherrer Willi;;15;54.5;6;18.5;0;0.0;8.5
-;9;27.0;Ulmann Fabian (1999);;15;54.5;8;27.25;-1;0.25;8.75
o;13;35.75;Müller Elias;;16;54.25;12;36.0;-1;0.25;8.75
o;16;44.5;Schönenberger Björn;;15;54.5;16;44.5;0;0.0;8.5

22a;Streule Marco;;;;;;;;;;52.75
o;;;Schrepfer Chris;;;;;;;;8.5
o;5;8.5;Baumann Simon;;12;55.25;4;8.75;-1;0.25;8.5
-;11;17.0;Herrsche Lars (1998);;20;53.25;10;17.25;-1;0.25;8.75
+;13;25.75;Eicher Marco (1999);;28;34.25;14;25.5;1;-0.25;10.0
o;13;35.75;Alder Armin;;11;55.5;13;35.75;0;0.0;8.5
o;17;44.25;Lieberherr Michael (1999);;17;54.0;17;44.25;0;0.0;8.5

22b;Roth Markus;;;;;;;;;;52.75
o;;;Schönenberger Björn;;;;;;;;8.5
-;5;8.5;Müller Elias;;16;54.25;5;8.5;0;0.0;9.0
o;9;17.5;Tritten Robin (1998);;23;35.5;11;17.0;2;-0.5;8.5
+;12;26.0;Stüble Lukas (1998);;27;34.5;13;25.75;1;-0.25;9.75
o;13;35.75;Rüegg Roman;*;9;56.0;12;36.0;-1;0.25;8.5
o;17;44.25;Eisenring Daniel;;16;54.25;17;44.25;0;0.0;8.5

23a;Gubler Daniel;;;;;;;;;;35.5
+;;;Lieberherr Michael (1999);;;;;;;;10.0
o;1;10.0;Hämmerli Gian-Franco;*;12;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Pfister Florian;*;6;56.75;7;18.25;1;-0.25;8.5
o;9;27.0;Bänziger Peter;;14;54.75;8;27.25;-1;0.25;8.5

23b;Tischhauser Markus (2000);;;;;;;;;;35.5
o;;;Nigg Kaspar;;;;;;;;8.5
-;5;8.5;Roth Michael (1999);;26;34.75;5;8.5;0;0.0;8.75
+;10;17.25;Kamm Kurt;;23;35.5;11;17.0;1;-0.25;9.75
o;9;27.0;Bühler Ernst;**;5;57.0;8;27.25;-1;0.25;8.5

23c;Zinniel Markus;*;;;;;;;;;35.5
-;;;Elmer Adrian;;;;;;;;8.75
+;4;8.75;Thoma Christoph;;23;35.5;5;8.5;1;-0.25;9.75
o;6;18.5;Fejzaj Naim;*;11;55.5;6;18.5;0;0.0;8.5
o;9;27.0;Wicki Cédric;;11;55.5;4;28.25;-5;1.25;8.5

23d;Eisenring Leandro (2000);;;;;;;;;;35.5
+;;;Kamm Kurt;;;;;;;;10.0
o;1;10.0;Kobler Janosch (2000);;12;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Schwyn Patrick (1999);;19;53.5;7;18.25;1;-0.25;8.5
o;9;27.0;Hobi Ignaz;;11;55.5;8;27.25;-1;0.25;8.5

23e;Bleiker Daniel;;;;;;;;;;35.5
-;;;Zahner Stefan;;;;;;;;8.75
o;4;8.75;Raschle Adrian;;24;35.25;5;8.5;1;-0.25;8.5
+;10;17.25;Dudli Gallus;;23;35.5;10;17.25;0;0.0;9.75
o;9;27.0;Schegg Michael;;19;53.5;10;26.75;1;-0.25;8.5

23f;Sonderegger Damian;;;;;;;;;;35.5
+;;;Eicher Marco (1999);;;;;;;;10.0
o;1;10.0;Zumbach Michael;;17;54.0;4;8.75;3;-1.25;8.5
o;6;18.5;Wicki Cédric;;11;55.5;7;18.25;1;-0.25;8.5
o;9;27.0;Vogel Beat;*;11;55.5;10;26.75;1;-0.25;8.5

23g;Winzeler Simon (2000);;;;;;;;;;35.5
o;;;Stadelmann Patrick (2000);;;;;;;;8.5
o;5;8.5;Gerig Marcel;;13;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Büsser Remo;;14;54.75;9;17.5;-2;0.5;8.5
+;14;25.5;Baumgartner Joël;;26;34.75;12;26.0;-2;0.5;10.0

23h;Oppliger Matthias (1999);;;;;;;;;;35.5
o;;;Schegg Daniel (2000);;;;;;;;8.75
o;4;8.75;Thoma Christoph;;23;35.5;5;8.5;1;-0.25;8.5
+;10;17.25;Signer Christian (1999);;29;34.0;11;17.0;1;-0.25;9.75
o;9;27.0;Kobler Janosch (2000);;12;55.25;10;26.75;1;-0.25;8.5

23i;Ueltschi Patric;*;;;;;;;;;35.5
o;;;Krähenbühl Lukas;*;;;;;;;8.5
o;5;8.5;Vollmeier Sandro;;12;55.25;1;10.0;-4;1.5;8.5
-;11;17.0;Hobi Ignaz;;11;55.5;7;18.25;-4;1.25;8.75
+;13;25.75;Tritten Robin (1998);;23;35.5;9;27.0;-4;1.25;9.75

23j;Winzeler Dominik (2000);;;;;;;;;;35.5
o;;;Schönenberger Philipp;;;;;;;;8.5
o;5;8.5;Rütsche Stefan;*;12;55.25;4;8.75;-1;0.25;8.5
o;11;17.0;Städler Lars;;24;35.25;11;17.0;0;0.0;8.5
+;14;25.5;Wenger Dominic (1999);;29;34.0;14;25.5;0;0.0;10.0

23k;Baumann Elia (2000);;;;;;;;;;35.5
o;;;Meier Joel (1999);;;;;;;;8.5
o;5;8.5;Arnold Christian;;17;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Eicher Marco (1999);;28;34.25;11;17.0;0;0.0;10.0
o;9;27.0;Tremp Remo (1999);;18;53.75;9;27.0;0;0.0;8.5

23l;Rotach Lars (2000);;;;;;;;;;35.5
+;;;Städler Lars;;;;;;;;10.0
o;1;10.0;Jörger Marc;;13;55.0;5;8.5;4;-1.5;8.5
o;6;18.5;Kuster Thomas;*;30;27.0;10;17.25;4;-1.25;8.5
o;9;27.0;Schrepfer Roy;;14;54.75;8;27.25;-1;0.25;8.5

23m;Frei Kilian (2000);;;;;;;;;;35.5
o;;;Roth Sämi (2000);;;;;;;;8.5
+;5;8.5;Signer Christian (1999);;29;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Baumgartner Alexander;;12;55.25;7;18.25;1;-0.25;8.5
o;9;27.0;Büsser André;;12;55.25;9;27.0;0;0.0;8.5

23n;Steiner Michael (1998);;;;;;;;;;35.5
+;;;Eisenring Daniel;;;;;;;;10.0
o;1;10.0;Bischof Martin;;17;54.0;4;8.75;3;-1.25;8.5
o;6;18.5;Ott Damian (2000);;12;55.25;6;18.5;0;0.0;8.5
o;9;27.0;Baumann Simon;;12;55.25;9;27.0;0;0.0;8.5

23o;Tritten Robin (1998);;;;;;;;;;35.5
o;;;Vollmeier Sandro;;;;;;;;8.5
o;5;8.5;Lieberherr Michael (1999);;17;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Roth Markus;;22;52.75;9;17.5;-2;0.5;10.0
o;9;27.0;Ueltschi Patric;*;23;35.5;13;25.75;4;-1.25;8.5

23p;Dudli Gallus;;;;;;;;;;35.5
o;;;Stauffacher Roman (2000);;;;;;;;8.5
-;5;8.5;Herrsche Lars (1998);;20;53.25;5;8.5;0;0.0;8.75
o;10;17.25;Bleiker Daniel;;23;35.5;10;17.25;0;0.0;8.5
+;13;25.75;Dobler Lorenz (2000);;29;34.0;14;25.5;1;-0.25;9.75

23q;Rhyner Marco;;;;;;;;;;35.5
o;;;Schrepfer Roy;;;;;;;;8.5
+;5;8.5;Ochsner Reto (2000);;17;54.0;5;8.5;0;0.0;9.75
o;7;18.25;Bäbler Dominik;*;19;53.5;10;17.25;3;-1.0;8.5
-;10;26.75;Breitenmoser Simon;;15;54.5;8;27.25;-2;0.5;8.75

23r;Nigg Kaspar;;;;;;;;;;35.5
+;;;Tischhauser Markus (2000);;;;;;;;10.0
o;1;10.0;Büsser André;;12;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Güntensperger Marcel;*;12;55.25;6;18.5;0;0.0;8.5
o;9;27.0;Orlik Curdin;**;6;56.75;8;27.25;-1;0.25;8.5

23s;Moser Andrin (2000);;;;;;;;;;35.5
+;;;Wenger Dominic (1999);;;;;;;;10.0
o;1;10.0;Marty Jaime (2000);;12;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Schrepfer Chris;;12;55.25;6;18.5;0;0.0;8.5
o;9;27.0;Ochsner Reto (2000);;17;54.0;9;27.0;0;0.0;8.5

23t;Wildhaber Jannik (1999);;;;;;;;;;35.5
-;;;Weber Erwin (2000);;;;;;;;8.75
+;4;8.75;Stüble Lukas (1998);;27;34.5;4;8.75;0;0.0;9.75
o;6;18.5;Breitenmoser Manuel;;10;55.75;7;18.25;1;-0.25;8.5
o;9;27.0;Bischof Martin;;17;54.0;9;27.0;0;0.0;8.5

23u;Kamm Kurt;;;;;;;;;;35.5
o;;;Eisenring Leandro (2000);;;;;;;;8.5
o;5;8.5;Ulmann Fabian (1999);;15;54.5;5;8.5;0;0.0;8.5
o;11;17.0;Tischhauser Markus (2000);;23;35.5;10;17.25;-1;0.25;8.5
+;14;25.5;Signer Christian (1999);;29;34.0;14;25.5;0;0.0;10.0

23v;Beck Dominik;;;;;;;;;;35.5
+;;;Signer Christian (1999);;;;;;;;10.0
o;1;10.0;Bänziger Peter;;14;54.75;4;8.75;3;-1.25;8.5
o;6;18.5;Rüegg Roman;*;9;56.0;10;17.25;4;-1.25;8.5
o;9;27.0;Weber Erwin (2000);;18;53.75;9;27.0;0;0.0;8.5

23w;Bommer Christoph;;;;;;;;;;35.5
+;;;Müller Loris (1999);;;;;;;;10.0
o;1;10.0;Pfleghart Remo;;18;53.75;4;8.75;3;-1.25;8.5
o;6;18.5;Kamer Hanspeter;*;12;55.25;7;18.25;1;-0.25;8.5
o;9;27.0;Bernold Michael (1999);;16;54.25;9;27.0;0;0.0;8.5

23x;Thoma Christoph;;;;;;;;;;35.5
o;;;Schlegel Beni (1999);;;;;;;;8.5
+;5;8.5;Oppliger Matthias (1999);;23;35.5;4;8.75;-1;0.25;10.0
o;6;18.5;Zinniel Markus;*;23;35.5;6;18.5;0;0.0;8.5
o;9;27.0;Pfleghart Remo;;18;53.75;9;27.0;0;0.0;8.5

23y;Schlegel Beni (1999);;;;;;;;;;35.5
+;;;Thoma Christoph;;;;;;;;10.0
o;1;10.0;Vestner Roman;*;10;55.75;5;8.5;4;-1.5;8.5
o;6;18.5;Elmer Adrian;;12;55.25;5;18.75;-1;0.25;8.5
o;9;27.0;Pfiffner Ivo;;10;55.75;8;27.25;-1;0.25;8.5

24a;Raschle Adrian;;;;;;;;;;35.25
o;;;Truniger Manuel;;;;;;;;8.5
+;5;8.5;Bleiker Daniel;;23;35.5;4;8.75;-1;0.25;9.75
o;7;18.25;Vogel Beat;*;11;55.5;11;17.0;4;-1.25;8.5
o;10;26.75;Wetter Silvan (2000);;17;54.0;9;27.0;-1;0.25;8.5

24b;Stauffacher Roman (2000);;;;;;;;;;35.25
+;;;Dudli Gallus;;;;;;;;9.75
o;2;9.75;Scherer Christian;*;9;56.0;4;8.75;2;-1.0;8.5
o;7;18.25;Schegg Daniel (2000);;19;53.5;7;18.25;0;0.0;8.5
o;10;26.75;Herrsche Lars (1998);;20;53.25;12;26.0;2;-0.75;8.5

24c;Thoma Nils (1999);;;;;;;;;;35.25
o;;;Schmid Sascha (1999);;;;;;;;8.5
+;5;8.5;Eicher Marco (1999);;28;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Bernold Edi;**;9;56.0;8;17.75;1;-0.5;8.5
o;10;26.75;Hersche Daniel;;13;55.0;9;27.0;-1;0.25;8.5

24d;Roth Sämi (2000);;;;;;;;;;35.25
+;;;Frei Kilian (2000);;;;;;;;9.75
o;2;9.75;Breitenmoser Manuel;;10;55.75;5;8.5;3;-1.25;8.5
o;7;18.25;Stauffacher Martin (1998);;18;53.75;7;18.25;0;0.0;8.5
o;10;26.75;Rütsche Werner;;14;54.75;10;26.75;0;0.0;8.5

24e;Stadelmann Patrick (2000);;;;;;;;;;35.25
+;;;Winzeler Simon (2000);;;;;;;;9.75
o;2;9.75;Keller Dominic;;13;55.0;5;8.5;3;-1.25;8.5
o;7;18.25;Fausch Kjetil;;11;55.5;7;18.25;0;0.0;8.5
o;10;26.75;Nigg Jakob (1999);;16;54.25;8;27.25;-2;0.5;8.5

24f;Städler Lars;;;;;;;;;;35.25
o;;;Rotach Lars (2000);;;;;;;;8.5
o;5;8.5;Weber Erwin (2000);;18;53.75;4;8.75;-1;0.25;8.5
+;11;17.0;Winzeler Dominik (2000);;23;35.5;11;17.0;0;0.0;9.75
o;10;26.75;Arnold Christian;;17;54.0;9;27.0;-1;0.25;8.5

25a;Scheiwiller Andreas;*;;;;;;;;;35.0
-;;;Elmer Daniel;*;;;;;;;8.75
-;4;8.75;Egli Martin;;13;55.0;2;9.75;-2;1.0;8.75
-;9;17.5;Alder Armin;;11;55.5;6;18.5;-3;1.0;8.75
