3581-2018-05-10_Baselstaedtischer_Schwingertag-ST

1a;Sempach Thomas;***;;;;;;;;;59.25
-;;;Gisin Yanic;;;;;;;;8.75
+;3;8.75;Schaub Florent;;29;25.75;3;8.75;0;0.0;10.0
o;5;18.75;Stoll Simon;*;6;56.75;6;18.5;1;-0.25;8.5
-;8;27.25;Schmutz Simon (2000);;14;54.75;8;27.25;0;0.0;8.75
-;13;36.0;Widmer Dino;;17;54.0;15;35.5;2;-0.5;8.75
-;17;44.75;Grieder Nonda;;17;54.0;15;45.25;-2;0.5;8.75

20a;Huber Fabian;;;;;;;;;;52.75
+;;;Herrmann Adrian (2000);;;;;;;;10.0
o;1;10.0;Kohler Adrian;;16;54.25;1;10.0;0;0.0;8.5
o;6;18.5;von Weissenfluh Kilian;**;5;57.0;8;17.5;2;-1.0;8.5
o;9;27.0;Dettwiler Patrick;;18;53.75;9;27.0;0;0.0;8.75
o;14;35.75;Fritz Christian;;12;55.25;14;35.75;0;0.0;8.5
o;19;44.25;Bachmann Sämi (2001);;15;54.5;18;44.5;-1;0.25;8.5

21a;Hermann Lukas 1 (2000);;;;;;;;;;52.5
o;;;Schwander Kilian;;;;;;;;8.5
o;4;8.5;Rüegg Benjamin;;24;35.25;4;8.5;0;0.0;8.5
+;10;17.0;Lazic Serge (2000);;28;34.0;10;17.0;0;0.0;10.0
o;9;27.0;Aerni Lars;;16;54.25;9;27.0;0;0.0;8.5
o;15;35.5;Hitz Florian;;16;54.25;14;35.75;-1;0.25;8.5
o;20;44.0;Meyer Lukas (2001);;17;54.0;20;44.0;0;0.0;8.5

21b;Jakober Daniel;;;;;;;;;;52.5
+;;;Hermann Lukas (2002);;;;;;;;10.0
o;1;10.0;Schwegler Dominik;;17;54.0;1;10.0;0;0.0;8.5
o;6;18.5;Freund Romeo;**;6;56.75;7;18.25;1;-0.25;8.5
o;9;27.0;Dobler Florian;;11;55.5;9;27.0;0;0.0;8.5
o;15;35.5;Bieli Andreas;;17;54.0;14;35.75;-1;0.25;8.5
o;20;44.0;Lisser Beat;;16;54.25;18;44.5;-2;0.5;8.5

21c;Fritz Andreas;;;;;;;;;;52.5
o;;;Freund Romeo;**;;;;;;;8.5
o;4;8.5;Kehr Damian (2001);;18;53.75;2;9.75;-2;1.25;8.5
o;10;17.0;Meyer Lukas (2001);;17;54.0;9;17.25;-1;0.25;8.5
+;13;25.5;Schmid Justin (2002);;27;34.25;12;25.75;-1;0.25;10.0
o;15;35.5;Burren Patrick;;15;54.5;14;35.75;-1;0.25;8.5
o;20;44.0;Kaspar Jan;;17;54.0;20;44.0;0;0.0;8.5

21d;Kramer Lukas (2001);;;;;;;;;;52.5
o;;;Lehmann Robin;;;;;;;;8.5
o;4;8.5;Bader Stefan;;17;54.0;4;8.5;0;0.0;8.5
+;10;17.0;Herrmann Adrian (2000);;27;34.25;10;17.0;0;0.0;10.0
o;9;27.0;Nussbaumer Dominik;;18;53.75;10;26.75;1;-0.25;8.5
o;15;35.5;Eggenschwiler Fabian;;17;54.0;15;35.5;0;0.0;8.5
o;20;44.0;Widmer Dino;;17;54.0;19;44.25;-1;0.25;8.5

22a;Lisser Daniel;*;;;;;;;;;37.0
o;;;Klausner Yanick;**;;;;;;;8.5
+;4;8.5;Hasler Luis (2002);;16;54.25;2;9.75;-2;1.25;10.0
+;6;18.5;Schwander Kilian;;11;55.5;2;19.75;-4;1.25;10.0
o;3;28.5;Widmer Tobias;**;4;57.25;2;28.75;-1;0.25;8.5

23a;Gisin Yanic;;;;;;;;;;36.0
-;;;Eggen Markus;;;;;;;;8.75
+;3;8.75;Eggenschwiler Fabian;;17;54.0;4;8.5;1;-0.25;10.0
o;5;18.75;Kramer Franz;*;10;55.75;9;17.25;4;-1.5;8.5
o;8;27.25;Reinhard Pirmin (2001);;16;54.25;8;27.25;0;0.0;8.75

24a;Rüegg Benjamin;;;;;;;;;;35.25
o;;;Reimann Marco;;;;;;;;8.5
+;4;8.5;Hermann Lukas 1 (2000);;21;52.5;4;8.5;0;0.0;9.75
o;7;18.25;Küng Marco;*;15;54.5;7;18.25;0;0.0;8.5
o;10;26.75;Jusufi Ilber;;16;54.25;9;27.0;-1;0.25;8.5

24b;Burkart Simon;;;;;;;;;;35.25
o;;;Furrer Mathias;;;;;;;;8.5
o;4;8.5;Widmer David;;16;54.25;4;8.5;0;0.0;8.5
o;10;17.0;Büchi Christian;;17;54.0;10;17.0;0;0.0;8.5
+;13;25.5;Lazic Serge (2000);;28;34.0;13;25.5;0;0.0;9.75

24c;Huber Pascal;;;;;;;;;;35.25
+;;;Brunner Patrick (2002);;;;;;;;9.75
o;2;9.75;Stark Urban (2000);;16;54.25;1;10.0;-1;0.25;8.5
o;7;18.25;Bieli Andreas;;17;54.0;9;17.25;2;-1.0;8.5
o;10;26.75;Büttler Adrian;;12;55.25;10;26.75;0;0.0;8.5

24d;Peterhans Alex (2000);;;;;;;;;;35.25
o;;;Stark Urban (2000);;;;;;;;8.5
o;4;8.5;Ris Jörn;;16;54.25;4;8.5;0;0.0;8.5
+;10;17.0;Brunner Patrick (2002);;24;35.25;10;17.0;0;0.0;9.75
o;10;26.75;Fritz Christian;;12;55.25;11;26.0;1;-0.75;8.5

24e;Buser Thomas;;;;;;;;;;35.25
+;;;Schmid Justin (2002);;;;;;;;9.75
o;2;9.75;Bieri Florian (2001);;18;53.75;2;9.75;0;0.0;8.5
o;7;18.25;Loosli Adrian;;13;55.0;7;18.25;0;0.0;8.5
o;10;26.75;Büchi Christian;;17;54.0;9;27.0;-1;0.25;8.5

24f;Müller Christian;;;;;;;;;;35.25
o;;;Brügger Joël (2000);;;;;;;;8.5
o;4;8.5;Nussbaumer Dominik;;18;53.75;4;8.5;0;0.0;8.5
+;10;17.0;Grossmann Andreas;;17;54.0;10;17.0;0;0.0;9.75
o;10;26.75;Hauri Urs;**;10;55.75;8;27.25;-2;0.5;8.5

24g;Brunner Patrick (2002);;;;;;;;;;35.25
o;;;Huber Pascal;;;;;;;;8.5
o;4;8.5;Jusufi Ilber;;16;54.25;3;8.75;-1;0.25;8.5
o;10;17.0;Peterhans Alex (2000);;24;35.25;10;17.0;0;0.0;8.5
+;13;25.5;Lazic Marco (2000);;26;34.5;11;26.0;-2;0.5;9.75

25a;Saladin Pascal (2002);;;;;;;;;;34.75
o;;;Vogt Patrick;;;;;;;;8.5
-;4;8.5;Schmid Justin (2002);;27;34.25;4;8.5;0;0.0;9.0
o;8;17.5;Graber Colin;;13;55.0;7;18.25;-1;0.75;8.5
-;11;26.0;Hermann Lukas (2002);;18;53.75;10;26.75;-1;0.75;8.75

26a;Lazic Marco (2000);;;;;;;;;;34.5
-;;;Meyer Lukas (2001);;;;;;;;8.75
o;3;8.75;Dobler Florian;;11;55.5;4;8.5;1;-0.25;8.5
o;9;17.25;Schmutz Simon (2000);;14;54.75;9;17.25;0;0.0;8.75
o;11;26.0;Brunner Patrick (2002);;24;35.25;13;25.5;2;-0.5;8.5

27a;Schmid Justin (2002);;;;;;;;;;34.25
o;;;Buser Thomas;;;;;;;;8.5
-;4;8.5;Saladin Pascal (2002);;25;34.75;4;8.5;0;0.0;8.75
o;9;17.25;Vogt Patrick;;18;53.75;7;18.25;-2;1.0;8.5
o;12;25.75;Fritz Andreas;;21;52.5;13;25.5;1;-0.25;8.5

27b;Herrmann Adrian (2000);;;;;;;;;;34.25
o;;;Huber Fabian;;;;;;;;8.5
o;4;8.5;Stadler Kevin (2002);;16;54.25;3;8.75;-1;0.25;8.5
o;10;17.0;Kramer Lukas (2001);;21;52.5;10;17.0;0;0.0;8.75
o;12;25.75;Reimann Marco;;13;55.0;10;26.75;-2;1.0;8.5

28a;Geissberger Marc (2002);;;;;;;;;;34.0
o;;;Loosli Adrian;;;;;;;;8.5
o;4;8.5;Abt Robin;;16;54.25;4;8.5;0;0.0;8.5
o;10;17.0;Dettwiler Patrick;;18;53.75;10;17.0;0;0.0;8.5
o;13;25.5;Eggenschwiler Fabian;;17;54.0;13;25.5;0;0.0;8.5

28b;Lazic Serge (2000);;;;;;;;;;34.0
o;;;Nyffenegger Florian (2001);;;;;;;;8.5
o;4;8.5;Lisser Beat;;16;54.25;4;8.5;0;0.0;8.5
o;10;17.0;Hermann Lukas 1 (2000);;21;52.5;10;17.0;0;0.0;8.5
o;13;25.5;Burkart Simon;;24;35.25;13;25.5;0;0.0;8.5

28c;Lüscher Michael;;;;;;;;;;34.0
o;;;Schwegler Dominik;;;;;;;;8.5
o;4;8.5;Krebs Clemens;;11;55.5;3;8.75;-1;0.25;8.5
o;10;17.0;Grieder Nonda;;17;54.0;10;17.0;0;0.0;8.5
o;13;25.5;Grossmann Andreas;;17;54.0;13;25.5;0;0.0;8.5

29a;Schaub Florent;;;;;;;;;;25.75
-;;;Burren Patrick;;;;;;;;8.75
o;3;8.75;Eggen Markus;;19;53.5;3;8.75;0;0.0;8.5
o;9;17.25;Büttler Adrian;;12;55.25;10;17.0;1;-0.25;8.5

30a;Studinger Stephan;**;;;;;;;;;8.5
o;;;Schmid Dominik;**;;;;;;;8.5

30b;Brand Christian;**;;;;;;;;;8.5
o;;;Probst Gabriel;**;;;;;;;8.5

