3339-2019-06-23_Fete_alpestre_Lac_Noir-Bergschwinget_Schwarzsee-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.75
12c;Brodard Augustin;**;;;;;;;;;55.25
-;;;Ramseier Thomas;*;;;;;;;8.75
+;4;8.75;Cotting Florian;*;27;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Aeschbacher Matthias;**;1;58.75;5;18.75;0;0.0;8.5
+;10;27.25;Studer Stefan;**;15;54.5;9;27.5;-1;0.25;9.75
o;9;37.0;Gnägi Florian;***;9;56.0;8;37.25;-1;0.25;8.5
+;13;45.5;Koch Thomas;*;18;53.75;14;45.25;1;-0.25;9.75

12d;Roch Vincent;**;;;;;;;;;55.25
o;;;Orlik Curdin;**;;;;;;;8.5
+;5;8.5;Rossy Yannick;*;28;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Borcard Clovis;*;18;53.75;6;18.5;0;0.0;10.0
o;5;28.5;Käser Remo;***;4;57.25;5;28.5;0;0.0;8.5
+;9;37.0;Burger Matthieu (2001);*;13;55.0;10;36.75;1;-0.25;9.75
o;8;46.75;Weyermann Florian;*;6;56.75;7;47.0;-1;0.25;8.5

12e;Gapany Benjamin;**;;;;;;;;;55.25
o;;;Aeschbacher Matthias;**;;;;;;;8.5
+;5;8.5;Burger Matthieu (2001);*;13;55.0;2;9.75;-3;1.25;9.75
+;7;18.25;Steffen Konrad;*;15;54.5;6;18.5;-1;0.25;9.75
-;7;28.0;Schwander Severin;**;16;54.25;5;28.5;-2;0.5;8.75
+;10;36.75;Leuenberger Michael;*;12;55.25;10;36.75;0;0.0;10.0
o;8;46.75;Sempach Thomas;***;7;56.5;8;46.75;0;0.0;8.5

12f;Leuenberger Michael;*;;;;;;;;;55.25
+;;;Loup Alexandre;*;;;;;;;10.0
o;1;10.0;Krähenbühl Tobias;***;11;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Dumelin David;**;12;55.25;6;18.5;0;0.0;8.5
+;11;27.0;Zimmermann Mario;*;22;52.5;11;27.0;0;0.0;9.75
o;10;36.75;Gapany Benjamin;**;12;55.25;10;36.75;0;0.0;8.5
+;14;45.25;Mollet Ivan;*;17;54.0;13;45.5;-1;0.25;10.0

13a;Kuster Marcel;***;;;;;;;;;55.0
o;;;Sempach Thomas;***;;;;;;;8.5
+;5;8.5;Rolli Martin;**;8;56.25;2;9.75;-3;1.25;9.75
o;7;18.25;Wiget Michael;*;6;56.75;7;18.25;0;0.0;8.5
+;12;26.75;Ramseier Thomas;*;14;54.75;9;27.5;-3;0.75;9.75
o;11;36.5;Zangger Dominik;*;11;55.5;9;37.0;-2;0.5;8.5
+;15;45.0;Matthey Mickaël;**;16;54.25;12;45.75;-3;0.75;10.0

13b;von Büren Stephan;**;;;;;;;;;55.0
+;;;Emonet Fabien;**;;;;;;;9.75
+;2;9.75;Rhyner Michael;**;25;35.25;5;8.5;3;-1.25;10.0
o;2;19.75;Kramer Lario;**;7;56.5;5;18.75;3;-1.0;8.5
o;6;28.25;Krähenbühl Tobias;***;11;55.5;11;27.0;5;-1.25;8.5
+;10;36.75;Wey Nicola;*;12;55.25;9;37.0;-1;0.25;9.75
o;9;46.5;von Weissenfluh Kilian;**;5;57.0;7;47.0;-2;0.5;8.5

13c;Burkhalter Stefan;***;;;;;;;;;55.0
-;;;Gobeli Patrick;**;;;;;;;8.75
-;4;8.75;Staudenmann Fabian;**;4;57.25;1;10.0;-3;1.25;8.75
-;9;17.5;Habegger Heinz;**;15;54.5;5;18.75;-4;1.25;8.75
+;13;26.25;Steffen Valentin;*;23;35.75;10;27.25;-3;1.0;10.0
+;12;36.25;Ducry Antoine;**;14;54.75;13;36.0;1;-0.25;10.0
-;10;46.25;Ramseier Fritz;**;11;55.5;8;46.75;-2;0.5;8.75

13d;Burger Matthieu (2001);*;;;;;;;;;55.0
+;;;Grossenbacher Simon (2002);*;;;;;;;9.75
o;2;9.75;Gapany Benjamin;**;12;55.25;5;8.5;3;-1.25;8.5
-;7;18.25;Gottofrey Marc;**;14;54.75;7;18.25;0;0.0;8.75
+;11;27.0;Riedo Fredy;*;17;54.0;11;27.0;0;0.0;9.75
o;10;36.75;Roch Vincent;**;12;55.25;9;37.0;-1;0.25;8.5
+;14;45.25;Balimann Sandro (2001);*;20;53.25;17;44.5;3;-0.75;9.75

14a;Schlegel Werner (2002);*;;;;;;;;;54.75
+;;;Wiget Michael;*;;;;;;;10.0
o;1;10.0;Anderegg Simon;***;3;58.0;2;9.75;1;-0.25;8.5
-;6;18.5;Zangger Dominik;*;11;55.5;4;19.0;-2;0.5;9.0
o;9;27.5;Borcard Johann;**;16;54.25;10;27.25;1;-0.25;8.75
+;12;36.25;Collaud Romain (2002);*;16;54.25;14;35.75;2;-0.5;10.0
o;10;46.25;Luginbühl Hanspeter;**;8;56.25;10;46.25;0;0.0;8.5

14b;Ducry Antoine;**;;;;;;;;;54.75
-;;;Kämpf Alexander;**;;;;;;;8.75
o;4;8.75;Dändliker Shane;**;10;55.75;4;8.75;0;0.0;8.5
-;10;17.25;Colò Kilian;**;27;34.25;11;17.0;1;-0.25;8.75
+;14;26.0;Loup Alexandre;*;28;34.0;16;25.5;2;-0.5;10.0
o;13;36.0;Burkhalter Stefan;***;13;55.0;12;36.25;-1;0.25;8.75
+;16;44.75;Ramseier Thomas;*;14;54.75;11;46.0;-5;1.25;10.0

14c;Bernold Christian;**;;;;;;;;;54.75
o;;;Moser Michael;**;;;;;;;8.5
-;5;8.5;Hayoz Quentin;*;18;53.75;5;8.5;0;0.0;9.0
+;9;17.5;Buchs Carlo;*;27;34.25;11;17.0;2;-0.5;10.0
-;9;27.5;Sempach Thomas;***;7;56.5;6;28.25;-3;0.75;8.75
+;12;36.25;Minder Florian;**;20;53.25;14;35.75;2;-0.5;10.0
o;10;46.25;Graber Willy;***;5;57.0;7;47.0;-3;0.75;8.5

14d;Ramseier Thomas;*;;;;;;;;;54.75
-;;;Brodard Augustin;**;;;;;;;8.75
-;4;8.75;Rapin Florent;*;16;54.25;5;8.5;1;-0.25;8.75
+;9;17.5;Cotting Florian;*;27;34.25;11;17.0;2;-0.5;10.0
o;9;27.5;Kuster Marcel;***;13;55.0;12;26.75;3;-0.75;8.5
+;13;36.0;Borcard Clovis;*;18;53.75;15;35.5;2;-0.5;10.0
o;11;46.0;Good Marco;*;11;55.5;8;46.75;-3;0.75;8.75
o;14;54.75;Ducry Antoine;**;14;54.75;14;54.75;0;0.0;0.0

14e;Gottofrey Marc;**;;;;;;;;;54.75
+;;;Roth Martin;**;;;;;;;9.75
o;2;9.75;Wenger Kilian;***;7;56.5;4;8.75;2;-1.0;8.5
-;7;18.25;Burger Matthieu (2001);*;13;55.0;7;18.25;0;0.0;8.75
-;11;27.0;Dändliker Shane;**;10;55.75;11;27.0;0;0.0;9.0
+;13;36.0;Ammann Rico;*;19;53.5;11;36.5;-2;0.5;9.75
-;12;45.75;Koch Reto;*;14;54.75;12;45.75;0;0.0;9.0

14f;Koch Reto;*;;;;;;;;;54.75
+;;;Mollet Ivan;*;;;;;;;9.75
o;2;9.75;Orlik Curdin;**;5;57.0;2;9.75;0;0.0;8.5
o;7;18.25;Roth Dominik;**;7;56.5;4;19.0;-3;0.75;8.75
