2756-2016-06-19_Fete_Alpestre_Lac_Noir-Schwarzsee-Schwingfest2-ST

1a;Sempach Matthias;***;;;;;;;;;58.5
o;12;36.75;Röthlisberger Simon;**;6;56.75;11;37.0;-1;0.25;8.5
-;14;45.25;Schneider Domenic;**;16;54.25;13;45.5;-1;0.25;8.75

17c;Wyss Kilian;**;;;;;;;;;54.0
+;;;Liaudat Rudy;**;;;;;;;10.0
o;1;10.0;Piemontesi Pascal;**;14;54.75;4;8.75;3;-1.25;8.5
-;6;18.5;Brodard Simon;**;19;53.25;7;18.25;1;-0.25;8.75
+;9;27.25;Burkhalter Stefan;***;24;35.75;9;27.25;0;0.0;9.75
o;11;37.0;Krähenbühl Tobias;**;10;55.75;10;37.25;-1;0.25;8.5
o;13;45.5;Wampfler Beat;***;11;55.5;12;45.75;-1;0.25;8.5

18a;Renfer Lukas;*;;;;;;;;;53.5
-;;;Gassmann Simon;*;;;;;;;8.75
+;4;8.75;Schwander Severin;*;25;35.5;5;8.5;1;-0.25;10.0
-;5;18.75;Schneider Mario;**;15;54.5;6;18.5;1;-0.25;8.75
o;8;27.5;Nydegger Michael;***;22;46.0;9;27.25;1;-0.25;8.75
o;14;36.25;Gottofrey Marc;**;16;54.25;16;35.75;2;-0.5;8.5
-;16;44.75;Zosso Remo;**;20;53.0;18;44.25;2;-0.5;8.75

18b;Gwerder Andreas;**;;;;;;;;;53.5
-;;;Schafer Claudio;*;;;;;;;8.75
+;4;8.75;Cardinaux Victor;**;25;35.5;5;8.5;1;-0.25;9.75
o;6;18.5;Käser Remo;**;7;56.5;4;19.0;-2;0.5;8.5
-;10;27.0;Zosso Remo;**;20;53.0;10;27.0;0;0.0;9.0
o;15;36.0;Guisolan Marc;**;6;56.75;12;36.75;-3;0.75;8.5
-;17;44.5;Brodard Simon;**;19;53.25;18;44.25;1;-0.25;9.0

19a;Brodard Simon;**;;;;;;;;;53.25
+;;;Schnurrenberger Roman;**;;;;;;;9.75
o;2;9.75;Graber Willy;***;9;56.0;4;8.75;2;-1.0;8.5
-;7;18.25;Wyss Kilian;**;17;54.0;6;18.5;-1;0.25;8.75
-;10;27.0;Rolli Martin;**;16;54.25;10;27.0;0;0.0;8.75
o;16;35.75;Rhyner Michael;**;11;55.5;16;35.75;0;0.0;8.5
-;18;44.25;Gwerder Andreas;**;18;53.5;17;44.5;-1;0.25;9.0

20a;Zosso Remo;**;;;;;;;;;53.0
o;;;Schneider Mario;**;;;;;;;8.5
+;5;8.5;Battaglia Ursin;**;16;54.25;5;8.5;0;0.0;9.75
-;7;18.25;Kämpf Alexander;**;15;54.5;7;18.25;0;0.0;8.75
-;10;27.0;Gwerder Andreas;**;18;53.5;10;27.0;0;0.0;8.75
o;16;35.75;Roschi Ruedi;**;13;55.0;13;36.5;-3;0.75;8.5
-;18;44.25;Renfer Lukas;*;18;53.5;16;44.75;-2;0.5;8.75

21a;Liaudat Rudy;**;;;;;;;;;52.75
o;;;Wyss Kilian;**;;;;;;;8.5
-;5;8.5;Mauron Olivier;*;29;34.25;5;8.5;0;0.0;8.75
+;9;17.25;Ramseier Fritz;*;16;54.25;6;18.5;-3;1.25;10.0
o;9;27.25;Zenger Niklaus;***;10;55.75;9;27.25;0;0.0;8.5
o;16;35.75;Kämpf Alexander;**;15;54.5;16;35.75;0;0.0;8.5
o;18;44.25;Schneider Mario;**;15;54.5;17;44.5;-1;0.25;8.5

21b;Mosimann Vincent;*;;;;;;;;;52.75
o;;;Gäggeler Adrian;*;;;;;;;8.5
+;5;8.5;Gassmann Simon;*;25;35.5;4;8.75;-1;0.25;10.0
-;6;18.5;Roth Philipp;*;10;55.75;6;18.5;0;0.0;8.75
o;9;27.25;Moser Michael;**;6;56.75;6;28.25;-3;1.0;8.5
o;16;35.75;Rolli Martin;**;16;54.25;16;35.75;0;0.0;8.5
o;18;44.25;Zenger Niklaus;***;10;55.75;12;45.75;-6;1.5;8.5

21c;Glauser Thomas;**;;;;;;;;;52.75
o;;;Schmid Reto;**;;;;;;;8.5
-;5;8.5;Cropt Harald;**;16;54.25;5;8.5;0;0.0;8.75
o;9;17.25;Schwander Severin;*;25;35.5;10;17.0;1;-0.25;8.5
+;13;25.75;Emonet Fabien;**;30;34.0;14;25.5;1;-0.25;10.0
o;16;35.75;Rhyner Michael;**;11;55.5;16;35.75;0;0.0;8.5
o;18;44.25;Ramseier Fritz;*;16;54.25;18;44.25;0;0.0;8.5

22a;Nydegger Michael;***;;;;;;;;;46.0
o;;;Glarner Matthias;***;;;;;;;8.5
o;5;8.5;Gäggeler Adrian;*;14;54.75;1;10.0;-4;1.5;8.75
+;9;17.25;von Weissenfluh Kilian;*;13;55.0;7;18.25;-2;1.0;10.0
+;9;27.25;Renfer Lukas;*;18;53.5;8;27.5;-1;0.25;9.75
-;11;37.0;von Büren Stephan;*;14;54.75;10;37.25;-1;0.25;9.0

23a;Gapany Benjamin;**;;;;;;;;;45.0
+;;;Notz Beni;***;;;;;;;9.75
o;2;9.75;Kämpf Bernhard;***;3;58.0;1;10.0;-1;0.25;8.5
+;7;18.25;Schnurrenberger Roman;**;25;35.5;7;18.25;0;0.0;9.75
o;7;28.0;Thomet Adrian;**;11;55.5;6;28.25;-1;0.25;8.5
o;13;36.5;von Weissenfluh Kilian;*;13;55.0;13;36.5;0;0.0;8.5

24a;Burkhalter Stefan;***;;;;;;;;;35.75
+;;;Wenger Kilian;***;;;;;;;10.0
o;1;10.0;Siegenthaler Matthias;***;6;56.75;2;9.75;1;-0.25;8.5
-;6;18.5;von Büren Stephan;*;14;54.75;6;18.5;0;0.0;8.75
o;9;27.25;Wyss Kilian;**;17;54.0;9;27.25;0;0.0;8.5

25a;Gassmann Simon;*;;;;;;;;;35.5
-;;;Renfer Lukas;*;;;;;;;8.75
o;4;8.75;Mosimann Vincent;*;21;52.75;5;8.5;1;-0.25;8.5
+;9;17.25;Dousse Michel;**;29;34.25;9;17.25;0;0.0;9.75
o;10;27.0;von Büren Stephan;*;14;54.75;9;27.25;-1;0.25;8.5

25b;Schwander Severin;*;;;;;;;;;35.5
o;;;Hersche Martin;**;;;;;;;8.5
o;5;8.5;Renfer Lukas;*;18;53.5;4;8.75;-1;0.25;8.5
+;10;17.0;Glauser Thomas;**;21;52.75;9;17.25;-1;0.25;10.0
o;10;27.0;Eugster Ruedi;**;12;55.25;10;27.0;0;0.0;8.5

25c;Barras David;*;;;;;;;;;35.5
-;;;Schütz Urs;**;;;;;;;8.75
o;4;8.75;Eugster Ruedi;**;12;55.25;5;8.5;1;-0.25;8.5
o;9;17.25;Zenger Niklaus;***;10;55.75;9;17.25;0;0.0;8.5
+;13;25.75;Droxler Jonathan;**;28;34.5;13;25.75;0;0.0;9.75

25d;Brodard Augustin;**;;;;;;;;;35.5
o;;;Kämpf Alexander;**;;;;;;;8.5
-;5;8.5;Rhyner Michael;**;11;55.5;5;8.5;0;0.0;8.75
+;9;17.25;Notz Beni;***;26;35.25;10;17.0;1;-0.25;9.75
-;10;27.0;Ramseier Fritz;*;16;54.25;10;27.0;0;0.0;8.5

25e;Wüthrich Niklaus;**;;;;;;;;;35.5
+;;;Remy Guillaume;**;;;;;;;10.0
o;1;10.0;Wenger Kilian;***;4;57.25;5;8.5;4;-1.5;8.5
o;6;18.5;Borcard Johann;**;13;55.0;7;18.25;1;-0.25;8.5
o;10;27.0;Kuster Marcel;**;16;54.25;10;27.0;0;0.0;8.5

25f;Dind Samuel;**;;;;;;;;;35.5
o;;;Anderegg Simon;***;;;;;;;8.5
o;5;8.5;Thomet Adrian;**;11;55.5;2;9.75;-3;1.25;8.5
o;10;17.0;Kuster Marcel;**;16;54.25;9;17.25;-1;0.25;8.5
+;14;25.5;Mauron Olivier;*;29;34.25;13;25.75;-1;0.25;10.0

25g;Cardinaux Victor;**;;;;;;;;;35.5
o;;;Thomet Adrian;**;;;;;;;8.5
o;5;8.5;Gwerder Andreas;**;18;53.5;4;8.75;-1;0.25;8.75
+;9;17.25;Hayoz Paul (1998);*;29;34.25;10;17.0;1;-0.25;9.75
o;10;27.0;Wickli Beat;**;16;54.25;9;27.25;-1;0.25;8.5

25h;Haenni Stéphane;**;;;;;;;;;35.5
o;;;Gerber Christian;**;;;;;;;8.5
+;5;8.5;Schafer Claudio;*;28;34.5;4;8.75;-1;0.25;10.0
o;6;18.5;Graber Willy;***;9;56.0;5;18.75;-1;0.25;8.5
o;10;27.0;Battaglia Ursin;**;16;54.25;10;27.0;0;0.0;8.5

25i;Schnurrenberger Roman;**;;;;;;;;;35.5
o;;;Brodard Simon;**;;;;;;;8.5
+;5;8.5;Droxler Jonathan;**;28;34.5;4;8.75;-1;0.25;9.75
o;7;18.25;Gapany Benjamin;**;23;45.0;7;18.25;0;0.0;8.5
-;11;26.75;Kropf Rolf;**;28;34.5;13;25.75;2;-1.0;8.75

25j;Remy Guillaume;**;;;;;;;;;35.5
o;;;Wüthrich Niklaus;**;;;;;;;8.5
+;5;8.5;Emonet Fabien;**;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Röthlisberger Simon;**;6;56.75;6;18.5;0;0.0;8.5
o;10;27.0;Notz Beni;***;26;35.25;14;25.5;4;-1.5;8.5

25k;Scherer Christian;*;;;;;;;;;35.5
+;;;Dousse Michel;**;;;;;;;10.0
o;1;10.0;Anderegg Simon;***;11;55.5;2;9.75;1;-0.25;8.5
o;6;18.5;Guisolan Marc;**;6;56.75;7;18.25;1;-0.25;8.5
o;10;27.0;Kramer Lario (1998);**;15;54.5;10;27.0;0;0.0;8.5

26a;Roch Vincent;**;;;;;;;;;35.25
o;;;Sempach Thomas;***;;;;;;;8.5
o;5;8.5;Schneider Domenic;**;16;54.25;5;8.5;0;0.0;8.5
+;10;17.0;Droxler Jonathan;**;28;34.5;9;17.25;-1;0.25;9.75
o;11;26.75;Roschi Ruedi;**;13;55.0;11;26.75;0;0.0;8.5

26b;Emonet Frédéric;*;;;;;;;;;35.25
o;;;Wickli Beat;**;;;;;;;8.5
+;5;8.5;Dousse Michel;**;29;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Mathys Simon;*;11;55.5;6;18.5;-1;0.25;8.5
o;11;26.75;Schneider Domenic;**;16;54.25;10;27.0;-1;0.25;8.5

26c;Ducry Antoine;*;;;;;;;;;35.25
o;;;von Weissenfluh Kilian;*;;;;;;;8.5
o;5;8.5;Gottofrey Marc;**;16;54.25;5;8.5;0;0.0;8.5
+;10;17.0;Mauron Olivier;*;29;34.25;9;17.25;-1;0.25;9.75
o;11;26.75;Schütz Urs;**;17;54.0;10;27.0;-1;0.25;8.5

26d;Notz Beni;***;;;;;;;;;35.25
o;;;Gapany Benjamin;**;;;;;;;8.5
o;5;8.5;Gerber Christian;**;8;56.25;1;10.0;-4;1.5;8.5
o;10;17.0;Brodard Augustin;**;25;35.5;9;17.25;-1;0.25;8.5
+;14;25.5;Remy Guillaume;**;25;35.5;10;27.0;-4;1.5;9.75

27a;Berset Julien;*;;;;;;;;;34.75
-;;;von Büren Stephan;*;;;;;;;8.75
-;4;8.75;Pouye Diey;*;28;34.5;5;8.5;1;-0.25;8.75
o;8;17.5;Schmid Reto;**;17;54.0;7;18.25;-1;0.75;8.5
-;12;26.0;Schafer Claudio;*;28;34.5;13;25.75;1;-0.25;8.75

28a;Schafer Claudio;*;;;;;;;;;34.5
-;;;Gwerder Andreas;**;;;;;;;8.75
o;4;8.75;Haenni Stéphane;**;25;35.5;5;8.5;1;-0.25;8.5
o;9;17.25;Rhyner Michael;**;11;55.5;9;17.25;0;0.0;8.5
-;13;25.75;Berset Julien;*;27;34.75;12;26.0;-1;0.25;8.75

28b;Droxler Jonathan;**;;;;;;;;;34.5
-;;;Rolli Martin;**;;;;;;;8.75
o;4;8.75;Schnurrenberger Roman;**;25;35.5;5;8.5;1;-0.25;8.5
o;9;17.25;Roch Vincent;**;26;35.25;10;17.0;1;-0.25;8.5
o;13;25.75;Barras David;*;25;35.5;13;25.75;0;0.0;8.75

28c;Pouye Diey;*;;;;;;;;;34.5
o;;;Roth Philipp;*;;;;;;;8.5
-;5;8.5;Berset Julien;*;27;34.75;4;8.75;-1;0.25;8.75
o;9;17.25;Rolli Martin;**;16;54.25;9;17.25;0;0.0;8.5
-;13;25.75;Hayoz Paul (1998);*;29;34.25;14;25.5;1;-0.25;8.75

28d;Kropf Rolf;**;;;;;;;;;34.5
-;;;Rychen Roger;**;;;;;;;8.75
o;4;8.75;Schenk Patrick;**;10;55.75;1;10.0;-3;1.25;8.5
o;9;17.25;Battaglia Ursin;**;16;54.25;10;17.0;1;-0.25;8.5
-;13;25.75;Schnurrenberger Roman;**;25;35.5;11;26.75;-2;1.0;8.75

29a;Dousse Michel;**;;;;;;;;;34.25
o;;;Scherer Christian;*;;;;;;;8.5
o;5;8.5;Emonet Frédéric;*;26;35.25;5;8.5;0;0.0;8.75
o;9;17.25;Gassmann Simon;*;25;35.5;9;17.25;0;0.0;8.5
o;13;25.75;von Weissenfluh Kilian;*;13;55.0;11;26.75;-2;1.0;8.5

29b;Mauron Olivier;*;;;;;;;;;34.25
o;;;Röthlisberger Simon;**;;;;;;;8.5
-;5;8.5;Liaudat Rudy;**;21;52.75;5;8.5;0;0.0;8.75
o;9;17.25;Ducry Antoine;*;26;35.25;10;17.0;1;-0.25;8.5
o;13;25.75;Dind Samuel;**;25;35.5;14;25.5;1;-0.25;8.5

29c;Hayoz Paul (1998);*;;;;;;;;;34.25
o;;;Ramseier Fritz;*;;;;;;;8.5
o;5;8.5;Schütz Urs;**;17;54.0;4;8.75;-1;0.25;8.5
o;10;17.0;Cardinaux Victor;**;25;35.5;9;17.25;-1;0.25;8.5
-;14;25.5;Pouye Diey;*;28;34.5;13;25.75;-1;0.25;8.75

30a;Emonet Fabien;**;;;;;;;;;34.0
o;;;Mathys Simon;*;;;;;;;8.5
o;5;8.5;Remy Guillaume;**;25;35.5;5;8.5;0;0.0;8.5
o;10;17.0;Cropt Harald;**;16;54.25;9;17.25;-1;0.25;8.5
o;14;25.5;Glauser Thomas;**;21;52.75;13;25.75;-1;0.25;8.5

31a;Moser Steven;**;;;;;;;;;17.25
o;;;Siegenthaler Matthias;***;;;;;;;8.5
-;5;8.5;Ramseier Fritz;*;16;54.25;2;9.75;-3;1.25;8.75

32a;Overney Olivier;*;;;;;;;;;17.0
o;;;Moser Michael;**;;;;;;;8.5
o;5;8.5;von Büren Stephan;*;14;54.75;4;8.75;-1;0.25;8.5

