5192-2021-06-27_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;***;;;;;;;;;58.25
-;5;18.5;Schuler Martin;;5;56.75;1;19.75;-4;1.25;9.0
-;8;27.5;Burkhalter Stefan;***;12;55.0;8;27.5;0;0.0;8.75
+;10;36.25;Langenegger Beat;;16;54.0;8;36.75;-2;0.5;10.0
-;8;46.25;Burkhalter Thomas (2003);*;11;55.25;8;46.25;0;0.0;9.0

11c;Knellwolf Sebastian;;;;;;;;;;55.25
+;;;Hollenstein Mathias;;;;;;;;10.0
o;1;10.0;Streiff Dominik;*;9;55.75;5;8.5;4;-1.5;8.5
+;5;18.5;Gasenzer Christian (2004);;17;53.75;5;18.5;0;0.0;9.75
o;5;28.25;Schlegel Sandro;**;6;56.5;7;27.75;2;-0.5;8.5
o;8;36.75;Wüthrich Hans;;12;55.0;8;36.75;0;0.0;8.5
+;12;45.25;Gantenbein Linard (2004);;18;53.5;13;45.0;1;-0.25;10.0

11d;Castelli Fabio;;;;;;;;;;55.25
o;;;Schuler Martin;;;;;;;;8.5
+;5;8.5;Müller Christian;;11;55.25;5;8.5;0;0.0;10.0
+;5;18.5;Zumbach Michael;;11;55.25;5;18.5;0;0.0;10.0
o;4;28.5;Baumann Rico;*;12;55.0;9;27.25;5;-1.25;8.5
+;7;37.0;Rhyner Beni;;10;55.5;6;37.25;-1;0.25;9.75
o;6;46.75;Riget Florian;*;6;56.5;6;46.75;0;0.0;8.5

11e;Burkhalter Thomas (2003);*;;;;;;;;;55.25
-;;;Landolt Reto;*;;;;;;;9.0
+;3;9.0;Laager Kaspar (2004);;13;54.75;2;9.75;-1;0.75;10.0
-;3;19.0;Jörger Marc;*;7;56.25;4;18.75;1;-0.25;8.75
+;7;27.75;Tremp Ruedi (2003);;16;54.0;5;28.25;-2;0.5;10.0
o;4;37.75;Gmür Pirmin;**;5;56.75;6;37.25;2;-0.5;8.5
-;8;46.25;Rüegg Fabian;*;11;55.25;8;46.25;0;0.0;9.0

11f;Müller Christian;;;;;;;;;;55.25
o;;;Mayer Elia (2004);;;;;;;;8.5
o;5;8.5;Castelli Fabio;;11;55.25;5;8.5;0;0.0;8.5
+;10;17.0;Schlegel Jamie (2004);;16;54.0;9;17.25;-1;0.25;10.0
